ENSMODP00000003608	ENSMODP00000016222
ENSMODP00000015235	ENSMODP00000023478
ENSMODP00000003832	ENSMODP00000006867
ENSMODP00000006867	ENSMODP00000003832
ENSMODP00000014712	ENSMODP00000004891
ENSMODP00000004891	ENSMODP00000014712
ENSMODP00000006523	ENSMODP00000017573
ENSMODP00000017573	ENSMODP00000006523
ENSMODP00000015496	ENSMODP00000012028
ENSMODP00000012028	ENSMODP00000015496
ENSMODP00000026239	ENSMODP00000029754
ENSMODP00000029754	ENSMODP00000026239
ENSMODP00000012160	ENSMODP00000004041
ENSMODP00000004041	ENSMODP00000012160
ENSMODP00000012160	ENSMODP00000022102
ENSMODP00000022102	ENSMODP00000012160
ENSMODP00000004041	ENSMODP00000022102
ENSMODP00000022102	ENSMODP00000004041
ENSMODP00000025585	ENSMODP00000016495
ENSMODP00000016495	ENSMODP00000025585
ENSMODP00000025585	ENSMODP00000024060
ENSMODP00000024060	ENSMODP00000025585
ENSMODP00000016495	ENSMODP00000024060
ENSMODP00000024060	ENSMODP00000016495
ENSMODP00000014171	ENSMODP00000015986
ENSMODP00000015986	ENSMODP00000014171
ENSMODP00000014171	ENSMODP00000003492
ENSMODP00000003492	ENSMODP00000014171
ENSMODP00000014171	ENSMODP00000013925
ENSMODP00000013925	ENSMODP00000014171
ENSMODP00000014171	ENSMODP00000040084
ENSMODP00000040084	ENSMODP00000014171
ENSMODP00000015986	ENSMODP00000003492
ENSMODP00000003492	ENSMODP00000015986
ENSMODP00000015986	ENSMODP00000013925
ENSMODP00000013925	ENSMODP00000015986
ENSMODP00000015986	ENSMODP00000040084
ENSMODP00000040084	ENSMODP00000015986
ENSMODP00000003492	ENSMODP00000013925
ENSMODP00000013925	ENSMODP00000003492
ENSMODP00000003492	ENSMODP00000040084
ENSMODP00000040084	ENSMODP00000003492
ENSMODP00000013925	ENSMODP00000040084
ENSMODP00000040084	ENSMODP00000013925
ENSMODP00000016741	ENSMODP00000037068
ENSMODP00000037068	ENSMODP00000016741
ENSMODP00000013478	ENSMODP00000036453
ENSMODP00000036453	ENSMODP00000013478
ENSMODP00000024298	ENSMODP00000011108
ENSMODP00000011108	ENSMODP00000024298
ENSMODP00000013611	ENSMODP00000029024
ENSMODP00000029024	ENSMODP00000013611
ENSMODP00000013611	ENSMODP00000007844
ENSMODP00000007844	ENSMODP00000013611
ENSMODP00000029024	ENSMODP00000007844
ENSMODP00000007844	ENSMODP00000029024
ENSMODP00000002121	ENSMODP00000034167
ENSMODP00000034167	ENSMODP00000002121
ENSMODP00000025206	ENSMODP00000014344
ENSMODP00000014344	ENSMODP00000025206
ENSMODP00000025206	ENSMODP00000016010
ENSMODP00000016010	ENSMODP00000025206
ENSMODP00000025206	ENSMODP00000023381
ENSMODP00000023381	ENSMODP00000025206
ENSMODP00000014344	ENSMODP00000016010
ENSMODP00000016010	ENSMODP00000014344
ENSMODP00000014344	ENSMODP00000023381
ENSMODP00000023381	ENSMODP00000014344
ENSMODP00000016010	ENSMODP00000023381
ENSMODP00000023381	ENSMODP00000016010
ENSMODP00000017005	ENSMODP00000022856
ENSMODP00000022856	ENSMODP00000017005
ENSMODP00000019240	ENSMODP00000033704
ENSMODP00000033704	ENSMODP00000019240
ENSMODP00000014984	ENSMODP00000019937
ENSMODP00000019937	ENSMODP00000014984
ENSMODP00000008552	ENSMODP00000020886
ENSMODP00000020886	ENSMODP00000008552
ENSMODP00000013234	ENSMODP00000020886
ENSMODP00000020886	ENSMODP00000013234
ENSMODP00000017273	ENSMODP00000013863
ENSMODP00000013863	ENSMODP00000017273
ENSMODP00000012564	ENSMODP00000017182
ENSMODP00000017182	ENSMODP00000012564
ENSMODP00000012564	ENSMODP00000022560
ENSMODP00000022560	ENSMODP00000012564
ENSMODP00000017182	ENSMODP00000022560
ENSMODP00000022560	ENSMODP00000017182
ENSMODP00000006951	ENSMODP00000008288
ENSMODP00000008288	ENSMODP00000006951
ENSMODP00000006951	ENSMODP00000005326
ENSMODP00000005326	ENSMODP00000006951
ENSMODP00000008288	ENSMODP00000005326
ENSMODP00000005326	ENSMODP00000008288
ENSMODP00000013900	ENSMODP00000017320
ENSMODP00000017320	ENSMODP00000013900
ENSMODP00000002540	ENSMODP00000025996
ENSMODP00000025996	ENSMODP00000002540
ENSMODP00000026913	ENSMODP00000016389
ENSMODP00000016389	ENSMODP00000026913
ENSMODP00000000402	ENSMODP00000009650
ENSMODP00000009650	ENSMODP00000000402
ENSMODP00000002182	ENSMODP00000003858
ENSMODP00000003858	ENSMODP00000002182
ENSMODP00000011765	ENSMODP00000019074
ENSMODP00000019074	ENSMODP00000011765
ENSMODP00000011744	ENSMODP00000019101
ENSMODP00000019101	ENSMODP00000011744
ENSMODP00000011744	ENSMODP00000005435
ENSMODP00000005435	ENSMODP00000011744
ENSMODP00000011744	ENSMODP00000016852
ENSMODP00000016852	ENSMODP00000011744
ENSMODP00000019101	ENSMODP00000005435
ENSMODP00000005435	ENSMODP00000019101
ENSMODP00000019101	ENSMODP00000016852
ENSMODP00000016852	ENSMODP00000019101
ENSMODP00000005435	ENSMODP00000016852
ENSMODP00000016852	ENSMODP00000005435
ENSMODP00000000500	ENSMODP00000012769
ENSMODP00000012769	ENSMODP00000000500
ENSMODP00000024292	ENSMODP00000037336
ENSMODP00000037336	ENSMODP00000024292
ENSMODP00000003122	ENSMODP00000013464
ENSMODP00000013464	ENSMODP00000003122
ENSMODP00000003122	ENSMODP00000026432
ENSMODP00000026432	ENSMODP00000003122
ENSMODP00000013464	ENSMODP00000026432
ENSMODP00000026432	ENSMODP00000013464
ENSMODP00000008628	ENSMODP00000004044
ENSMODP00000004044	ENSMODP00000008628
ENSMODP00000012604	ENSMODP00000039664
ENSMODP00000039664	ENSMODP00000012604
ENSMODP00000006018	ENSMODP00000023606
ENSMODP00000023606	ENSMODP00000006018
ENSMODP00000031611	ENSMODP00000024799
ENSMODP00000024799	ENSMODP00000031611
ENSMODP00000031611	ENSMODP00000001757
ENSMODP00000001757	ENSMODP00000031611
ENSMODP00000024799	ENSMODP00000001757
ENSMODP00000001757	ENSMODP00000024799
ENSMODP00000016775	ENSMODP00000015165
ENSMODP00000015165	ENSMODP00000016775
ENSMODP00000005386	ENSMODP00000007425
ENSMODP00000007425	ENSMODP00000005386
ENSMODP00000005386	ENSMODP00000005390
ENSMODP00000005390	ENSMODP00000005386
ENSMODP00000007425	ENSMODP00000005390
ENSMODP00000005390	ENSMODP00000007425
ENSMODP00000013628	ENSMODP00000006172
ENSMODP00000006172	ENSMODP00000013628
ENSMODP00000013628	ENSMODP00000026554
ENSMODP00000026554	ENSMODP00000013628
ENSMODP00000006172	ENSMODP00000026554
ENSMODP00000026554	ENSMODP00000006172
ENSMODP00000000790	ENSMODP00000012861
ENSMODP00000012861	ENSMODP00000000790
ENSMODP00000007224	ENSMODP00000031750
ENSMODP00000031750	ENSMODP00000007224
ENSMODP00000020405	ENSMODP00000013151
ENSMODP00000013151	ENSMODP00000020405
ENSMODP00000013497	ENSMODP00000002193
ENSMODP00000002193	ENSMODP00000013497
ENSMODP00000013497	ENSMODP00000009886
ENSMODP00000009886	ENSMODP00000013497
ENSMODP00000002193	ENSMODP00000009886
ENSMODP00000009886	ENSMODP00000002193
ENSMODP00000004613	ENSMODP00000021509
ENSMODP00000021509	ENSMODP00000004613
ENSMODP00000004613	ENSMODP00000021545
ENSMODP00000021545	ENSMODP00000004613
ENSMODP00000004613	ENSMODP00000023068
ENSMODP00000023068	ENSMODP00000004613
ENSMODP00000021509	ENSMODP00000021545
ENSMODP00000021545	ENSMODP00000021509
ENSMODP00000021509	ENSMODP00000023068
ENSMODP00000023068	ENSMODP00000021509
ENSMODP00000021545	ENSMODP00000023068
ENSMODP00000023068	ENSMODP00000021545
ENSMODP00000002877	ENSMODP00000008929
ENSMODP00000008929	ENSMODP00000002877
ENSMODP00000009518	ENSMODP00000009560
ENSMODP00000009560	ENSMODP00000009518
ENSMODP00000009518	ENSMODP00000013499
ENSMODP00000013499	ENSMODP00000009518
ENSMODP00000009560	ENSMODP00000013499
ENSMODP00000013499	ENSMODP00000009560
ENSMODP00000034760	ENSMODP00000022870
ENSMODP00000022870	ENSMODP00000034760
ENSMODP00000034760	ENSMODP00000017133
ENSMODP00000017133	ENSMODP00000034760
ENSMODP00000022870	ENSMODP00000017133
ENSMODP00000017133	ENSMODP00000022870
ENSMODP00000032765	ENSMODP00000001749
ENSMODP00000001749	ENSMODP00000032765
ENSMODP00000032765	ENSMODP00000020580
ENSMODP00000020580	ENSMODP00000032765
ENSMODP00000001749	ENSMODP00000020580
ENSMODP00000020580	ENSMODP00000001749
ENSMODP00000012104	ENSMODP00000004582
ENSMODP00000004582	ENSMODP00000012104
ENSMODP00000007382	ENSMODP00000005455
ENSMODP00000005455	ENSMODP00000007382
ENSMODP00000004284	ENSMODP00000020969
ENSMODP00000020969	ENSMODP00000004284
ENSMODP00000006113	ENSMODP00000021538
ENSMODP00000021538	ENSMODP00000006113
ENSMODP00000006113	ENSMODP00000021367
ENSMODP00000021367	ENSMODP00000006113
ENSMODP00000006113	ENSMODP00000021495
ENSMODP00000021495	ENSMODP00000006113
ENSMODP00000006113	ENSMODP00000019075
ENSMODP00000019075	ENSMODP00000006113
ENSMODP00000021538	ENSMODP00000021367
ENSMODP00000021367	ENSMODP00000021538
ENSMODP00000021538	ENSMODP00000021495
ENSMODP00000021495	ENSMODP00000021538
ENSMODP00000021538	ENSMODP00000019075
ENSMODP00000019075	ENSMODP00000021538
ENSMODP00000021367	ENSMODP00000019075
ENSMODP00000019075	ENSMODP00000021367
ENSMODP00000021495	ENSMODP00000019075
ENSMODP00000019075	ENSMODP00000021495
ENSMODP00000019115	ENSMODP00000012345
ENSMODP00000012345	ENSMODP00000019115
ENSMODP00000026928	ENSMODP00000018395
ENSMODP00000018395	ENSMODP00000026928
ENSMODP00000013451	ENSMODP00000013531
ENSMODP00000013531	ENSMODP00000013451
ENSMODP00000013451	ENSMODP00000035351
ENSMODP00000035351	ENSMODP00000013451
ENSMODP00000013531	ENSMODP00000035351
ENSMODP00000035351	ENSMODP00000013531
ENSMODP00000036715	ENSMODP00000011895
ENSMODP00000011895	ENSMODP00000036715
ENSMODP00000036715	ENSMODP00000033297
ENSMODP00000033297	ENSMODP00000036715
ENSMODP00000036715	ENSMODP00000019398
ENSMODP00000019398	ENSMODP00000036715
ENSMODP00000036715	ENSMODP00000016469
ENSMODP00000016469	ENSMODP00000036715
ENSMODP00000019396	ENSMODP00000011895
ENSMODP00000011895	ENSMODP00000019396
ENSMODP00000019396	ENSMODP00000033297
ENSMODP00000033297	ENSMODP00000019396
ENSMODP00000019396	ENSMODP00000019398
ENSMODP00000019398	ENSMODP00000019396
ENSMODP00000019396	ENSMODP00000016469
ENSMODP00000016469	ENSMODP00000019396
ENSMODP00000011895	ENSMODP00000033297
ENSMODP00000033297	ENSMODP00000011895
ENSMODP00000011895	ENSMODP00000019398
ENSMODP00000019398	ENSMODP00000011895
ENSMODP00000011895	ENSMODP00000016469
ENSMODP00000016469	ENSMODP00000011895
ENSMODP00000033297	ENSMODP00000019398
ENSMODP00000019398	ENSMODP00000033297
ENSMODP00000033297	ENSMODP00000016469
ENSMODP00000016469	ENSMODP00000033297
ENSMODP00000019398	ENSMODP00000016469
ENSMODP00000016469	ENSMODP00000019398
ENSMODP00000016648	ENSMODP00000003179
ENSMODP00000003179	ENSMODP00000016648
ENSMODP00000016648	ENSMODP00000007000
ENSMODP00000007000	ENSMODP00000016648
ENSMODP00000016648	ENSMODP00000024699
ENSMODP00000024699	ENSMODP00000016648
ENSMODP00000003179	ENSMODP00000007000
ENSMODP00000007000	ENSMODP00000003179
ENSMODP00000003179	ENSMODP00000024699
ENSMODP00000024699	ENSMODP00000003179
ENSMODP00000007000	ENSMODP00000024699
ENSMODP00000024699	ENSMODP00000007000
ENSMODP00000006196	ENSMODP00000017413
ENSMODP00000017413	ENSMODP00000006196
ENSMODP00000024349	ENSMODP00000024346
ENSMODP00000024346	ENSMODP00000024349
ENSMODP00000024349	ENSMODP00000022203
ENSMODP00000022203	ENSMODP00000024349
ENSMODP00000024349	ENSMODP00000001020
ENSMODP00000001020	ENSMODP00000024349
ENSMODP00000024349	ENSMODP00000025425
ENSMODP00000025425	ENSMODP00000024349
ENSMODP00000024349	ENSMODP00000025415
ENSMODP00000025415	ENSMODP00000024349
ENSMODP00000024346	ENSMODP00000022203
ENSMODP00000022203	ENSMODP00000024346
ENSMODP00000024346	ENSMODP00000001020
ENSMODP00000001020	ENSMODP00000024346
ENSMODP00000024346	ENSMODP00000025425
ENSMODP00000025425	ENSMODP00000024346
ENSMODP00000024346	ENSMODP00000025415
ENSMODP00000025415	ENSMODP00000024346
ENSMODP00000022203	ENSMODP00000001020
ENSMODP00000001020	ENSMODP00000022203
ENSMODP00000022203	ENSMODP00000025425
ENSMODP00000025425	ENSMODP00000022203
ENSMODP00000022203	ENSMODP00000025415
ENSMODP00000025415	ENSMODP00000022203
ENSMODP00000001020	ENSMODP00000025425
ENSMODP00000025425	ENSMODP00000001020
ENSMODP00000001020	ENSMODP00000025415
ENSMODP00000025415	ENSMODP00000001020
ENSMODP00000025425	ENSMODP00000025415
ENSMODP00000025415	ENSMODP00000025425
ENSMODP00000005597	ENSMODP00000024177
ENSMODP00000024177	ENSMODP00000005597
ENSMODP00000006059	ENSMODP00000032132
ENSMODP00000032132	ENSMODP00000006059
ENSMODP00000022238	ENSMODP00000013827
ENSMODP00000013827	ENSMODP00000022238
ENSMODP00000022238	ENSMODP00000013818
ENSMODP00000013818	ENSMODP00000022238
ENSMODP00000022238	ENSMODP00000013808
ENSMODP00000013808	ENSMODP00000022238
ENSMODP00000022238	ENSMODP00000022239
ENSMODP00000022239	ENSMODP00000022238
ENSMODP00000013827	ENSMODP00000013818
ENSMODP00000013818	ENSMODP00000013827
ENSMODP00000013827	ENSMODP00000013808
ENSMODP00000013808	ENSMODP00000013827
ENSMODP00000013827	ENSMODP00000022239
ENSMODP00000022239	ENSMODP00000013827
ENSMODP00000013818	ENSMODP00000013808
ENSMODP00000013808	ENSMODP00000013818
ENSMODP00000013818	ENSMODP00000022239
ENSMODP00000022239	ENSMODP00000013818
ENSMODP00000013808	ENSMODP00000022239
ENSMODP00000022239	ENSMODP00000013808
ENSMODP00000023168	ENSMODP00000006713
ENSMODP00000006713	ENSMODP00000023168
ENSMODP00000016086	ENSMODP00000025150
ENSMODP00000025150	ENSMODP00000016086
ENSMODP00000000370	ENSMODP00000018131
ENSMODP00000018131	ENSMODP00000000370
ENSMODP00000012871	ENSMODP00000017612
ENSMODP00000017612	ENSMODP00000012871
ENSMODP00000012871	ENSMODP00000012865
ENSMODP00000012865	ENSMODP00000012871
ENSMODP00000017612	ENSMODP00000012865
ENSMODP00000012865	ENSMODP00000017612
ENSMODP00000015857	ENSMODP00000020847
ENSMODP00000020847	ENSMODP00000015857
ENSMODP00000015857	ENSMODP00000004951
ENSMODP00000004951	ENSMODP00000015857
ENSMODP00000020847	ENSMODP00000004951
ENSMODP00000004951	ENSMODP00000020847
ENSMODP00000031789	ENSMODP00000035173
ENSMODP00000035173	ENSMODP00000031789
ENSMODP00000033636	ENSMODP00000028502
ENSMODP00000028502	ENSMODP00000033636
ENSMODP00000023923	ENSMODP00000018431
ENSMODP00000018431	ENSMODP00000023923
ENSMODP00000012360	ENSMODP00000017876
ENSMODP00000017876	ENSMODP00000012360
ENSMODP00000023326	ENSMODP00000001162
ENSMODP00000001162	ENSMODP00000023326
ENSMODP00000013126	ENSMODP00000023828
ENSMODP00000023828	ENSMODP00000013126
ENSMODP00000005289	ENSMODP00000005633
ENSMODP00000005633	ENSMODP00000005289
ENSMODP00000005289	ENSMODP00000002353
ENSMODP00000002353	ENSMODP00000005289
ENSMODP00000005633	ENSMODP00000002353
ENSMODP00000002353	ENSMODP00000005633
ENSMODP00000015862	ENSMODP00000020662
ENSMODP00000020662	ENSMODP00000015862
ENSMODP00000020559	ENSMODP00000001296
ENSMODP00000001296	ENSMODP00000020559
ENSMODP00000020559	ENSMODP00000011872
ENSMODP00000011872	ENSMODP00000020559
ENSMODP00000020559	ENSMODP00000018114
ENSMODP00000018114	ENSMODP00000020559
ENSMODP00000001296	ENSMODP00000011872
ENSMODP00000011872	ENSMODP00000001296
ENSMODP00000001296	ENSMODP00000018114
ENSMODP00000018114	ENSMODP00000001296
ENSMODP00000011872	ENSMODP00000018114
ENSMODP00000018114	ENSMODP00000011872
ENSMODP00000003778	ENSMODP00000016652
ENSMODP00000016652	ENSMODP00000003778
ENSMODP00000003778	ENSMODP00000023397
ENSMODP00000023397	ENSMODP00000003778
ENSMODP00000016652	ENSMODP00000023397
ENSMODP00000023397	ENSMODP00000016652
ENSMODP00000023888	ENSMODP00000000346
ENSMODP00000000346	ENSMODP00000023888
ENSMODP00000019186	ENSMODP00000019189
ENSMODP00000019189	ENSMODP00000019186
ENSMODP00000019186	ENSMODP00000019192
ENSMODP00000019192	ENSMODP00000019186
ENSMODP00000019186	ENSMODP00000015197
ENSMODP00000015197	ENSMODP00000019186
ENSMODP00000019186	ENSMODP00000014605
ENSMODP00000014605	ENSMODP00000019186
ENSMODP00000019186	ENSMODP00000015236
ENSMODP00000015236	ENSMODP00000019186
ENSMODP00000019189	ENSMODP00000019192
ENSMODP00000019192	ENSMODP00000019189
ENSMODP00000019189	ENSMODP00000015197
ENSMODP00000015197	ENSMODP00000019189
ENSMODP00000019189	ENSMODP00000014605
ENSMODP00000014605	ENSMODP00000019189
ENSMODP00000019189	ENSMODP00000015236
ENSMODP00000015236	ENSMODP00000019189
ENSMODP00000019192	ENSMODP00000015197
ENSMODP00000015197	ENSMODP00000019192
ENSMODP00000019192	ENSMODP00000014605
ENSMODP00000014605	ENSMODP00000019192
ENSMODP00000019192	ENSMODP00000015236
ENSMODP00000015236	ENSMODP00000019192
ENSMODP00000015197	ENSMODP00000014605
ENSMODP00000014605	ENSMODP00000015197
ENSMODP00000015197	ENSMODP00000015236
ENSMODP00000015236	ENSMODP00000015197
ENSMODP00000014605	ENSMODP00000015236
ENSMODP00000015236	ENSMODP00000014605
ENSMODP00000019764	ENSMODP00000005729
ENSMODP00000005729	ENSMODP00000019764
ENSMODP00000003767	ENSMODP00000011064
ENSMODP00000011064	ENSMODP00000003767
ENSMODP00000023136	ENSMODP00000001454
ENSMODP00000001454	ENSMODP00000023136
ENSMODP00000023136	ENSMODP00000029199
ENSMODP00000029199	ENSMODP00000023136
ENSMODP00000023136	ENSMODP00000021931
ENSMODP00000021931	ENSMODP00000023136
ENSMODP00000001454	ENSMODP00000029199
ENSMODP00000029199	ENSMODP00000001454
ENSMODP00000001454	ENSMODP00000021931
ENSMODP00000021931	ENSMODP00000001454
ENSMODP00000029199	ENSMODP00000021931
ENSMODP00000021931	ENSMODP00000029199
ENSMODP00000020674	ENSMODP00000020631
ENSMODP00000020631	ENSMODP00000020674
ENSMODP00000020674	ENSMODP00000024509
ENSMODP00000024509	ENSMODP00000020674
ENSMODP00000020631	ENSMODP00000024509
ENSMODP00000024509	ENSMODP00000020631
ENSMODP00000000902	ENSMODP00000010740
ENSMODP00000010740	ENSMODP00000000902
ENSMODP00000000908	ENSMODP00000024234
ENSMODP00000024234	ENSMODP00000000908
ENSMODP00000000908	ENSMODP00000039241
ENSMODP00000039241	ENSMODP00000000908
ENSMODP00000024234	ENSMODP00000039241
ENSMODP00000039241	ENSMODP00000024234
ENSMODP00000035258	ENSMODP00000005846
ENSMODP00000005846	ENSMODP00000035258
ENSMODP00000015999	ENSMODP00000000835
ENSMODP00000000835	ENSMODP00000015999
ENSMODP00000015999	ENSMODP00000014562
ENSMODP00000014562	ENSMODP00000015999
ENSMODP00000000835	ENSMODP00000014562
ENSMODP00000014562	ENSMODP00000000835
ENSMODP00000013547	ENSMODP00000024821
ENSMODP00000024821	ENSMODP00000013547
ENSMODP00000021392	ENSMODP00000001044
ENSMODP00000001044	ENSMODP00000021392
ENSMODP00000021392	ENSMODP00000034172
ENSMODP00000034172	ENSMODP00000021392
ENSMODP00000001044	ENSMODP00000034172
ENSMODP00000034172	ENSMODP00000001044
ENSMODP00000002302	ENSMODP00000017574
ENSMODP00000017574	ENSMODP00000002302
ENSMODP00000016796	ENSMODP00000016013
ENSMODP00000016013	ENSMODP00000016796
ENSMODP00000016796	ENSMODP00000023618
ENSMODP00000023618	ENSMODP00000016796
ENSMODP00000016013	ENSMODP00000023618
ENSMODP00000023618	ENSMODP00000016013
ENSMODP00000017858	ENSMODP00000012397
ENSMODP00000012397	ENSMODP00000017858
ENSMODP00000003704	ENSMODP00000003835
ENSMODP00000003835	ENSMODP00000003704
ENSMODP00000003704	ENSMODP00000002775
ENSMODP00000002775	ENSMODP00000003704
ENSMODP00000003835	ENSMODP00000002775
ENSMODP00000002775	ENSMODP00000003835
ENSMODP00000019036	ENSMODP00000021585
ENSMODP00000021585	ENSMODP00000019036
ENSMODP00000019036	ENSMODP00000017428
ENSMODP00000017428	ENSMODP00000019036
ENSMODP00000019036	ENSMODP00000007723
ENSMODP00000007723	ENSMODP00000019036
ENSMODP00000021585	ENSMODP00000017428
ENSMODP00000017428	ENSMODP00000021585
ENSMODP00000021585	ENSMODP00000007723
ENSMODP00000007723	ENSMODP00000021585
ENSMODP00000017428	ENSMODP00000007723
ENSMODP00000007723	ENSMODP00000017428
ENSMODP00000010717	ENSMODP00000016781
ENSMODP00000016781	ENSMODP00000010717
ENSMODP00000005193	ENSMODP00000006815
ENSMODP00000006815	ENSMODP00000005193
ENSMODP00000005193	ENSMODP00000007822
ENSMODP00000007822	ENSMODP00000005193
ENSMODP00000006815	ENSMODP00000007822
ENSMODP00000007822	ENSMODP00000006815
ENSMODP00000015774	ENSMODP00000011325
ENSMODP00000011325	ENSMODP00000015774
ENSMODP00000009929	ENSMODP00000002001
ENSMODP00000002001	ENSMODP00000009929
ENSMODP00000009929	ENSMODP00000004035
ENSMODP00000004035	ENSMODP00000009929
ENSMODP00000009929	ENSMODP00000013128
ENSMODP00000013128	ENSMODP00000009929
ENSMODP00000002001	ENSMODP00000004035
ENSMODP00000004035	ENSMODP00000002001
ENSMODP00000002001	ENSMODP00000013128
ENSMODP00000013128	ENSMODP00000002001
ENSMODP00000004035	ENSMODP00000013128
ENSMODP00000013128	ENSMODP00000004035
ENSMODP00000026470	ENSMODP00000019748
ENSMODP00000019748	ENSMODP00000026470
ENSMODP00000016349	ENSMODP00000016685
ENSMODP00000016685	ENSMODP00000016349
ENSMODP00000002032	ENSMODP00000022209
ENSMODP00000022209	ENSMODP00000002032
ENSMODP00000002032	ENSMODP00000038261
ENSMODP00000038261	ENSMODP00000002032
ENSMODP00000022209	ENSMODP00000038261
