ENSMUSP00000025288	ENSMUSP00000105282
ENSMUSP00000114020	ENSMUSP00000084462
ENSMUSP00000084462	ENSMUSP00000114020
ENSMUSP00000114020	ENSMUSP00000020679
ENSMUSP00000020679	ENSMUSP00000114020
ENSMUSP00000084462	ENSMUSP00000020679
ENSMUSP00000020679	ENSMUSP00000084462
ENSMUSP00000099608	ENSMUSP00000038922
ENSMUSP00000038922	ENSMUSP00000099608
ENSMUSP00000086017	ENSMUSP00000099397
ENSMUSP00000099397	ENSMUSP00000086017
ENSMUSP00000086017	ENSMUSP00000089212
ENSMUSP00000089212	ENSMUSP00000086017
ENSMUSP00000086017	ENSMUSP00000138839
ENSMUSP00000138839	ENSMUSP00000086017
ENSMUSP00000099397	ENSMUSP00000089212
ENSMUSP00000089212	ENSMUSP00000099397
ENSMUSP00000099397	ENSMUSP00000138839
ENSMUSP00000138839	ENSMUSP00000099397
ENSMUSP00000089212	ENSMUSP00000138839
ENSMUSP00000138839	ENSMUSP00000089212
ENSMUSP00000031034	ENSMUSP00000019516
ENSMUSP00000019516	ENSMUSP00000031034
ENSMUSP00000033081	ENSMUSP00000038229
ENSMUSP00000038229	ENSMUSP00000033081
ENSMUSP00000033081	ENSMUSP00000076698
ENSMUSP00000076698	ENSMUSP00000033081
ENSMUSP00000038229	ENSMUSP00000076698
ENSMUSP00000076698	ENSMUSP00000038229
ENSMUSP00000047308	ENSMUSP00000002305
ENSMUSP00000002305	ENSMUSP00000047308
ENSMUSP00000138819	ENSMUSP00000015858
ENSMUSP00000015858	ENSMUSP00000138819
ENSMUSP00000138819	ENSMUSP00000069238
ENSMUSP00000069238	ENSMUSP00000138819
ENSMUSP00000015858	ENSMUSP00000069238
ENSMUSP00000069238	ENSMUSP00000015858
ENSMUSP00000028426	ENSMUSP00000023762
ENSMUSP00000023762	ENSMUSP00000028426
ENSMUSP00000064556	ENSMUSP00000021682
ENSMUSP00000021682	ENSMUSP00000064556
ENSMUSP00000108629	ENSMUSP00000020624
ENSMUSP00000020624	ENSMUSP00000108629
ENSMUSP00000038964	ENSMUSP00000101004
ENSMUSP00000101004	ENSMUSP00000038964
ENSMUSP00000080467	ENSMUSP00000122476
ENSMUSP00000122476	ENSMUSP00000080467
ENSMUSP00000080467	ENSMUSP00000099733
ENSMUSP00000099733	ENSMUSP00000080467
ENSMUSP00000080467	ENSMUSP00000005103
ENSMUSP00000005103	ENSMUSP00000080467
ENSMUSP00000122476	ENSMUSP00000099733
ENSMUSP00000099733	ENSMUSP00000122476
ENSMUSP00000122476	ENSMUSP00000005103
ENSMUSP00000005103	ENSMUSP00000122476
ENSMUSP00000099733	ENSMUSP00000005103
ENSMUSP00000005103	ENSMUSP00000099733
ENSMUSP00000026703	ENSMUSP00000103815
ENSMUSP00000103815	ENSMUSP00000026703
ENSMUSP00000003509	ENSMUSP00000074764
ENSMUSP00000074764	ENSMUSP00000003509
ENSMUSP00000003509	ENSMUSP00000032421
ENSMUSP00000032421	ENSMUSP00000003509
ENSMUSP00000074764	ENSMUSP00000032421
ENSMUSP00000032421	ENSMUSP00000074764
ENSMUSP00000025477	ENSMUSP00000026896
ENSMUSP00000026896	ENSMUSP00000025477
ENSMUSP00000025477	ENSMUSP00000043477
ENSMUSP00000043477	ENSMUSP00000025477
ENSMUSP00000026896	ENSMUSP00000043477
ENSMUSP00000043477	ENSMUSP00000026896
ENSMUSP00000100012	ENSMUSP00000050047
ENSMUSP00000050047	ENSMUSP00000100012
ENSMUSP00000100012	ENSMUSP00000099434
ENSMUSP00000099434	ENSMUSP00000100012
ENSMUSP00000100012	ENSMUSP00000020908
ENSMUSP00000020908	ENSMUSP00000100012
ENSMUSP00000050047	ENSMUSP00000099434
ENSMUSP00000099434	ENSMUSP00000050047
ENSMUSP00000050047	ENSMUSP00000020908
ENSMUSP00000020908	ENSMUSP00000050047
ENSMUSP00000099434	ENSMUSP00000020908
ENSMUSP00000020908	ENSMUSP00000099434
ENSMUSP00000048260	ENSMUSP00000020339
ENSMUSP00000020339	ENSMUSP00000048260
ENSMUSP00000041205	ENSMUSP00000085900
ENSMUSP00000085900	ENSMUSP00000041205
ENSMUSP00000049346	ENSMUSP00000070648
ENSMUSP00000070648	ENSMUSP00000049346
ENSMUSP00000049346	ENSMUSP00000113708
ENSMUSP00000113708	ENSMUSP00000049346
ENSMUSP00000070648	ENSMUSP00000113708
ENSMUSP00000113708	ENSMUSP00000070648
ENSMUSP00000080579	ENSMUSP00000045036
ENSMUSP00000045036	ENSMUSP00000080579
ENSMUSP00000105240	ENSMUSP00000125718
ENSMUSP00000125718	ENSMUSP00000105240
ENSMUSP00000096957	ENSMUSP00000002989
ENSMUSP00000002989	ENSMUSP00000096957
ENSMUSP00000096957	ENSMUSP00000044578
ENSMUSP00000044578	ENSMUSP00000096957
ENSMUSP00000096957	ENSMUSP00000102710
ENSMUSP00000102710	ENSMUSP00000096957
ENSMUSP00000002989	ENSMUSP00000044578
ENSMUSP00000044578	ENSMUSP00000002989
ENSMUSP00000002989	ENSMUSP00000102710
ENSMUSP00000102710	ENSMUSP00000002989
ENSMUSP00000044578	ENSMUSP00000102710
ENSMUSP00000102710	ENSMUSP00000044578
ENSMUSP00000103474	ENSMUSP00000032500
ENSMUSP00000032500	ENSMUSP00000103474
ENSMUSP00000047652	ENSMUSP00000047387
ENSMUSP00000047387	ENSMUSP00000047652
ENSMUSP00000081531	ENSMUSP00000036674
ENSMUSP00000036674	ENSMUSP00000081531
ENSMUSP00000042867	ENSMUSP00000012426
ENSMUSP00000012426	ENSMUSP00000042867
ENSMUSP00000104411	ENSMUSP00000018630
ENSMUSP00000018630	ENSMUSP00000104411
ENSMUSP00000006718	ENSMUSP00000023732
ENSMUSP00000023732	ENSMUSP00000006718
ENSMUSP00000106861	ENSMUSP00000034590
ENSMUSP00000034590	ENSMUSP00000106861
ENSMUSP00000106861	ENSMUSP00000093762
ENSMUSP00000093762	ENSMUSP00000106861
ENSMUSP00000034590	ENSMUSP00000093762
ENSMUSP00000093762	ENSMUSP00000034590
ENSMUSP00000004784	ENSMUSP00000001384
ENSMUSP00000001384	ENSMUSP00000004784
ENSMUSP00000004784	ENSMUSP00000029773
ENSMUSP00000029773	ENSMUSP00000004784
ENSMUSP00000001384	ENSMUSP00000029773
ENSMUSP00000029773	ENSMUSP00000001384
ENSMUSP00000024049	ENSMUSP00000018382
ENSMUSP00000018382	ENSMUSP00000024049
ENSMUSP00000128621	ENSMUSP00000031278
ENSMUSP00000031278	ENSMUSP00000128621
ENSMUSP00000037654	ENSMUSP00000105486
ENSMUSP00000105486	ENSMUSP00000037654
ENSMUSP00000094528	ENSMUSP00000093960
ENSMUSP00000093960	ENSMUSP00000094528
ENSMUSP00000051080	ENSMUSP00000065643
ENSMUSP00000065643	ENSMUSP00000051080
ENSMUSP00000022707	ENSMUSP00000064131
ENSMUSP00000064131	ENSMUSP00000022707
ENSMUSP00000120362	ENSMUSP00000033450
ENSMUSP00000033450	ENSMUSP00000120362
ENSMUSP00000120362	ENSMUSP00000124459
ENSMUSP00000124459	ENSMUSP00000120362
ENSMUSP00000120362	ENSMUSP00000047199
ENSMUSP00000047199	ENSMUSP00000120362
ENSMUSP00000033450	ENSMUSP00000124459
ENSMUSP00000124459	ENSMUSP00000033450
ENSMUSP00000033450	ENSMUSP00000047199
ENSMUSP00000047199	ENSMUSP00000033450
ENSMUSP00000124459	ENSMUSP00000047199
ENSMUSP00000047199	ENSMUSP00000124459
ENSMUSP00000038015	ENSMUSP00000088670
ENSMUSP00000088670	ENSMUSP00000038015
ENSMUSP00000119993	ENSMUSP00000038909
ENSMUSP00000038909	ENSMUSP00000119993
ENSMUSP00000068629	ENSMUSP00000048978
ENSMUSP00000048978	ENSMUSP00000068629
ENSMUSP00000068629	ENSMUSP00000109067
ENSMUSP00000109067	ENSMUSP00000068629
ENSMUSP00000048978	ENSMUSP00000109067
ENSMUSP00000109067	ENSMUSP00000048978
ENSMUSP00000067752	ENSMUSP00000030306
ENSMUSP00000030306	ENSMUSP00000067752
ENSMUSP00000064775	ENSMUSP00000101046
ENSMUSP00000101046	ENSMUSP00000064775
ENSMUSP00000095964	ENSMUSP00000115260
ENSMUSP00000115260	ENSMUSP00000095964
ENSMUSP00000106905	ENSMUSP00000041942
ENSMUSP00000041942	ENSMUSP00000106905
ENSMUSP00000089513	ENSMUSP00000109098
ENSMUSP00000109098	ENSMUSP00000089513
ENSMUSP00000037532	ENSMUSP00000041622
ENSMUSP00000041622	ENSMUSP00000037532
ENSMUSP00000037532	ENSMUSP00000047923
ENSMUSP00000047923	ENSMUSP00000037532
ENSMUSP00000041622	ENSMUSP00000047923
ENSMUSP00000047923	ENSMUSP00000041622
ENSMUSP00000019199	ENSMUSP00000004968
ENSMUSP00000004968	ENSMUSP00000019199
ENSMUSP00000019199	ENSMUSP00000125373
ENSMUSP00000125373	ENSMUSP00000019199
ENSMUSP00000004968	ENSMUSP00000125373
ENSMUSP00000125373	ENSMUSP00000004968
ENSMUSP00000117346	ENSMUSP00000128446
ENSMUSP00000128446	ENSMUSP00000117346
ENSMUSP00000111093	ENSMUSP00000003117
ENSMUSP00000003117	ENSMUSP00000111093
ENSMUSP00000109886	ENSMUSP00000030763
ENSMUSP00000030763	ENSMUSP00000109886
ENSMUSP00000033380	ENSMUSP00000027697
ENSMUSP00000027697	ENSMUSP00000033380
ENSMUSP00000033380	ENSMUSP00000070355
ENSMUSP00000070355	ENSMUSP00000033380
ENSMUSP00000027697	ENSMUSP00000070355
ENSMUSP00000070355	ENSMUSP00000027697
ENSMUSP00000033918	ENSMUSP00000033755
ENSMUSP00000033755	ENSMUSP00000033918
ENSMUSP00000033918	ENSMUSP00000033756
ENSMUSP00000033756	ENSMUSP00000033918
ENSMUSP00000033918	ENSMUSP00000046476
ENSMUSP00000046476	ENSMUSP00000033918
ENSMUSP00000033755	ENSMUSP00000033756
ENSMUSP00000033756	ENSMUSP00000033755
ENSMUSP00000033755	ENSMUSP00000046476
ENSMUSP00000046476	ENSMUSP00000033755
ENSMUSP00000033756	ENSMUSP00000046476
ENSMUSP00000046476	ENSMUSP00000033756
ENSMUSP00000027538	ENSMUSP00000033549
ENSMUSP00000033549	ENSMUSP00000027538
ENSMUSP00000021262	ENSMUSP00000035250
ENSMUSP00000035250	ENSMUSP00000021262
ENSMUSP00000021262	ENSMUSP00000021268
ENSMUSP00000021268	ENSMUSP00000021262
ENSMUSP00000021262	ENSMUSP00000026795
ENSMUSP00000026795	ENSMUSP00000021262
ENSMUSP00000035250	ENSMUSP00000021268
ENSMUSP00000021268	ENSMUSP00000035250
ENSMUSP00000035250	ENSMUSP00000026795
ENSMUSP00000026795	ENSMUSP00000035250
ENSMUSP00000021268	ENSMUSP00000026795
ENSMUSP00000026795	ENSMUSP00000021268
ENSMUSP00000033341	ENSMUSP00000001562
ENSMUSP00000001562	ENSMUSP00000033341
ENSMUSP00000033341	ENSMUSP00000103391
ENSMUSP00000103391	ENSMUSP00000033341
ENSMUSP00000001562	ENSMUSP00000103391
ENSMUSP00000103391	ENSMUSP00000001562
ENSMUSP00000112110	ENSMUSP00000102770
ENSMUSP00000102770	ENSMUSP00000112110
ENSMUSP00000112110	ENSMUSP00000106443
ENSMUSP00000106443	ENSMUSP00000112110
ENSMUSP00000112110	ENSMUSP00000008995
ENSMUSP00000008995	ENSMUSP00000112110
ENSMUSP00000102770	ENSMUSP00000106443
ENSMUSP00000106443	ENSMUSP00000102770
ENSMUSP00000102770	ENSMUSP00000008995
ENSMUSP00000008995	ENSMUSP00000102770
ENSMUSP00000106443	ENSMUSP00000008995
ENSMUSP00000008995	ENSMUSP00000106443
ENSMUSP00000055535	ENSMUSP00000021062
ENSMUSP00000021062	ENSMUSP00000055535
ENSMUSP00000029541	ENSMUSP00000025500
ENSMUSP00000025500	ENSMUSP00000029541
ENSMUSP00000078971	ENSMUSP00000034267
ENSMUSP00000034267	ENSMUSP00000078971
ENSMUSP00000079864	ENSMUSP00000138944
ENSMUSP00000138944	ENSMUSP00000079864
ENSMUSP00000107850	ENSMUSP00000028328
ENSMUSP00000028328	ENSMUSP00000107850
ENSMUSP00000107850	ENSMUSP00000110022
ENSMUSP00000110022	ENSMUSP00000107850
ENSMUSP00000107850	ENSMUSP00000036830
ENSMUSP00000036830	ENSMUSP00000107850
ENSMUSP00000028328	ENSMUSP00000110022
ENSMUSP00000110022	ENSMUSP00000028328
ENSMUSP00000028328	ENSMUSP00000036830
ENSMUSP00000036830	ENSMUSP00000028328
ENSMUSP00000110022	ENSMUSP00000036830
ENSMUSP00000036830	ENSMUSP00000110022
ENSMUSP00000066839	ENSMUSP00000003445
ENSMUSP00000003445	ENSMUSP00000066839
ENSMUSP00000031795	ENSMUSP00000001595
ENSMUSP00000001595	ENSMUSP00000031795
ENSMUSP00000072472	ENSMUSP00000077919
ENSMUSP00000077919	ENSMUSP00000072472
ENSMUSP00000072472	ENSMUSP00000041828
ENSMUSP00000041828	ENSMUSP00000072472
ENSMUSP00000077919	ENSMUSP00000041828
ENSMUSP00000041828	ENSMUSP00000077919
ENSMUSP00000027377	ENSMUSP00000020702
ENSMUSP00000020702	ENSMUSP00000027377
ENSMUSP00000027377	ENSMUSP00000023807
ENSMUSP00000023807	ENSMUSP00000027377
ENSMUSP00000027377	ENSMUSP00000020704
ENSMUSP00000020704	ENSMUSP00000027377
ENSMUSP00000027377	ENSMUSP00000046610
ENSMUSP00000046610	ENSMUSP00000027377
ENSMUSP00000027377	ENSMUSP00000017637
ENSMUSP00000017637	ENSMUSP00000027377
ENSMUSP00000020702	ENSMUSP00000023807
ENSMUSP00000023807	ENSMUSP00000020702
ENSMUSP00000020702	ENSMUSP00000020704
ENSMUSP00000020704	ENSMUSP00000020702
ENSMUSP00000020702	ENSMUSP00000046610
ENSMUSP00000046610	ENSMUSP00000020702
ENSMUSP00000020702	ENSMUSP00000017637
ENSMUSP00000017637	ENSMUSP00000020702
ENSMUSP00000023807	ENSMUSP00000020704
ENSMUSP00000020704	ENSMUSP00000023807
ENSMUSP00000023807	ENSMUSP00000046610
ENSMUSP00000046610	ENSMUSP00000023807
ENSMUSP00000023807	ENSMUSP00000017637
ENSMUSP00000017637	ENSMUSP00000023807
ENSMUSP00000020704	ENSMUSP00000046610
ENSMUSP00000046610	ENSMUSP00000020704
ENSMUSP00000020704	ENSMUSP00000017637
ENSMUSP00000017637	ENSMUSP00000020704
ENSMUSP00000046610	ENSMUSP00000017637
ENSMUSP00000017637	ENSMUSP00000046610
ENSMUSP00000023601	ENSMUSP00000084091
ENSMUSP00000084091	ENSMUSP00000023601
ENSMUSP00000023601	ENSMUSP00000092654
ENSMUSP00000092654	ENSMUSP00000023601
ENSMUSP00000023601	ENSMUSP00000036227
ENSMUSP00000036227	ENSMUSP00000023601
ENSMUSP00000023601	ENSMUSP00000099882
ENSMUSP00000099882	ENSMUSP00000023601
ENSMUSP00000023601	ENSMUSP00000068598
ENSMUSP00000068598	ENSMUSP00000023601
ENSMUSP00000084091	ENSMUSP00000092654
ENSMUSP00000092654	ENSMUSP00000084091
ENSMUSP00000084091	ENSMUSP00000036227
ENSMUSP00000036227	ENSMUSP00000084091
ENSMUSP00000084091	ENSMUSP00000099882
ENSMUSP00000099882	ENSMUSP00000084091
ENSMUSP00000084091	ENSMUSP00000068598
ENSMUSP00000068598	ENSMUSP00000084091
ENSMUSP00000092654	ENSMUSP00000036227
ENSMUSP00000036227	ENSMUSP00000092654
ENSMUSP00000092654	ENSMUSP00000099882
ENSMUSP00000099882	ENSMUSP00000092654
ENSMUSP00000092654	ENSMUSP00000068598
ENSMUSP00000068598	ENSMUSP00000092654
ENSMUSP00000036227	ENSMUSP00000099882
ENSMUSP00000099882	ENSMUSP00000036227
ENSMUSP00000036227	ENSMUSP00000068598
ENSMUSP00000068598	ENSMUSP00000036227
ENSMUSP00000099882	ENSMUSP00000068598
ENSMUSP00000068598	ENSMUSP00000099882
ENSMUSP00000099922	ENSMUSP00000039657
ENSMUSP00000039657	ENSMUSP00000099922
ENSMUSP00000099922	ENSMUSP00000131964
ENSMUSP00000131964	ENSMUSP00000099922
ENSMUSP00000099922	ENSMUSP00000007340
ENSMUSP00000007340	ENSMUSP00000099922
ENSMUSP00000039657	ENSMUSP00000131964
ENSMUSP00000131964	ENSMUSP00000039657
ENSMUSP00000039657	ENSMUSP00000007340
ENSMUSP00000007340	ENSMUSP00000039657
ENSMUSP00000131964	ENSMUSP00000007340
ENSMUSP00000007340	ENSMUSP00000131964
ENSMUSP00000031037	ENSMUSP00000101500
ENSMUSP00000101500	ENSMUSP00000031037
ENSMUSP00000031037	ENSMUSP00000035257
ENSMUSP00000035257	ENSMUSP00000031037
ENSMUSP00000101500	ENSMUSP00000035257
ENSMUSP00000035257	ENSMUSP00000101500
ENSMUSP00000138836	ENSMUSP00000058045
ENSMUSP00000058045	ENSMUSP00000138836
ENSMUSP00000138836	ENSMUSP00000101768
ENSMUSP00000101768	ENSMUSP00000138836
ENSMUSP00000138836	ENSMUSP00000010605
ENSMUSP00000010605	ENSMUSP00000138836
ENSMUSP00000138836	ENSMUSP00000126137
ENSMUSP00000126137	ENSMUSP00000138836
ENSMUSP00000138836	ENSMUSP00000022746
ENSMUSP00000022746	ENSMUSP00000138836
ENSMUSP00000058045	ENSMUSP00000101768
ENSMUSP00000101768	ENSMUSP00000058045
ENSMUSP00000058045	ENSMUSP00000010605
ENSMUSP00000010605	ENSMUSP00000058045
ENSMUSP00000058045	ENSMUSP00000126137
ENSMUSP00000126137	ENSMUSP00000058045
ENSMUSP00000058045	ENSMUSP00000022746
ENSMUSP00000022746	ENSMUSP00000058045
ENSMUSP00000101768	ENSMUSP00000010605
ENSMUSP00000010605	ENSMUSP00000101768
ENSMUSP00000101768	ENSMUSP00000126137
ENSMUSP00000126137	ENSMUSP00000101768
ENSMUSP00000101768	ENSMUSP00000022746
ENSMUSP00000022746	ENSMUSP00000101768
ENSMUSP00000010605	ENSMUSP00000126137
ENSMUSP00000126137	ENSMUSP00000010605
ENSMUSP00000010605	ENSMUSP00000022746
ENSMUSP00000022746	ENSMUSP00000010605
ENSMUSP00000126137	ENSMUSP00000022746
ENSMUSP00000022746	ENSMUSP00000126137
ENSMUSP00000003434	ENSMUSP00000026093
ENSMUSP00000026093	ENSMUSP00000003434
ENSMUSP00000074864	ENSMUSP00000002880
ENSMUSP00000002880	ENSMUSP00000074864
ENSMUSP00000042466	ENSMUSP00000047278
ENSMUSP00000047278	ENSMUSP00000042466
ENSMUSP00000042466	ENSMUSP00000107444
ENSMUSP00000107444	ENSMUSP00000042466
ENSMUSP00000042466	ENSMUSP00000136302
ENSMUSP00000136302	ENSMUSP00000042466
ENSMUSP00000042466	ENSMUSP00000051575
ENSMUSP00000051575	ENSMUSP00000042466
ENSMUSP00000042466	ENSMUSP00000064462
ENSMUSP00000064462	ENSMUSP00000042466
ENSMUSP00000047278	ENSMUSP00000107444
ENSMUSP00000107444	ENSMUSP00000047278
ENSMUSP00000047278	ENSMUSP00000136302
ENSMUSP00000136302	ENSMUSP00000047278
ENSMUSP00000047278	ENSMUSP00000051575
ENSMUSP00000051575	ENSMUSP00000047278
ENSMUSP00000047278	ENSMUSP00000064462
ENSMUSP00000064462	ENSMUSP00000047278
ENSMUSP00000107444	ENSMUSP00000136302
ENSMUSP00000136302	ENSMUSP00000107444
ENSMUSP00000107444	ENSMUSP00000051575
ENSMUSP00000051575	ENSMUSP00000107444
ENSMUSP00000107444	ENSMUSP00000064462
ENSMUSP00000064462	ENSMUSP00000107444
ENSMUSP00000136302	ENSMUSP00000051575
ENSMUSP00000051575	ENSMUSP00000136302
ENSMUSP00000136302	ENSMUSP00000064462
ENSMUSP00000064462	ENSMUSP00000136302
ENSMUSP00000051575	ENSMUSP00000064462
ENSMUSP00000064462	ENSMUSP00000051575
ENSMUSP00000026427	ENSMUSP00000038757
ENSMUSP00000038757	ENSMUSP00000026427
ENSMUSP00000026427	ENSMUSP00000098548
ENSMUSP00000098548	ENSMUSP00000026427
ENSMUSP00000038757	ENSMUSP00000098548
ENSMUSP00000098548	ENSMUSP00000038757
ENSMUSP00000078302	ENSMUSP00000105212
ENSMUSP00000105212	ENSMUSP00000078302
ENSMUSP00000041897	ENSMUSP00000043085
ENSMUSP00000043085	ENSMUSP00000041897
ENSMUSP00000091551	ENSMUSP00000126377
ENSMUSP00000126377	ENSMUSP00000091551
ENSMUSP00000034046	ENSMUSP00000104533
ENSMUSP00000104533	ENSMUSP00000034046
ENSMUSP00000034046	ENSMUSP00000046585
ENSMUSP00000046585	ENSMUSP00000034046
ENSMUSP00000104533	ENSMUSP00000046585
ENSMUSP00000046585	ENSMUSP00000104533
ENSMUSP00000053238	ENSMUSP00000093141
ENSMUSP00000093141	ENSMUSP00000053238
ENSMUSP00000053238	ENSMUSP00000030041
ENSMUSP00000030041	ENSMUSP00000053238
ENSMUSP00000053238	ENSMUSP00000096695
ENSMUSP00000096695	ENSMUSP00000053238
ENSMUSP00000093141	ENSMUSP00000030041
ENSMUSP00000030041	ENSMUSP00000093141
ENSMUSP00000093141	ENSMUSP00000096695
ENSMUSP00000096695	ENSMUSP00000093141
ENSMUSP00000030041	ENSMUSP00000096695
ENSMUSP00000096695	ENSMUSP00000030041
ENSMUSP00000032561	ENSMUSP00000021689
ENSMUSP00000021689	ENSMUSP00000032561
ENSMUSP00000032561	ENSMUSP00000077781
ENSMUSP00000077781	ENSMUSP00000032561
ENSMUSP00000021689	ENSMUSP00000077781
ENSMUSP00000077781	ENSMUSP00000021689
ENSMUSP00000028829	ENSMUSP00000090987
ENSMUSP00000090987	ENSMUSP00000028829
ENSMUSP00000028829	ENSMUSP00000046216
ENSMUSP00000046216	ENSMUSP00000028829
ENSMUSP00000090987	ENSMUSP00000046216
ENSMUSP00000046216	ENSMUSP00000090987
ENSMUSP00000066516	ENSMUSP00000027226
ENSMUSP00000027226	ENSMUSP00000066516
ENSMUSP00000066516	ENSMUSP00000022954
ENSMUSP00000022954	ENSMUSP00000066516
ENSMUSP00000027226	ENSMUSP00000022954
ENSMUSP00000022954	ENSMUSP00000027226
ENSMUSP00000054452	ENSMUSP00000006424
ENSMUSP00000006424	ENSMUSP00000054452
ENSMUSP00000100040	ENSMUSP00000003438
ENSMUSP00000003438	ENSMUSP00000100040
ENSMUSP00000100040	ENSMUSP00000030477
ENSMUSP00000030477	ENSMUSP00000100040
ENSMUSP00000003438	ENSMUSP00000030477
ENSMUSP00000030477	ENSMUSP00000003438
ENSMUSP00000036039	ENSMUSP00000061390
ENSMUSP00000061390	ENSMUSP00000036039
ENSMUSP00000020692	ENSMUSP00000110074
ENSMUSP00000110074	ENSMUSP00000020692
ENSMUSP00000076887	ENSMUSP00000023726
ENSMUSP00000023726	ENSMUSP00000076887
ENSMUSP00000124473	ENSMUSP00000127245
ENSMUSP00000127245	ENSMUSP00000124473
ENSMUSP00000124473	ENSMUSP00000037576
ENSMUSP00000037576	ENSMUSP00000124473
ENSMUSP00000127245	ENSMUSP00000037576
ENSMUSP00000037576	ENSMUSP00000127245
ENSMUSP00000121125	ENSMUSP00000002518
ENSMUSP00000002518	ENSMUSP00000121125
ENSMUSP00000023486	ENSMUSP00000031729
ENSMUSP00000031729	ENSMUSP00000023486
ENSMUSP00000031691	ENSMUSP00000031690
ENSMUSP00000031690	ENSMUSP00000031691
ENSMUSP00000031691	ENSMUSP00000010191
ENSMUSP00000010191	ENSMUSP00000031691
ENSMUSP00000031691	ENSMUSP00000010195
ENSMUSP00000010195	ENSMUSP00000031691
ENSMUSP00000031691	ENSMUSP00000042667
ENSMUSP00000042667	ENSMUSP00000031691
ENSMUSP00000031690	ENSMUSP00000010191
ENSMUSP00000010191	ENSMUSP00000031690
ENSMUSP00000031690	ENSMUSP00000010195
ENSMUSP00000010195	ENSMUSP00000031690
ENSMUSP00000031690	ENSMUSP00000042667
ENSMUSP00000042667	ENSMUSP00000031690
ENSMUSP00000010191	ENSMUSP00000010195
ENSMUSP00000010195	ENSMUSP00000010191
ENSMUSP00000010191	ENSMUSP00000042667
ENSMUSP00000042667	ENSMUSP00000010191
ENSMUSP00000010195	ENSMUSP00000042667
ENSMUSP00000042667	ENSMUSP00000010195
ENSMUSP00000032093	ENSMUSP00000127892
ENSMUSP00000127892	ENSMUSP00000032093
ENSMUSP00000032093	ENSMUSP00000104878
ENSMUSP00000104878	ENSMUSP00000032093
