ENSGALP00000024336	ENSGALP00000006178
ENSGALP00000017701	ENSGALP00000009611
ENSGALP00000013191	ENSGALP00000017290
ENSGALP00000017290	ENSGALP00000013191
ENSGALP00000027271	ENSGALP00000010863
ENSGALP00000010863	ENSGALP00000027271
ENSGALP00000027271	ENSGALP00000009806
ENSGALP00000009806	ENSGALP00000027271
ENSGALP00000010863	ENSGALP00000009806
ENSGALP00000009806	ENSGALP00000010863
ENSGALP00000027267	ENSGALP00000009798
ENSGALP00000009798	ENSGALP00000027267
ENSGALP00000027267	ENSGALP00000003684
ENSGALP00000003684	ENSGALP00000027267
ENSGALP00000009798	ENSGALP00000003684
ENSGALP00000003684	ENSGALP00000009798
ENSGALP00000017417	ENSGALP00000013142
ENSGALP00000013142	ENSGALP00000017417
ENSGALP00000010979	ENSGALP00000038745
ENSGALP00000038745	ENSGALP00000010979
ENSGALP00000013052	ENSGALP00000020571
ENSGALP00000020571	ENSGALP00000013052
ENSGALP00000008574	ENSGALP00000006182
ENSGALP00000006182	ENSGALP00000008574
ENSGALP00000038563	ENSGALP00000007976
ENSGALP00000007976	ENSGALP00000038563
ENSGALP00000007204	ENSGALP00000010958
ENSGALP00000010958	ENSGALP00000007204
ENSGALP00000008112	ENSGALP00000005789
ENSGALP00000005789	ENSGALP00000008112
ENSGALP00000042285	ENSGALP00000006300
ENSGALP00000006300	ENSGALP00000042285
ENSGALP00000013714	ENSGALP00000014734
ENSGALP00000014734	ENSGALP00000013714
ENSGALP00000000973	ENSGALP00000018656
ENSGALP00000018656	ENSGALP00000000973
ENSGALP00000017596	ENSGALP00000026677
ENSGALP00000026677	ENSGALP00000017596
ENSGALP00000017596	ENSGALP00000026679
ENSGALP00000026679	ENSGALP00000017596
ENSGALP00000017596	ENSGALP00000013670
ENSGALP00000013670	ENSGALP00000017596
ENSGALP00000026677	ENSGALP00000026679
ENSGALP00000026679	ENSGALP00000026677
ENSGALP00000026677	ENSGALP00000013670
ENSGALP00000013670	ENSGALP00000026677
ENSGALP00000026679	ENSGALP00000013670
ENSGALP00000013670	ENSGALP00000026679
ENSGALP00000006782	ENSGALP00000012265
ENSGALP00000012265	ENSGALP00000006782
ENSGALP00000021655	ENSGALP00000009402
ENSGALP00000009402	ENSGALP00000021655
ENSGALP00000009612	ENSGALP00000021856
ENSGALP00000021856	ENSGALP00000009612
ENSGALP00000041045	ENSGALP00000017619
ENSGALP00000017619	ENSGALP00000041045
ENSGALP00000041045	ENSGALP00000033098
ENSGALP00000033098	ENSGALP00000041045
ENSGALP00000017619	ENSGALP00000033098
ENSGALP00000033098	ENSGALP00000017619
ENSGALP00000019975	ENSGALP00000005576
ENSGALP00000005576	ENSGALP00000019975
ENSGALP00000007948	ENSGALP00000021686
ENSGALP00000021686	ENSGALP00000007948
ENSGALP00000038787	ENSGALP00000000530
ENSGALP00000000530	ENSGALP00000038787
ENSGALP00000011453	ENSGALP00000039421
ENSGALP00000039421	ENSGALP00000011453
ENSGALP00000011453	ENSGALP00000014728
ENSGALP00000014728	ENSGALP00000011453
ENSGALP00000011453	ENSGALP00000014501
ENSGALP00000014501	ENSGALP00000011453
ENSGALP00000011453	ENSGALP00000018774
ENSGALP00000018774	ENSGALP00000011453
ENSGALP00000039421	ENSGALP00000014501
ENSGALP00000014501	ENSGALP00000039421
ENSGALP00000039421	ENSGALP00000018774
ENSGALP00000018774	ENSGALP00000039421
ENSGALP00000014728	ENSGALP00000014501
ENSGALP00000014501	ENSGALP00000014728
ENSGALP00000014728	ENSGALP00000018774
ENSGALP00000018774	ENSGALP00000014728
ENSGALP00000014501	ENSGALP00000018774
ENSGALP00000018774	ENSGALP00000014501
ENSGALP00000018209	ENSGALP00000014878
ENSGALP00000014878	ENSGALP00000018209
ENSGALP00000019882	ENSGALP00000041356
ENSGALP00000041356	ENSGALP00000019882
ENSGALP00000013781	ENSGALP00000013726
ENSGALP00000013726	ENSGALP00000013781
ENSGALP00000037370	ENSGALP00000020311
ENSGALP00000020311	ENSGALP00000037370
ENSGALP00000037370	ENSGALP00000020307
ENSGALP00000020307	ENSGALP00000037370
ENSGALP00000037370	ENSGALP00000018675
ENSGALP00000018675	ENSGALP00000037370
ENSGALP00000037370	ENSGALP00000040685
ENSGALP00000040685	ENSGALP00000037370
ENSGALP00000020311	ENSGALP00000020307
ENSGALP00000020307	ENSGALP00000020311
ENSGALP00000020311	ENSGALP00000018675
ENSGALP00000018675	ENSGALP00000020311
ENSGALP00000020311	ENSGALP00000040685
ENSGALP00000040685	ENSGALP00000020311
ENSGALP00000020307	ENSGALP00000018675
ENSGALP00000018675	ENSGALP00000020307
ENSGALP00000020307	ENSGALP00000040685
ENSGALP00000040685	ENSGALP00000020307
ENSGALP00000018675	ENSGALP00000040685
ENSGALP00000040685	ENSGALP00000018675
ENSGALP00000008889	ENSGALP00000027075
ENSGALP00000027075	ENSGALP00000008889
ENSGALP00000008889	ENSGALP00000008481
ENSGALP00000008481	ENSGALP00000008889
ENSGALP00000008889	ENSGALP00000014663
ENSGALP00000014663	ENSGALP00000008889
ENSGALP00000008889	ENSGALP00000008104
ENSGALP00000008104	ENSGALP00000008889
ENSGALP00000008889	ENSGALP00000014672
ENSGALP00000014672	ENSGALP00000008889
ENSGALP00000027075	ENSGALP00000008481
ENSGALP00000008481	ENSGALP00000027075
ENSGALP00000027075	ENSGALP00000014663
ENSGALP00000014663	ENSGALP00000027075
ENSGALP00000027075	ENSGALP00000008104
ENSGALP00000008104	ENSGALP00000027075
ENSGALP00000027075	ENSGALP00000014672
ENSGALP00000014672	ENSGALP00000027075
ENSGALP00000008481	ENSGALP00000014663
ENSGALP00000014663	ENSGALP00000008481
ENSGALP00000008481	ENSGALP00000008104
ENSGALP00000008104	ENSGALP00000008481
ENSGALP00000008481	ENSGALP00000014672
ENSGALP00000014672	ENSGALP00000008481
ENSGALP00000014663	ENSGALP00000008104
ENSGALP00000008104	ENSGALP00000014663
ENSGALP00000014663	ENSGALP00000014672
ENSGALP00000014672	ENSGALP00000014663
ENSGALP00000008104	ENSGALP00000014672
ENSGALP00000014672	ENSGALP00000008104
ENSGALP00000024150	ENSGALP00000010431
ENSGALP00000010431	ENSGALP00000024150
ENSGALP00000016884	ENSGALP00000025920
ENSGALP00000025920	ENSGALP00000016884
ENSGALP00000023682	ENSGALP00000003295
ENSGALP00000003295	ENSGALP00000023682
ENSGALP00000023682	ENSGALP00000018278
ENSGALP00000018278	ENSGALP00000023682
ENSGALP00000023682	ENSGALP00000005914
ENSGALP00000005914	ENSGALP00000023682
ENSGALP00000023682	ENSGALP00000005933
ENSGALP00000005933	ENSGALP00000023682
ENSGALP00000003295	ENSGALP00000018278
ENSGALP00000018278	ENSGALP00000003295
ENSGALP00000003295	ENSGALP00000005914
ENSGALP00000005914	ENSGALP00000003295
ENSGALP00000003295	ENSGALP00000005933
ENSGALP00000005933	ENSGALP00000003295
ENSGALP00000018278	ENSGALP00000005914
ENSGALP00000005914	ENSGALP00000018278
ENSGALP00000018278	ENSGALP00000005933
ENSGALP00000005933	ENSGALP00000018278
ENSGALP00000005914	ENSGALP00000005933
ENSGALP00000005933	ENSGALP00000005914
ENSGALP00000001500	ENSGALP00000009678
ENSGALP00000009678	ENSGALP00000001500
ENSGALP00000014673	ENSGALP00000019114
ENSGALP00000019114	ENSGALP00000014673
ENSGALP00000024076	ENSGALP00000013447
ENSGALP00000013447	ENSGALP00000024076
ENSGALP00000024076	ENSGALP00000013448
ENSGALP00000013448	ENSGALP00000024076
ENSGALP00000024076	ENSGALP00000013450
ENSGALP00000013450	ENSGALP00000024076
ENSGALP00000024076	ENSGALP00000024083
ENSGALP00000024083	ENSGALP00000024076
ENSGALP00000024076	ENSGALP00000024082
ENSGALP00000024082	ENSGALP00000024076
ENSGALP00000013447	ENSGALP00000013448
ENSGALP00000013448	ENSGALP00000013447
ENSGALP00000013447	ENSGALP00000013450
ENSGALP00000013450	ENSGALP00000013447
ENSGALP00000013447	ENSGALP00000024083
ENSGALP00000024083	ENSGALP00000013447
ENSGALP00000013447	ENSGALP00000024082
ENSGALP00000024082	ENSGALP00000013447
ENSGALP00000013448	ENSGALP00000013450
ENSGALP00000013450	ENSGALP00000013448
ENSGALP00000013448	ENSGALP00000024083
ENSGALP00000024083	ENSGALP00000013448
ENSGALP00000013448	ENSGALP00000024082
ENSGALP00000024082	ENSGALP00000013448
ENSGALP00000013450	ENSGALP00000024083
ENSGALP00000024083	ENSGALP00000013450
ENSGALP00000013450	ENSGALP00000024082
ENSGALP00000024082	ENSGALP00000013450
ENSGALP00000024083	ENSGALP00000024082
ENSGALP00000024082	ENSGALP00000024083
ENSGALP00000011296	ENSGALP00000023592
ENSGALP00000023592	ENSGALP00000011296
ENSGALP00000014112	ENSGALP00000041748
ENSGALP00000041748	ENSGALP00000014112
ENSGALP00000010121	ENSGALP00000018337
ENSGALP00000018337	ENSGALP00000010121
ENSGALP00000006947	ENSGALP00000010805
ENSGALP00000010805	ENSGALP00000006947
ENSGALP00000017274	ENSGALP00000010722
ENSGALP00000010722	ENSGALP00000017274
ENSGALP00000017274	ENSGALP00000041770
ENSGALP00000041770	ENSGALP00000017274
ENSGALP00000010722	ENSGALP00000041770
ENSGALP00000041770	ENSGALP00000010722
ENSGALP00000040940	ENSGALP00000005190
ENSGALP00000005190	ENSGALP00000040940
ENSGALP00000011904	ENSGALP00000000058
ENSGALP00000000058	ENSGALP00000011904
ENSGALP00000011904	ENSGALP00000014581
ENSGALP00000014581	ENSGALP00000011904
ENSGALP00000000058	ENSGALP00000014581
ENSGALP00000014581	ENSGALP00000000058
ENSGALP00000018258	ENSGALP00000015125
ENSGALP00000015125	ENSGALP00000018258
ENSGALP00000042267	ENSGALP00000014259
ENSGALP00000014259	ENSGALP00000042267
ENSGALP00000009449	ENSGALP00000026363
ENSGALP00000026363	ENSGALP00000009449
ENSGALP00000005166	ENSGALP00000026192
ENSGALP00000026192	ENSGALP00000005166
ENSGALP00000005166	ENSGALP00000026072
ENSGALP00000026072	ENSGALP00000005166
ENSGALP00000026192	ENSGALP00000026072
ENSGALP00000026072	ENSGALP00000026192
ENSGALP00000041626	ENSGALP00000018856
ENSGALP00000018856	ENSGALP00000041626
ENSGALP00000016984	ENSGALP00000041658
ENSGALP00000041658	ENSGALP00000016984
ENSGALP00000011895	ENSGALP00000037169
ENSGALP00000037169	ENSGALP00000011895
ENSGALP00000042394	ENSGALP00000018378
ENSGALP00000018378	ENSGALP00000042394
ENSGALP00000042394	ENSGALP00000007439
ENSGALP00000007439	ENSGALP00000042394
ENSGALP00000042394	ENSGALP00000012308
ENSGALP00000012308	ENSGALP00000042394
ENSGALP00000018378	ENSGALP00000007439
ENSGALP00000007439	ENSGALP00000018378
ENSGALP00000018378	ENSGALP00000012308
ENSGALP00000012308	ENSGALP00000018378
ENSGALP00000007439	ENSGALP00000012308
ENSGALP00000012308	ENSGALP00000007439
ENSGALP00000032209	ENSGALP00000011089
ENSGALP00000011089	ENSGALP00000032209
ENSGALP00000032209	ENSGALP00000042413
ENSGALP00000042413	ENSGALP00000032209
ENSGALP00000011089	ENSGALP00000042413
ENSGALP00000042413	ENSGALP00000011089
ENSGALP00000041485	ENSGALP00000041496
ENSGALP00000041496	ENSGALP00000041485
ENSGALP00000014237	ENSGALP00000030077
ENSGALP00000030077	ENSGALP00000014237
ENSGALP00000014237	ENSGALP00000003336
ENSGALP00000003336	ENSGALP00000014237
ENSGALP00000014237	ENSGALP00000001136
ENSGALP00000001136	ENSGALP00000014237
ENSGALP00000014237	ENSGALP00000040977
ENSGALP00000040977	ENSGALP00000014237
ENSGALP00000030077	ENSGALP00000003336
ENSGALP00000003336	ENSGALP00000030077
ENSGALP00000030077	ENSGALP00000001136
ENSGALP00000001136	ENSGALP00000030077
ENSGALP00000030077	ENSGALP00000040977
ENSGALP00000040977	ENSGALP00000030077
ENSGALP00000003336	ENSGALP00000001136
ENSGALP00000001136	ENSGALP00000003336
ENSGALP00000003336	ENSGALP00000040977
ENSGALP00000040977	ENSGALP00000003336
ENSGALP00000001136	ENSGALP00000040977
ENSGALP00000040977	ENSGALP00000001136
ENSGALP00000015293	ENSGALP00000013575
ENSGALP00000013575	ENSGALP00000015293
ENSGALP00000011851	ENSGALP00000015542
ENSGALP00000015542	ENSGALP00000011851
ENSGALP00000025631	ENSGALP00000026153
ENSGALP00000026153	ENSGALP00000025631
ENSGALP00000025631	ENSGALP00000009339
ENSGALP00000009339	ENSGALP00000025631
ENSGALP00000026153	ENSGALP00000009339
ENSGALP00000009339	ENSGALP00000026153
ENSGALP00000017249	ENSGALP00000025071
ENSGALP00000025071	ENSGALP00000017249
ENSGALP00000025254	ENSGALP00000043236
ENSGALP00000043236	ENSGALP00000025254
ENSGALP00000032176	ENSGALP00000040460
ENSGALP00000040460	ENSGALP00000032176
ENSGALP00000032176	ENSGALP00000006001
ENSGALP00000006001	ENSGALP00000032176
ENSGALP00000040460	ENSGALP00000006001
ENSGALP00000006001	ENSGALP00000040460
ENSGALP00000038910	ENSGALP00000002804
ENSGALP00000002804	ENSGALP00000038910
ENSGALP00000038910	ENSGALP00000012015
ENSGALP00000012015	ENSGALP00000038910
ENSGALP00000002804	ENSGALP00000012015
ENSGALP00000012015	ENSGALP00000002804
ENSGALP00000024720	ENSGALP00000041141
ENSGALP00000041141	ENSGALP00000024720
ENSGALP00000024720	ENSGALP00000033738
ENSGALP00000033738	ENSGALP00000024720
ENSGALP00000041141	ENSGALP00000033738
ENSGALP00000033738	ENSGALP00000041141
ENSGALP00000041417	ENSGALP00000016518
ENSGALP00000016518	ENSGALP00000041417
ENSGALP00000026350	ENSGALP00000024556
ENSGALP00000024556	ENSGALP00000026350
ENSGALP00000040830	ENSGALP00000043176
ENSGALP00000043176	ENSGALP00000040830
ENSGALP00000040830	ENSGALP00000026399
ENSGALP00000026399	ENSGALP00000040830
ENSGALP00000043176	ENSGALP00000026399
ENSGALP00000026399	ENSGALP00000043176
ENSGALP00000040961	ENSGALP00000001914
ENSGALP00000001914	ENSGALP00000040961
ENSGALP00000040961	ENSGALP00000030892
ENSGALP00000030892	ENSGALP00000040961
ENSGALP00000001914	ENSGALP00000030892
ENSGALP00000030892	ENSGALP00000001914
ENSGALP00000008892	ENSGALP00000025221
ENSGALP00000025221	ENSGALP00000008892
ENSGALP00000008892	ENSGALP00000003035
ENSGALP00000003035	ENSGALP00000008892
ENSGALP00000025221	ENSGALP00000003035
ENSGALP00000003035	ENSGALP00000025221
ENSGALP00000037618	ENSGALP00000009621
ENSGALP00000009621	ENSGALP00000037618
ENSGALP00000039384	ENSGALP00000041259
ENSGALP00000041259	ENSGALP00000039384
ENSGALP00000027876	ENSGALP00000002287
ENSGALP00000002287	ENSGALP00000027876
ENSGALP00000001583	ENSGALP00000016838
ENSGALP00000016838	ENSGALP00000001583
ENSGALP00000019943	ENSGALP00000016475
ENSGALP00000016475	ENSGALP00000019943
ENSGALP00000020611	ENSGALP00000024015
ENSGALP00000024015	ENSGALP00000020611
ENSGALP00000020611	ENSGALP00000029600
ENSGALP00000029600	ENSGALP00000020611
ENSGALP00000024015	ENSGALP00000029600
ENSGALP00000029600	ENSGALP00000024015
ENSGALP00000041378	ENSGALP00000001317
ENSGALP00000001317	ENSGALP00000041378
ENSGALP00000042939	ENSGALP00000005328
ENSGALP00000005328	ENSGALP00000042939
ENSGALP00000007413	ENSGALP00000008256
ENSGALP00000008256	ENSGALP00000007413
ENSGALP00000008707	ENSGALP00000013692
ENSGALP00000013692	ENSGALP00000008707
ENSGALP00000012178	ENSGALP00000010477
ENSGALP00000010477	ENSGALP00000012178
ENSGALP00000026323	ENSGALP00000039879
ENSGALP00000039879	ENSGALP00000026323
ENSGALP00000003502	ENSGALP00000001704
ENSGALP00000001704	ENSGALP00000003502
ENSGALP00000001688	ENSGALP00000024312
ENSGALP00000024312	ENSGALP00000001688
ENSGALP00000001688	ENSGALP00000009724
ENSGALP00000009724	ENSGALP00000001688
ENSGALP00000024312	ENSGALP00000009724
ENSGALP00000009724	ENSGALP00000024312
ENSGALP00000024855	ENSGALP00000042850
ENSGALP00000042850	ENSGALP00000024855
ENSGALP00000024855	ENSGALP00000033652
ENSGALP00000033652	ENSGALP00000024855
ENSGALP00000024855	ENSGALP00000011971
ENSGALP00000011971	ENSGALP00000024855
ENSGALP00000042850	ENSGALP00000033652
ENSGALP00000033652	ENSGALP00000042850
ENSGALP00000042850	ENSGALP00000011971
ENSGALP00000011971	ENSGALP00000042850
ENSGALP00000033652	ENSGALP00000011971
ENSGALP00000011971	ENSGALP00000033652
ENSGALP00000006738	ENSGALP00000024953
ENSGALP00000024953	ENSGALP00000006738
ENSGALP00000023925	ENSGALP00000024913
ENSGALP00000024913	ENSGALP00000023925
ENSGALP00000022679	ENSGALP00000003973
ENSGALP00000003973	ENSGALP00000022679
ENSGALP00000022679	ENSGALP00000039901
ENSGALP00000039901	ENSGALP00000022679
ENSGALP00000003973	ENSGALP00000039901
ENSGALP00000039901	ENSGALP00000003973
ENSGALP00000004444	ENSGALP00000021570
ENSGALP00000021570	ENSGALP00000004444
ENSGALP00000040814	ENSGALP00000040622
ENSGALP00000040622	ENSGALP00000040814
ENSGALP00000018880	ENSGALP00000008931
ENSGALP00000008931	ENSGALP00000018880
ENSGALP00000002373	ENSGALP00000038523
ENSGALP00000038523	ENSGALP00000002373
ENSGALP00000026331	ENSGALP00000003970
ENSGALP00000003970	ENSGALP00000026331
ENSGALP00000026331	ENSGALP00000023839
ENSGALP00000023839	ENSGALP00000026331
ENSGALP00000026331	ENSGALP00000041434
ENSGALP00000041434	ENSGALP00000026331
ENSGALP00000026331	ENSGALP00000001565
ENSGALP00000001565	ENSGALP00000026331
ENSGALP00000003970	ENSGALP00000023839
ENSGALP00000023839	ENSGALP00000003970
ENSGALP00000003970	ENSGALP00000041434
ENSGALP00000041434	ENSGALP00000003970
ENSGALP00000003970	ENSGALP00000001565
ENSGALP00000001565	ENSGALP00000003970
ENSGALP00000023839	ENSGALP00000001565
ENSGALP00000001565	ENSGALP00000023839
ENSGALP00000041434	ENSGALP00000001565
ENSGALP00000001565	ENSGALP00000041434
ENSGALP00000043429	ENSGALP00000012996
ENSGALP00000012996	ENSGALP00000043429
ENSGALP00000042253	ENSGALP00000003190
ENSGALP00000003190	ENSGALP00000042253
ENSGALP00000000626	ENSGALP00000032471
ENSGALP00000032471	ENSGALP00000000626
ENSGALP00000000626	ENSGALP00000018165
ENSGALP00000018165	ENSGALP00000000626
ENSGALP00000032471	ENSGALP00000018165
ENSGALP00000018165	ENSGALP00000032471
ENSGALP00000006610	ENSGALP00000027477
ENSGALP00000027477	ENSGALP00000006610
ENSGALP00000006610	ENSGALP00000034251
ENSGALP00000034251	ENSGALP00000006610
ENSGALP00000027477	ENSGALP00000034251
ENSGALP00000034251	ENSGALP00000027477
ENSGALP00000041121	ENSGALP00000042973
ENSGALP00000042973	ENSGALP00000041121
ENSGALP00000020036	ENSGALP00000011799
ENSGALP00000011799	ENSGALP00000020036
ENSGALP00000020036	ENSGALP00000006645
ENSGALP00000006645	ENSGALP00000020036
ENSGALP00000011799	ENSGALP00000006645
ENSGALP00000006645	ENSGALP00000011799
ENSGALP00000021021	ENSGALP00000014400
ENSGALP00000014400	ENSGALP00000021021
ENSGALP00000034297	ENSGALP00000009628
ENSGALP00000009628	ENSGALP00000034297
ENSGALP00000020540	ENSGALP00000011010
ENSGALP00000011010	ENSGALP00000020540
ENSGALP00000039900	ENSGALP00000019136
ENSGALP00000019136	ENSGALP00000039900
ENSGALP00000038626	ENSGALP00000010237
ENSGALP00000010237	ENSGALP00000038626
ENSGALP00000038626	ENSGALP00000041792
ENSGALP00000041792	ENSGALP00000038626
ENSGALP00000010237	ENSGALP00000041792
ENSGALP00000041792	ENSGALP00000010237
ENSGALP00000015662	ENSGALP00000018239
ENSGALP00000018239	ENSGALP00000015662
ENSGALP00000005183	ENSGALP00000023854
ENSGALP00000023854	ENSGALP00000005183
ENSGALP00000037648	ENSGALP00000042279
ENSGALP00000042279	ENSGALP00000037648
ENSGALP00000002940	ENSGALP00000017594
ENSGALP00000017594	ENSGALP00000002940
ENSGALP00000002940	ENSGALP00000042395
ENSGALP00000042395	ENSGALP00000002940
ENSGALP00000017594	ENSGALP00000042395
ENSGALP00000042395	ENSGALP00000017594
ENSGALP00000004365	ENSGALP00000004366
ENSGALP00000004366	ENSGALP00000004365
ENSGALP00000000423	ENSGALP00000043387
ENSGALP00000043387	ENSGALP00000000423
ENSGALP00000000423	ENSGALP00000006426
ENSGALP00000006426	ENSGALP00000000423
ENSGALP00000043387	ENSGALP00000006426
ENSGALP00000006426	ENSGALP00000043387
ENSGALP00000014860	ENSGALP00000041570
ENSGALP00000041570	ENSGALP00000014860
ENSGALP00000025581	ENSGALP00000024602
