SINCAM012787	SINCAM922661
SINCAM016755	SINCAM006217
SINCAM001766	SINCAM006777
SINCAM000392	SINCAM006932
SINCAM015098	SINCAM007132
SINCAM008953	SINCAM003382
SINCAM005572	SINCAM011600
SINCAM006043	SINCAM009825
SINCAM011833	SINCAM003085
SINCAM000373	SINCAM009937
SINCAM921717	SINCAM009620
SINCAM000607	SINCAM010001
SINCAM003530	SINCAM008254
SINCAM013315	SINCAM001975
SINCAM014667	SINCAM015038
SINCAM001389	SINCAM013220
SINCAM015990	SINCAM009949
SINCAM015993	SINCAM015400
SINCAM006618	SINCAM922404
SINCAM002589	SINCAM002831
SINCAM012242	SINCAM005939
SINCAM002695	SINCAM920779
SINCAM011167	SINCAM002694
SINCAM010918	SINCAM009987
SINCAM922602	SINCAM921719
SINCAM015251	SINCAM014570
SINCAM016643	SINCAM009056
SINCAM005675	SINCAM011693
SINCAM002669	SINCAM003211
SINCAM922310	SINCAM000309
SINCAM921459	SINCAM000577
SINCAM013218	SINCAM012750
SINCAM921394	SINCAM922417
SINCAM016723	SINCAM011303
SINCAM011625	SINCAM012331
SINCAM015709	SINCAM015354
SINCAM000978	SINCAM012721
SINCAM002043	SINCAM006722
SINCAM014855	SINCAM922219
SINCAM922306	SINCAM004414
SINCAM011971	SINCAM001857
SINCAM923171	SINCAM923118
SINCAM921468	SINCAM005237
SINCAM018103	SINCAM007402
SINCAM004703	SINCAM000618
SINCAM005902	SINCAM009912
SINCAM014972	SINCAM015892
SINCAM017760	SINCAM014694
SINCAM014180	SINCAM006588
SINCAM922954	SINCAM922997
SINCAM002392	SINCAM014324
SINCAM005715	SINCAM016680
SINCAM007385	SINCAM013441
SINCAM012424	SINCAM016075
SINCAM003314	SINCAM009131
SINCAM007398	SINCAM015392
SINCAM006211	SINCAM009900
SINCAM002565	SINCAM016247
SINCAM015420	SINCAM014570
SINCAM001455	SINCAM013942
SINCAM004428	SINCAM004537
SINCAM015519	SINCAM017817
SINCAM001946	SINCAM013378
SINCAM013786	SINCAM009315
SINCAM921230	SINCAM008493
SINCAM012095	SINCAM014748
SINCAM001669	SINCAM006527
SINCAM007100	SINCAM000846
SINCAM923070	SINCAM002145
SINCAM007769	SINCAM923138
SINCAM006104	SINCAM012129
SINCAM009047	SINCAM010286
SINCAM014626	SINCAM015299
SINCAM922508	SINCAM010382
SINCAM004913	SINCAM015802
SINCAM011227	SINCAM012506
SINCAM002017	SINCAM921287
SINCAM013076	SINCAM012795
SINCAM006403	SINCAM006264
SINCAM013314	SINCAM001977
SINCAM012930	SINCAM922211
SINCAM006729	SINCAM014203
SINCAM000332	SINCAM007135
SINCAM009253	SINCAM922896
SINCAM014418	SINCAM014462
SINCAM016617	SINCAM000371
SINCAM013913	SINCAM004129
SINCAM009031	SINCAM001837
SINCAM009931	SINCAM000518
SINCAM003917	SINCAM008433
SINCAM011850	SINCAM002651
SINCAM012553	SINCAM922037
SINCAM015266	SINCAM009500
SINCAM015850	SINCAM017239
SINCAM008320	SINCAM000334
SINCAM922659	SINCAM012947
SINCAM002099	SINCAM014236
SINCAM007635	SINCAM009516
SINCAM000896	SINCAM005404
SINCAM013546	SINCAM920830
SINCAM012208	SINCAM001902
SINCAM005687	SINCAM010782
SINCAM006616	SINCAM006614
SINCAM007333	SINCAM920939
SINCAM012047	SINCAM003720
SINCAM014570	SINCAM015253
SINCAM013660	SINCAM013662
SINCAM015569	SINCAM015583
SINCAM011863	SINCAM015615
SINCAM012043	SINCAM002926
SINCAM920703	SINCAM922086
SINCAM002609	SINCAM011994
SINCAM003717	SINCAM921269
SINCAM014932	SINCAM017346
SINCAM014720	SINCAM921266
SINCAM922400	SINCAM004868
SINCAM922558	SINCAM011867
SINCAM017107	SINCAM009358
SINCAM922106	SINCAM013802
SINCAM015459	SINCAM009181
SINCAM005388	SINCAM000124
SINCAM921288	SINCAM009503
SINCAM004972	SINCAM922776
SINCAM005130	SINCAM008036
SINCAM007035	SINCAM007034
SINCAM011174	SINCAM010817
SINCAM002634	SINCAM016552
SINCAM922188	SINCAM000731
SINCAM003254	SINCAM010826
SINCAM008489	SINCAM003950
SINCAM003906	SINCAM008221
SINCAM015587	SINCAM014626
SINCAM003145	SINCAM008990
SINCAM016368	SINCAM011085
SINCAM921793	SINCAM012259
SINCAM012967	SINCAM001190
SINCAM009391	SINCAM921363
SINCAM006264	SINCAM006403
SINCAM005076	SINCAM014517
SINCAM017904	SINCAM923130
SINCAM010515	SINCAM002688
SINCAM922877	SINCAM921303
SINCAM010552	SINCAM001659
SINCAM920977	SINCAM005725
SINCAM010803	SINCAM010251
SINCAM002016	SINCAM921287
SINCAM000539	SINCAM004766
SINCAM007455	SINCAM010446
SINCAM013285	SINCAM009030
SINCAM000438	SINCAM003935
SINCAM014884	SINCAM011494
SINCAM009444	SINCAM920649
SINCAM006234	SINCAM009625
SINCAM004547	SINCAM004734
SINCAM005266	SINCAM920867
SINCAM015012	SINCAM014570
SINCAM921962	SINCAM921292
SINCAM009636	SINCAM921003
SINCAM000205	SINCAM001309
SINCAM013392	SINCAM002090
SINCAM001679	SINCAM014185
SINCAM014731	SINCAM002178
SINCAM011950	SINCAM011952
SINCAM014590	SINCAM017991
SINCAM010254	SINCAM010246
SINCAM921100	SINCAM922852
SINCAM016140	SINCAM016055
SINCAM015982	SINCAM005715
SINCAM014526	SINCAM011558
SINCAM921274	SINCAM008886
SINCAM007202	SINCAM000277
SINCAM000027	SINCAM006984
SINCAM017700	SINCAM015843
SINCAM004580	SINCAM010875
SINCAM006436	SINCAM001578
SINCAM002793	SINCAM006372
SINCAM015647	SINCAM017282
SINCAM002065	SINCAM921587
SINCAM005722	SINCAM920424
SINCAM014323	SINCAM007201
SINCAM922293	SINCAM011131
SINCAM006372	SINCAM002793
SINCAM003987	SINCAM003667
SINCAM001711	SINCAM006433
SINCAM014298	SINCAM921828
SINCAM007962	SINCAM014453
SINCAM014750	SINCAM012341
SINCAM014744	SINCAM001107
SINCAM014570	SINCAM006894
SINCAM001725	SINCAM921625
SINCAM016000	SINCAM013538
SINCAM006045	SINCAM011447
SINCAM923097	SINCAM016931
SINCAM015299	SINCAM017899
SINCAM003109	SINCAM008909
SINCAM012515	SINCAM014769
SINCAM015091	SINCAM007050
SINCAM012786	SINCAM005004
SINCAM011545	SINCAM922779
SINCAM017290	SINCAM007223
SINCAM922788	SINCAM012604
SINCAM922491	SINCAM922127
SINCAM017968	SINCAM015786
SINCAM921357	SINCAM922239
SINCAM014338	SINCAM007159
SINCAM009423	SINCAM010848
SINCAM016180	SINCAM005570
SINCAM922521	SINCAM009891
SINCAM012722	SINCAM003041
SINCAM004115	SINCAM004113
SINCAM002320	SINCAM013935
SINCAM006736	SINCAM001776
SINCAM014581	SINCAM922847
SINCAM014249	SINCAM016492
SINCAM922037	SINCAM922036
SINCAM920516	SINCAM000609
SINCAM015284	SINCAM011303
SINCAM002490	SINCAM003096
SINCAM016873	SINCAM014570
SINCAM004050	SINCAM013911
SINCAM013060	SINCAM012929
SINCAM013714	SINCAM013713
SINCAM013471	SINCAM006765
SINCAM015569	SINCAM014594
SINCAM002416	SINCAM010665
SINCAM921074	SINCAM002310
SINCAM013306	SINCAM014076
SINCAM017463	SINCAM016159
SINCAM015421	SINCAM018101
SINCAM015647	SINCAM015482
SINCAM008889	SINCAM002998
SINCAM001132	SINCAM013064
SINCAM000379	SINCAM006941
SINCAM015375	SINCAM009312
SINCAM001105	SINCAM012886
SINCAM013577	SINCAM009631
SINCAM922872	SINCAM921845
SINCAM004187	SINCAM013972
SINCAM016506	SINCAM015559
SINCAM922665	SINCAM012759
SINCAM007405	SINCAM002264
SINCAM921772	SINCAM003036
SINCAM014615	SINCAM014603
SINCAM922722	SINCAM011370
SINCAM008064	SINCAM015619
SINCAM005645	SINCAM012335
SINCAM000619	SINCAM004701
SINCAM008977	SINCAM010392
SINCAM016531	SINCAM000793
SINCAM000523	SINCAM921266
SINCAM004243	SINCAM009340
SINCAM015820	SINCAM005640
SINCAM000893	SINCAM004053
SINCAM010656	SINCAM002052
SINCAM006473	SINCAM001775
SINCAM008093	SINCAM921234
SINCAM922308	SINCAM922943
SINCAM016209	SINCAM005105
SINCAM009332	SINCAM922710
SINCAM002830	SINCAM922967
SINCAM008438	SINCAM014568
SINCAM015844	SINCAM922847
SINCAM004622	SINCAM010748
SINCAM013044	SINCAM922682
SINCAM005190	SINCAM007941
SINCAM005407	SINCAM007756
SINCAM017226	SINCAM014696
SINCAM015066	SINCAM014568
SINCAM013461	SINCAM005579
SINCAM000650	SINCAM004761
SINCAM921891	SINCAM016134
SINCAM922574	SINCAM011230
SINCAM010576	SINCAM016168
SINCAM016191	SINCAM015647
SINCAM922550	SINCAM013594
SINCAM013551	SINCAM012250
SINCAM002893	SINCAM014136
SINCAM008168	SINCAM007262
SINCAM013216	SINCAM016556
SINCAM002315	SINCAM002873
SINCAM013537	SINCAM921624
SINCAM921292	SINCAM015055
SINCAM921985	SINCAM012368
SINCAM004770	SINCAM010296
SINCAM010243	SINCAM000288
SINCAM004474	SINCAM010807
SINCAM009609	SINCAM005881
SINCAM012315	SINCAM005637
SINCAM001130	SINCAM012894
SINCAM000734	SINCAM010071
SINCAM923121	SINCAM003422
SINCAM006478	SINCAM922632
SINCAM008925	SINCAM003312
SINCAM014510	SINCAM920867
SINCAM016864	SINCAM010254
SINCAM003621	SINCAM008194
SINCAM014760	SINCAM012636
SINCAM003771	SINCAM921660
SINCAM005987	SINCAM005986
SINCAM014698	SINCAM014663
SINCAM009359	SINCAM010833
SINCAM002994	SINCAM011658
SINCAM009624	SINCAM018041
SINCAM015279	SINCAM009317
SINCAM009073	SINCAM002899
SINCAM922851	SINCAM007929
SINCAM013654	SINCAM014412
SINCAM921860	SINCAM921082
SINCAM016784	SINCAM015711
SINCAM920953	SINCAM012158
SINCAM012923	SINCAM921914
SINCAM015354	SINCAM923128
SINCAM002564	SINCAM922430
SINCAM006723	SINCAM002039
SINCAM003650	SINCAM015212
SINCAM921495	SINCAM007811
SINCAM900222	SINCAM004623
SINCAM012189	SINCAM018037
SINCAM006056	SINCAM006052
SINCAM006666	SINCAM015274
SINCAM014570	SINCAM015839
SINCAM017596	SINCAM000081
SINCAM015255	SINCAM014570
SINCAM008672	SINCAM008721
SINCAM922375	SINCAM014695
SINCAM006124	SINCAM006227
SINCAM015972	SINCAM007068
SINCAM010687	SINCAM010865
SINCAM003935	SINCAM000438
SINCAM008178	SINCAM014989
SINCAM012110	SINCAM005538
SINCAM002178	SINCAM006620
SINCAM921063	SINCAM009011
SINCAM015013	SINCAM014960
SINCAM014666	SINCAM015579
SINCAM010291	SINCAM920502
SINCAM922221	SINCAM920980
SINCAM014451	SINCAM005371
SINCAM000565	SINCAM010891
SINCAM009131	SINCAM004243
SINCAM009425	SINCAM006023
SINCAM013538	SINCAM921609
SINCAM006796	SINCAM900288
SINCAM007671	SINCAM008770
SINCAM000121	SINCAM014552
SINCAM012662	SINCAM016018
SINCAM015529	SINCAM007399
SINCAM003785	SINCAM016545
SINCAM002917	SINCAM008939
SINCAM005481	SINCAM922253
SINCAM921557	SINCAM002213
SINCAM014138	SINCAM001645
SINCAM002417	SINCAM014014
SINCAM007657	SINCAM003153
SINCAM008194	SINCAM003620
SINCAM008228	SINCAM015146
SINCAM006927	SINCAM015086
SINCAM922086	SINCAM920703
SINCAM015322	SINCAM007398
SINCAM007002	SINCAM002193
SINCAM014579	SINCAM015587
SINCAM002750	SINCAM001874
SINCAM005010	SINCAM007362
SINCAM015711	SINCAM009358
SINCAM923143	SINCAM015526
SINCAM014570	SINCAM016341
SINCAM006057	SINCAM011451
SINCAM011085	SINCAM012621
SINCAM010327	SINCAM011974
SINCAM922823	SINCAM009975
SINCAM014570	SINCAM017747
SINCAM013097	SINCAM009408
SINCAM923078	SINCAM015052
SINCAM015664	SINCAM015988
SINCAM001966	SINCAM006715
SINCAM011436	SINCAM012386
SINCAM013286	SINCAM001720
SINCAM001042	SINCAM011629
SINCAM010165	SINCAM008670
SINCAM010639	SINCAM015348
SINCAM017027	SINCAM014570
SINCAM014632	SINCAM017991
SINCAM006587	SINCAM006569
SINCAM009495	SINCAM010972
SINCAM012865	SINCAM920549
SINCAM922269	SINCAM004262
SINCAM900148	SINCAM007318
SINCAM921796	SINCAM012261
SINCAM015082	SINCAM012095
SINCAM005721	SINCAM014805
SINCAM006873	SINCAM922353
SINCAM012894	SINCAM922591
SINCAM012002	SINCAM002632
SINCAM001176	SINCAM013060
SINCAM014969	SINCAM014701
SINCAM015966	SINCAM011303
SINCAM007048	SINCAM921822
SINCAM923068	SINCAM016538
SINCAM002288	SINCAM009077
SINCAM007401	SINCAM015530
SINCAM922919	SINCAM016268
SINCAM004042	SINCAM921161
SINCAM004588	SINCAM010848
SINCAM005335	SINCAM014461
SINCAM017817	SINCAM014677
SINCAM007086	SINCAM009290
SINCAM009775	SINCAM009774
SINCAM015241	SINCAM922933
SINCAM000160	SINCAM000002
SINCAM015136	SINCAM017700
SINCAM013495	SINCAM002200
SINCAM010789	SINCAM920608
SINCAM922523	SINCAM017726
SINCAM004179	SINCAM017484
SINCAM012721	SINCAM922857
SINCAM007501	SINCAM003341
SINCAM000979	SINCAM002510
SINCAM005350	SINCAM922418
SINCAM921292	SINCAM921959
SINCAM014438	SINCAM016776
SINCAM001629	SINCAM006537
SINCAM009325	SINCAM012484
SINCAM005305	SINCAM921505
SINCAM013519	SINCAM005585
SINCAM006309	SINCAM013515
SINCAM000518	SINCAM009932
SINCAM014568	SINCAM006899
SINCAM015844	SINCAM015580
SINCAM000871	SINCAM005190
SINCAM014570	SINCAM016743
SINCAM923029	SINCAM015640
SINCAM010051	SINCAM014393
SINCAM003656	SINCAM017038
SINCAM923074	SINCAM015647
SINCAM010659	SINCAM001750
SINCAM001871	SINCAM004211
SINCAM014332	SINCAM004143
SINCAM005336	SINCAM014414
SINCAM922216	SINCAM016544
SINCAM001169	SINCAM012937
SINCAM004542	SINCAM003584
SINCAM001820	SINCAM001876
SINCAM004270	SINCAM010770
SINCAM012626	SINCAM011737
SINCAM921647	SINCAM922938
SINCAM013445	SINCAM920744
SINCAM010722	SINCAM016302
SINCAM011609	SINCAM003086
SINCAM003903	SINCAM004517
SINCAM007600	SINCAM016551
SINCAM922626	SINCAM001738
SINCAM921919	SINCAM012950
SINCAM015631	SINCAM014570
SINCAM014575	SINCAM017099
SINCAM006574	SINCAM006569
SINCAM016389	SINCAM900146
SINCAM001691	SINCAM000498
SINCAM007081	SINCAM000257
SINCAM008287	SINCAM008286
SINCAM006219	SINCAM015334
SINCAM004670	SINCAM011022
SINCAM000009	SINCAM001300
SINCAM003225	SINCAM009278
SINCAM015178	SINCAM922111
SINCAM011823	SINCAM009320
SINCAM006737	SINCAM002920
SINCAM003205	SINCAM010074
SINCAM921277	SINCAM921164
SINCAM920744	SINCAM016078
SINCAM015409	SINCAM010649
SINCAM015529	SINCAM921060
SINCAM008989	SINCAM011855
SINCAM017738	SINCAM014570
SINCAM015690	SINCAM008405
SINCAM000987	SINCAM012761
SINCAM015525	SINCAM015665
SINCAM014306	SINCAM006819
SINCAM923068	SINCAM015311
SINCAM005154	SINCAM007998
SINCAM009408	SINCAM013097
SINCAM922879	SINCAM014440
SINCAM015365	SINCAM001726
SINCAM010694	SINCAM012514
SINCAM000117	SINCAM007088
SINCAM011629	SINCAM001042
SINCAM011171	SINCAM014981
SINCAM012345	SINCAM011512
SINCAM011738	SINCAM017514
SINCAM011589	SINCAM008051
SINCAM005609	SINCAM014851
SINCAM015935	SINCAM007399
SINCAM004087	SINCAM004201
SINCAM013873	SINCAM004158
SINCAM012396	SINCAM011167
SINCAM922848	SINCAM005332
SINCAM012683	SINCAM014819
SINCAM007602	SINCAM000273
SINCAM005389	SINCAM923071
SINCAM012136	SINCAM922217
SINCAM009096	SINCAM921113
SINCAM922997	SINCAM922984
SINCAM004626	SINCAM010788
SINCAM002193	SINCAM007002
SINCAM011602	SINCAM015410
SINCAM921464	SINCAM012257
SINCAM922185	SINCAM005102
SINCAM014755	SINCAM012539
SINCAM011785	SINCAM920778
SINCAM015155	SINCAM012315
SINCAM003015	SINCAM006620
SINCAM006501	SINCAM016160
SINCAM009801	SINCAM008372
SINCAM005363	SINCAM017318
SINCAM002170	SINCAM013440
SINCAM004663	SINCAM922709
SINCAM009135	SINCAM000577
SINCAM921292	SINCAM922292
SINCAM004984	SINCAM001456
SINCAM009098	SINCAM921752
SINCAM000319	SINCAM002518
SINCAM014797	SINCAM011129
SINCAM005164	SINCAM007991
SINCAM015519	SINCAM017923
SINCAM011847	SINCAM003158
SINCAM000360	SINCAM014266
SINCAM000518	SINCAM010701
SINCAM921571	SINCAM016101
SINCAM009088	SINCAM003257
SINCAM014578	SINCAM014645
SINCAM922557	SINCAM012085
SINCAM005310	SINCAM006431
SINCAM015350	SINCAM008259
SINCAM002509	SINCAM008566
SINCAM016512	SINCAM005423
SINCAM005691	SINCAM009593
SINCAM011494	SINCAM014885
SINCAM000094	SINCAM000099
SINCAM001435	SINCAM013016
SINCAM012350	SINCAM004536
SINCAM920973	SINCAM922128
SINCAM015129	SINCAM014570
SINCAM000094	SINCAM003952
SINCAM015329	SINCAM015321
SINCAM002655	SINCAM003158
SINCAM007155	SINCAM010090
SINCAM014164	SINCAM006632
SINCAM008440	SINCAM014568
SINCAM013899	SINCAM004556
SINCAM001456	SINCAM002961
SINCAM004101	SINCAM003242
SINCAM011708	SINCAM012271
SINCAM009796	SINCAM006160
SINCAM010002	SINCAM922829
SINCAM015134	SINCAM015581
SINCAM002920	SINCAM006737
SINCAM010194	SINCAM004384
SINCAM016413	SINCAM004470
SINCAM015087	SINCAM921826
SINCAM016005	SINCAM013598
SINCAM000358	SINCAM009537
SINCAM011872	SINCAM002475
SINCAM009668	SINCAM006202
SINCAM001502	SINCAM015973
SINCAM016270	SINCAM921256
SINCAM921585	SINCAM014046
SINCAM015331	SINCAM015072
SINCAM014592	SINCAM014682
SINCAM004841	SINCAM014282
SINCAM005829	SINCAM009667
SINCAM003041	SINCAM920824
SINCAM004287	SINCAM013707
SINCAM921726	SINCAM921725
SINCAM009016	SINCAM010819
SINCAM012042	SINCAM005668
SINCAM011528	SINCAM922218
SINCAM923079	SINCAM014570
SINCAM000618	SINCAM004704
SINCAM000095	SINCAM000092
SINCAM920906	SINCAM006949
SINCAM011509	SINCAM011508
SINCAM007028	SINCAM014287
SINCAM000995	SINCAM012869
SINCAM920503	SINCAM004719
SINCAM008443	SINCAM014570
SINCAM921287	SINCAM015266
SINCAM007633	SINCAM007632
SINCAM005696	SINCAM011928
SINCAM003296	SINCAM900236
SINCAM921908	SINCAM004299
SINCAM014570	SINCAM017021
SINCAM015619	SINCAM008064
SINCAM001143	SINCAM012979
SINCAM000376	SINCAM005909
SINCAM010845	SINCAM007761
SINCAM003653	SINCAM009018
SINCAM001823	SINCAM011517
SINCAM009079	SINCAM001774
SINCAM001752	SINCAM010658
SINCAM011630	SINCAM005976
SINCAM009715	SINCAM921712
SINCAM009856	SINCAM920943
SINCAM920612	SINCAM013004
SINCAM002146	SINCAM920925
SINCAM011650	SINCAM005977
SINCAM013472	SINCAM001612
SINCAM004446	SINCAM014015
SINCAM922302	SINCAM015102
SINCAM922908	SINCAM922268
SINCAM001611	SINCAM013473
SINCAM000554	SINCAM010951
SINCAM920559	SINCAM012723
SINCAM003398	SINCAM008538
SINCAM014303	SINCAM007131
SINCAM001710	SINCAM001711
SINCAM000288	SINCAM010237
SINCAM013943	SINCAM012796
SINCAM900091	SINCAM012966
SINCAM000067	SINCAM004338
SINCAM921005	SINCAM006546
SINCAM015506	SINCAM009358
SINCAM013034	SINCAM005186
SINCAM012981	SINCAM013187
SINCAM000266	SINCAM008350
SINCAM002768	SINCAM001319
SINCAM005392	SINCAM013921
SINCAM001065	SINCAM923009
SINCAM011773	SINCAM010673
SINCAM000766	SINCAM007164
SINCAM016680	SINCAM008840
SINCAM921394	SINCAM007751
SINCAM012993	SINCAM012991
SINCAM003862	SINCAM008090
SINCAM003883	SINCAM008066
SINCAM011796	SINCAM001774
SINCAM010091	SINCAM001116
SINCAM006282	SINCAM004331
SINCAM012548	SINCAM011149
SINCAM011303	SINCAM015284
SINCAM004243	SINCAM009544
SINCAM920723	SINCAM013301
SINCAM007053	SINCAM000146
SINCAM921856	SINCAM922277
SINCAM920922	SINCAM014476
SINCAM006569	SINCAM006590
SINCAM004797	SINCAM003557
SINCAM005613	SINCAM000381
SINCAM015772	SINCAM000194
SINCAM010475	SINCAM011997
SINCAM012666	SINCAM922026
SINCAM015579	SINCAM017108
SINCAM008990	SINCAM011854
SINCAM010803	SINCAM004470
SINCAM002962	SINCAM012033
SINCAM015843	SINCAM014693
SINCAM013129	SINCAM013128
SINCAM012810	SINCAM012662
SINCAM921771	SINCAM007729
SINCAM006579	SINCAM006587
SINCAM004376	SINCAM010864
SINCAM011797	SINCAM920988
SINCAM007216	SINCAM921883
SINCAM013365	SINCAM001952
SINCAM921625	SINCAM921626
SINCAM920948	SINCAM014743
SINCAM015902	SINCAM015016
SINCAM009988	SINCAM004420
SINCAM008823	SINCAM007546
SINCAM923182	SINCAM922987
SINCAM011028	SINCAM011029
SINCAM922430	SINCAM002564
SINCAM008983	SINCAM002653
SINCAM008751	SINCAM002806
SINCAM006240	SINCAM014861
SINCAM922417	SINCAM921968
SINCAM015994	SINCAM015374
SINCAM002802	SINCAM011836
SINCAM005171	SINCAM007766
SINCAM004936	SINCAM922374
SINCAM006011	SINCAM011618
SINCAM015501	SINCAM002262
SINCAM004385	SINCAM010186
SINCAM010293	SINCAM000528
SINCAM015388	SINCAM015021
SINCAM017917	SINCAM009357
SINCAM921523	SINCAM921900
SINCAM000477	SINCAM011033
SINCAM002018	SINCAM001876
SINCAM014325	SINCAM014945
SINCAM002303	SINCAM921079
SINCAM003021	SINCAM922381
SINCAM001225	SINCAM013186
SINCAM007119	SINCAM007153
SINCAM010043	SINCAM922827
SINCAM008151	SINCAM921193
SINCAM005630	SINCAM017246
SINCAM014894	SINCAM008172
SINCAM011850	SINCAM003151
SINCAM004036	SINCAM003432
SINCAM010227	SINCAM000288
SINCAM012675	SINCAM016084
SINCAM009031	SINCAM011805
SINCAM000355	SINCAM009229
