ENSLOCP00000011371	ENSLOCP00000009128
ENSLOCP00000002259	ENSLOCP00000002287
ENSLOCP00000002287	ENSLOCP00000002259
ENSLOCP00000021479	ENSLOCP00000021480
ENSLOCP00000021480	ENSLOCP00000021479
ENSLOCP00000021479	ENSLOCP00000002272
ENSLOCP00000002272	ENSLOCP00000021479
ENSLOCP00000021479	ENSLOCP00000002287
ENSLOCP00000002287	ENSLOCP00000021479
ENSLOCP00000021480	ENSLOCP00000002287
ENSLOCP00000002287	ENSLOCP00000021480
ENSLOCP00000002272	ENSLOCP00000002287
ENSLOCP00000002287	ENSLOCP00000002272
ENSLOCP00000016952	ENSLOCP00000021874
ENSLOCP00000021874	ENSLOCP00000016952
ENSLOCP00000018849	ENSLOCP00000009980
ENSLOCP00000009980	ENSLOCP00000018849
ENSLOCP00000018849	ENSLOCP00000014738
ENSLOCP00000014738	ENSLOCP00000018849
ENSLOCP00000018849	ENSLOCP00000012061
ENSLOCP00000012061	ENSLOCP00000018849
ENSLOCP00000009980	ENSLOCP00000014738
ENSLOCP00000014738	ENSLOCP00000009980
ENSLOCP00000009980	ENSLOCP00000012061
ENSLOCP00000012061	ENSLOCP00000009980
ENSLOCP00000014738	ENSLOCP00000012061
ENSLOCP00000012061	ENSLOCP00000014738
ENSLOCP00000003317	ENSLOCP00000011989
ENSLOCP00000011989	ENSLOCP00000003317
ENSLOCP00000020953	ENSLOCP00000015226
ENSLOCP00000015226	ENSLOCP00000020953
ENSLOCP00000020953	ENSLOCP00000017354
ENSLOCP00000017354	ENSLOCP00000020953
ENSLOCP00000020953	ENSLOCP00000018208
ENSLOCP00000018208	ENSLOCP00000020953
ENSLOCP00000015226	ENSLOCP00000017354
ENSLOCP00000017354	ENSLOCP00000015226
ENSLOCP00000015226	ENSLOCP00000018208
ENSLOCP00000018208	ENSLOCP00000015226
ENSLOCP00000017354	ENSLOCP00000018208
ENSLOCP00000018208	ENSLOCP00000017354
ENSLOCP00000004132	ENSLOCP00000006157
ENSLOCP00000006157	ENSLOCP00000004132
ENSLOCP00000018214	ENSLOCP00000020601
ENSLOCP00000020601	ENSLOCP00000018214
ENSLOCP00000005255	ENSLOCP00000007900
ENSLOCP00000007900	ENSLOCP00000005255
ENSLOCP00000005255	ENSLOCP00000015688
ENSLOCP00000015688	ENSLOCP00000005255
ENSLOCP00000007900	ENSLOCP00000015688
ENSLOCP00000015688	ENSLOCP00000007900
ENSLOCP00000020756	ENSLOCP00000013047
ENSLOCP00000013047	ENSLOCP00000020756
ENSLOCP00000009007	ENSLOCP00000012360
ENSLOCP00000012360	ENSLOCP00000009007
ENSLOCP00000006057	ENSLOCP00000018637
ENSLOCP00000018637	ENSLOCP00000006057
ENSLOCP00000016536	ENSLOCP00000007849
ENSLOCP00000007849	ENSLOCP00000016536
ENSLOCP00000016536	ENSLOCP00000008437
ENSLOCP00000008437	ENSLOCP00000016536
ENSLOCP00000016536	ENSLOCP00000014423
ENSLOCP00000014423	ENSLOCP00000016536
ENSLOCP00000007849	ENSLOCP00000008437
ENSLOCP00000008437	ENSLOCP00000007849
ENSLOCP00000007849	ENSLOCP00000014423
ENSLOCP00000014423	ENSLOCP00000007849
ENSLOCP00000008437	ENSLOCP00000014423
ENSLOCP00000014423	ENSLOCP00000008437
ENSLOCP00000011059	ENSLOCP00000020956
ENSLOCP00000020956	ENSLOCP00000011059
ENSLOCP00000015752	ENSLOCP00000013775
ENSLOCP00000013775	ENSLOCP00000015752
ENSLOCP00000015752	ENSLOCP00000016830
ENSLOCP00000016830	ENSLOCP00000015752
ENSLOCP00000013775	ENSLOCP00000016830
ENSLOCP00000016830	ENSLOCP00000013775
ENSLOCP00000004341	ENSLOCP00000017705
ENSLOCP00000017705	ENSLOCP00000004341
ENSLOCP00000004341	ENSLOCP00000011055
ENSLOCP00000011055	ENSLOCP00000004341
ENSLOCP00000017705	ENSLOCP00000011055
ENSLOCP00000011055	ENSLOCP00000017705
ENSLOCP00000010892	ENSLOCP00000006526
ENSLOCP00000006526	ENSLOCP00000010892
ENSLOCP00000010892	ENSLOCP00000001142
ENSLOCP00000001142	ENSLOCP00000010892
ENSLOCP00000010892	ENSLOCP00000020785
ENSLOCP00000020785	ENSLOCP00000010892
ENSLOCP00000006526	ENSLOCP00000001142
ENSLOCP00000001142	ENSLOCP00000006526
ENSLOCP00000006526	ENSLOCP00000020785
ENSLOCP00000020785	ENSLOCP00000006526
ENSLOCP00000001142	ENSLOCP00000020785
ENSLOCP00000020785	ENSLOCP00000001142
ENSLOCP00000000889	ENSLOCP00000020036
ENSLOCP00000020036	ENSLOCP00000000889
ENSLOCP00000006533	ENSLOCP00000006691
ENSLOCP00000006691	ENSLOCP00000006533
ENSLOCP00000006533	ENSLOCP00000019487
ENSLOCP00000019487	ENSLOCP00000006533
ENSLOCP00000006691	ENSLOCP00000019487
ENSLOCP00000019487	ENSLOCP00000006691
ENSLOCP00000001361	ENSLOCP00000006948
ENSLOCP00000006948	ENSLOCP00000001361
ENSLOCP00000007874	ENSLOCP00000010924
ENSLOCP00000010924	ENSLOCP00000007874
ENSLOCP00000007874	ENSLOCP00000013471
ENSLOCP00000013471	ENSLOCP00000007874
ENSLOCP00000010924	ENSLOCP00000013471
ENSLOCP00000013471	ENSLOCP00000010924
ENSLOCP00000001962	ENSLOCP00000002578
ENSLOCP00000002578	ENSLOCP00000001962
ENSLOCP00000001962	ENSLOCP00000017726
ENSLOCP00000017726	ENSLOCP00000001962
ENSLOCP00000001962	ENSLOCP00000009983
ENSLOCP00000009983	ENSLOCP00000001962
ENSLOCP00000002578	ENSLOCP00000017726
ENSLOCP00000017726	ENSLOCP00000002578
ENSLOCP00000002578	ENSLOCP00000009983
ENSLOCP00000009983	ENSLOCP00000002578
ENSLOCP00000017726	ENSLOCP00000009983
ENSLOCP00000009983	ENSLOCP00000017726
ENSLOCP00000015449	ENSLOCP00000007340
ENSLOCP00000007340	ENSLOCP00000015449
ENSLOCP00000016604	ENSLOCP00000019609
ENSLOCP00000019609	ENSLOCP00000016604
ENSLOCP00000009405	ENSLOCP00000019306
ENSLOCP00000019306	ENSLOCP00000009405
ENSLOCP00000006499	ENSLOCP00000009471
ENSLOCP00000009471	ENSLOCP00000006499
ENSLOCP00000002972	ENSLOCP00000009910
ENSLOCP00000009910	ENSLOCP00000002972
ENSLOCP00000002972	ENSLOCP00000009918
ENSLOCP00000009918	ENSLOCP00000002972
ENSLOCP00000009910	ENSLOCP00000009918
ENSLOCP00000009918	ENSLOCP00000009910
ENSLOCP00000001682	ENSLOCP00000009467
ENSLOCP00000009467	ENSLOCP00000001682
ENSLOCP00000017649	ENSLOCP00000013021
ENSLOCP00000013021	ENSLOCP00000017649
ENSLOCP00000004694	ENSLOCP00000008680
ENSLOCP00000008680	ENSLOCP00000004694
ENSLOCP00000018224	ENSLOCP00000018185
ENSLOCP00000018185	ENSLOCP00000018224
ENSLOCP00000019133	ENSLOCP00000012778
ENSLOCP00000012778	ENSLOCP00000019133
ENSLOCP00000005737	ENSLOCP00000006828
ENSLOCP00000006828	ENSLOCP00000005737
ENSLOCP00000005737	ENSLOCP00000018546
ENSLOCP00000018546	ENSLOCP00000005737
ENSLOCP00000006828	ENSLOCP00000018546
ENSLOCP00000018546	ENSLOCP00000006828
ENSLOCP00000005812	ENSLOCP00000018544
ENSLOCP00000018544	ENSLOCP00000005812
ENSLOCP00000005812	ENSLOCP00000016171
ENSLOCP00000016171	ENSLOCP00000005812
ENSLOCP00000005812	ENSLOCP00000006853
ENSLOCP00000006853	ENSLOCP00000005812
ENSLOCP00000018544	ENSLOCP00000016171
ENSLOCP00000016171	ENSLOCP00000018544
ENSLOCP00000018544	ENSLOCP00000006853
ENSLOCP00000006853	ENSLOCP00000018544
ENSLOCP00000016171	ENSLOCP00000006853
ENSLOCP00000006853	ENSLOCP00000016171
ENSLOCP00000010912	ENSLOCP00000010447
ENSLOCP00000010447	ENSLOCP00000010912
ENSLOCP00000008505	ENSLOCP00000017548
ENSLOCP00000017548	ENSLOCP00000008505
ENSLOCP00000016248	ENSLOCP00000019163
ENSLOCP00000019163	ENSLOCP00000016248
ENSLOCP00000009632	ENSLOCP00000010916
ENSLOCP00000010916	ENSLOCP00000009632
ENSLOCP00000015072	ENSLOCP00000011033
ENSLOCP00000011033	ENSLOCP00000015072
ENSLOCP00000007049	ENSLOCP00000021122
ENSLOCP00000021122	ENSLOCP00000007049
ENSLOCP00000010539	ENSLOCP00000006545
ENSLOCP00000006545	ENSLOCP00000010539
ENSLOCP00000004953	ENSLOCP00000000660
ENSLOCP00000000660	ENSLOCP00000004953
ENSLOCP00000012614	ENSLOCP00000003234
ENSLOCP00000003234	ENSLOCP00000012614
ENSLOCP00000012614	ENSLOCP00000010397
ENSLOCP00000010397	ENSLOCP00000012614
ENSLOCP00000003234	ENSLOCP00000010397
ENSLOCP00000010397	ENSLOCP00000003234
ENSLOCP00000006565	ENSLOCP00000017388
ENSLOCP00000017388	ENSLOCP00000006565
ENSLOCP00000006565	ENSLOCP00000009421
ENSLOCP00000009421	ENSLOCP00000006565
ENSLOCP00000017388	ENSLOCP00000009421
ENSLOCP00000009421	ENSLOCP00000017388
ENSLOCP00000005393	ENSLOCP00000019213
ENSLOCP00000019213	ENSLOCP00000005393
ENSLOCP00000007722	ENSLOCP00000009447
ENSLOCP00000009447	ENSLOCP00000007722
ENSLOCP00000007722	ENSLOCP00000004568
ENSLOCP00000004568	ENSLOCP00000007722
ENSLOCP00000009447	ENSLOCP00000004568
ENSLOCP00000004568	ENSLOCP00000009447
ENSLOCP00000012552	ENSLOCP00000012928
ENSLOCP00000012928	ENSLOCP00000012552
ENSLOCP00000014564	ENSLOCP00000019362
ENSLOCP00000019362	ENSLOCP00000014564
ENSLOCP00000016801	ENSLOCP00000009470
ENSLOCP00000009470	ENSLOCP00000016801
ENSLOCP00000016801	ENSLOCP00000012355
ENSLOCP00000012355	ENSLOCP00000016801
ENSLOCP00000016801	ENSLOCP00000019262
ENSLOCP00000019262	ENSLOCP00000016801
ENSLOCP00000009470	ENSLOCP00000012355
ENSLOCP00000012355	ENSLOCP00000009470
ENSLOCP00000009470	ENSLOCP00000019262
ENSLOCP00000019262	ENSLOCP00000009470
ENSLOCP00000012355	ENSLOCP00000019262
ENSLOCP00000019262	ENSLOCP00000012355
ENSLOCP00000011077	ENSLOCP00000017982
ENSLOCP00000017982	ENSLOCP00000011077
ENSLOCP00000017364	ENSLOCP00000016800
ENSLOCP00000016800	ENSLOCP00000017364
ENSLOCP00000017364	ENSLOCP00000016082
ENSLOCP00000016082	ENSLOCP00000017364
ENSLOCP00000017364	ENSLOCP00000011435
ENSLOCP00000011435	ENSLOCP00000017364
ENSLOCP00000016800	ENSLOCP00000016082
ENSLOCP00000016082	ENSLOCP00000016800
ENSLOCP00000016800	ENSLOCP00000011435
ENSLOCP00000011435	ENSLOCP00000016800
ENSLOCP00000016082	ENSLOCP00000011435
ENSLOCP00000011435	ENSLOCP00000016082
ENSLOCP00000003826	ENSLOCP00000020442
ENSLOCP00000020442	ENSLOCP00000003826
ENSLOCP00000016135	ENSLOCP00000014009
ENSLOCP00000014009	ENSLOCP00000016135
ENSLOCP00000016135	ENSLOCP00000011105
ENSLOCP00000011105	ENSLOCP00000016135
ENSLOCP00000014009	ENSLOCP00000011105
ENSLOCP00000011105	ENSLOCP00000014009
ENSLOCP00000014491	ENSLOCP00000016691
ENSLOCP00000016691	ENSLOCP00000014491
ENSLOCP00000016003	ENSLOCP00000016017
ENSLOCP00000016017	ENSLOCP00000016003
ENSLOCP00000010175	ENSLOCP00000010143
ENSLOCP00000010143	ENSLOCP00000010175
ENSLOCP00000003063	ENSLOCP00000010443
ENSLOCP00000010443	ENSLOCP00000003063
ENSLOCP00000003063	ENSLOCP00000003082
ENSLOCP00000003082	ENSLOCP00000003063
ENSLOCP00000010443	ENSLOCP00000003082
ENSLOCP00000003082	ENSLOCP00000010443
ENSLOCP00000010983	ENSLOCP00000018480
ENSLOCP00000018480	ENSLOCP00000010983
ENSLOCP00000001254	ENSLOCP00000001003
ENSLOCP00000001003	ENSLOCP00000001254
ENSLOCP00000001254	ENSLOCP00000001148
ENSLOCP00000001148	ENSLOCP00000001254
ENSLOCP00000001003	ENSLOCP00000001148
ENSLOCP00000001148	ENSLOCP00000001003
ENSLOCP00000007419	ENSLOCP00000007580
ENSLOCP00000007580	ENSLOCP00000007419
ENSLOCP00000003101	ENSLOCP00000015600
ENSLOCP00000015600	ENSLOCP00000003101
ENSLOCP00000014762	ENSLOCP00000014741
ENSLOCP00000014741	ENSLOCP00000014762
ENSLOCP00000014762	ENSLOCP00000012489
ENSLOCP00000012489	ENSLOCP00000014762
ENSLOCP00000014741	ENSLOCP00000012489
ENSLOCP00000012489	ENSLOCP00000014741
ENSLOCP00000015152	ENSLOCP00000019453
ENSLOCP00000019453	ENSLOCP00000015152
ENSLOCP00000016111	ENSLOCP00000004793
ENSLOCP00000004793	ENSLOCP00000016111
ENSLOCP00000016111	ENSLOCP00000016120
ENSLOCP00000016120	ENSLOCP00000016111
ENSLOCP00000016111	ENSLOCP00000011258
ENSLOCP00000011258	ENSLOCP00000016111
ENSLOCP00000016111	ENSLOCP00000016726
ENSLOCP00000016726	ENSLOCP00000016111
ENSLOCP00000004793	ENSLOCP00000016120
ENSLOCP00000016120	ENSLOCP00000004793
ENSLOCP00000004793	ENSLOCP00000011258
ENSLOCP00000011258	ENSLOCP00000004793
ENSLOCP00000004793	ENSLOCP00000016726
ENSLOCP00000016726	ENSLOCP00000004793
ENSLOCP00000016120	ENSLOCP00000011258
ENSLOCP00000011258	ENSLOCP00000016120
ENSLOCP00000016120	ENSLOCP00000016726
ENSLOCP00000016726	ENSLOCP00000016120
ENSLOCP00000011258	ENSLOCP00000016726
ENSLOCP00000016726	ENSLOCP00000011258
ENSLOCP00000008502	ENSLOCP00000017308
ENSLOCP00000017308	ENSLOCP00000008502
ENSLOCP00000008502	ENSLOCP00000010754
ENSLOCP00000010754	ENSLOCP00000008502
ENSLOCP00000008502	ENSLOCP00000005040
ENSLOCP00000005040	ENSLOCP00000008502
ENSLOCP00000008502	ENSLOCP00000004226
ENSLOCP00000004226	ENSLOCP00000008502
ENSLOCP00000008502	ENSLOCP00000005055
ENSLOCP00000005055	ENSLOCP00000008502
ENSLOCP00000008502	ENSLOCP00000004207
ENSLOCP00000004207	ENSLOCP00000008502
ENSLOCP00000017308	ENSLOCP00000010754
ENSLOCP00000010754	ENSLOCP00000017308
ENSLOCP00000017308	ENSLOCP00000005040
ENSLOCP00000005040	ENSLOCP00000017308
ENSLOCP00000017308	ENSLOCP00000004226
ENSLOCP00000004226	ENSLOCP00000017308
ENSLOCP00000017308	ENSLOCP00000005055
ENSLOCP00000005055	ENSLOCP00000017308
ENSLOCP00000017308	ENSLOCP00000004207
ENSLOCP00000004207	ENSLOCP00000017308
ENSLOCP00000010754	ENSLOCP00000005040
ENSLOCP00000005040	ENSLOCP00000010754
ENSLOCP00000010754	ENSLOCP00000004226
ENSLOCP00000004226	ENSLOCP00000010754
ENSLOCP00000010754	ENSLOCP00000005055
ENSLOCP00000005055	ENSLOCP00000010754
ENSLOCP00000010754	ENSLOCP00000004207
ENSLOCP00000004207	ENSLOCP00000010754
ENSLOCP00000005040	ENSLOCP00000004226
ENSLOCP00000004226	ENSLOCP00000005040
ENSLOCP00000005040	ENSLOCP00000005055
ENSLOCP00000005055	ENSLOCP00000005040
ENSLOCP00000005040	ENSLOCP00000004207
ENSLOCP00000004207	ENSLOCP00000005040
ENSLOCP00000004226	ENSLOCP00000005055
ENSLOCP00000005055	ENSLOCP00000004226
ENSLOCP00000004226	ENSLOCP00000004207
ENSLOCP00000004207	ENSLOCP00000004226
ENSLOCP00000005055	ENSLOCP00000004207
ENSLOCP00000004207	ENSLOCP00000005055
ENSLOCP00000005477	ENSLOCP00000002039
ENSLOCP00000002039	ENSLOCP00000005477
ENSLOCP00000005477	ENSLOCP00000013814
ENSLOCP00000013814	ENSLOCP00000005477
ENSLOCP00000005477	ENSLOCP00000004212
ENSLOCP00000004212	ENSLOCP00000005477
ENSLOCP00000002039	ENSLOCP00000013814
ENSLOCP00000013814	ENSLOCP00000002039
ENSLOCP00000002039	ENSLOCP00000004212
ENSLOCP00000004212	ENSLOCP00000002039
ENSLOCP00000013814	ENSLOCP00000004212
ENSLOCP00000004212	ENSLOCP00000013814
ENSLOCP00000019518	ENSLOCP00000005716
ENSLOCP00000005716	ENSLOCP00000019518
ENSLOCP00000019518	ENSLOCP00000003844
ENSLOCP00000003844	ENSLOCP00000019518
ENSLOCP00000005716	ENSLOCP00000003844
ENSLOCP00000003844	ENSLOCP00000005716
ENSLOCP00000013403	ENSLOCP00000003765
ENSLOCP00000003765	ENSLOCP00000013403
ENSLOCP00000013403	ENSLOCP00000007635
ENSLOCP00000007635	ENSLOCP00000013403
ENSLOCP00000013403	ENSLOCP00000008575
ENSLOCP00000008575	ENSLOCP00000013403
ENSLOCP00000013403	ENSLOCP00000015553
ENSLOCP00000015553	ENSLOCP00000013403
ENSLOCP00000013403	ENSLOCP00000015536
ENSLOCP00000015536	ENSLOCP00000013403
ENSLOCP00000003765	ENSLOCP00000007635
ENSLOCP00000007635	ENSLOCP00000003765
ENSLOCP00000003765	ENSLOCP00000008575
ENSLOCP00000008575	ENSLOCP00000003765
ENSLOCP00000003765	ENSLOCP00000015553
ENSLOCP00000015553	ENSLOCP00000003765
ENSLOCP00000003765	ENSLOCP00000015536
ENSLOCP00000015536	ENSLOCP00000003765
ENSLOCP00000007635	ENSLOCP00000008575
ENSLOCP00000008575	ENSLOCP00000007635
ENSLOCP00000007635	ENSLOCP00000015553
ENSLOCP00000015553	ENSLOCP00000007635
ENSLOCP00000007635	ENSLOCP00000015536
ENSLOCP00000015536	ENSLOCP00000007635
ENSLOCP00000008575	ENSLOCP00000015553
ENSLOCP00000015553	ENSLOCP00000008575
ENSLOCP00000008575	ENSLOCP00000015536
ENSLOCP00000015536	ENSLOCP00000008575
ENSLOCP00000015553	ENSLOCP00000015536
ENSLOCP00000015536	ENSLOCP00000015553
ENSLOCP00000007452	ENSLOCP00000015909
ENSLOCP00000015909	ENSLOCP00000007452
ENSLOCP00000019661	ENSLOCP00000012721
ENSLOCP00000012721	ENSLOCP00000019661
ENSLOCP00000014558	ENSLOCP00000014569
ENSLOCP00000014569	ENSLOCP00000014558
ENSLOCP00000014558	ENSLOCP00000014579
ENSLOCP00000014579	ENSLOCP00000014558
ENSLOCP00000014558	ENSLOCP00000021145
ENSLOCP00000021145	ENSLOCP00000014558
ENSLOCP00000014558	ENSLOCP00000021146
ENSLOCP00000021146	ENSLOCP00000014558
ENSLOCP00000014569	ENSLOCP00000014579
ENSLOCP00000014579	ENSLOCP00000014569
ENSLOCP00000014569	ENSLOCP00000021145
ENSLOCP00000021145	ENSLOCP00000014569
ENSLOCP00000014569	ENSLOCP00000021146
ENSLOCP00000021146	ENSLOCP00000014569
ENSLOCP00000014579	ENSLOCP00000021145
ENSLOCP00000021145	ENSLOCP00000014579
ENSLOCP00000014579	ENSLOCP00000021146
ENSLOCP00000021146	ENSLOCP00000014579
ENSLOCP00000021145	ENSLOCP00000021146
ENSLOCP00000021146	ENSLOCP00000021145
ENSLOCP00000004485	ENSLOCP00000003977
ENSLOCP00000003977	ENSLOCP00000004485
ENSLOCP00000004485	ENSLOCP00000015256
ENSLOCP00000015256	ENSLOCP00000004485
ENSLOCP00000003977	ENSLOCP00000015256
ENSLOCP00000015256	ENSLOCP00000003977
ENSLOCP00000017733	ENSLOCP00000001796
ENSLOCP00000001796	ENSLOCP00000017733
ENSLOCP00000006578	ENSLOCP00000010716
ENSLOCP00000010716	ENSLOCP00000006578
ENSLOCP00000005658	ENSLOCP00000000809
ENSLOCP00000000809	ENSLOCP00000005658
ENSLOCP00000004271	ENSLOCP00000008619
ENSLOCP00000008619	ENSLOCP00000004271
ENSLOCP00000004271	ENSLOCP00000017785
ENSLOCP00000017785	ENSLOCP00000004271
ENSLOCP00000008619	ENSLOCP00000017785
ENSLOCP00000017785	ENSLOCP00000008619
ENSLOCP00000016973	ENSLOCP00000012649
ENSLOCP00000012649	ENSLOCP00000016973
ENSLOCP00000016973	ENSLOCP00000015071
ENSLOCP00000015071	ENSLOCP00000016973
ENSLOCP00000016973	ENSLOCP00000019197
ENSLOCP00000019197	ENSLOCP00000016973
ENSLOCP00000012649	ENSLOCP00000015071
ENSLOCP00000015071	ENSLOCP00000012649
ENSLOCP00000012649	ENSLOCP00000019197
ENSLOCP00000019197	ENSLOCP00000012649
ENSLOCP00000015071	ENSLOCP00000019197
ENSLOCP00000019197	ENSLOCP00000015071
ENSLOCP00000001084	ENSLOCP00000014748
ENSLOCP00000014748	ENSLOCP00000001084
ENSLOCP00000001084	ENSLOCP00000018253
ENSLOCP00000018253	ENSLOCP00000001084
ENSLOCP00000014748	ENSLOCP00000018253
ENSLOCP00000018253	ENSLOCP00000014748
ENSLOCP00000013226	ENSLOCP00000018127
ENSLOCP00000018127	ENSLOCP00000013226
ENSLOCP00000013456	ENSLOCP00000008342
ENSLOCP00000008342	ENSLOCP00000013456
ENSLOCP00000013456	ENSLOCP00000002711
ENSLOCP00000002711	ENSLOCP00000013456
ENSLOCP00000008342	ENSLOCP00000002711
ENSLOCP00000002711	ENSLOCP00000008342
ENSLOCP00000018119	ENSLOCP00000014306
ENSLOCP00000014306	ENSLOCP00000018119
ENSLOCP00000018119	ENSLOCP00000019589
ENSLOCP00000019589	ENSLOCP00000018119
ENSLOCP00000014306	ENSLOCP00000019589
ENSLOCP00000019589	ENSLOCP00000014306
ENSLOCP00000015075	ENSLOCP00000019744
ENSLOCP00000019744	ENSLOCP00000015075
ENSLOCP00000007166	ENSLOCP00000021287
ENSLOCP00000021287	ENSLOCP00000007166
ENSLOCP00000002663	ENSLOCP00000021031
ENSLOCP00000021031	ENSLOCP00000002663
ENSLOCP00000002663	ENSLOCP00000004459
ENSLOCP00000004459	ENSLOCP00000002663
ENSLOCP00000021031	ENSLOCP00000004459
ENSLOCP00000004459	ENSLOCP00000021031
ENSLOCP00000005530	ENSLOCP00000020394
ENSLOCP00000020394	ENSLOCP00000005530
ENSLOCP00000020773	ENSLOCP00000001781
ENSLOCP00000001781	ENSLOCP00000020773
ENSLOCP00000018929	ENSLOCP00000014227
ENSLOCP00000014227	ENSLOCP00000018929
ENSLOCP00000003808	ENSLOCP00000001299
ENSLOCP00000001299	ENSLOCP00000003808
ENSLOCP00000003808	ENSLOCP00000004757
ENSLOCP00000004757	ENSLOCP00000003808
ENSLOCP00000001299	ENSLOCP00000004757
ENSLOCP00000004757	ENSLOCP00000001299
ENSLOCP00000013465	ENSLOCP00000014258
ENSLOCP00000014258	ENSLOCP00000013465
ENSLOCP00000013970	ENSLOCP00000018471
ENSLOCP00000018471	ENSLOCP00000013970
ENSLOCP00000013970	ENSLOCP00000005419
ENSLOCP00000005419	ENSLOCP00000013970
ENSLOCP00000018471	ENSLOCP00000005419
ENSLOCP00000005419	ENSLOCP00000018471
ENSLOCP00000006667	ENSLOCP00000017850
ENSLOCP00000017850	ENSLOCP00000006667
ENSLOCP00000006667	ENSLOCP00000011010
ENSLOCP00000011010	ENSLOCP00000006667
ENSLOCP00000017850	ENSLOCP00000011010
ENSLOCP00000011010	ENSLOCP00000017850
ENSLOCP00000008429	ENSLOCP00000016725
ENSLOCP00000016725	ENSLOCP00000008429
ENSLOCP00000019522	ENSLOCP00000019524
ENSLOCP00000019524	ENSLOCP00000019522
ENSLOCP00000019522	ENSLOCP00000019526
ENSLOCP00000019526	ENSLOCP00000019522
ENSLOCP00000019522	ENSLOCP00000019528
ENSLOCP00000019528	ENSLOCP00000019522
ENSLOCP00000019522	ENSLOCP00000017521
ENSLOCP00000017521	ENSLOCP00000019522
ENSLOCP00000019522	ENSLOCP00000017582
ENSLOCP00000017582	ENSLOCP00000019522
ENSLOCP00000019522	ENSLOCP00000017755
ENSLOCP00000017755	ENSLOCP00000019522
ENSLOCP00000019524	ENSLOCP00000019526
ENSLOCP00000019526	ENSLOCP00000019524
ENSLOCP00000019524	ENSLOCP00000019528
ENSLOCP00000019528	ENSLOCP00000019524
ENSLOCP00000019524	ENSLOCP00000017521
ENSLOCP00000017521	ENSLOCP00000019524
ENSLOCP00000019524	ENSLOCP00000017582
ENSLOCP00000017582	ENSLOCP00000019524
