ENSTGUP00000010909	ENSTGUP00000008898
ENSTGUP00000013049	ENSTGUP00000007645
ENSTGUP00000007645	ENSTGUP00000013049
ENSTGUP00000011707	ENSTGUP00000017731
ENSTGUP00000017731	ENSTGUP00000011707
ENSTGUP00000011707	ENSTGUP00000011705
ENSTGUP00000011705	ENSTGUP00000011707
ENSTGUP00000017731	ENSTGUP00000011705
ENSTGUP00000011705	ENSTGUP00000017731
ENSTGUP00000001184	ENSTGUP00000012380
ENSTGUP00000012380	ENSTGUP00000001184
ENSTGUP00000012993	ENSTGUP00000002856
ENSTGUP00000002856	ENSTGUP00000012993
ENSTGUP00000012993	ENSTGUP00000003773
ENSTGUP00000003773	ENSTGUP00000012993
ENSTGUP00000002856	ENSTGUP00000003773
ENSTGUP00000003773	ENSTGUP00000002856
ENSTGUP00000006194	ENSTGUP00000006171
ENSTGUP00000006171	ENSTGUP00000006194
ENSTGUP00000003831	ENSTGUP00000012053
ENSTGUP00000012053	ENSTGUP00000003831
ENSTGUP00000004874	ENSTGUP00000009101
ENSTGUP00000009101	ENSTGUP00000004874
ENSTGUP00000007812	ENSTGUP00000003687
ENSTGUP00000003687	ENSTGUP00000007812
ENSTGUP00000003097	ENSTGUP00000012631
ENSTGUP00000012631	ENSTGUP00000003097
ENSTGUP00000000912	ENSTGUP00000002202
ENSTGUP00000002202	ENSTGUP00000000912
ENSTGUP00000015082	ENSTGUP00000009297
ENSTGUP00000009297	ENSTGUP00000015082
ENSTGUP00000014205	ENSTGUP00000009297
ENSTGUP00000009297	ENSTGUP00000014205
ENSTGUP00000013988	ENSTGUP00000012744
ENSTGUP00000012744	ENSTGUP00000013988
ENSTGUP00000001335	ENSTGUP00000001616
ENSTGUP00000001616	ENSTGUP00000001335
ENSTGUP00000001335	ENSTGUP00000012121
ENSTGUP00000012121	ENSTGUP00000001335
ENSTGUP00000001616	ENSTGUP00000012121
ENSTGUP00000012121	ENSTGUP00000001616
ENSTGUP00000017784	ENSTGUP00000008788
ENSTGUP00000008788	ENSTGUP00000017784
ENSTGUP00000017784	ENSTGUP00000000920
ENSTGUP00000000920	ENSTGUP00000017784
ENSTGUP00000008788	ENSTGUP00000000920
ENSTGUP00000000920	ENSTGUP00000008788
ENSTGUP00000006514	ENSTGUP00000000930
ENSTGUP00000000930	ENSTGUP00000006514
ENSTGUP00000006514	ENSTGUP00000013468
ENSTGUP00000013468	ENSTGUP00000006514
ENSTGUP00000000930	ENSTGUP00000013468
ENSTGUP00000013468	ENSTGUP00000000930
ENSTGUP00000006775	ENSTGUP00000011382
ENSTGUP00000011382	ENSTGUP00000006775
ENSTGUP00000006775	ENSTGUP00000013703
ENSTGUP00000013703	ENSTGUP00000006775
ENSTGUP00000011382	ENSTGUP00000013703
ENSTGUP00000013703	ENSTGUP00000011382
ENSTGUP00000014768	ENSTGUP00000009104
ENSTGUP00000009104	ENSTGUP00000014768
ENSTGUP00000000722	ENSTGUP00000000421
ENSTGUP00000000421	ENSTGUP00000000722
ENSTGUP00000000722	ENSTGUP00000008875
ENSTGUP00000008875	ENSTGUP00000000722
ENSTGUP00000000421	ENSTGUP00000008875
ENSTGUP00000008875	ENSTGUP00000000421
ENSTGUP00000014710	ENSTGUP00000013567
ENSTGUP00000013567	ENSTGUP00000014710
ENSTGUP00000014930	ENSTGUP00000013567
ENSTGUP00000013567	ENSTGUP00000014930
ENSTGUP00000014353	ENSTGUP00000005741
ENSTGUP00000005741	ENSTGUP00000014353
ENSTGUP00000004977	ENSTGUP00000005741
ENSTGUP00000005741	ENSTGUP00000004977
ENSTGUP00000015454	ENSTGUP00000016820
ENSTGUP00000016820	ENSTGUP00000015454
ENSTGUP00000015454	ENSTGUP00000016656
ENSTGUP00000016656	ENSTGUP00000015454
ENSTGUP00000015454	ENSTGUP00000004581
ENSTGUP00000004581	ENSTGUP00000015454
ENSTGUP00000016820	ENSTGUP00000004581
ENSTGUP00000004581	ENSTGUP00000016820
ENSTGUP00000016656	ENSTGUP00000004581
ENSTGUP00000004581	ENSTGUP00000016656
ENSTGUP00000007902	ENSTGUP00000001208
ENSTGUP00000001208	ENSTGUP00000007902
ENSTGUP00000000228	ENSTGUP00000002076
ENSTGUP00000002076	ENSTGUP00000000228
ENSTGUP00000000180	ENSTGUP00000013997
ENSTGUP00000013997	ENSTGUP00000000180
ENSTGUP00000000954	ENSTGUP00000005782
ENSTGUP00000005782	ENSTGUP00000000954
ENSTGUP00000007385	ENSTGUP00000012794
ENSTGUP00000012794	ENSTGUP00000007385
ENSTGUP00000011586	ENSTGUP00000005627
ENSTGUP00000005627	ENSTGUP00000011586
ENSTGUP00000011586	ENSTGUP00000003067
ENSTGUP00000003067	ENSTGUP00000011586
ENSTGUP00000005627	ENSTGUP00000003067
ENSTGUP00000003067	ENSTGUP00000005627
ENSTGUP00000011582	ENSTGUP00000005646
ENSTGUP00000005646	ENSTGUP00000011582
ENSTGUP00000017234	ENSTGUP00000010021
ENSTGUP00000010021	ENSTGUP00000017234
ENSTGUP00000000869	ENSTGUP00000011510
ENSTGUP00000011510	ENSTGUP00000000869
ENSTGUP00000001146	ENSTGUP00000004826
ENSTGUP00000004826	ENSTGUP00000001146
ENSTGUP00000006886	ENSTGUP00000005604
ENSTGUP00000005604	ENSTGUP00000006886
ENSTGUP00000010484	ENSTGUP00000001484
ENSTGUP00000001484	ENSTGUP00000010484
ENSTGUP00000017785	ENSTGUP00000008916
ENSTGUP00000008916	ENSTGUP00000017785
ENSTGUP00000003284	ENSTGUP00000005747
ENSTGUP00000005747	ENSTGUP00000003284
ENSTGUP00000008668	ENSTGUP00000013552
ENSTGUP00000013552	ENSTGUP00000008668
ENSTGUP00000003859	ENSTGUP00000014941
ENSTGUP00000014941	ENSTGUP00000003859
ENSTGUP00000003859	ENSTGUP00000002713
ENSTGUP00000002713	ENSTGUP00000003859
ENSTGUP00000003859	ENSTGUP00000003338
ENSTGUP00000003338	ENSTGUP00000003859
ENSTGUP00000014941	ENSTGUP00000002713
ENSTGUP00000002713	ENSTGUP00000014941
ENSTGUP00000014941	ENSTGUP00000003338
ENSTGUP00000003338	ENSTGUP00000014941
ENSTGUP00000002713	ENSTGUP00000003338
ENSTGUP00000003338	ENSTGUP00000002713
ENSTGUP00000002403	ENSTGUP00000002610
ENSTGUP00000002610	ENSTGUP00000002403
ENSTGUP00000002403	ENSTGUP00000004020
ENSTGUP00000004020	ENSTGUP00000002403
ENSTGUP00000002610	ENSTGUP00000004020
ENSTGUP00000004020	ENSTGUP00000002610
ENSTGUP00000010870	ENSTGUP00000010505
ENSTGUP00000010505	ENSTGUP00000010870
ENSTGUP00000007392	ENSTGUP00000007382
ENSTGUP00000007382	ENSTGUP00000007392
ENSTGUP00000007392	ENSTGUP00000005260
ENSTGUP00000005260	ENSTGUP00000007392
ENSTGUP00000007392	ENSTGUP00000002415
ENSTGUP00000002415	ENSTGUP00000007392
ENSTGUP00000007382	ENSTGUP00000005260
ENSTGUP00000005260	ENSTGUP00000007382
ENSTGUP00000007382	ENSTGUP00000002415
ENSTGUP00000002415	ENSTGUP00000007382
ENSTGUP00000005260	ENSTGUP00000002415
ENSTGUP00000002415	ENSTGUP00000005260
ENSTGUP00000005613	ENSTGUP00000010013
ENSTGUP00000010013	ENSTGUP00000005613
ENSTGUP00000005613	ENSTGUP00000003654
ENSTGUP00000003654	ENSTGUP00000005613
ENSTGUP00000005613	ENSTGUP00000007258
ENSTGUP00000007258	ENSTGUP00000005613
ENSTGUP00000005613	ENSTGUP00000003652
ENSTGUP00000003652	ENSTGUP00000005613
ENSTGUP00000005613	ENSTGUP00000007261
ENSTGUP00000007261	ENSTGUP00000005613
ENSTGUP00000010013	ENSTGUP00000003654
ENSTGUP00000003654	ENSTGUP00000010013
ENSTGUP00000010013	ENSTGUP00000007258
ENSTGUP00000007258	ENSTGUP00000010013
ENSTGUP00000010013	ENSTGUP00000003652
ENSTGUP00000003652	ENSTGUP00000010013
ENSTGUP00000010013	ENSTGUP00000007261
ENSTGUP00000007261	ENSTGUP00000010013
ENSTGUP00000003654	ENSTGUP00000007258
ENSTGUP00000007258	ENSTGUP00000003654
ENSTGUP00000003654	ENSTGUP00000003652
ENSTGUP00000003652	ENSTGUP00000003654
ENSTGUP00000003654	ENSTGUP00000007261
ENSTGUP00000007261	ENSTGUP00000003654
ENSTGUP00000007258	ENSTGUP00000003652
ENSTGUP00000003652	ENSTGUP00000007258
ENSTGUP00000007258	ENSTGUP00000007261
ENSTGUP00000007261	ENSTGUP00000007258
ENSTGUP00000003652	ENSTGUP00000007261
ENSTGUP00000007261	ENSTGUP00000003652
ENSTGUP00000013781	ENSTGUP00000015841
ENSTGUP00000015841	ENSTGUP00000013781
ENSTGUP00000015287	ENSTGUP00000001094
ENSTGUP00000001094	ENSTGUP00000015287
ENSTGUP00000002648	ENSTGUP00000002636
ENSTGUP00000002636	ENSTGUP00000002648
ENSTGUP00000002648	ENSTGUP00000001638
ENSTGUP00000001638	ENSTGUP00000002648
ENSTGUP00000002648	ENSTGUP00000002188
ENSTGUP00000002188	ENSTGUP00000002648
ENSTGUP00000002648	ENSTGUP00000002190
ENSTGUP00000002190	ENSTGUP00000002648
ENSTGUP00000002636	ENSTGUP00000001638
ENSTGUP00000001638	ENSTGUP00000002636
ENSTGUP00000002636	ENSTGUP00000002188
ENSTGUP00000002188	ENSTGUP00000002636
ENSTGUP00000002636	ENSTGUP00000002190
ENSTGUP00000002190	ENSTGUP00000002636
ENSTGUP00000001638	ENSTGUP00000002188
ENSTGUP00000002188	ENSTGUP00000001638
ENSTGUP00000001638	ENSTGUP00000002190
ENSTGUP00000002190	ENSTGUP00000001638
ENSTGUP00000002188	ENSTGUP00000002190
ENSTGUP00000002190	ENSTGUP00000002188
ENSTGUP00000002551	ENSTGUP00000013312
ENSTGUP00000013312	ENSTGUP00000002551
ENSTGUP00000012297	ENSTGUP00000010642
ENSTGUP00000010642	ENSTGUP00000012297
ENSTGUP00000012297	ENSTGUP00000010646
ENSTGUP00000010646	ENSTGUP00000012297
ENSTGUP00000012297	ENSTGUP00000010652
ENSTGUP00000010652	ENSTGUP00000012297
ENSTGUP00000012297	ENSTGUP00000012303
ENSTGUP00000012303	ENSTGUP00000012297
ENSTGUP00000012297	ENSTGUP00000012301
ENSTGUP00000012301	ENSTGUP00000012297
ENSTGUP00000010642	ENSTGUP00000010646
ENSTGUP00000010646	ENSTGUP00000010642
ENSTGUP00000010642	ENSTGUP00000010652
ENSTGUP00000010652	ENSTGUP00000010642
ENSTGUP00000010642	ENSTGUP00000012303
ENSTGUP00000012303	ENSTGUP00000010642
ENSTGUP00000010642	ENSTGUP00000012301
ENSTGUP00000012301	ENSTGUP00000010642
ENSTGUP00000010646	ENSTGUP00000010652
ENSTGUP00000010652	ENSTGUP00000010646
ENSTGUP00000010646	ENSTGUP00000012303
ENSTGUP00000012303	ENSTGUP00000010646
ENSTGUP00000010646	ENSTGUP00000012301
ENSTGUP00000012301	ENSTGUP00000010646
ENSTGUP00000010652	ENSTGUP00000012303
ENSTGUP00000012303	ENSTGUP00000010652
ENSTGUP00000010652	ENSTGUP00000012301
ENSTGUP00000012301	ENSTGUP00000010652
ENSTGUP00000012303	ENSTGUP00000012301
ENSTGUP00000012301	ENSTGUP00000012303
ENSTGUP00000006828	ENSTGUP00000010330
ENSTGUP00000010330	ENSTGUP00000006828
ENSTGUP00000006828	ENSTGUP00000010331
ENSTGUP00000010331	ENSTGUP00000006828
ENSTGUP00000006934	ENSTGUP00000011117
ENSTGUP00000011117	ENSTGUP00000006934
ENSTGUP00000009514	ENSTGUP00000002561
ENSTGUP00000002561	ENSTGUP00000009514
ENSTGUP00000013124	ENSTGUP00000004234
ENSTGUP00000004234	ENSTGUP00000013124
ENSTGUP00000012102	ENSTGUP00000002417
ENSTGUP00000002417	ENSTGUP00000012102
ENSTGUP00000007617	ENSTGUP00000013353
ENSTGUP00000013353	ENSTGUP00000007617
ENSTGUP00000017623	ENSTGUP00000013167
ENSTGUP00000013167	ENSTGUP00000017623
ENSTGUP00000017623	ENSTGUP00000012988
ENSTGUP00000012988	ENSTGUP00000017623
ENSTGUP00000013167	ENSTGUP00000012988
ENSTGUP00000012988	ENSTGUP00000013167
ENSTGUP00000000287	ENSTGUP00000008638
ENSTGUP00000008638	ENSTGUP00000000287
ENSTGUP00000009518	ENSTGUP00000010255
ENSTGUP00000010255	ENSTGUP00000009518
ENSTGUP00000008451	ENSTGUP00000005482
ENSTGUP00000005482	ENSTGUP00000008451
ENSTGUP00000008451	ENSTGUP00000000354
ENSTGUP00000000354	ENSTGUP00000008451
ENSTGUP00000005482	ENSTGUP00000000354
ENSTGUP00000000354	ENSTGUP00000005482
ENSTGUP00000004287	ENSTGUP00000008720
ENSTGUP00000008720	ENSTGUP00000004287
ENSTGUP00000000578	ENSTGUP00000000599
ENSTGUP00000000599	ENSTGUP00000000578
ENSTGUP00000000578	ENSTGUP00000010019
ENSTGUP00000010019	ENSTGUP00000000578
ENSTGUP00000000599	ENSTGUP00000010019
ENSTGUP00000010019	ENSTGUP00000000599
ENSTGUP00000004389	ENSTGUP00000004395
ENSTGUP00000004395	ENSTGUP00000004389
ENSTGUP00000004389	ENSTGUP00000004777
ENSTGUP00000004777	ENSTGUP00000004389
ENSTGUP00000004389	ENSTGUP00000014311
ENSTGUP00000014311	ENSTGUP00000004389
ENSTGUP00000004395	ENSTGUP00000004777
ENSTGUP00000004777	ENSTGUP00000004395
ENSTGUP00000004395	ENSTGUP00000014311
ENSTGUP00000014311	ENSTGUP00000004395
ENSTGUP00000004777	ENSTGUP00000014311
ENSTGUP00000014311	ENSTGUP00000004777
ENSTGUP00000005434	ENSTGUP00000010722
ENSTGUP00000010722	ENSTGUP00000005434
ENSTGUP00000005414	ENSTGUP00000010722
ENSTGUP00000010722	ENSTGUP00000005414
ENSTGUP00000009765	ENSTGUP00000006018
ENSTGUP00000006018	ENSTGUP00000009765
ENSTGUP00000013065	ENSTGUP00000012921
ENSTGUP00000012921	ENSTGUP00000013065
ENSTGUP00000013065	ENSTGUP00000007668
ENSTGUP00000007668	ENSTGUP00000013065
ENSTGUP00000012921	ENSTGUP00000007668
ENSTGUP00000007668	ENSTGUP00000012921
ENSTGUP00000015657	ENSTGUP00000013073
ENSTGUP00000013073	ENSTGUP00000015657
ENSTGUP00000015657	ENSTGUP00000009461
ENSTGUP00000009461	ENSTGUP00000015657
ENSTGUP00000013073	ENSTGUP00000009461
ENSTGUP00000009461	ENSTGUP00000013073
ENSTGUP00000003970	ENSTGUP00000013381
ENSTGUP00000013381	ENSTGUP00000003970
ENSTGUP00000001041	ENSTGUP00000005581
ENSTGUP00000005581	ENSTGUP00000001041
ENSTGUP00000002766	ENSTGUP00000017804
ENSTGUP00000017804	ENSTGUP00000002766
ENSTGUP00000002766	ENSTGUP00000009875
ENSTGUP00000009875	ENSTGUP00000002766
ENSTGUP00000017804	ENSTGUP00000009875
ENSTGUP00000009875	ENSTGUP00000017804
ENSTGUP00000012344	ENSTGUP00000008206
ENSTGUP00000008206	ENSTGUP00000012344
ENSTGUP00000013344	ENSTGUP00000011271
ENSTGUP00000011271	ENSTGUP00000013344
ENSTGUP00000002408	ENSTGUP00000013640
ENSTGUP00000013640	ENSTGUP00000002408
ENSTGUP00000002184	ENSTGUP00000017308
ENSTGUP00000017308	ENSTGUP00000002184
ENSTGUP00000005736	ENSTGUP00000001303
ENSTGUP00000001303	ENSTGUP00000005736
ENSTGUP00000005736	ENSTGUP00000000660
ENSTGUP00000000660	ENSTGUP00000005736
ENSTGUP00000001303	ENSTGUP00000000660
ENSTGUP00000000660	ENSTGUP00000001303
ENSTGUP00000007176	ENSTGUP00000017739
ENSTGUP00000017739	ENSTGUP00000007176
ENSTGUP00000013613	ENSTGUP00000008110
ENSTGUP00000008110	ENSTGUP00000013613
ENSTGUP00000011372	ENSTGUP00000012284
ENSTGUP00000012284	ENSTGUP00000011372
ENSTGUP00000011372	ENSTGUP00000018091
ENSTGUP00000018091	ENSTGUP00000011372
ENSTGUP00000012284	ENSTGUP00000018091
ENSTGUP00000018091	ENSTGUP00000012284
ENSTGUP00000008770	ENSTGUP00000002994
ENSTGUP00000002994	ENSTGUP00000008770
ENSTGUP00000008770	ENSTGUP00000001715
ENSTGUP00000001715	ENSTGUP00000008770
ENSTGUP00000002994	ENSTGUP00000001715
ENSTGUP00000001715	ENSTGUP00000002994
ENSTGUP00000000219	ENSTGUP00000010553
ENSTGUP00000010553	ENSTGUP00000000219
ENSTGUP00000013311	ENSTGUP00000016905
ENSTGUP00000016905	ENSTGUP00000013311
ENSTGUP00000008404	ENSTGUP00000003589
ENSTGUP00000003589	ENSTGUP00000008404
ENSTGUP00000000840	ENSTGUP00000004600
ENSTGUP00000004600	ENSTGUP00000000840
ENSTGUP00000000840	ENSTGUP00000007997
ENSTGUP00000007997	ENSTGUP00000000840
ENSTGUP00000004600	ENSTGUP00000007997
ENSTGUP00000007997	ENSTGUP00000004600
ENSTGUP00000013904	ENSTGUP00000017637
ENSTGUP00000017637	ENSTGUP00000013904
ENSTGUP00000013904	ENSTGUP00000000233
ENSTGUP00000000233	ENSTGUP00000013904
ENSTGUP00000017637	ENSTGUP00000000233
ENSTGUP00000000233	ENSTGUP00000017637
ENSTGUP00000005413	ENSTGUP00000011588
ENSTGUP00000011588	ENSTGUP00000005413
ENSTGUP00000012176	ENSTGUP00000011569
ENSTGUP00000011569	ENSTGUP00000012176
ENSTGUP00000003599	ENSTGUP00000015009
ENSTGUP00000015009	ENSTGUP00000003599
ENSTGUP00000003599	ENSTGUP00000004590
ENSTGUP00000004590	ENSTGUP00000003599
ENSTGUP00000015009	ENSTGUP00000004590
ENSTGUP00000004590	ENSTGUP00000015009
ENSTGUP00000002938	ENSTGUP00000009423
ENSTGUP00000009423	ENSTGUP00000002938
ENSTGUP00000006373	ENSTGUP00000011052
ENSTGUP00000011052	ENSTGUP00000006373
ENSTGUP00000006373	ENSTGUP00000004516
ENSTGUP00000004516	ENSTGUP00000006373
ENSTGUP00000011052	ENSTGUP00000004516
ENSTGUP00000004516	ENSTGUP00000011052
ENSTGUP00000004301	ENSTGUP00000004460
ENSTGUP00000004460	ENSTGUP00000004301
ENSTGUP00000017052	ENSTGUP00000004279
ENSTGUP00000004279	ENSTGUP00000017052
ENSTGUP00000017052	ENSTGUP00000005971
ENSTGUP00000005971	ENSTGUP00000017052
ENSTGUP00000004279	ENSTGUP00000005971
ENSTGUP00000005971	ENSTGUP00000004279
ENSTGUP00000013320	ENSTGUP00000001792
ENSTGUP00000001792	ENSTGUP00000013320
ENSTGUP00000013320	ENSTGUP00000010333
ENSTGUP00000010333	ENSTGUP00000013320
ENSTGUP00000013320	ENSTGUP00000003524
ENSTGUP00000003524	ENSTGUP00000013320
ENSTGUP00000001792	ENSTGUP00000010333
ENSTGUP00000010333	ENSTGUP00000001792
ENSTGUP00000001792	ENSTGUP00000003524
ENSTGUP00000003524	ENSTGUP00000001792
ENSTGUP00000010333	ENSTGUP00000003524
ENSTGUP00000003524	ENSTGUP00000010333
ENSTGUP00000005217	ENSTGUP00000010583
ENSTGUP00000010583	ENSTGUP00000005217
ENSTGUP00000003162	ENSTGUP00000006712
ENSTGUP00000006712	ENSTGUP00000003162
ENSTGUP00000017666	ENSTGUP00000006931
ENSTGUP00000006931	ENSTGUP00000017666
ENSTGUP00000004740	ENSTGUP00000004803
ENSTGUP00000004803	ENSTGUP00000004740
ENSTGUP00000004740	ENSTGUP00000013116
ENSTGUP00000013116	ENSTGUP00000004740
ENSTGUP00000004803	ENSTGUP00000013116
ENSTGUP00000013116	ENSTGUP00000004803
ENSTGUP00000010757	ENSTGUP00000003663
ENSTGUP00000003663	ENSTGUP00000010757
ENSTGUP00000010757	ENSTGUP00000008481
ENSTGUP00000008481	ENSTGUP00000010757
ENSTGUP00000003663	ENSTGUP00000008481
ENSTGUP00000008481	ENSTGUP00000003663
ENSTGUP00000011888	ENSTGUP00000004522
ENSTGUP00000004522	ENSTGUP00000011888
ENSTGUP00000006158	ENSTGUP00000009193
ENSTGUP00000009193	ENSTGUP00000006158
ENSTGUP00000009196	ENSTGUP00000009228
ENSTGUP00000009228	ENSTGUP00000009196
ENSTGUP00000009196	ENSTGUP00000012466
ENSTGUP00000012466	ENSTGUP00000009196
ENSTGUP00000009228	ENSTGUP00000012466
ENSTGUP00000012466	ENSTGUP00000009228
ENSTGUP00000014507	ENSTGUP00000003709
ENSTGUP00000003709	ENSTGUP00000014507
ENSTGUP00000014507	ENSTGUP00000014278
ENSTGUP00000014278	ENSTGUP00000014507
ENSTGUP00000003709	ENSTGUP00000014278
ENSTGUP00000014278	ENSTGUP00000003709
ENSTGUP00000005681	ENSTGUP00000009575
ENSTGUP00000009575	ENSTGUP00000005681
ENSTGUP00000004672	ENSTGUP00000007357
ENSTGUP00000007357	ENSTGUP00000004672
ENSTGUP00000005160	ENSTGUP00000006525
ENSTGUP00000006525	ENSTGUP00000005160
ENSTGUP00000017474	ENSTGUP00000017458
ENSTGUP00000017458	ENSTGUP00000017474
ENSTGUP00000001355	ENSTGUP00000007730
ENSTGUP00000007730	ENSTGUP00000001355
ENSTGUP00000001355	ENSTGUP00000016201
ENSTGUP00000016201	ENSTGUP00000001355
ENSTGUP00000007730	ENSTGUP00000016201
ENSTGUP00000016201	ENSTGUP00000007730
ENSTGUP00000004958	ENSTGUP00000017828
ENSTGUP00000017828	ENSTGUP00000004958
ENSTGUP00000013013	ENSTGUP00000014041
ENSTGUP00000014041	ENSTGUP00000013013
ENSTGUP00000013013	ENSTGUP00000001481
ENSTGUP00000001481	ENSTGUP00000013013
ENSTGUP00000014041	ENSTGUP00000001481
ENSTGUP00000001481	ENSTGUP00000014041
ENSTGUP00000004758	ENSTGUP00000001167
ENSTGUP00000001167	ENSTGUP00000004758
ENSTGUP00000001284	ENSTGUP00000005641
ENSTGUP00000005641	ENSTGUP00000001284
ENSTGUP00000005351	ENSTGUP00000008758
ENSTGUP00000008758	ENSTGUP00000005351
ENSTGUP00000005351	ENSTGUP00000005051
ENSTGUP00000005051	ENSTGUP00000005351
ENSTGUP00000008758	ENSTGUP00000005051
ENSTGUP00000005051	ENSTGUP00000008758
ENSTGUP00000006849	ENSTGUP00000010366
ENSTGUP00000010366	ENSTGUP00000006849
ENSTGUP00000006849	ENSTGUP00000001424
ENSTGUP00000001424	ENSTGUP00000006849
ENSTGUP00000010366	ENSTGUP00000001424
ENSTGUP00000001424	ENSTGUP00000010366
ENSTGUP00000011327	ENSTGUP00000004064
ENSTGUP00000004064	ENSTGUP00000011327
ENSTGUP00000012708	ENSTGUP00000013371
ENSTGUP00000013371	ENSTGUP00000012708
ENSTGUP00000011714	ENSTGUP00000012054
ENSTGUP00000012054	ENSTGUP00000011714
ENSTGUP00000000875	ENSTGUP00000001057
ENSTGUP00000001057	ENSTGUP00000000875
ENSTGUP00000000004	ENSTGUP00000011132
ENSTGUP00000011132	ENSTGUP00000000004
ENSTGUP00000000004	ENSTGUP00000016601
ENSTGUP00000016601	ENSTGUP00000000004
ENSTGUP00000000004	ENSTGUP00000005347
ENSTGUP00000005347	ENSTGUP00000000004
ENSTGUP00000011132	ENSTGUP00000016601
ENSTGUP00000016601	ENSTGUP00000011132
ENSTGUP00000011132	ENSTGUP00000005347
ENSTGUP00000005347	ENSTGUP00000011132
ENSTGUP00000016601	ENSTGUP00000005347
ENSTGUP00000005347	ENSTGUP00000016601
ENSTGUP00000001177	ENSTGUP00000010058
ENSTGUP00000010058	ENSTGUP00000001177
ENSTGUP00000007219	ENSTGUP00000008212
ENSTGUP00000008212	ENSTGUP00000007219
ENSTGUP00000007219	ENSTGUP00000002306
ENSTGUP00000002306	ENSTGUP00000007219
ENSTGUP00000008212	ENSTGUP00000002306
ENSTGUP00000002306	ENSTGUP00000008212
ENSTGUP00000012158	ENSTGUP00000009157
ENSTGUP00000009157	ENSTGUP00000012158
ENSTGUP00000016044	ENSTGUP00000014799
ENSTGUP00000014799	ENSTGUP00000016044
ENSTGUP00000009545	ENSTGUP00000008754
ENSTGUP00000008754	ENSTGUP00000009545
ENSTGUP00000009545	ENSTGUP00000005134
ENSTGUP00000005134	ENSTGUP00000009545
ENSTGUP00000008754	ENSTGUP00000005134
ENSTGUP00000005134	ENSTGUP00000008754
ENSTGUP00000007205	ENSTGUP00000014107
ENSTGUP00000014107	ENSTGUP00000007205
ENSTGUP00000008537	ENSTGUP00000001667
ENSTGUP00000001667	ENSTGUP00000008537
ENSTGUP00000010492	ENSTGUP00000002386
ENSTGUP00000002386	ENSTGUP00000010492
ENSTGUP00000001392	ENSTGUP00000008173
ENSTGUP00000008173	ENSTGUP00000001392
ENSTGUP00000009905	ENSTGUP00000009932
ENSTGUP00000009932	ENSTGUP00000009905
ENSTGUP00000009905	ENSTGUP00000002220
ENSTGUP00000002220	ENSTGUP00000009905
ENSTGUP00000009905	ENSTGUP00000002273
ENSTGUP00000002273	ENSTGUP00000009905
ENSTGUP00000009932	ENSTGUP00000002220
ENSTGUP00000002220	ENSTGUP00000009932
ENSTGUP00000009932	ENSTGUP00000002273
ENSTGUP00000002273	ENSTGUP00000009932
ENSTGUP00000002220	ENSTGUP00000002273
ENSTGUP00000002273	ENSTGUP00000002220
ENSTGUP00000011073	ENSTGUP00000004253
ENSTGUP00000004253	ENSTGUP00000011073
ENSTGUP00000011073	ENSTGUP00000008979
ENSTGUP00000008979	ENSTGUP00000011073
