ENSCAFP00000026820	ENSCAFP00000014703
ENSCAFP00000016670	ENSCAFP00000025956
ENSCAFP00000025956	ENSCAFP00000016670
ENSCAFP00000016670	ENSCAFP00000028253
ENSCAFP00000028253	ENSCAFP00000016670
ENSCAFP00000025741	ENSCAFP00000025956
ENSCAFP00000025956	ENSCAFP00000025741
ENSCAFP00000025741	ENSCAFP00000028253
ENSCAFP00000028253	ENSCAFP00000025741
ENSCAFP00000025956	ENSCAFP00000028253
ENSCAFP00000028253	ENSCAFP00000025956
ENSCAFP00000011651	ENSCAFP00000041946
ENSCAFP00000041946	ENSCAFP00000011651
ENSCAFP00000032029	ENSCAFP00000012523
ENSCAFP00000012523	ENSCAFP00000032029
ENSCAFP00000032029	ENSCAFP00000012527
ENSCAFP00000012527	ENSCAFP00000032029
ENSCAFP00000032029	ENSCAFP00000012528
ENSCAFP00000012528	ENSCAFP00000032029
ENSCAFP00000012523	ENSCAFP00000012527
ENSCAFP00000012527	ENSCAFP00000012523
ENSCAFP00000012523	ENSCAFP00000012528
ENSCAFP00000012528	ENSCAFP00000012523
ENSCAFP00000012527	ENSCAFP00000012528
ENSCAFP00000012528	ENSCAFP00000012527
ENSCAFP00000014319	ENSCAFP00000038033
ENSCAFP00000038033	ENSCAFP00000014319
ENSCAFP00000014319	ENSCAFP00000025582
ENSCAFP00000025582	ENSCAFP00000014319
ENSCAFP00000038033	ENSCAFP00000025582
ENSCAFP00000025582	ENSCAFP00000038033
ENSCAFP00000019089	ENSCAFP00000035150
ENSCAFP00000035150	ENSCAFP00000019089
ENSCAFP00000040283	ENSCAFP00000021767
ENSCAFP00000021767	ENSCAFP00000040283
ENSCAFP00000040283	ENSCAFP00000003298
ENSCAFP00000003298	ENSCAFP00000040283
ENSCAFP00000021767	ENSCAFP00000003298
ENSCAFP00000003298	ENSCAFP00000021767
ENSCAFP00000007375	ENSCAFP00000002012
ENSCAFP00000002012	ENSCAFP00000007375
ENSCAFP00000024610	ENSCAFP00000012157
ENSCAFP00000012157	ENSCAFP00000024610
ENSCAFP00000024610	ENSCAFP00000017359
ENSCAFP00000017359	ENSCAFP00000024610
ENSCAFP00000012157	ENSCAFP00000017359
ENSCAFP00000017359	ENSCAFP00000012157
ENSCAFP00000024137	ENSCAFP00000003277
ENSCAFP00000003277	ENSCAFP00000024137
ENSCAFP00000024137	ENSCAFP00000005920
ENSCAFP00000005920	ENSCAFP00000024137
ENSCAFP00000003277	ENSCAFP00000005920
ENSCAFP00000005920	ENSCAFP00000003277
ENSCAFP00000027297	ENSCAFP00000018115
ENSCAFP00000018115	ENSCAFP00000027297
ENSCAFP00000027297	ENSCAFP00000015735
ENSCAFP00000015735	ENSCAFP00000027297
ENSCAFP00000018115	ENSCAFP00000015735
ENSCAFP00000015735	ENSCAFP00000018115
ENSCAFP00000017392	ENSCAFP00000012144
ENSCAFP00000012144	ENSCAFP00000017392
ENSCAFP00000018258	ENSCAFP00000025261
ENSCAFP00000025261	ENSCAFP00000018258
ENSCAFP00000012786	ENSCAFP00000000688
ENSCAFP00000000688	ENSCAFP00000012786
ENSCAFP00000022794	ENSCAFP00000028846
ENSCAFP00000028846	ENSCAFP00000022794
ENSCAFP00000023561	ENSCAFP00000028846
ENSCAFP00000028846	ENSCAFP00000023561
ENSCAFP00000030651	ENSCAFP00000037844
ENSCAFP00000037844	ENSCAFP00000030651
ENSCAFP00000030651	ENSCAFP00000019894
ENSCAFP00000019894	ENSCAFP00000030651
ENSCAFP00000030651	ENSCAFP00000004239
ENSCAFP00000004239	ENSCAFP00000030651
ENSCAFP00000037844	ENSCAFP00000019894
ENSCAFP00000019894	ENSCAFP00000037844
ENSCAFP00000037844	ENSCAFP00000004239
ENSCAFP00000004239	ENSCAFP00000037844
ENSCAFP00000019894	ENSCAFP00000004239
ENSCAFP00000004239	ENSCAFP00000019894
ENSCAFP00000012830	ENSCAFP00000041229
ENSCAFP00000041229	ENSCAFP00000012830
ENSCAFP00000039048	ENSCAFP00000025974
ENSCAFP00000025974	ENSCAFP00000039048
ENSCAFP00000039048	ENSCAFP00000017436
ENSCAFP00000017436	ENSCAFP00000039048
ENSCAFP00000025974	ENSCAFP00000017436
ENSCAFP00000017436	ENSCAFP00000025974
ENSCAFP00000000191	ENSCAFP00000016481
ENSCAFP00000016481	ENSCAFP00000000191
ENSCAFP00000000191	ENSCAFP00000011295
ENSCAFP00000011295	ENSCAFP00000000191
ENSCAFP00000016481	ENSCAFP00000011295
ENSCAFP00000011295	ENSCAFP00000016481
ENSCAFP00000041377	ENSCAFP00000019556
ENSCAFP00000019556	ENSCAFP00000041377
ENSCAFP00000041377	ENSCAFP00000011055
ENSCAFP00000011055	ENSCAFP00000041377
ENSCAFP00000041377	ENSCAFP00000005307
ENSCAFP00000005307	ENSCAFP00000041377
ENSCAFP00000019556	ENSCAFP00000011055
ENSCAFP00000011055	ENSCAFP00000019556
ENSCAFP00000019556	ENSCAFP00000005307
ENSCAFP00000005307	ENSCAFP00000019556
ENSCAFP00000011055	ENSCAFP00000005307
ENSCAFP00000005307	ENSCAFP00000011055
ENSCAFP00000005175	ENSCAFP00000000678
ENSCAFP00000000678	ENSCAFP00000005175
ENSCAFP00000019533	ENSCAFP00000019583
ENSCAFP00000019583	ENSCAFP00000019533
ENSCAFP00000017596	ENSCAFP00000034643
ENSCAFP00000034643	ENSCAFP00000017596
ENSCAFP00000010553	ENSCAFP00000010384
ENSCAFP00000010384	ENSCAFP00000010553
ENSCAFP00000010553	ENSCAFP00000011914
ENSCAFP00000011914	ENSCAFP00000010553
ENSCAFP00000010384	ENSCAFP00000011914
ENSCAFP00000011914	ENSCAFP00000010384
ENSCAFP00000013282	ENSCAFP00000003505
ENSCAFP00000003505	ENSCAFP00000013282
ENSCAFP00000013282	ENSCAFP00000011565
ENSCAFP00000011565	ENSCAFP00000013282
ENSCAFP00000003505	ENSCAFP00000011565
ENSCAFP00000011565	ENSCAFP00000003505
ENSCAFP00000012034	ENSCAFP00000001467
ENSCAFP00000001467	ENSCAFP00000012034
ENSCAFP00000011981	ENSCAFP00000022241
ENSCAFP00000022241	ENSCAFP00000011981
ENSCAFP00000011981	ENSCAFP00000016043
ENSCAFP00000016043	ENSCAFP00000011981
ENSCAFP00000011981	ENSCAFP00000016786
ENSCAFP00000016786	ENSCAFP00000011981
ENSCAFP00000022241	ENSCAFP00000016043
ENSCAFP00000016043	ENSCAFP00000022241
ENSCAFP00000022241	ENSCAFP00000016786
ENSCAFP00000016786	ENSCAFP00000022241
ENSCAFP00000016043	ENSCAFP00000016786
ENSCAFP00000016786	ENSCAFP00000016043
ENSCAFP00000005344	ENSCAFP00000022750
ENSCAFP00000022750	ENSCAFP00000005344
ENSCAFP00000003011	ENSCAFP00000025984
ENSCAFP00000025984	ENSCAFP00000003011
ENSCAFP00000015060	ENSCAFP00000004908
ENSCAFP00000004908	ENSCAFP00000015060
ENSCAFP00000019326	ENSCAFP00000013243
ENSCAFP00000013243	ENSCAFP00000019326
ENSCAFP00000014218	ENSCAFP00000001653
ENSCAFP00000001653	ENSCAFP00000014218
ENSCAFP00000042751	ENSCAFP00000019792
ENSCAFP00000019792	ENSCAFP00000042751
ENSCAFP00000017397	ENSCAFP00000019405
ENSCAFP00000019405	ENSCAFP00000017397
ENSCAFP00000017397	ENSCAFP00000015262
ENSCAFP00000015262	ENSCAFP00000017397
ENSCAFP00000019405	ENSCAFP00000015262
ENSCAFP00000015262	ENSCAFP00000019405
ENSCAFP00000029060	ENSCAFP00000029793
ENSCAFP00000029793	ENSCAFP00000029060
ENSCAFP00000038555	ENSCAFP00000029793
ENSCAFP00000029793	ENSCAFP00000038555
ENSCAFP00000023624	ENSCAFP00000001306
ENSCAFP00000001306	ENSCAFP00000023624
ENSCAFP00000023867	ENSCAFP00000013047
ENSCAFP00000013047	ENSCAFP00000023867
ENSCAFP00000006577	ENSCAFP00000026382
ENSCAFP00000026382	ENSCAFP00000006577
ENSCAFP00000009752	ENSCAFP00000023231
ENSCAFP00000023231	ENSCAFP00000009752
ENSCAFP00000004087	ENSCAFP00000025744
ENSCAFP00000025744	ENSCAFP00000004087
ENSCAFP00000007928	ENSCAFP00000027825
ENSCAFP00000027825	ENSCAFP00000007928
ENSCAFP00000027822	ENSCAFP00000021439
ENSCAFP00000021439	ENSCAFP00000027822
ENSCAFP00000027822	ENSCAFP00000018637
ENSCAFP00000018637	ENSCAFP00000027822
ENSCAFP00000021439	ENSCAFP00000018637
ENSCAFP00000018637	ENSCAFP00000021439
ENSCAFP00000036156	ENSCAFP00000004138
ENSCAFP00000004138	ENSCAFP00000036156
ENSCAFP00000036156	ENSCAFP00000021283
ENSCAFP00000021283	ENSCAFP00000036156
ENSCAFP00000004138	ENSCAFP00000021283
ENSCAFP00000021283	ENSCAFP00000004138
ENSCAFP00000025317	ENSCAFP00000027841
ENSCAFP00000027841	ENSCAFP00000025317
ENSCAFP00000029577	ENSCAFP00000005947
ENSCAFP00000005947	ENSCAFP00000029577
ENSCAFP00000031903	ENSCAFP00000030461
ENSCAFP00000030461	ENSCAFP00000031903
ENSCAFP00000019811	ENSCAFP00000029719
ENSCAFP00000029719	ENSCAFP00000019811
ENSCAFP00000019811	ENSCAFP00000022462
ENSCAFP00000022462	ENSCAFP00000019811
ENSCAFP00000029719	ENSCAFP00000022462
ENSCAFP00000022462	ENSCAFP00000029719
ENSCAFP00000024310	ENSCAFP00000020467
ENSCAFP00000020467	ENSCAFP00000024310
ENSCAFP00000024310	ENSCAFP00000011995
ENSCAFP00000011995	ENSCAFP00000024310
ENSCAFP00000020467	ENSCAFP00000011995
ENSCAFP00000011995	ENSCAFP00000020467
ENSCAFP00000022596	ENSCAFP00000008348
ENSCAFP00000008348	ENSCAFP00000022596
ENSCAFP00000026189	ENSCAFP00000023182
ENSCAFP00000023182	ENSCAFP00000026189
ENSCAFP00000018253	ENSCAFP00000002791
ENSCAFP00000002791	ENSCAFP00000018253
ENSCAFP00000022118	ENSCAFP00000014825
ENSCAFP00000014825	ENSCAFP00000022118
ENSCAFP00000022118	ENSCAFP00000009683
ENSCAFP00000009683	ENSCAFP00000022118
ENSCAFP00000014825	ENSCAFP00000009683
ENSCAFP00000009683	ENSCAFP00000014825
ENSCAFP00000012387	ENSCAFP00000017550
ENSCAFP00000017550	ENSCAFP00000012387
ENSCAFP00000012387	ENSCAFP00000037940
ENSCAFP00000037940	ENSCAFP00000012387
ENSCAFP00000012387	ENSCAFP00000007818
ENSCAFP00000007818	ENSCAFP00000012387
ENSCAFP00000017550	ENSCAFP00000037940
ENSCAFP00000037940	ENSCAFP00000017550
ENSCAFP00000017550	ENSCAFP00000007818
ENSCAFP00000007818	ENSCAFP00000017550
ENSCAFP00000037940	ENSCAFP00000007818
ENSCAFP00000007818	ENSCAFP00000037940
ENSCAFP00000018354	ENSCAFP00000024345
ENSCAFP00000024345	ENSCAFP00000018354
ENSCAFP00000024897	ENSCAFP00000024930
ENSCAFP00000024930	ENSCAFP00000024897
ENSCAFP00000024897	ENSCAFP00000024944
ENSCAFP00000024944	ENSCAFP00000024897
ENSCAFP00000024897	ENSCAFP00000010341
ENSCAFP00000010341	ENSCAFP00000024897
ENSCAFP00000024930	ENSCAFP00000024944
ENSCAFP00000024944	ENSCAFP00000024930
ENSCAFP00000024930	ENSCAFP00000010341
ENSCAFP00000010341	ENSCAFP00000024930
ENSCAFP00000024944	ENSCAFP00000010341
ENSCAFP00000010341	ENSCAFP00000024944
ENSCAFP00000010262	ENSCAFP00000022958
ENSCAFP00000022958	ENSCAFP00000010262
ENSCAFP00000010262	ENSCAFP00000005775
ENSCAFP00000005775	ENSCAFP00000010262
ENSCAFP00000022958	ENSCAFP00000005775
ENSCAFP00000005775	ENSCAFP00000022958
ENSCAFP00000013479	ENSCAFP00000021172
ENSCAFP00000021172	ENSCAFP00000013479
ENSCAFP00000013479	ENSCAFP00000003650
ENSCAFP00000003650	ENSCAFP00000013479
ENSCAFP00000013479	ENSCAFP00000018541
ENSCAFP00000018541	ENSCAFP00000013479
ENSCAFP00000021172	ENSCAFP00000003650
ENSCAFP00000003650	ENSCAFP00000021172
ENSCAFP00000021172	ENSCAFP00000018541
ENSCAFP00000018541	ENSCAFP00000021172
ENSCAFP00000003650	ENSCAFP00000018541
ENSCAFP00000018541	ENSCAFP00000003650
ENSCAFP00000002001	ENSCAFP00000017225
ENSCAFP00000017225	ENSCAFP00000002001
ENSCAFP00000025707	ENSCAFP00000001025
ENSCAFP00000001025	ENSCAFP00000025707
ENSCAFP00000029725	ENSCAFP00000022577
ENSCAFP00000022577	ENSCAFP00000029725
ENSCAFP00000013959	ENSCAFP00000013459
ENSCAFP00000013459	ENSCAFP00000013959
ENSCAFP00000012396	ENSCAFP00000028861
ENSCAFP00000028861	ENSCAFP00000012396
ENSCAFP00000012396	ENSCAFP00000028733
ENSCAFP00000028733	ENSCAFP00000012396
ENSCAFP00000012396	ENSCAFP00000007656
ENSCAFP00000007656	ENSCAFP00000012396
ENSCAFP00000028861	ENSCAFP00000028733
ENSCAFP00000028733	ENSCAFP00000028861
ENSCAFP00000028861	ENSCAFP00000007656
ENSCAFP00000007656	ENSCAFP00000028861
ENSCAFP00000028733	ENSCAFP00000007656
ENSCAFP00000007656	ENSCAFP00000028733
ENSCAFP00000021476	ENSCAFP00000012923
ENSCAFP00000012923	ENSCAFP00000021476
ENSCAFP00000004543	ENSCAFP00000042734
ENSCAFP00000042734	ENSCAFP00000004543
ENSCAFP00000004699	ENSCAFP00000023374
ENSCAFP00000023374	ENSCAFP00000004699
ENSCAFP00000033673	ENSCAFP00000015628
ENSCAFP00000015628	ENSCAFP00000033673
ENSCAFP00000033673	ENSCAFP00000021284
ENSCAFP00000021284	ENSCAFP00000033673
ENSCAFP00000015628	ENSCAFP00000021284
ENSCAFP00000021284	ENSCAFP00000015628
ENSCAFP00000021360	ENSCAFP00000018107
ENSCAFP00000018107	ENSCAFP00000021360
ENSCAFP00000021360	ENSCAFP00000041937
ENSCAFP00000041937	ENSCAFP00000021360
ENSCAFP00000021360	ENSCAFP00000018097
ENSCAFP00000018097	ENSCAFP00000021360
ENSCAFP00000021360	ENSCAFP00000021381
ENSCAFP00000021381	ENSCAFP00000021360
ENSCAFP00000021360	ENSCAFP00000023677
ENSCAFP00000023677	ENSCAFP00000021360
ENSCAFP00000018107	ENSCAFP00000041937
ENSCAFP00000041937	ENSCAFP00000018107
ENSCAFP00000018107	ENSCAFP00000018097
ENSCAFP00000018097	ENSCAFP00000018107
ENSCAFP00000018107	ENSCAFP00000021381
ENSCAFP00000021381	ENSCAFP00000018107
ENSCAFP00000018107	ENSCAFP00000023677
ENSCAFP00000023677	ENSCAFP00000018107
ENSCAFP00000041937	ENSCAFP00000018097
ENSCAFP00000018097	ENSCAFP00000041937
ENSCAFP00000041937	ENSCAFP00000021381
ENSCAFP00000021381	ENSCAFP00000041937
ENSCAFP00000041937	ENSCAFP00000023677
ENSCAFP00000023677	ENSCAFP00000041937
ENSCAFP00000018097	ENSCAFP00000021381
ENSCAFP00000021381	ENSCAFP00000018097
ENSCAFP00000018097	ENSCAFP00000023677
ENSCAFP00000023677	ENSCAFP00000018097
ENSCAFP00000021381	ENSCAFP00000023677
ENSCAFP00000023677	ENSCAFP00000021381
ENSCAFP00000020181	ENSCAFP00000003057
ENSCAFP00000003057	ENSCAFP00000020181
ENSCAFP00000020181	ENSCAFP00000042913
ENSCAFP00000042913	ENSCAFP00000020181
ENSCAFP00000020181	ENSCAFP00000030233
ENSCAFP00000030233	ENSCAFP00000020181
ENSCAFP00000020181	ENSCAFP00000029789
ENSCAFP00000029789	ENSCAFP00000020181
ENSCAFP00000020181	ENSCAFP00000030236
ENSCAFP00000030236	ENSCAFP00000020181
ENSCAFP00000003057	ENSCAFP00000042913
ENSCAFP00000042913	ENSCAFP00000003057
ENSCAFP00000003057	ENSCAFP00000030233
ENSCAFP00000030233	ENSCAFP00000003057
ENSCAFP00000003057	ENSCAFP00000029789
ENSCAFP00000029789	ENSCAFP00000003057
ENSCAFP00000003057	ENSCAFP00000030236
ENSCAFP00000030236	ENSCAFP00000003057
ENSCAFP00000042913	ENSCAFP00000030233
ENSCAFP00000030233	ENSCAFP00000042913
ENSCAFP00000042913	ENSCAFP00000029789
ENSCAFP00000029789	ENSCAFP00000042913
ENSCAFP00000042913	ENSCAFP00000030236
ENSCAFP00000030236	ENSCAFP00000042913
ENSCAFP00000030233	ENSCAFP00000029789
ENSCAFP00000029789	ENSCAFP00000030233
ENSCAFP00000030233	ENSCAFP00000030236
ENSCAFP00000030236	ENSCAFP00000030233
ENSCAFP00000029789	ENSCAFP00000030236
ENSCAFP00000030236	ENSCAFP00000029789
ENSCAFP00000007396	ENSCAFP00000038629
ENSCAFP00000038629	ENSCAFP00000007396
ENSCAFP00000007396	ENSCAFP00000040362
ENSCAFP00000040362	ENSCAFP00000007396
ENSCAFP00000007396	ENSCAFP00000011046
ENSCAFP00000011046	ENSCAFP00000007396
ENSCAFP00000038629	ENSCAFP00000040362
ENSCAFP00000040362	ENSCAFP00000038629
ENSCAFP00000038629	ENSCAFP00000011046
ENSCAFP00000011046	ENSCAFP00000038629
ENSCAFP00000040362	ENSCAFP00000011046
ENSCAFP00000011046	ENSCAFP00000040362
ENSCAFP00000007210	ENSCAFP00000018683
ENSCAFP00000018683	ENSCAFP00000007210
ENSCAFP00000007210	ENSCAFP00000001179
ENSCAFP00000001179	ENSCAFP00000007210
ENSCAFP00000018683	ENSCAFP00000001179
ENSCAFP00000001179	ENSCAFP00000018683
ENSCAFP00000010268	ENSCAFP00000010258
ENSCAFP00000010258	ENSCAFP00000010268
ENSCAFP00000010268	ENSCAFP00000005013
ENSCAFP00000005013	ENSCAFP00000010268
ENSCAFP00000010268	ENSCAFP00000027366
ENSCAFP00000027366	ENSCAFP00000010268
ENSCAFP00000010268	ENSCAFP00000027533
ENSCAFP00000027533	ENSCAFP00000010268
ENSCAFP00000010268	ENSCAFP00000027517
ENSCAFP00000027517	ENSCAFP00000010268
ENSCAFP00000010258	ENSCAFP00000005013
ENSCAFP00000005013	ENSCAFP00000010258
ENSCAFP00000010258	ENSCAFP00000027366
ENSCAFP00000027366	ENSCAFP00000010258
ENSCAFP00000010258	ENSCAFP00000027533
ENSCAFP00000027533	ENSCAFP00000010258
ENSCAFP00000010258	ENSCAFP00000027517
ENSCAFP00000027517	ENSCAFP00000010258
ENSCAFP00000005013	ENSCAFP00000027366
ENSCAFP00000027366	ENSCAFP00000005013
ENSCAFP00000005013	ENSCAFP00000027533
ENSCAFP00000027533	ENSCAFP00000005013
ENSCAFP00000005013	ENSCAFP00000027517
ENSCAFP00000027517	ENSCAFP00000005013
ENSCAFP00000027366	ENSCAFP00000027533
ENSCAFP00000027533	ENSCAFP00000027366
ENSCAFP00000027366	ENSCAFP00000027517
ENSCAFP00000027517	ENSCAFP00000027366
ENSCAFP00000027533	ENSCAFP00000027517
ENSCAFP00000027517	ENSCAFP00000027533
ENSCAFP00000028725	ENSCAFP00000019445
ENSCAFP00000019445	ENSCAFP00000028725
ENSCAFP00000042805	ENSCAFP00000027189
ENSCAFP00000027189	ENSCAFP00000042805
ENSCAFP00000001269	ENSCAFP00000015344
ENSCAFP00000015344	ENSCAFP00000001269
ENSCAFP00000001269	ENSCAFP00000015347
ENSCAFP00000015347	ENSCAFP00000001269
ENSCAFP00000001269	ENSCAFP00000015348
ENSCAFP00000015348	ENSCAFP00000001269
ENSCAFP00000001269	ENSCAFP00000031154
ENSCAFP00000031154	ENSCAFP00000001269
ENSCAFP00000001269	ENSCAFP00000001267
ENSCAFP00000001267	ENSCAFP00000001269
ENSCAFP00000015344	ENSCAFP00000015347
ENSCAFP00000015347	ENSCAFP00000015344
ENSCAFP00000015344	ENSCAFP00000015348
ENSCAFP00000015348	ENSCAFP00000015344
ENSCAFP00000015344	ENSCAFP00000031154
ENSCAFP00000031154	ENSCAFP00000015344
ENSCAFP00000015344	ENSCAFP00000001267
ENSCAFP00000001267	ENSCAFP00000015344
ENSCAFP00000015347	ENSCAFP00000015348
ENSCAFP00000015348	ENSCAFP00000015347
ENSCAFP00000015347	ENSCAFP00000031154
ENSCAFP00000031154	ENSCAFP00000015347
ENSCAFP00000015347	ENSCAFP00000001267
ENSCAFP00000001267	ENSCAFP00000015347
ENSCAFP00000015348	ENSCAFP00000031154
ENSCAFP00000031154	ENSCAFP00000015348
ENSCAFP00000015348	ENSCAFP00000001267
ENSCAFP00000001267	ENSCAFP00000015348
ENSCAFP00000031154	ENSCAFP00000001267
ENSCAFP00000001267	ENSCAFP00000031154
ENSCAFP00000036079	ENSCAFP00000011219
ENSCAFP00000011219	ENSCAFP00000036079
ENSCAFP00000036079	ENSCAFP00000007816
ENSCAFP00000007816	ENSCAFP00000036079
ENSCAFP00000011219	ENSCAFP00000007816
ENSCAFP00000007816	ENSCAFP00000011219
ENSCAFP00000016147	ENSCAFP00000011829
ENSCAFP00000011829	ENSCAFP00000016147
ENSCAFP00000030086	ENSCAFP00000023803
ENSCAFP00000023803	ENSCAFP00000030086
ENSCAFP00000028129	ENSCAFP00000020337
ENSCAFP00000020337	ENSCAFP00000028129
ENSCAFP00000011415	ENSCAFP00000001165
ENSCAFP00000001165	ENSCAFP00000011415
ENSCAFP00000011415	ENSCAFP00000016128
ENSCAFP00000016128	ENSCAFP00000011415
ENSCAFP00000001165	ENSCAFP00000016128
ENSCAFP00000016128	ENSCAFP00000001165
ENSCAFP00000041116	ENSCAFP00000025369
ENSCAFP00000025369	ENSCAFP00000041116
ENSCAFP00000041116	ENSCAFP00000029086
ENSCAFP00000029086	ENSCAFP00000041116
ENSCAFP00000041116	ENSCAFP00000004896
ENSCAFP00000004896	ENSCAFP00000041116
ENSCAFP00000025369	ENSCAFP00000029086
ENSCAFP00000029086	ENSCAFP00000025369
ENSCAFP00000025369	ENSCAFP00000004896
ENSCAFP00000004896	ENSCAFP00000025369
ENSCAFP00000029086	ENSCAFP00000004896
ENSCAFP00000004896	ENSCAFP00000029086
ENSCAFP00000039957	ENSCAFP00000026399
ENSCAFP00000026399	ENSCAFP00000039957
ENSCAFP00000039957	ENSCAFP00000023863
ENSCAFP00000023863	ENSCAFP00000039957
ENSCAFP00000006594	ENSCAFP00000026399
ENSCAFP00000026399	ENSCAFP00000006594
ENSCAFP00000006594	ENSCAFP00000023863
ENSCAFP00000023863	ENSCAFP00000006594
ENSCAFP00000026399	ENSCAFP00000023863
ENSCAFP00000023863	ENSCAFP00000026399
ENSCAFP00000012682	ENSCAFP00000004789
ENSCAFP00000004789	ENSCAFP00000012682
ENSCAFP00000012682	ENSCAFP00000008867
ENSCAFP00000008867	ENSCAFP00000012682
ENSCAFP00000004789	ENSCAFP00000008867
ENSCAFP00000008867	ENSCAFP00000004789
ENSCAFP00000010033	ENSCAFP00000004792
ENSCAFP00000004792	ENSCAFP00000010033
ENSCAFP00000015882	ENSCAFP00000003598
ENSCAFP00000003598	ENSCAFP00000015882
ENSCAFP00000015882	ENSCAFP00000001665
ENSCAFP00000001665	ENSCAFP00000015882
ENSCAFP00000003598	ENSCAFP00000001665
ENSCAFP00000001665	ENSCAFP00000003598
ENSCAFP00000012856	ENSCAFP00000004331
ENSCAFP00000004331	ENSCAFP00000012856
ENSCAFP00000002488	ENSCAFP00000028722
ENSCAFP00000028722	ENSCAFP00000002488
ENSCAFP00000002488	ENSCAFP00000034674
ENSCAFP00000034674	ENSCAFP00000002488
ENSCAFP00000028722	ENSCAFP00000034674
ENSCAFP00000034674	ENSCAFP00000028722
ENSCAFP00000025245	ENSCAFP00000030999
ENSCAFP00000030999	ENSCAFP00000025245
ENSCAFP00000013904	ENSCAFP00000009236
ENSCAFP00000009236	ENSCAFP00000013904
ENSCAFP00000013904	ENSCAFP00000020942
ENSCAFP00000020942	ENSCAFP00000013904
ENSCAFP00000013904	ENSCAFP00000012182
ENSCAFP00000012182	ENSCAFP00000013904
ENSCAFP00000009236	ENSCAFP00000020942
ENSCAFP00000020942	ENSCAFP00000009236
ENSCAFP00000009236	ENSCAFP00000012182
ENSCAFP00000012182	ENSCAFP00000009236
ENSCAFP00000020942	ENSCAFP00000012182
ENSCAFP00000012182	ENSCAFP00000020942
ENSCAFP00000000619	ENSCAFP00000013141
ENSCAFP00000013141	ENSCAFP00000000619
ENSCAFP00000000619	ENSCAFP00000035021
ENSCAFP00000035021	ENSCAFP00000000619
ENSCAFP00000000619	ENSCAFP00000013149
ENSCAFP00000013149	ENSCAFP00000000619
ENSCAFP00000013141	ENSCAFP00000035021
ENSCAFP00000035021	ENSCAFP00000013141
ENSCAFP00000013141	ENSCAFP00000013149
ENSCAFP00000013149	ENSCAFP00000013141
ENSCAFP00000035021	ENSCAFP00000013149
ENSCAFP00000013149	ENSCAFP00000035021
ENSCAFP00000013754	ENSCAFP00000016624
ENSCAFP00000016624	ENSCAFP00000013754
ENSCAFP00000013754	ENSCAFP00000036371
ENSCAFP00000036371	ENSCAFP00000013754
ENSCAFP00000016624	ENSCAFP00000036371
ENSCAFP00000036371	ENSCAFP00000016624
ENSCAFP00000019067	ENSCAFP00000021123
ENSCAFP00000021123	ENSCAFP00000019067
ENSCAFP00000002566	ENSCAFP00000002572
ENSCAFP00000002572	ENSCAFP00000002566
ENSCAFP00000002566	ENSCAFP00000002573
ENSCAFP00000002573	ENSCAFP00000002566
ENSCAFP00000002566	ENSCAFP00000015681
ENSCAFP00000015681	ENSCAFP00000002566
ENSCAFP00000002566	ENSCAFP00000015600
ENSCAFP00000015600	ENSCAFP00000002566
ENSCAFP00000002566	ENSCAFP00000015697
ENSCAFP00000015697	ENSCAFP00000002566
