ENSMGAP00000010739	ENSMGAP00000004925
ENSMGAP00000011139	ENSMGAP00000017915
ENSMGAP00000017915	ENSMGAP00000011139
ENSMGAP00000003014	ENSMGAP00000015236
ENSMGAP00000015236	ENSMGAP00000003014
ENSMGAP00000003757	ENSMGAP00000007537
ENSMGAP00000007537	ENSMGAP00000003757
ENSMGAP00000010071	ENSMGAP00000009399
ENSMGAP00000009399	ENSMGAP00000010071
ENSMGAP00000008128	ENSMGAP00000007518
ENSMGAP00000007518	ENSMGAP00000008128
ENSMGAP00000001944	ENSMGAP00000013734
ENSMGAP00000013734	ENSMGAP00000001944
ENSMGAP00000000217	ENSMGAP00000002878
ENSMGAP00000002878	ENSMGAP00000000217
ENSMGAP00000002860	ENSMGAP00000000231
ENSMGAP00000000231	ENSMGAP00000002860
ENSMGAP00000013813	ENSMGAP00000001795
ENSMGAP00000001795	ENSMGAP00000013813
ENSMGAP00000005494	ENSMGAP00000000432
ENSMGAP00000000432	ENSMGAP00000005494
ENSMGAP00000010974	ENSMGAP00000013515
ENSMGAP00000013515	ENSMGAP00000010974
ENSMGAP00000000964	ENSMGAP00000003538
ENSMGAP00000003538	ENSMGAP00000000964
ENSMGAP00000006152	ENSMGAP00000006673
ENSMGAP00000006673	ENSMGAP00000006152
ENSMGAP00000018976	ENSMGAP00000002706
ENSMGAP00000002706	ENSMGAP00000018976
ENSMGAP00000008306	ENSMGAP00000008756
ENSMGAP00000008756	ENSMGAP00000008306
ENSMGAP00000005181	ENSMGAP00000012044
ENSMGAP00000012044	ENSMGAP00000005181
ENSMGAP00000007164	ENSMGAP00000015568
ENSMGAP00000015568	ENSMGAP00000007164
ENSMGAP00000007164	ENSMGAP00000015570
ENSMGAP00000015570	ENSMGAP00000007164
ENSMGAP00000007164	ENSMGAP00000003190
ENSMGAP00000003190	ENSMGAP00000007164
ENSMGAP00000015568	ENSMGAP00000015570
ENSMGAP00000015570	ENSMGAP00000015568
ENSMGAP00000015568	ENSMGAP00000003190
ENSMGAP00000003190	ENSMGAP00000015568
ENSMGAP00000015570	ENSMGAP00000003190
ENSMGAP00000003190	ENSMGAP00000015570
ENSMGAP00000001772	ENSMGAP00000005589
ENSMGAP00000005589	ENSMGAP00000001772
ENSMGAP00000006564	ENSMGAP00000014728
ENSMGAP00000014728	ENSMGAP00000006564
ENSMGAP00000010913	ENSMGAP00000019750
ENSMGAP00000019750	ENSMGAP00000010913
ENSMGAP00000010913	ENSMGAP00000001752
ENSMGAP00000001752	ENSMGAP00000010913
ENSMGAP00000019750	ENSMGAP00000001752
ENSMGAP00000001752	ENSMGAP00000019750
ENSMGAP00000013090	ENSMGAP00000007848
ENSMGAP00000007848	ENSMGAP00000013090
ENSMGAP00000003617	ENSMGAP00000003530
ENSMGAP00000003530	ENSMGAP00000003617
ENSMGAP00000009825	ENSMGAP00000000737
ENSMGAP00000000737	ENSMGAP00000009825
ENSMGAP00000009657	ENSMGAP00000001802
ENSMGAP00000001802	ENSMGAP00000009657
ENSMGAP00000009657	ENSMGAP00000000491
ENSMGAP00000000491	ENSMGAP00000009657
ENSMGAP00000009657	ENSMGAP00000001010
ENSMGAP00000001010	ENSMGAP00000009657
ENSMGAP00000009657	ENSMGAP00000011815
ENSMGAP00000011815	ENSMGAP00000009657
ENSMGAP00000001802	ENSMGAP00000001010
ENSMGAP00000001010	ENSMGAP00000001802
ENSMGAP00000001802	ENSMGAP00000011815
ENSMGAP00000011815	ENSMGAP00000001802
ENSMGAP00000000491	ENSMGAP00000001010
ENSMGAP00000001010	ENSMGAP00000000491
ENSMGAP00000000491	ENSMGAP00000011815
ENSMGAP00000011815	ENSMGAP00000000491
ENSMGAP00000001010	ENSMGAP00000011815
ENSMGAP00000011815	ENSMGAP00000001010
ENSMGAP00000012705	ENSMGAP00000007078
ENSMGAP00000007078	ENSMGAP00000012705
ENSMGAP00000011134	ENSMGAP00000017509
ENSMGAP00000017509	ENSMGAP00000011134
ENSMGAP00000011134	ENSMGAP00000013574
ENSMGAP00000013574	ENSMGAP00000011134
ENSMGAP00000017509	ENSMGAP00000013574
ENSMGAP00000013574	ENSMGAP00000017509
ENSMGAP00000000718	ENSMGAP00000000730
ENSMGAP00000000730	ENSMGAP00000000718
ENSMGAP00000000718	ENSMGAP00000012182
ENSMGAP00000012182	ENSMGAP00000000718
ENSMGAP00000000718	ENSMGAP00000002485
ENSMGAP00000002485	ENSMGAP00000000718
ENSMGAP00000000730	ENSMGAP00000012182
ENSMGAP00000012182	ENSMGAP00000000730
ENSMGAP00000000730	ENSMGAP00000002485
ENSMGAP00000002485	ENSMGAP00000000730
ENSMGAP00000012182	ENSMGAP00000002485
ENSMGAP00000002485	ENSMGAP00000012182
ENSMGAP00000018544	ENSMGAP00000015716
ENSMGAP00000015716	ENSMGAP00000018544
ENSMGAP00000018544	ENSMGAP00000003367
ENSMGAP00000003367	ENSMGAP00000018544
ENSMGAP00000018544	ENSMGAP00000009944
ENSMGAP00000009944	ENSMGAP00000018544
ENSMGAP00000018544	ENSMGAP00000003349
ENSMGAP00000003349	ENSMGAP00000018544
ENSMGAP00000018544	ENSMGAP00000009979
ENSMGAP00000009979	ENSMGAP00000018544
ENSMGAP00000015716	ENSMGAP00000003367
ENSMGAP00000003367	ENSMGAP00000015716
ENSMGAP00000015716	ENSMGAP00000009944
ENSMGAP00000009944	ENSMGAP00000015716
ENSMGAP00000015716	ENSMGAP00000003349
ENSMGAP00000003349	ENSMGAP00000015716
ENSMGAP00000015716	ENSMGAP00000009979
ENSMGAP00000009979	ENSMGAP00000015716
ENSMGAP00000003367	ENSMGAP00000009944
ENSMGAP00000009944	ENSMGAP00000003367
ENSMGAP00000003367	ENSMGAP00000003349
ENSMGAP00000003349	ENSMGAP00000003367
ENSMGAP00000003367	ENSMGAP00000009979
ENSMGAP00000009979	ENSMGAP00000003367
ENSMGAP00000009944	ENSMGAP00000003349
ENSMGAP00000003349	ENSMGAP00000009944
ENSMGAP00000009944	ENSMGAP00000009979
ENSMGAP00000009979	ENSMGAP00000009944
ENSMGAP00000003349	ENSMGAP00000009979
ENSMGAP00000009979	ENSMGAP00000003349
ENSMGAP00000015126	ENSMGAP00000001319
ENSMGAP00000001319	ENSMGAP00000015126
ENSMGAP00000015126	ENSMGAP00000000723
ENSMGAP00000000723	ENSMGAP00000015126
ENSMGAP00000001319	ENSMGAP00000000723
ENSMGAP00000000723	ENSMGAP00000001319
ENSMGAP00000002250	ENSMGAP00000013153
ENSMGAP00000013153	ENSMGAP00000002250
ENSMGAP00000006485	ENSMGAP00000005750
ENSMGAP00000005750	ENSMGAP00000006485
ENSMGAP00000006485	ENSMGAP00000003262
ENSMGAP00000003262	ENSMGAP00000006485
ENSMGAP00000006485	ENSMGAP00000012561
ENSMGAP00000012561	ENSMGAP00000006485
ENSMGAP00000006485	ENSMGAP00000003178
ENSMGAP00000003178	ENSMGAP00000006485
ENSMGAP00000005750	ENSMGAP00000003262
ENSMGAP00000003262	ENSMGAP00000005750
ENSMGAP00000005750	ENSMGAP00000012561
ENSMGAP00000012561	ENSMGAP00000005750
ENSMGAP00000005750	ENSMGAP00000003178
ENSMGAP00000003178	ENSMGAP00000005750
ENSMGAP00000003262	ENSMGAP00000012561
ENSMGAP00000012561	ENSMGAP00000003262
ENSMGAP00000003262	ENSMGAP00000003178
ENSMGAP00000003178	ENSMGAP00000003262
ENSMGAP00000012561	ENSMGAP00000003178
ENSMGAP00000003178	ENSMGAP00000012561
ENSMGAP00000006160	ENSMGAP00000014264
ENSMGAP00000014264	ENSMGAP00000006160
ENSMGAP00000014136	ENSMGAP00000010923
ENSMGAP00000010923	ENSMGAP00000014136
ENSMGAP00000014136	ENSMGAP00000010925
ENSMGAP00000010925	ENSMGAP00000014136
ENSMGAP00000014136	ENSMGAP00000010926
ENSMGAP00000010926	ENSMGAP00000014136
ENSMGAP00000014136	ENSMGAP00000014141
ENSMGAP00000014141	ENSMGAP00000014136
ENSMGAP00000014136	ENSMGAP00000014140
ENSMGAP00000014140	ENSMGAP00000014136
ENSMGAP00000010923	ENSMGAP00000010925
ENSMGAP00000010925	ENSMGAP00000010923
ENSMGAP00000010923	ENSMGAP00000010926
ENSMGAP00000010926	ENSMGAP00000010923
ENSMGAP00000010923	ENSMGAP00000014141
ENSMGAP00000014141	ENSMGAP00000010923
ENSMGAP00000010923	ENSMGAP00000014140
ENSMGAP00000014140	ENSMGAP00000010923
ENSMGAP00000010925	ENSMGAP00000010926
ENSMGAP00000010926	ENSMGAP00000010925
ENSMGAP00000010925	ENSMGAP00000014141
ENSMGAP00000014141	ENSMGAP00000010925
ENSMGAP00000010925	ENSMGAP00000014140
ENSMGAP00000014140	ENSMGAP00000010925
ENSMGAP00000010926	ENSMGAP00000014141
ENSMGAP00000014141	ENSMGAP00000010926
ENSMGAP00000010926	ENSMGAP00000014140
ENSMGAP00000014140	ENSMGAP00000010926
ENSMGAP00000014141	ENSMGAP00000014140
ENSMGAP00000014140	ENSMGAP00000014141
ENSMGAP00000009394	ENSMGAP00000008318
ENSMGAP00000008318	ENSMGAP00000009394
ENSMGAP00000010936	ENSMGAP00000011774
ENSMGAP00000011774	ENSMGAP00000010936
ENSMGAP00000006503	ENSMGAP00000008212
ENSMGAP00000008212	ENSMGAP00000006503
ENSMGAP00000006256	ENSMGAP00000009009
ENSMGAP00000009009	ENSMGAP00000006256
ENSMGAP00000006256	ENSMGAP00000011385
ENSMGAP00000011385	ENSMGAP00000006256
ENSMGAP00000009009	ENSMGAP00000011385
ENSMGAP00000011385	ENSMGAP00000009009
ENSMGAP00000001142	ENSMGAP00000003590
ENSMGAP00000003590	ENSMGAP00000001142
ENSMGAP00000008872	ENSMGAP00000010443
ENSMGAP00000010443	ENSMGAP00000008872
ENSMGAP00000008872	ENSMGAP00000000679
ENSMGAP00000000679	ENSMGAP00000008872
ENSMGAP00000010443	ENSMGAP00000000679
ENSMGAP00000000679	ENSMGAP00000010443
ENSMGAP00000014048	ENSMGAP00000008543
ENSMGAP00000008543	ENSMGAP00000014048
ENSMGAP00000012880	ENSMGAP00000004391
ENSMGAP00000004391	ENSMGAP00000012880
ENSMGAP00000006544	ENSMGAP00000014780
ENSMGAP00000014780	ENSMGAP00000006544
ENSMGAP00000004289	ENSMGAP00000013592
ENSMGAP00000013592	ENSMGAP00000004289
ENSMGAP00000009271	ENSMGAP00000010280
ENSMGAP00000010280	ENSMGAP00000009271
ENSMGAP00000008868	ENSMGAP00000016657
ENSMGAP00000016657	ENSMGAP00000008868
ENSMGAP00000006427	ENSMGAP00000016637
ENSMGAP00000016637	ENSMGAP00000006427
ENSMGAP00000006427	ENSMGAP00000003533
ENSMGAP00000003533	ENSMGAP00000006427
ENSMGAP00000016637	ENSMGAP00000003533
ENSMGAP00000003533	ENSMGAP00000016637
ENSMGAP00000009178	ENSMGAP00000009175
ENSMGAP00000009175	ENSMGAP00000009178
ENSMGAP00000008522	ENSMGAP00000008533
ENSMGAP00000008533	ENSMGAP00000008522
ENSMGAP00000008522	ENSMGAP00000000892
ENSMGAP00000000892	ENSMGAP00000008522
ENSMGAP00000008522	ENSMGAP00000000865
ENSMGAP00000000865	ENSMGAP00000008522
ENSMGAP00000008522	ENSMGAP00000005766
ENSMGAP00000005766	ENSMGAP00000008522
ENSMGAP00000008533	ENSMGAP00000000892
ENSMGAP00000000892	ENSMGAP00000008533
ENSMGAP00000008533	ENSMGAP00000000865
ENSMGAP00000000865	ENSMGAP00000008533
ENSMGAP00000008533	ENSMGAP00000005766
ENSMGAP00000005766	ENSMGAP00000008533
ENSMGAP00000000892	ENSMGAP00000000865
ENSMGAP00000000865	ENSMGAP00000000892
ENSMGAP00000000892	ENSMGAP00000005766
ENSMGAP00000005766	ENSMGAP00000000892
ENSMGAP00000000865	ENSMGAP00000005766
ENSMGAP00000005766	ENSMGAP00000000865
ENSMGAP00000009232	ENSMGAP00000010471
ENSMGAP00000010471	ENSMGAP00000009232
ENSMGAP00000009367	ENSMGAP00000009748
ENSMGAP00000009748	ENSMGAP00000009367
ENSMGAP00000014629	ENSMGAP00000013528
ENSMGAP00000013528	ENSMGAP00000014629
ENSMGAP00000014629	ENSMGAP00000006394
ENSMGAP00000006394	ENSMGAP00000014629
ENSMGAP00000013528	ENSMGAP00000006394
ENSMGAP00000006394	ENSMGAP00000013528
ENSMGAP00000013739	ENSMGAP00000003888
ENSMGAP00000003888	ENSMGAP00000013739
ENSMGAP00000000980	ENSMGAP00000004449
ENSMGAP00000004449	ENSMGAP00000000980
ENSMGAP00000005911	ENSMGAP00000018438
ENSMGAP00000018438	ENSMGAP00000005911
ENSMGAP00000005911	ENSMGAP00000009521
ENSMGAP00000009521	ENSMGAP00000005911
ENSMGAP00000018438	ENSMGAP00000009521
ENSMGAP00000009521	ENSMGAP00000018438
ENSMGAP00000017551	ENSMGAP00000003873
ENSMGAP00000003873	ENSMGAP00000017551
ENSMGAP00000017551	ENSMGAP00000002322
ENSMGAP00000002322	ENSMGAP00000017551
ENSMGAP00000003873	ENSMGAP00000002322
ENSMGAP00000002322	ENSMGAP00000003873
ENSMGAP00000013170	ENSMGAP00000019340
ENSMGAP00000019340	ENSMGAP00000013170
ENSMGAP00000014778	ENSMGAP00000011272
ENSMGAP00000011272	ENSMGAP00000014778
ENSMGAP00000001815	ENSMGAP00000008157
ENSMGAP00000008157	ENSMGAP00000001815
ENSMGAP00000001815	ENSMGAP00000013247
ENSMGAP00000013247	ENSMGAP00000001815
ENSMGAP00000008157	ENSMGAP00000013247
ENSMGAP00000013247	ENSMGAP00000008157
ENSMGAP00000000499	ENSMGAP00000001575
ENSMGAP00000001575	ENSMGAP00000000499
ENSMGAP00000000499	ENSMGAP00000015092
ENSMGAP00000015092	ENSMGAP00000000499
ENSMGAP00000001575	ENSMGAP00000015092
ENSMGAP00000015092	ENSMGAP00000001575
ENSMGAP00000007440	ENSMGAP00000007893
ENSMGAP00000007893	ENSMGAP00000007440
ENSMGAP00000007440	ENSMGAP00000003355
ENSMGAP00000003355	ENSMGAP00000007440
ENSMGAP00000007893	ENSMGAP00000003355
ENSMGAP00000003355	ENSMGAP00000007893
ENSMGAP00000000086	ENSMGAP00000002593
ENSMGAP00000002593	ENSMGAP00000000086
ENSMGAP00000014707	ENSMGAP00000001163
ENSMGAP00000001163	ENSMGAP00000014707
ENSMGAP00000001348	ENSMGAP00000011290
ENSMGAP00000011290	ENSMGAP00000001348
ENSMGAP00000014476	ENSMGAP00000011156
ENSMGAP00000011156	ENSMGAP00000014476
ENSMGAP00000013568	ENSMGAP00000014124
ENSMGAP00000014124	ENSMGAP00000013568
ENSMGAP00000013568	ENSMGAP00000015691
ENSMGAP00000015691	ENSMGAP00000013568
ENSMGAP00000014124	ENSMGAP00000015691
ENSMGAP00000015691	ENSMGAP00000014124
ENSMGAP00000008420	ENSMGAP00000006754
ENSMGAP00000006754	ENSMGAP00000008420
ENSMGAP00000008420	ENSMGAP00000000085
ENSMGAP00000000085	ENSMGAP00000008420
ENSMGAP00000006754	ENSMGAP00000000085
ENSMGAP00000000085	ENSMGAP00000006754
ENSMGAP00000006790	ENSMGAP00000006390
ENSMGAP00000006390	ENSMGAP00000006790
ENSMGAP00000002328	ENSMGAP00000008286
ENSMGAP00000008286	ENSMGAP00000002328
ENSMGAP00000010097	ENSMGAP00000008714
ENSMGAP00000008714	ENSMGAP00000010097
ENSMGAP00000000509	ENSMGAP00000007650
ENSMGAP00000007650	ENSMGAP00000000509
ENSMGAP00000001395	ENSMGAP00000019077
ENSMGAP00000019077	ENSMGAP00000001395
ENSMGAP00000002271	ENSMGAP00000009255
ENSMGAP00000009255	ENSMGAP00000002271
ENSMGAP00000002271	ENSMGAP00000008040
ENSMGAP00000008040	ENSMGAP00000002271
ENSMGAP00000009255	ENSMGAP00000008040
ENSMGAP00000008040	ENSMGAP00000009255
ENSMGAP00000015273	ENSMGAP00000003689
ENSMGAP00000003689	ENSMGAP00000015273
ENSMGAP00000003710	ENSMGAP00000011655
ENSMGAP00000011655	ENSMGAP00000003710
ENSMGAP00000014047	ENSMGAP00000011625
ENSMGAP00000011625	ENSMGAP00000014047
ENSMGAP00000011759	ENSMGAP00000000744
ENSMGAP00000000744	ENSMGAP00000011759
ENSMGAP00000011759	ENSMGAP00000005385
ENSMGAP00000005385	ENSMGAP00000011759
ENSMGAP00000000744	ENSMGAP00000005385
ENSMGAP00000005385	ENSMGAP00000000744
ENSMGAP00000004123	ENSMGAP00000006694
ENSMGAP00000006694	ENSMGAP00000004123
ENSMGAP00000006418	ENSMGAP00000013338
ENSMGAP00000013338	ENSMGAP00000006418
ENSMGAP00000006418	ENSMGAP00000007499
ENSMGAP00000007499	ENSMGAP00000006418
ENSMGAP00000013338	ENSMGAP00000007499
ENSMGAP00000007499	ENSMGAP00000013338
ENSMGAP00000011954	ENSMGAP00000007180
ENSMGAP00000007180	ENSMGAP00000011954
ENSMGAP00000002574	ENSMGAP00000003711
ENSMGAP00000003711	ENSMGAP00000002574
ENSMGAP00000014767	ENSMGAP00000004080
ENSMGAP00000004080	ENSMGAP00000014767
ENSMGAP00000014767	ENSMGAP00000009801
ENSMGAP00000009801	ENSMGAP00000014767
ENSMGAP00000014767	ENSMGAP00000000265
ENSMGAP00000000265	ENSMGAP00000014767
ENSMGAP00000004080	ENSMGAP00000009801
ENSMGAP00000009801	ENSMGAP00000004080
ENSMGAP00000004080	ENSMGAP00000000265
ENSMGAP00000000265	ENSMGAP00000004080
ENSMGAP00000009801	ENSMGAP00000000265
ENSMGAP00000000265	ENSMGAP00000009801
ENSMGAP00000006889	ENSMGAP00000010920
ENSMGAP00000010920	ENSMGAP00000006889
ENSMGAP00000002312	ENSMGAP00000013161
ENSMGAP00000013161	ENSMGAP00000002312
ENSMGAP00000000859	ENSMGAP00000011580
ENSMGAP00000011580	ENSMGAP00000000859
ENSMGAP00000000859	ENSMGAP00000019406
ENSMGAP00000019406	ENSMGAP00000000859
ENSMGAP00000011580	ENSMGAP00000019406
ENSMGAP00000019406	ENSMGAP00000011580
ENSMGAP00000002371	ENSMGAP00000015954
ENSMGAP00000015954	ENSMGAP00000002371
ENSMGAP00000002371	ENSMGAP00000008030
ENSMGAP00000008030	ENSMGAP00000002371
ENSMGAP00000015954	ENSMGAP00000008030
ENSMGAP00000008030	ENSMGAP00000015954
ENSMGAP00000002995	ENSMGAP00000013724
ENSMGAP00000013724	ENSMGAP00000002995
ENSMGAP00000016876	ENSMGAP00000005211
ENSMGAP00000005211	ENSMGAP00000016876
ENSMGAP00000016876	ENSMGAP00000002247
ENSMGAP00000002247	ENSMGAP00000016876
ENSMGAP00000005211	ENSMGAP00000002247
ENSMGAP00000002247	ENSMGAP00000005211
ENSMGAP00000014035	ENSMGAP00000008702
ENSMGAP00000008702	ENSMGAP00000014035
ENSMGAP00000005660	ENSMGAP00000008955
ENSMGAP00000008955	ENSMGAP00000005660
ENSMGAP00000006471	ENSMGAP00000009069
ENSMGAP00000009069	ENSMGAP00000006471
ENSMGAP00000003984	ENSMGAP00000012377
ENSMGAP00000012377	ENSMGAP00000003984
ENSMGAP00000007542	ENSMGAP00000007616
ENSMGAP00000007616	ENSMGAP00000007542
ENSMGAP00000007542	ENSMGAP00000014484
ENSMGAP00000014484	ENSMGAP00000007542
ENSMGAP00000007616	ENSMGAP00000014484
ENSMGAP00000014484	ENSMGAP00000007616
ENSMGAP00000012667	ENSMGAP00000012872
ENSMGAP00000012872	ENSMGAP00000012667
ENSMGAP00000004677	ENSMGAP00000003309
ENSMGAP00000003309	ENSMGAP00000004677
ENSMGAP00000005030	ENSMGAP00000011808
ENSMGAP00000011808	ENSMGAP00000005030
ENSMGAP00000003362	ENSMGAP00000010091
ENSMGAP00000010091	ENSMGAP00000003362
ENSMGAP00000003362	ENSMGAP00000005287
ENSMGAP00000005287	ENSMGAP00000003362
ENSMGAP00000010091	ENSMGAP00000005287
ENSMGAP00000005287	ENSMGAP00000010091
ENSMGAP00000004874	ENSMGAP00000019025
ENSMGAP00000019025	ENSMGAP00000004874
ENSMGAP00000001538	ENSMGAP00000011398
ENSMGAP00000011398	ENSMGAP00000001538
ENSMGAP00000001538	ENSMGAP00000001897
ENSMGAP00000001897	ENSMGAP00000001538
ENSMGAP00000011398	ENSMGAP00000001897
ENSMGAP00000001897	ENSMGAP00000011398
ENSMGAP00000009060	ENSMGAP00000004606
ENSMGAP00000004606	ENSMGAP00000009060
ENSMGAP00000000728	ENSMGAP00000009313
ENSMGAP00000009313	ENSMGAP00000000728
ENSMGAP00000008536	ENSMGAP00000007353
ENSMGAP00000007353	ENSMGAP00000008536
ENSMGAP00000003187	ENSMGAP00000016272
ENSMGAP00000016272	ENSMGAP00000003187
ENSMGAP00000003187	ENSMGAP00000009488
ENSMGAP00000009488	ENSMGAP00000003187
ENSMGAP00000016272	ENSMGAP00000009488
ENSMGAP00000009488	ENSMGAP00000016272
ENSMGAP00000006249	ENSMGAP00000008115
ENSMGAP00000008115	ENSMGAP00000006249
ENSMGAP00000006249	ENSMGAP00000004377
ENSMGAP00000004377	ENSMGAP00000006249
ENSMGAP00000006249	ENSMGAP00000005020
ENSMGAP00000005020	ENSMGAP00000006249
ENSMGAP00000008115	ENSMGAP00000004377
ENSMGAP00000004377	ENSMGAP00000008115
ENSMGAP00000008115	ENSMGAP00000005020
ENSMGAP00000005020	ENSMGAP00000008115
ENSMGAP00000004377	ENSMGAP00000005020
ENSMGAP00000005020	ENSMGAP00000004377
ENSMGAP00000016743	ENSMGAP00000011387
ENSMGAP00000011387	ENSMGAP00000016743
ENSMGAP00000010642	ENSMGAP00000003290
ENSMGAP00000003290	ENSMGAP00000010642
ENSMGAP00000010616	ENSMGAP00000014760
ENSMGAP00000014760	ENSMGAP00000010616
ENSMGAP00000013176	ENSMGAP00000014789
ENSMGAP00000014789	ENSMGAP00000013176
