ENSP00000354794	ENSP00000455426
ENSP00000376453	ENSP00000325485
ENSP00000325485	ENSP00000376453
ENSP00000355929	ENSP00000251089
ENSP00000251089	ENSP00000355929
ENSP00000264903	ENSP00000377024
ENSP00000377024	ENSP00000264903
ENSP00000365950	ENSP00000468788
ENSP00000468788	ENSP00000365950
ENSP00000354855	ENSP00000439120
ENSP00000439120	ENSP00000354855
ENSP00000354855	ENSP00000380252
ENSP00000380252	ENSP00000354855
ENSP00000439120	ENSP00000380252
ENSP00000380252	ENSP00000439120
ENSP00000382805	ENSP00000257749
ENSP00000257749	ENSP00000382805
ENSP00000366827	ENSP00000321343
ENSP00000321343	ENSP00000366827
ENSP00000366827	ENSP00000379353
ENSP00000379353	ENSP00000366827
ENSP00000321343	ENSP00000379353
ENSP00000379353	ENSP00000321343
ENSP00000320431	ENSP00000268164
ENSP00000268164	ENSP00000320431
ENSP00000320431	ENSP00000231461
ENSP00000231461	ENSP00000320431
ENSP00000268164	ENSP00000231461
ENSP00000231461	ENSP00000268164
ENSP00000262904	ENSP00000355249
ENSP00000355249	ENSP00000262904
ENSP00000262904	ENSP00000345571
ENSP00000345571	ENSP00000262904
ENSP00000262904	ENSP00000370936
ENSP00000370936	ENSP00000262904
ENSP00000355249	ENSP00000345571
ENSP00000345571	ENSP00000355249
ENSP00000355249	ENSP00000370936
ENSP00000370936	ENSP00000355249
ENSP00000345571	ENSP00000370936
ENSP00000370936	ENSP00000345571
ENSP00000221543	ENSP00000448182
ENSP00000448182	ENSP00000221543
ENSP00000477059	ENSP00000328326
ENSP00000328326	ENSP00000477059
ENSP00000477059	ENSP00000416707
ENSP00000416707	ENSP00000477059
ENSP00000328326	ENSP00000416707
ENSP00000416707	ENSP00000328326
ENSP00000386881	ENSP00000352208
ENSP00000352208	ENSP00000386881
ENSP00000265138	ENSP00000222250
ENSP00000222250	ENSP00000265138
ENSP00000265138	ENSP00000268042
ENSP00000268042	ENSP00000265138
ENSP00000265138	ENSP00000358323
ENSP00000358323	ENSP00000265138
ENSP00000222250	ENSP00000268042
ENSP00000268042	ENSP00000222250
ENSP00000222250	ENSP00000358323
ENSP00000358323	ENSP00000222250
ENSP00000268042	ENSP00000358323
ENSP00000358323	ENSP00000268042
ENSP00000406162	ENSP00000372067
ENSP00000372067	ENSP00000406162
ENSP00000266037	ENSP00000404179
ENSP00000404179	ENSP00000266037
ENSP00000280333	ENSP00000276440
ENSP00000276440	ENSP00000280333
ENSP00000340677	ENSP00000381739
ENSP00000381739	ENSP00000340677
ENSP00000272164	ENSP00000290015
ENSP00000290015	ENSP00000272164
ENSP00000258411	ENSP00000301061
ENSP00000301061	ENSP00000258411
ENSP00000357077	ENSP00000432282
ENSP00000432282	ENSP00000357077
ENSP00000357077	ENSP00000377494
ENSP00000377494	ENSP00000357077
ENSP00000432282	ENSP00000377494
ENSP00000377494	ENSP00000432282
ENSP00000263097	ENSP00000252456
ENSP00000252456	ENSP00000263097
ENSP00000263097	ENSP00000359225
ENSP00000359225	ENSP00000263097
ENSP00000252456	ENSP00000359225
ENSP00000359225	ENSP00000252456
ENSP00000252677	ENSP00000367942
ENSP00000367942	ENSP00000252677
ENSP00000224605	ENSP00000282701
ENSP00000282701	ENSP00000224605
ENSP00000468312	ENSP00000334314
ENSP00000334314	ENSP00000468312
ENSP00000320663	ENSP00000378254
ENSP00000378254	ENSP00000320663
ENSP00000348842	ENSP00000451998
ENSP00000451998	ENSP00000348842
ENSP00000366267	ENSP00000377836
ENSP00000377836	ENSP00000366267
ENSP00000366246	ENSP00000359864
ENSP00000359864	ENSP00000366246
ENSP00000366246	ENSP00000292377
ENSP00000292377	ENSP00000366246
ENSP00000366246	ENSP00000264039
ENSP00000264039	ENSP00000366246
ENSP00000359864	ENSP00000292377
ENSP00000292377	ENSP00000359864
ENSP00000359864	ENSP00000264039
ENSP00000264039	ENSP00000359864
ENSP00000292377	ENSP00000264039
ENSP00000264039	ENSP00000292377
ENSP00000332886	ENSP00000280481
ENSP00000280481	ENSP00000332886
ENSP00000374507	ENSP00000338728
ENSP00000338728	ENSP00000374507
ENSP00000374507	ENSP00000349238
ENSP00000349238	ENSP00000374507
ENSP00000338728	ENSP00000349238
ENSP00000349238	ENSP00000338728
ENSP00000380785	ENSP00000360252
ENSP00000360252	ENSP00000380785
ENSP00000370713	ENSP00000441897
ENSP00000441897	ENSP00000370713
ENSP00000268624	ENSP00000296513
ENSP00000296513	ENSP00000268624
ENSP00000396732	ENSP00000394314
ENSP00000394314	ENSP00000396732
ENSP00000396732	ENSP00000228437
ENSP00000228437	ENSP00000396732
ENSP00000394314	ENSP00000228437
ENSP00000228437	ENSP00000394314
ENSP00000384725	ENSP00000253008
ENSP00000253008	ENSP00000384725
ENSP00000354960	ENSP00000361929
ENSP00000361929	ENSP00000354960
ENSP00000354960	ENSP00000252599
ENSP00000252599	ENSP00000354960
ENSP00000361929	ENSP00000252599
ENSP00000252599	ENSP00000361929
ENSP00000196061	ENSP00000223127
ENSP00000223127	ENSP00000196061
ENSP00000196061	ENSP00000282903
ENSP00000282903	ENSP00000196061
ENSP00000223127	ENSP00000282903
ENSP00000282903	ENSP00000223127
ENSP00000347408	ENSP00000428787
ENSP00000428787	ENSP00000347408
ENSP00000250244	ENSP00000388996
ENSP00000388996	ENSP00000250244
ENSP00000406472	ENSP00000265741
ENSP00000265741	ENSP00000406472
ENSP00000276052	ENSP00000423665
ENSP00000423665	ENSP00000276052
ENSP00000276052	ENSP00000261211
ENSP00000261211	ENSP00000276052
ENSP00000423665	ENSP00000261211
ENSP00000261211	ENSP00000423665
ENSP00000296525	ENSP00000417914
ENSP00000417914	ENSP00000296525
ENSP00000296525	ENSP00000350331
ENSP00000350331	ENSP00000296525
ENSP00000417914	ENSP00000350331
ENSP00000350331	ENSP00000417914
ENSP00000264607	ENSP00000355195
ENSP00000355195	ENSP00000264607
ENSP00000369530	ENSP00000315167
ENSP00000315167	ENSP00000369530
ENSP00000369530	ENSP00000314879
ENSP00000314879	ENSP00000369530
ENSP00000369530	ENSP00000363512
ENSP00000363512	ENSP00000369530
ENSP00000315167	ENSP00000314879
ENSP00000314879	ENSP00000315167
ENSP00000315167	ENSP00000363512
ENSP00000363512	ENSP00000315167
ENSP00000314879	ENSP00000363512
ENSP00000363512	ENSP00000314879
ENSP00000305426	ENSP00000380321
ENSP00000380321	ENSP00000305426
ENSP00000305426	ENSP00000221399
ENSP00000221399	ENSP00000305426
ENSP00000380321	ENSP00000221399
ENSP00000221399	ENSP00000380321
ENSP00000080059	ENSP00000225983
ENSP00000225983	ENSP00000080059
ENSP00000080059	ENSP00000408617
ENSP00000408617	ENSP00000080059
ENSP00000080059	ENSP00000264606
ENSP00000264606	ENSP00000080059
ENSP00000225983	ENSP00000408617
ENSP00000408617	ENSP00000225983
ENSP00000225983	ENSP00000264606
ENSP00000264606	ENSP00000225983
ENSP00000408617	ENSP00000264606
ENSP00000264606	ENSP00000408617
ENSP00000380033	ENSP00000225792
ENSP00000225792	ENSP00000380033
ENSP00000357650	ENSP00000262462
ENSP00000262462	ENSP00000357650
ENSP00000300456	ENSP00000252595
ENSP00000252595	ENSP00000300456
ENSP00000359520	ENSP00000351520
ENSP00000351520	ENSP00000359520
ENSP00000360250	ENSP00000347213
ENSP00000347213	ENSP00000360250
ENSP00000360250	ENSP00000360561
ENSP00000360561	ENSP00000360250
ENSP00000360250	ENSP00000301825
ENSP00000301825	ENSP00000360250
ENSP00000347213	ENSP00000360561
ENSP00000360561	ENSP00000347213
ENSP00000347213	ENSP00000301825
ENSP00000301825	ENSP00000347213
ENSP00000360561	ENSP00000301825
ENSP00000301825	ENSP00000360561
ENSP00000378046	ENSP00000449751
ENSP00000449751	ENSP00000378046
ENSP00000222803	ENSP00000413152
ENSP00000413152	ENSP00000222803
ENSP00000242209	ENSP00000317232
ENSP00000317232	ENSP00000242209
ENSP00000345964	ENSP00000358715
ENSP00000358715	ENSP00000345964
ENSP00000345964	ENSP00000422185
ENSP00000422185	ENSP00000345964
ENSP00000358715	ENSP00000422185
ENSP00000422185	ENSP00000358715
ENSP00000233813	ENSP00000370473
ENSP00000370473	ENSP00000233813
ENSP00000233813	ENSP00000301464
ENSP00000301464	ENSP00000233813
ENSP00000233813	ENSP00000275525
ENSP00000275525	ENSP00000233813
ENSP00000233813	ENSP00000233809
ENSP00000233809	ENSP00000233813
ENSP00000233813	ENSP00000269593
ENSP00000269593	ENSP00000233813
ENSP00000370473	ENSP00000301464
ENSP00000301464	ENSP00000370473
ENSP00000370473	ENSP00000275525
ENSP00000275525	ENSP00000370473
ENSP00000370473	ENSP00000233809
ENSP00000233809	ENSP00000370473
ENSP00000370473	ENSP00000269593
ENSP00000269593	ENSP00000370473
ENSP00000301464	ENSP00000275525
ENSP00000275525	ENSP00000301464
ENSP00000301464	ENSP00000233809
ENSP00000233809	ENSP00000301464
ENSP00000301464	ENSP00000269593
ENSP00000269593	ENSP00000301464
ENSP00000275525	ENSP00000233809
ENSP00000233809	ENSP00000275525
ENSP00000275525	ENSP00000269593
ENSP00000269593	ENSP00000275525
ENSP00000233809	ENSP00000269593
ENSP00000269593	ENSP00000233809
ENSP00000169298	ENSP00000386942
ENSP00000386942	ENSP00000169298
ENSP00000169298	ENSP00000362239
ENSP00000362239	ENSP00000169298
ENSP00000169298	ENSP00000417583
ENSP00000417583	ENSP00000169298
ENSP00000169298	ENSP00000336733
ENSP00000336733	ENSP00000169298
ENSP00000169298	ENSP00000329214
ENSP00000329214	ENSP00000169298
ENSP00000386942	ENSP00000362239
ENSP00000362239	ENSP00000386942
ENSP00000386942	ENSP00000417583
ENSP00000417583	ENSP00000386942
ENSP00000386942	ENSP00000336733
ENSP00000336733	ENSP00000386942
ENSP00000386942	ENSP00000329214
ENSP00000329214	ENSP00000386942
ENSP00000362239	ENSP00000417583
ENSP00000417583	ENSP00000362239
ENSP00000362239	ENSP00000336733
ENSP00000336733	ENSP00000362239
ENSP00000362239	ENSP00000329214
ENSP00000329214	ENSP00000362239
ENSP00000417583	ENSP00000336733
ENSP00000336733	ENSP00000417583
ENSP00000417583	ENSP00000329214
ENSP00000329214	ENSP00000417583
ENSP00000336733	ENSP00000329214
ENSP00000329214	ENSP00000336733
ENSP00000444688	ENSP00000445306
ENSP00000445306	ENSP00000444688
ENSP00000444688	ENSP00000262623
ENSP00000262623	ENSP00000444688
ENSP00000444688	ENSP00000218548
ENSP00000218548	ENSP00000444688
ENSP00000445306	ENSP00000262623
ENSP00000262623	ENSP00000445306
ENSP00000445306	ENSP00000218548
ENSP00000218548	ENSP00000445306
ENSP00000262623	ENSP00000218548
ENSP00000218548	ENSP00000262623
ENSP00000233535	ENSP00000363394
ENSP00000363394	ENSP00000233535
ENSP00000233535	ENSP00000415011
ENSP00000415011	ENSP00000233535
ENSP00000363394	ENSP00000415011
ENSP00000415011	ENSP00000363394
ENSP00000370698	ENSP00000415900
ENSP00000415900	ENSP00000370698
ENSP00000370698	ENSP00000362195
ENSP00000362195	ENSP00000370698
ENSP00000370698	ENSP00000262345
ENSP00000262345	ENSP00000370698
ENSP00000370698	ENSP00000263409
ENSP00000263409	ENSP00000370698
ENSP00000370698	ENSP00000274276
ENSP00000274276	ENSP00000370698
ENSP00000415900	ENSP00000362195
ENSP00000362195	ENSP00000415900
ENSP00000415900	ENSP00000262345
ENSP00000262345	ENSP00000415900
ENSP00000415900	ENSP00000263409
ENSP00000263409	ENSP00000415900
ENSP00000415900	ENSP00000274276
ENSP00000274276	ENSP00000415900
ENSP00000362195	ENSP00000262345
ENSP00000262345	ENSP00000362195
ENSP00000362195	ENSP00000263409
ENSP00000263409	ENSP00000362195
ENSP00000362195	ENSP00000274276
ENSP00000274276	ENSP00000362195
ENSP00000262345	ENSP00000263409
ENSP00000263409	ENSP00000262345
ENSP00000262345	ENSP00000274276
ENSP00000274276	ENSP00000262345
ENSP00000263409	ENSP00000274276
ENSP00000274276	ENSP00000263409
ENSP00000255608	ENSP00000261721
ENSP00000261721	ENSP00000255608
ENSP00000384545	ENSP00000376337
ENSP00000376337	ENSP00000384545
ENSP00000385836	ENSP00000260743
ENSP00000260743	ENSP00000385836
ENSP00000385836	ENSP00000329926
ENSP00000329926	ENSP00000385836
ENSP00000385836	ENSP00000358798
ENSP00000358798	ENSP00000385836
ENSP00000385836	ENSP00000357594
ENSP00000357594	ENSP00000385836
ENSP00000385836	ENSP00000357588
ENSP00000357588	ENSP00000385836
ENSP00000260743	ENSP00000329926
ENSP00000329926	ENSP00000260743
ENSP00000260743	ENSP00000358798
ENSP00000358798	ENSP00000260743
ENSP00000260743	ENSP00000357594
ENSP00000357594	ENSP00000260743
ENSP00000260743	ENSP00000357588
ENSP00000357588	ENSP00000260743
ENSP00000329926	ENSP00000358798
ENSP00000358798	ENSP00000329926
ENSP00000329926	ENSP00000357594
ENSP00000357594	ENSP00000329926
ENSP00000329926	ENSP00000357588
ENSP00000357588	ENSP00000329926
ENSP00000358798	ENSP00000357594
ENSP00000357594	ENSP00000358798
ENSP00000358798	ENSP00000357588
ENSP00000357588	ENSP00000358798
ENSP00000357594	ENSP00000357588
ENSP00000357588	ENSP00000357594
ENSP00000445952	ENSP00000374218
ENSP00000374218	ENSP00000445952
ENSP00000445952	ENSP00000251527
ENSP00000251527	ENSP00000445952
ENSP00000374218	ENSP00000251527
ENSP00000251527	ENSP00000374218
ENSP00000350377	ENSP00000424126
ENSP00000424126	ENSP00000350377
ENSP00000340594	ENSP00000341489
ENSP00000341489	ENSP00000340594
ENSP00000303909	ENSP00000303507
ENSP00000303507	ENSP00000303909
ENSP00000422607	ENSP00000368566
ENSP00000368566	ENSP00000422607
ENSP00000422607	ENSP00000348429
ENSP00000348429	ENSP00000422607
ENSP00000368566	ENSP00000348429
ENSP00000348429	ENSP00000368566
ENSP00000311184	ENSP00000324763
ENSP00000324763	ENSP00000311184
ENSP00000311184	ENSP00000265132
ENSP00000265132	ENSP00000311184
ENSP00000311184	ENSP00000217428
ENSP00000217428	ENSP00000311184
ENSP00000324763	ENSP00000265132
ENSP00000265132	ENSP00000324763
ENSP00000324763	ENSP00000217428
ENSP00000217428	ENSP00000324763
ENSP00000265132	ENSP00000217428
ENSP00000217428	ENSP00000265132
ENSP00000245932	ENSP00000376652
ENSP00000376652	ENSP00000245932
ENSP00000245932	ENSP00000355809
ENSP00000355809	ENSP00000245932
ENSP00000376652	ENSP00000355809
ENSP00000355809	ENSP00000376652
ENSP00000299084	ENSP00000348753
ENSP00000348753	ENSP00000299084
ENSP00000299084	ENSP00000345405
ENSP00000345405	ENSP00000299084
ENSP00000348753	ENSP00000345405
ENSP00000345405	ENSP00000348753
ENSP00000348645	ENSP00000252804
ENSP00000252804	ENSP00000348645
ENSP00000313829	ENSP00000281156
ENSP00000281156	ENSP00000313829
ENSP00000313829	ENSP00000348108
ENSP00000348108	ENSP00000313829
ENSP00000281156	ENSP00000348108
ENSP00000348108	ENSP00000281156
ENSP00000379364	ENSP00000379366
ENSP00000379366	ENSP00000379364
ENSP00000262244	ENSP00000349575
ENSP00000349575	ENSP00000262244
ENSP00000262244	ENSP00000271139
ENSP00000271139	ENSP00000262244
ENSP00000349575	ENSP00000271139
ENSP00000271139	ENSP00000349575
ENSP00000427695	ENSP00000331305
ENSP00000331305	ENSP00000427695
ENSP00000290551	ENSP00000256015
ENSP00000256015	ENSP00000290551
ENSP00000290551	ENSP00000348300
ENSP00000348300	ENSP00000290551
ENSP00000290551	ENSP00000344609
ENSP00000344609	ENSP00000290551
ENSP00000256015	ENSP00000348300
ENSP00000348300	ENSP00000256015
ENSP00000256015	ENSP00000344609
ENSP00000344609	ENSP00000256015
ENSP00000348300	ENSP00000344609
ENSP00000344609	ENSP00000348300
ENSP00000261267	ENSP00000287748
ENSP00000287748	ENSP00000261267
ENSP00000261267	ENSP00000301046
ENSP00000301046	ENSP00000261267
ENSP00000287748	ENSP00000301046
ENSP00000301046	ENSP00000287748
ENSP00000423541	ENSP00000377779
ENSP00000377779	ENSP00000423541
ENSP00000423541	ENSP00000358142
ENSP00000358142	ENSP00000423541
ENSP00000377779	ENSP00000358142
ENSP00000358142	ENSP00000377779
ENSP00000262953	ENSP00000221561
ENSP00000221561	ENSP00000262953
ENSP00000353224	ENSP00000420525
ENSP00000420525	ENSP00000353224
ENSP00000345849	ENSP00000223026
ENSP00000223026	ENSP00000345849
ENSP00000345849	ENSP00000401853
ENSP00000401853	ENSP00000345849
ENSP00000345849	ENSP00000266031
ENSP00000266031	ENSP00000345849
ENSP00000345849	ENSP00000337425
ENSP00000337425	ENSP00000345849
ENSP00000223026	ENSP00000401853
ENSP00000401853	ENSP00000223026
ENSP00000223026	ENSP00000266031
ENSP00000266031	ENSP00000223026
ENSP00000223026	ENSP00000337425
ENSP00000337425	ENSP00000223026
ENSP00000401853	ENSP00000266031
ENSP00000266031	ENSP00000401853
ENSP00000401853	ENSP00000337425
ENSP00000337425	ENSP00000401853
ENSP00000266031	ENSP00000337425
ENSP00000337425	ENSP00000266031
ENSP00000350937	ENSP00000157600
ENSP00000157600	ENSP00000350937
ENSP00000295902	ENSP00000365494
ENSP00000365494	ENSP00000295902
ENSP00000295902	ENSP00000401060
ENSP00000401060	ENSP00000295902
ENSP00000365494	ENSP00000401060
ENSP00000401060	ENSP00000365494
ENSP00000345055	ENSP00000373648
ENSP00000373648	ENSP00000345055
ENSP00000345055	ENSP00000352035
ENSP00000352035	ENSP00000345055
ENSP00000345055	ENSP00000262916
ENSP00000262916	ENSP00000345055
ENSP00000373648	ENSP00000352035
ENSP00000352035	ENSP00000373648
ENSP00000373648	ENSP00000262916
ENSP00000262916	ENSP00000373648
ENSP00000352035	ENSP00000262916
ENSP00000262916	ENSP00000352035
ENSP00000383923	ENSP00000383901
ENSP00000383901	ENSP00000383923
ENSP00000383923	ENSP00000337354
ENSP00000337354	ENSP00000383923
ENSP00000383901	ENSP00000337354
ENSP00000337354	ENSP00000383901
ENSP00000316842	ENSP00000216513
ENSP00000216513	ENSP00000316842
ENSP00000260653	ENSP00000328596
ENSP00000328596	ENSP00000260653
ENSP00000365908	ENSP00000390941
ENSP00000390941	ENSP00000365908
ENSP00000365908	ENSP00000357927
ENSP00000357927	ENSP00000365908
ENSP00000365908	ENSP00000267859
ENSP00000267859	ENSP00000365908
ENSP00000390941	ENSP00000357927
ENSP00000357927	ENSP00000390941
ENSP00000390941	ENSP00000267859
ENSP00000267859	ENSP00000390941
ENSP00000357927	ENSP00000267859
ENSP00000267859	ENSP00000357927
ENSP00000346151	ENSP00000304604
ENSP00000304604	ENSP00000346151
ENSP00000346151	ENSP00000385450
ENSP00000385450	ENSP00000346151
ENSP00000304604	ENSP00000385450
ENSP00000385450	ENSP00000304604
ENSP00000325663	ENSP00000380109
ENSP00000380109	ENSP00000325663
ENSP00000312988	ENSP00000216797
ENSP00000216797	ENSP00000312988
ENSP00000312988	ENSP00000275015
ENSP00000275015	ENSP00000312988
ENSP00000216797	ENSP00000275015
ENSP00000275015	ENSP00000216797
ENSP00000311837	ENSP00000429842
ENSP00000429842	ENSP00000311837
ENSP00000217381	ENSP00000338191
ENSP00000338191	ENSP00000217381
ENSP00000217381	ENSP00000378965
ENSP00000378965	ENSP00000217381
ENSP00000338191	ENSP00000378965
ENSP00000378965	ENSP00000338191
ENSP00000419378	ENSP00000363500
ENSP00000363500	ENSP00000419378
ENSP00000419378	ENSP00000185206
ENSP00000185206	ENSP00000419378
ENSP00000363500	ENSP00000185206
ENSP00000185206	ENSP00000363500
ENSP00000387088	ENSP00000221419
ENSP00000221419	ENSP00000387088
ENSP00000387088	ENSP00000470059
ENSP00000470059	ENSP00000387088
ENSP00000412788	ENSP00000414921
ENSP00000414921	ENSP00000412788
ENSP00000412788	ENSP00000349428
ENSP00000349428	ENSP00000412788
ENSP00000414921	ENSP00000349428
ENSP00000349428	ENSP00000414921
ENSP00000355026	ENSP00000056217
ENSP00000056217	ENSP00000355026
ENSP00000355026	ENSP00000270747
ENSP00000270747	ENSP00000355026
ENSP00000355026	ENSP00000264051
ENSP00000264051	ENSP00000355026
ENSP00000056217	ENSP00000270747
ENSP00000270747	ENSP00000056217
ENSP00000056217	ENSP00000264051
ENSP00000264051	ENSP00000056217
ENSP00000270747	ENSP00000264051
ENSP00000264051	ENSP00000270747
ENSP00000367629	ENSP00000348828
ENSP00000348828	ENSP00000367629
ENSP00000350552	ENSP00000332208
ENSP00000332208	ENSP00000350552
ENSP00000350552	ENSP00000401536
ENSP00000401536	ENSP00000350552
ENSP00000332208	ENSP00000401536
ENSP00000401536	ENSP00000332208
ENSP00000287585	ENSP00000444350
ENSP00000444350	ENSP00000287585
ENSP00000287585	ENSP00000353346
ENSP00000353346	ENSP00000287585
ENSP00000444350	ENSP00000353346
ENSP00000353346	ENSP00000444350
ENSP00000301365	ENSP00000406191
ENSP00000406191	ENSP00000301365
ENSP00000313670	ENSP00000264276
ENSP00000264276	ENSP00000313670
ENSP00000371833	ENSP00000472546
ENSP00000472546	ENSP00000371833
ENSP00000306163	ENSP00000360762
ENSP00000360762	ENSP00000306163
ENSP00000306163	ENSP00000321679
ENSP00000321679	ENSP00000306163
ENSP00000360762	ENSP00000321679
ENSP00000321679	ENSP00000360762
ENSP00000357914	ENSP00000220429
ENSP00000220429	ENSP00000357914
ENSP00000340297	ENSP00000355060
ENSP00000355060	ENSP00000340297
ENSP00000380488	ENSP00000329654
ENSP00000329654	ENSP00000380488
ENSP00000380488	ENSP00000252318
ENSP00000252318	ENSP00000380488
ENSP00000380488	ENSP00000227756
ENSP00000227756	ENSP00000380488
ENSP00000329654	ENSP00000252318
ENSP00000252318	ENSP00000329654
ENSP00000329654	ENSP00000227756
ENSP00000227756	ENSP00000329654
ENSP00000252318	ENSP00000227756
ENSP00000227756	ENSP00000252318
ENSP00000369981	ENSP00000391372
ENSP00000391372	ENSP00000369981
ENSP00000352513	ENSP00000432943
ENSP00000432943	ENSP00000352513
ENSP00000352513	ENSP00000278947
ENSP00000278947	ENSP00000352513
ENSP00000352513	ENSP00000322460
ENSP00000322460	ENSP00000352513
ENSP00000432943	ENSP00000278947
ENSP00000278947	ENSP00000432943
ENSP00000432943	ENSP00000322460
ENSP00000322460	ENSP00000432943
ENSP00000278947	ENSP00000322460
ENSP00000322460	ENSP00000278947
ENSP00000283296	ENSP00000307831
ENSP00000307831	ENSP00000283296
ENSP00000361995	ENSP00000260116
ENSP00000260116	ENSP00000361995
ENSP00000275162	ENSP00000428402
ENSP00000428402	ENSP00000275162
ENSP00000404381	ENSP00000302843
ENSP00000302843	ENSP00000404381
ENSP00000404381	ENSP00000345575
ENSP00000345575	ENSP00000404381
ENSP00000302843	ENSP00000345575
ENSP00000345575	ENSP00000302843
ENSP00000347872	ENSP00000303129
ENSP00000303129	ENSP00000347872
ENSP00000375647	ENSP00000436836
ENSP00000436836	ENSP00000375647
ENSP00000005284	ENSP00000300105
ENSP00000300105	ENSP00000005284
ENSP00000005284	ENSP00000262138
ENSP00000262138	ENSP00000005284
ENSP00000005284	ENSP00000270458
ENSP00000270458	ENSP00000005284
ENSP00000300105	ENSP00000262138
ENSP00000262138	ENSP00000300105
ENSP00000300105	ENSP00000270458
ENSP00000270458	ENSP00000300105
ENSP00000262138	ENSP00000270458
ENSP00000270458	ENSP00000262138
ENSP00000376914	ENSP00000262429
ENSP00000262429	ENSP00000376914
ENSP00000349595	ENSP00000353072
ENSP00000353072	ENSP00000349595
ENSP00000349595	ENSP00000440045
ENSP00000440045	ENSP00000349595
ENSP00000353072	ENSP00000440045
ENSP00000440045	ENSP00000353072
ENSP00000400258	ENSP00000362444
ENSP00000362444	ENSP00000400258
ENSP00000400258	ENSP00000316377
ENSP00000316377	ENSP00000400258
ENSP00000400258	ENSP00000363023
ENSP00000363023	ENSP00000400258
ENSP00000362444	ENSP00000316377
ENSP00000316377	ENSP00000362444
ENSP00000362444	ENSP00000363023
ENSP00000363023	ENSP00000362444
