SINCAM006024	ENSACAP00000000005
SINCAM003002	ENSACAP00000000284
SINCAM000175	ENSACAP00000000285
SINCAM007618	ENSACAP00000000287
SINCAM004509	ENSACAP00000000290
SINCAM009013	ENSACAP00000000292
SINCAM006395	ENSACAP00000000293
SINCAM002129	ENSACAP00000000296
SINCAM006921	ENSACAP00000000299
SINCAM001931	ENSACAP00000000303
SINCAM006792	ENSACAP00000000306
SINCAM008160	ENSACAP00000000310
SINCAM012733	ENSACAP00000000314
SINCAM003003	ENSACAP00000000317
SINCAM007838	ENSACAP00000000319
SINCAM922067	ENSACAP00000000320
SINCAM012870	ENSACAP00000000324
SINCAM007775	ENSACAP00000000325
SINCAM920947	ENSACAP00000000326
SINCAM010688	ENSACAP00000000329
SINCAM003283	ENSACAP00000000330
SINCAM014891	ENSACAP00000000332
SINCAM003469	ENSACAP00000000333
SINCAM004468	ENSACAP00000000334
SINCAM921148	ENSACAP00000000336
SINCAM001564	ENSACAP00000000339
SINCAM003004	ENSACAP00000000342
SINCAM004988	ENSACAP00000000344
SINCAM920493	ENSACAP00000000346
SINCAM000464	ENSACAP00000000349
SINCAM921079	ENSACAP00000000351
SINCAM004333	ENSACAP00000000352
SINCAM001808	ENSACAP00000000353
SINCAM920572	ENSACAP00000000355
SINCAM000437	ENSACAP00000000356
SINCAM009279	ENSACAP00000000357
SINCAM014296	ENSACAP00000000358
SINCAM005550	ENSACAP00000000360
SINCAM014380	ENSACAP00000000361
SINCAM004989	ENSACAP00000000362
SINCAM922715	ENSACAP00000000366
SINCAM013726	ENSACAP00000000370
SINCAM009421	ENSACAP00000000371
SINCAM922285	ENSACAP00000000372
SINCAM005717	ENSACAP00000000373
SINCAM006396	ENSACAP00000000374
SINCAM009002	ENSACAP00000000377
SINCAM008162	ENSACAP00000000378
SINCAM921868	ENSACAP00000000379
SINCAM012475	ENSACAP00000000380
SINCAM007143	ENSACAP00000000381
SINCAM000724	ENSACAP00000000384
SINCAM921976	ENSACAP00000000386
SINCAM001891	ENSACAP00000000388
SINCAM004242	ENSACAP00000000389
SINCAM012775	ENSACAP00000000390
SINCAM012797	ENSACAP00000000391
SINCAM922001	ENSACAP00000000392
SINCAM008708	ENSACAP00000000393
SINCAM921552	ENSACAP00000000395
SINCAM004111	ENSACAP00000000396
SINCAM921762	ENSACAP00000000401
SINCAM011403	ENSACAP00000000402
SINCAM010753	ENSACAP00000000405
SINCAM004568	ENSACAP00000000408
SINCAM006233	ENSACAP00000000414
SINCAM000328	ENSACAP00000000416
SINCAM015275	ENSACAP00000000417
SINCAM013877	ENSACAP00000000418
SINCAM010785	ENSACAP00000000419
SINCAM003616	ENSACAP00000000422
SINCAM004911	ENSACAP00000000423
SINCAM008272	ENSACAP00000000424
SINCAM013222	ENSACAP00000000425
SINCAM005549	ENSACAP00000000427
SINCAM009545	ENSACAP00000000440
SINCAM013017	ENSACAP00000000442
SINCAM008547	ENSACAP00000000443
SINCAM922357	ENSACAP00000000444
SINCAM014382	ENSACAP00000000445
SINCAM000329	ENSACAP00000000446
SINCAM007084	ENSACAP00000000448
SINCAM014295	ENSACAP00000000450
SINCAM004470	ENSACAP00000000452
SINCAM922026	ENSACAP00000000453
SINCAM003702	ENSACAP00000000456
SINCAM922065	ENSACAP00000000458
SINCAM005718	ENSACAP00000000459
SINCAM013611	ENSACAP00000000462
SINCAM000327	ENSACAP00000000465
SINCAM003772	ENSACAP00000000467
SINCAM001169	ENSACAP00000000468
SINCAM010928	ENSACAP00000000469
SINCAM004478	ENSACAP00000000470
SINCAM006418	ENSACAP00000000471
SINCAM010356	ENSACAP00000000472
SINCAM011055	ENSACAP00000000474
SINCAM013023	ENSACAP00000000477
SINCAM016703	ENSACAP00000000480
SINCAM013725	ENSACAP00000000489
SINCAM001551	ENSACAP00000000490
SINCAM004466	ENSACAP00000000492
SINCAM004492	ENSACAP00000000493
SINCAM000884	ENSACAP00000000494
SINCAM921598	ENSACAP00000000495
SINCAM017507	ENSACAP00000000496
SINCAM008583	ENSACAP00000000497
SINCAM012993	ENSACAP00000000503
SINCAM009001	ENSACAP00000000505
SINCAM013612	ENSACAP00000000507
SINCAM004479	ENSACAP00000000510
SINCAM001170	ENSACAP00000000511
SINCAM008612	ENSACAP00000000514
SINCAM003028	ENSACAP00000000517
SINCAM922712	ENSACAP00000000518
SINCAM004565	ENSACAP00000000522
SINCAM003646	ENSACAP00000000527
SINCAM004566	ENSACAP00000000528
SINCAM008896	ENSACAP00000000530
SINCAM008340	ENSACAP00000000531
SINCAM000765	ENSACAP00000000532
SINCAM004480	ENSACAP00000000533
SINCAM008164	ENSACAP00000000535
SINCAM013892	ENSACAP00000000537
SINCAM003771	ENSACAP00000000545
SINCAM008855	ENSACAP00000000546
SINCAM003701	ENSACAP00000000548
SINCAM921955	ENSACAP00000000550
SINCAM002847	ENSACAP00000000552
SINCAM014067	ENSACAP00000000554
SINCAM002000	ENSACAP00000000555
SINCAM008266	ENSACAP00000000556
SINCAM004909	ENSACAP00000000557
SINCAM008009	ENSACAP00000000558
SINCAM008267	ENSACAP00000000559
SINCAM920537	ENSACAP00000000560
SINCAM009625	ENSACAP00000000564
SINCAM002007	ENSACAP00000000565
SINCAM000176	ENSACAP00000000569
SINCAM008543	ENSACAP00000000577
SINCAM001889	ENSACAP00000000579
SINCAM001488	ENSACAP00000000582
SINCAM011072	ENSACAP00000000583
SINCAM017407	ENSACAP00000000585
SINCAM922821	ENSACAP00000000587
SINCAM008584	ENSACAP00000000589
SINCAM921615	ENSACAP00000000594
SINCAM000681	ENSACAP00000000595
SINCAM008856	ENSACAP00000000596
SINCAM001892	ENSACAP00000000597
SINCAM000776	ENSACAP00000000599
SINCAM001023	ENSACAP00000000600
SINCAM009626	ENSACAP00000000602
SINCAM008853	ENSACAP00000000603
SINCAM012477	ENSACAP00000000604
SINCAM004465	ENSACAP00000000605
SINCAM009317	ENSACAP00000000607
SINCAM014640	ENSACAP00000000609
SINCAM003849	ENSACAP00000000611
SINCAM011219	ENSACAP00000000612
SINCAM007472	ENSACAP00000000615
SINCAM003590	ENSACAP00000000616
SINCAM002010	ENSACAP00000000617
SINCAM003850	ENSACAP00000000618
SINCAM005401	ENSACAP00000000624
SINCAM005604	ENSACAP00000000625
SINCAM921851	ENSACAP00000000626
SINCAM921954	ENSACAP00000000627
SINCAM000460	ENSACAP00000000629
SINCAM921992	ENSACAP00000000630
SINCAM002641	ENSACAP00000000634
SINCAM920821	ENSACAP00000000635
SINCAM922904	ENSACAP00000000636
SINCAM008339	ENSACAP00000000638
SINCAM921420	ENSACAP00000000639
SINCAM008131	ENSACAP00000000640
SINCAM015256	ENSACAP00000000641
SINCAM007393	ENSACAP00000000643
SINCAM003851	ENSACAP00000000644
SINCAM007141	ENSACAP00000000645
SINCAM008338	ENSACAP00000000646
SINCAM003767	ENSACAP00000000647
SINCAM011218	ENSACAP00000000648
SINCAM003577	ENSACAP00000000650
SINCAM900194	ENSACAP00000000652
SINCAM001171	ENSACAP00000000653
SINCAM001035	ENSACAP00000000654
SINCAM009119	ENSACAP00000000656
SINCAM002011	ENSACAP00000000658
SINCAM007140	ENSACAP00000000659
SINCAM009427	ENSACAP00000000660
SINCAM004908	ENSACAP00000000661
SINCAM009544	ENSACAP00000000663
SINCAM003515	ENSACAP00000000664
SINCAM002002	ENSACAP00000000666
SINCAM014341	ENSACAP00000000667
SINCAM002639	ENSACAP00000000669
SINCAM009788	ENSACAP00000000670
SINCAM008544	ENSACAP00000000672
SINCAM002003	ENSACAP00000000674
SINCAM008336	ENSACAP00000000675
SINCAM006466	ENSACAP00000000676
SINCAM006402	ENSACAP00000000677
SINCAM921431	ENSACAP00000000678
SINCAM013058	ENSACAP00000000679
SINCAM004464	ENSACAP00000000680
SINCAM921857	ENSACAP00000000681
SINCAM006243	ENSACAP00000000682
SINCAM005719	ENSACAP00000000684
SINCAM005946	ENSACAP00000000685
SINCAM006403	ENSACAP00000000687
SINCAM002005	ENSACAP00000000688
SINCAM011657	ENSACAP00000000690
SINCAM006642	ENSACAP00000000691
SINCAM003483	ENSACAP00000000692
SINCAM010358	ENSACAP00000000694
SINCAM009957	ENSACAP00000000696
SINCAM008586	ENSACAP00000000697
SINCAM000879	ENSACAP00000000698
SINCAM006202	ENSACAP00000000700
SINCAM015371	ENSACAP00000000701
SINCAM922447	ENSACAP00000000702
SINCAM920727	ENSACAP00000000703
SINCAM003766	ENSACAP00000000705
SINCAM004481	ENSACAP00000000706
SINCAM007488	ENSACAP00000000707
SINCAM005716	ENSACAP00000000708
SINCAM004385	ENSACAP00000000709
SINCAM003383	ENSACAP00000000711
SINCAM009126	ENSACAP00000000712
SINCAM002006	ENSACAP00000000714
SINCAM008335	ENSACAP00000000715
SINCAM921885	ENSACAP00000000716
SINCAM008613	ENSACAP00000000717
SINCAM010674	ENSACAP00000000720
SINCAM003700	ENSACAP00000000722
SINCAM006640	ENSACAP00000000723
SINCAM014343	ENSACAP00000000725
SINCAM012478	ENSACAP00000000726
SINCAM001894	ENSACAP00000000727
SINCAM007216	ENSACAP00000000730
SINCAM011891	ENSACAP00000000732
SINCAM920704	ENSACAP00000000733
SINCAM005945	ENSACAP00000000734
SINCAM015548	ENSACAP00000000739
SINCAM014373	ENSACAP00000000740
SINCAM003765	ENSACAP00000000741
SINCAM008166	ENSACAP00000000745
SINCAM013890	ENSACAP00000000746
SINCAM007082	ENSACAP00000000747
SINCAM001489	ENSACAP00000000753
SINCAM921185	ENSACAP00000000754
SINCAM004429	ENSACAP00000000756
SINCAM009426	ENSACAP00000000759
SINCAM002290	ENSACAP00000000761
SINCAM006639	ENSACAP00000000762
SINCAM922588	ENSACAP00000000766
SINCAM922836	ENSACAP00000000772
SINCAM007391	ENSACAP00000000775
SINCAM009627	ENSACAP00000000777
SINCAM900195	ENSACAP00000000778
SINCAM921284	ENSACAP00000000780
SINCAM014163	ENSACAP00000000782
SINCAM011661	ENSACAP00000000783
SINCAM007101	ENSACAP00000000784
SINCAM922280	ENSACAP00000000786
SINCAM008804	ENSACAP00000000787
SINCAM009148	ENSACAP00000000788
SINCAM007081	ENSACAP00000000791
SINCAM001036	ENSACAP00000000792
SINCAM010833	ENSACAP00000000793
SINCAM001723	ENSACAP00000000795
SINCAM013868	ENSACAP00000000796
SINCAM004384	ENSACAP00000000798
SINCAM009425	ENSACAP00000000799
SINCAM007218	ENSACAP00000000800
SINCAM922886	ENSACAP00000000802
SINCAM006800	ENSACAP00000000803
SINCAM002349	ENSACAP00000000804
SINCAM009150	ENSACAP00000000805
SINCAM003384	ENSACAP00000000806
SINCAM009136	ENSACAP00000000807
SINCAM004482	ENSACAP00000000808
SINCAM003514	ENSACAP00000000809
SINCAM010680	ENSACAP00000000810
SINCAM922835	ENSACAP00000000812
SINCAM920555	ENSACAP00000000813
SINCAM004494	ENSACAP00000000814
SINCAM003780	ENSACAP00000000817
SINCAM921773	ENSACAP00000000820
SINCAM009682	ENSACAP00000000822
SINCAM921705	ENSACAP00000000823
SINCAM004710	ENSACAP00000000824
SINCAM015178	ENSACAP00000000825
SINCAM000958	ENSACAP00000000826
SINCAM001631	ENSACAP00000000827
SINCAM005944	ENSACAP00000000830
SINCAM006203	ENSACAP00000000831
SINCAM010832	ENSACAP00000000832
SINCAM921324	ENSACAP00000000833
SINCAM001960	ENSACAP00000000834
SINCAM005180	ENSACAP00000000836
SINCAM921772	ENSACAP00000000838
SINCAM011339	ENSACAP00000000839
SINCAM006200	ENSACAP00000000840
SINCAM000322	ENSACAP00000000841
SINCAM003774	ENSACAP00000000842
SINCAM921198	ENSACAP00000000845
SINCAM006799	ENSACAP00000000846
SINCAM013908	ENSACAP00000000847
SINCAM007968	ENSACAP00000000850
SINCAM009424	ENSACAP00000000851
SINCAM013465	ENSACAP00000000853
SINCAM002013	ENSACAP00000000854
SINCAM003588	ENSACAP00000000855
SINCAM004709	ENSACAP00000000856
SINCAM005943	ENSACAP00000000859
SINCAM017183	ENSACAP00000000860
SINCAM012412	ENSACAP00000000861
SINCAM921400	ENSACAP00000000863
SINCAM008577	ENSACAP00000000864
SINCAM004261	ENSACAP00000000865
SINCAM001959	ENSACAP00000000868
SINCAM010637	ENSACAP00000000869
SINCAM922891	ENSACAP00000000870
SINCAM008333	ENSACAP00000000872
SINCAM007219	ENSACAP00000000873
SINCAM004484	ENSACAP00000000874
SINCAM921728	ENSACAP00000000875
SINCAM001932	ENSACAP00000000877
SINCAM001172	ENSACAP00000000878
SINCAM921196	ENSACAP00000000879
SINCAM007080	ENSACAP00000000882
SINCAM006262	ENSACAP00000000887
SINCAM000459	ENSACAP00000000888
SINCAM921914	ENSACAP00000000889
SINCAM008130	ENSACAP00000000894
SINCAM920434	ENSACAP00000000897
SINCAM007971	ENSACAP00000000898
SINCAM920597	ENSACAP00000000899
SINCAM009684	ENSACAP00000000901
SINCAM011892	ENSACAP00000000902
SINCAM010831	ENSACAP00000000904
SINCAM000960	ENSACAP00000000905
SINCAM000961	ENSACAP00000000906
SINCAM921770	ENSACAP00000000907
SINCAM921369	ENSACAP00000000911
SINCAM008756	ENSACAP00000000912
SINCAM013907	ENSACAP00000000916
SINCAM006798	ENSACAP00000000917
SINCAM013904	ENSACAP00000000920
SINCAM006151	ENSACAP00000000921
SINCAM000771	ENSACAP00000000922
SINCAM003763	ENSACAP00000000924
SINCAM007390	ENSACAP00000000925
SINCAM003007	ENSACAP00000000926
SINCAM014162	ENSACAP00000000929
SINCAM900201	ENSACAP00000000932
SINCAM921419	ENSACAP00000000933
SINCAM007802	ENSACAP00000000934
SINCAM007670	ENSACAP00000000936
SINCAM007387	ENSACAP00000000937
SINCAM014984	ENSACAP00000000941
SINCAM011217	ENSACAP00000000945
SINCAM003134	ENSACAP00000000946
SINCAM003500	ENSACAP00000000948
SINCAM011624	ENSACAP00000000951
SINCAM006265	ENSACAP00000000956
SINCAM001632	ENSACAP00000000957
SINCAM008614	ENSACAP00000000960
SINCAM003854	ENSACAP00000000961
SINCAM004792	ENSACAP00000000964
SINCAM004041	ENSACAP00000000965
SINCAM011882	ENSACAP00000000966
SINCAM009685	ENSACAP00000000969
SINCAM006264	ENSACAP00000000970
SINCAM006659	ENSACAP00000000973
SINCAM010347	ENSACAP00000000975
SINCAM921439	ENSACAP00000000976
SINCAM004697	ENSACAP00000000977
SINCAM004696	ENSACAP00000000978
SINCAM006199	ENSACAP00000000979
SINCAM014127	ENSACAP00000000980
SINCAM008125	ENSACAP00000000981
SINCAM011907	ENSACAP00000000983
SINCAM921652	ENSACAP00000000984
SINCAM003587	ENSACAP00000000985
SINCAM006517	ENSACAP00000000988
SINCAM008127	ENSACAP00000000989
SINCAM921199	ENSACAP00000000990
SINCAM010337	ENSACAP00000000991
SINCAM009177	ENSACAP00000000994
SINCAM009686	ENSACAP00000000995
SINCAM013903	ENSACAP00000000996
SINCAM011216	ENSACAP00000000997
SINCAM012479	ENSACAP00000001000
SINCAM008750	ENSACAP00000001001
SINCAM007079	ENSACAP00000001002
SINCAM001633	ENSACAP00000001003
SINCAM016287	ENSACAP00000001004
SINCAM015221	ENSACAP00000001006
SINCAM010900	ENSACAP00000001007
SINCAM013606	ENSACAP00000001009
SINCAM010851	ENSACAP00000001011
SINCAM003581	ENSACAP00000001012
SINCAM003449	ENSACAP00000001015
SINCAM004695	ENSACAP00000001017
SINCAM008953	ENSACAP00000001018
SINCAM001634	ENSACAP00000001019
SINCAM003505	ENSACAP00000001021
SINCAM008951	ENSACAP00000001022
SINCAM003450	ENSACAP00000001025
SINCAM009202	ENSACAP00000001026
SINCAM003451	ENSACAP00000001027
SINCAM009971	ENSACAP00000001028
SINCAM006786	ENSACAP00000001029
SINCAM002350	ENSACAP00000001030
SINCAM013626	ENSACAP00000001032
SINCAM017380	ENSACAP00000001035
SINCAM005137	ENSACAP00000001037
SINCAM921653	ENSACAP00000001039
SINCAM006787	ENSACAP00000001041
SINCAM005166	ENSACAP00000001045
SINCAM006266	ENSACAP00000001046
SINCAM922081	ENSACAP00000001047
SINCAM000913	ENSACAP00000001049
SINCAM921326	ENSACAP00000001051
SINCAM007658	ENSACAP00000001056
SINCAM004042	ENSACAP00000001057
SINCAM009972	ENSACAP00000001058
SINCAM921466	ENSACAP00000001059
SINCAM012480	ENSACAP00000001060
SINCAM009722	ENSACAP00000001063
SINCAM001037	ENSACAP00000001066
SINCAM008270	ENSACAP00000001067
SINCAM004262	ENSACAP00000001069
SINCAM007940	ENSACAP00000001070
SINCAM013054	ENSACAP00000001071
SINCAM000963	ENSACAP00000001073
SINCAM009423	ENSACAP00000001074
SINCAM003453	ENSACAP00000001075
SINCAM006788	ENSACAP00000001078
SINCAM003872	ENSACAP00000001079
SINCAM011432	ENSACAP00000001081
SINCAM008297	ENSACAP00000001082
SINCAM005941	ENSACAP00000001085
SINCAM000912	ENSACAP00000001087
SINCAM921048	ENSACAP00000001088
SINCAM006197	ENSACAP00000001089
SINCAM001630	ENSACAP00000001090
SINCAM003198	ENSACAP00000001092
SINCAM003870	ENSACAP00000001093
SINCAM007527	ENSACAP00000001094
SINCAM920552	ENSACAP00000001095
SINCAM008132	ENSACAP00000001096
SINCAM003760	ENSACAP00000001097
SINCAM007076	ENSACAP00000001101
SINCAM007384	ENSACAP00000001102
SINCAM006660	ENSACAP00000001103
SINCAM010828	ENSACAP00000001104
SINCAM011340	ENSACAP00000001105
SINCAM900024	ENSACAP00000001106
SINCAM016662	ENSACAP00000001107
SINCAM920433	ENSACAP00000001108
SINCAM011292	ENSACAP00000001109
SINCAM922946	ENSACAP00000001110
SINCAM007221	ENSACAP00000001112
SINCAM003855	ENSACAP00000001113
SINCAM007567	ENSACAP00000001114
SINCAM003580	ENSACAP00000001116
SINCAM008271	ENSACAP00000001117
SINCAM005365	ENSACAP00000001118
SINCAM014090	ENSACAP00000001120
SINCAM011341	ENSACAP00000001121
SINCAM900231	ENSACAP00000001122
SINCAM007078	ENSACAP00000001123
SINCAM005170	ENSACAP00000001124
SINCAM001636	ENSACAP00000001126
SINCAM009973	ENSACAP00000001127
SINCAM000964	ENSACAP00000001130
SINCAM000967	ENSACAP00000001136
SINCAM920687	ENSACAP00000001137
SINCAM006664	ENSACAP00000001140
SINCAM007490	ENSACAP00000001143
SINCAM001862	ENSACAP00000001145
SINCAM010012	ENSACAP00000001148
SINCAM922338	ENSACAP00000001149
SINCAM002353	ENSACAP00000001150
SINCAM001316	ENSACAP00000001152
SINCAM922092	ENSACAP00000001153
SINCAM000325	ENSACAP00000001154
SINCAM013917	ENSACAP00000001155
SINCAM009630	ENSACAP00000001156
SINCAM007188	ENSACAP00000001158
SINCAM000968	ENSACAP00000001162
SINCAM003579	ENSACAP00000001164
SINCAM005362	ENSACAP00000001168
SINCAM003447	ENSACAP00000001169
SINCAM012766	ENSACAP00000001170
SINCAM014089	ENSACAP00000001171
SINCAM003856	ENSACAP00000001172
SINCAM922838	ENSACAP00000001175
SINCAM002680	ENSACAP00000001182
SINCAM011342	ENSACAP00000001184
SINCAM000455	ENSACAP00000001185
SINCAM004774	ENSACAP00000001187
SINCAM009690	ENSACAP00000001188
SINCAM014802	ENSACAP00000001190
SINCAM002354	ENSACAP00000001191
SINCAM002276	ENSACAP00000001194
SINCAM002681	ENSACAP00000001207
SINCAM006667	ENSACAP00000001208
SINCAM921413	ENSACAP00000001209
SINCAM922666	ENSACAP00000001211
SINCAM010563	ENSACAP00000001212
SINCAM007556	ENSACAP00000001213
SINCAM920759	ENSACAP00000001214
SINCAM005153	ENSACAP00000001216
SINCAM003761	ENSACAP00000001217
SINCAM010962	ENSACAP00000001218
SINCAM003625	ENSACAP00000001219
SINCAM921938	ENSACAP00000001220
SINCAM000324	ENSACAP00000001222
SINCAM004793	ENSACAP00000001223
SINCAM006789	ENSACAP00000001224
SINCAM921574	ENSACAP00000001225
SINCAM004136	ENSACAP00000001226
SINCAM921855	ENSACAP00000001228
SINCAM009313	ENSACAP00000001230
SINCAM000938	ENSACAP00000001231
SINCAM921010	ENSACAP00000001233
SINCAM000939	ENSACAP00000001234
SINCAM008193	ENSACAP00000001235
SINCAM922349	ENSACAP00000001236
SINCAM002989	ENSACAP00000001237
SINCAM014292	ENSACAP00000001238
SINCAM004430	ENSACAP00000001241
SINCAM007961	ENSACAP00000001244
SINCAM900232	ENSACAP00000001245
SINCAM003177	ENSACAP00000001246
SINCAM921047	ENSACAP00000001247
SINCAM004382	ENSACAP00000001249
SINCAM004794	ENSACAP00000001250
SINCAM012461	ENSACAP00000001251
SINCAM010566	ENSACAP00000001252
SINCAM003503	ENSACAP00000001253
SINCAM005198	ENSACAP00000001254
SINCAM921505	ENSACAP00000001255
SINCAM001856	ENSACAP00000001256
SINCAM000386	ENSACAP00000001257
SINCAM003578	ENSACAP00000001258
SINCAM013078	ENSACAP00000001259
SINCAM921046	ENSACAP00000001260
SINCAM007736	ENSACAP00000001261
SINCAM922340	ENSACAP00000001262
SINCAM922913	ENSACAP00000001263
SINCAM010963	ENSACAP00000001264
SINCAM006195	ENSACAP00000001265
SINCAM007737	ENSACAP00000001268
SINCAM900202	ENSACAP00000001270
SINCAM921368	ENSACAP00000001271
SINCAM008299	ENSACAP00000001272
