PMZ_0046432-RA	ENSGALP00000000003
PMZ_0041419-RA	ENSGALP00000000518
PMZ_0045404-RA	ENSGALP00000000524
PMZ_0045403-RA	ENSGALP00000000524
PMZ_0014826-RA	ENSGALP00000000528
PMZ_0003078-RA	ENSGALP00000000528
PMZ_0042428-RA	ENSGALP00000000530
PMZ_0039012-RA	ENSGALP00000000534
PMZ_0037950-RA	ENSGALP00000000539
PMZ_0001843-RA	ENSGALP00000000540
PMZ_0036211-RA	ENSGALP00000000540
PMZ_0046392-RA	ENSGALP00000000541
PMZ_0046393-RA	ENSGALP00000000541
PMZ_0041781-RA	ENSGALP00000000543
PMZ_0028881-RA	ENSGALP00000000544
PMZ_0032390-RA	ENSGALP00000000544
PMZ_0017410-RA	ENSGALP00000000545
PMZ_0041538-RA	ENSGALP00000000547
PMZ_0000996-RA	ENSGALP00000000547
PMZ_0007850-RA	ENSGALP00000000549
PMZ_0033301-RA	ENSGALP00000000551
PMZ_0030301-RA	ENSGALP00000000555
PMZ_0047211-RA	ENSGALP00000000555
PMZ_0030390-RA	ENSGALP00000000558
PMZ_0017672-RA	ENSGALP00000000562
PMZ_0044959-RA	ENSGALP00000000562
PMZ_0042140-RA	ENSGALP00000000569
PMZ_0043578-RA	ENSGALP00000000569
PMZ_0007035-RA	ENSGALP00000000573
PMZ_0036887-RA	ENSGALP00000000573
PMZ_0047202-RA	ENSGALP00000000579
PMZ_0045963-RA	ENSGALP00000000583
PMZ_0001576-RA	ENSGALP00000000586
PMZ_0045961-RA	ENSGALP00000000586
PMZ_0044055-RA	ENSGALP00000000592
PMZ_0027715-RA	ENSGALP00000000594
PMZ_0044143-RA	ENSGALP00000000595
PMZ_0046879-RA	ENSGALP00000000595
PMZ_0000256-RA	ENSGALP00000000611
PMZ_0026404-RA	ENSGALP00000000613
PMZ_0004411-RA	ENSGALP00000000615
PMZ_0038033-RA	ENSGALP00000000619
PMZ_0037170-RA	ENSGALP00000000619
PMZ_0031523-RA	ENSGALP00000000625
PMZ_0044718-RA	ENSGALP00000000625
PMZ_0026732-RA	ENSGALP00000000626
PMZ_0043682-RA	ENSGALP00000000634
PMZ_0048624-RA	ENSGALP00000000634
PMZ_0005678-RA	ENSGALP00000000638
PMZ_0038349-RA	ENSGALP00000000638
PMZ_0045508-RA	ENSGALP00000000639
PMZ_0047180-RA	ENSGALP00000000639
PMZ_0046049-RA	ENSGALP00000000643
PMZ_0046050-RA	ENSGALP00000000643
PMZ_0006370-RA	ENSGALP00000000645
PMZ_0007537-RA	ENSGALP00000000654
PMZ_0048518-RA	ENSGALP00000000654
PMZ_0048361-RA	ENSGALP00000000657
PMZ_0048506-RA	ENSGALP00000000657
PMZ_0040262-RA	ENSGALP00000000663
PMZ_0030111-RA	ENSGALP00000000669
PMZ_0036674-RA	ENSGALP00000000669
PMZ_0045507-RA	ENSGALP00000000670
PMZ_0038070-RA	ENSGALP00000000670
PMZ_0046470-RA	ENSGALP00000000677
PMZ_0005127-RA	ENSGALP00000000677
PMZ_0019492-RA	ENSGALP00000000679
PMZ_0034689-RA	ENSGALP00000000686
PMZ_0048947-RA	ENSGALP00000000686
PMZ_0012580-RA	ENSGALP00000000694
PMZ_0043550-RA	ENSGALP00000000696
PMZ_0029392-RA	ENSGALP00000000701
PMZ_0041607-RA	ENSGALP00000000702
PMZ_0041122-RA	ENSGALP00000000703
PMZ_0046682-RA	ENSGALP00000000703
PMZ_0046256-RA	ENSGALP00000000704
PMZ_0046255-RA	ENSGALP00000000704
PMZ_0011037-RA	ENSGALP00000000711
PMZ_0030057-RA	ENSGALP00000000711
PMZ_0046127-RA	ENSGALP00000000713
PMZ_0040778-RA	ENSGALP00000000713
PMZ_0004870-RA	ENSGALP00000000715
PMZ_0014024-RA	ENSGALP00000000719
PMZ_0040915-RA	ENSGALP00000000720
PMZ_0041180-RA	ENSGALP00000000726
PMZ_0016471-RA	ENSGALP00000000726
PMZ_0038610-RA	ENSGALP00000000730
PMZ_0007987-RA	ENSGALP00000000734
PMZ_0033340-RA	ENSGALP00000000734
PMZ_0045174-RA	ENSGALP00000000737
PMZ_0045171-RA	ENSGALP00000000737
PMZ_0002103-RA	ENSGALP00000000742
PMZ_0044039-RA	ENSGALP00000000744
PMZ_0045401-RA	ENSGALP00000000748
PMZ_0045019-RA	ENSGALP00000000749
PMZ_0046277-RA	ENSGALP00000000749
PMZ_0045152-RA	ENSGALP00000000756
PMZ_0011370-RA	ENSGALP00000000760
PMZ_0044849-RA	ENSGALP00000000760
PMZ_0034550-RA	ENSGALP00000000765
PMZ_0042664-RA	ENSGALP00000000772
PMZ_0033750-RA	ENSGALP00000000775
PMZ_0009168-RA	ENSGALP00000000782
PMZ_0019085-RA	ENSGALP00000000782
PMZ_0048184-RA	ENSGALP00000000791
PMZ_0029745-RA	ENSGALP00000000796
PMZ_0004241-RA	ENSGALP00000000805
PMZ_0016342-RA	ENSGALP00000000810
PMZ_0045872-RA	ENSGALP00000000814
PMZ_0012831-RA	ENSGALP00000000815
PMZ_0029137-RA	ENSGALP00000000815
PMZ_0039141-RA	ENSGALP00000000823
PMZ_0015102-RA	ENSGALP00000000830
PMZ_0046200-RA	ENSGALP00000000832
PMZ_0042440-RA	ENSGALP00000000847
PMZ_0034494-RA	ENSGALP00000000853
PMZ_0045890-RA	ENSGALP00000000855
PMZ_0027984-RA	ENSGALP00000000860
PMZ_0027879-RA	ENSGALP00000000860
PMZ_0046048-RA	ENSGALP00000000864
PMZ_0030505-RA	ENSGALP00000000864
PMZ_0041935-RA	ENSGALP00000000871
PMZ_0045249-RA	ENSGALP00000000871
PMZ_0040808-RA	ENSGALP00000000874
PMZ_0040807-RA	ENSGALP00000000876
PMZ_0046157-RA	ENSGALP00000000876
PMZ_0026666-RA	ENSGALP00000000880
PMZ_0010041-RA	ENSGALP00000000880
PMZ_0023163-RA	ENSGALP00000000882
PMZ_0037341-RA	ENSGALP00000000882
PMZ_0034517-RA	ENSGALP00000000883
PMZ_0017771-RA	ENSGALP00000000893
PMZ_0037669-RA	ENSGALP00000000894
PMZ_0023204-RA	ENSGALP00000000894
PMZ_0015176-RA	ENSGALP00000000899
PMZ_0000524-RA	ENSGALP00000000906
PMZ_0011144-RA	ENSGALP00000000906
PMZ_0044691-RA	ENSGALP00000000907
PMZ_0048718-RA	ENSGALP00000000907
PMZ_0018105-RA	ENSGALP00000000908
PMZ_0044560-RA	ENSGALP00000000908
PMZ_0033901-RA	ENSGALP00000000911
PMZ_0047791-RA	ENSGALP00000000911
PMZ_0023130-RA	ENSGALP00000000913
PMZ_0044639-RA	ENSGALP00000000916
PMZ_0044640-RA	ENSGALP00000000916
PMZ_0044664-RA	ENSGALP00000000921
PMZ_0046687-RA	ENSGALP00000000924
PMZ_0000418-RA	ENSGALP00000000924
PMZ_0002540-RA	ENSGALP00000000926
PMZ_0045210-RA	ENSGALP00000000926
PMZ_0041354-RA	ENSGALP00000000927
PMZ_0044492-RA	ENSGALP00000000933
PMZ_0032015-RA	ENSGALP00000000933
PMZ_0004900-RA	ENSGALP00000000940
PMZ_0009457-RA	ENSGALP00000000941
PMZ_0030078-RA	ENSGALP00000000943
PMZ_0035300-RA	ENSGALP00000000945
PMZ_0035889-RA	ENSGALP00000000945
PMZ_0035309-RA	ENSGALP00000000947
PMZ_0044012-RA	ENSGALP00000000948
PMZ_0006307-RA	ENSGALP00000000954
PMZ_0037671-RA	ENSGALP00000000954
PMZ_0046668-RA	ENSGALP00000000961
PMZ_0036437-RA	ENSGALP00000000961
PMZ_0047760-RA	ENSGALP00000000965
PMZ_0001869-RA	ENSGALP00000000966
PMZ_0040666-RA	ENSGALP00000000966
PMZ_0003870-RA	ENSGALP00000000968
PMZ_0014062-RA	ENSGALP00000000968
PMZ_0043822-RA	ENSGALP00000000989
PMZ_0042400-RA	ENSGALP00000000989
PMZ_0044423-RA	ENSGALP00000000992
PMZ_0033128-RA	ENSGALP00000000992
PMZ_0001413-RA	ENSGALP00000000995
PMZ_0001409-RA	ENSGALP00000000995
PMZ_0003319-RA	ENSGALP00000000999
PMZ_0043995-RA	ENSGALP00000001006
PMZ_0047655-RA	ENSGALP00000001006
PMZ_0002497-RA	ENSGALP00000001007
PMZ_0003317-RA	ENSGALP00000001007
PMZ_0001259-RA	ENSGALP00000001013
PMZ_0047829-RA	ENSGALP00000001013
PMZ_0045544-RA	ENSGALP00000001014
PMZ_0023944-RA	ENSGALP00000001014
PMZ_0008546-RA	ENSGALP00000001016
PMZ_0033370-RA	ENSGALP00000001016
PMZ_0011571-RA	ENSGALP00000001024
PMZ_0040809-RA	ENSGALP00000001024
PMZ_0045922-RA	ENSGALP00000001025
PMZ_0044579-RA	ENSGALP00000001025
PMZ_0045511-RA	ENSGALP00000001026
PMZ_0011568-RA	ENSGALP00000001030
PMZ_0043989-RA	ENSGALP00000001033
PMZ_0037439-RA	ENSGALP00000001033
PMZ_0035851-RA	ENSGALP00000001044
PMZ_0034168-RA	ENSGALP00000001044
PMZ_0040060-RA	ENSGALP00000001048
PMZ_0045965-RA	ENSGALP00000001050
PMZ_0013455-RA	ENSGALP00000001051
PMZ_0046912-RA	ENSGALP00000001051
PMZ_0005845-RA	ENSGALP00000001054
PMZ_0001134-RA	ENSGALP00000001055
PMZ_0035072-RA	ENSGALP00000001055
PMZ_0033885-RA	ENSGALP00000001057
PMZ_0045996-RA	ENSGALP00000001059
PMZ_0048885-RA	ENSGALP00000001085
PMZ_0036098-RA	ENSGALP00000001091
PMZ_0046507-RA	ENSGALP00000001091
PMZ_0046006-RA	ENSGALP00000001096
PMZ_0014533-RA	ENSGALP00000001104
PMZ_0033228-RA	ENSGALP00000001105
PMZ_0011075-RA	ENSGALP00000001107
PMZ_0009339-RA	ENSGALP00000001107
PMZ_0026518-RA	ENSGALP00000001108
PMZ_0015314-RA	ENSGALP00000001115
PMZ_0017468-RA	ENSGALP00000001118
PMZ_0017038-RA	ENSGALP00000001118
PMZ_0029036-RA	ENSGALP00000001129
PMZ_0044504-RA	ENSGALP00000001129
PMZ_0047673-RA	ENSGALP00000001132
PMZ_0045756-RA	ENSGALP00000001135
PMZ_0044727-RA	ENSGALP00000001135
PMZ_0009901-RA	ENSGALP00000001149
PMZ_0033253-RA	ENSGALP00000001151
PMZ_0017179-RA	ENSGALP00000001157
PMZ_0001801-RA	ENSGALP00000001161
PMZ_0045678-RA	ENSGALP00000001163
PMZ_0041110-RA	ENSGALP00000001168
PMZ_0038133-RA	ENSGALP00000001168
PMZ_0001799-RA	ENSGALP00000001179
PMZ_0037968-RA	ENSGALP00000001182
PMZ_0031687-RA	ENSGALP00000001182
PMZ_0048530-RA	ENSGALP00000001187
PMZ_0046853-RA	ENSGALP00000001189
PMZ_0037562-RA	ENSGALP00000001192
PMZ_0038652-RA	ENSGALP00000001195
PMZ_0004060-RA	ENSGALP00000001201
PMZ_0046488-RA	ENSGALP00000001201
PMZ_0034116-RA	ENSGALP00000001210
PMZ_0040087-RA	ENSGALP00000001219
PMZ_0044447-RA	ENSGALP00000001221
PMZ_0030854-RA	ENSGALP00000001227
PMZ_0013499-RA	ENSGALP00000001227
PMZ_0002614-RA	ENSGALP00000001231
PMZ_0041276-RA	ENSGALP00000001233
PMZ_0005435-RA	ENSGALP00000001233
PMZ_0030547-RA	ENSGALP00000001234
PMZ_0032851-RA	ENSGALP00000001234
PMZ_0042949-RA	ENSGALP00000001239
PMZ_0047051-RA	ENSGALP00000001241
PMZ_0029035-RA	ENSGALP00000001241
PMZ_0047284-RA	ENSGALP00000001243
PMZ_0047757-RA	ENSGALP00000001243
PMZ_0044235-RA	ENSGALP00000001248
PMZ_0036866-RA	ENSGALP00000001249
PMZ_0048009-RA	ENSGALP00000001251
PMZ_0027440-RA	ENSGALP00000001253
PMZ_0046185-RA	ENSGALP00000001253
PMZ_0044124-RA	ENSGALP00000001257
PMZ_0045466-RA	ENSGALP00000001257
PMZ_0014786-RA	ENSGALP00000001263
PMZ_0034381-RA	ENSGALP00000001263
PMZ_0046004-RA	ENSGALP00000001268
PMZ_0015480-RA	ENSGALP00000001274
PMZ_0041818-RA	ENSGALP00000001281
PMZ_0047208-RA	ENSGALP00000001286
PMZ_0000358-RA	ENSGALP00000001287
PMZ_0044108-RA	ENSGALP00000001292
PMZ_0044107-RA	ENSGALP00000001292
PMZ_0032932-RA	ENSGALP00000001293
PMZ_0043580-RA	ENSGALP00000001295
PMZ_0046025-RA	ENSGALP00000001295
PMZ_0035083-RA	ENSGALP00000001296
PMZ_0042234-RA	ENSGALP00000001298
PMZ_0018389-RA	ENSGALP00000001306
PMZ_0029044-RA	ENSGALP00000001307
PMZ_0035159-RA	ENSGALP00000001307
PMZ_0007521-RA	ENSGALP00000001312
PMZ_0041517-RA	ENSGALP00000001312
PMZ_0041189-RA	ENSGALP00000001315
PMZ_0031297-RA	ENSGALP00000001317
PMZ_0026713-RA	ENSGALP00000001318
PMZ_0031383-RA	ENSGALP00000001318
PMZ_0016496-RA	ENSGALP00000001319
PMZ_0031678-RA	ENSGALP00000001319
PMZ_0032218-RA	ENSGALP00000001320
PMZ_0042311-RA	ENSGALP00000001321
PMZ_0029902-RA	ENSGALP00000001321
PMZ_0047538-RA	ENSGALP00000001323
PMZ_0023675-RA	ENSGALP00000001323
PMZ_0046280-RA	ENSGALP00000001328
PMZ_0018290-RA	ENSGALP00000001332
PMZ_0046910-RA	ENSGALP00000001334
PMZ_0031985-RA	ENSGALP00000001334
PMZ_0047038-RA	ENSGALP00000001335
PMZ_0045189-RA	ENSGALP00000001340
PMZ_0011007-RA	ENSGALP00000001340
PMZ_0045447-RA	ENSGALP00000001341
PMZ_0032806-RA	ENSGALP00000001342
PMZ_0046073-RA	ENSGALP00000001350
PMZ_0037630-RA	ENSGALP00000001351
PMZ_0039095-RA	ENSGALP00000001352
PMZ_0034605-RA	ENSGALP00000001360
PMZ_0044720-RA	ENSGALP00000001360
PMZ_0027379-RA	ENSGALP00000001365
PMZ_0005927-RA	ENSGALP00000001365
PMZ_0008428-RA	ENSGALP00000001370
PMZ_0036641-RA	ENSGALP00000001374
PMZ_0036031-RA	ENSGALP00000001374
PMZ_0028828-RA	ENSGALP00000001377
PMZ_0045948-RA	ENSGALP00000001377
PMZ_0045605-RA	ENSGALP00000001381
PMZ_0045606-RA	ENSGALP00000001381
PMZ_0041168-RA	ENSGALP00000001390
PMZ_0030804-RA	ENSGALP00000001392
PMZ_0036992-RA	ENSGALP00000001399
PMZ_0029732-RA	ENSGALP00000001399
PMZ_0042350-RA	ENSGALP00000001400
PMZ_0042351-RA	ENSGALP00000001400
PMZ_0027080-RA	ENSGALP00000001406
PMZ_0031419-RA	ENSGALP00000001407
PMZ_0039156-RA	ENSGALP00000001409
PMZ_0031765-RA	ENSGALP00000001411
PMZ_0011405-RA	ENSGALP00000001411
PMZ_0038234-RA	ENSGALP00000001412
PMZ_0010551-RA	ENSGALP00000001412
PMZ_0037675-RA	ENSGALP00000001415
PMZ_0043312-RA	ENSGALP00000001418
PMZ_0009620-RA	ENSGALP00000001418
PMZ_0046043-RA	ENSGALP00000001422
PMZ_0033770-RA	ENSGALP00000001428
PMZ_0044658-RA	ENSGALP00000001428
PMZ_0044565-RA	ENSGALP00000001432
PMZ_0031521-RA	ENSGALP00000001434
PMZ_0019130-RA	ENSGALP00000001440
PMZ_0042347-RA	ENSGALP00000001441
PMZ_0042349-RA	ENSGALP00000001441
PMZ_0042230-RA	ENSGALP00000001443
PMZ_0040711-RA	ENSGALP00000001443
PMZ_0010552-RA	ENSGALP00000001447
PMZ_0034969-RA	ENSGALP00000001447
PMZ_0048244-RA	ENSGALP00000001451
PMZ_0027531-RA	ENSGALP00000001451
PMZ_0037316-RA	ENSGALP00000001452
PMZ_0021267-RA	ENSGALP00000001456
PMZ_0041116-RA	ENSGALP00000001456
PMZ_0035035-RA	ENSGALP00000001461
PMZ_0021461-RA	ENSGALP00000001464
PMZ_0046273-RA	ENSGALP00000001464
PMZ_0027229-RA	ENSGALP00000001470
PMZ_0045103-RA	ENSGALP00000001470
PMZ_0009269-RA	ENSGALP00000001471
PMZ_0048770-RA	ENSGALP00000001471
PMZ_0029798-RA	ENSGALP00000001473
PMZ_0032265-RA	ENSGALP00000001474
PMZ_0015821-RA	ENSGALP00000001475
PMZ_0047914-RA	ENSGALP00000001475
PMZ_0046544-RA	ENSGALP00000001477
PMZ_0019445-RA	ENSGALP00000001477
PMZ_0043733-RA	ENSGALP00000001479
PMZ_0036287-RA	ENSGALP00000001479
PMZ_0045943-RA	ENSGALP00000001480
PMZ_0014233-RA	ENSGALP00000001483
PMZ_0031843-RA	ENSGALP00000001491
PMZ_0001429-RA	ENSGALP00000001491
PMZ_0037729-RA	ENSGALP00000001493
PMZ_0044736-RA	ENSGALP00000001493
PMZ_0046499-RA	ENSGALP00000001494
PMZ_0030875-RA	ENSGALP00000001499
PMZ_0044510-RA	ENSGALP00000001501
PMZ_0015322-RA	ENSGALP00000001501
PMZ_0032933-RA	ENSGALP00000001507
PMZ_0023136-RA	ENSGALP00000001510
PMZ_0041626-RA	ENSGALP00000001510
PMZ_0046498-RA	ENSGALP00000001512
PMZ_0043510-RA	ENSGALP00000001521
PMZ_0011789-RA	ENSGALP00000001527
PMZ_0040223-RA	ENSGALP00000001527
PMZ_0041595-RA	ENSGALP00000001528
PMZ_0015586-RA	ENSGALP00000001532
PMZ_0033716-RA	ENSGALP00000001532
PMZ_0013221-RA	ENSGALP00000001533
PMZ_0032290-RA	ENSGALP00000001542
PMZ_0042434-RA	ENSGALP00000001542
PMZ_0028698-RA	ENSGALP00000001555
PMZ_0047645-RA	ENSGALP00000001555
PMZ_0040058-RA	ENSGALP00000001565
PMZ_0040057-RA	ENSGALP00000001565
PMZ_0040536-RA	ENSGALP00000001569
PMZ_0048923-RA	ENSGALP00000001572
PMZ_0001450-RA	ENSGALP00000001577
PMZ_0043748-RA	ENSGALP00000001578
PMZ_0016645-RA	ENSGALP00000001579
PMZ_0037707-RA	ENSGALP00000001579
PMZ_0021064-RA	ENSGALP00000001581
PMZ_0031644-RA	ENSGALP00000001583
PMZ_0026088-RA	ENSGALP00000001587
PMZ_0037541-RA	ENSGALP00000001588
PMZ_0018334-RA	ENSGALP00000001589
PMZ_0031715-RA	ENSGALP00000001591
PMZ_0048500-RA	ENSGALP00000001591
PMZ_0048845-RA	ENSGALP00000001595
PMZ_0042659-RA	ENSGALP00000001595
PMZ_0044609-RA	ENSGALP00000001598
PMZ_0026265-RA	ENSGALP00000001598
PMZ_0038983-RA	ENSGALP00000001605
PMZ_0040579-RA	ENSGALP00000001605
PMZ_0040277-RA	ENSGALP00000001613
PMZ_0031215-RA	ENSGALP00000001613
PMZ_0046863-RA	ENSGALP00000001617
PMZ_0046939-RA	ENSGALP00000001622
PMZ_0042403-RA	ENSGALP00000001637
PMZ_0002310-RA	ENSGALP00000001640
PMZ_0042406-RA	ENSGALP00000001655
PMZ_0003320-RA	ENSGALP00000001655
PMZ_0028892-RA	ENSGALP00000001658
PMZ_0004252-RA	ENSGALP00000001658
PMZ_0007037-RA	ENSGALP00000001661
PMZ_0040851-RA	ENSGALP00000001661
PMZ_0042816-RA	ENSGALP00000001664
PMZ_0042817-RA	ENSGALP00000001664
PMZ_0018038-RA	ENSGALP00000001674
PMZ_0040487-RA	ENSGALP00000001674
PMZ_0000451-RA	ENSGALP00000001681
PMZ_0035902-RA	ENSGALP00000001681
PMZ_0003980-RA	ENSGALP00000001684
PMZ_0043217-RA	ENSGALP00000001688
PMZ_0003298-RA	ENSGALP00000001688
PMZ_0036645-RA	ENSGALP00000001689
PMZ_0044735-RA	ENSGALP00000001691
PMZ_0031626-RA	ENSGALP00000001693
PMZ_0041744-RA	ENSGALP00000001702
PMZ_0029826-RA	ENSGALP00000001710
PMZ_0035859-RA	ENSGALP00000001710
PMZ_0040999-RA	ENSGALP00000001713
PMZ_0041000-RA	ENSGALP00000001713
PMZ_0040201-RA	ENSGALP00000001717
PMZ_0034122-RA	ENSGALP00000001717
PMZ_0048102-RA	ENSGALP00000001718
PMZ_0048103-RA	ENSGALP00000001718
PMZ_0023359-RA	ENSGALP00000001721
PMZ_0042692-RA	ENSGALP00000001726
PMZ_0031827-RA	ENSGALP00000001729
PMZ_0034119-RA	ENSGALP00000001738
PMZ_0033261-RA	ENSGALP00000001738
PMZ_0048932-RA	ENSGALP00000001741
PMZ_0048250-RA	ENSGALP00000001743
PMZ_0040202-RA	ENSGALP00000001745
PMZ_0037051-RA	ENSGALP00000001745
PMZ_0041390-RA	ENSGALP00000001750
PMZ_0040106-RA	ENSGALP00000001751
PMZ_0041675-RA	ENSGALP00000001764
PMZ_0034785-RA	ENSGALP00000001764
