fgenesh2_pg.scaffold_351000043	ENSMODP00000015069
fgenesh2_pg.scaffold_384000024	ENSMODP00000006724
fgenesh2_pg.scaffold_384000038	ENSMODP00000005404
fgenesh2_pg.scaffold_384000039	ENSMODP00000033686
fgenesh2_pg.scaffold_384000041	ENSMODP00000007525
fgenesh2_pg.scaffold_384000041	ENSMODP00000005427
fgenesh2_pg.scaffold_385000013	ENSMODP00000038471
fgenesh2_pg.scaffold_385000017	ENSMODP00000006888
fgenesh2_pg.scaffold_386000031	ENSMODP00000025942
fgenesh2_pg.scaffold_386000031	ENSMODP00000017744
fgenesh2_pg.scaffold_386000031	ENSMODP00000006121
fgenesh2_pg.scaffold_386000032	ENSMODP00000039270
fgenesh2_pg.scaffold_386000033	ENSMODP00000025791
fgenesh2_pg.scaffold_386000033	ENSMODP00000026218
fgenesh2_pg.scaffold_387000005	ENSMODP00000033469
fgenesh2_pg.scaffold_388000032	ENSMODP00000039695
fgenesh2_pg.scaffold_388000033	ENSMODP00000023134
fgenesh2_pg.scaffold_389000013	ENSMODP00000035598
fgenesh2_pg.scaffold_389000029	ENSMODP00000023129
fgenesh2_pg.scaffold_389000031	ENSMODP00000006965
fgenesh2_pg.scaffold_391000010	ENSMODP00000004774
fgenesh2_pg.scaffold_391000010	ENSMODP00000017995
fgenesh2_pg.scaffold_391000023	ENSMODP00000018765
fgenesh2_pg.scaffold_391000033	ENSMODP00000021370
fgenesh2_pg.scaffold_391000033	ENSMODP00000021369
fgenesh2_pg.scaffold_391000033	ENSMODP00000006732
fgenesh2_pg.scaffold_392000008	ENSMODP00000013562
fgenesh2_pg.scaffold_393000027	ENSMODP00000022596
fgenesh2_pg.scaffold_394000013	ENSMODP00000039483
fgenesh2_pg.scaffold_394000023	ENSMODP00000008777
fgenesh2_pg.scaffold_395000011	ENSMODP00000016898
fgenesh2_pg.scaffold_395000012	ENSMODP00000002677
fgenesh2_pg.scaffold_395000037	ENSMODP00000036684
fgenesh2_pg.scaffold_395000039	ENSMODP00000021606
fgenesh2_pg.scaffold_396000014	ENSMODP00000033468
fgenesh2_pg.scaffold_396000023	ENSMODP00000004883
fgenesh2_pg.scaffold_396000027	ENSMODP00000016903
fgenesh2_pg.scaffold_396000027	ENSMODP00000004935
fgenesh2_pg.scaffold_396000027	ENSMODP00000004792
fgenesh2_pg.scaffold_398000058	ENSMODP00000003984
fgenesh2_pg.scaffold_398000059	ENSMODP00000003418
fgenesh2_pg.scaffold_399000032	ENSMODP00000024117
fgenesh2_pg.scaffold_400000012	ENSMODP00000020531
fgenesh2_pg.scaffold_400000031	ENSMODP00000007471
fgenesh2_pg.scaffold_402000006	ENSMODP00000032315
fgenesh2_pg.scaffold_402000006	ENSMODP00000015467
fgenesh2_pg.scaffold_402000021	ENSMODP00000017783
fgenesh2_pg.scaffold_402000028	ENSMODP00000002877
fgenesh2_pg.scaffold_402000028	ENSMODP00000021545
fgenesh2_pg.scaffold_403000003	ENSMODP00000002071
fgenesh2_pg.scaffold_403000012	ENSMODP00000038866
fgenesh2_pg.scaffold_403000022	ENSMODP00000021094
fgenesh2_pg.scaffold_403000022	ENSMODP00000005566
fgenesh2_pg.scaffold_403000022	ENSMODP00000005798
fgenesh2_pg.scaffold_403000023	ENSMODP00000011923
fgenesh2_pg.scaffold_403000023	ENSMODP00000000346
fgenesh2_pg.scaffold_403000023	ENSMODP00000000339
fgenesh2_pg.scaffold_403000023	ENSMODP00000023888
fgenesh2_pg.scaffold_403000025	ENSMODP00000026281
fgenesh2_pg.scaffold_404000038	ENSMODP00000038439
fgenesh2_pg.scaffold_404000048	ENSMODP00000025382
fgenesh2_pg.scaffold_405000019	ENSMODP00000017017
fgenesh2_pg.scaffold_406000011	ENSMODP00000016427
fgenesh2_pg.scaffold_406000014	ENSMODP00000037243
fgenesh2_pg.scaffold_406000028	ENSMODP00000008234
fgenesh2_pg.scaffold_407000028	ENSMODP00000032225
fgenesh2_pg.scaffold_409000004	ENSMODP00000023174
fgenesh2_pg.scaffold_409000005	ENSMODP00000014444
fgenesh2_pg.scaffold_410000005	ENSMODP00000016150
fgenesh2_pg.scaffold_410000008	ENSMODP00000016950
fgenesh2_pg.scaffold_410000011	ENSMODP00000002798
fgenesh2_pg.scaffold_410000031	ENSMODP00000031636
fgenesh2_pg.scaffold_411000040	ENSMODP00000007320
fgenesh2_pg.scaffold_411000041	ENSMODP00000031794
fgenesh2_pg.scaffold_412000006	ENSMODP00000008173
fgenesh2_pg.scaffold_412000007	ENSMODP00000019691
fgenesh2_pg.scaffold_413000015	ENSMODP00000024001
fgenesh2_pg.scaffold_413000015	ENSMODP00000020113
fgenesh2_pg.scaffold_413000023	ENSMODP00000012764
fgenesh2_pg.scaffold_413000024	ENSMODP00000013918
fgenesh2_pg.scaffold_414000003	ENSMODP00000011332
fgenesh2_pg.scaffold_414000018	ENSMODP00000015502
fgenesh2_pg.scaffold_415000003	ENSMODP00000003573
fgenesh2_pg.scaffold_415000020	ENSMODP00000039303
fgenesh2_pg.scaffold_415000026	ENSMODP00000023421
fgenesh2_pg.scaffold_416000004	ENSMODP00000001239
fgenesh2_pg.scaffold_416000027	ENSMODP00000003778
fgenesh2_pg.scaffold_417000003	ENSMODP00000032422
fgenesh2_pg.scaffold_417000011	ENSMODP00000010766
fgenesh2_pg.scaffold_417000012	ENSMODP00000023520
fgenesh2_pg.scaffold_417000012	ENSMODP00000018994
fgenesh2_pg.scaffold_417000012	ENSMODP00000017907
fgenesh2_pg.scaffold_417000012	ENSMODP00000019061
fgenesh2_pg.scaffold_417000012	ENSMODP00000021966
fgenesh2_pg.scaffold_417000015	ENSMODP00000024294
fgenesh2_pg.scaffold_418000015	ENSMODP00000023039
fgenesh2_pg.scaffold_418000018	ENSMODP00000039516
fgenesh2_pg.scaffold_418000024	ENSMODP00000026354
fgenesh2_pg.scaffold_419000014	ENSMODP00000003431
fgenesh2_pg.scaffold_419000014	ENSMODP00000033063
fgenesh2_pg.scaffold_420000013	ENSMODP00000038524
fgenesh2_pg.scaffold_421000002	ENSMODP00000024622
fgenesh2_pg.scaffold_421000008	ENSMODP00000001942
fgenesh2_pg.scaffold_421000019	ENSMODP00000005030
fgenesh2_pg.scaffold_421000023	ENSMODP00000025126
fgenesh2_pg.scaffold_421000036	ENSMODP00000039254
fgenesh2_pg.scaffold_422000005	ENSMODP00000040248
fgenesh2_pg.scaffold_422000008	ENSMODP00000022198
fgenesh2_pg.scaffold_423000012	ENSMODP00000014618
fgenesh2_pg.scaffold_423000017	ENSMODP00000004203
fgenesh2_pg.scaffold_423000025	ENSMODP00000040037
fgenesh2_pg.scaffold_423000030	ENSMODP00000008143
fgenesh2_pg.scaffold_424000010	ENSMODP00000017054
fgenesh2_pg.scaffold_424000011	ENSMODP00000009562
fgenesh2_pg.scaffold_425000008	ENSMODP00000004099
fgenesh2_pg.scaffold_425000012	ENSMODP00000019426
fgenesh2_pg.scaffold_426000011	ENSMODP00000014418
fgenesh2_pg.scaffold_426000022	ENSMODP00000001357
fgenesh2_pg.scaffold_426000035	ENSMODP00000025740
fgenesh2_pg.scaffold_426000048	ENSMODP00000005572
fgenesh2_pg.scaffold_427000017	ENSMODP00000001749
fgenesh2_pg.scaffold_427000017	ENSMODP00000020580
fgenesh2_pg.scaffold_429000005	ENSMODP00000000039
fgenesh2_pg.scaffold_429000008	ENSMODP00000023167
fgenesh2_pg.scaffold_429000014	ENSMODP00000011626
fgenesh2_pg.scaffold_429000016	ENSMODP00000017067
fgenesh2_pg.scaffold_430000006	ENSMODP00000017808
fgenesh2_pg.scaffold_430000022	ENSMODP00000031146
fgenesh2_pg.scaffold_430000023	ENSMODP00000007137
fgenesh2_pg.scaffold_431000004	ENSMODP00000039024
fgenesh2_pg.scaffold_432000036	ENSMODP00000015700
fgenesh2_pg.scaffold_432000036	ENSMODP00000015106
fgenesh2_pg.scaffold_432000042	ENSMODP00000008707
fgenesh2_pg.scaffold_433000013	ENSMODP00000004612
fgenesh2_pg.scaffold_435000006	ENSMODP00000001550
fgenesh2_pg.scaffold_435000009	ENSMODP00000006864
fgenesh2_pg.scaffold_436000014	ENSMODP00000009126
fgenesh2_pg.scaffold_436000015	ENSMODP00000019137
fgenesh2_pg.scaffold_437000001	ENSMODP00000039421
fgenesh2_pg.scaffold_437000014	ENSMODP00000017539
fgenesh2_pg.scaffold_438000005	ENSMODP00000015387
fgenesh2_pg.scaffold_438000005	ENSMODP00000002718
fgenesh2_pg.scaffold_438000005	ENSMODP00000041133
fgenesh2_pg.scaffold_438000005	ENSMODP00000015808
fgenesh2_pg.scaffold_438000005	ENSMODP00000040190
fgenesh2_pg.scaffold_438000009	ENSMODP00000026135
fgenesh2_pg.scaffold_438000009	ENSMODP00000027981
fgenesh2_pg.scaffold_438000033	ENSMODP00000020661
fgenesh2_pg.scaffold_439000005	ENSMODP00000039866
fgenesh2_pg.scaffold_439000020	ENSMODP00000003896
fgenesh2_pg.scaffold_439000020	ENSMODP00000026049
fgenesh2_pg.scaffold_439000027	ENSMODP00000021856
fgenesh2_pg.scaffold_440000010	ENSMODP00000017185
fgenesh2_pg.scaffold_441000026	ENSMODP00000017446
fgenesh2_pg.scaffold_442000006	ENSMODP00000003612
fgenesh2_pg.scaffold_442000011	ENSMODP00000005669
fgenesh2_pg.scaffold_442000051	ENSMODP00000040423
fgenesh2_pg.scaffold_443000001	ENSMODP00000014882
fgenesh2_pg.scaffold_443000004	ENSMODP00000016300
fgenesh2_pg.scaffold_444000042	ENSMODP00000001469
fgenesh2_pg.scaffold_445000011	ENSMODP00000008778
fgenesh2_pg.scaffold_445000012	ENSMODP00000038341
fgenesh2_pg.scaffold_446000010	ENSMODP00000019212
fgenesh2_pg.scaffold_446000018	ENSMODP00000003288
fgenesh2_pg.scaffold_446000033	ENSMODP00000008328
fgenesh2_pg.scaffold_447000005	ENSMODP00000007635
fgenesh2_pg.scaffold_447000005	ENSMODP00000031976
fgenesh2_pg.scaffold_447000013	ENSMODP00000011018
fgenesh2_pg.scaffold_449000009	ENSMODP00000040868
fgenesh2_pg.scaffold_449000021	ENSMODP00000025675
fgenesh2_pg.scaffold_449000023	ENSMODP00000026940
fgenesh2_pg.scaffold_450000010	ENSMODP00000003235
fgenesh2_pg.scaffold_450000016	ENSMODP00000012672
fgenesh2_pg.scaffold_450000016	ENSMODP00000014859
fgenesh2_pg.scaffold_450000016	ENSMODP00000011766
fgenesh2_pg.scaffold_450000016	ENSMODP00000008620
fgenesh2_pg.scaffold_450000016	ENSMODP00000006660
fgenesh2_pg.scaffold_451000018	ENSMODP00000001069
fgenesh2_pg.scaffold_451000018	ENSMODP00000019378
fgenesh2_pg.scaffold_451000018	ENSMODP00000011031
fgenesh2_pg.scaffold_452000028	ENSMODP00000020995
fgenesh2_pg.scaffold_452000028	ENSMODP00000031619
fgenesh2_pg.scaffold_452000029	ENSMODP00000008961
fgenesh2_pg.scaffold_452000036	ENSMODP00000004541
fgenesh2_pg.scaffold_454000007	ENSMODP00000025778
fgenesh2_pg.scaffold_454000010	ENSMODP00000003476
fgenesh2_pg.scaffold_454000014	ENSMODP00000017689
fgenesh2_pg.scaffold_455000014	ENSMODP00000018888
fgenesh2_pg.scaffold_456000002	ENSMODP00000019813
fgenesh2_pg.scaffold_457000001	ENSMODP00000032878
fgenesh2_pg.scaffold_457000020	ENSMODP00000010010
fgenesh2_pg.scaffold_458000006	ENSMODP00000021111
fgenesh2_pg.scaffold_458000006	ENSMODP00000016502
fgenesh2_pg.scaffold_458000009	ENSMODP00000004595
fgenesh2_pg.scaffold_458000013	ENSMODP00000009390
fgenesh2_pg.scaffold_458000014	ENSMODP00000010488
fgenesh2_pg.scaffold_458000015	ENSMODP00000004427
fgenesh2_pg.scaffold_458000015	ENSMODP00000035150
fgenesh2_pg.scaffold_458000016	ENSMODP00000005014
fgenesh2_pg.scaffold_458000024	ENSMODP00000032395
fgenesh2_pg.scaffold_458000024	ENSMODP00000016761
fgenesh2_pg.scaffold_459000002	ENSMODP00000013522
fgenesh2_pg.scaffold_459000008	ENSMODP00000024228
fgenesh2_pg.scaffold_459000031	ENSMODP00000038117
fgenesh2_pg.scaffold_460000013	ENSMODP00000000719
fgenesh2_pg.scaffold_461000003	ENSMODP00000009416
fgenesh2_pg.scaffold_461000014	ENSMODP00000038232
fgenesh2_pg.scaffold_462000028	ENSMODP00000008545
fgenesh2_pg.scaffold_463000018	ENSMODP00000028543
fgenesh2_pg.scaffold_463000031	ENSMODP00000040453
fgenesh2_pg.scaffold_463000032	ENSMODP00000015905
fgenesh2_pg.scaffold_463000036	ENSMODP00000033397
fgenesh2_pg.scaffold_463000051	ENSMODP00000026543
fgenesh2_pg.scaffold_463000052	ENSMODP00000037809
fgenesh2_pg.scaffold_464000003	ENSMODP00000020125
fgenesh2_pg.scaffold_464000003	ENSMODP00000020960
fgenesh2_pg.scaffold_465000025	ENSMODP00000039627
fgenesh2_pg.scaffold_466000008	ENSMODP00000009392
fgenesh2_pg.scaffold_466000018	ENSMODP00000015894
fgenesh2_pg.scaffold_466000027	ENSMODP00000019705
fgenesh2_pg.scaffold_466000032	ENSMODP00000024020
fgenesh2_pg.scaffold_466000033	ENSMODP00000038700
fgenesh2_pg.scaffold_468000008	ENSMODP00000003025
fgenesh2_pg.scaffold_468000016	ENSMODP00000004784
fgenesh2_pg.scaffold_470000027	ENSMODP00000003794
fgenesh2_pg.scaffold_471000021	ENSMODP00000000714
fgenesh2_pg.scaffold_472000004	ENSMODP00000013331
fgenesh2_pg.scaffold_474000009	ENSMODP00000011526
fgenesh2_pg.scaffold_475000016	ENSMODP00000038258
fgenesh2_pg.scaffold_476000011	ENSMODP00000015311
fgenesh2_pg.scaffold_477000035	ENSMODP00000023495
fgenesh2_pg.scaffold_478000027	ENSMODP00000024017
fgenesh2_pg.scaffold_479000021	ENSMODP00000035409
fgenesh2_pg.scaffold_479000037	ENSMODP00000015174
fgenesh2_pg.scaffold_480000020	ENSMODP00000022838
fgenesh2_pg.scaffold_480000025	ENSMODP00000014194
fgenesh2_pg.scaffold_481000007	ENSMODP00000020374
fgenesh2_pg.scaffold_481000007	ENSMODP00000008950
fgenesh2_pg.scaffold_482000013	ENSMODP00000013282
fgenesh2_pg.scaffold_484000006	ENSMODP00000000543
fgenesh2_pg.scaffold_484000012	ENSMODP00000014065
fgenesh2_pg.scaffold_484000017	ENSMODP00000025712
fgenesh2_pg.scaffold_484000017	ENSMODP00000012038
fgenesh2_pg.scaffold_484000027	ENSMODP00000027179
fgenesh2_pg.scaffold_484000031	ENSMODP00000006566
fgenesh2_pg.scaffold_484000033	ENSMODP00000007986
fgenesh2_pg.scaffold_486000005	ENSMODP00000018088
fgenesh2_pg.scaffold_486000006	ENSMODP00000008309
fgenesh2_pg.scaffold_486000033	ENSMODP00000038411
fgenesh2_pg.scaffold_488000009	ENSMODP00000006404
fgenesh2_pg.scaffold_488000010	ENSMODP00000000603
fgenesh2_pg.scaffold_489000005	ENSMODP00000006601
fgenesh2_pg.scaffold_489000019	ENSMODP00000040556
fgenesh2_pg.scaffold_489000023	ENSMODP00000024473
fgenesh2_pg.scaffold_489000023	ENSMODP00000036364
fgenesh2_pg.scaffold_489000025	ENSMODP00000008509
fgenesh2_pg.scaffold_489000036	ENSMODP00000018233
fgenesh2_pg.scaffold_489000037	ENSMODP00000032617
fgenesh2_pg.scaffold_489000040	ENSMODP00000038982
fgenesh2_pg.scaffold_491000016	ENSMODP00000002215
fgenesh2_pg.scaffold_493000035	ENSMODP00000001751
fgenesh2_pg.scaffold_493000037	ENSMODP00000040783
fgenesh2_pg.scaffold_493000041	ENSMODP00000023391
fgenesh2_pg.scaffold_494000012	ENSMODP00000023511
fgenesh2_pg.scaffold_494000014	ENSMODP00000012888
fgenesh2_pg.scaffold_496000015	ENSMODP00000034229
fgenesh2_pg.scaffold_496000023	ENSMODP00000015906
fgenesh2_pg.scaffold_497000007	ENSMODP00000003638
fgenesh2_pg.scaffold_498000008	ENSMODP00000022049
fgenesh2_pg.scaffold_498000019	ENSMODP00000038857
fgenesh2_pg.scaffold_499000014	ENSMODP00000022859
fgenesh2_pg.scaffold_499000014	ENSMODP00000012783
fgenesh2_pg.scaffold_503000005	ENSMODP00000014172
fgenesh2_pg.scaffold_503000011	ENSMODP00000023103
fgenesh2_pg.scaffold_504000008	ENSMODP00000015165
fgenesh2_pg.scaffold_504000024	ENSMODP00000015520
fgenesh2_pg.scaffold_505000007	ENSMODP00000003813
fgenesh2_pg.scaffold_505000009	ENSMODP00000040027
fgenesh2_pg.scaffold_505000017	ENSMODP00000025096
fgenesh2_pg.scaffold_505000023	ENSMODP00000006198
fgenesh2_pg.scaffold_505000025	ENSMODP00000010939
fgenesh2_pg.scaffold_506000005	ENSMODP00000000836
fgenesh2_pg.scaffold_507000001	ENSMODP00000018375
fgenesh2_pg.scaffold_508000021	ENSMODP00000008036
fgenesh2_pg.scaffold_508000037	ENSMODP00000013288
fgenesh2_pg.scaffold_508000037	ENSMODP00000024295
fgenesh2_pg.scaffold_509000004	ENSMODP00000035692
fgenesh2_pg.scaffold_509000004	ENSMODP00000031308
fgenesh2_pg.scaffold_512000023	ENSMODP00000005968
fgenesh2_pg.scaffold_512000037	ENSMODP00000026286
fgenesh2_pg.scaffold_513000011	ENSMODP00000026412
fgenesh2_pg.scaffold_513000013	ENSMODP00000039636
fgenesh2_pg.scaffold_513000029	ENSMODP00000006307
fgenesh2_pg.scaffold_515000012	ENSMODP00000034765
fgenesh2_pg.scaffold_515000017	ENSMODP00000015855
fgenesh2_pg.scaffold_515000017	ENSMODP00000039667
fgenesh2_pg.scaffold_515000023	ENSMODP00000005657
fgenesh2_pg.scaffold_517000017	ENSMODP00000011848
fgenesh2_pg.scaffold_517000019	ENSMODP00000038300
fgenesh2_pg.scaffold_517000029	ENSMODP00000006834
fgenesh2_pg.scaffold_518000005	ENSMODP00000000274
fgenesh2_pg.scaffold_518000005	ENSMODP00000003057
fgenesh2_pg.scaffold_518000008	ENSMODP00000008793
fgenesh2_pg.scaffold_519000011	ENSMODP00000040393
fgenesh2_pg.scaffold_520000010	ENSMODP00000021711
fgenesh2_pg.scaffold_521000020	ENSMODP00000038423
fgenesh2_pg.scaffold_522000006	ENSMODP00000023964
fgenesh2_pg.scaffold_523000001	ENSMODP00000031401
fgenesh2_pg.scaffold_523000003	ENSMODP00000014460
fgenesh2_pg.scaffold_523000011	ENSMODP00000034293
fgenesh2_pg.scaffold_523000021	ENSMODP00000008565
fgenesh2_pg.scaffold_524000010	ENSMODP00000035700
fgenesh2_pg.scaffold_525000003	ENSMODP00000025258
fgenesh2_pg.scaffold_525000004	ENSMODP00000006978
fgenesh2_pg.scaffold_525000005	ENSMODP00000029777
fgenesh2_pg.scaffold_525000008	ENSMODP00000009773
fgenesh2_pg.scaffold_525000010	ENSMODP00000022423
fgenesh2_pg.scaffold_525000010	ENSMODP00000032914
fgenesh2_pg.scaffold_526000017	ENSMODP00000017608
fgenesh2_pg.scaffold_527000023	ENSMODP00000018215
fgenesh2_pg.scaffold_529000002	ENSMODP00000015840
fgenesh2_pg.scaffold_529000005	ENSMODP00000010851
fgenesh2_pg.scaffold_530000010	ENSMODP00000020453
fgenesh2_pg.scaffold_532000013	ENSMODP00000006402
fgenesh2_pg.scaffold_532000027	ENSMODP00000009220
fgenesh2_pg.scaffold_534000029	ENSMODP00000021069
fgenesh2_pg.scaffold_538000002	ENSMODP00000024610
fgenesh2_pg.scaffold_538000020	ENSMODP00000026579
fgenesh2_pg.scaffold_539000019	ENSMODP00000021641
fgenesh2_pg.scaffold_540000007	ENSMODP00000038752
fgenesh2_pg.scaffold_541000006	ENSMODP00000016213
fgenesh2_pg.scaffold_542000006	ENSMODP00000037098
fgenesh2_pg.scaffold_543000002	ENSMODP00000040616
fgenesh2_pg.scaffold_544000015	ENSMODP00000038255
fgenesh2_pg.scaffold_544000022	ENSMODP00000010587
fgenesh2_pg.scaffold_545000024	ENSMODP00000022811
fgenesh2_pg.scaffold_546000014	ENSMODP00000021421
fgenesh2_pg.scaffold_546000020	ENSMODP00000002572
fgenesh2_pg.scaffold_546000022	ENSMODP00000035690
fgenesh2_pg.scaffold_546000024	ENSMODP00000036918
fgenesh2_pg.scaffold_549000002	ENSMODP00000008935
fgenesh2_pg.scaffold_550000002	ENSMODP00000012937
fgenesh2_pg.scaffold_550000002	ENSMODP00000038441
fgenesh2_pg.scaffold_550000002	ENSMODP00000037205
fgenesh2_pg.scaffold_550000004	ENSMODP00000033099
fgenesh2_pg.scaffold_550000008	ENSMODP00000019601
fgenesh2_pg.scaffold_550000018	ENSMODP00000037350
fgenesh2_pg.scaffold_550000018	ENSMODP00000010751
fgenesh2_pg.scaffold_550000018	ENSMODP00000015261
fgenesh2_pg.scaffold_551000019	ENSMODP00000004006
fgenesh2_pg.scaffold_552000010	ENSMODP00000038371
fgenesh2_pg.scaffold_553000045	ENSMODP00000028534
fgenesh2_pg.scaffold_554000005	ENSMODP00000018442
fgenesh2_pg.scaffold_555000013	ENSMODP00000005285
fgenesh2_pg.scaffold_555000018	ENSMODP00000024647
fgenesh2_pg.scaffold_555000019	ENSMODP00000017522
fgenesh2_pg.scaffold_557000012	ENSMODP00000030987
fgenesh2_pg.scaffold_557000023	ENSMODP00000028760
fgenesh2_pg.scaffold_558000025	ENSMODP00000021625
fgenesh2_pg.scaffold_559000012	ENSMODP00000019999
fgenesh2_pg.scaffold_560000005	ENSMODP00000010083
fgenesh2_pg.scaffold_560000010	ENSMODP00000002675
fgenesh2_pg.scaffold_560000014	ENSMODP00000024637
fgenesh2_pg.scaffold_561000002	ENSMODP00000013908
fgenesh2_pg.scaffold_561000009	ENSMODP00000008526
fgenesh2_pg.scaffold_561000010	ENSMODP00000029491
fgenesh2_pg.scaffold_562000005	ENSMODP00000000823
fgenesh2_pg.scaffold_562000005	ENSMODP00000016989
fgenesh2_pg.scaffold_562000007	ENSMODP00000023962
fgenesh2_pg.scaffold_562000008	ENSMODP00000014471
fgenesh2_pg.scaffold_562000008	ENSMODP00000023961
fgenesh2_pg.scaffold_562000008	ENSMODP00000014655
