SINCAM011582	ENSLOCP00000000004
SINCAM007848	ENSLOCP00000000512
SINCAM009046	ENSLOCP00000000514
SINCAM002438	ENSLOCP00000000515
SINCAM011578	ENSLOCP00000000516
SINCAM015641	ENSLOCP00000000522
SINCAM003685	ENSLOCP00000000529
SINCAM017850	ENSLOCP00000000533
SINCAM922815	ENSLOCP00000000534
SINCAM018080	ENSLOCP00000000535
SINCAM012974	ENSLOCP00000000540
SINCAM014679	ENSLOCP00000000541
SINCAM009088	ENSLOCP00000000542
SINCAM012294	ENSLOCP00000000544
SINCAM014597	ENSLOCP00000000546
SINCAM922215	ENSLOCP00000000547
SINCAM003124	ENSLOCP00000000548
SINCAM012314	ENSLOCP00000000549
SINCAM001634	ENSLOCP00000000552
SINCAM921740	ENSLOCP00000000559
SINCAM007872	ENSLOCP00000000562
SINCAM003485	ENSLOCP00000000565
SINCAM016770	ENSLOCP00000000570
SINCAM008874	ENSLOCP00000000571
SINCAM921063	ENSLOCP00000000579
SINCAM010368	ENSLOCP00000000583
SINCAM013583	ENSLOCP00000000585
SINCAM018091	ENSLOCP00000000586
SINCAM012322	ENSLOCP00000000590
SINCAM015147	ENSLOCP00000000591
SINCAM922883	ENSLOCP00000000599
SINCAM007871	ENSLOCP00000000602
SINCAM002440	ENSLOCP00000000609
SINCAM009159	ENSLOCP00000000610
SINCAM923108	ENSLOCP00000000611
SINCAM001488	ENSLOCP00000000613
SINCAM922877	ENSLOCP00000000614
SINCAM005934	ENSLOCP00000000619
SINCAM005869	ENSLOCP00000000620
SINCAM011081	ENSLOCP00000000625
SINCAM002870	ENSLOCP00000000627
SINCAM013562	ENSLOCP00000000630
SINCAM003931	ENSLOCP00000000631
SINCAM011519	ENSLOCP00000000634
SINCAM010370	ENSLOCP00000000635
SINCAM004004	ENSLOCP00000000640
SINCAM921509	ENSLOCP00000000641
SINCAM001632	ENSLOCP00000000642
SINCAM923078	ENSLOCP00000000643
SINCAM007870	ENSLOCP00000000646
SINCAM014987	ENSLOCP00000000647
SINCAM002856	ENSLOCP00000000650
SINCAM009160	ENSLOCP00000000652
SINCAM922107	ENSLOCP00000000653
SINCAM012886	ENSLOCP00000000654
SINCAM923164	ENSLOCP00000000660
SINCAM009787	ENSLOCP00000000662
SINCAM922044	ENSLOCP00000000670
SINCAM017256	ENSLOCP00000000674
SINCAM011520	ENSLOCP00000000676
SINCAM007055	ENSLOCP00000000679
SINCAM001996	ENSLOCP00000000680
SINCAM011080	ENSLOCP00000000681
SINCAM015302	ENSLOCP00000000689
SINCAM014455	ENSLOCP00000000693
SINCAM012887	ENSLOCP00000000695
SINCAM921739	ENSLOCP00000000701
SINCAM001995	ENSLOCP00000000712
SINCAM922045	ENSLOCP00000000714
SINCAM011521	ENSLOCP00000000717
SINCAM921858	ENSLOCP00000000720
SINCAM922383	ENSLOCP00000000724
SINCAM011575	ENSLOCP00000000728
SINCAM007864	ENSLOCP00000000732
SINCAM008923	ENSLOCP00000000734
SINCAM006031	ENSLOCP00000000741
SINCAM007625	ENSLOCP00000000743
SINCAM004053	ENSLOCP00000000744
SINCAM921800	ENSLOCP00000000745
SINCAM002867	ENSLOCP00000000747
SINCAM003825	ENSLOCP00000000752
SINCAM922046	ENSLOCP00000000753
SINCAM922216	ENSLOCP00000000757
SINCAM003820	ENSLOCP00000000759
SINCAM011066	ENSLOCP00000000760
SINCAM010557	ENSLOCP00000000761
SINCAM001631	ENSLOCP00000000765
SINCAM004613	ENSLOCP00000000766
SINCAM006292	ENSLOCP00000000767
SINCAM007861	ENSLOCP00000000769
SINCAM922458	ENSLOCP00000000775
SINCAM008924	ENSLOCP00000000778
SINCAM002871	ENSLOCP00000000782
SINCAM009163	ENSLOCP00000000784
SINCAM010372	ENSLOCP00000000787
SINCAM013711	ENSLOCP00000000789
SINCAM922225	ENSLOCP00000000791
SINCAM921484	ENSLOCP00000000797
SINCAM921501	ENSLOCP00000000799
SINCAM011764	ENSLOCP00000000800
SINCAM921980	ENSLOCP00000000801
SINCAM900193	ENSLOCP00000000805
SINCAM920853	ENSLOCP00000000806
SINCAM922961	ENSLOCP00000000810
SINCAM009164	ENSLOCP00000000813
SINCAM002872	ENSLOCP00000000817
SINCAM011545	ENSLOCP00000000818
SINCAM001630	ENSLOCP00000000819
SINCAM007860	ENSLOCP00000000831
SINCAM002826	ENSLOCP00000000836
SINCAM013748	ENSLOCP00000000839
SINCAM921738	ENSLOCP00000000841
SINCAM006288	ENSLOCP00000000844
SINCAM002886	ENSLOCP00000000848
SINCAM001923	ENSLOCP00000000851
SINCAM007744	ENSLOCP00000000852
SINCAM015617	ENSLOCP00000000855
SINCAM010374	ENSLOCP00000000856
SINCAM014862	ENSLOCP00000000857
SINCAM921981	ENSLOCP00000000860
SINCAM011646	ENSLOCP00000000861
SINCAM014012	ENSLOCP00000000862
SINCAM012911	ENSLOCP00000000863
SINCAM922970	ENSLOCP00000000865
SINCAM009166	ENSLOCP00000000870
SINCAM015758	ENSLOCP00000000874
SINCAM006267	ENSLOCP00000000875
SINCAM008808	ENSLOCP00000000877
SINCAM007743	ENSLOCP00000000879
SINCAM015618	ENSLOCP00000000880
SINCAM008919	ENSLOCP00000000886
SINCAM001627	ENSLOCP00000000887
SINCAM013712	ENSLOCP00000000891
SINCAM921913	ENSLOCP00000000897
SINCAM008809	ENSLOCP00000000900
SINCAM003990	ENSLOCP00000000903
SINCAM922535	ENSLOCP00000000904
SINCAM002233	ENSLOCP00000000905
SINCAM010375	ENSLOCP00000000906
SINCAM008920	ENSLOCP00000000908
SINCAM007853	ENSLOCP00000000909
SINCAM014014	ENSLOCP00000000910
SINCAM014874	ENSLOCP00000000913
SINCAM921744	ENSLOCP00000000914
SINCAM922973	ENSLOCP00000000917
SINCAM012391	ENSLOCP00000000918
SINCAM004138	ENSLOCP00000000921
SINCAM920537	ENSLOCP00000000922
SINCAM011068	ENSLOCP00000000923
SINCAM011495	ENSLOCP00000000926
SINCAM003991	ENSLOCP00000000932
SINCAM008612	ENSLOCP00000000933
SINCAM015414	ENSLOCP00000000940
SINCAM012972	ENSLOCP00000000942
SINCAM922703	ENSLOCP00000000945
SINCAM000743	ENSLOCP00000000947
SINCAM011069	ENSLOCP00000000948
SINCAM008786	ENSLOCP00000000949
SINCAM008930	ENSLOCP00000000950
SINCAM921926	ENSLOCP00000000951
SINCAM010376	ENSLOCP00000000953
SINCAM013605	ENSLOCP00000000954
SINCAM004044	ENSLOCP00000000955
SINCAM003992	ENSLOCP00000000959
SINCAM001625	ENSLOCP00000000960
SINCAM005600	ENSLOCP00000000961
SINCAM007835	ENSLOCP00000000963
SINCAM011818	ENSLOCP00000000964
SINCAM011494	ENSLOCP00000000973
SINCAM006405	ENSLOCP00000000975
SINCAM008584	ENSLOCP00000000977
SINCAM009282	ENSLOCP00000000979
SINCAM921982	ENSLOCP00000000982
SINCAM000741	ENSLOCP00000000983
SINCAM007836	ENSLOCP00000000984
SINCAM921745	ENSLOCP00000000986
SINCAM005599	ENSLOCP00000000987
SINCAM011490	ENSLOCP00000000989
SINCAM920756	ENSLOCP00000000990
SINCAM013893	ENSLOCP00000000991
SINCAM008586	ENSLOCP00000000995
SINCAM922468	ENSLOCP00000000996
SINCAM922549	ENSLOCP00000000997
SINCAM003994	ENSLOCP00000000999
SINCAM016201	ENSLOCP00000001002
SINCAM007858	ENSLOCP00000001003
SINCAM000740	ENSLOCP00000001008
SINCAM016278	ENSLOCP00000001009
SINCAM009167	ENSLOCP00000001012
SINCAM010377	ENSLOCP00000001014
SINCAM921983	ENSLOCP00000001018
SINCAM008587	ENSLOCP00000001019
SINCAM920533	ENSLOCP00000001023
SINCAM014020	ENSLOCP00000001024
SINCAM006404	ENSLOCP00000001027
SINCAM010378	ENSLOCP00000001028
SINCAM000924	ENSLOCP00000001029
SINCAM003885	ENSLOCP00000001030
SINCAM014854	ENSLOCP00000001033
SINCAM011816	ENSLOCP00000001036
SINCAM004042	ENSLOCP00000001038
SINCAM002884	ENSLOCP00000001041
SINCAM003995	ENSLOCP00000001042
SINCAM006403	ENSLOCP00000001045
SINCAM006892	ENSLOCP00000001048
SINCAM007866	ENSLOCP00000001051
SINCAM920745	ENSLOCP00000001053
SINCAM010379	ENSLOCP00000001054
SINCAM003123	ENSLOCP00000001055
SINCAM012723	ENSLOCP00000001059
SINCAM011789	ENSLOCP00000001060
SINCAM004041	ENSLOCP00000001061
SINCAM002931	ENSLOCP00000001062
SINCAM011511	ENSLOCP00000001065
SINCAM000739	ENSLOCP00000001067
SINCAM015318	ENSLOCP00000001068
SINCAM011297	ENSLOCP00000001069
SINCAM007780	ENSLOCP00000001073
SINCAM010380	ENSLOCP00000001074
SINCAM006281	ENSLOCP00000001078
SINCAM006402	ENSLOCP00000001079
SINCAM013895	ENSLOCP00000001080
SINCAM009553	ENSLOCP00000001082
SINCAM012844	ENSLOCP00000001084
SINCAM922548	ENSLOCP00000001086
SINCAM922329	ENSLOCP00000001088
SINCAM005880	ENSLOCP00000001089
SINCAM007771	ENSLOCP00000001093
SINCAM009554	ENSLOCP00000001096
SINCAM000421	ENSLOCP00000001100
SINCAM000738	ENSLOCP00000001102
SINCAM006397	ENSLOCP00000001103
SINCAM003122	ENSLOCP00000001104
SINCAM015316	ENSLOCP00000001105
SINCAM000751	ENSLOCP00000001109
SINCAM010381	ENSLOCP00000001110
SINCAM017761	ENSLOCP00000001112
SINCAM013871	ENSLOCP00000001114
SINCAM011509	ENSLOCP00000001116
SINCAM009555	ENSLOCP00000001119
SINCAM922390	ENSLOCP00000001120
SINCAM921496	ENSLOCP00000001122
SINCAM921747	ENSLOCP00000001123
SINCAM005404	ENSLOCP00000001128
SINCAM002151	ENSLOCP00000001129
SINCAM000750	ENSLOCP00000001130
SINCAM013603	ENSLOCP00000001133
SINCAM011098	ENSLOCP00000001135
SINCAM012845	ENSLOCP00000001136
SINCAM003121	ENSLOCP00000001137
SINCAM006396	ENSLOCP00000001138
SINCAM010382	ENSLOCP00000001144
SINCAM009556	ENSLOCP00000001146
SINCAM008935	ENSLOCP00000001147
SINCAM001699	ENSLOCP00000001148
SINCAM013602	ENSLOCP00000001151
SINCAM012846	ENSLOCP00000001152
SINCAM007851	ENSLOCP00000001157
SINCAM011474	ENSLOCP00000001160
SINCAM006395	ENSLOCP00000001161
SINCAM015315	ENSLOCP00000001165
SINCAM006022	ENSLOCP00000001167
SINCAM003119	ENSLOCP00000001168
SINCAM010383	ENSLOCP00000001171
SINCAM000737	ENSLOCP00000001172
SINCAM001700	ENSLOCP00000001173
SINCAM016147	ENSLOCP00000001176
SINCAM921413	ENSLOCP00000001177
SINCAM008934	ENSLOCP00000001179
SINCAM000719	ENSLOCP00000001183
SINCAM006393	ENSLOCP00000001192
SINCAM011099	ENSLOCP00000001193
SINCAM008842	ENSLOCP00000001194
SINCAM006023	ENSLOCP00000001195
SINCAM921412	ENSLOCP00000001198
SINCAM009559	ENSLOCP00000001200
SINCAM001510	ENSLOCP00000001206
SINCAM011946	ENSLOCP00000001207
SINCAM000736	ENSLOCP00000001211
SINCAM013601	ENSLOCP00000001212
SINCAM005405	ENSLOCP00000001213
SINCAM003118	ENSLOCP00000001214
SINCAM009715	ENSLOCP00000001216
SINCAM015704	ENSLOCP00000001218
SINCAM900057	ENSLOCP00000001219
SINCAM920752	ENSLOCP00000001220
SINCAM008860	ENSLOCP00000001221
SINCAM922059	ENSLOCP00000001223
SINCAM011100	ENSLOCP00000001224
SINCAM006392	ENSLOCP00000001225
SINCAM009102	ENSLOCP00000001226
SINCAM009560	ENSLOCP00000001229
SINCAM003117	ENSLOCP00000001230
SINCAM920715	ENSLOCP00000001232
SINCAM921522	ENSLOCP00000001234
SINCAM011947	ENSLOCP00000001235
SINCAM008887	ENSLOCP00000001240
SINCAM011478	ENSLOCP00000001241
SINCAM010446	ENSLOCP00000001243
SINCAM009561	ENSLOCP00000001244
SINCAM011101	ENSLOCP00000001247
SINCAM013599	ENSLOCP00000001248
SINCAM012852	ENSLOCP00000001249
SINCAM008838	ENSLOCP00000001250
SINCAM000789	ENSLOCP00000001252
SINCAM006024	ENSLOCP00000001253
SINCAM007955	ENSLOCP00000001254
SINCAM002227	ENSLOCP00000001255
SINCAM920900	ENSLOCP00000001257
SINCAM004564	ENSLOCP00000001261
SINCAM011477	ENSLOCP00000001262
SINCAM010155	ENSLOCP00000001266
SINCAM008888	ENSLOCP00000001268
SINCAM008839	ENSLOCP00000001271
SINCAM011948	ENSLOCP00000001274
SINCAM012853	ENSLOCP00000001280
SINCAM004311	ENSLOCP00000001282
SINCAM006975	ENSLOCP00000001283
SINCAM015256	ENSLOCP00000001284
SINCAM011658	ENSLOCP00000001287
SINCAM013600	ENSLOCP00000001288
SINCAM002228	ENSLOCP00000001292
SINCAM010447	ENSLOCP00000001295
SINCAM011102	ENSLOCP00000001297
SINCAM012869	ENSLOCP00000001299
SINCAM014684	ENSLOCP00000001300
SINCAM005870	ENSLOCP00000001302
SINCAM008940	ENSLOCP00000001310
SINCAM010449	ENSLOCP00000001316
SINCAM921492	ENSLOCP00000001317
SINCAM920524	ENSLOCP00000001318
SINCAM004442	ENSLOCP00000001319
SINCAM013598	ENSLOCP00000001320
SINCAM013872	ENSLOCP00000001321
SINCAM018063	ENSLOCP00000001323
SINCAM011659	ENSLOCP00000001325
SINCAM011103	ENSLOCP00000001326
SINCAM011942	ENSLOCP00000001329
SINCAM002229	ENSLOCP00000001332
SINCAM012870	ENSLOCP00000001333
SINCAM000729	ENSLOCP00000001336
SINCAM008840	ENSLOCP00000001338
SINCAM004108	ENSLOCP00000001339
SINCAM013873	ENSLOCP00000001341
SINCAM006489	ENSLOCP00000001343
SINCAM002859	ENSLOCP00000001348
SINCAM005169	ENSLOCP00000001350
SINCAM011906	ENSLOCP00000001351
SINCAM000734	ENSLOCP00000001355
SINCAM000766	ENSLOCP00000001361
SINCAM002860	ENSLOCP00000001363
SINCAM923096	ENSLOCP00000001364
SINCAM007998	ENSLOCP00000001367
SINCAM005854	ENSLOCP00000001368
SINCAM005168	ENSLOCP00000001369
SINCAM920564	ENSLOCP00000001371
SINCAM011939	ENSLOCP00000001372
SINCAM011660	ENSLOCP00000001376
SINCAM010450	ENSLOCP00000001377
SINCAM007997	ENSLOCP00000001380
SINCAM008600	ENSLOCP00000001382
SINCAM000735	ENSLOCP00000001383
SINCAM006390	ENSLOCP00000001384
SINCAM002861	ENSLOCP00000001385
SINCAM920515	ENSLOCP00000001386
SINCAM011144	ENSLOCP00000001388
SINCAM002230	ENSLOCP00000001392
SINCAM008000	ENSLOCP00000001393
SINCAM004109	ENSLOCP00000001396
SINCAM008601	ENSLOCP00000001397
SINCAM000771	ENSLOCP00000001401
SINCAM011661	ENSLOCP00000001402
SINCAM922480	ENSLOCP00000001404
SINCAM010466	ENSLOCP00000001406
SINCAM002231	ENSLOCP00000001411
SINCAM008602	ENSLOCP00000001413
SINCAM005153	ENSLOCP00000001415
SINCAM014004	ENSLOCP00000001416
SINCAM011145	ENSLOCP00000001417
SINCAM010124	ENSLOCP00000001418
SINCAM000715	ENSLOCP00000001419
SINCAM005148	ENSLOCP00000001420
SINCAM002862	ENSLOCP00000001422
SINCAM006389	ENSLOCP00000001423
SINCAM010662	ENSLOCP00000001425
SINCAM010444	ENSLOCP00000001426
SINCAM008938	ENSLOCP00000001427
SINCAM921251	ENSLOCP00000001428
SINCAM015311	ENSLOCP00000001430
SINCAM004313	ENSLOCP00000001432
SINCAM922481	ENSLOCP00000001433
SINCAM921986	ENSLOCP00000001435
SINCAM009566	ENSLOCP00000001436
SINCAM011648	ENSLOCP00000001437
SINCAM000716	ENSLOCP00000001439
SINCAM013597	ENSLOCP00000001440
SINCAM008002	ENSLOCP00000001442
SINCAM002849	ENSLOCP00000001444
SINCAM006388	ENSLOCP00000001445
SINCAM008603	ENSLOCP00000001446
SINCAM922244	ENSLOCP00000001450
SINCAM014239	ENSLOCP00000001453
SINCAM920755	ENSLOCP00000001455
SINCAM006385	ENSLOCP00000001456
SINCAM010443	ENSLOCP00000001458
SINCAM921978	ENSLOCP00000001460
SINCAM005151	ENSLOCP00000001461
SINCAM920536	ENSLOCP00000001462
SINCAM013595	ENSLOCP00000001464
SINCAM008604	ENSLOCP00000001466
SINCAM011656	ENSLOCP00000001470
SINCAM015860	ENSLOCP00000001472
SINCAM013989	ENSLOCP00000001475
SINCAM006384	ENSLOCP00000001476
SINCAM004107	ENSLOCP00000001477
SINCAM920522	ENSLOCP00000001479
SINCAM922879	ENSLOCP00000001480
SINCAM012866	ENSLOCP00000001481
SINCAM008605	ENSLOCP00000001482
SINCAM921987	ENSLOCP00000001483
SINCAM009567	ENSLOCP00000001484
SINCAM001906	ENSLOCP00000001486
SINCAM005855	ENSLOCP00000001488
SINCAM005185	ENSLOCP00000001489
SINCAM922547	ENSLOCP00000001490
SINCAM004106	ENSLOCP00000001492
SINCAM017531	ENSLOCP00000001493
SINCAM011862	ENSLOCP00000001496
SINCAM001897	ENSLOCP00000001498
SINCAM004784	ENSLOCP00000001499
SINCAM008606	ENSLOCP00000001500
SINCAM922243	ENSLOCP00000001501
SINCAM014981	ENSLOCP00000001506
SINCAM015322	ENSLOCP00000001509
SINCAM000782	ENSLOCP00000001510
SINCAM922944	ENSLOCP00000001511
SINCAM001898	ENSLOCP00000001512
SINCAM922452	ENSLOCP00000001515
SINCAM004714	ENSLOCP00000001516
SINCAM005857	ENSLOCP00000001519
SINCAM011149	ENSLOCP00000001520
SINCAM009568	ENSLOCP00000001521
SINCAM008607	ENSLOCP00000001522
SINCAM011459	ENSLOCP00000001524
SINCAM010419	ENSLOCP00000001527
SINCAM013990	ENSLOCP00000001530
SINCAM920535	ENSLOCP00000001531
SINCAM006382	ENSLOCP00000001533
SINCAM005145	ENSLOCP00000001534
SINCAM922453	ENSLOCP00000001537
SINCAM010418	ENSLOCP00000001540
SINCAM009084	ENSLOCP00000001541
SINCAM000765	ENSLOCP00000001543
SINCAM011460	ENSLOCP00000001547
SINCAM011151	ENSLOCP00000001548
SINCAM005858	ENSLOCP00000001549
SINCAM001901	ENSLOCP00000001550
SINCAM008005	ENSLOCP00000001551
SINCAM012868	ENSLOCP00000001555
SINCAM009570	ENSLOCP00000001558
SINCAM015392	ENSLOCP00000001559
SINCAM922211	ENSLOCP00000001560
SINCAM004785	ENSLOCP00000001563
SINCAM010460	ENSLOCP00000001564
SINCAM011152	ENSLOCP00000001565
SINCAM012056	ENSLOCP00000001567
SINCAM009083	ENSLOCP00000001568
SINCAM006381	ENSLOCP00000001571
SINCAM922737	ENSLOCP00000001572
SINCAM001902	ENSLOCP00000001573
SINCAM008008	ENSLOCP00000001574
SINCAM004713	ENSLOCP00000001575
SINCAM014858	ENSLOCP00000001580
SINCAM014983	ENSLOCP00000001583
SINCAM008730	ENSLOCP00000001584
SINCAM010432	ENSLOCP00000001587
SINCAM011156	ENSLOCP00000001589
SINCAM009082	ENSLOCP00000001591
SINCAM001142	ENSLOCP00000001592
SINCAM009571	ENSLOCP00000001593
SINCAM007366	ENSLOCP00000001594
SINCAM002204	ENSLOCP00000001595
SINCAM012998	ENSLOCP00000001598
SINCAM007838	ENSLOCP00000001599
SINCAM920857	ENSLOCP00000001601
SINCAM002203	ENSLOCP00000001607
SINCAM920594	ENSLOCP00000001609
SINCAM013665	ENSLOCP00000001610
SINCAM010433	ENSLOCP00000001611
SINCAM007363	ENSLOCP00000001612
SINCAM005860	ENSLOCP00000001613
SINCAM011854	ENSLOCP00000001614
SINCAM015802	ENSLOCP00000001615
SINCAM006380	ENSLOCP00000001616
SINCAM008729	ENSLOCP00000001617
SINCAM004712	ENSLOCP00000001619
SINCAM921493	ENSLOCP00000001621
SINCAM012999	ENSLOCP00000001622
SINCAM007852	ENSLOCP00000001624
SINCAM011464	ENSLOCP00000001626
SINCAM000764	ENSLOCP00000001627
SINCAM002202	ENSLOCP00000001628
SINCAM011157	ENSLOCP00000001629
SINCAM015530	ENSLOCP00000001630
SINCAM010628	ENSLOCP00000001634
SINCAM006379	ENSLOCP00000001636
SINCAM001143	ENSLOCP00000001637
SINCAM921248	ENSLOCP00000001638
SINCAM002676	ENSLOCP00000001639
SINCAM004711	ENSLOCP00000001640
SINCAM005862	ENSLOCP00000001646
SINCAM011158	ENSLOCP00000001647
SINCAM000763	ENSLOCP00000001649
SINCAM007765	ENSLOCP00000001651
SINCAM002201	ENSLOCP00000001652
SINCAM013993	ENSLOCP00000001653
SINCAM014985	ENSLOCP00000001654
SINCAM004710	ENSLOCP00000001656
SINCAM001145	ENSLOCP00000001659
SINCAM013000	ENSLOCP00000001660
SINCAM009079	ENSLOCP00000001661
SINCAM005187	ENSLOCP00000001662
SINCAM013572	ENSLOCP00000001665
SINCAM004082	ENSLOCP00000001667
SINCAM007764	ENSLOCP00000001670
SINCAM013992	ENSLOCP00000001673
SINCAM011856	ENSLOCP00000001676
SINCAM011159	ENSLOCP00000001678
SINCAM920595	ENSLOCP00000001679
SINCAM009300	ENSLOCP00000001680
SINCAM010627	ENSLOCP00000001683
SINCAM011467	ENSLOCP00000001685
SINCAM011864	ENSLOCP00000001687
SINCAM005863	ENSLOCP00000001689
SINCAM009104	ENSLOCP00000001692
SINCAM007359	ENSLOCP00000001693
SINCAM013002	ENSLOCP00000001694
SINCAM922738	ENSLOCP00000001695
SINCAM005188	ENSLOCP00000001696
SINCAM010626	ENSLOCP00000001698
SINCAM011160	ENSLOCP00000001699
SINCAM004709	ENSLOCP00000001701
SINCAM001146	ENSLOCP00000001703
SINCAM003576	ENSLOCP00000001709
SINCAM007763	ENSLOCP00000001710
SINCAM007357	ENSLOCP00000001711
SINCAM011500	ENSLOCP00000001712
SINCAM001915	ENSLOCP00000001714
SINCAM009301	ENSLOCP00000001716
SINCAM920534	ENSLOCP00000001717
SINCAM002264	ENSLOCP00000001718
SINCAM005217	ENSLOCP00000001719
SINCAM004933	ENSLOCP00000001722
SINCAM007761	ENSLOCP00000001723
SINCAM008567	ENSLOCP00000001726
SINCAM007355	ENSLOCP00000001727
SINCAM922739	ENSLOCP00000001728
SINCAM011499	ENSLOCP00000001730
SINCAM010890	ENSLOCP00000001731
SINCAM009305	ENSLOCP00000001733
SINCAM002674	ENSLOCP00000001734
SINCAM006378	ENSLOCP00000001736
SINCAM007428	ENSLOCP00000001737
SINCAM011938	ENSLOCP00000001740
SINCAM005216	ENSLOCP00000001742
SINCAM013573	ENSLOCP00000001743
SINCAM013919	ENSLOCP00000001744
SINCAM011498	ENSLOCP00000001745
SINCAM000713	ENSLOCP00000001746
SINCAM001916	ENSLOCP00000001747
