ENSGALP00000038461	fgenesh2_pg.scaffold_351000043
ENSGALP00000003056	fgenesh2_pg.scaffold_391000010
ENSGALP00000025008	fgenesh2_pg.scaffold_391000010
ENSGALP00000005928	fgenesh2_pg.scaffold_391000023
ENSGALP00000006915	fgenesh2_pg.scaffold_391000033
ENSGALP00000025857	fgenesh2_pg.scaffold_391000033
ENSGALP00000002153	fgenesh2_pg.scaffold_393000027
ENSGALP00000039939	fgenesh2_pg.scaffold_394000030
ENSGALP00000034153	fgenesh2_pg.scaffold_394000039
ENSGALP00000018506	fgenesh2_pg.scaffold_395000037
ENSGALP00000018698	fgenesh2_pg.scaffold_396000027
ENSGALP00000030175	fgenesh2_pg.scaffold_396000027
ENSGALP00000024989	fgenesh2_pg.scaffold_398000059
ENSGALP00000000617	fgenesh2_pg.scaffold_399000031
ENSGALP00000020593	fgenesh2_pg.scaffold_400000010
ENSGALP00000041783	fgenesh2_pg.scaffold_400000012
ENSGALP00000006783	fgenesh2_pg.scaffold_400000031
ENSGALP00000017983	fgenesh2_pg.scaffold_402000006
ENSGALP00000017982	fgenesh2_pg.scaffold_402000006
ENSGALP00000001565	fgenesh2_pg.scaffold_402000021
ENSGALP00000006782	fgenesh2_pg.scaffold_402000028
ENSGALP00000033627	fgenesh2_pg.scaffold_403000003
ENSGALP00000014645	fgenesh2_pg.scaffold_403000022
ENSGALP00000032172	fgenesh2_pg.scaffold_403000023
ENSGALP00000041485	fgenesh2_pg.scaffold_403000023
ENSGALP00000041496	fgenesh2_pg.scaffold_403000023
ENSGALP00000025340	fgenesh2_pg.scaffold_403000025
ENSGALP00000012089	fgenesh2_pg.scaffold_405000003
ENSGALP00000041276	fgenesh2_pg.scaffold_406000006
ENSGALP00000002656	fgenesh2_pg.scaffold_406000014
ENSGALP00000011138	fgenesh2_pg.scaffold_406000028
ENSGALP00000017413	fgenesh2_pg.scaffold_407000028
ENSGALP00000041247	fgenesh2_pg.scaffold_409000002
ENSGALP00000016315	fgenesh2_pg.scaffold_410000005
ENSGALP00000033649	fgenesh2_pg.scaffold_410000008
ENSGALP00000003389	fgenesh2_pg.scaffold_410000031
ENSGALP00000014341	fgenesh2_pg.scaffold_411000041
ENSGALP00000017542	fgenesh2_pg.scaffold_412000032
ENSGALP00000016878	fgenesh2_pg.scaffold_413000015
ENSGALP00000002817	fgenesh2_pg.scaffold_413000015
ENSGALP00000014393	fgenesh2_pg.scaffold_413000023
ENSGALP00000002333	fgenesh2_pg.scaffold_413000024
ENSGALP00000012810	fgenesh2_pg.scaffold_414000003
ENSGALP00000042242	fgenesh2_pg.scaffold_414000018
ENSGALP00000016232	fgenesh2_pg.scaffold_414000023
ENSGALP00000010548	fgenesh2_pg.scaffold_415000003
ENSGALP00000012460	fgenesh2_pg.scaffold_415000039
ENSGALP00000006673	fgenesh2_pg.scaffold_416000004
ENSGALP00000032209	fgenesh2_pg.scaffold_416000027
ENSGALP00000000558	fgenesh2_pg.scaffold_417000011
ENSGALP00000037524	fgenesh2_pg.scaffold_417000012
ENSGALP00000010080	fgenesh2_pg.scaffold_417000012
ENSGALP00000022030	fgenesh2_pg.scaffold_418000016
ENSGALP00000025561	fgenesh2_pg.scaffold_418000024
ENSGALP00000007182	fgenesh2_pg.scaffold_421000002
ENSGALP00000023557	fgenesh2_pg.scaffold_421000008
ENSGALP00000006987	fgenesh2_pg.scaffold_421000017
ENSGALP00000025270	fgenesh2_pg.scaffold_421000019
ENSGALP00000023595	fgenesh2_pg.scaffold_421000023
ENSGALP00000021484	fgenesh2_pg.scaffold_422000008
ENSGALP00000034621	fgenesh2_pg.scaffold_422000020
ENSGALP00000011266	fgenesh2_pg.scaffold_422000031
ENSGALP00000001944	fgenesh2_pg.scaffold_423000012
ENSGALP00000008117	fgenesh2_pg.scaffold_423000012
ENSGALP00000031071	fgenesh2_pg.scaffold_423000016
ENSGALP00000028073	fgenesh2_pg.scaffold_423000017
ENSGALP00000042342	fgenesh2_pg.scaffold_423000025
ENSGALP00000013802	fgenesh2_pg.scaffold_425000008
ENSGALP00000027300	fgenesh2_pg.scaffold_426000022
ENSGALP00000013509	fgenesh2_pg.scaffold_426000048
ENSGALP00000033098	fgenesh2_pg.scaffold_427000017
ENSGALP00000039399	fgenesh2_pg.scaffold_428000009
ENSGALP00000027964	fgenesh2_pg.scaffold_429000008
ENSGALP00000020947	fgenesh2_pg.scaffold_429000016
ENSGALP00000010335	fgenesh2_pg.scaffold_430000006
ENSGALP00000001923	fgenesh2_pg.scaffold_432000042
ENSGALP00000008589	fgenesh2_pg.scaffold_433000013
ENSGALP00000015801	fgenesh2_pg.scaffold_434000033
ENSGALP00000017938	fgenesh2_pg.scaffold_435000006
ENSGALP00000015830	fgenesh2_pg.scaffold_435000031
ENSGALP00000007663	fgenesh2_pg.scaffold_436000014
ENSGALP00000000594	fgenesh2_pg.scaffold_436000015
ENSGALP00000016490	fgenesh2_pg.scaffold_436000040
ENSGALP00000017037	fgenesh2_pg.scaffold_437000002
ENSGALP00000008694	fgenesh2_pg.scaffold_437000014
ENSGALP00000003823	fgenesh2_pg.scaffold_438000005
ENSGALP00000039538	fgenesh2_pg.scaffold_438000005
ENSGALP00000041629	fgenesh2_pg.scaffold_438000005
ENSGALP00000039526	fgenesh2_pg.scaffold_438000005
ENSGALP00000041805	fgenesh2_pg.scaffold_438000005
ENSGALP00000017210	fgenesh2_pg.scaffold_438000009
ENSGALP00000004106	fgenesh2_pg.scaffold_439000005
ENSGALP00000030509	fgenesh2_pg.scaffold_439000015
ENSGALP00000000894	fgenesh2_pg.scaffold_439000020
ENSGALP00000026790	fgenesh2_pg.scaffold_439000027
ENSGALP00000001366	fgenesh2_pg.scaffold_440000010
ENSGALP00000011210	fgenesh2_pg.scaffold_442000010
ENSGALP00000037960	fgenesh2_pg.scaffold_442000012
ENSGALP00000020421	fgenesh2_pg.scaffold_442000051
ENSGALP00000033190	fgenesh2_pg.scaffold_442000053
ENSGALP00000004490	fgenesh2_pg.scaffold_443000004
ENSGALP00000042554	fgenesh2_pg.scaffold_445000011
ENSGALP00000017221	fgenesh2_pg.scaffold_446000010
ENSGALP00000017349	fgenesh2_pg.scaffold_446000018
ENSGALP00000017880	fgenesh2_pg.scaffold_446000029
ENSGALP00000004536	fgenesh2_pg.scaffold_447000005
ENSGALP00000000107	fgenesh2_pg.scaffold_447000026
ENSGALP00000020790	fgenesh2_pg.scaffold_448000007
ENSGALP00000031442	fgenesh2_pg.scaffold_449000021
ENSGALP00000004750	fgenesh2_pg.scaffold_450000016
ENSGALP00000024774	fgenesh2_pg.scaffold_450000016
ENSGALP00000015122	fgenesh2_pg.scaffold_450000016
ENSGALP00000003813	fgenesh2_pg.scaffold_450000022
ENSGALP00000004735	fgenesh2_pg.scaffold_450000023
ENSGALP00000007997	fgenesh2_pg.scaffold_451000018
ENSGALP00000028961	fgenesh2_pg.scaffold_451000018
ENSGALP00000035930	fgenesh2_pg.scaffold_451000023
ENSGALP00000027119	fgenesh2_pg.scaffold_451000028
ENSGALP00000040783	fgenesh2_pg.scaffold_452000028
ENSGALP00000011886	fgenesh2_pg.scaffold_452000029
ENSGALP00000004991	fgenesh2_pg.scaffold_452000036
ENSGALP00000042647	fgenesh2_pg.scaffold_452000039
ENSGALP00000043179	fgenesh2_pg.scaffold_452000042
ENSGALP00000003663	fgenesh2_pg.scaffold_453000017
ENSGALP00000005856	fgenesh2_pg.scaffold_454000007
ENSGALP00000008696	fgenesh2_pg.scaffold_454000010
ENSGALP00000032727	fgenesh2_pg.scaffold_455000014
ENSGALP00000013010	fgenesh2_pg.scaffold_457000007
ENSGALP00000024947	fgenesh2_pg.scaffold_458000006
ENSGALP00000029812	fgenesh2_pg.scaffold_458000006
ENSGALP00000027934	fgenesh2_pg.scaffold_458000013
ENSGALP00000015450	fgenesh2_pg.scaffold_458000014
ENSGALP00000042495	fgenesh2_pg.scaffold_458000015
ENSGALP00000001499	fgenesh2_pg.scaffold_458000016
ENSGALP00000014476	fgenesh2_pg.scaffold_458000017
ENSGALP00000008899	fgenesh2_pg.scaffold_458000024
ENSGALP00000024470	fgenesh2_pg.scaffold_459000002
ENSGALP00000032152	fgenesh2_pg.scaffold_459000008
ENSGALP00000034396	fgenesh2_pg.scaffold_459000028
ENSGALP00000008547	fgenesh2_pg.scaffold_459000031
ENSGALP00000015448	fgenesh2_pg.scaffold_459000040
ENSGALP00000040666	fgenesh2_pg.scaffold_460000014
ENSGALP00000031462	fgenesh2_pg.scaffold_460000017
ENSGALP00000023279	fgenesh2_pg.scaffold_463000016
ENSGALP00000038611	fgenesh2_pg.scaffold_463000018
ENSGALP00000042675	fgenesh2_pg.scaffold_463000026
ENSGALP00000000206	fgenesh2_pg.scaffold_463000032
ENSGALP00000011505	fgenesh2_pg.scaffold_463000045
ENSGALP00000004185	fgenesh2_pg.scaffold_463000051
ENSGALP00000040930	fgenesh2_pg.scaffold_463000052
ENSGALP00000008657	fgenesh2_pg.scaffold_464000003
ENSGALP00000025609	fgenesh2_pg.scaffold_466000008
ENSGALP00000009550	fgenesh2_pg.scaffold_466000018
ENSGALP00000018364	fgenesh2_pg.scaffold_466000032
ENSGALP00000024825	fgenesh2_pg.scaffold_467000005
ENSGALP00000017524	fgenesh2_pg.scaffold_468000016
ENSGALP00000017662	fgenesh2_pg.scaffold_468000019
ENSGALP00000020312	fgenesh2_pg.scaffold_470000027
ENSGALP00000014365	fgenesh2_pg.scaffold_471000021
ENSGALP00000039341	fgenesh2_pg.scaffold_472000004
ENSGALP00000034019	fgenesh2_pg.scaffold_474000016
ENSGALP00000024178	fgenesh2_pg.scaffold_477000035
ENSGALP00000038976	fgenesh2_pg.scaffold_478000027
ENSGALP00000022084	fgenesh2_pg.scaffold_479000027
ENSGALP00000042816	fgenesh2_pg.scaffold_480000011
ENSGALP00000042872	fgenesh2_pg.scaffold_480000020
ENSGALP00000013729	fgenesh2_pg.scaffold_481000007
ENSGALP00000012928	fgenesh2_pg.scaffold_481000007
ENSGALP00000029378	fgenesh2_pg.scaffold_482000016
ENSGALP00000025750	fgenesh2_pg.scaffold_482000017
ENSGALP00000013127	fgenesh2_pg.scaffold_484000012
ENSGALP00000020127	fgenesh2_pg.scaffold_484000017
ENSGALP00000027517	fgenesh2_pg.scaffold_484000017
ENSGALP00000007017	fgenesh2_pg.scaffold_484000027
ENSGALP00000005327	fgenesh2_pg.scaffold_484000031
ENSGALP00000030904	fgenesh2_pg.scaffold_485000010
ENSGALP00000010260	fgenesh2_pg.scaffold_486000005
ENSGALP00000032226	fgenesh2_pg.scaffold_486000033
ENSGALP00000004773	fgenesh2_pg.scaffold_487000001
ENSGALP00000019451	fgenesh2_pg.scaffold_487000004
ENSGALP00000021415	fgenesh2_pg.scaffold_488000010
ENSGALP00000008146	fgenesh2_pg.scaffold_489000019
ENSGALP00000011319	fgenesh2_pg.scaffold_489000023
ENSGALP00000007252	fgenesh2_pg.scaffold_491000016
ENSGALP00000033888	fgenesh2_pg.scaffold_493000035
ENSGALP00000043073	fgenesh2_pg.scaffold_495000016
ENSGALP00000024081	fgenesh2_pg.scaffold_497000007
ENSGALP00000003637	fgenesh2_pg.scaffold_498000008
ENSGALP00000040703	fgenesh2_pg.scaffold_498000021
ENSGALP00000037199	fgenesh2_pg.scaffold_499000014
ENSGALP00000020295	fgenesh2_pg.scaffold_499000014
ENSGALP00000042018	fgenesh2_pg.scaffold_499000021
ENSGALP00000036265	fgenesh2_pg.scaffold_500000011
ENSGALP00000015719	fgenesh2_pg.scaffold_503000011
ENSGALP00000006182	fgenesh2_pg.scaffold_504000008
ENSGALP00000041876	fgenesh2_pg.scaffold_504000018
ENSGALP00000006060	fgenesh2_pg.scaffold_504000024
ENSGALP00000018190	fgenesh2_pg.scaffold_505000007
ENSGALP00000023612	fgenesh2_pg.scaffold_505000017
ENSGALP00000040867	fgenesh2_pg.scaffold_505000017
ENSGALP00000040258	fgenesh2_pg.scaffold_505000023
ENSGALP00000026801	fgenesh2_pg.scaffold_505000025
ENSGALP00000023408	fgenesh2_pg.scaffold_506000005
ENSGALP00000026085	fgenesh2_pg.scaffold_506000009
ENSGALP00000037681	fgenesh2_pg.scaffold_508000019
ENSGALP00000008992	fgenesh2_pg.scaffold_508000037
ENSGALP00000010459	fgenesh2_pg.scaffold_508000037
ENSGALP00000017762	fgenesh2_pg.scaffold_509000004
ENSGALP00000033415	fgenesh2_pg.scaffold_510000010
ENSGALP00000032142	fgenesh2_pg.scaffold_512000023
ENSGALP00000006424	fgenesh2_pg.scaffold_513000012
ENSGALP00000037700	fgenesh2_pg.scaffold_513000013
ENSGALP00000031773	fgenesh2_pg.scaffold_513000020
ENSGALP00000025922	fgenesh2_pg.scaffold_514000007
ENSGALP00000002452	fgenesh2_pg.scaffold_514000010
ENSGALP00000024575	fgenesh2_pg.scaffold_515000012
ENSGALP00000003681	fgenesh2_pg.scaffold_515000017
ENSGALP00000014318	fgenesh2_pg.scaffold_515000023
ENSGALP00000030480	fgenesh2_pg.scaffold_517000019
ENSGALP00000041568	fgenesh2_pg.scaffold_517000029
ENSGALP00000033069	fgenesh2_pg.scaffold_518000005
ENSGALP00000002091	fgenesh2_pg.scaffold_518000005
ENSGALP00000003001	fgenesh2_pg.scaffold_518000008
ENSGALP00000014751	fgenesh2_pg.scaffold_519000014
ENSGALP00000043465	fgenesh2_pg.scaffold_523000001
ENSGALP00000005252	fgenesh2_pg.scaffold_523000003
ENSGALP00000003005	fgenesh2_pg.scaffold_523000003
ENSGALP00000015904	fgenesh2_pg.scaffold_523000021
ENSGALP00000017666	fgenesh2_pg.scaffold_525000001
ENSGALP00000013480	fgenesh2_pg.scaffold_525000003
ENSGALP00000012489	fgenesh2_pg.scaffold_525000006
ENSGALP00000026360	fgenesh2_pg.scaffold_525000008
ENSGALP00000007794	fgenesh2_pg.scaffold_526000017
ENSGALP00000026400	fgenesh2_pg.scaffold_527000023
ENSGALP00000038673	fgenesh2_pg.scaffold_530000010
ENSGALP00000042216	fgenesh2_pg.scaffold_530000026
ENSGALP00000041681	fgenesh2_pg.scaffold_531000012
ENSGALP00000015790	fgenesh2_pg.scaffold_532000013
ENSGALP00000035750	fgenesh2_pg.scaffold_532000027
ENSGALP00000008504	fgenesh2_pg.scaffold_534000029
ENSGALP00000004043	fgenesh2_pg.scaffold_538000002
ENSGALP00000042318	fgenesh2_pg.scaffold_538000020
ENSGALP00000009427	fgenesh2_pg.scaffold_539000010
ENSGALP00000043409	fgenesh2_pg.scaffold_539000020
ENSGALP00000041042	fgenesh2_pg.scaffold_540000007
ENSGALP00000006273	fgenesh2_pg.scaffold_541000006
ENSGALP00000042581	fgenesh2_pg.scaffold_543000003
ENSGALP00000008067	fgenesh2_pg.scaffold_544000022
ENSGALP00000013515	fgenesh2_pg.scaffold_546000014
ENSGALP00000030153	fgenesh2_pg.scaffold_546000016
ENSGALP00000041015	fgenesh2_pg.scaffold_546000020
ENSGALP00000042292	fgenesh2_pg.scaffold_546000024
ENSGALP00000003261	fgenesh2_pg.scaffold_550000002
ENSGALP00000007511	fgenesh2_pg.scaffold_550000018
ENSGALP00000008693	fgenesh2_pg.scaffold_551000019
ENSGALP00000038990	fgenesh2_pg.scaffold_553000031
ENSGALP00000022936	fgenesh2_pg.scaffold_554000005
ENSGALP00000017313	fgenesh2_pg.scaffold_555000013
ENSGALP00000040272	fgenesh2_pg.scaffold_555000018
ENSGALP00000039637	fgenesh2_pg.scaffold_555000019
ENSGALP00000009702	fgenesh2_pg.scaffold_557000031
ENSGALP00000002401	fgenesh2_pg.scaffold_558000025
ENSGALP00000022836	fgenesh2_pg.scaffold_559000012
ENSGALP00000033856	fgenesh2_pg.scaffold_560000005
ENSGALP00000008226	fgenesh2_pg.scaffold_560000009
ENSGALP00000009021	fgenesh2_pg.scaffold_560000010
ENSGALP00000037982	fgenesh2_pg.scaffold_560000010
ENSGALP00000006929	fgenesh2_pg.scaffold_560000014
ENSGALP00000002078	fgenesh2_pg.scaffold_561000002
ENSGALP00000003907	fgenesh2_pg.scaffold_561000009
ENSGALP00000008095	fgenesh2_pg.scaffold_562000005
ENSGALP00000039726	fgenesh2_pg.scaffold_562000008
ENSGALP00000017644	fgenesh2_pg.scaffold_562000008
ENSGALP00000017642	fgenesh2_pg.scaffold_562000008
ENSGALP00000000070	fgenesh2_pg.scaffold_562000014
ENSGALP00000006730	fgenesh2_pg.scaffold_562000024
ENSGALP00000031203	fgenesh2_pg.scaffold_563000003
ENSGALP00000039198	fgenesh2_pg.scaffold_563000015
ENSGALP00000024715	fgenesh2_pg.scaffold_565000009
ENSGALP00000025557	fgenesh2_pg.scaffold_565000015
ENSGALP00000027624	fgenesh2_pg.scaffold_565000027
ENSGALP00000040756	fgenesh2_pg.scaffold_567000003
ENSGALP00000020518	fgenesh2_pg.scaffold_568000011
ENSGALP00000018169	fgenesh2_pg.scaffold_569000009
ENSGALP00000001268	fgenesh2_pg.scaffold_569000013
ENSGALP00000037364	fgenesh2_pg.scaffold_569000023
ENSGALP00000039502	fgenesh2_pg.scaffold_569000026
ENSGALP00000020053	fgenesh2_pg.scaffold_569000028
ENSGALP00000023470	fgenesh2_pg.scaffold_570000027
ENSGALP00000006047	fgenesh2_pg.scaffold_571000001
ENSGALP00000040567	fgenesh2_pg.scaffold_571000003
ENSGALP00000041595	fgenesh2_pg.scaffold_572000011
ENSGALP00000016204	fgenesh2_pg.scaffold_573000007
ENSGALP00000024894	fgenesh2_pg.scaffold_573000008
ENSGALP00000041151	fgenesh2_pg.scaffold_574000004
ENSGALP00000029076	fgenesh2_pg.scaffold_574000008
ENSGALP00000040790	fgenesh2_pg.scaffold_574000017
ENSGALP00000013003	fgenesh2_pg.scaffold_575000005
ENSGALP00000011221	fgenesh2_pg.scaffold_575000007
ENSGALP00000003221	fgenesh2_pg.scaffold_575000015
ENSGALP00000034622	fgenesh2_pg.scaffold_575000019
ENSGALP00000026490	fgenesh2_pg.scaffold_576000025
ENSGALP00000036359	fgenesh2_pg.scaffold_577000002
ENSGALP00000018765	fgenesh2_pg.scaffold_577000023
ENSGALP00000010744	fgenesh2_pg.scaffold_578000013
ENSGALP00000039332	fgenesh2_pg.scaffold_579000007
ENSGALP00000006352	fgenesh2_pg.scaffold_579000023
ENSGALP00000008062	fgenesh2_pg.scaffold_579000025
ENSGALP00000023598	fgenesh2_pg.scaffold_579000026
ENSGALP00000002080	fgenesh2_pg.scaffold_580000013
ENSGALP00000038130	fgenesh2_pg.scaffold_582000010
ENSGALP00000032180	fgenesh2_pg.scaffold_582000017
ENSGALP00000017661	fgenesh2_pg.scaffold_583000018
ENSGALP00000020054	fgenesh2_pg.scaffold_584000015
ENSGALP00000023882	fgenesh2_pg.scaffold_584000024
ENSGALP00000041513	fgenesh2_pg.scaffold_586000007
ENSGALP00000002549	fgenesh2_pg.scaffold_586000023
ENSGALP00000034720	fgenesh2_pg.scaffold_588000015
ENSGALP00000038578	fgenesh2_pg.scaffold_588000016
ENSGALP00000034624	fgenesh2_pg.scaffold_589000005
ENSGALP00000020711	fgenesh2_pg.scaffold_591000004
ENSGALP00000036811	fgenesh2_pg.scaffold_592000013
ENSGALP00000039931	fgenesh2_pg.scaffold_593000012
ENSGALP00000039039	fgenesh2_pg.scaffold_594000007
ENSGALP00000015317	fgenesh2_pg.scaffold_594000013
ENSGALP00000005109	fgenesh2_pg.scaffold_594000018
ENSGALP00000016409	fgenesh2_pg.scaffold_595000012
ENSGALP00000013639	fgenesh2_pg.scaffold_595000017
ENSGALP00000015703	fgenesh2_pg.scaffold_599000001
ENSGALP00000012646	fgenesh2_pg.scaffold_600000005
ENSGALP00000041980	fgenesh2_pg.scaffold_602000011
ENSGALP00000013410	fgenesh2_pg.scaffold_604000005
ENSGALP00000022839	fgenesh2_pg.scaffold_604000005
ENSGALP00000018828	fgenesh2_pg.scaffold_604000007
ENSGALP00000019033	fgenesh2_pg.scaffold_604000012
ENSGALP00000041782	fgenesh2_pg.scaffold_606000003
ENSGALP00000015057	fgenesh2_pg.scaffold_608000013
ENSGALP00000010977	fgenesh2_pg.scaffold_610000011
ENSGALP00000022465	fgenesh2_pg.scaffold_610000014
ENSGALP00000001323	fgenesh2_pg.scaffold_611000001
ENSGALP00000027501	fgenesh2_pg.scaffold_611000002
ENSGALP00000010695	fgenesh2_pg.scaffold_612000026
ENSGALP00000004649	fgenesh2_pg.scaffold_612000032
ENSGALP00000042284	fgenesh2_pg.scaffold_614000011
ENSGALP00000042281	fgenesh2_pg.scaffold_614000013
ENSGALP00000001828	fgenesh2_pg.scaffold_616000012
ENSGALP00000010694	fgenesh2_pg.scaffold_617000003
ENSGALP00000014661	fgenesh2_pg.scaffold_617000003
ENSGALP00000001521	fgenesh2_pg.scaffold_618000006
ENSGALP00000017870	fgenesh2_pg.scaffold_618000015
ENSGALP00000025658	fgenesh2_pg.scaffold_621000005
ENSGALP00000014844	fgenesh2_pg.scaffold_623000001
ENSGALP00000013160	fgenesh2_pg.scaffold_624000011
ENSGALP00000010925	fgenesh2_pg.scaffold_626000005
ENSGALP00000002117	fgenesh2_pg.scaffold_626000017
ENSGALP00000041614	fgenesh2_pg.scaffold_627000015
ENSGALP00000027421	fgenesh2_pg.scaffold_628000010
ENSGALP00000020563	fgenesh2_pg.scaffold_629000003
ENSGALP00000016550	fgenesh2_pg.scaffold_629000004
ENSGALP00000041088	fgenesh2_pg.scaffold_629000014
ENSGALP00000039710	fgenesh2_pg.scaffold_630000005
ENSGALP00000011462	fgenesh2_pg.scaffold_630000009
ENSGALP00000001360	fgenesh2_pg.scaffold_631000010
ENSGALP00000039987	fgenesh2_pg.scaffold_631000016
ENSGALP00000042644	fgenesh2_pg.scaffold_632000004
ENSGALP00000041796	fgenesh2_pg.scaffold_632000016
ENSGALP00000036419	fgenesh2_pg.scaffold_632000019
ENSGALP00000033747	fgenesh2_pg.scaffold_632000019
