ENSGALP00000000002	SINCAM006085
ENSGALP00000000626	SINCAM922874
ENSGALP00000000634	SINCAM003096
ENSGALP00000000638	SINCAM014325
ENSGALP00000000639	SINCAM012728
ENSGALP00000000643	SINCAM012729
ENSGALP00000000645	SINCAM014326
ENSGALP00000000647	SINCAM911046
ENSGALP00000000657	SINCAM013745
ENSGALP00000000663	SINCAM014167
ENSGALP00000000666	SINCAM000482
ENSGALP00000000669	SINCAM922749
ENSGALP00000000670	SINCAM012730
ENSGALP00000000677	SINCAM922753
ENSGALP00000000679	SINCAM922541
ENSGALP00000000693	SINCAM013744
ENSGALP00000000694	SINCAM009030
ENSGALP00000000696	SINCAM013481
ENSGALP00000000699	SINCAM012266
ENSGALP00000000701	SINCAM010463
ENSGALP00000000702	SINCAM013669
ENSGALP00000000703	SINCAM009559
ENSGALP00000000704	SINCAM010464
ENSGALP00000000711	SINCAM922540
ENSGALP00000000713	SINCAM009021
ENSGALP00000000715	SINCAM900050
ENSGALP00000000716	SINCAM010465
ENSGALP00000000719	SINCAM014371
ENSGALP00000000720	SINCAM922527
ENSGALP00000000726	SINCAM009020
ENSGALP00000000727	SINCAM010446
ENSGALP00000000730	SINCAM013664
ENSGALP00000000734	SINCAM922528
ENSGALP00000000737	SINCAM014396
ENSGALP00000000738	SINCAM013663
ENSGALP00000000742	SINCAM013521
ENSGALP00000000744	SINCAM922059
ENSGALP00000000747	SINCAM012126
ENSGALP00000000748	SINCAM921764
ENSGALP00000000749	SINCAM009019
ENSGALP00000000756	SINCAM012123
ENSGALP00000000758	SINCAM010018
ENSGALP00000000759	SINCAM012670
ENSGALP00000000760	SINCAM921770
ENSGALP00000000762	SINCAM922058
ENSGALP00000000765	SINCAM013522
ENSGALP00000000775	SINCAM012719
ENSGALP00000000778	SINCAM012230
ENSGALP00000000782	SINCAM013569
ENSGALP00000000791	SINCAM012245
ENSGALP00000000792	SINCAM921772
ENSGALP00000000805	SINCAM012718
ENSGALP00000000810	SINCAM013523
ENSGALP00000000814	SINCAM012246
ENSGALP00000000815	SINCAM014178
ENSGALP00000000818	SINCAM012122
ENSGALP00000000823	SINCAM014590
ENSGALP00000000830	SINCAM013528
ENSGALP00000000832	SINCAM921773
ENSGALP00000000835	SINCAM922443
ENSGALP00000000843	SINCAM009000
ENSGALP00000000847	SINCAM012242
ENSGALP00000000853	SINCAM922057
ENSGALP00000000855	SINCAM922056
ENSGALP00000000860	SINCAM013825
ENSGALP00000000862	SINCAM012121
ENSGALP00000000864	SINCAM012727
ENSGALP00000000871	SINCAM012275
ENSGALP00000000874	SINCAM009002
ENSGALP00000000875	SINCAM012710
ENSGALP00000000876	SINCAM009003
ENSGALP00000000880	SINCAM012209
ENSGALP00000000882	SINCAM012308
ENSGALP00000000883	SINCAM010310
ENSGALP00000000885	SINCAM013525
ENSGALP00000000889	SINCAM013827
ENSGALP00000000893	SINCAM922440
ENSGALP00000000894	SINCAM010309
ENSGALP00000000896	SINCAM010308
ENSGALP00000000899	SINCAM013831
ENSGALP00000000906	SINCAM012143
ENSGALP00000000907	SINCAM013832
ENSGALP00000000908	SINCAM010307
ENSGALP00000000909	SINCAM012116
ENSGALP00000000911	SINCAM010432
ENSGALP00000000913	SINCAM011292
ENSGALP00000000916	SINCAM009372
ENSGALP00000000921	SINCAM010460
ENSGALP00000000924	SINCAM013798
ENSGALP00000000926	SINCAM012113
ENSGALP00000000927	SINCAM010418
ENSGALP00000000929	SINCAM012112
ENSGALP00000000930	SINCAM010419
ENSGALP00000000933	SINCAM010421
ENSGALP00000000940	SINCAM009011
ENSGALP00000000941	SINCAM922496
ENSGALP00000000945	SINCAM010422
ENSGALP00000000947	SINCAM008960
ENSGALP00000000948	SINCAM012110
ENSGALP00000000954	SINCAM013547
ENSGALP00000000955	SINCAM921757
ENSGALP00000000958	SINCAM921775
ENSGALP00000000960	SINCAM922494
ENSGALP00000000961	SINCAM016213
ENSGALP00000000965	SINCAM922493
ENSGALP00000000966	SINCAM013548
ENSGALP00000000968	SINCAM011380
ENSGALP00000000971	SINCAM921411
ENSGALP00000000975	SINCAM010433
ENSGALP00000000981	SINCAM012107
ENSGALP00000000989	SINCAM010416
ENSGALP00000000992	SINCAM012106
ENSGALP00000000995	SINCAM012160
ENSGALP00000000998	SINCAM015315
ENSGALP00000000999	SINCAM010415
ENSGALP00000001002	SINCAM012159
ENSGALP00000001004	SINCAM013677
ENSGALP00000001006	SINCAM012158
ENSGALP00000001007	SINCAM010412
ENSGALP00000001013	SINCAM013678
ENSGALP00000001014	SINCAM014935
ENSGALP00000001016	SINCAM012157
ENSGALP00000001025	SINCAM012156
ENSGALP00000001026	SINCAM900072
ENSGALP00000001030	SINCAM921769
ENSGALP00000001033	SINCAM012357
ENSGALP00000001041	SINCAM008984
ENSGALP00000001044	SINCAM004991
ENSGALP00000001048	SINCAM008982
ENSGALP00000001050	SINCAM012751
ENSGALP00000001051	SINCAM008981
ENSGALP00000001054	SINCAM008980
ENSGALP00000001057	SINCAM012210
ENSGALP00000001068	SINCAM012154
ENSGALP00000001091	SINCAM004993
ENSGALP00000001096	SINCAM012213
ENSGALP00000001104	SINCAM921413
ENSGALP00000001107	SINCAM001877
ENSGALP00000001108	SINCAM922608
ENSGALP00000001109	SINCAM922365
ENSGALP00000001115	SINCAM010597
ENSGALP00000001118	SINCAM010016
ENSGALP00000001121	SINCAM012214
ENSGALP00000001125	SINCAM008979
ENSGALP00000001129	SINCAM010619
ENSGALP00000001132	SINCAM921759
ENSGALP00000001135	SINCAM012746
ENSGALP00000001145	SINCAM921760
ENSGALP00000001147	SINCAM922490
ENSGALP00000001151	SINCAM922481
ENSGALP00000001157	SINCAM010618
ENSGALP00000001161	SINCAM010430
ENSGALP00000001163	SINCAM010629
ENSGALP00000001166	SINCAM012864
ENSGALP00000001168	SINCAM922320
ENSGALP00000001179	SINCAM010429
ENSGALP00000001187	SINCAM922489
ENSGALP00000001189	SINCAM010435
ENSGALP00000001191	SINCAM012877
ENSGALP00000001192	SINCAM921762
ENSGALP00000001195	SINCAM015316
ENSGALP00000001201	SINCAM009740
ENSGALP00000001205	SINCAM922455
ENSGALP00000001210	SINCAM004994
ENSGALP00000001219	SINCAM922369
ENSGALP00000001221	SINCAM922506
ENSGALP00000001225	SINCAM015318
ENSGALP00000001227	SINCAM004995
ENSGALP00000001231	SINCAM008971
ENSGALP00000001233	SINCAM922370
ENSGALP00000001234	SINCAM012874
ENSGALP00000001239	SINCAM922371
ENSGALP00000001241	SINCAM007993
ENSGALP00000001243	SINCAM010478
ENSGALP00000001246	SINCAM922716
ENSGALP00000001248	SINCAM010042
ENSGALP00000001249	SINCAM007994
ENSGALP00000001251	SINCAM008973
ENSGALP00000001253	SINCAM012166
ENSGALP00000001254	SINCAM013518
ENSGALP00000001257	SINCAM922103
ENSGALP00000001262	SINCAM008975
ENSGALP00000001263	SINCAM012167
ENSGALP00000001268	SINCAM014689
ENSGALP00000001272	SINCAM014694
ENSGALP00000001275	SINCAM007772
ENSGALP00000001277	SINCAM000246
ENSGALP00000001278	SINCAM009045
ENSGALP00000001281	SINCAM013517
ENSGALP00000001286	SINCAM010644
ENSGALP00000001287	SINCAM010479
ENSGALP00000001292	SINCAM010643
ENSGALP00000001293	SINCAM009049
ENSGALP00000001294	SINCAM010480
ENSGALP00000001295	SINCAM012168
ENSGALP00000001296	SINCAM010047
ENSGALP00000001298	SINCAM010640
ENSGALP00000001302	SINCAM010641
ENSGALP00000001306	SINCAM922511
ENSGALP00000001307	SINCAM008838
ENSGALP00000001310	SINCAM012169
ENSGALP00000001312	SINCAM010303
ENSGALP00000001313	SINCAM002665
ENSGALP00000001315	SINCAM009050
ENSGALP00000001317	SINCAM012196
ENSGALP00000001318	SINCAM001550
ENSGALP00000001319	SINCAM000113
ENSGALP00000001320	SINCAM012195
ENSGALP00000001322	SINCAM009051
ENSGALP00000001323	SINCAM922170
ENSGALP00000001328	SINCAM007996
ENSGALP00000001332	SINCAM010423
ENSGALP00000001334	SINCAM010424
ENSGALP00000001335	SINCAM921440
ENSGALP00000001338	SINCAM012170
ENSGALP00000001340	SINCAM010427
ENSGALP00000001341	SINCAM013566
ENSGALP00000001350	SINCAM013567
ENSGALP00000001351	SINCAM922499
ENSGALP00000001353	SINCAM009053
ENSGALP00000001360	SINCAM007997
ENSGALP00000001365	SINCAM008840
ENSGALP00000001366	SINCAM008839
ENSGALP00000001370	SINCAM008000
ENSGALP00000001372	SINCAM001411
ENSGALP00000001374	SINCAM008001
ENSGALP00000001377	SINCAM922717
ENSGALP00000001381	SINCAM922709
ENSGALP00000001390	SINCAM009052
ENSGALP00000001392	SINCAM008857
ENSGALP00000001394	SINCAM010053
ENSGALP00000001399	SINCAM010054
ENSGALP00000001400	SINCAM008002
ENSGALP00000001405	SINCAM014746
ENSGALP00000001406	SINCAM012325
ENSGALP00000001409	SINCAM013882
ENSGALP00000001411	SINCAM013270
ENSGALP00000001412	SINCAM921785
ENSGALP00000001415	SINCAM017233
ENSGALP00000001418	SINCAM012387
ENSGALP00000001422	SINCAM000408
ENSGALP00000001428	SINCAM013618
ENSGALP00000001432	SINCAM013895
ENSGALP00000001434	SINCAM922879
ENSGALP00000001439	SINCAM013619
ENSGALP00000001440	SINCAM013620
ENSGALP00000001441	SINCAM008005
ENSGALP00000001443	SINCAM013621
ENSGALP00000001446	SINCAM013692
ENSGALP00000001447	SINCAM009033
ENSGALP00000001448	SINCAM922559
ENSGALP00000001451	SINCAM011854
ENSGALP00000001452	SINCAM007878
ENSGALP00000001456	SINCAM013412
ENSGALP00000001461	SINCAM921758
ENSGALP00000001464	SINCAM008008
ENSGALP00000001468	SINCAM011018
ENSGALP00000001470	SINCAM012873
ENSGALP00000001471	SINCAM013413
ENSGALP00000001472	SINCAM921766
ENSGALP00000001473	SINCAM010612
ENSGALP00000001474	SINCAM008010
ENSGALP00000001475	SINCAM012379
ENSGALP00000001477	SINCAM008011
ENSGALP00000001479	SINCAM921765
ENSGALP00000001483	SINCAM922724
ENSGALP00000001491	SINCAM010634
ENSGALP00000001493	SINCAM008012
ENSGALP00000001499	SINCAM922725
ENSGALP00000001501	SINCAM010636
ENSGALP00000001507	SINCAM013416
ENSGALP00000001510	SINCAM921706
ENSGALP00000001512	SINCAM008014
ENSGALP00000001521	SINCAM013417
ENSGALP00000001522	SINCAM008855
ENSGALP00000001525	SINCAM922479
ENSGALP00000001526	SINCAM008856
ENSGALP00000001527	SINCAM011108
ENSGALP00000001528	SINCAM922705
ENSGALP00000001531	SINCAM922478
ENSGALP00000001532	SINCAM012377
ENSGALP00000001533	SINCAM008013
ENSGALP00000001554	SINCAM008853
ENSGALP00000001555	SINCAM920564
ENSGALP00000001557	SINCAM010059
ENSGALP00000001565	SINCAM011859
ENSGALP00000001568	SINCAM008019
ENSGALP00000001572	SINCAM003100
ENSGALP00000001577	SINCAM013857
ENSGALP00000001578	SINCAM012037
ENSGALP00000001579	SINCAM013542
ENSGALP00000001581	SINCAM900287
ENSGALP00000001583	SINCAM013806
ENSGALP00000001587	SINCAM012035
ENSGALP00000001588	SINCAM013805
ENSGALP00000001589	SINCAM012960
ENSGALP00000001591	SINCAM008415
ENSGALP00000001595	SINCAM003103
ENSGALP00000001598	SINCAM013856
ENSGALP00000001605	SINCAM921531
ENSGALP00000001610	SINCAM922706
ENSGALP00000001611	SINCAM013803
ENSGALP00000001613	SINCAM013541
ENSGALP00000001617	SINCAM922707
ENSGALP00000001633	SINCAM012183
ENSGALP00000001635	SINCAM922485
ENSGALP00000001637	SINCAM005290
ENSGALP00000001655	SINCAM008030
ENSGALP00000001658	SINCAM013044
ENSGALP00000001660	SINCAM013013
ENSGALP00000001661	SINCAM014229
ENSGALP00000001664	SINCAM008548
ENSGALP00000001674	SINCAM012375
ENSGALP00000001681	SINCAM013800
ENSGALP00000001684	SINCAM012185
ENSGALP00000001685	SINCAM012935
ENSGALP00000001688	SINCAM012768
ENSGALP00000001689	SINCAM008547
ENSGALP00000001693	SINCAM012767
ENSGALP00000001704	SINCAM008546
ENSGALP00000001710	SINCAM000688
ENSGALP00000001713	SINCAM007379
ENSGALP00000001717	SINCAM013861
ENSGALP00000001721	SINCAM012766
ENSGALP00000001726	SINCAM012374
ENSGALP00000001729	SINCAM013974
ENSGALP00000001734	SINCAM012653
ENSGALP00000001738	SINCAM008032
ENSGALP00000001741	SINCAM010177
ENSGALP00000001745	SINCAM013862
ENSGALP00000001750	SINCAM013409
ENSGALP00000001751	SINCAM012652
ENSGALP00000001762	SINCAM013822
ENSGALP00000001764	SINCAM921722
ENSGALP00000001765	SINCAM013863
ENSGALP00000001772	SINCAM012759
ENSGALP00000001774	SINCAM013821
ENSGALP00000001777	SINCAM008560
ENSGALP00000001784	SINCAM009105
ENSGALP00000001786	SINCAM006564
ENSGALP00000001788	SINCAM016180
ENSGALP00000001791	SINCAM012034
ENSGALP00000001796	SINCAM010592
ENSGALP00000001799	SINCAM013479
ENSGALP00000001800	SINCAM008035
ENSGALP00000001801	SINCAM010562
ENSGALP00000001803	SINCAM006565
ENSGALP00000001804	SINCAM013477
ENSGALP00000001806	SINCAM013866
ENSGALP00000001812	SINCAM013874
ENSGALP00000001819	SINCAM007484
ENSGALP00000001821	SINCAM014292
ENSGALP00000001823	SINCAM010013
ENSGALP00000001828	SINCAM013820
ENSGALP00000001832	SINCAM009450
ENSGALP00000001834	SINCAM010495
ENSGALP00000001836	SINCAM922200
ENSGALP00000001839	SINCAM009451
ENSGALP00000001840	SINCAM010563
ENSGALP00000001845	SINCAM009452
ENSGALP00000001848	SINCAM011828
ENSGALP00000001850	SINCAM010594
ENSGALP00000001853	SINCAM013819
ENSGALP00000001856	SINCAM008036
ENSGALP00000001859	SINCAM922199
ENSGALP00000001860	SINCAM922198
ENSGALP00000001862	SINCAM013816
ENSGALP00000001866	SINCAM011814
ENSGALP00000001869	SINCAM922097
ENSGALP00000001872	SINCAM012802
ENSGALP00000001875	SINCAM921536
ENSGALP00000001877	SINCAM012611
ENSGALP00000001879	SINCAM010011
ENSGALP00000001882	SINCAM921461
ENSGALP00000001888	SINCAM012800
ENSGALP00000001890	SINCAM010014
ENSGALP00000001891	SINCAM008908
ENSGALP00000001896	SINCAM013870
ENSGALP00000001898	SINCAM001359
ENSGALP00000001900	SINCAM008037
ENSGALP00000001903	SINCAM010015
ENSGALP00000001906	SINCAM922096
ENSGALP00000001909	SINCAM004011
ENSGALP00000001912	SINCAM012648
ENSGALP00000001914	SINCAM008910
ENSGALP00000001923	SINCAM008832
ENSGALP00000001924	SINCAM921727
ENSGALP00000001929	SINCAM012189
ENSGALP00000001932	SINCAM012797
ENSGALP00000001936	SINCAM013813
ENSGALP00000001938	SINCAM004433
ENSGALP00000001940	SINCAM013005
ENSGALP00000001944	SINCAM007944
ENSGALP00000001947	SINCAM009453
ENSGALP00000001949	SINCAM013871
ENSGALP00000001953	SINCAM013410
ENSGALP00000001955	SINCAM013411
ENSGALP00000001956	SINCAM013695
ENSGALP00000001957	SINCAM008911
ENSGALP00000001962	SINCAM009454
ENSGALP00000001966	SINCAM012987
ENSGALP00000001970	SINCAM921728
ENSGALP00000001973	SINCAM013327
ENSGALP00000001978	SINCAM008586
ENSGALP00000001981	SINCAM007709
ENSGALP00000001984	SINCAM922561
ENSGALP00000001986	SINCAM013872
ENSGALP00000001991	SINCAM013325
ENSGALP00000001992	SINCAM008993
ENSGALP00000001994	SINCAM012655
ENSGALP00000001995	SINCAM007708
ENSGALP00000001997	SINCAM008584
ENSGALP00000002001	SINCAM013324
ENSGALP00000002007	SINCAM001015
ENSGALP00000002009	SINCAM012182
ENSGALP00000002014	SINCAM012656
ENSGALP00000002016	SINCAM013221
ENSGALP00000002020	SINCAM013015
ENSGALP00000002021	SINCAM008992
ENSGALP00000002025	SINCAM922710
ENSGALP00000002028	SINCAM922384
ENSGALP00000002030	SINCAM011766
ENSGALP00000002036	SINCAM007947
ENSGALP00000002038	SINCAM013697
ENSGALP00000002039	SINCAM922202
ENSGALP00000002041	SINCAM013222
ENSGALP00000002045	SINCAM013912
ENSGALP00000002046	SINCAM013016
ENSGALP00000002049	SINCAM012181
ENSGALP00000002052	SINCAM008990
ENSGALP00000002055	SINCAM007949
ENSGALP00000002056	SINCAM012657
ENSGALP00000002063	SINCAM922094
ENSGALP00000002066	SINCAM007950
ENSGALP00000002078	SINCAM008583
ENSGALP00000002080	SINCAM010017
ENSGALP00000002083	SINCAM922565
ENSGALP00000002086	SINCAM012180
ENSGALP00000002088	SINCAM013913
ENSGALP00000002091	SINCAM012179
ENSGALP00000002092	SINCAM013701
ENSGALP00000002093	SINCAM012660
ENSGALP00000002095	SINCAM013227
ENSGALP00000002096	SINCAM013017
ENSGALP00000002098	SINCAM012178
ENSGALP00000002102	SINCAM013702
ENSGALP00000002103	SINCAM010010
ENSGALP00000002106	SINCAM007705
ENSGALP00000002109	SINCAM921704
ENSGALP00000002112	SINCAM007992
ENSGALP00000002114	SINCAM006837
ENSGALP00000002117	SINCAM013703
ENSGALP00000002119	SINCAM013152
ENSGALP00000002121	SINCAM007706
ENSGALP00000002124	SINCAM013020
ENSGALP00000002138	SINCAM013914
ENSGALP00000002143	SINCAM010155
ENSGALP00000002144	SINCAM921703
ENSGALP00000002147	SINCAM008989
ENSGALP00000002150	SINCAM013254
ENSGALP00000002153	SINCAM012862
ENSGALP00000002154	SINCAM007703
ENSGALP00000002155	SINCAM010068
ENSGALP00000002157	SINCAM922697
ENSGALP00000002160	SINCAM007991
ENSGALP00000002168	SINCAM009901
ENSGALP00000002170	SINCAM007702
ENSGALP00000002171	SINCAM922726
ENSGALP00000002172	SINCAM008987
ENSGALP00000002175	SINCAM010069
ENSGALP00000002180	SINCAM012664
ENSGALP00000002182	SINCAM007700
ENSGALP00000002183	SINCAM010070
ENSGALP00000002186	SINCAM012172
ENSGALP00000002189	SINCAM010568
ENSGALP00000002193	SINCAM008985
ENSGALP00000002194	SINCAM009599
ENSGALP00000002196	SINCAM010072
ENSGALP00000002197	SINCAM920894
ENSGALP00000002201	SINCAM900172
ENSGALP00000002203	SINCAM013902
ENSGALP00000002205	SINCAM012171
ENSGALP00000002206	SINCAM921788
ENSGALP00000002212	SINCAM009588
ENSGALP00000002216	SINCAM009041
ENSGALP00000002218	SINCAM012576
ENSGALP00000002221	SINCAM008580
ENSGALP00000002224	SINCAM922699
ENSGALP00000002228	SINCAM013903
ENSGALP00000002233	SINCAM013704
ENSGALP00000002234	SINCAM007987
ENSGALP00000002235	SINCAM009037
ENSGALP00000002236	SINCAM012099
ENSGALP00000002238	SINCAM007333
ENSGALP00000002240	SINCAM008578
ENSGALP00000002241	SINCAM012100
ENSGALP00000002242	SINCAM010000
ENSGALP00000002244	SINCAM009461
ENSGALP00000002246	SINCAM013764
ENSGALP00000002248	SINCAM007374
ENSGALP00000002252	SINCAM012853
ENSGALP00000002254	SINCAM009109
ENSGALP00000002256	SINCAM013761
ENSGALP00000002257	SINCAM009462
ENSGALP00000002259	SINCAM013904
ENSGALP00000002263	SINCAM922393
ENSGALP00000002266	SINCAM007375
ENSGALP00000002269	SINCAM009587
ENSGALP00000002277	SINCAM010075
ENSGALP00000002278	SINCAM007376
ENSGALP00000002279	SINCAM009108
ENSGALP00000002281	SINCAM012665
ENSGALP00000002287	SINCAM009467
ENSGALP00000002289	SINCAM010086
ENSGALP00000002295	SINCAM012103
ENSGALP00000002297	SINCAM007988
ENSGALP00000002302	SINCAM013759
ENSGALP00000002304	SINCAM009107
ENSGALP00000002306	SINCAM012666
ENSGALP00000002310	SINCAM013907
ENSGALP00000002312	SINCAM011824
ENSGALP00000002315	SINCAM013322
ENSGALP00000002319	SINCAM013757
ENSGALP00000002322	SINCAM013908
ENSGALP00000002328	SINCAM010570
ENSGALP00000002331	SINCAM009586
ENSGALP00000002333	SINCAM011823
ENSGALP00000002338	SINCAM009106
ENSGALP00000002340	SINCAM013753
ENSGALP00000002343	SINCAM014086
ENSGALP00000002345	SINCAM012852
ENSGALP00000002348	SINCAM008577
ENSGALP00000002352	SINCAM011802
ENSGALP00000002355	SINCAM013706
ENSGALP00000002356	SINCAM014881
ENSGALP00000002359	SINCAM007378
ENSGALP00000002362	SINCAM922552
ENSGALP00000002364	SINCAM013868
ENSGALP00000002366	SINCAM012079
ENSGALP00000002368	SINCAM004454
ENSGALP00000002372	SINCAM012367
ENSGALP00000002377	SINCAM007989
ENSGALP00000002380	SINCAM009585
ENSGALP00000002382	SINCAM011800
ENSGALP00000002385	SINCAM012851
ENSGALP00000002388	SINCAM013249
ENSGALP00000002393	SINCAM007384
ENSGALP00000002394	SINCAM012368
ENSGALP00000002398	SINCAM012849
ENSGALP00000002401	SINCAM007990
ENSGALP00000002403	SINCAM001446
ENSGALP00000002406	SINCAM013250
ENSGALP00000002407	SINCAM007387
ENSGALP00000002409	SINCAM009357
ENSGALP00000002413	SINCAM003454
ENSGALP00000002414	SINCAM012846
ENSGALP00000002419	SINCAM012845
ENSGALP00000002420	SINCAM013346
ENSGALP00000002423	SINCAM013659
ENSGALP00000002426	SINCAM922085
ENSGALP00000002436	SINCAM013890
ENSGALP00000002441	SINCAM009067
ENSGALP00000002442	SINCAM012647
ENSGALP00000002444	SINCAM014342
ENSGALP00000002449	SINCAM922626
ENSGALP00000002451	SINCAM012646
ENSGALP00000002452	SINCAM009583
ENSGALP00000002455	SINCAM013174
ENSGALP00000002458	SINCAM013271
ENSGALP00000002461	SINCAM007391
ENSGALP00000002465	SINCAM008574
ENSGALP00000002466	SINCAM012645
ENSGALP00000002472	SINCAM009354
ENSGALP00000002474	SINCAM007392
ENSGALP00000002477	SINCAM922627
ENSGALP00000002479	SINCAM012644
ENSGALP00000002491	SINCAM008562
ENSGALP00000002492	SINCAM014343
ENSGALP00000002493	SINCAM013348
ENSGALP00000002495	SINCAM010573
ENSGALP00000002497	SINCAM007938
ENSGALP00000002498	SINCAM013660
ENSGALP00000002501	SINCAM009066
ENSGALP00000002502	SINCAM922836
ENSGALP00000002505	SINCAM922116
ENSGALP00000002508	SINCAM013272
ENSGALP00000002511	SINCAM002408
