ENSACAP00000000005	SINCAM006024
ENSACAP00000000144	SINCAM002990
ENSACAP00000000145	SINCAM012074
ENSACAP00000000146	SINCAM922724
ENSACAP00000000147	SINCAM005129
ENSACAP00000000148	SINCAM002475
ENSACAP00000000151	SINCAM006109
ENSACAP00000000152	SINCAM013895
ENSACAP00000000155	SINCAM006638
ENSACAP00000000156	SINCAM008136
ENSACAP00000000158	SINCAM002484
ENSACAP00000000159	SINCAM002647
ENSACAP00000000160	SINCAM005442
ENSACAP00000000161	SINCAM008135
ENSACAP00000000162	SINCAM008134
ENSACAP00000000163	SINCAM013893
ENSACAP00000000164	SINCAM008154
ENSACAP00000000166	SINCAM002441
ENSACAP00000000168	SINCAM005443
ENSACAP00000000169	SINCAM008156
ENSACAP00000000170	SINCAM007024
ENSACAP00000000171	SINCAM008157
ENSACAP00000000172	SINCAM920923
ENSACAP00000000174	SINCAM013788
ENSACAP00000000175	SINCAM003498
ENSACAP00000000177	SINCAM012075
ENSACAP00000000178	SINCAM017233
ENSACAP00000000179	SINCAM004152
ENSACAP00000000180	SINCAM014256
ENSACAP00000000181	SINCAM008838
ENSACAP00000000182	SINCAM002999
ENSACAP00000000183	SINCAM002646
ENSACAP00000000185	SINCAM013208
ENSACAP00000000186	SINCAM923036
ENSACAP00000000187	SINCAM002672
ENSACAP00000000188	SINCAM008158
ENSACAP00000000189	SINCAM012463
ENSACAP00000000190	SINCAM002645
ENSACAP00000000191	SINCAM922709
ENSACAP00000000192	SINCAM012464
ENSACAP00000000193	SINCAM921636
ENSACAP00000000194	SINCAM921584
ENSACAP00000000195	SINCAM012467
ENSACAP00000000197	SINCAM900179
ENSACAP00000000199	SINCAM004523
ENSACAP00000000200	SINCAM921637
ENSACAP00000000202	SINCAM011333
ENSACAP00000000204	SINCAM013884
ENSACAP00000000208	SINCAM923068
ENSACAP00000000209	SINCAM014255
ENSACAP00000000212	SINCAM001416
ENSACAP00000000214	SINCAM017408
ENSACAP00000000215	SINCAM013882
ENSACAP00000000218	SINCAM013881
ENSACAP00000000220	SINCAM012468
ENSACAP00000000221	SINCAM014247
ENSACAP00000000222	SINCAM013615
ENSACAP00000000223	SINCAM014977
ENSACAP00000000226	SINCAM000806
ENSACAP00000000228	SINCAM013254
ENSACAP00000000229	SINCAM921415
ENSACAP00000000232	SINCAM008831
ENSACAP00000000233	SINCAM000807
ENSACAP00000000234	SINCAM921756
ENSACAP00000000238	SINCAM009011
ENSACAP00000000239	SINCAM003001
ENSACAP00000000241	SINCAM004525
ENSACAP00000000242	SINCAM002979
ENSACAP00000000243	SINCAM009012
ENSACAP00000000245	SINCAM012470
ENSACAP00000000247	SINCAM000174
ENSACAP00000000249	SINCAM014253
ENSACAP00000000250	SINCAM005869
ENSACAP00000000251	SINCAM004526
ENSACAP00000000252	SINCAM013207
ENSACAP00000000255	SINCAM002673
ENSACAP00000000256	SINCAM001562
ENSACAP00000000257	SINCAM921421
ENSACAP00000000261	SINCAM013206
ENSACAP00000000263	SINCAM000810
ENSACAP00000000265	SINCAM001925
ENSACAP00000000266	SINCAM003467
ENSACAP00000000267	SINCAM009955
ENSACAP00000000269	SINCAM007850
ENSACAP00000000270	SINCAM002674
ENSACAP00000000271	SINCAM001927
ENSACAP00000000272	SINCAM920711
ENSACAP00000000274	SINCAM009165
ENSACAP00000000277	SINCAM012473
ENSACAP00000000281	SINCAM012474
ENSACAP00000000283	SINCAM001930
ENSACAP00000000284	SINCAM003002
ENSACAP00000000285	SINCAM000175
ENSACAP00000000287	SINCAM007618
ENSACAP00000000290	SINCAM004509
ENSACAP00000000292	SINCAM009013
ENSACAP00000000293	SINCAM006395
ENSACAP00000000296	SINCAM002129
ENSACAP00000000299	SINCAM006921
ENSACAP00000000303	SINCAM001931
ENSACAP00000000306	SINCAM006792
ENSACAP00000000310	SINCAM008160
ENSACAP00000000314	SINCAM012733
ENSACAP00000000317	SINCAM003003
ENSACAP00000000319	SINCAM007838
ENSACAP00000000320	SINCAM922067
ENSACAP00000000324	SINCAM012870
ENSACAP00000000325	SINCAM007775
ENSACAP00000000326	SINCAM920947
ENSACAP00000000329	SINCAM010688
ENSACAP00000000330	SINCAM003283
ENSACAP00000000332	SINCAM014891
ENSACAP00000000333	SINCAM003469
ENSACAP00000000334	SINCAM004468
ENSACAP00000000336	SINCAM921148
ENSACAP00000000339	SINCAM001564
ENSACAP00000000342	SINCAM003004
ENSACAP00000000344	SINCAM004988
ENSACAP00000000346	SINCAM920493
ENSACAP00000000349	SINCAM000464
ENSACAP00000000351	SINCAM921079
ENSACAP00000000352	SINCAM004333
ENSACAP00000000353	SINCAM001808
ENSACAP00000000355	SINCAM920572
ENSACAP00000000356	SINCAM000437
ENSACAP00000000357	SINCAM009279
ENSACAP00000000358	SINCAM014296
ENSACAP00000000360	SINCAM005550
ENSACAP00000000361	SINCAM014380
ENSACAP00000000362	SINCAM004989
ENSACAP00000000366	SINCAM922715
ENSACAP00000000370	SINCAM013726
ENSACAP00000000371	SINCAM009421
ENSACAP00000000372	SINCAM922285
ENSACAP00000000373	SINCAM005717
ENSACAP00000000374	SINCAM006396
ENSACAP00000000377	SINCAM009002
ENSACAP00000000378	SINCAM008162
ENSACAP00000000379	SINCAM921868
ENSACAP00000000380	SINCAM012475
ENSACAP00000000381	SINCAM007143
ENSACAP00000000384	SINCAM000724
ENSACAP00000000386	SINCAM921976
ENSACAP00000000388	SINCAM001891
ENSACAP00000000389	SINCAM004242
ENSACAP00000000390	SINCAM012775
ENSACAP00000000391	SINCAM012797
ENSACAP00000000392	SINCAM922001
ENSACAP00000000393	SINCAM008708
ENSACAP00000000395	SINCAM921552
ENSACAP00000000396	SINCAM004111
ENSACAP00000000401	SINCAM921762
ENSACAP00000000402	SINCAM011403
ENSACAP00000000405	SINCAM010753
ENSACAP00000000408	SINCAM004568
ENSACAP00000000414	SINCAM006233
ENSACAP00000000416	SINCAM000328
ENSACAP00000000417	SINCAM015275
ENSACAP00000000418	SINCAM013877
ENSACAP00000000419	SINCAM010785
ENSACAP00000000422	SINCAM003616
ENSACAP00000000423	SINCAM004911
ENSACAP00000000424	SINCAM008272
ENSACAP00000000425	SINCAM013222
ENSACAP00000000427	SINCAM005549
ENSACAP00000000440	SINCAM009545
ENSACAP00000000442	SINCAM013017
ENSACAP00000000443	SINCAM008547
ENSACAP00000000444	SINCAM922357
ENSACAP00000000445	SINCAM014382
ENSACAP00000000446	SINCAM000329
ENSACAP00000000448	SINCAM007084
ENSACAP00000000450	SINCAM014295
ENSACAP00000000452	SINCAM004470
ENSACAP00000000453	SINCAM922026
ENSACAP00000000456	SINCAM003702
ENSACAP00000000458	SINCAM922065
ENSACAP00000000459	SINCAM005718
ENSACAP00000000462	SINCAM013611
ENSACAP00000000465	SINCAM000327
ENSACAP00000000467	SINCAM003772
ENSACAP00000000468	SINCAM001169
ENSACAP00000000469	SINCAM010928
ENSACAP00000000470	SINCAM004478
ENSACAP00000000471	SINCAM006418
ENSACAP00000000472	SINCAM010356
ENSACAP00000000474	SINCAM011055
ENSACAP00000000477	SINCAM013023
ENSACAP00000000480	SINCAM016703
ENSACAP00000000489	SINCAM013725
ENSACAP00000000490	SINCAM001551
ENSACAP00000000492	SINCAM004466
ENSACAP00000000493	SINCAM004492
ENSACAP00000000494	SINCAM000884
ENSACAP00000000495	SINCAM921598
ENSACAP00000000496	SINCAM017507
ENSACAP00000000497	SINCAM008583
ENSACAP00000000503	SINCAM012993
ENSACAP00000000505	SINCAM009001
ENSACAP00000000507	SINCAM013612
ENSACAP00000000510	SINCAM004479
ENSACAP00000000511	SINCAM001170
ENSACAP00000000514	SINCAM008612
ENSACAP00000000517	SINCAM003028
ENSACAP00000000518	SINCAM922712
ENSACAP00000000522	SINCAM004565
ENSACAP00000000527	SINCAM003646
ENSACAP00000000528	SINCAM004566
ENSACAP00000000530	SINCAM008896
ENSACAP00000000531	SINCAM008340
ENSACAP00000000532	SINCAM000765
ENSACAP00000000533	SINCAM004480
ENSACAP00000000535	SINCAM008164
ENSACAP00000000537	SINCAM013892
ENSACAP00000000545	SINCAM003771
ENSACAP00000000546	SINCAM008855
ENSACAP00000000548	SINCAM003701
ENSACAP00000000550	SINCAM921955
ENSACAP00000000552	SINCAM002847
ENSACAP00000000554	SINCAM014067
ENSACAP00000000555	SINCAM002000
ENSACAP00000000556	SINCAM008266
ENSACAP00000000557	SINCAM004909
ENSACAP00000000558	SINCAM008009
ENSACAP00000000559	SINCAM008267
ENSACAP00000000560	SINCAM920537
ENSACAP00000000564	SINCAM009625
ENSACAP00000000565	SINCAM002007
ENSACAP00000000569	SINCAM000176
ENSACAP00000000577	SINCAM008543
ENSACAP00000000579	SINCAM001889
ENSACAP00000000582	SINCAM001488
ENSACAP00000000583	SINCAM011072
ENSACAP00000000585	SINCAM017407
ENSACAP00000000587	SINCAM922821
ENSACAP00000000589	SINCAM008584
ENSACAP00000000594	SINCAM921615
ENSACAP00000000595	SINCAM000681
ENSACAP00000000596	SINCAM008856
ENSACAP00000000597	SINCAM001892
ENSACAP00000000599	SINCAM000776
ENSACAP00000000600	SINCAM001023
ENSACAP00000000602	SINCAM009626
ENSACAP00000000603	SINCAM008853
ENSACAP00000000604	SINCAM012477
ENSACAP00000000605	SINCAM004465
ENSACAP00000000607	SINCAM009317
ENSACAP00000000609	SINCAM014640
ENSACAP00000000611	SINCAM003849
ENSACAP00000000612	SINCAM011219
ENSACAP00000000615	SINCAM007472
ENSACAP00000000616	SINCAM003590
ENSACAP00000000617	SINCAM002010
ENSACAP00000000618	SINCAM003850
ENSACAP00000000624	SINCAM005401
ENSACAP00000000625	SINCAM005604
ENSACAP00000000626	SINCAM921851
ENSACAP00000000627	SINCAM921954
ENSACAP00000000629	SINCAM000460
ENSACAP00000000630	SINCAM921992
ENSACAP00000000634	SINCAM002641
ENSACAP00000000635	SINCAM920821
ENSACAP00000000636	SINCAM922904
ENSACAP00000000638	SINCAM008339
ENSACAP00000000639	SINCAM921420
ENSACAP00000000640	SINCAM008131
ENSACAP00000000641	SINCAM015256
ENSACAP00000000643	SINCAM007393
ENSACAP00000000644	SINCAM003851
ENSACAP00000000645	SINCAM007141
ENSACAP00000000646	SINCAM008338
ENSACAP00000000647	SINCAM003767
ENSACAP00000000648	SINCAM011218
ENSACAP00000000650	SINCAM003577
ENSACAP00000000652	SINCAM900194
ENSACAP00000000653	SINCAM001171
ENSACAP00000000654	SINCAM001035
ENSACAP00000000656	SINCAM009119
ENSACAP00000000658	SINCAM002011
ENSACAP00000000659	SINCAM007140
ENSACAP00000000660	SINCAM009427
ENSACAP00000000661	SINCAM004908
ENSACAP00000000663	SINCAM009544
ENSACAP00000000664	SINCAM003515
ENSACAP00000000666	SINCAM002002
ENSACAP00000000667	SINCAM014341
ENSACAP00000000669	SINCAM002639
ENSACAP00000000670	SINCAM009788
ENSACAP00000000672	SINCAM008544
ENSACAP00000000674	SINCAM002003
ENSACAP00000000675	SINCAM008336
ENSACAP00000000676	SINCAM006466
ENSACAP00000000677	SINCAM006402
ENSACAP00000000678	SINCAM921431
ENSACAP00000000679	SINCAM013058
ENSACAP00000000680	SINCAM004464
ENSACAP00000000681	SINCAM921857
ENSACAP00000000682	SINCAM006243
ENSACAP00000000684	SINCAM005719
ENSACAP00000000685	SINCAM005946
ENSACAP00000000687	SINCAM006403
ENSACAP00000000688	SINCAM002005
ENSACAP00000000690	SINCAM011657
ENSACAP00000000691	SINCAM006642
ENSACAP00000000692	SINCAM003483
ENSACAP00000000694	SINCAM010358
ENSACAP00000000696	SINCAM009957
ENSACAP00000000697	SINCAM008586
ENSACAP00000000698	SINCAM000879
ENSACAP00000000700	SINCAM006202
ENSACAP00000000701	SINCAM015371
ENSACAP00000000702	SINCAM922447
ENSACAP00000000703	SINCAM920727
ENSACAP00000000705	SINCAM003766
ENSACAP00000000706	SINCAM004481
ENSACAP00000000707	SINCAM007488
ENSACAP00000000708	SINCAM005716
ENSACAP00000000709	SINCAM004385
ENSACAP00000000711	SINCAM003383
ENSACAP00000000712	SINCAM009126
ENSACAP00000000714	SINCAM002006
ENSACAP00000000715	SINCAM008335
ENSACAP00000000716	SINCAM921885
ENSACAP00000000717	SINCAM008613
ENSACAP00000000720	SINCAM010674
ENSACAP00000000722	SINCAM003700
ENSACAP00000000723	SINCAM006640
ENSACAP00000000725	SINCAM014343
ENSACAP00000000726	SINCAM012478
ENSACAP00000000727	SINCAM001894
ENSACAP00000000730	SINCAM007216
ENSACAP00000000732	SINCAM011891
ENSACAP00000000733	SINCAM920704
ENSACAP00000000734	SINCAM005945
ENSACAP00000000739	SINCAM015548
ENSACAP00000000740	SINCAM014373
ENSACAP00000000741	SINCAM003765
ENSACAP00000000745	SINCAM008166
ENSACAP00000000746	SINCAM013890
ENSACAP00000000747	SINCAM007082
ENSACAP00000000753	SINCAM001489
ENSACAP00000000754	SINCAM921185
ENSACAP00000000756	SINCAM004429
ENSACAP00000000759	SINCAM009426
ENSACAP00000000761	SINCAM002290
ENSACAP00000000762	SINCAM006639
ENSACAP00000000766	SINCAM922588
ENSACAP00000000772	SINCAM922836
ENSACAP00000000775	SINCAM007391
ENSACAP00000000777	SINCAM009627
ENSACAP00000000778	SINCAM900195
ENSACAP00000000780	SINCAM921284
ENSACAP00000000782	SINCAM014163
ENSACAP00000000783	SINCAM011661
ENSACAP00000000784	SINCAM007101
ENSACAP00000000786	SINCAM922280
ENSACAP00000000787	SINCAM008804
ENSACAP00000000788	SINCAM009148
ENSACAP00000000791	SINCAM007081
ENSACAP00000000792	SINCAM001036
ENSACAP00000000793	SINCAM010833
ENSACAP00000000795	SINCAM001723
ENSACAP00000000796	SINCAM013868
ENSACAP00000000798	SINCAM004384
ENSACAP00000000799	SINCAM009425
ENSACAP00000000800	SINCAM007218
ENSACAP00000000802	SINCAM922886
ENSACAP00000000803	SINCAM006800
ENSACAP00000000804	SINCAM002349
ENSACAP00000000805	SINCAM009150
ENSACAP00000000806	SINCAM003384
ENSACAP00000000807	SINCAM009136
ENSACAP00000000808	SINCAM004482
ENSACAP00000000809	SINCAM003514
ENSACAP00000000810	SINCAM010680
ENSACAP00000000812	SINCAM922835
ENSACAP00000000813	SINCAM920555
ENSACAP00000000814	SINCAM004494
ENSACAP00000000817	SINCAM003780
ENSACAP00000000820	SINCAM921773
ENSACAP00000000822	SINCAM009682
ENSACAP00000000823	SINCAM921705
ENSACAP00000000824	SINCAM004710
ENSACAP00000000825	SINCAM015178
ENSACAP00000000826	SINCAM000958
ENSACAP00000000827	SINCAM001631
ENSACAP00000000830	SINCAM005944
ENSACAP00000000831	SINCAM006203
ENSACAP00000000832	SINCAM010832
ENSACAP00000000833	SINCAM921324
ENSACAP00000000834	SINCAM001960
ENSACAP00000000836	SINCAM005180
ENSACAP00000000838	SINCAM921772
ENSACAP00000000839	SINCAM011339
ENSACAP00000000840	SINCAM006200
ENSACAP00000000841	SINCAM000322
ENSACAP00000000842	SINCAM003774
ENSACAP00000000845	SINCAM921198
ENSACAP00000000846	SINCAM006799
ENSACAP00000000847	SINCAM013908
ENSACAP00000000850	SINCAM007968
ENSACAP00000000851	SINCAM009424
ENSACAP00000000853	SINCAM013465
ENSACAP00000000854	SINCAM002013
ENSACAP00000000855	SINCAM003588
ENSACAP00000000856	SINCAM004709
ENSACAP00000000859	SINCAM005943
ENSACAP00000000860	SINCAM017183
ENSACAP00000000861	SINCAM012412
ENSACAP00000000863	SINCAM921400
ENSACAP00000000864	SINCAM008577
ENSACAP00000000865	SINCAM004261
ENSACAP00000000868	SINCAM001959
ENSACAP00000000869	SINCAM010637
ENSACAP00000000870	SINCAM922891
ENSACAP00000000872	SINCAM008333
ENSACAP00000000873	SINCAM007219
ENSACAP00000000874	SINCAM004484
ENSACAP00000000875	SINCAM921728
ENSACAP00000000877	SINCAM001932
ENSACAP00000000878	SINCAM001172
ENSACAP00000000879	SINCAM921196
ENSACAP00000000882	SINCAM007080
ENSACAP00000000887	SINCAM006262
ENSACAP00000000888	SINCAM000459
ENSACAP00000000889	SINCAM921914
ENSACAP00000000894	SINCAM008130
ENSACAP00000000897	SINCAM920434
ENSACAP00000000898	SINCAM007971
ENSACAP00000000899	SINCAM920597
ENSACAP00000000901	SINCAM009684
ENSACAP00000000902	SINCAM011892
ENSACAP00000000904	SINCAM010831
ENSACAP00000000905	SINCAM000960
ENSACAP00000000906	SINCAM000961
ENSACAP00000000907	SINCAM921770
ENSACAP00000000911	SINCAM921369
ENSACAP00000000912	SINCAM008756
ENSACAP00000000916	SINCAM013907
ENSACAP00000000917	SINCAM006798
ENSACAP00000000920	SINCAM013904
ENSACAP00000000921	SINCAM006151
ENSACAP00000000922	SINCAM000771
ENSACAP00000000924	SINCAM003763
ENSACAP00000000925	SINCAM007390
ENSACAP00000000926	SINCAM003007
ENSACAP00000000929	SINCAM014162
ENSACAP00000000932	SINCAM900201
ENSACAP00000000933	SINCAM921419
ENSACAP00000000934	SINCAM007802
ENSACAP00000000936	SINCAM007670
ENSACAP00000000937	SINCAM007387
ENSACAP00000000941	SINCAM014984
ENSACAP00000000945	SINCAM011217
ENSACAP00000000946	SINCAM003134
ENSACAP00000000948	SINCAM003500
ENSACAP00000000951	SINCAM011624
ENSACAP00000000956	SINCAM006265
ENSACAP00000000957	SINCAM001632
ENSACAP00000000960	SINCAM008614
ENSACAP00000000961	SINCAM003854
ENSACAP00000000964	SINCAM004792
ENSACAP00000000965	SINCAM004041
ENSACAP00000000966	SINCAM011882
ENSACAP00000000969	SINCAM009685
ENSACAP00000000970	SINCAM006264
ENSACAP00000000973	SINCAM006659
ENSACAP00000000975	SINCAM010347
ENSACAP00000000976	SINCAM921439
ENSACAP00000000977	SINCAM004697
ENSACAP00000000978	SINCAM004696
ENSACAP00000000979	SINCAM006199
ENSACAP00000000980	SINCAM014127
ENSACAP00000000981	SINCAM008125
ENSACAP00000000983	SINCAM011907
ENSACAP00000000984	SINCAM921652
ENSACAP00000000985	SINCAM003587
ENSACAP00000000988	SINCAM006517
ENSACAP00000000989	SINCAM008127
ENSACAP00000000990	SINCAM921199
ENSACAP00000000991	SINCAM010337
ENSACAP00000000994	SINCAM009177
ENSACAP00000000995	SINCAM009686
ENSACAP00000000996	SINCAM013903
ENSACAP00000000997	SINCAM011216
ENSACAP00000001000	SINCAM012479
ENSACAP00000001001	SINCAM008750
ENSACAP00000001002	SINCAM007079
ENSACAP00000001003	SINCAM001633
ENSACAP00000001004	SINCAM016287
ENSACAP00000001006	SINCAM015221
ENSACAP00000001007	SINCAM010900
ENSACAP00000001009	SINCAM013606
ENSACAP00000001011	SINCAM010851
ENSACAP00000001012	SINCAM003581
ENSACAP00000001015	SINCAM003449
ENSACAP00000001017	SINCAM004695
ENSACAP00000001018	SINCAM008953
ENSACAP00000001019	SINCAM001634
ENSACAP00000001021	SINCAM003505
ENSACAP00000001022	SINCAM008951
ENSACAP00000001025	SINCAM003450
ENSACAP00000001026	SINCAM009202
ENSACAP00000001027	SINCAM003451
ENSACAP00000001028	SINCAM009971
ENSACAP00000001029	SINCAM006786
ENSACAP00000001030	SINCAM002350
ENSACAP00000001032	SINCAM013626
ENSACAP00000001035	SINCAM017380
ENSACAP00000001037	SINCAM005137
ENSACAP00000001039	SINCAM921653
ENSACAP00000001041	SINCAM006787
ENSACAP00000001045	SINCAM005166
ENSACAP00000001046	SINCAM006266
ENSACAP00000001047	SINCAM922081
ENSACAP00000001049	SINCAM000913
ENSACAP00000001051	SINCAM921326
ENSACAP00000001056	SINCAM007658
ENSACAP00000001057	SINCAM004042
ENSACAP00000001058	SINCAM009972
ENSACAP00000001059	SINCAM921466
ENSACAP00000001060	SINCAM012480
ENSACAP00000001063	SINCAM009722
ENSACAP00000001066	SINCAM001037
ENSACAP00000001067	SINCAM008270
ENSACAP00000001069	SINCAM004262
ENSACAP00000001070	SINCAM007940
ENSACAP00000001071	SINCAM013054
ENSACAP00000001073	SINCAM000963
ENSACAP00000001074	SINCAM009423
ENSACAP00000001075	SINCAM003453
ENSACAP00000001078	SINCAM006788
ENSACAP00000001079	SINCAM003872
ENSACAP00000001081	SINCAM011432
ENSACAP00000001082	SINCAM008297
ENSACAP00000001085	SINCAM005941
ENSACAP00000001087	SINCAM000912
ENSACAP00000001088	SINCAM921048
ENSACAP00000001089	SINCAM006197
ENSACAP00000001090	SINCAM001630
ENSACAP00000001092	SINCAM003198
ENSACAP00000001093	SINCAM003870
ENSACAP00000001094	SINCAM007527
ENSACAP00000001095	SINCAM920552
ENSACAP00000001096	SINCAM008132
ENSACAP00000001097	SINCAM003760
ENSACAP00000001101	SINCAM007076
ENSACAP00000001102	SINCAM007384
ENSACAP00000001103	SINCAM006660
ENSACAP00000001104	SINCAM010828
ENSACAP00000001105	SINCAM011340
ENSACAP00000001106	SINCAM900024
ENSACAP00000001107	SINCAM016662
ENSACAP00000001108	SINCAM920433
ENSACAP00000001109	SINCAM011292
ENSACAP00000001110	SINCAM922946
ENSACAP00000001112	SINCAM007221
ENSACAP00000001113	SINCAM003855
ENSACAP00000001114	SINCAM007567
ENSACAP00000001116	SINCAM003580
ENSACAP00000001117	SINCAM008271
ENSACAP00000001118	SINCAM005365
ENSACAP00000001120	SINCAM014090
ENSACAP00000001121	SINCAM011341
ENSACAP00000001122	SINCAM900231
ENSACAP00000001123	SINCAM007078
ENSACAP00000001124	SINCAM005170
ENSACAP00000001126	SINCAM001636
ENSACAP00000001127	SINCAM009973
ENSACAP00000001130	SINCAM000964
ENSACAP00000001136	SINCAM000967
ENSACAP00000001137	SINCAM920687
ENSACAP00000001140	SINCAM006664
ENSACAP00000001143	SINCAM007490
ENSACAP00000001145	SINCAM001862
ENSACAP00000001148	SINCAM010012
ENSACAP00000001149	SINCAM922338
ENSACAP00000001150	SINCAM002353
ENSACAP00000001152	SINCAM001316
ENSACAP00000001153	SINCAM922092
ENSACAP00000001154	SINCAM000325
ENSACAP00000001155	SINCAM013917
ENSACAP00000001156	SINCAM009630
ENSACAP00000001158	SINCAM007188
ENSACAP00000001162	SINCAM000968
ENSACAP00000001164	SINCAM003579
ENSACAP00000001168	SINCAM005362
ENSACAP00000001169	SINCAM003447
ENSACAP00000001170	SINCAM012766
ENSACAP00000001171	SINCAM014089
ENSACAP00000001172	SINCAM003856
ENSACAP00000001175	SINCAM922838
ENSACAP00000001182	SINCAM002680
ENSACAP00000001184	SINCAM011342
ENSACAP00000001185	SINCAM000455
ENSACAP00000001187	SINCAM004774
ENSACAP00000001188	SINCAM009690
ENSACAP00000001190	SINCAM014802
ENSACAP00000001191	SINCAM002354
ENSACAP00000001194	SINCAM002276
ENSACAP00000001207	SINCAM002681
ENSACAP00000001208	SINCAM006667
ENSACAP00000001209	SINCAM921413
ENSACAP00000001211	SINCAM922666
ENSACAP00000001212	SINCAM010563
ENSACAP00000001213	SINCAM007556
ENSACAP00000001214	SINCAM920759
ENSACAP00000001216	SINCAM005153
ENSACAP00000001217	SINCAM003761
ENSACAP00000001218	SINCAM010962
ENSACAP00000001219	SINCAM003625
ENSACAP00000001220	SINCAM921938
ENSACAP00000001222	SINCAM000324
ENSACAP00000001223	SINCAM004793
ENSACAP00000001224	SINCAM006789
ENSACAP00000001225	SINCAM921574
ENSACAP00000001226	SINCAM004136
ENSACAP00000001228	SINCAM921855
ENSACAP00000001230	SINCAM009313
ENSACAP00000001231	SINCAM000938
ENSACAP00000001233	SINCAM921010
ENSACAP00000001234	SINCAM000939
ENSACAP00000001235	SINCAM008193
ENSACAP00000001236	SINCAM922349
ENSACAP00000001237	SINCAM002989
ENSACAP00000001238	SINCAM014292
ENSACAP00000001241	SINCAM004430
ENSACAP00000001244	SINCAM007961
ENSACAP00000001245	SINCAM900232
ENSACAP00000001246	SINCAM003177
ENSACAP00000001247	SINCAM921047
ENSACAP00000001249	SINCAM004382
ENSACAP00000001250	SINCAM004794
ENSACAP00000001251	SINCAM012461
ENSACAP00000001252	SINCAM010566
ENSACAP00000001253	SINCAM003503
ENSACAP00000001254	SINCAM005198
ENSACAP00000001255	SINCAM921505
ENSACAP00000001256	SINCAM001856
ENSACAP00000001257	SINCAM000386
ENSACAP00000001258	SINCAM003578
ENSACAP00000001259	SINCAM013078
ENSACAP00000001260	SINCAM921046
ENSACAP00000001261	SINCAM007736
ENSACAP00000001262	SINCAM922340
ENSACAP00000001263	SINCAM922913
ENSACAP00000001264	SINCAM010963
ENSACAP00000001265	SINCAM006195
ENSACAP00000001268	SINCAM007737
ENSACAP00000001270	SINCAM900202
ENSACAP00000001271	SINCAM921368
ENSACAP00000001272	SINCAM008299
