fgenesh2_pg.scaffold_351000043	ENSCAFP00000012213
fgenesh2_pg.scaffold_438000011	ENSCAFP00000002805
fgenesh2_pg.scaffold_438000033	ENSCAFP00000011266
fgenesh2_pg.scaffold_439000001	ENSCAFP00000000110
fgenesh2_pg.scaffold_439000005	ENSCAFP00000038318
fgenesh2_pg.scaffold_439000020	ENSCAFP00000042994
fgenesh2_pg.scaffold_439000020	ENSCAFP00000004163
fgenesh2_pg.scaffold_439000027	ENSCAFP00000023989
fgenesh2_pg.scaffold_440000010	ENSCAFP00000019633
fgenesh2_pg.scaffold_441000002	ENSCAFP00000006104
fgenesh2_pg.scaffold_442000006	ENSCAFP00000018159
fgenesh2_pg.scaffold_442000008	ENSCAFP00000010762
fgenesh2_pg.scaffold_442000010	ENSCAFP00000017618
fgenesh2_pg.scaffold_443000001	ENSCAFP00000023096
fgenesh2_pg.scaffold_443000004	ENSCAFP00000029306
fgenesh2_pg.scaffold_445000011	ENSCAFP00000006957
fgenesh2_pg.scaffold_446000010	ENSCAFP00000008843
fgenesh2_pg.scaffold_446000018	ENSCAFP00000025791
fgenesh2_pg.scaffold_446000019	ENSCAFP00000022469
fgenesh2_pg.scaffold_446000029	ENSCAFP00000027602
fgenesh2_pg.scaffold_446000033	ENSCAFP00000034035
fgenesh2_pg.scaffold_447000005	ENSCAFP00000024692
fgenesh2_pg.scaffold_447000013	ENSCAFP00000006196
fgenesh2_pg.scaffold_447000021	ENSCAFP00000043223
fgenesh2_pg.scaffold_449000021	ENSCAFP00000023982
fgenesh2_pg.scaffold_450000016	ENSCAFP00000008128
fgenesh2_pg.scaffold_450000016	ENSCAFP00000002539
fgenesh2_pg.scaffold_450000016	ENSCAFP00000019569
fgenesh2_pg.scaffold_450000016	ENSCAFP00000023282
fgenesh2_pg.scaffold_450000022	ENSCAFP00000011560
fgenesh2_pg.scaffold_450000023	ENSCAFP00000042175
fgenesh2_pg.scaffold_450000023	ENSCAFP00000021313
fgenesh2_pg.scaffold_451000018	ENSCAFP00000030326
fgenesh2_pg.scaffold_452000028	ENSCAFP00000024694
fgenesh2_pg.scaffold_452000028	ENSCAFP00000020988
fgenesh2_pg.scaffold_452000039	ENSCAFP00000000084
fgenesh2_pg.scaffold_454000007	ENSCAFP00000022983
fgenesh2_pg.scaffold_454000010	ENSCAFP00000003445
fgenesh2_pg.scaffold_455000014	ENSCAFP00000020725
fgenesh2_pg.scaffold_457000020	ENSCAFP00000002818
fgenesh2_pg.scaffold_458000006	ENSCAFP00000011557
fgenesh2_pg.scaffold_458000006	ENSCAFP00000006945
fgenesh2_pg.scaffold_458000013	ENSCAFP00000008343
fgenesh2_pg.scaffold_458000014	ENSCAFP00000018267
fgenesh2_pg.scaffold_458000015	ENSCAFP00000038078
fgenesh2_pg.scaffold_458000016	ENSCAFP00000016035
fgenesh2_pg.scaffold_458000024	ENSCAFP00000020166
fgenesh2_pg.scaffold_458000024	ENSCAFP00000040393
fgenesh2_pg.scaffold_459000002	ENSCAFP00000026563
fgenesh2_pg.scaffold_459000007	ENSCAFP00000010620
fgenesh2_pg.scaffold_459000027	ENSCAFP00000007927
fgenesh2_pg.scaffold_459000031	ENSCAFP00000034493
fgenesh2_pg.scaffold_459000042	ENSCAFP00000014231
fgenesh2_pg.scaffold_460000013	ENSCAFP00000016270
fgenesh2_pg.scaffold_461000004	ENSCAFP00000036822
fgenesh2_pg.scaffold_461000014	ENSCAFP00000023011
fgenesh2_pg.scaffold_463000016	ENSCAFP00000022198
fgenesh2_pg.scaffold_463000018	ENSCAFP00000042174
fgenesh2_pg.scaffold_463000029	ENSCAFP00000020417
fgenesh2_pg.scaffold_463000032	ENSCAFP00000015777
fgenesh2_pg.scaffold_463000045	ENSCAFP00000015715
fgenesh2_pg.scaffold_463000051	ENSCAFP00000011639
fgenesh2_pg.scaffold_463000052	ENSCAFP00000026206
fgenesh2_pg.scaffold_466000008	ENSCAFP00000013265
fgenesh2_pg.scaffold_466000032	ENSCAFP00000021134
fgenesh2_pg.scaffold_467000005	ENSCAFP00000037884
fgenesh2_pg.scaffold_467000017	ENSCAFP00000002339
fgenesh2_pg.scaffold_468000008	ENSCAFP00000027830
fgenesh2_pg.scaffold_468000016	ENSCAFP00000028041
fgenesh2_pg.scaffold_468000019	ENSCAFP00000027862
fgenesh2_pg.scaffold_470000027	ENSCAFP00000008225
fgenesh2_pg.scaffold_471000021	ENSCAFP00000030137
fgenesh2_pg.scaffold_471000030	ENSCAFP00000007058
fgenesh2_pg.scaffold_472000004	ENSCAFP00000014218
fgenesh2_pg.scaffold_473000025	ENSCAFP00000040676
fgenesh2_pg.scaffold_474000008	ENSCAFP00000008345
fgenesh2_pg.scaffold_475000016	ENSCAFP00000006915
fgenesh2_pg.scaffold_477000015	ENSCAFP00000028814
fgenesh2_pg.scaffold_477000022	ENSCAFP00000025072
fgenesh2_pg.scaffold_477000023	ENSCAFP00000011630
fgenesh2_pg.scaffold_477000029	ENSCAFP00000042585
fgenesh2_pg.scaffold_477000035	ENSCAFP00000010480
fgenesh2_pg.scaffold_478000027	ENSCAFP00000027539
fgenesh2_pg.scaffold_479000003	ENSCAFP00000024316
fgenesh2_pg.scaffold_479000027	ENSCAFP00000010350
fgenesh2_pg.scaffold_480000011	ENSCAFP00000028584
fgenesh2_pg.scaffold_480000020	ENSCAFP00000004551
fgenesh2_pg.scaffold_480000026	ENSCAFP00000011614
fgenesh2_pg.scaffold_481000007	ENSCAFP00000018307
fgenesh2_pg.scaffold_481000007	ENSCAFP00000039903
fgenesh2_pg.scaffold_483000021	ENSCAFP00000032880
fgenesh2_pg.scaffold_484000006	ENSCAFP00000039217
fgenesh2_pg.scaffold_484000012	ENSCAFP00000015018
fgenesh2_pg.scaffold_484000015	ENSCAFP00000024306
fgenesh2_pg.scaffold_484000017	ENSCAFP00000007651
fgenesh2_pg.scaffold_484000027	ENSCAFP00000016425
fgenesh2_pg.scaffold_484000031	ENSCAFP00000042703
fgenesh2_pg.scaffold_484000033	ENSCAFP00000011202
fgenesh2_pg.scaffold_484000033	ENSCAFP00000013212
fgenesh2_pg.scaffold_485000011	ENSCAFP00000036196
fgenesh2_pg.scaffold_486000005	ENSCAFP00000002017
fgenesh2_pg.scaffold_486000033	ENSCAFP00000011451
fgenesh2_pg.scaffold_488000010	ENSCAFP00000026393
fgenesh2_pg.scaffold_489000005	ENSCAFP00000009824
fgenesh2_pg.scaffold_489000023	ENSCAFP00000031395
fgenesh2_pg.scaffold_489000023	ENSCAFP00000012269
fgenesh2_pg.scaffold_491000016	ENSCAFP00000023331
fgenesh2_pg.scaffold_492000020	ENSCAFP00000028568
fgenesh2_pg.scaffold_493000035	ENSCAFP00000024868
fgenesh2_pg.scaffold_494000011	ENSCAFP00000013331
fgenesh2_pg.scaffold_496000015	ENSCAFP00000004924
fgenesh2_pg.scaffold_496000027	ENSCAFP00000004715
fgenesh2_pg.scaffold_497000007	ENSCAFP00000031245
fgenesh2_pg.scaffold_498000008	ENSCAFP00000020140
fgenesh2_pg.scaffold_498000021	ENSCAFP00000037872
fgenesh2_pg.scaffold_499000014	ENSCAFP00000017783
fgenesh2_pg.scaffold_499000014	ENSCAFP00000018061
fgenesh2_pg.scaffold_499000029	ENSCAFP00000033502
fgenesh2_pg.scaffold_503000005	ENSCAFP00000030453
fgenesh2_pg.scaffold_503000011	ENSCAFP00000013757
fgenesh2_pg.scaffold_504000008	ENSCAFP00000030461
fgenesh2_pg.scaffold_504000024	ENSCAFP00000029512
fgenesh2_pg.scaffold_505000007	ENSCAFP00000039692
fgenesh2_pg.scaffold_505000009	ENSCAFP00000018592
fgenesh2_pg.scaffold_505000017	ENSCAFP00000011663
fgenesh2_pg.scaffold_505000017	ENSCAFP00000028854
fgenesh2_pg.scaffold_505000023	ENSCAFP00000031893
fgenesh2_pg.scaffold_505000025	ENSCAFP00000037634
fgenesh2_pg.scaffold_508000037	ENSCAFP00000004675
fgenesh2_pg.scaffold_508000037	ENSCAFP00000010561
fgenesh2_pg.scaffold_509000004	ENSCAFP00000017207
fgenesh2_pg.scaffold_509000004	ENSCAFP00000004599
fgenesh2_pg.scaffold_509000004	ENSCAFP00000007753
fgenesh2_pg.scaffold_509000013	ENSCAFP00000004742
fgenesh2_pg.scaffold_510000007	ENSCAFP00000038056
fgenesh2_pg.scaffold_511000009	ENSCAFP00000000140
fgenesh2_pg.scaffold_512000023	ENSCAFP00000004546
fgenesh2_pg.scaffold_512000024	ENSCAFP00000033543
fgenesh2_pg.scaffold_512000037	ENSCAFP00000015215
fgenesh2_pg.scaffold_513000011	ENSCAFP00000036407
fgenesh2_pg.scaffold_513000011	ENSCAFP00000034672
fgenesh2_pg.scaffold_513000011	ENSCAFP00000041703
fgenesh2_pg.scaffold_515000015	ENSCAFP00000015751
fgenesh2_pg.scaffold_515000017	ENSCAFP00000016776
fgenesh2_pg.scaffold_515000017	ENSCAFP00000021963
fgenesh2_pg.scaffold_515000023	ENSCAFP00000029844
fgenesh2_pg.scaffold_516000002	ENSCAFP00000035195
fgenesh2_pg.scaffold_517000017	ENSCAFP00000013899
fgenesh2_pg.scaffold_517000019	ENSCAFP00000004710
fgenesh2_pg.scaffold_518000005	ENSCAFP00000011433
fgenesh2_pg.scaffold_518000005	ENSCAFP00000017575
fgenesh2_pg.scaffold_518000008	ENSCAFP00000025018
fgenesh2_pg.scaffold_521000013	ENSCAFP00000035327
fgenesh2_pg.scaffold_523000003	ENSCAFP00000003623
fgenesh2_pg.scaffold_523000011	ENSCAFP00000025580
fgenesh2_pg.scaffold_525000001	ENSCAFP00000025970
fgenesh2_pg.scaffold_525000003	ENSCAFP00000032597
fgenesh2_pg.scaffold_525000005	ENSCAFP00000016346
fgenesh2_pg.scaffold_525000006	ENSCAFP00000009105
fgenesh2_pg.scaffold_525000008	ENSCAFP00000019648
fgenesh2_pg.scaffold_525000010	ENSCAFP00000036753
fgenesh2_pg.scaffold_526000026	ENSCAFP00000038350
fgenesh2_pg.scaffold_527000023	ENSCAFP00000004884
fgenesh2_pg.scaffold_528000014	ENSCAFP00000016559
fgenesh2_pg.scaffold_529000002	ENSCAFP00000006098
fgenesh2_pg.scaffold_530000010	ENSCAFP00000005860
fgenesh2_pg.scaffold_530000026	ENSCAFP00000010139
fgenesh2_pg.scaffold_531000012	ENSCAFP00000004207
fgenesh2_pg.scaffold_532000013	ENSCAFP00000040675
fgenesh2_pg.scaffold_532000022	ENSCAFP00000034076
fgenesh2_pg.scaffold_532000027	ENSCAFP00000008759
fgenesh2_pg.scaffold_534000029	ENSCAFP00000029009
fgenesh2_pg.scaffold_535000008	ENSCAFP00000037541
fgenesh2_pg.scaffold_535000031	ENSCAFP00000037526
fgenesh2_pg.scaffold_538000002	ENSCAFP00000030046
fgenesh2_pg.scaffold_538000007	ENSCAFP00000038411
fgenesh2_pg.scaffold_538000019	ENSCAFP00000009240
fgenesh2_pg.scaffold_538000020	ENSCAFP00000012237
fgenesh2_pg.scaffold_539000019	ENSCAFP00000003783
fgenesh2_pg.scaffold_541000006	ENSCAFP00000014765
fgenesh2_pg.scaffold_542000011	ENSCAFP00000003238
fgenesh2_pg.scaffold_544000022	ENSCAFP00000006470
fgenesh2_pg.scaffold_546000001	ENSCAFP00000042852
fgenesh2_pg.scaffold_546000014	ENSCAFP00000006410
fgenesh2_pg.scaffold_546000022	ENSCAFP00000034237
fgenesh2_pg.scaffold_546000024	ENSCAFP00000031761
fgenesh2_pg.scaffold_550000002	ENSCAFP00000020906
fgenesh2_pg.scaffold_550000004	ENSCAFP00000016948
fgenesh2_pg.scaffold_550000008	ENSCAFP00000025114
fgenesh2_pg.scaffold_550000018	ENSCAFP00000012826
fgenesh2_pg.scaffold_550000018	ENSCAFP00000024344
fgenesh2_pg.scaffold_550000018	ENSCAFP00000015693
fgenesh2_pg.scaffold_550000018	ENSCAFP00000003484
fgenesh2_pg.scaffold_551000019	ENSCAFP00000036644
fgenesh2_pg.scaffold_553000045	ENSCAFP00000017953
fgenesh2_pg.scaffold_554000005	ENSCAFP00000005053
fgenesh2_pg.scaffold_555000013	ENSCAFP00000011627
fgenesh2_pg.scaffold_557000027	ENSCAFP00000031967
fgenesh2_pg.scaffold_558000017	ENSCAFP00000029242
fgenesh2_pg.scaffold_559000012	ENSCAFP00000021857
fgenesh2_pg.scaffold_560000004	ENSCAFP00000038215
fgenesh2_pg.scaffold_560000005	ENSCAFP00000002800
fgenesh2_pg.scaffold_560000010	ENSCAFP00000015002
fgenesh2_pg.scaffold_560000014	ENSCAFP00000013576
fgenesh2_pg.scaffold_561000002	ENSCAFP00000022515
fgenesh2_pg.scaffold_561000009	ENSCAFP00000024512
fgenesh2_pg.scaffold_561000010	ENSCAFP00000033257
fgenesh2_pg.scaffold_562000005	ENSCAFP00000022598
fgenesh2_pg.scaffold_562000008	ENSCAFP00000005001
fgenesh2_pg.scaffold_562000008	ENSCAFP00000004574
