SINCAM006085	ENSGALP00000000002
SINCAM003100	ENSGALP00000001572
SINCAM013857	ENSGALP00000001577
SINCAM012037	ENSGALP00000001578
SINCAM013542	ENSGALP00000001579
SINCAM900287	ENSGALP00000001581
SINCAM013806	ENSGALP00000001583
SINCAM012035	ENSGALP00000001587
SINCAM013805	ENSGALP00000001588
SINCAM012960	ENSGALP00000001589
SINCAM008415	ENSGALP00000001591
SINCAM003103	ENSGALP00000001595
SINCAM013856	ENSGALP00000001598
SINCAM921531	ENSGALP00000001605
SINCAM922706	ENSGALP00000001610
SINCAM013803	ENSGALP00000001611
SINCAM013541	ENSGALP00000001613
SINCAM922707	ENSGALP00000001617
SINCAM012183	ENSGALP00000001633
SINCAM922485	ENSGALP00000001635
SINCAM005290	ENSGALP00000001637
SINCAM008030	ENSGALP00000001655
SINCAM013044	ENSGALP00000001658
SINCAM013013	ENSGALP00000001660
SINCAM014229	ENSGALP00000001661
SINCAM008548	ENSGALP00000001664
SINCAM012375	ENSGALP00000001674
SINCAM013800	ENSGALP00000001681
SINCAM012185	ENSGALP00000001684
SINCAM012935	ENSGALP00000001685
SINCAM012768	ENSGALP00000001688
SINCAM008547	ENSGALP00000001689
SINCAM012767	ENSGALP00000001693
SINCAM008546	ENSGALP00000001704
SINCAM000688	ENSGALP00000001710
SINCAM007379	ENSGALP00000001713
SINCAM013861	ENSGALP00000001717
SINCAM012766	ENSGALP00000001721
SINCAM012374	ENSGALP00000001726
SINCAM013974	ENSGALP00000001729
SINCAM012653	ENSGALP00000001734
SINCAM008032	ENSGALP00000001738
SINCAM010177	ENSGALP00000001741
SINCAM013862	ENSGALP00000001745
SINCAM013409	ENSGALP00000001750
SINCAM012652	ENSGALP00000001751
SINCAM013822	ENSGALP00000001762
SINCAM921722	ENSGALP00000001764
SINCAM013863	ENSGALP00000001765
SINCAM012759	ENSGALP00000001772
SINCAM013821	ENSGALP00000001774
SINCAM008560	ENSGALP00000001777
SINCAM009105	ENSGALP00000001784
SINCAM006564	ENSGALP00000001786
SINCAM016180	ENSGALP00000001788
SINCAM012034	ENSGALP00000001791
SINCAM010592	ENSGALP00000001796
SINCAM013479	ENSGALP00000001799
SINCAM008035	ENSGALP00000001800
SINCAM010562	ENSGALP00000001801
SINCAM006565	ENSGALP00000001803
SINCAM013477	ENSGALP00000001804
SINCAM013866	ENSGALP00000001806
SINCAM013874	ENSGALP00000001812
SINCAM007484	ENSGALP00000001819
SINCAM014292	ENSGALP00000001821
SINCAM010013	ENSGALP00000001823
SINCAM013820	ENSGALP00000001828
SINCAM009450	ENSGALP00000001832
SINCAM010495	ENSGALP00000001834
SINCAM922200	ENSGALP00000001836
SINCAM009451	ENSGALP00000001839
SINCAM010563	ENSGALP00000001840
SINCAM009452	ENSGALP00000001845
SINCAM011828	ENSGALP00000001848
SINCAM010594	ENSGALP00000001850
SINCAM013819	ENSGALP00000001853
SINCAM008036	ENSGALP00000001856
SINCAM922199	ENSGALP00000001859
SINCAM922198	ENSGALP00000001860
SINCAM013816	ENSGALP00000001862
SINCAM011814	ENSGALP00000001866
SINCAM922097	ENSGALP00000001869
SINCAM012802	ENSGALP00000001872
SINCAM921536	ENSGALP00000001875
SINCAM012611	ENSGALP00000001877
SINCAM010011	ENSGALP00000001879
SINCAM921461	ENSGALP00000001882
SINCAM012800	ENSGALP00000001888
SINCAM010014	ENSGALP00000001890
SINCAM008908	ENSGALP00000001891
SINCAM013870	ENSGALP00000001896
SINCAM001359	ENSGALP00000001898
SINCAM008037	ENSGALP00000001900
SINCAM010015	ENSGALP00000001903
SINCAM922096	ENSGALP00000001906
SINCAM004011	ENSGALP00000001909
SINCAM012648	ENSGALP00000001912
SINCAM008910	ENSGALP00000001914
SINCAM008832	ENSGALP00000001923
SINCAM921727	ENSGALP00000001924
SINCAM012189	ENSGALP00000001929
SINCAM012797	ENSGALP00000001932
SINCAM013813	ENSGALP00000001936
SINCAM004433	ENSGALP00000001938
SINCAM013005	ENSGALP00000001940
SINCAM007944	ENSGALP00000001944
SINCAM009453	ENSGALP00000001947
SINCAM013871	ENSGALP00000001949
SINCAM013410	ENSGALP00000001953
SINCAM013411	ENSGALP00000001955
SINCAM013695	ENSGALP00000001956
SINCAM008911	ENSGALP00000001957
SINCAM009454	ENSGALP00000001962
SINCAM012987	ENSGALP00000001966
SINCAM921728	ENSGALP00000001970
SINCAM013327	ENSGALP00000001973
SINCAM008586	ENSGALP00000001978
SINCAM007709	ENSGALP00000001981
SINCAM922561	ENSGALP00000001984
SINCAM013872	ENSGALP00000001986
SINCAM013325	ENSGALP00000001991
SINCAM008993	ENSGALP00000001992
SINCAM012655	ENSGALP00000001994
SINCAM007708	ENSGALP00000001995
SINCAM008584	ENSGALP00000001997
SINCAM013324	ENSGALP00000002001
SINCAM001015	ENSGALP00000002007
SINCAM012182	ENSGALP00000002009
SINCAM012656	ENSGALP00000002014
SINCAM013221	ENSGALP00000002016
SINCAM013015	ENSGALP00000002020
SINCAM008992	ENSGALP00000002021
SINCAM922710	ENSGALP00000002025
SINCAM922384	ENSGALP00000002028
SINCAM011766	ENSGALP00000002030
SINCAM007947	ENSGALP00000002036
SINCAM013697	ENSGALP00000002038
SINCAM922202	ENSGALP00000002039
SINCAM013222	ENSGALP00000002041
SINCAM013912	ENSGALP00000002045
SINCAM013016	ENSGALP00000002046
SINCAM012181	ENSGALP00000002049
SINCAM008990	ENSGALP00000002052
SINCAM007949	ENSGALP00000002055
SINCAM012657	ENSGALP00000002056
SINCAM922094	ENSGALP00000002063
SINCAM007950	ENSGALP00000002066
SINCAM008583	ENSGALP00000002078
SINCAM010017	ENSGALP00000002080
SINCAM922565	ENSGALP00000002083
SINCAM012180	ENSGALP00000002086
SINCAM013913	ENSGALP00000002088
SINCAM012179	ENSGALP00000002091
SINCAM013701	ENSGALP00000002092
SINCAM012660	ENSGALP00000002093
SINCAM013227	ENSGALP00000002095
SINCAM013017	ENSGALP00000002096
SINCAM012178	ENSGALP00000002098
SINCAM013702	ENSGALP00000002102
SINCAM010010	ENSGALP00000002103
SINCAM007705	ENSGALP00000002106
SINCAM921704	ENSGALP00000002109
SINCAM007992	ENSGALP00000002112
SINCAM006837	ENSGALP00000002114
SINCAM013703	ENSGALP00000002117
SINCAM013152	ENSGALP00000002119
SINCAM007706	ENSGALP00000002121
SINCAM013020	ENSGALP00000002124
SINCAM013914	ENSGALP00000002138
SINCAM010155	ENSGALP00000002143
SINCAM921703	ENSGALP00000002144
SINCAM008989	ENSGALP00000002147
SINCAM013254	ENSGALP00000002150
SINCAM012862	ENSGALP00000002153
SINCAM007703	ENSGALP00000002154
SINCAM010068	ENSGALP00000002155
SINCAM922697	ENSGALP00000002157
SINCAM007991	ENSGALP00000002160
SINCAM009901	ENSGALP00000002168
SINCAM007702	ENSGALP00000002170
SINCAM922726	ENSGALP00000002171
SINCAM008987	ENSGALP00000002172
SINCAM010069	ENSGALP00000002175
SINCAM012664	ENSGALP00000002180
SINCAM007700	ENSGALP00000002182
SINCAM010070	ENSGALP00000002183
SINCAM012172	ENSGALP00000002186
SINCAM010568	ENSGALP00000002189
SINCAM008985	ENSGALP00000002193
SINCAM009599	ENSGALP00000002194
SINCAM010072	ENSGALP00000002196
SINCAM920894	ENSGALP00000002197
SINCAM900172	ENSGALP00000002201
SINCAM013902	ENSGALP00000002203
SINCAM012171	ENSGALP00000002205
SINCAM921788	ENSGALP00000002206
SINCAM009588	ENSGALP00000002212
SINCAM009041	ENSGALP00000002216
SINCAM012576	ENSGALP00000002218
SINCAM008580	ENSGALP00000002221
SINCAM922699	ENSGALP00000002224
SINCAM013903	ENSGALP00000002228
SINCAM013704	ENSGALP00000002233
SINCAM007987	ENSGALP00000002234
SINCAM009037	ENSGALP00000002235
SINCAM012099	ENSGALP00000002236
SINCAM007333	ENSGALP00000002238
SINCAM008578	ENSGALP00000002240
SINCAM012100	ENSGALP00000002241
SINCAM010000	ENSGALP00000002242
SINCAM009461	ENSGALP00000002244
SINCAM013764	ENSGALP00000002246
SINCAM007374	ENSGALP00000002248
SINCAM012853	ENSGALP00000002252
SINCAM009109	ENSGALP00000002254
SINCAM013761	ENSGALP00000002256
SINCAM009462	ENSGALP00000002257
SINCAM013904	ENSGALP00000002259
SINCAM922393	ENSGALP00000002263
SINCAM007375	ENSGALP00000002266
SINCAM009587	ENSGALP00000002269
SINCAM010075	ENSGALP00000002277
SINCAM007376	ENSGALP00000002278
SINCAM009108	ENSGALP00000002279
SINCAM012665	ENSGALP00000002281
SINCAM009467	ENSGALP00000002287
SINCAM010086	ENSGALP00000002289
SINCAM012103	ENSGALP00000002295
SINCAM007988	ENSGALP00000002297
SINCAM013759	ENSGALP00000002302
SINCAM009107	ENSGALP00000002304
SINCAM012666	ENSGALP00000002306
SINCAM013907	ENSGALP00000002310
SINCAM011824	ENSGALP00000002312
SINCAM013322	ENSGALP00000002315
SINCAM013757	ENSGALP00000002319
SINCAM013908	ENSGALP00000002322
SINCAM010570	ENSGALP00000002328
SINCAM009586	ENSGALP00000002331
SINCAM011823	ENSGALP00000002333
SINCAM009106	ENSGALP00000002338
SINCAM013753	ENSGALP00000002340
SINCAM014086	ENSGALP00000002343
SINCAM012852	ENSGALP00000002345
SINCAM008577	ENSGALP00000002348
SINCAM011802	ENSGALP00000002352
SINCAM013706	ENSGALP00000002355
SINCAM014881	ENSGALP00000002356
SINCAM007378	ENSGALP00000002359
SINCAM922552	ENSGALP00000002362
SINCAM013868	ENSGALP00000002364
SINCAM012079	ENSGALP00000002366
SINCAM004454	ENSGALP00000002368
SINCAM012367	ENSGALP00000002372
SINCAM007989	ENSGALP00000002377
SINCAM009585	ENSGALP00000002380
SINCAM011800	ENSGALP00000002382
SINCAM012851	ENSGALP00000002385
SINCAM013249	ENSGALP00000002388
SINCAM007384	ENSGALP00000002393
SINCAM012368	ENSGALP00000002394
SINCAM012849	ENSGALP00000002398
SINCAM007990	ENSGALP00000002401
SINCAM001446	ENSGALP00000002403
SINCAM013250	ENSGALP00000002406
SINCAM007387	ENSGALP00000002407
SINCAM009357	ENSGALP00000002409
SINCAM003454	ENSGALP00000002413
SINCAM012846	ENSGALP00000002414
SINCAM012845	ENSGALP00000002419
SINCAM013346	ENSGALP00000002420
SINCAM013659	ENSGALP00000002423
SINCAM922085	ENSGALP00000002426
SINCAM013890	ENSGALP00000002436
SINCAM009067	ENSGALP00000002441
SINCAM012647	ENSGALP00000002442
SINCAM014342	ENSGALP00000002444
SINCAM922626	ENSGALP00000002449
SINCAM012646	ENSGALP00000002451
SINCAM009583	ENSGALP00000002452
SINCAM013174	ENSGALP00000002455
SINCAM013271	ENSGALP00000002458
SINCAM007391	ENSGALP00000002461
SINCAM008574	ENSGALP00000002465
SINCAM012645	ENSGALP00000002466
SINCAM009354	ENSGALP00000002472
SINCAM007392	ENSGALP00000002474
SINCAM922627	ENSGALP00000002477
SINCAM012644	ENSGALP00000002479
SINCAM008562	ENSGALP00000002491
SINCAM014343	ENSGALP00000002492
SINCAM013348	ENSGALP00000002493
SINCAM010573	ENSGALP00000002495
SINCAM007938	ENSGALP00000002497
SINCAM013660	ENSGALP00000002498
SINCAM009066	ENSGALP00000002501
SINCAM922836	ENSGALP00000002502
SINCAM922116	ENSGALP00000002505
SINCAM013272	ENSGALP00000002508
SINCAM002408	ENSGALP00000002511
