ENSMUSP00000000001	SINCAM012129
ENSMUSP00000003027	SINCAM015437
ENSMUSP00000003029	SINCAM922441
ENSMUSP00000003035	SINCAM003706
ENSMUSP00000003038	SINCAM922790
ENSMUSP00000003049	SINCAM014839
ENSMUSP00000003100	SINCAM011047
ENSMUSP00000003117	SINCAM005408
ENSMUSP00000003121	SINCAM012712
ENSMUSP00000003123	SINCAM012811
ENSMUSP00000003135	SINCAM012275
ENSMUSP00000003152	SINCAM013027
ENSMUSP00000003154	SINCAM012893
ENSMUSP00000003268	SINCAM012768
ENSMUSP00000003284	SINCAM017351
ENSMUSP00000003310	SINCAM004758
ENSMUSP00000003312	SINCAM004760
ENSMUSP00000003313	SINCAM007265
ENSMUSP00000003318	SINCAM009155
ENSMUSP00000003319	SINCAM921904
ENSMUSP00000003320	SINCAM009153
ENSMUSP00000003345	SINCAM001688
ENSMUSP00000003369	SINCAM011839
ENSMUSP00000003370	SINCAM011836
ENSMUSP00000003386	SINCAM921149
ENSMUSP00000003413	SINCAM014447
ENSMUSP00000003433	SINCAM012870
ENSMUSP00000003434	SINCAM013117
ENSMUSP00000003438	SINCAM012869
ENSMUSP00000003444	SINCAM014129
ENSMUSP00000003445	SINCAM014130
ENSMUSP00000003450	SINCAM014106
ENSMUSP00000003451	SINCAM014104
ENSMUSP00000003493	SINCAM017279
ENSMUSP00000003509	SINCAM001719
ENSMUSP00000003513	SINCAM014843
ENSMUSP00000003521	SINCAM014786
ENSMUSP00000003527	SINCAM008543
ENSMUSP00000003554	SINCAM004327
ENSMUSP00000003572	SINCAM001495
ENSMUSP00000003620	SINCAM923003
ENSMUSP00000003621	SINCAM007345
ENSMUSP00000003622	SINCAM921461
ENSMUSP00000003640	SINCAM015804
ENSMUSP00000003655	SINCAM921801
ENSMUSP00000003677	SINCAM007515
ENSMUSP00000003681	SINCAM007513
ENSMUSP00000003705	SINCAM008258
ENSMUSP00000003717	SINCAM002048
ENSMUSP00000003720	SINCAM001702
ENSMUSP00000003754	SINCAM010679
ENSMUSP00000003759	SINCAM014381
ENSMUSP00000003762	SINCAM013935
ENSMUSP00000003818	SINCAM006429
ENSMUSP00000003826	SINCAM013945
ENSMUSP00000003843	SINCAM003185
ENSMUSP00000003850	SINCAM015686
ENSMUSP00000003870	SINCAM006880
ENSMUSP00000003876	SINCAM011115
ENSMUSP00000003906	SINCAM014465
ENSMUSP00000003910	SINCAM922922
ENSMUSP00000003912	SINCAM005507
ENSMUSP00000003946	SINCAM010433
ENSMUSP00000003964	SINCAM011571
ENSMUSP00000003971	SINCAM011670
ENSMUSP00000004050	SINCAM012692
ENSMUSP00000004054	SINCAM921275
ENSMUSP00000004057	SINCAM004240
ENSMUSP00000004076	SINCAM006211
ENSMUSP00000004094	SINCAM001178
ENSMUSP00000004097	SINCAM008566
ENSMUSP00000004120	SINCAM003817
ENSMUSP00000004134	SINCAM922502
ENSMUSP00000004172	SINCAM011296
ENSMUSP00000004173	SINCAM011392
ENSMUSP00000004200	SINCAM004656
ENSMUSP00000004202	SINCAM014537
ENSMUSP00000004203	SINCAM014523
ENSMUSP00000004206	SINCAM922867
ENSMUSP00000004208	SINCAM007997
ENSMUSP00000004222	SINCAM007384
ENSMUSP00000004281	SINCAM005792
ENSMUSP00000004327	SINCAM017815
ENSMUSP00000004343	SINCAM004234
ENSMUSP00000004375	SINCAM009571
ENSMUSP00000004396	SINCAM006252
ENSMUSP00000004430	SINCAM000648
ENSMUSP00000004470	SINCAM005640
ENSMUSP00000004473	SINCAM005655
ENSMUSP00000004480	SINCAM009116
ENSMUSP00000004494	SINCAM012990
ENSMUSP00000004505	SINCAM014389
ENSMUSP00000004507	SINCAM014388
ENSMUSP00000004508	SINCAM014385
ENSMUSP00000004565	SINCAM006353
ENSMUSP00000004576	SINCAM006568
ENSMUSP00000004622	SINCAM004706
ENSMUSP00000004646	SINCAM007660
ENSMUSP00000004683	SINCAM014420
ENSMUSP00000004684	SINCAM012917
ENSMUSP00000004686	SINCAM012919
ENSMUSP00000004715	SINCAM004349
ENSMUSP00000004732	SINCAM922722
ENSMUSP00000004756	SINCAM010368
ENSMUSP00000004770	SINCAM004674
ENSMUSP00000004774	SINCAM013530
ENSMUSP00000004786	SINCAM013031
ENSMUSP00000004829	SINCAM014239
ENSMUSP00000004868	SINCAM921432
ENSMUSP00000004910	SINCAM015214
ENSMUSP00000004920	SINCAM008613
ENSMUSP00000004936	SINCAM009445
ENSMUSP00000004943	SINCAM000699
ENSMUSP00000004949	SINCAM011477
ENSMUSP00000004955	SINCAM011058
ENSMUSP00000004959	SINCAM011062
ENSMUSP00000004965	SINCAM004145
ENSMUSP00000004985	SINCAM012214
ENSMUSP00000004986	SINCAM012215
ENSMUSP00000004990	SINCAM009740
ENSMUSP00000004994	SINCAM009490
ENSMUSP00000005003	SINCAM921194
ENSMUSP00000005041	SINCAM012398
ENSMUSP00000005053	SINCAM003894
ENSMUSP00000005057	SINCAM012906
ENSMUSP00000005064	SINCAM012795
ENSMUSP00000005066	SINCAM013107
ENSMUSP00000005067	SINCAM012907
ENSMUSP00000005069	SINCAM013132
ENSMUSP00000005073	SINCAM010672
ENSMUSP00000005077	SINCAM007459
ENSMUSP00000005164	SINCAM005339
ENSMUSP00000005173	SINCAM012494
ENSMUSP00000005185	SINCAM004242
ENSMUSP00000005188	SINCAM008567
ENSMUSP00000005218	SINCAM922211
ENSMUSP00000005234	SINCAM000430
ENSMUSP00000005255	SINCAM002800
ENSMUSP00000005256	SINCAM002801
ENSMUSP00000005262	SINCAM004786
ENSMUSP00000005279	SINCAM004484
ENSMUSP00000005352	SINCAM000524
ENSMUSP00000005364	SINCAM006787
ENSMUSP00000005406	SINCAM004128
ENSMUSP00000005431	SINCAM000687
ENSMUSP00000005493	SINCAM001479
ENSMUSP00000005503	SINCAM921228
ENSMUSP00000005504	SINCAM921227
ENSMUSP00000005532	SINCAM003440
ENSMUSP00000005548	SINCAM017294
ENSMUSP00000005592	SINCAM010166
ENSMUSP00000005600	SINCAM014501
ENSMUSP00000005606	SINCAM014550
ENSMUSP00000005611	SINCAM921702
ENSMUSP00000005620	SINCAM922848
ENSMUSP00000005630	SINCAM005323
ENSMUSP00000005647	SINCAM922242
ENSMUSP00000005671	SINCAM013157
ENSMUSP00000005678	SINCAM002767
ENSMUSP00000005705	SINCAM014868
ENSMUSP00000005711	SINCAM018006
ENSMUSP00000005714	SINCAM014880
ENSMUSP00000005749	SINCAM011526
ENSMUSP00000005798	SINCAM008288
ENSMUSP00000005810	SINCAM014259
ENSMUSP00000005815	SINCAM922376
ENSMUSP00000005825	SINCAM014065
ENSMUSP00000005826	SINCAM014033
ENSMUSP00000005829	SINCAM922217
ENSMUSP00000005830	SINCAM012317
ENSMUSP00000005839	SINCAM921403
ENSMUSP00000005841	SINCAM922081
ENSMUSP00000005849	SINCAM922088
ENSMUSP00000005860	SINCAM011233
ENSMUSP00000005862	SINCAM011278
ENSMUSP00000005923	SINCAM018024
ENSMUSP00000005952	SINCAM013135
ENSMUSP00000005954	SINCAM013134
ENSMUSP00000005964	SINCAM000353
ENSMUSP00000005975	SINCAM922921
ENSMUSP00000006005	SINCAM013524
ENSMUSP00000006020	SINCAM009816
ENSMUSP00000006027	SINCAM001105
ENSMUSP00000006035	SINCAM011768
ENSMUSP00000006037	SINCAM002626
ENSMUSP00000006046	SINCAM009849
ENSMUSP00000006053	SINCAM007728
ENSMUSP00000006061	SINCAM002025
ENSMUSP00000006094	SINCAM016691
ENSMUSP00000006101	SINCAM008822
ENSMUSP00000006105	SINCAM008771
ENSMUSP00000006112	SINCAM009201
ENSMUSP00000006128	SINCAM011724
ENSMUSP00000006136	SINCAM011363
ENSMUSP00000006137	SINCAM011271
ENSMUSP00000006151	SINCAM000918
ENSMUSP00000006178	SINCAM015117
ENSMUSP00000006217	SINCAM013325
ENSMUSP00000006221	SINCAM003795
ENSMUSP00000006235	SINCAM015617
ENSMUSP00000006301	SINCAM008826
ENSMUSP00000006303	SINCAM008829
ENSMUSP00000006311	SINCAM014746
ENSMUSP00000006341	SINCAM009501
ENSMUSP00000006367	SINCAM014279
ENSMUSP00000006377	SINCAM013740
ENSMUSP00000006380	SINCAM013732
ENSMUSP00000006424	SINCAM000851
ENSMUSP00000006435	SINCAM922833
ENSMUSP00000006444	SINCAM014600
ENSMUSP00000006508	SINCAM921771
ENSMUSP00000006544	SINCAM014808
ENSMUSP00000006557	SINCAM005411
ENSMUSP00000006559	SINCAM921112
ENSMUSP00000006562	SINCAM005415
ENSMUSP00000006565	SINCAM920905
ENSMUSP00000006587	SINCAM010514
ENSMUSP00000006611	SINCAM013615
ENSMUSP00000006614	SINCAM013731
ENSMUSP00000006618	SINCAM013729
ENSMUSP00000006629	SINCAM003832
ENSMUSP00000006692	SINCAM010443
ENSMUSP00000006697	SINCAM009581
ENSMUSP00000006701	SINCAM006184
ENSMUSP00000006703	SINCAM009579
ENSMUSP00000006716	SINCAM014132
ENSMUSP00000006718	SINCAM006322
ENSMUSP00000006721	SINCAM006325
ENSMUSP00000006742	SINCAM004906
ENSMUSP00000006760	SINCAM010437
ENSMUSP00000006764	SINCAM010436
ENSMUSP00000006774	SINCAM011544
ENSMUSP00000006838	SINCAM922158
ENSMUSP00000006851	SINCAM922159
ENSMUSP00000006853	SINCAM009784
ENSMUSP00000006854	SINCAM009827
ENSMUSP00000006856	SINCAM004550
ENSMUSP00000006893	SINCAM001833
ENSMUSP00000006898	SINCAM001829
ENSMUSP00000006900	SINCAM001831
ENSMUSP00000006911	SINCAM014040
ENSMUSP00000006912	SINCAM001738
ENSMUSP00000006914	SINCAM014219
ENSMUSP00000006915	SINCAM014038
ENSMUSP00000006949	SINCAM005753
ENSMUSP00000006991	SINCAM004222
ENSMUSP00000007005	SINCAM008317
ENSMUSP00000007012	SINCAM003421
ENSMUSP00000007042	SINCAM922369
ENSMUSP00000007046	SINCAM922371
ENSMUSP00000007130	SINCAM001902
ENSMUSP00000007139	SINCAM001896
ENSMUSP00000007207	SINCAM009175
ENSMUSP00000007212	SINCAM009170
ENSMUSP00000007216	SINCAM009156
ENSMUSP00000007236	SINCAM011412
ENSMUSP00000007249	SINCAM016594
ENSMUSP00000007253	SINCAM005240
ENSMUSP00000007296	SINCAM007637
ENSMUSP00000007340	SINCAM016269
ENSMUSP00000007444	SINCAM013522
ENSMUSP00000007449	SINCAM001333
ENSMUSP00000007559	SINCAM002207
ENSMUSP00000007601	SINCAM002508
ENSMUSP00000007708	SINCAM013990
ENSMUSP00000007733	SINCAM010318
ENSMUSP00000007735	SINCAM016887
ENSMUSP00000007738	SINCAM012928
ENSMUSP00000007747	SINCAM002217
ENSMUSP00000007754	SINCAM005162
ENSMUSP00000007757	SINCAM001696
ENSMUSP00000007797	SINCAM009933
ENSMUSP00000007799	SINCAM005831
ENSMUSP00000007814	SINCAM014520
ENSMUSP00000007865	SINCAM012963
ENSMUSP00000007949	SINCAM921567
ENSMUSP00000007959	SINCAM922143
ENSMUSP00000007977	SINCAM014857
ENSMUSP00000007993	SINCAM006226
ENSMUSP00000008004	SINCAM012996
ENSMUSP00000008021	SINCAM013437
ENSMUSP00000008032	SINCAM012974
ENSMUSP00000008036	SINCAM002645
ENSMUSP00000008052	SINCAM002922
ENSMUSP00000008088	SINCAM922891
ENSMUSP00000008094	SINCAM012934
ENSMUSP00000008131	SINCAM008563
ENSMUSP00000008280	SINCAM003330
ENSMUSP00000008284	SINCAM014863
ENSMUSP00000008445	SINCAM001073
ENSMUSP00000008462	SINCAM004919
ENSMUSP00000008537	SINCAM922020
ENSMUSP00000008542	SINCAM015343
ENSMUSP00000008573	SINCAM002275
ENSMUSP00000008579	SINCAM003619
ENSMUSP00000008594	SINCAM922085
ENSMUSP00000008626	SINCAM002455
ENSMUSP00000008684	SINCAM920949
ENSMUSP00000008733	SINCAM001541
ENSMUSP00000008734	SINCAM013946
ENSMUSP00000008878	SINCAM011351
ENSMUSP00000008907	SINCAM004229
ENSMUSP00000008995	SINCAM006482
ENSMUSP00000009003	SINCAM001684
ENSMUSP00000009018	SINCAM010365
ENSMUSP00000009120	SINCAM004054
ENSMUSP00000009138	SINCAM922527
ENSMUSP00000009143	SINCAM002284
ENSMUSP00000009219	SINCAM007487
ENSMUSP00000009220	SINCAM007488
ENSMUSP00000009234	SINCAM007496
ENSMUSP00000009241	SINCAM007710
ENSMUSP00000009256	SINCAM005806
ENSMUSP00000009259	SINCAM921555
ENSMUSP00000009344	SINCAM011301
ENSMUSP00000009358	SINCAM007886
ENSMUSP00000009390	SINCAM011494
ENSMUSP00000009396	SINCAM011539
ENSMUSP00000009522	SINCAM921869
ENSMUSP00000009538	SINCAM009608
ENSMUSP00000009550	SINCAM009772
ENSMUSP00000009617	SINCAM012094
ENSMUSP00000009667	SINCAM011598
ENSMUSP00000009679	SINCAM002757
ENSMUSP00000009689	SINCAM005819
ENSMUSP00000009699	SINCAM007927
ENSMUSP00000009705	SINCAM921515
ENSMUSP00000009707	SINCAM007983
ENSMUSP00000009713	SINCAM011316
ENSMUSP00000009727	SINCAM014758
ENSMUSP00000009772	SINCAM000118
ENSMUSP00000009774	SINCAM000119
ENSMUSP00000009777	SINCAM922510
ENSMUSP00000009789	SINCAM921857
ENSMUSP00000009790	SINCAM921856
ENSMUSP00000009798	SINCAM007082
ENSMUSP00000009814	SINCAM011039
ENSMUSP00000009877	SINCAM014186
ENSMUSP00000010007	SINCAM013744
ENSMUSP00000010038	SINCAM001483
ENSMUSP00000010049	SINCAM001990
ENSMUSP00000010188	SINCAM009865
ENSMUSP00000010189	SINCAM009887
ENSMUSP00000010191	SINCAM009834
ENSMUSP00000010198	SINCAM009867
ENSMUSP00000010201	SINCAM009575
ENSMUSP00000010205	SINCAM009748
ENSMUSP00000010250	SINCAM014999
ENSMUSP00000010267	SINCAM008616
ENSMUSP00000010278	SINCAM012172
ENSMUSP00000010280	SINCAM922505
ENSMUSP00000010286	SINCAM011214
ENSMUSP00000010298	SINCAM010465
ENSMUSP00000010348	SINCAM922863
ENSMUSP00000010421	SINCAM008773
ENSMUSP00000010434	SINCAM004743
ENSMUSP00000010451	SINCAM011570
ENSMUSP00000010502	SINCAM013507
ENSMUSP00000010506	SINCAM013558
ENSMUSP00000010536	SINCAM008667
ENSMUSP00000010597	SINCAM014294
ENSMUSP00000010605	SINCAM005061
ENSMUSP00000010736	SINCAM002182
ENSMUSP00000010795	SINCAM001501
ENSMUSP00000010804	SINCAM001499
ENSMUSP00000010807	SINCAM011567
ENSMUSP00000010899	SINCAM922222
ENSMUSP00000010904	SINCAM922224
ENSMUSP00000010940	SINCAM005835
ENSMUSP00000010941	SINCAM005834
ENSMUSP00000010985	SINCAM922621
ENSMUSP00000011055	SINCAM011459
ENSMUSP00000011058	SINCAM011460
ENSMUSP00000011152	SINCAM920889
ENSMUSP00000011178	SINCAM007363
ENSMUSP00000011262	SINCAM922709
ENSMUSP00000011298	SINCAM900111
ENSMUSP00000011302	SINCAM008528
ENSMUSP00000011315	SINCAM001578
ENSMUSP00000011398	SINCAM010149
ENSMUSP00000011400	SINCAM010152
ENSMUSP00000011450	SINCAM012970
ENSMUSP00000011492	SINCAM009618
ENSMUSP00000011526	SINCAM014787
ENSMUSP00000011607	SINCAM009216
ENSMUSP00000011733	SINCAM012771
ENSMUSP00000012028	SINCAM007670
ENSMUSP00000012152	SINCAM007341
ENSMUSP00000012161	SINCAM007326
ENSMUSP00000012259	SINCAM007727
ENSMUSP00000012279	SINCAM921418
ENSMUSP00000012281	SINCAM002921
ENSMUSP00000012426	SINCAM009943
ENSMUSP00000012580	SINCAM009211
ENSMUSP00000012587	SINCAM007170
ENSMUSP00000012627	SINCAM002080
ENSMUSP00000012664	SINCAM000508
ENSMUSP00000012679	SINCAM006229
ENSMUSP00000012873	SINCAM018064
ENSMUSP00000013130	SINCAM008277
ENSMUSP00000013220	SINCAM004657
ENSMUSP00000013294	SINCAM010566
ENSMUSP00000013299	SINCAM014292
ENSMUSP00000013302	SINCAM010565
ENSMUSP00000013304	SINCAM010578
ENSMUSP00000013338	SINCAM922147
ENSMUSP00000013559	SINCAM013327
ENSMUSP00000013633	SINCAM000701
ENSMUSP00000013667	SINCAM011961
ENSMUSP00000013693	SINCAM000521
ENSMUSP00000013737	SINCAM000421
ENSMUSP00000013759	SINCAM017411
ENSMUSP00000013766	SINCAM003311
ENSMUSP00000013771	SINCAM921091
ENSMUSP00000013773	SINCAM921093
ENSMUSP00000013807	SINCAM007137
ENSMUSP00000013845	SINCAM006986
ENSMUSP00000013886	SINCAM014855
ENSMUSP00000013910	SINCAM017525
ENSMUSP00000013949	SINCAM015593
ENSMUSP00000013970	SINCAM014103
ENSMUSP00000013995	SINCAM005389
ENSMUSP00000014022	SINCAM000838
ENSMUSP00000014174	SINCAM000049
ENSMUSP00000014220	SINCAM921911
ENSMUSP00000014221	SINCAM921682
ENSMUSP00000014290	SINCAM001588
ENSMUSP00000014321	SINCAM922202
ENSMUSP00000014339	SINCAM013483
ENSMUSP00000014389	SINCAM008820
ENSMUSP00000014421	SINCAM008100
ENSMUSP00000014438	SINCAM922370
ENSMUSP00000014447	SINCAM011279
ENSMUSP00000014499	SINCAM003393
ENSMUSP00000014505	SINCAM003394
ENSMUSP00000014546	SINCAM922225
