SINCAM000004	ENSDARP00000101228
SINCAM000167	ENSDARP00000102248
SINCAM000172	ENSDARP00000129159
SINCAM000174	ENSDARP00000072733
SINCAM000177	ENSDARP00000054574
SINCAM000178	ENSDARP00000026495
SINCAM000178	ENSDARP00000091810
SINCAM000179	ENSDARP00000101400
SINCAM000179	ENSDARP00000099181
SINCAM000180	ENSDARP00000107378
SINCAM000180	ENSDARP00000073406
SINCAM000181	ENSDARP00000064614
SINCAM000181	ENSDARP00000089747
SINCAM000182	ENSDARP00000105396
SINCAM000191	ENSDARP00000106940
SINCAM000192	ENSDARP00000069196
SINCAM000193	ENSDARP00000069171
SINCAM000193	ENSDARP00000093565
SINCAM000194	ENSDARP00000093557
SINCAM000194	ENSDARP00000069157
SINCAM000197	ENSDARP00000056711
SINCAM000198	ENSDARP00000107677
SINCAM000198	ENSDARP00000121728
SINCAM000199	ENSDARP00000100755
SINCAM000200	ENSDARP00000004657
SINCAM000200	ENSDARP00000082104
SINCAM000201	ENSDARP00000058795
SINCAM000202	ENSDARP00000114221
SINCAM000203	ENSDARP00000115808
SINCAM000204	ENSDARP00000054580
SINCAM000204	ENSDARP00000115648
SINCAM000205	ENSDARP00000123199
SINCAM000205	ENSDARP00000102041
SINCAM000207	ENSDARP00000079486
SINCAM000209	ENSDARP00000124965
SINCAM000210	ENSDARP00000011642
SINCAM000211	ENSDARP00000124004
SINCAM000212	ENSDARP00000029203
SINCAM000214	ENSDARP00000079456
SINCAM000215	ENSDARP00000054174
SINCAM000215	ENSDARP00000109288
SINCAM000216	ENSDARP00000119629
SINCAM000216	ENSDARP00000053128
SINCAM000218	ENSDARP00000012513
SINCAM000220	ENSDARP00000119942
SINCAM000221	ENSDARP00000002773
SINCAM000221	ENSDARP00000111210
SINCAM000223	ENSDARP00000053368
SINCAM000224	ENSDARP00000100587
SINCAM000225	ENSDARP00000104593
SINCAM000225	ENSDARP00000054263
SINCAM000228	ENSDARP00000106639
SINCAM000228	ENSDARP00000043854
SINCAM000231	ENSDARP00000105067
SINCAM000234	ENSDARP00000003197
SINCAM000235	ENSDARP00000051762
SINCAM000236	ENSDARP00000110056
SINCAM000236	ENSDARP00000111512
SINCAM000237	ENSDARP00000080991
SINCAM000237	ENSDARP00000110489
SINCAM000238	ENSDARP00000093298
SINCAM000239	ENSDARP00000080947
SINCAM000239	ENSDARP00000065646
SINCAM000240	ENSDARP00000120666
SINCAM000241	ENSDARP00000106936
SINCAM000241	ENSDARP00000076751
SINCAM000242	ENSDARP00000098167
SINCAM000243	ENSDARP00000050444
SINCAM000243	ENSDARP00000101294
SINCAM000244	ENSDARP00000054264
SINCAM000246	ENSDARP00000108386
SINCAM000246	ENSDARP00000079215
SINCAM000247	ENSDARP00000093275
SINCAM000247	ENSDARP00000056995
SINCAM000248	ENSDARP00000109139
SINCAM000248	ENSDARP00000128412
SINCAM000249	ENSDARP00000054234
SINCAM000249	ENSDARP00000108567
SINCAM000250	ENSDARP00000016228
SINCAM000251	ENSDARP00000029074
SINCAM000251	ENSDARP00000120075
SINCAM000252	ENSDARP00000054229
SINCAM000253	ENSDARP00000106047
SINCAM000253	ENSDARP00000126708
SINCAM000256	ENSDARP00000050929
SINCAM000256	ENSDARP00000107816
SINCAM000260	ENSDARP00000112023
SINCAM000261	ENSDARP00000086765
SINCAM000261	ENSDARP00000070548
SINCAM000263	ENSDARP00000076621
SINCAM000264	ENSDARP00000030659
SINCAM000265	ENSDARP00000115579
SINCAM000265	ENSDARP00000129300
SINCAM000267	ENSDARP00000051892
SINCAM000268	ENSDARP00000012308
SINCAM000268	ENSDARP00000110660
SINCAM000271	ENSDARP00000117573
SINCAM000272	ENSDARP00000088868
SINCAM000272	ENSDARP00000108688
SINCAM000274	ENSDARP00000101548
SINCAM000275	ENSDARP00000089019
SINCAM000276	ENSDARP00000124957
SINCAM000276	ENSDARP00000084458
SINCAM000282	ENSDARP00000042059
SINCAM000282	ENSDARP00000120486
SINCAM000283	ENSDARP00000122898
SINCAM000288	ENSDARP00000070915
SINCAM000288	ENSDARP00000052443
SINCAM000289	ENSDARP00000068851
SINCAM000289	ENSDARP00000108171
SINCAM000290	ENSDARP00000096274
SINCAM000290	ENSDARP00000108639
SINCAM000291	ENSDARP00000099045
SINCAM000291	ENSDARP00000099826
SINCAM000292	ENSDARP00000019238
SINCAM000292	ENSDARP00000036411
SINCAM000296	ENSDARP00000106396
SINCAM000296	ENSDARP00000040797
SINCAM000297	ENSDARP00000088599
SINCAM000300	ENSDARP00000033334
SINCAM000301	ENSDARP00000056733
SINCAM000303	ENSDARP00000107068
SINCAM000303	ENSDARP00000023570
SINCAM000305	ENSDARP00000097886
SINCAM000305	ENSDARP00000108397
SINCAM000306	ENSDARP00000063358
SINCAM000306	ENSDARP00000037614
SINCAM000307	ENSDARP00000115027
SINCAM000307	ENSDARP00000078232
SINCAM000308	ENSDARP00000037516
SINCAM000308	ENSDARP00000013248
SINCAM000310	ENSDARP00000006732
SINCAM000311	ENSDARP00000091535
SINCAM000311	ENSDARP00000113043
SINCAM000312	ENSDARP00000101307
SINCAM000313	ENSDARP00000116730
SINCAM000313	ENSDARP00000090139
SINCAM000315	ENSDARP00000103306
SINCAM000315	ENSDARP00000121103
SINCAM000316	ENSDARP00000109435
SINCAM000317	ENSDARP00000054860
SINCAM000317	ENSDARP00000124053
SINCAM000318	ENSDARP00000087587
SINCAM000319	ENSDARP00000104305
SINCAM000320	ENSDARP00000092236
SINCAM000320	ENSDARP00000014244
SINCAM000321	ENSDARP00000063620
SINCAM000322	ENSDARP00000046439
SINCAM000322	ENSDARP00000022427
SINCAM000323	ENSDARP00000035373
SINCAM000324	ENSDARP00000040012
SINCAM000324	ENSDARP00000050204
SINCAM000325	ENSDARP00000090664
SINCAM000325	ENSDARP00000098791
SINCAM000327	ENSDARP00000065658
SINCAM000328	ENSDARP00000085896
SINCAM000329	ENSDARP00000074045
SINCAM000332	ENSDARP00000108884
SINCAM000335	ENSDARP00000080730
SINCAM000340	ENSDARP00000018064
SINCAM000340	ENSDARP00000017622
SINCAM000343	ENSDARP00000057160
SINCAM000343	ENSDARP00000107985
SINCAM000344	ENSDARP00000085592
SINCAM000349	ENSDARP00000008977
SINCAM000349	ENSDARP00000103131
SINCAM000355	ENSDARP00000054509
SINCAM000356	ENSDARP00000100653
SINCAM000356	ENSDARP00000102428
SINCAM000358	ENSDARP00000006703
SINCAM000361	ENSDARP00000013520
SINCAM000363	ENSDARP00000092575
SINCAM000364	ENSDARP00000107878
SINCAM000365	ENSDARP00000041467
SINCAM000366	ENSDARP00000052568
SINCAM000367	ENSDARP00000127930
SINCAM000371	ENSDARP00000072289
SINCAM000371	ENSDARP00000093087
SINCAM000372	ENSDARP00000057760
SINCAM000373	ENSDARP00000071278
SINCAM000374	ENSDARP00000071305
SINCAM000376	ENSDARP00000059439
SINCAM000378	ENSDARP00000018789
SINCAM000378	ENSDARP00000126434
SINCAM000379	ENSDARP00000120305
SINCAM000379	ENSDARP00000079802
SINCAM000380	ENSDARP00000107353
SINCAM000380	ENSDARP00000122336
SINCAM000381	ENSDARP00000051255
SINCAM000381	ENSDARP00000115560
SINCAM000383	ENSDARP00000079823
SINCAM000385	ENSDARP00000116417
SINCAM000385	ENSDARP00000064967
SINCAM000386	ENSDARP00000102863
SINCAM000387	ENSDARP00000026957
SINCAM000387	ENSDARP00000003167
SINCAM000390	ENSDARP00000103874
SINCAM000390	ENSDARP00000097777
SINCAM000391	ENSDARP00000115304
SINCAM000392	ENSDARP00000078930
SINCAM000392	ENSDARP00000123660
SINCAM000393	ENSDARP00000114143
SINCAM000394	ENSDARP00000102423
SINCAM000394	ENSDARP00000098280
SINCAM000395	ENSDARP00000054439
SINCAM000395	ENSDARP00000052647
SINCAM000396	ENSDARP00000105953
SINCAM000397	ENSDARP00000011409
SINCAM000398	ENSDARP00000009817
SINCAM000398	ENSDARP00000104161
SINCAM000399	ENSDARP00000090568
SINCAM000402	ENSDARP00000104278
SINCAM000403	ENSDARP00000066691
SINCAM000404	ENSDARP00000110098
SINCAM000404	ENSDARP00000110051
SINCAM000407	ENSDARP00000112004
SINCAM000409	ENSDARP00000104355
SINCAM000409	ENSDARP00000103889
SINCAM000410	ENSDARP00000106701
SINCAM000410	ENSDARP00000106660
SINCAM000413	ENSDARP00000077232
SINCAM000415	ENSDARP00000064214
SINCAM000416	ENSDARP00000086543
SINCAM000416	ENSDARP00000129462
SINCAM000417	ENSDARP00000061000
SINCAM000418	ENSDARP00000104171
SINCAM000418	ENSDARP00000120265
SINCAM000421	ENSDARP00000098175
SINCAM000423	ENSDARP00000031494
SINCAM000424	ENSDARP00000005968
SINCAM000425	ENSDARP00000111731
SINCAM000425	ENSDARP00000124217
SINCAM000426	ENSDARP00000032940
SINCAM000426	ENSDARP00000089406
SINCAM000427	ENSDARP00000052004
SINCAM000428	ENSDARP00000051523
SINCAM000428	ENSDARP00000059368
SINCAM000430	ENSDARP00000101565
SINCAM000434	ENSDARP00000054821
SINCAM000436	ENSDARP00000073671
SINCAM000436	ENSDARP00000111728
SINCAM000437	ENSDARP00000055217
SINCAM000437	ENSDARP00000112918
SINCAM000438	ENSDARP00000108229
SINCAM000438	ENSDARP00000109218
SINCAM000439	ENSDARP00000097114
SINCAM000440	ENSDARP00000104009
SINCAM000441	ENSDARP00000107405
SINCAM000442	ENSDARP00000109430
SINCAM000443	ENSDARP00000096190
SINCAM000443	ENSDARP00000045367
SINCAM000444	ENSDARP00000081301
SINCAM000444	ENSDARP00000102349
SINCAM000445	ENSDARP00000124510
SINCAM000445	ENSDARP00000043555
SINCAM000446	ENSDARP00000058788
SINCAM000446	ENSDARP00000054385
SINCAM000447	ENSDARP00000093865
SINCAM000447	ENSDARP00000124407
SINCAM000448	ENSDARP00000083458
SINCAM000449	ENSDARP00000118059
SINCAM000450	ENSDARP00000071861
SINCAM000450	ENSDARP00000061499
SINCAM000451	ENSDARP00000123226
SINCAM000451	ENSDARP00000089370
SINCAM000452	ENSDARP00000118938
SINCAM000453	ENSDARP00000122065
SINCAM000453	ENSDARP00000113509
SINCAM000454	ENSDARP00000026343
SINCAM000454	ENSDARP00000105194
SINCAM000457	ENSDARP00000109414
SINCAM000458	ENSDARP00000107880
SINCAM000459	ENSDARP00000088481
SINCAM000460	ENSDARP00000075688
SINCAM000464	ENSDARP00000093532
SINCAM000464	ENSDARP00000097881
SINCAM000466	ENSDARP00000038731
SINCAM000466	ENSDARP00000112458
SINCAM000468	ENSDARP00000022770
SINCAM000470	ENSDARP00000040775
SINCAM000471	ENSDARP00000023797
SINCAM000471	ENSDARP00000103592
SINCAM000472	ENSDARP00000090148
SINCAM000472	ENSDARP00000109081
SINCAM000473	ENSDARP00000087012
SINCAM000473	ENSDARP00000026585
SINCAM000474	ENSDARP00000068362
SINCAM000474	ENSDARP00000102366
SINCAM000475	ENSDARP00000012749
SINCAM000475	ENSDARP00000006223
SINCAM000476	ENSDARP00000080047
SINCAM000476	ENSDARP00000100086
SINCAM000477	ENSDARP00000073276
SINCAM000477	ENSDARP00000110012
SINCAM000478	ENSDARP00000111660
SINCAM000479	ENSDARP00000104388
SINCAM000479	ENSDARP00000032185
SINCAM000481	ENSDARP00000089381
SINCAM000481	ENSDARP00000063558
SINCAM000483	ENSDARP00000121325
SINCAM000483	ENSDARP00000114595
SINCAM000484	ENSDARP00000015473
SINCAM000484	ENSDARP00000112329
SINCAM000485	ENSDARP00000063175
SINCAM000489	ENSDARP00000114539
SINCAM000489	ENSDARP00000070545
SINCAM000490	ENSDARP00000113369
SINCAM000490	ENSDARP00000111906
SINCAM000491	ENSDARP00000120564
SINCAM000492	ENSDARP00000054339
SINCAM000493	ENSDARP00000035286
SINCAM000495	ENSDARP00000117450
SINCAM000496	ENSDARP00000110951
SINCAM000496	ENSDARP00000120324
SINCAM000497	ENSDARP00000109877
SINCAM000497	ENSDARP00000081680
SINCAM000498	ENSDARP00000082092
SINCAM000498	ENSDARP00000127502
SINCAM000499	ENSDARP00000093421
SINCAM000500	ENSDARP00000007234
SINCAM000500	ENSDARP00000121332
SINCAM000501	ENSDARP00000083503
SINCAM000502	ENSDARP00000093777
SINCAM000504	ENSDARP00000083183
SINCAM000504	ENSDARP00000102273
SINCAM000506	ENSDARP00000034536
SINCAM000507	ENSDARP00000098825
SINCAM000507	ENSDARP00000102678
SINCAM000508	ENSDARP00000075128
SINCAM000508	ENSDARP00000097111
SINCAM000509	ENSDARP00000060576
SINCAM000510	ENSDARP00000074317
SINCAM000511	ENSDARP00000103790
SINCAM000512	ENSDARP00000102069
SINCAM000512	ENSDARP00000045573
SINCAM000513	ENSDARP00000127990
SINCAM000513	ENSDARP00000086058
SINCAM000514	ENSDARP00000123503
SINCAM000516	ENSDARP00000073990
SINCAM000517	ENSDARP00000110973
SINCAM000518	ENSDARP00000005716
SINCAM000521	ENSDARP00000119166
SINCAM000522	ENSDARP00000080960
SINCAM000522	ENSDARP00000080968
SINCAM000524	ENSDARP00000095086
SINCAM000525	ENSDARP00000124661
SINCAM000527	ENSDARP00000013158
SINCAM000527	ENSDARP00000125099
SINCAM000528	ENSDARP00000103163
SINCAM000531	ENSDARP00000108359
SINCAM000532	ENSDARP00000064847
SINCAM000533	ENSDARP00000019940
SINCAM000535	ENSDARP00000115658
SINCAM000536	ENSDARP00000094142
SINCAM000536	ENSDARP00000109313
SINCAM000537	ENSDARP00000068656
SINCAM000540	ENSDARP00000068661
SINCAM000541	ENSDARP00000103183
SINCAM000542	ENSDARP00000066677
SINCAM000542	ENSDARP00000073858
SINCAM000543	ENSDARP00000003188
SINCAM000544	ENSDARP00000116646
SINCAM000545	ENSDARP00000104899
SINCAM000546	ENSDARP00000094123
SINCAM000546	ENSDARP00000118281
SINCAM000548	ENSDARP00000118247
SINCAM000549	ENSDARP00000034195
SINCAM000549	ENSDARP00000069642
SINCAM000550	ENSDARP00000063600
SINCAM000552	ENSDARP00000094286
SINCAM000552	ENSDARP00000000960
SINCAM000554	ENSDARP00000049203
SINCAM000554	ENSDARP00000112456
SINCAM000555	ENSDARP00000063577
SINCAM000556	ENSDARP00000047623
SINCAM000558	ENSDARP00000093842
SINCAM000559	ENSDARP00000107420
SINCAM000559	ENSDARP00000068869
SINCAM000560	ENSDARP00000063151
SINCAM000561	ENSDARP00000122314
SINCAM000561	ENSDARP00000099840
SINCAM000562	ENSDARP00000118390
SINCAM000563	ENSDARP00000072847
SINCAM000564	ENSDARP00000048163
SINCAM000565	ENSDARP00000123656
SINCAM000565	ENSDARP00000098117
SINCAM000566	ENSDARP00000003120
SINCAM000566	ENSDARP00000088538
SINCAM000567	ENSDARP00000103088
SINCAM000568	ENSDARP00000105212
SINCAM000569	ENSDARP00000110590
SINCAM000569	ENSDARP00000105530
SINCAM000570	ENSDARP00000054706
SINCAM000571	ENSDARP00000106996
SINCAM000571	ENSDARP00000007295
SINCAM000572	ENSDARP00000099029
SINCAM000572	ENSDARP00000082292
SINCAM000573	ENSDARP00000019867
SINCAM000573	ENSDARP00000075441
SINCAM000574	ENSDARP00000087385
SINCAM000574	ENSDARP00000016880
SINCAM000575	ENSDARP00000073136
SINCAM000576	ENSDARP00000053924
SINCAM000576	ENSDARP00000108523
SINCAM000577	ENSDARP00000104882
SINCAM000577	ENSDARP00000034147
SINCAM000578	ENSDARP00000024039
SINCAM000579	ENSDARP00000108041
SINCAM000579	ENSDARP00000048854
SINCAM000581	ENSDARP00000105685
SINCAM000582	ENSDARP00000084087
SINCAM000585	ENSDARP00000104703
SINCAM000586	ENSDARP00000112805
SINCAM000586	ENSDARP00000014827
SINCAM000587	ENSDARP00000054673
SINCAM000587	ENSDARP00000053915
SINCAM000590	ENSDARP00000014779
SINCAM000591	ENSDARP00000082437
SINCAM000591	ENSDARP00000115224
SINCAM000592	ENSDARP00000015078
SINCAM000592	ENSDARP00000006482
SINCAM000593	ENSDARP00000054005
SINCAM000594	ENSDARP00000110184
SINCAM000594	ENSDARP00000082474
SINCAM000595	ENSDARP00000059242
SINCAM000596	ENSDARP00000111237
SINCAM000597	ENSDARP00000114229
SINCAM000598	ENSDARP00000030881
SINCAM000599	ENSDARP00000098468
SINCAM000600	ENSDARP00000073348
SINCAM000602	ENSDARP00000022890
SINCAM000603	ENSDARP00000071815
SINCAM000603	ENSDARP00000068268
SINCAM000604	ENSDARP00000059229
SINCAM000604	ENSDARP00000115520
SINCAM000605	ENSDARP00000059230
SINCAM000607	ENSDARP00000105939
SINCAM000610	ENSDARP00000121090
SINCAM000610	ENSDARP00000126761
SINCAM000612	ENSDARP00000054808
SINCAM000613	ENSDARP00000109373
SINCAM000613	ENSDARP00000068223
SINCAM000614	ENSDARP00000009928
SINCAM000615	ENSDARP00000052029
SINCAM000617	ENSDARP00000053762
SINCAM000618	ENSDARP00000109423
SINCAM000618	ENSDARP00000108399
SINCAM000621	ENSDARP00000015588
SINCAM000622	ENSDARP00000109273
SINCAM000624	ENSDARP00000109592
SINCAM000626	ENSDARP00000105904
SINCAM000629	ENSDARP00000101619
SINCAM000631	ENSDARP00000124776
SINCAM000631	ENSDARP00000058502
SINCAM000632	ENSDARP00000012434
SINCAM000634	ENSDARP00000015036
SINCAM000634	ENSDARP00000120430
SINCAM000636	ENSDARP00000107217
SINCAM000637	ENSDARP00000106998
SINCAM000638	ENSDARP00000022921
SINCAM000640	ENSDARP00000028875
SINCAM000642	ENSDARP00000099683
SINCAM000642	ENSDARP00000110808
SINCAM000645	ENSDARP00000010437
SINCAM000647	ENSDARP00000074168
SINCAM000648	ENSDARP00000108285
SINCAM000648	ENSDARP00000047125
SINCAM000649	ENSDARP00000030937
SINCAM000650	ENSDARP00000050558
SINCAM000653	ENSDARP00000115274
SINCAM000655	ENSDARP00000122990
SINCAM000655	ENSDARP00000111053
SINCAM000656	ENSDARP00000015580
SINCAM000656	ENSDARP00000040533
SINCAM000657	ENSDARP00000069263
SINCAM000659	ENSDARP00000090024
SINCAM000660	ENSDARP00000044183
SINCAM000661	ENSDARP00000105445
SINCAM000662	ENSDARP00000108050
SINCAM000664	ENSDARP00000065011
SINCAM000665	ENSDARP00000102784
SINCAM000666	ENSDARP00000069701
SINCAM000668	ENSDARP00000111959
SINCAM000669	ENSDARP00000127983
SINCAM000670	ENSDARP00000116818
SINCAM000671	ENSDARP00000059263
SINCAM000672	ENSDARP00000074544
SINCAM000672	ENSDARP00000064845
SINCAM000678	ENSDARP00000112150
SINCAM000678	ENSDARP00000098162
SINCAM000679	ENSDARP00000105636
SINCAM000682	ENSDARP00000082002
SINCAM000683	ENSDARP00000085532
SINCAM000685	ENSDARP00000106974
SINCAM000687	ENSDARP00000074011
SINCAM000689	ENSDARP00000022481
SINCAM000690	ENSDARP00000101988
SINCAM000691	ENSDARP00000109206
SINCAM000691	ENSDARP00000091825
SINCAM000692	ENSDARP00000117866
SINCAM000692	ENSDARP00000115647
SINCAM000693	ENSDARP00000020465
SINCAM000694	ENSDARP00000114078
SINCAM000694	ENSDARP00000034835
SINCAM000695	ENSDARP00000109630
SINCAM000696	ENSDARP00000070240
SINCAM000698	ENSDARP00000023050
SINCAM000698	ENSDARP00000037261
SINCAM000701	ENSDARP00000077102
SINCAM000701	ENSDARP00000068917
SINCAM000702	ENSDARP00000054689
SINCAM000704	ENSDARP00000103757
SINCAM000705	ENSDARP00000074588
SINCAM000706	ENSDARP00000074570
SINCAM000707	ENSDARP00000118462
SINCAM000710	ENSDARP00000055486
SINCAM000711	ENSDARP00000074564
SINCAM000711	ENSDARP00000078614
SINCAM000713	ENSDARP00000123227
SINCAM000713	ENSDARP00000076041
SINCAM000714	ENSDARP00000118594
SINCAM000714	ENSDARP00000080221
SINCAM000715	ENSDARP00000088891
SINCAM000715	ENSDARP00000054056
SINCAM000716	ENSDARP00000076599
SINCAM000716	ENSDARP00000075879
SINCAM000717	ENSDARP00000075886
SINCAM000719	ENSDARP00000109514
SINCAM000719	ENSDARP00000015855
SINCAM000720	ENSDARP00000112479
SINCAM000722	ENSDARP00000053680
SINCAM000724	ENSDARP00000069096
SINCAM000725	ENSDARP00000073610
SINCAM000726	ENSDARP00000120826
SINCAM000729	ENSDARP00000110316
SINCAM000734	ENSDARP00000003282
SINCAM000735	ENSDARP00000027046
SINCAM000735	ENSDARP00000075862
SINCAM000736	ENSDARP00000003494
SINCAM000736	ENSDARP00000098278
SINCAM000737	ENSDARP00000103808
SINCAM000739	ENSDARP00000083961
SINCAM000739	ENSDARP00000042513
SINCAM000740	ENSDARP00000102078
SINCAM000741	ENSDARP00000104490
SINCAM000741	ENSDARP00000109135
SINCAM000753	ENSDARP00000104863
SINCAM000755	ENSDARP00000054866
SINCAM000756	ENSDARP00000009610
SINCAM000756	ENSDARP00000009156
SINCAM000758	ENSDARP00000054876
SINCAM000758	ENSDARP00000018653
SINCAM000759	ENSDARP00000001039
SINCAM000763	ENSDARP00000103336
SINCAM000764	ENSDARP00000068140
SINCAM000764	ENSDARP00000113679
SINCAM000765	ENSDARP00000077369
SINCAM000771	ENSDARP00000002775
SINCAM000771	ENSDARP00000075873
SINCAM000773	ENSDARP00000037339
SINCAM000773	ENSDARP00000116721
SINCAM000775	ENSDARP00000022555
SINCAM000776	ENSDARP00000016467
SINCAM000780	ENSDARP00000065487
SINCAM000782	ENSDARP00000090523
SINCAM000782	ENSDARP00000127155
SINCAM000785	ENSDARP00000075079
SINCAM000786	ENSDARP00000105843
SINCAM000786	ENSDARP00000108151
SINCAM000788	ENSDARP00000098408
SINCAM000790	ENSDARP00000024334
SINCAM000790	ENSDARP00000114574
SINCAM000796	ENSDARP00000073766
SINCAM000796	ENSDARP00000104247
SINCAM000797	ENSDARP00000049284
SINCAM000797	ENSDARP00000093157
SINCAM000798	ENSDARP00000069092
SINCAM000799	ENSDARP00000069088
SINCAM000799	ENSDARP00000110731
SINCAM000800	ENSDARP00000069085
SINCAM000801	ENSDARP00000067085
SINCAM000802	ENSDARP00000054816
SINCAM000804	ENSDARP00000054813
SINCAM000805	ENSDARP00000078449
SINCAM000805	ENSDARP00000083345
SINCAM000806	ENSDARP00000110431
SINCAM000806	ENSDARP00000110480
SINCAM000808	ENSDARP00000013599
SINCAM000809	ENSDARP00000112388
SINCAM000810	ENSDARP00000108228
SINCAM000810	ENSDARP00000071687
SINCAM000811	ENSDARP00000047739
SINCAM000812	ENSDARP00000111328
SINCAM000814	ENSDARP00000020885
SINCAM000815	ENSDARP00000068647
SINCAM000815	ENSDARP00000123789
SINCAM000816	ENSDARP00000109577
SINCAM000818	ENSDARP00000107312
SINCAM000819	ENSDARP00000068385
SINCAM000820	ENSDARP00000090175
SINCAM000821	ENSDARP00000106027
SINCAM000822	ENSDARP00000015515
SINCAM000822	ENSDARP00000109888
SINCAM000826	ENSDARP00000088415
SINCAM000826	ENSDARP00000080256
SINCAM000827	ENSDARP00000129015
SINCAM000827	ENSDARP00000003894
