ENSP00000001008	SINLEJ016677
ENSP00000216027	SINLEJ015399
ENSP00000216036	SINLEJ014927
ENSP00000216036	SINLEJ003638
ENSP00000216038	SINLEJ010196
ENSP00000216038	SINLEJ010195
ENSP00000216039	SINLEJ002901
ENSP00000216039	SINLEJ002900
ENSP00000216044	SINLEJ002899
ENSP00000216068	SINLEJ002747
ENSP00000216075	SINLEJ007573
ENSP00000216106	SINLEJ014881
ENSP00000216121	SINLEJ017839
ENSP00000216122	SINLEJ001169
ENSP00000216124	SINLEJ007554
ENSP00000216124	SINLEJ007553
ENSP00000216127	SINLEJ011070
ENSP00000216127	SINLEJ015627
ENSP00000216129	SINLEJ007626
ENSP00000216129	SINLEJ007625
ENSP00000216144	SINLEJ016369
ENSP00000216160	SINLEJ002918
ENSP00000216181	SINLEJ016671
ENSP00000216181	SINLEJ016670
ENSP00000216185	SINLEJ012573
ENSP00000216194	SINLEJ002917
ENSP00000216211	SINLEJ017877
ENSP00000216211	SINLEJ007523
ENSP00000216214	SINLEJ013264
ENSP00000216218	SINLEJ005383
ENSP00000216218	SINLEJ005381
ENSP00000216225	SINLEJ017876
ENSP00000216225	SINLEJ019026
ENSP00000216241	SINLEJ011043
ENSP00000216241	SINLEJ015599
ENSP00000216252	SINLEJ003138
ENSP00000216254	SINLEJ017408
ENSP00000216254	SINLEJ017409
ENSP00000216264	SINLEJ011454
ENSP00000216268	SINLEJ017953
ENSP00000216268	SINLEJ011099
ENSP00000216271	SINLEJ007387
ENSP00000216277	SINLEJ000678
ENSP00000216286	SINLEJ000719
ENSP00000216286	SINLEJ000718
ENSP00000216294	SINLEJ001123
ENSP00000216294	SINLEJ001124
ENSP00000216297	SINLEJ014054
ENSP00000216297	SINLEJ014053
ENSP00000216367	SINLEJ016717
ENSP00000216392	SINLEJ000640
ENSP00000216392	SINLEJ000639
ENSP00000216410	SINLEJ005036
ENSP00000216416	SINLEJ001001
ENSP00000216416	SINLEJ014519
ENSP00000216420	SINLEJ004905
ENSP00000216442	SINLEJ008143
ENSP00000216446	SINLEJ005139
ENSP00000216452	SINLEJ005883
ENSP00000216455	SINLEJ002151
ENSP00000216465	SINLEJ016227
ENSP00000216465	SINLEJ005170
ENSP00000216479	SINLEJ005153
ENSP00000216479	SINLEJ001996
ENSP00000216484	SINLEJ005185
ENSP00000216484	SINLEJ016841
ENSP00000216489	SINLEJ013358
ENSP00000216500	SINLEJ013132
ENSP00000216513	SINLEJ001967
ENSP00000216513	SINLEJ000744
ENSP00000216540	SINLEJ001142
ENSP00000216540	SINLEJ001143
ENSP00000216554	SINLEJ001039
ENSP00000216602	SINLEJ005963
ENSP00000216602	SINLEJ005962
ENSP00000216605	SINLEJ014487
ENSP00000216605	SINLEJ014468
ENSP00000216639	SINLEJ014502
ENSP00000216714	SINLEJ017241
ENSP00000216780	SINLEJ013054
ENSP00000216797	SINLEJ001022
ENSP00000216797	SINLEJ005925
ENSP00000216807	SINLEJ000656
ENSP00000216807	SINLEJ000976
ENSP00000216832	SINLEJ001006
ENSP00000216862	SINLEJ013116
ENSP00000216862	SINLEJ013117
ENSP00000216951	SINLEJ013095
ENSP00000216962	SINLEJ005080
ENSP00000217086	SINLEJ012991
ENSP00000217109	SINLEJ016970
ENSP00000217131	SINLEJ016199
ENSP00000217182	SINLEJ008562
ENSP00000217188	SINLEJ005505
ENSP00000217188	SINLEJ010067
ENSP00000217195	SINLEJ004417
ENSP00000217195	SINLEJ004418
ENSP00000217244	SINLEJ015835
ENSP00000217244	SINLEJ011134
ENSP00000217254	SINLEJ011200
ENSP00000217254	SINLEJ011199
ENSP00000217289	SINLEJ001975
ENSP00000217372	SINLEJ015044
ENSP00000217402	SINLEJ012970
ENSP00000217402	SINLEJ011111
ENSP00000217407	SINLEJ003881
ENSP00000217420	SINLEJ009735
ENSP00000217420	SINLEJ018236
ENSP00000217426	SINLEJ009336
ENSP00000217429	SINLEJ011143
ENSP00000217446	SINLEJ013016
ENSP00000217446	SINLEJ013013
ENSP00000217455	SINLEJ011229
ENSP00000217456	SINLEJ001943
ENSP00000217456	SINLEJ001942
ENSP00000217652	SINLEJ008353
ENSP00000217901	SINLEJ012307
ENSP00000217939	SINLEJ014802
ENSP00000217939	SINLEJ013476
ENSP00000217958	SINLEJ006275
ENSP00000217961	SINLEJ001751
ENSP00000218004	SINLEJ014149
ENSP00000218004	SINLEJ014175
ENSP00000218006	SINLEJ013419
ENSP00000218006	SINLEJ008180
ENSP00000218008	SINLEJ014847
ENSP00000218032	SINLEJ003030
ENSP00000218056	SINLEJ016364
ENSP00000218075	SINLEJ017748
ENSP00000218075	SINLEJ017508
ENSP00000218089	SINLEJ013456
ENSP00000218089	SINLEJ013455
ENSP00000218224	SINLEJ007411
ENSP00000218340	SINLEJ018412
ENSP00000218343	SINLEJ018411
ENSP00000218388	SINLEJ009518
ENSP00000218436	SINLEJ013733
ENSP00000218516	SINLEJ007063
ENSP00000218548	SINLEJ002998
ENSP00000218548	SINLEJ002999
ENSP00000218894	SINLEJ007030
ENSP00000219022	SINLEJ010783
ENSP00000219022	SINLEJ010784
ENSP00000219066	SINLEJ018578
ENSP00000219066	SINLEJ014722
ENSP00000219070	SINLEJ013940
ENSP00000219139	SINLEJ013992
ENSP00000219169	SINLEJ017117
ENSP00000219169	SINLEJ011175
ENSP00000219197	SINLEJ008754
ENSP00000219197	SINLEJ011161
ENSP00000219207	SINLEJ002849
ENSP00000219240	SINLEJ009334
ENSP00000219252	SINLEJ014041
ENSP00000219281	SINLEJ009327
ENSP00000219281	SINLEJ015865
ENSP00000219299	SINLEJ009320
ENSP00000219313	SINLEJ009374
ENSP00000219315	SINLEJ009169
ENSP00000219334	SINLEJ009278
ENSP00000219334	SINLEJ013094
ENSP00000219345	SINLEJ008760
ENSP00000219368	SINLEJ009209
ENSP00000219368	SINLEJ013935
ENSP00000219439	SINLEJ013540
ENSP00000219454	SINLEJ008718
ENSP00000219454	SINLEJ008721
ENSP00000219473	SINLEJ011092
ENSP00000219476	SINLEJ002769
ENSP00000219476	SINLEJ002770
ENSP00000219478	SINLEJ016002
ENSP00000219481	SINLEJ015601
ENSP00000219481	SINLEJ011045
ENSP00000219548	SINLEJ003139
ENSP00000219599	SINLEJ010933
ENSP00000219611	SINLEJ011044
ENSP00000219611	SINLEJ015600
ENSP00000219689	SINLEJ014799
ENSP00000219746	SINLEJ008879
ENSP00000219782	SINLEJ019070
ENSP00000219782	SINLEJ000087
ENSP00000219833	SINLEJ013028
ENSP00000219905	SINLEJ006052
ENSP00000219905	SINLEJ006051
ENSP00000219919	SINLEJ000618
ENSP00000219919	SINLEJ000625
ENSP00000220003	SINLEJ016411
ENSP00000220003	SINLEJ003917
ENSP00000220429	SINLEJ000489
ENSP00000220496	SINLEJ014481
ENSP00000220509	SINLEJ004924
ENSP00000220509	SINLEJ004925
ENSP00000220562	SINLEJ008608
ENSP00000220562	SINLEJ008257
ENSP00000220584	SINLEJ008576
ENSP00000220592	SINLEJ015216
ENSP00000220616	SINLEJ006752
ENSP00000220616	SINLEJ006753
ENSP00000220669	SINLEJ012969
ENSP00000220676	SINLEJ009781
ENSP00000220676	SINLEJ002798
ENSP00000220751	SINLEJ008803
ENSP00000220763	SINLEJ009707
ENSP00000220763	SINLEJ009706
ENSP00000220764	SINLEJ011263
ENSP00000220764	SINLEJ011270
ENSP00000220809	SINLEJ015424
ENSP00000220849	SINLEJ005494
ENSP00000220849	SINLEJ005495
ENSP00000220853	SINLEJ008669
ENSP00000220853	SINLEJ008670
ENSP00000220966	SINLEJ012398
ENSP00000221086	SINLEJ009747
ENSP00000221114	SINLEJ004213
ENSP00000221166	SINLEJ003852
ENSP00000221166	SINLEJ003853
ENSP00000221200	SINLEJ008092
ENSP00000221265	SINLEJ001086
ENSP00000221327	SINLEJ018860
ENSP00000221327	SINLEJ018284
ENSP00000221347	SINLEJ014597
ENSP00000221347	SINLEJ017225
ENSP00000221403	SINLEJ016181
ENSP00000221418	SINLEJ004987
ENSP00000221418	SINLEJ004988
ENSP00000221419	SINLEJ004995
ENSP00000221419	SINLEJ002178
ENSP00000221421	SINLEJ016593
ENSP00000221455	SINLEJ014503
ENSP00000221459	SINLEJ016152
ENSP00000221459	SINLEJ002693
ENSP00000221462	SINLEJ001051
ENSP00000221476	SINLEJ005987
ENSP00000221476	SINLEJ001871
ENSP00000221486	SINLEJ000337
ENSP00000221494	SINLEJ000168
ENSP00000221515	SINLEJ005405
ENSP00000221538	SINLEJ002184
ENSP00000221543	SINLEJ016162
ENSP00000221566	SINLEJ012430
ENSP00000221742	SINLEJ009981
ENSP00000221742	SINLEJ009840
ENSP00000221801	SINLEJ014668
ENSP00000221847	SINLEJ000543
ENSP00000221855	SINLEJ005972
ENSP00000221855	SINLEJ005967
ENSP00000221856	SINLEJ003901
ENSP00000221856	SINLEJ016505
ENSP00000221859	SINLEJ001119
ENSP00000221922	SINLEJ001170
ENSP00000221930	SINLEJ001785
ENSP00000221992	SINLEJ014613
ENSP00000221992	SINLEJ014604
ENSP00000222008	SINLEJ600129
ENSP00000222032	SINLEJ016935
ENSP00000222032	SINLEJ016932
ENSP00000222115	SINLEJ015574
ENSP00000222120	SINLEJ018409
ENSP00000222214	SINLEJ012530
ENSP00000222219	SINLEJ000350
ENSP00000222247	SINLEJ007379
ENSP00000222248	SINLEJ015869
ENSP00000222248	SINLEJ010761
ENSP00000222270	SINLEJ014576
ENSP00000222270	SINLEJ018974
ENSP00000222284	SINLEJ016024
ENSP00000222305	SINLEJ018999
ENSP00000222305	SINLEJ003075
ENSP00000222330	SINLEJ600092
ENSP00000222330	SINLEJ018937
ENSP00000222374	SINLEJ010316
ENSP00000222382	SINLEJ005413
ENSP00000222388	SINLEJ001429
ENSP00000222399	SINLEJ015815
ENSP00000222399	SINLEJ015813
ENSP00000222462	SINLEJ011552
ENSP00000222462	SINLEJ007919
ENSP00000222481	SINLEJ012367
ENSP00000222481	SINLEJ011871
ENSP00000222511	SINLEJ003150
ENSP00000222543	SINLEJ016485
ENSP00000222543	SINLEJ016744
ENSP00000222547	SINLEJ004736
ENSP00000222553	SINLEJ007361
ENSP00000222553	SINLEJ012254
ENSP00000222574	SINLEJ015820
ENSP00000222574	SINLEJ009496
ENSP00000222584	SINLEJ010460
ENSP00000222598	SINLEJ003433
ENSP00000222598	SINLEJ600145
ENSP00000222644	SINLEJ600436
ENSP00000222644	SINLEJ003210
ENSP00000222673	SINLEJ005787
ENSP00000222693	SINLEJ007256
ENSP00000222693	SINLEJ015654
ENSP00000222718	SINLEJ001608
ENSP00000222725	SINLEJ014768
ENSP00000222725	SINLEJ002904
ENSP00000222792	SINLEJ001597
ENSP00000222792	SINLEJ010444
ENSP00000222800	SINLEJ011512
ENSP00000222803	SINLEJ013880
ENSP00000222823	SINLEJ013381
ENSP00000222968	SINLEJ005280
ENSP00000223023	SINLEJ007380
ENSP00000223023	SINLEJ012420
ENSP00000223029	SINLEJ002934
ENSP00000223073	SINLEJ013146
ENSP00000223095	SINLEJ015926
ENSP00000223127	SINLEJ007676
ENSP00000223127	SINLEJ007775
ENSP00000223136	SINLEJ017760
ENSP00000223208	SINLEJ013664
ENSP00000223215	SINLEJ013665
ENSP00000223321	SINLEJ600213
ENSP00000223324	SINLEJ600214
ENSP00000223357	SINLEJ019401
ENSP00000223364	SINLEJ007933
ENSP00000223366	SINLEJ004476
ENSP00000223366	SINLEJ004479
ENSP00000223369	SINLEJ015170
ENSP00000223500	SINLEJ013863
ENSP00000223500	SINLEJ013862
ENSP00000223642	SINLEJ009389
ENSP00000224073	SINLEJ016703
ENSP00000224356	SINLEJ015198
ENSP00000224600	SINLEJ010688
ENSP00000224600	SINLEJ015441
ENSP00000224950	SINLEJ003543
ENSP00000225171	SINLEJ006521
ENSP00000225171	SINLEJ006520
ENSP00000225174	SINLEJ005793
ENSP00000225174	SINLEJ005792
ENSP00000225276	SINLEJ018739
ENSP00000225276	SINLEJ013979
ENSP00000225296	SINLEJ013811
ENSP00000225298	SINLEJ005241
ENSP00000225298	SINLEJ005242
ENSP00000225328	SINLEJ011502
ENSP00000225328	SINLEJ000103
ENSP00000225387	SINLEJ003703
ENSP00000225402	SINLEJ010503
ENSP00000225410	SINLEJ011651
ENSP00000225426	SINLEJ001687
ENSP00000225428	SINLEJ003531
ENSP00000225430	SINLEJ015313
ENSP00000225430	SINLEJ018023
ENSP00000225512	SINLEJ004793
ENSP00000225512	SINLEJ001397
ENSP00000225525	SINLEJ017023
ENSP00000225538	SINLEJ003555
ENSP00000225567	SINLEJ013867
ENSP00000225573	SINLEJ003158
ENSP00000225609	SINLEJ011622
ENSP00000225655	SINLEJ013469
ENSP00000225655	SINLEJ017802
ENSP00000225688	SINLEJ009135
ENSP00000225698	SINLEJ003768
ENSP00000225698	SINLEJ003769
ENSP00000225726	SINLEJ011096
ENSP00000225726	SINLEJ017637
ENSP00000225729	SINLEJ009143
ENSP00000225729	SINLEJ009144
ENSP00000225737	SINLEJ011644
ENSP00000225777	SINLEJ005346
ENSP00000225823	SINLEJ600259
ENSP00000225823	SINLEJ003381
ENSP00000225873	SINLEJ011524
ENSP00000225893	SINLEJ014973
ENSP00000225893	SINLEJ003588
ENSP00000225927	SINLEJ600098
ENSP00000225927	SINLEJ600166
ENSP00000225964	SINLEJ003163
ENSP00000225972	SINLEJ009131
ENSP00000226004	SINLEJ012551
ENSP00000226021	SINLEJ002932
ENSP00000226067	SINLEJ017513
ENSP00000226067	SINLEJ011034
ENSP00000226193	SINLEJ009106
ENSP00000226193	SINLEJ002752
ENSP00000226207	SINLEJ014719
ENSP00000226207	SINLEJ014019
ENSP00000226218	SINLEJ016811
ENSP00000226230	SINLEJ015371
ENSP00000226247	SINLEJ014955
ENSP00000226247	SINLEJ003607
ENSP00000226253	SINLEJ015403
ENSP00000226299	SINLEJ004371
ENSP00000226319	SINLEJ014097
ENSP00000226382	SINLEJ006278
ENSP00000226382	SINLEJ015847
ENSP00000226413	SINLEJ000392
ENSP00000226413	SINLEJ012846
ENSP00000226574	SINLEJ015458
ENSP00000226578	SINLEJ010652
ENSP00000226578	SINLEJ015472
ENSP00000226760	SINLEJ011288
ENSP00000226760	SINLEJ012008
ENSP00000226798	SINLEJ004239
ENSP00000226951	SINLEJ011980
ENSP00000227065	SINLEJ015450
ENSP00000227065	SINLEJ010676
ENSP00000227256	SINLEJ013180
ENSP00000227256	SINLEJ017540
ENSP00000227266	SINLEJ017629
ENSP00000227266	SINLEJ014791
ENSP00000227322	SINLEJ016029
ENSP00000227451	SINLEJ003670
ENSP00000227451	SINLEJ016392
ENSP00000227471	SINLEJ003708
ENSP00000227618	SINLEJ600133
ENSP00000227756	SINLEJ015762
ENSP00000227756	SINLEJ017878
ENSP00000227758	SINLEJ018919
ENSP00000227758	SINLEJ019315
ENSP00000228251	SINLEJ007732
ENSP00000228284	SINLEJ015396
ENSP00000228318	SINLEJ012313
ENSP00000228347	SINLEJ002715
ENSP00000228347	SINLEJ002714
ENSP00000228437	SINLEJ012095
ENSP00000228468	SINLEJ001443
ENSP00000228468	SINLEJ003383
ENSP00000228476	SINLEJ003604
ENSP00000228476	SINLEJ014958
ENSP00000228495	SINLEJ015373
ENSP00000228567	SINLEJ013169
ENSP00000228567	SINLEJ007478
ENSP00000228606	SINLEJ003247
ENSP00000228644	SINLEJ019427
ENSP00000228705	SINLEJ007423
ENSP00000228705	SINLEJ011369
ENSP00000228740	SINLEJ009425
ENSP00000228740	SINLEJ009426
ENSP00000228799	SINLEJ007487
ENSP00000228820	SINLEJ006983
ENSP00000228825	SINLEJ000104
ENSP00000228837	SINLEJ008132
ENSP00000228837	SINLEJ013239
ENSP00000228862	SINLEJ002711
ENSP00000228862	SINLEJ008063
ENSP00000228918	SINLEJ010545
ENSP00000229002	SINLEJ016155
ENSP00000229030	SINLEJ003803
ENSP00000229179	SINLEJ004403
ENSP00000229195	SINLEJ008135
ENSP00000229195	SINLEJ008214
ENSP00000229214	SINLEJ018752
ENSP00000229238	SINLEJ007878
ENSP00000229239	SINLEJ003822
ENSP00000229268	SINLEJ012243
ENSP00000229268	SINLEJ012247
ENSP00000229270	SINLEJ012098
ENSP00000229270	SINLEJ012099
ENSP00000229281	SINLEJ015846
ENSP00000229307	SINLEJ009309
ENSP00000229314	SINLEJ007613
ENSP00000229329	SINLEJ007651
ENSP00000229335	SINLEJ018115
ENSP00000229340	SINLEJ011511
ENSP00000229379	SINLEJ018116
ENSP00000229379	SINLEJ018150
ENSP00000229395	SINLEJ002741
ENSP00000229416	SINLEJ017347
ENSP00000229416	SINLEJ017345
ENSP00000229447	SINLEJ014533
ENSP00000229554	SINLEJ002183
ENSP00000229595	SINLEJ000174
ENSP00000229633	SINLEJ008546
ENSP00000229771	SINLEJ007491
ENSP00000229795	SINLEJ009483
ENSP00000229795	SINLEJ011323
ENSP00000229812	SINLEJ016861
ENSP00000229922	SINLEJ002672
ENSP00000230048	SINLEJ015268
ENSP00000230050	SINLEJ005519
ENSP00000230053	SINLEJ008383
ENSP00000230053	SINLEJ009789
ENSP00000230056	SINLEJ006905
ENSP00000230085	SINLEJ012701
ENSP00000230085	SINLEJ012707
ENSP00000230124	SINLEJ012714
ENSP00000230124	SINLEJ012715
ENSP00000230256	SINLEJ018843
ENSP00000230340	SINLEJ012360
ENSP00000230361	SINLEJ016588
ENSP00000230381	SINLEJ017079
ENSP00000230381	SINLEJ016238
ENSP00000230431	SINLEJ016713
ENSP00000230461	SINLEJ012599
ENSP00000230461	SINLEJ012627
ENSP00000230538	SINLEJ008487
ENSP00000230538	SINLEJ008486
ENSP00000230582	SINLEJ015546
ENSP00000230582	SINLEJ000705
ENSP00000230588	SINLEJ002805
ENSP00000230640	SINLEJ009845
ENSP00000230640	SINLEJ000005
ENSP00000230658	SINLEJ012812
ENSP00000230658	SINLEJ012815
ENSP00000230671	SINLEJ003729
ENSP00000230732	SINLEJ006260
ENSP00000230859	SINLEJ008894
ENSP00000230859	SINLEJ016331
ENSP00000230882	SINLEJ012490
ENSP00000231004	SINLEJ010776
ENSP00000231009	SINLEJ006148
ENSP00000231061	SINLEJ015539
ENSP00000231198	SINLEJ007448
ENSP00000231198	SINLEJ007447
