fgenesh2_pg.scaffold_351000043	ENSP00000261819
fgenesh2_pg.scaffold_384000004	ENSP00000376307
fgenesh2_pg.scaffold_384000018	ENSP00000344254
fgenesh2_pg.scaffold_384000039	ENSP00000353537
fgenesh2_pg.scaffold_384000041	ENSP00000216124
fgenesh2_pg.scaffold_384000041	ENSP00000407193
fgenesh2_pg.scaffold_385000004	ENSP00000380557
fgenesh2_pg.scaffold_385000013	ENSP00000359497
fgenesh2_pg.scaffold_385000017	ENSP00000297578
fgenesh2_pg.scaffold_385000018	ENSP00000429084
fgenesh2_pg.scaffold_386000023	ENSP00000366317
fgenesh2_pg.scaffold_386000031	ENSP00000284885
fgenesh2_pg.scaffold_386000031	ENSP00000473410
fgenesh2_pg.scaffold_386000032	ENSP00000393138
fgenesh2_pg.scaffold_386000033	ENSP00000278742
fgenesh2_pg.scaffold_386000033	ENSP00000273857
fgenesh2_pg.scaffold_387000005	ENSP00000341267
fgenesh2_pg.scaffold_388000003	ENSP00000311827
fgenesh2_pg.scaffold_388000016	ENSP00000341214
fgenesh2_pg.scaffold_388000032	ENSP00000264734
fgenesh2_pg.scaffold_388000033	ENSP00000183605
fgenesh2_pg.scaffold_389000024	ENSP00000359339
fgenesh2_pg.scaffold_391000010	ENSP00000359204
fgenesh2_pg.scaffold_391000010	ENSP00000364008
fgenesh2_pg.scaffold_391000023	ENSP00000402505
fgenesh2_pg.scaffold_391000033	ENSP00000357409
fgenesh2_pg.scaffold_391000033	ENSP00000295542
fgenesh2_pg.scaffold_391000033	ENSP00000297581
fgenesh2_pg.scaffold_391000033	ENSP00000279028
fgenesh2_pg.scaffold_393000025	ENSP00000367429
fgenesh2_pg.scaffold_394000016	ENSP00000357068
fgenesh2_pg.scaffold_394000023	ENSP00000379367
fgenesh2_pg.scaffold_394000030	ENSP00000383961
fgenesh2_pg.scaffold_395000006	ENSP00000353198
fgenesh2_pg.scaffold_395000037	ENSP00000410083
fgenesh2_pg.scaffold_396000016	ENSP00000380933
fgenesh2_pg.scaffold_396000027	ENSP00000219207
fgenesh2_pg.scaffold_396000027	ENSP00000475434
fgenesh2_pg.scaffold_397000003	ENSP00000274897
fgenesh2_pg.scaffold_398000059	ENSP00000298622
fgenesh2_pg.scaffold_399000020	ENSP00000437680
fgenesh2_pg.scaffold_399000022	ENSP00000365261
fgenesh2_pg.scaffold_400000004	ENSP00000257894
fgenesh2_pg.scaffold_400000006	ENSP00000472234
fgenesh2_pg.scaffold_400000031	ENSP00000356607
fgenesh2_pg.scaffold_402000006	ENSP00000379640
fgenesh2_pg.scaffold_402000006	ENSP00000222718
fgenesh2_pg.scaffold_402000021	ENSP00000363023
fgenesh2_pg.scaffold_402000023	ENSP00000331939
fgenesh2_pg.scaffold_402000028	ENSP00000264607
fgenesh2_pg.scaffold_403000003	ENSP00000361207
fgenesh2_pg.scaffold_403000022	ENSP00000355261
fgenesh2_pg.scaffold_403000023	ENSP00000365735
fgenesh2_pg.scaffold_403000023	ENSP00000262953
fgenesh2_pg.scaffold_403000023	ENSP00000246112
fgenesh2_pg.scaffold_403000025	ENSP00000305682
fgenesh2_pg.scaffold_404000010	ENSP00000411355
fgenesh2_pg.scaffold_404000038	ENSP00000242784
fgenesh2_pg.scaffold_405000003	ENSP00000291691
fgenesh2_pg.scaffold_406000011	ENSP00000343435
fgenesh2_pg.scaffold_406000011	ENSP00000366098
fgenesh2_pg.scaffold_406000014	ENSP00000282041
fgenesh2_pg.scaffold_406000026	ENSP00000356536
fgenesh2_pg.scaffold_406000028	ENSP00000351813
fgenesh2_pg.scaffold_407000028	ENSP00000385795
fgenesh2_pg.scaffold_408000034	ENSP00000419485
fgenesh2_pg.scaffold_409000005	ENSP00000053867
fgenesh2_pg.scaffold_410000005	ENSP00000261475
fgenesh2_pg.scaffold_410000008	ENSP00000322460
fgenesh2_pg.scaffold_410000011	ENSP00000384212
fgenesh2_pg.scaffold_410000031	ENSP00000367756
fgenesh2_pg.scaffold_410000048	ENSP00000354632
fgenesh2_pg.scaffold_411000014	ENSP00000316101
fgenesh2_pg.scaffold_411000041	ENSP00000358777
fgenesh2_pg.scaffold_411000041	ENSP00000369513
fgenesh2_pg.scaffold_411000054	ENSP00000296318
fgenesh2_pg.scaffold_412000006	ENSP00000461749
fgenesh2_pg.scaffold_412000007	ENSP00000365318
fgenesh2_pg.scaffold_413000015	ENSP00000264344
fgenesh2_pg.scaffold_413000023	ENSP00000358413
fgenesh2_pg.scaffold_413000024	ENSP00000366522
fgenesh2_pg.scaffold_414000003	ENSP00000366032
fgenesh2_pg.scaffold_414000018	ENSP00000312770
fgenesh2_pg.scaffold_414000023	ENSP00000343115
fgenesh2_pg.scaffold_415000003	ENSP00000386921
fgenesh2_pg.scaffold_415000037	ENSP00000401980
fgenesh2_pg.scaffold_415000038	ENSP00000286758
fgenesh2_pg.scaffold_416000004	ENSP00000262960
fgenesh2_pg.scaffold_416000027	ENSP00000423541
fgenesh2_pg.scaffold_417000003	ENSP00000373278
fgenesh2_pg.scaffold_417000011	ENSP00000275780
fgenesh2_pg.scaffold_417000012	ENSP00000301071
fgenesh2_pg.scaffold_417000012	ENSP00000326042
fgenesh2_pg.scaffold_417000012	ENSP00000301072
fgenesh2_pg.scaffold_417000012	ENSP00000318197
fgenesh2_pg.scaffold_417000012	ENSP00000248437
fgenesh2_pg.scaffold_417000015	ENSP00000370812
fgenesh2_pg.scaffold_418000015	ENSP00000473370
fgenesh2_pg.scaffold_418000024	ENSP00000372199
fgenesh2_pg.scaffold_419000014	ENSP00000223210
fgenesh2_pg.scaffold_419000027	ENSP00000359691
fgenesh2_pg.scaffold_421000002	ENSP00000274353
fgenesh2_pg.scaffold_421000008	ENSP00000396117
fgenesh2_pg.scaffold_421000017	ENSP00000386133
fgenesh2_pg.scaffold_421000019	ENSP00000413064
fgenesh2_pg.scaffold_421000023	ENSP00000351596
fgenesh2_pg.scaffold_421000042	ENSP00000369558
fgenesh2_pg.scaffold_422000007	ENSP00000393840
fgenesh2_pg.scaffold_422000008	ENSP00000416739
fgenesh2_pg.scaffold_422000031	ENSP00000429190
fgenesh2_pg.scaffold_423000008	ENSP00000357112
fgenesh2_pg.scaffold_423000012	ENSP00000259467
fgenesh2_pg.scaffold_423000012	ENSP00000375855
fgenesh2_pg.scaffold_423000017	ENSP00000273258
fgenesh2_pg.scaffold_423000017	ENSP00000365570
fgenesh2_pg.scaffold_423000018	ENSP00000378118
fgenesh2_pg.scaffold_423000025	ENSP00000303452
fgenesh2_pg.scaffold_425000008	ENSP00000268676
fgenesh2_pg.scaffold_425000012	ENSP00000322439
fgenesh2_pg.scaffold_426000018	ENSP00000261313
fgenesh2_pg.scaffold_426000022	ENSP00000366682
fgenesh2_pg.scaffold_426000035	ENSP00000326445
fgenesh2_pg.scaffold_426000048	ENSP00000256495
fgenesh2_pg.scaffold_427000017	ENSP00000264606
fgenesh2_pg.scaffold_428000010	ENSP00000369564
fgenesh2_pg.scaffold_428000024	ENSP00000292169
fgenesh2_pg.scaffold_429000005	ENSP00000338607
fgenesh2_pg.scaffold_429000008	ENSP00000379975
fgenesh2_pg.scaffold_429000016	ENSP00000072869
fgenesh2_pg.scaffold_430000006	ENSP00000297156
fgenesh2_pg.scaffold_430000022	ENSP00000367059
fgenesh2_pg.scaffold_430000035	ENSP00000462647
fgenesh2_pg.scaffold_430000040	ENSP00000437783
fgenesh2_pg.scaffold_431000004	ENSP00000436621
fgenesh2_pg.scaffold_432000027	ENSP00000270593
fgenesh2_pg.scaffold_432000028	ENSP00000351248
fgenesh2_pg.scaffold_432000029	ENSP00000473163
fgenesh2_pg.scaffold_432000036	ENSP00000263610
fgenesh2_pg.scaffold_432000040	ENSP00000379191
fgenesh2_pg.scaffold_432000042	ENSP00000382485
fgenesh2_pg.scaffold_435000001	ENSP00000329942
fgenesh2_pg.scaffold_435000006	ENSP00000290039
fgenesh2_pg.scaffold_435000009	ENSP00000377311
fgenesh2_pg.scaffold_435000011	ENSP00000384434
fgenesh2_pg.scaffold_435000031	ENSP00000394047
fgenesh2_pg.scaffold_436000014	ENSP00000318147
fgenesh2_pg.scaffold_436000015	ENSP00000340427
fgenesh2_pg.scaffold_437000001	ENSP00000343172
fgenesh2_pg.scaffold_437000002	ENSP00000294338
fgenesh2_pg.scaffold_437000024	ENSP00000365076
fgenesh2_pg.scaffold_438000005	ENSP00000356016
fgenesh2_pg.scaffold_438000005	ENSP00000356024
fgenesh2_pg.scaffold_438000009	ENSP00000399441
fgenesh2_pg.scaffold_438000009	ENSP00000423812
fgenesh2_pg.scaffold_438000011	ENSP00000248643
fgenesh2_pg.scaffold_438000033	ENSP00000343464
fgenesh2_pg.scaffold_439000005	ENSP00000398617
fgenesh2_pg.scaffold_439000020	ENSP00000306991
fgenesh2_pg.scaffold_439000020	ENSP00000222115
fgenesh2_pg.scaffold_439000027	ENSP00000370485
fgenesh2_pg.scaffold_440000010	ENSP00000378687
fgenesh2_pg.scaffold_440000015	ENSP00000474456
fgenesh2_pg.scaffold_441000019	ENSP00000355206
fgenesh2_pg.scaffold_441000037	ENSP00000319788
fgenesh2_pg.scaffold_442000006	ENSP00000438863
fgenesh2_pg.scaffold_442000010	ENSP00000344989
fgenesh2_pg.scaffold_442000051	ENSP00000370979
fgenesh2_pg.scaffold_443000001	ENSP00000467419
fgenesh2_pg.scaffold_443000004	ENSP00000360938
fgenesh2_pg.scaffold_443000007	ENSP00000340083
fgenesh2_pg.scaffold_445000011	ENSP00000328090
fgenesh2_pg.scaffold_446000010	ENSP00000368547
fgenesh2_pg.scaffold_446000018	ENSP00000346335
fgenesh2_pg.scaffold_446000019	ENSP00000216445
fgenesh2_pg.scaffold_446000029	ENSP00000360149
fgenesh2_pg.scaffold_446000033	ENSP00000376943
fgenesh2_pg.scaffold_447000002	ENSP00000296953
fgenesh2_pg.scaffold_447000005	ENSP00000231668
fgenesh2_pg.scaffold_447000013	ENSP00000331907
fgenesh2_pg.scaffold_449000021	ENSP00000401597
fgenesh2_pg.scaffold_449000030	ENSP00000472830
fgenesh2_pg.scaffold_450000016	ENSP00000299565
fgenesh2_pg.scaffold_450000016	ENSP00000261007
fgenesh2_pg.scaffold_450000022	ENSP00000370083
fgenesh2_pg.scaffold_450000023	ENSP00000247001
fgenesh2_pg.scaffold_450000033	ENSP00000381703
fgenesh2_pg.scaffold_451000018	ENSP00000361635
fgenesh2_pg.scaffold_451000018	ENSP00000428845
fgenesh2_pg.scaffold_452000028	ENSP00000357218
fgenesh2_pg.scaffold_452000028	ENSP00000426964
fgenesh2_pg.scaffold_452000028	ENSP00000452549
fgenesh2_pg.scaffold_452000029	ENSP00000383093
fgenesh2_pg.scaffold_452000036	ENSP00000402697
fgenesh2_pg.scaffold_452000039	ENSP00000257895
fgenesh2_pg.scaffold_453000018	ENSP00000475594
fgenesh2_pg.scaffold_454000007	ENSP00000354829
fgenesh2_pg.scaffold_454000010	ENSP00000313432
fgenesh2_pg.scaffold_455000014	ENSP00000376250
fgenesh2_pg.scaffold_457000020	ENSP00000392452
fgenesh2_pg.scaffold_458000006	ENSP00000384193
fgenesh2_pg.scaffold_458000009	ENSP00000452420
fgenesh2_pg.scaffold_458000013	ENSP00000311665
fgenesh2_pg.scaffold_458000014	ENSP00000358039
fgenesh2_pg.scaffold_458000015	ENSP00000316628
fgenesh2_pg.scaffold_458000016	ENSP00000278903
fgenesh2_pg.scaffold_458000024	ENSP00000363773
fgenesh2_pg.scaffold_459000002	ENSP00000269197
fgenesh2_pg.scaffold_459000007	ENSP00000360860
fgenesh2_pg.scaffold_459000031	ENSP00000368831
fgenesh2_pg.scaffold_459000042	ENSP00000291890
fgenesh2_pg.scaffold_460000013	ENSP00000296824
fgenesh2_pg.scaffold_463000016	ENSP00000349364
fgenesh2_pg.scaffold_463000018	ENSP00000367104
fgenesh2_pg.scaffold_463000032	ENSP00000268070
fgenesh2_pg.scaffold_463000045	ENSP00000318423
fgenesh2_pg.scaffold_463000051	ENSP00000343741
fgenesh2_pg.scaffold_463000052	ENSP00000335144
fgenesh2_pg.scaffold_464000003	ENSP00000295981
fgenesh2_pg.scaffold_464000019	ENSP00000303028
fgenesh2_pg.scaffold_465000001	ENSP00000445418
fgenesh2_pg.scaffold_465000025	ENSP00000381953
fgenesh2_pg.scaffold_466000008	ENSP00000387380
fgenesh2_pg.scaffold_466000018	ENSP00000374825
fgenesh2_pg.scaffold_466000021	ENSP00000367157
fgenesh2_pg.scaffold_466000032	ENSP00000417659
fgenesh2_pg.scaffold_467000015	ENSP00000368184
fgenesh2_pg.scaffold_467000017	ENSP00000400448
fgenesh2_pg.scaffold_468000006	ENSP00000392909
fgenesh2_pg.scaffold_468000008	ENSP00000360244
fgenesh2_pg.scaffold_468000016	ENSP00000360329
fgenesh2_pg.scaffold_468000019	ENSP00000360262
fgenesh2_pg.scaffold_470000027	ENSP00000454157
fgenesh2_pg.scaffold_471000021	ENSP00000260505
fgenesh2_pg.scaffold_472000004	ENSP00000340677
fgenesh2_pg.scaffold_475000016	ENSP00000296029
fgenesh2_pg.scaffold_476000020	ENSP00000378555
fgenesh2_pg.scaffold_476000020	ENSP00000431536
fgenesh2_pg.scaffold_477000015	ENSP00000349709
fgenesh2_pg.scaffold_478000027	ENSP00000292114
fgenesh2_pg.scaffold_479000015	ENSP00000363799
fgenesh2_pg.scaffold_479000027	ENSP00000209873
fgenesh2_pg.scaffold_480000011	ENSP00000380322
fgenesh2_pg.scaffold_480000020	ENSP00000373575
fgenesh2_pg.scaffold_481000007	ENSP00000376077
fgenesh2_pg.scaffold_481000007	ENSP00000391266
fgenesh2_pg.scaffold_481000014	ENSP00000363545
fgenesh2_pg.scaffold_481000028	ENSP00000365103
fgenesh2_pg.scaffold_481000030	ENSP00000315794
fgenesh2_pg.scaffold_482000025	ENSP00000471613
fgenesh2_pg.scaffold_484000006	ENSP00000245787
fgenesh2_pg.scaffold_484000012	ENSP00000358918
fgenesh2_pg.scaffold_484000017	ENSP00000264162
fgenesh2_pg.scaffold_484000017	ENSP00000369442
fgenesh2_pg.scaffold_484000027	ENSP00000357575
fgenesh2_pg.scaffold_484000031	ENSP00000342075
fgenesh2_pg.scaffold_484000033	ENSP00000260762
fgenesh2_pg.scaffold_486000005	ENSP00000323527
fgenesh2_pg.scaffold_486000033	ENSP00000283006
fgenesh2_pg.scaffold_488000010	ENSP00000391457
fgenesh2_pg.scaffold_489000005	ENSP00000369810
fgenesh2_pg.scaffold_489000019	ENSP00000371846
fgenesh2_pg.scaffold_489000023	ENSP00000379472
fgenesh2_pg.scaffold_491000016	ENSP00000261844
fgenesh2_pg.scaffold_492000016	ENSP00000409655
fgenesh2_pg.scaffold_492000020	ENSP00000459962
fgenesh2_pg.scaffold_493000032	ENSP00000408827
fgenesh2_pg.scaffold_493000043	ENSP00000352271
fgenesh2_pg.scaffold_493000046	ENSP00000383978
fgenesh2_pg.scaffold_496000015	ENSP00000359283
fgenesh2_pg.scaffold_496000026	ENSP00000310205
fgenesh2_pg.scaffold_496000031	ENSP00000362230
fgenesh2_pg.scaffold_497000007	ENSP00000410216
fgenesh2_pg.scaffold_498000008	ENSP00000267814
fgenesh2_pg.scaffold_499000014	ENSP00000419361
fgenesh2_pg.scaffold_499000014	ENSP00000297323
fgenesh2_pg.scaffold_503000005	ENSP00000333097
fgenesh2_pg.scaffold_503000011	ENSP00000335044
fgenesh2_pg.scaffold_504000005	ENSP00000355361
fgenesh2_pg.scaffold_504000008	ENSP00000253008
fgenesh2_pg.scaffold_504000009	ENSP00000384670
fgenesh2_pg.scaffold_504000024	ENSP00000352400
fgenesh2_pg.scaffold_505000007	ENSP00000354730
fgenesh2_pg.scaffold_505000009	ENSP00000357900
fgenesh2_pg.scaffold_505000017	ENSP00000308024
fgenesh2_pg.scaffold_505000023	ENSP00000327608
fgenesh2_pg.scaffold_505000025	ENSP00000380516
fgenesh2_pg.scaffold_506000005	ENSP00000359415
fgenesh2_pg.scaffold_506000009	ENSP00000388523
fgenesh2_pg.scaffold_508000037	ENSP00000370503
fgenesh2_pg.scaffold_508000037	ENSP00000262659
fgenesh2_pg.scaffold_509000004	ENSP00000376456
fgenesh2_pg.scaffold_509000004	ENSP00000287590
fgenesh2_pg.scaffold_510000012	ENSP00000470788
fgenesh2_pg.scaffold_512000023	ENSP00000363360
fgenesh2_pg.scaffold_512000037	ENSP00000364621
fgenesh2_pg.scaffold_513000011	ENSP00000366525
fgenesh2_pg.scaffold_513000013	ENSP00000473001
fgenesh2_pg.scaffold_513000017	ENSP00000398568
fgenesh2_pg.scaffold_514000007	ENSP00000308332
fgenesh2_pg.scaffold_515000015	ENSP00000442291
fgenesh2_pg.scaffold_515000017	ENSP00000356379
fgenesh2_pg.scaffold_515000017	ENSP00000394653
fgenesh2_pg.scaffold_515000023	ENSP00000322937
fgenesh2_pg.scaffold_516000002	ENSP00000359660
fgenesh2_pg.scaffold_517000017	ENSP00000349208
fgenesh2_pg.scaffold_517000019	ENSP00000297157
fgenesh2_pg.scaffold_517000029	ENSP00000304689
fgenesh2_pg.scaffold_518000005	ENSP00000295951
fgenesh2_pg.scaffold_518000005	ENSP00000355991
fgenesh2_pg.scaffold_518000008	ENSP00000265295
fgenesh2_pg.scaffold_519000001	ENSP00000357796
fgenesh2_pg.scaffold_519000008	ENSP00000442192
fgenesh2_pg.scaffold_519000013	ENSP00000295756
fgenesh2_pg.scaffold_520000017	ENSP00000338228
fgenesh2_pg.scaffold_522000017	ENSP00000474420
fgenesh2_pg.scaffold_523000003	ENSP00000300584
fgenesh2_pg.scaffold_523000011	ENSP00000465638
fgenesh2_pg.scaffold_523000021	ENSP00000357660
fgenesh2_pg.scaffold_523000021	ENSP00000457784
fgenesh2_pg.scaffold_525000001	ENSP00000451575
fgenesh2_pg.scaffold_525000003	ENSP00000451837
fgenesh2_pg.scaffold_525000004	ENSP00000418357
fgenesh2_pg.scaffold_525000005	ENSP00000452209
fgenesh2_pg.scaffold_525000006	ENSP00000374871
fgenesh2_pg.scaffold_525000008	ENSP00000368682
fgenesh2_pg.scaffold_527000023	ENSP00000371471
fgenesh2_pg.scaffold_528000016	ENSP00000332018
fgenesh2_pg.scaffold_530000010	ENSP00000297135
fgenesh2_pg.scaffold_530000016	ENSP00000367499
fgenesh2_pg.scaffold_530000026	ENSP00000241463
fgenesh2_pg.scaffold_531000012	ENSP00000221973
fgenesh2_pg.scaffold_531000012	ENSP00000291715
fgenesh2_pg.scaffold_532000013	ENSP00000386049
fgenesh2_pg.scaffold_532000027	ENSP00000365426
fgenesh2_pg.scaffold_534000022	ENSP00000424040
fgenesh2_pg.scaffold_534000029	ENSP00000455026
fgenesh2_pg.scaffold_536000005	ENSP00000340691
fgenesh2_pg.scaffold_536000018	ENSP00000383399
fgenesh2_pg.scaffold_538000002	ENSP00000386137
fgenesh2_pg.scaffold_538000019	ENSP00000299353
fgenesh2_pg.scaffold_538000020	ENSP00000438251
fgenesh2_pg.scaffold_539000019	ENSP00000352299
fgenesh2_pg.scaffold_541000006	ENSP00000285737
fgenesh2_pg.scaffold_542000006	ENSP00000342513
fgenesh2_pg.scaffold_542000021	ENSP00000364978
fgenesh2_pg.scaffold_544000022	ENSP00000273221
fgenesh2_pg.scaffold_545000007	ENSP00000371872
fgenesh2_pg.scaffold_546000001	ENSP00000451750
fgenesh2_pg.scaffold_546000014	ENSP00000257626
fgenesh2_pg.scaffold_546000024	ENSP00000370849
fgenesh2_pg.scaffold_549000002	ENSP00000310557
fgenesh2_pg.scaffold_550000002	ENSP00000252136
fgenesh2_pg.scaffold_550000004	ENSP00000312615
fgenesh2_pg.scaffold_550000008	ENSP00000279392
fgenesh2_pg.scaffold_550000018	ENSP00000261733
fgenesh2_pg.scaffold_550000018	ENSP00000249750
fgenesh2_pg.scaffold_550000018	ENSP00000332256
fgenesh2_pg.scaffold_550000018	ENSP00000450353
fgenesh2_pg.scaffold_551000019	ENSP00000225402
fgenesh2_pg.scaffold_552000002	ENSP00000293405
fgenesh2_pg.scaffold_552000010	ENSP00000472415
fgenesh2_pg.scaffold_553000021	ENSP00000421725
fgenesh2_pg.scaffold_553000023	ENSP00000379003
fgenesh2_pg.scaffold_553000045	ENSP00000365963
fgenesh2_pg.scaffold_554000005	ENSP00000324693
fgenesh2_pg.scaffold_554000005	ENSP00000288955
fgenesh2_pg.scaffold_555000013	ENSP00000335371
fgenesh2_pg.scaffold_557000016	ENSP00000357753
fgenesh2_pg.scaffold_557000031	ENSP00000355078
fgenesh2_pg.scaffold_558000010	ENSP00000376553
fgenesh2_pg.scaffold_558000025	ENSP00000247668
fgenesh2_pg.scaffold_559000012	ENSP00000309262
fgenesh2_pg.scaffold_560000005	ENSP00000454012
fgenesh2_pg.scaffold_560000010	ENSP00000252826
fgenesh2_pg.scaffold_560000014	ENSP00000296679
fgenesh2_pg.scaffold_561000002	ENSP00000370968
fgenesh2_pg.scaffold_561000009	ENSP00000455607
fgenesh2_pg.scaffold_561000010	ENSP00000345487
fgenesh2_pg.scaffold_561000020	ENSP00000385415
fgenesh2_pg.scaffold_562000005	ENSP00000286621
fgenesh2_pg.scaffold_562000007	ENSP00000370227
fgenesh2_pg.scaffold_562000008	ENSP00000295400
fgenesh2_pg.scaffold_562000014	ENSP00000423602
fgenesh2_pg.scaffold_562000024	ENSP00000362424
fgenesh2_pg.scaffold_563000015	ENSP00000261381
fgenesh2_pg.scaffold_565000009	ENSP00000358059
fgenesh2_pg.scaffold_565000029	ENSP00000280357
fgenesh2_pg.scaffold_567000003	ENSP00000405676
fgenesh2_pg.scaffold_568000011	ENSP00000259050
fgenesh2_pg.scaffold_569000009	ENSP00000298355
fgenesh2_pg.scaffold_569000013	ENSP00000327994
fgenesh2_pg.scaffold_569000028	ENSP00000308334
fgenesh2_pg.scaffold_570000010	ENSP00000332766
fgenesh2_pg.scaffold_570000018	ENSP00000418754
fgenesh2_pg.scaffold_571000001	ENSP00000242249
fgenesh2_pg.scaffold_571000003	ENSP00000253796
fgenesh2_pg.scaffold_571000005	ENSP00000254661
fgenesh2_pg.scaffold_572000011	ENSP00000308318
