ENSTGUP00000000001	SINCAM013965
ENSTGUP00000000192	SINCAM010189
ENSTGUP00000000194	SINCAM010188
ENSTGUP00000000195	SINCAM010187
ENSTGUP00000000196	SINCAM013958
ENSTGUP00000000197	SINCAM010074
ENSTGUP00000000199	SINCAM010072
ENSTGUP00000000200	SINCAM010070
ENSTGUP00000000201	SINCAM013040
ENSTGUP00000000202	SINCAM013044
ENSTGUP00000000203	SINCAM010012
ENSTGUP00000000204	SINCAM000327
ENSTGUP00000000205	SINCAM922484
ENSTGUP00000000206	SINCAM010069
ENSTGUP00000000207	SINCAM013524
ENSTGUP00000000209	SINCAM010068
ENSTGUP00000000210	SINCAM006951
ENSTGUP00000000211	SINCAM010155
ENSTGUP00000000213	SINCAM008540
ENSTGUP00000000214	SINCAM000328
ENSTGUP00000000215	SINCAM013046
ENSTGUP00000000216	SINCAM013962
ENSTGUP00000000217	SINCAM000329
ENSTGUP00000000218	SINCAM010018
ENSTGUP00000000219	SINCAM001485
ENSTGUP00000000221	SINCAM001484
ENSTGUP00000000222	SINCAM001483
ENSTGUP00000000225	SINCAM010010
ENSTGUP00000000228	SINCAM001480
ENSTGUP00000000230	SINCAM010011
ENSTGUP00000000232	SINCAM013541
ENSTGUP00000000233	SINCAM013995
ENSTGUP00000000235	SINCAM013543
ENSTGUP00000000236	SINCAM000881
ENSTGUP00000000238	SINCAM001649
ENSTGUP00000000240	SINCAM010014
ENSTGUP00000000242	SINCAM010015
ENSTGUP00000000244	SINCAM000838
ENSTGUP00000000246	SINCAM920655
ENSTGUP00000000247	SINCAM001514
ENSTGUP00000000248	SINCAM001513
ENSTGUP00000000249	SINCAM001512
ENSTGUP00000000250	SINCAM005230
ENSTGUP00000000252	SINCAM010017
ENSTGUP00000000253	SINCAM920753
ENSTGUP00000000254	SINCAM001510
ENSTGUP00000000257	SINCAM001507
ENSTGUP00000000258	SINCAM013953
ENSTGUP00000000259	SINCAM001515
ENSTGUP00000000260	SINCAM920564
ENSTGUP00000000262	SINCAM010093
ENSTGUP00000000263	SINCAM001517
ENSTGUP00000000264	SINCAM001518
ENSTGUP00000000266	SINCAM010094
ENSTGUP00000000267	SINCAM922477
ENSTGUP00000000268	SINCAM013951
ENSTGUP00000000269	SINCAM000837
ENSTGUP00000000270	SINCAM001519
ENSTGUP00000000272	SINCAM010096
ENSTGUP00000000274	SINCAM001520
ENSTGUP00000000276	SINCAM000069
ENSTGUP00000000277	SINCAM922479
ENSTGUP00000000278	SINCAM013410
ENSTGUP00000000279	SINCAM013949
ENSTGUP00000000280	SINCAM010097
ENSTGUP00000000281	SINCAM013035
ENSTGUP00000000282	SINCAM000317
ENSTGUP00000000283	SINCAM000112
ENSTGUP00000000285	SINCAM001522
ENSTGUP00000000286	SINCAM007772
ENSTGUP00000000287	SINCAM012869
ENSTGUP00000000288	SINCAM001524
ENSTGUP00000000289	SINCAM010098
ENSTGUP00000000290	SINCAM000111
ENSTGUP00000000291	SINCAM010003
ENSTGUP00000000292	SINCAM001525
ENSTGUP00000000293	SINCAM013911
ENSTGUP00000000295	SINCAM012828
ENSTGUP00000000296	SINCAM012390
ENSTGUP00000000297	SINCAM012873
ENSTGUP00000000298	SINCAM010005
ENSTGUP00000000300	SINCAM013941
ENSTGUP00000000301	SINCAM010007
ENSTGUP00000000302	SINCAM014410
ENSTGUP00000000303	SINCAM013933
ENSTGUP00000000304	SINCAM012874
ENSTGUP00000000305	SINCAM922733
ENSTGUP00000000306	SINCAM014397
ENSTGUP00000000307	SINCAM012875
ENSTGUP00000000308	SINCAM013918
ENSTGUP00000000309	SINCAM013531
ENSTGUP00000000312	SINCAM010009
ENSTGUP00000000314	SINCAM922455
ENSTGUP00000000315	SINCAM922456
ENSTGUP00000000316	SINCAM010085
ENSTGUP00000000318	SINCAM922739
ENSTGUP00000000319	SINCAM010082
ENSTGUP00000000320	SINCAM010081
ENSTGUP00000000321	SINCAM922738
ENSTGUP00000000323	SINCAM013992
ENSTGUP00000000324	SINCAM012878
ENSTGUP00000000325	SINCAM000435
ENSTGUP00000000328	SINCAM000436
ENSTGUP00000000329	SINCAM013993
ENSTGUP00000000333	SINCAM013991
ENSTGUP00000000334	SINCAM012862
ENSTGUP00000000337	SINCAM001526
ENSTGUP00000000338	SINCAM010077
ENSTGUP00000000339	SINCAM012853
ENSTGUP00000000340	SINCAM922737
ENSTGUP00000000341	SINCAM012740
ENSTGUP00000000342	SINCAM000890
ENSTGUP00000000343	SINCAM010088
ENSTGUP00000000346	SINCAM010090
ENSTGUP00000000348	SINCAM000889
ENSTGUP00000000349	SINCAM013989
ENSTGUP00000000350	SINCAM010091
ENSTGUP00000000351	SINCAM013530
ENSTGUP00000000352	SINCAM012852
ENSTGUP00000000353	SINCAM014004
ENSTGUP00000000354	SINCAM014003
ENSTGUP00000000357	SINCAM012850
ENSTGUP00000000358	SINCAM001527
ENSTGUP00000000359	SINCAM010126
ENSTGUP00000000361	SINCAM013972
ENSTGUP00000000362	SINCAM013974
ENSTGUP00000000365	SINCAM900188
ENSTGUP00000000366	SINCAM004078
ENSTGUP00000000367	SINCAM900210
ENSTGUP00000000368	SINCAM012845
ENSTGUP00000000370	SINCAM900209
ENSTGUP00000000372	SINCAM011115
ENSTGUP00000000374	SINCAM012844
ENSTGUP00000000375	SINCAM011114
ENSTGUP00000000376	SINCAM013930
ENSTGUP00000000378	SINCAM001495
ENSTGUP00000000382	SINCAM014064
ENSTGUP00000000383	SINCAM014007
ENSTGUP00000000384	SINCAM922888
ENSTGUP00000000385	SINCAM922358
ENSTGUP00000000387	SINCAM900131
ENSTGUP00000000391	SINCAM012723
ENSTGUP00000000392	SINCAM017653
ENSTGUP00000000397	SINCAM001498
ENSTGUP00000000398	SINCAM922475
ENSTGUP00000000400	SINCAM010163
ENSTGUP00000000402	SINCAM013519
ENSTGUP00000000403	SINCAM017782
ENSTGUP00000000404	SINCAM900203
ENSTGUP00000000405	SINCAM922887
ENSTGUP00000000406	SINCAM001500
ENSTGUP00000000407	SINCAM922601
ENSTGUP00000000411	SINCAM014019
ENSTGUP00000000415	SINCAM001501
ENSTGUP00000000416	SINCAM014022
ENSTGUP00000000417	SINCAM013003
ENSTGUP00000000418	SINCAM010036
ENSTGUP00000000419	SINCAM922350
ENSTGUP00000000420	SINCAM900202
ENSTGUP00000000421	SINCAM012954
ENSTGUP00000000422	SINCAM012918
ENSTGUP00000000423	SINCAM900201
ENSTGUP00000000424	SINCAM922886
ENSTGUP00000000425	SINCAM922744
ENSTGUP00000000427	SINCAM922745
ENSTGUP00000000428	SINCAM900196
ENSTGUP00000000429	SINCAM001492
ENSTGUP00000000430	SINCAM012625
ENSTGUP00000000432	SINCAM012917
ENSTGUP00000000435	SINCAM900195
ENSTGUP00000000438	SINCAM014024
ENSTGUP00000000439	SINCAM900194
ENSTGUP00000000440	SINCAM900192
ENSTGUP00000000441	SINCAM000672
ENSTGUP00000000444	SINCAM010103
ENSTGUP00000000445	SINCAM002954
ENSTGUP00000000446	SINCAM001009
ENSTGUP00000000447	SINCAM014027
ENSTGUP00000000448	SINCAM010106
ENSTGUP00000000449	SINCAM012916
ENSTGUP00000000450	SINCAM010107
ENSTGUP00000000451	SINCAM016253
ENSTGUP00000000452	SINCAM001010
ENSTGUP00000000456	SINCAM010177
ENSTGUP00000000459	SINCAM012915
ENSTGUP00000000461	SINCAM006792
ENSTGUP00000000464	SINCAM921239
ENSTGUP00000000466	SINCAM004030
ENSTGUP00000000467	SINCAM014026
ENSTGUP00000000468	SINCAM001505
ENSTGUP00000000469	SINCAM004029
ENSTGUP00000000470	SINCAM001011
ENSTGUP00000000471	SINCAM920569
ENSTGUP00000000473	SINCAM001012
ENSTGUP00000000474	SINCAM012981
ENSTGUP00000000475	SINCAM012903
ENSTGUP00000000476	SINCAM001013
ENSTGUP00000000479	SINCAM012982
ENSTGUP00000000480	SINCAM922474
ENSTGUP00000000482	SINCAM001503
ENSTGUP00000000483	SINCAM013937
ENSTGUP00000000486	SINCAM012990
ENSTGUP00000000487	SINCAM013934
ENSTGUP00000000488	SINCAM012823
ENSTGUP00000000490	SINCAM012822
ENSTGUP00000000491	SINCAM013916
ENSTGUP00000000492	SINCAM004021
ENSTGUP00000000493	SINCAM014751
ENSTGUP00000000494	SINCAM013889
ENSTGUP00000000495	SINCAM012821
ENSTGUP00000000497	SINCAM922723
ENSTGUP00000000498	SINCAM004022
ENSTGUP00000000499	SINCAM006345
ENSTGUP00000000502	SINCAM004032
ENSTGUP00000000503	SINCAM922728
ENSTGUP00000000504	SINCAM001017
ENSTGUP00000000506	SINCAM921952
ENSTGUP00000000507	SINCAM001019
ENSTGUP00000000508	SINCAM001020
ENSTGUP00000000509	SINCAM012826
ENSTGUP00000000510	SINCAM013898
ENSTGUP00000000511	SINCAM010035
ENSTGUP00000000520	SINCAM012900
ENSTGUP00000000523	SINCAM001022
ENSTGUP00000000527	SINCAM920513
ENSTGUP00000000528	SINCAM922710
ENSTGUP00000000533	SINCAM012904
ENSTGUP00000000534	SINCAM004031
ENSTGUP00000000537	SINCAM004020
ENSTGUP00000000538	SINCAM013872
ENSTGUP00000000539	SINCAM001316
ENSTGUP00000000540	SINCAM001024
ENSTGUP00000000543	SINCAM004019
ENSTGUP00000000544	SINCAM010027
ENSTGUP00000000550	SINCAM004015
ENSTGUP00000000551	SINCAM010026
ENSTGUP00000000552	SINCAM010025
ENSTGUP00000000555	SINCAM016674
ENSTGUP00000000556	SINCAM013871
ENSTGUP00000000557	SINCAM010024
ENSTGUP00000000558	SINCAM010022
ENSTGUP00000000559	SINCAM013007
ENSTGUP00000000560	SINCAM001026
ENSTGUP00000000561	SINCAM015958
ENSTGUP00000000563	SINCAM001639
ENSTGUP00000000564	SINCAM016055
ENSTGUP00000000565	SINCAM010021
ENSTGUP00000000566	SINCAM010020
ENSTGUP00000000570	SINCAM001641
ENSTGUP00000000571	SINCAM001642
ENSTGUP00000000572	SINCAM001027
ENSTGUP00000000573	SINCAM013870
ENSTGUP00000000574	SINCAM008702
ENSTGUP00000000575	SINCAM004061
ENSTGUP00000000577	SINCAM016133
ENSTGUP00000000583	SINCAM013874
ENSTGUP00000000585	SINCAM001029
ENSTGUP00000000586	SINCAM011384
ENSTGUP00000000588	SINCAM004013
ENSTGUP00000000589	SINCAM001643
ENSTGUP00000000590	SINCAM010153
ENSTGUP00000000592	SINCAM013865
ENSTGUP00000000595	SINCAM014786
ENSTGUP00000000596	SINCAM013863
ENSTGUP00000000597	SINCAM001030
ENSTGUP00000000600	SINCAM010144
ENSTGUP00000000601	SINCAM920664
ENSTGUP00000000603	SINCAM013012
ENSTGUP00000000604	SINCAM013862
ENSTGUP00000000605	SINCAM001031
ENSTGUP00000000607	SINCAM013013
ENSTGUP00000000608	SINCAM013005
ENSTGUP00000000610	SINCAM001032
ENSTGUP00000000611	SINCAM013861
ENSTGUP00000000612	SINCAM012987
ENSTGUP00000000615	SINCAM922762
ENSTGUP00000000616	SINCAM013897
ENSTGUP00000000618	SINCAM010146
ENSTGUP00000000622	SINCAM010147
ENSTGUP00000000623	SINCAM001648
ENSTGUP00000000624	SINCAM013015
ENSTGUP00000000625	SINCAM010148
ENSTGUP00000000626	SINCAM008121
ENSTGUP00000000627	SINCAM010149
ENSTGUP00000000629	SINCAM001033
ENSTGUP00000000630	SINCAM010150
ENSTGUP00000000631	SINCAM000248
ENSTGUP00000000632	SINCAM900226
ENSTGUP00000000634	SINCAM006570
ENSTGUP00000000635	SINCAM013017
ENSTGUP00000000637	SINCAM016268
ENSTGUP00000000639	SINCAM010152
ENSTGUP00000000641	SINCAM001647
ENSTGUP00000000642	SINCAM013892
ENSTGUP00000000643	SINCAM001644
ENSTGUP00000000644	SINCAM012733
ENSTGUP00000000645	SINCAM010293
ENSTGUP00000000646	SINCAM013020
ENSTGUP00000000648	SINCAM012807
ENSTGUP00000000649	SINCAM012832
ENSTGUP00000000651	SINCAM001256
ENSTGUP00000000654	SINCAM003037
ENSTGUP00000000656	SINCAM013890
ENSTGUP00000000657	SINCAM000895
ENSTGUP00000000659	SINCAM013868
ENSTGUP00000000660	SINCAM012836
ENSTGUP00000000661	SINCAM013908
ENSTGUP00000000662	SINCAM010292
ENSTGUP00000000663	SINCAM000529
ENSTGUP00000000664	SINCAM012805
ENSTGUP00000000665	SINCAM013907
ENSTGUP00000000667	SINCAM921723
ENSTGUP00000000669	SINCAM015006
ENSTGUP00000000670	SINCAM013904
ENSTGUP00000000671	SINCAM012732
ENSTGUP00000000672	SINCAM012734
ENSTGUP00000000673	SINCAM000894
ENSTGUP00000000674	SINCAM013903
ENSTGUP00000000675	SINCAM012737
ENSTGUP00000000678	SINCAM013902
ENSTGUP00000000679	SINCAM010291
ENSTGUP00000000681	SINCAM001170
ENSTGUP00000000685	SINCAM922378
ENSTGUP00000000688	SINCAM012739
ENSTGUP00000000689	SINCAM010191
ENSTGUP00000000690	SINCAM001528
ENSTGUP00000000691	SINCAM001169
ENSTGUP00000000693	SINCAM010298
ENSTGUP00000000694	SINCAM922450
ENSTGUP00000000696	SINCAM001168
ENSTGUP00000000697	SINCAM010266
ENSTGUP00000000698	SINCAM001529
ENSTGUP00000000699	SINCAM001166
ENSTGUP00000000700	SINCAM001530
ENSTGUP00000000702	SINCAM922719
ENSTGUP00000000703	SINCAM001163
ENSTGUP00000000704	SINCAM006429
ENSTGUP00000000705	SINCAM920656
ENSTGUP00000000706	SINCAM001533
ENSTGUP00000000707	SINCAM001534
ENSTGUP00000000708	SINCAM010265
ENSTGUP00000000709	SINCAM012815
ENSTGUP00000000710	SINCAM012813
ENSTGUP00000000714	SINCAM001162
ENSTGUP00000000715	SINCAM001537
ENSTGUP00000000717	SINCAM922726
ENSTGUP00000000718	SINCAM001538
ENSTGUP00000000719	SINCAM005408
ENSTGUP00000000720	SINCAM000133
ENSTGUP00000000721	SINCAM000640
ENSTGUP00000000722	SINCAM001159
ENSTGUP00000000724	SINCAM900089
ENSTGUP00000000725	SINCAM012811
ENSTGUP00000000727	SINCAM009963
ENSTGUP00000000728	SINCAM001540
ENSTGUP00000000729	SINCAM009962
ENSTGUP00000000730	SINCAM001154
ENSTGUP00000000731	SINCAM009961
ENSTGUP00000000732	SINCAM013914
ENSTGUP00000000733	SINCAM001152
ENSTGUP00000000734	SINCAM012712
ENSTGUP00000000735	SINCAM001151
ENSTGUP00000000737	SINCAM001541
ENSTGUP00000000739	SINCAM012829
ENSTGUP00000000740	SINCAM921758
ENSTGUP00000000742	SINCAM001150
ENSTGUP00000000743	SINCAM013913
ENSTGUP00000000744	SINCAM013912
ENSTGUP00000000745	SINCAM009033
ENSTGUP00000000746	SINCAM001542
ENSTGUP00000000749	SINCAM001148
ENSTGUP00000000751	SINCAM008993
ENSTGUP00000000752	SINCAM001147
ENSTGUP00000000756	SINCAM001543
ENSTGUP00000000757	SINCAM010297
ENSTGUP00000000758	SINCAM001146
ENSTGUP00000000759	SINCAM016193
ENSTGUP00000000760	SINCAM922714
ENSTGUP00000000761	SINCAM001584
ENSTGUP00000000762	SINCAM922712
ENSTGUP00000000763	SINCAM010203
ENSTGUP00000000765	SINCAM001579
ENSTGUP00000000766	SINCAM922711
ENSTGUP00000000767	SINCAM013877
ENSTGUP00000000769	SINCAM008992
ENSTGUP00000000772	SINCAM013881
ENSTGUP00000000773	SINCAM001059
ENSTGUP00000000775	SINCAM013884
ENSTGUP00000000776	SINCAM001578
ENSTGUP00000000778	SINCAM001060
ENSTGUP00000000779	SINCAM922360
ENSTGUP00000000780	SINCAM010205
ENSTGUP00000000782	SINCAM013867
ENSTGUP00000000786	SINCAM920581
ENSTGUP00000000789	SINCAM012777
ENSTGUP00000000791	SINCAM922361
ENSTGUP00000000792	SINCAM008987
ENSTGUP00000000793	SINCAM923036
ENSTGUP00000000794	SINCAM017233
ENSTGUP00000000795	SINCAM003498
ENSTGUP00000000796	SINCAM012779
ENSTGUP00000000797	SINCAM010206
ENSTGUP00000000798	SINCAM001577
ENSTGUP00000000799	SINCAM007040
ENSTGUP00000000800	SINCAM001062
ENSTGUP00000000801	SINCAM012780
ENSTGUP00000000803	SINCAM004667
ENSTGUP00000000804	SINCAM922478
ENSTGUP00000000805	SINCAM013893
ENSTGUP00000000807	SINCAM010209
ENSTGUP00000000811	SINCAM012782
ENSTGUP00000000812	SINCAM013895
ENSTGUP00000000813	SINCAM008985
ENSTGUP00000000815	SINCAM001065
ENSTGUP00000000816	SINCAM921770
ENSTGUP00000000817	SINCAM012788
ENSTGUP00000000819	SINCAM922724
ENSTGUP00000000821	SINCAM012756
ENSTGUP00000000823	SINCAM001068
ENSTGUP00000000826	SINCAM001576
ENSTGUP00000000827	SINCAM008999
ENSTGUP00000000828	SINCAM012765
ENSTGUP00000000829	SINCAM922725
ENSTGUP00000000830	SINCAM922705
ENSTGUP00000000831	SINCAM010267
ENSTGUP00000000832	SINCAM009001
ENSTGUP00000000834	SINCAM012766
ENSTGUP00000000835	SINCAM001574
ENSTGUP00000000836	SINCAM012767
ENSTGUP00000000837	SINCAM009002
ENSTGUP00000000838	SINCAM009011
ENSTGUP00000000839	SINCAM920584
ENSTGUP00000000841	SINCAM013857
ENSTGUP00000000842	SINCAM900193
ENSTGUP00000000843	SINCAM012908
ENSTGUP00000000844	SINCAM001070
ENSTGUP00000000845	SINCAM003225
ENSTGUP00000000846	SINCAM013856
ENSTGUP00000000847	SINCAM922706
ENSTGUP00000000848	SINCAM920553
ENSTGUP00000000850	SINCAM001573
ENSTGUP00000000852	SINCAM920554
ENSTGUP00000000853	SINCAM012907
ENSTGUP00000000854	SINCAM001572
ENSTGUP00000000856	SINCAM922707
ENSTGUP00000000857	SINCAM000953
ENSTGUP00000000858	SINCAM017193
ENSTGUP00000000859	SINCAM921757
ENSTGUP00000000860	SINCAM921775
ENSTGUP00000000861	SINCAM921829
ENSTGUP00000000862	SINCAM922501
ENSTGUP00000000863	SINCAM013859
ENSTGUP00000000864	SINCAM001570
ENSTGUP00000000865	SINCAM012906
ENSTGUP00000000866	SINCAM012772
ENSTGUP00000000867	SINCAM922859
ENSTGUP00000000868	SINCAM013860
ENSTGUP00000000869	SINCAM001569
ENSTGUP00000000870	SINCAM000954
ENSTGUP00000000873	SINCAM921769
ENSTGUP00000000875	SINCAM922457
ENSTGUP00000000877	SINCAM006139
ENSTGUP00000000878	SINCAM015696
ENSTGUP00000000880	SINCAM012259
ENSTGUP00000000882	SINCAM922458
ENSTGUP00000000884	SINCAM008981
ENSTGUP00000000885	SINCAM010270
ENSTGUP00000000886	SINCAM922460
ENSTGUP00000000889	SINCAM008982
ENSTGUP00000000892	SINCAM922461
ENSTGUP00000000893	SINCAM012889
ENSTGUP00000000896	SINCAM012890
ENSTGUP00000000897	SINCAM012893
ENSTGUP00000000898	SINCAM008979
ENSTGUP00000000899	SINCAM921759
ENSTGUP00000000900	SINCAM000957
ENSTGUP00000000901	SINCAM010271
ENSTGUP00000000902	SINCAM014748
ENSTGUP00000000903	SINCAM001110
ENSTGUP00000000904	SINCAM010274
ENSTGUP00000000905	SINCAM012094
ENSTGUP00000000906	SINCAM000958
ENSTGUP00000000907	SINCAM000356
ENSTGUP00000000908	SINCAM006544
ENSTGUP00000000909	SINCAM008969
ENSTGUP00000000910	SINCAM012093
ENSTGUP00000000911	SINCAM000960
ENSTGUP00000000912	SINCAM003714
ENSTGUP00000000913	SINCAM001130
ENSTGUP00000000914	SINCAM013024
ENSTGUP00000000916	SINCAM013025
ENSTGUP00000000917	SINCAM012092
ENSTGUP00000000918	SINCAM013026
ENSTGUP00000000919	SINCAM921760
ENSTGUP00000000920	SINCAM001129
ENSTGUP00000000921	SINCAM921761
ENSTGUP00000000924	SINCAM013027
ENSTGUP00000000925	SINCAM018038
ENSTGUP00000000926	SINCAM001637
ENSTGUP00000000927	SINCAM921783
ENSTGUP00000000929	SINCAM001636
ENSTGUP00000000930	SINCAM009008
ENSTGUP00000000932	SINCAM001634
ENSTGUP00000000935	SINCAM922541
ENSTGUP00000000937	SINCAM001633
ENSTGUP00000000939	SINCAM013029
ENSTGUP00000000940	SINCAM012263
ENSTGUP00000000941	SINCAM013030
ENSTGUP00000000942	SINCAM001632
ENSTGUP00000000943	SINCAM013031
ENSTGUP00000000944	SINCAM012266
ENSTGUP00000000945	SINCAM001124
ENSTGUP00000000946	SINCAM921776
ENSTGUP00000000947	SINCAM922527
ENSTGUP00000000948	SINCAM013032
ENSTGUP00000000951	SINCAM001631
ENSTGUP00000000952	SINCAM922528
ENSTGUP00000000953	SINCAM921777
ENSTGUP00000000954	SINCAM012742
ENSTGUP00000000955	SINCAM012231
ENSTGUP00000000956	SINCAM012225
ENSTGUP00000000957	SINCAM012775
ENSTGUP00000000959	SINCAM921778
ENSTGUP00000000960	SINCAM016675
ENSTGUP00000000961	SINCAM010277
ENSTGUP00000000963	SINCAM921779
ENSTGUP00000000964	SINCAM012359
ENSTGUP00000000965	SINCAM921780
ENSTGUP00000000966	SINCAM009800
ENSTGUP00000000967	SINCAM001630
ENSTGUP00000000968	SINCAM920591
ENSTGUP00000000969	SINCAM920590
ENSTGUP00000000972	SINCAM012358
ENSTGUP00000000973	SINCAM001121
ENSTGUP00000000975	SINCAM008957
ENSTGUP00000000976	SINCAM001119
ENSTGUP00000000977	SINCAM008951
ENSTGUP00000000980	SINCAM001118
ENSTGUP00000000983	SINCAM001117
ENSTGUP00000000984	SINCAM920959
ENSTGUP00000000986	SINCAM012770
ENSTGUP00000000988	SINCAM001627
ENSTGUP00000000989	SINCAM008955
ENSTGUP00000000990	SINCAM001116
ENSTGUP00000000994	SINCAM001115
ENSTGUP00000000995	SINCAM009052
ENSTGUP00000000999	SINCAM921111
ENSTGUP00000001000	SINCAM009051
ENSTGUP00000001002	SINCAM010199
ENSTGUP00000001003	SINCAM922379
ENSTGUP00000001004	SINCAM009050
ENSTGUP00000001005	SINCAM013795
ENSTGUP00000001006	SINCAM001114
ENSTGUP00000001007	SINCAM922290
ENSTGUP00000001009	SINCAM922536
ENSTGUP00000001010	SINCAM001112
ENSTGUP00000001011	SINCAM009049
ENSTGUP00000001012	SINCAM012800
ENSTGUP00000001013	SINCAM009048
ENSTGUP00000001014	SINCAM012320
ENSTGUP00000001015	SINCAM001359
ENSTGUP00000001016	SINCAM001625
ENSTGUP00000001017	SINCAM010792
ENSTGUP00000001018	SINCAM921790
ENSTGUP00000001019	SINCAM001624
ENSTGUP00000001020	SINCAM001111
ENSTGUP00000001022	SINCAM921789
ENSTGUP00000001025	SINCAM012795
ENSTGUP00000001026	SINCAM012319
ENSTGUP00000001027	SINCAM001109
ENSTGUP00000001030	SINCAM010288
ENSTGUP00000001031	SINCAM012794
ENSTGUP00000001032	SINCAM001623
ENSTGUP00000001033	SINCAM012332
ENSTGUP00000001034	SINCAM010287
ENSTGUP00000001035	SINCAM012793
ENSTGUP00000001036	SINCAM001108
ENSTGUP00000001037	SINCAM922446
ENSTGUP00000001038	SINCAM012317
ENSTGUP00000001039	SINCAM001107
ENSTGUP00000001040	SINCAM001622
