PMZ_0041611-RA	ENSLOCP00000000001
PMZ_0013063-RA	ENSLOCP00000000231
PMZ_0043845-RA	ENSLOCP00000000233
PMZ_0030813-RA	ENSLOCP00000000233
PMZ_0037067-RA	ENSLOCP00000000236
PMZ_0001169-RA	ENSLOCP00000000250
PMZ_0038449-RA	ENSLOCP00000000250
PMZ_0036306-RA	ENSLOCP00000000256
PMZ_0038765-RA	ENSLOCP00000000256
PMZ_0036977-RA	ENSLOCP00000000260
PMZ_0041648-RA	ENSLOCP00000000263
PMZ_0044113-RA	ENSLOCP00000000265
PMZ_0003320-RA	ENSLOCP00000000273
PMZ_0004844-RA	ENSLOCP00000000273
PMZ_0032675-RA	ENSLOCP00000000275
PMZ_0047360-RA	ENSLOCP00000000275
PMZ_0040367-RA	ENSLOCP00000000276
PMZ_0048738-RA	ENSLOCP00000000276
PMZ_0032313-RA	ENSLOCP00000000277
PMZ_0049001-RA	ENSLOCP00000000278
PMZ_0046487-RA	ENSLOCP00000000281
PMZ_0036143-RA	ENSLOCP00000000281
PMZ_0045349-RA	ENSLOCP00000000283
PMZ_0043231-RA	ENSLOCP00000000291
PMZ_0009699-RA	ENSLOCP00000000291
PMZ_0037627-RA	ENSLOCP00000000294
PMZ_0043940-RA	ENSLOCP00000000300
PMZ_0018797-RA	ENSLOCP00000000304
PMZ_0030739-RA	ENSLOCP00000000308
PMZ_0029830-RA	ENSLOCP00000000312
PMZ_0048610-RA	ENSLOCP00000000323
PMZ_0027053-RA	ENSLOCP00000000324
PMZ_0040514-RA	ENSLOCP00000000328
PMZ_0040513-RA	ENSLOCP00000000328
PMZ_0032186-RA	ENSLOCP00000000330
PMZ_0040731-RA	ENSLOCP00000000343
PMZ_0047105-RA	ENSLOCP00000000347
PMZ_0036592-RA	ENSLOCP00000000347
PMZ_0041895-RA	ENSLOCP00000000350
PMZ_0040027-RA	ENSLOCP00000000350
PMZ_0044440-RA	ENSLOCP00000000358
PMZ_0017787-RA	ENSLOCP00000000362
PMZ_0034536-RA	ENSLOCP00000000362
PMZ_0044729-RA	ENSLOCP00000000380
PMZ_0044393-RA	ENSLOCP00000000394
PMZ_0022262-RA	ENSLOCP00000000395
PMZ_0047310-RA	ENSLOCP00000000402
PMZ_0034054-RA	ENSLOCP00000000404
PMZ_0047641-RA	ENSLOCP00000000407
PMZ_0034584-RA	ENSLOCP00000000417
PMZ_0000387-RA	ENSLOCP00000000417
PMZ_0030520-RA	ENSLOCP00000000418
PMZ_0045279-RA	ENSLOCP00000000418
PMZ_0010860-RA	ENSLOCP00000000423
PMZ_0038212-RA	ENSLOCP00000000424
PMZ_0042399-RA	ENSLOCP00000000428
PMZ_0038255-RA	ENSLOCP00000000428
PMZ_0044376-RA	ENSLOCP00000000434
PMZ_0010821-RA	ENSLOCP00000000434
PMZ_0027660-RA	ENSLOCP00000000436
PMZ_0032722-RA	ENSLOCP00000000440
PMZ_0034244-RA	ENSLOCP00000000447
PMZ_0000315-RA	ENSLOCP00000000447
PMZ_0005029-RA	ENSLOCP00000000454
PMZ_0008885-RA	ENSLOCP00000000454
PMZ_0015314-RA	ENSLOCP00000000456
PMZ_0043842-RA	ENSLOCP00000000458
PMZ_0043841-RA	ENSLOCP00000000458
PMZ_0014549-RA	ENSLOCP00000000461
PMZ_0038641-RA	ENSLOCP00000000463
PMZ_0037621-RA	ENSLOCP00000000463
PMZ_0016961-RA	ENSLOCP00000000472
PMZ_0047141-RA	ENSLOCP00000000472
PMZ_0037436-RA	ENSLOCP00000000480
PMZ_0039331-RA	ENSLOCP00000000480
PMZ_0033147-RA	ENSLOCP00000000482
PMZ_0046139-RA	ENSLOCP00000000482
PMZ_0048090-RA	ENSLOCP00000000483
PMZ_0020912-RA	ENSLOCP00000000490
PMZ_0024018-RB	ENSLOCP00000000493
PMZ_0027196-RA	ENSLOCP00000000494
PMZ_0046164-RA	ENSLOCP00000000497
PMZ_0031431-RA	ENSLOCP00000000500
PMZ_0040565-RA	ENSLOCP00000000500
PMZ_0038238-RA	ENSLOCP00000000501
PMZ_0044328-RA	ENSLOCP00000000502
PMZ_0040174-RA	ENSLOCP00000000505
PMZ_0005879-RA	ENSLOCP00000000506
PMZ_0043747-RA	ENSLOCP00000000506
PMZ_0000573-RA	ENSLOCP00000000508
PMZ_0036324-RA	ENSLOCP00000000515
PMZ_0043668-RA	ENSLOCP00000000515
PMZ_0000884-RA	ENSLOCP00000000526
PMZ_0048723-RA	ENSLOCP00000000526
PMZ_0046993-RA	ENSLOCP00000000527
PMZ_0044163-RA	ENSLOCP00000000529
PMZ_0048459-RA	ENSLOCP00000000533
PMZ_0048160-RA	ENSLOCP00000000533
PMZ_0043850-RA	ENSLOCP00000000540
PMZ_0042570-RA	ENSLOCP00000000540
PMZ_0036963-RA	ENSLOCP00000000541
PMZ_0013861-RA	ENSLOCP00000000544
PMZ_0046496-RA	ENSLOCP00000000546
PMZ_0028145-RA	ENSLOCP00000000547
PMZ_0008251-RA	ENSLOCP00000000547
PMZ_0048046-RA	ENSLOCP00000000548
PMZ_0023120-RA	ENSLOCP00000000548
PMZ_0042218-RA	ENSLOCP00000000549
PMZ_0047605-RA	ENSLOCP00000000553
PMZ_0007678-RA	ENSLOCP00000000559
PMZ_0039017-RA	ENSLOCP00000000562
PMZ_0026676-RA	ENSLOCP00000000565
PMZ_0030403-RA	ENSLOCP00000000565
PMZ_0038872-RA	ENSLOCP00000000567
PMZ_0041357-RA	ENSLOCP00000000568
PMZ_0030463-RA	ENSLOCP00000000571
PMZ_0030421-RA	ENSLOCP00000000571
PMZ_0037698-RA	ENSLOCP00000000575
PMZ_0034437-RA	ENSLOCP00000000583
PMZ_0038250-RA	ENSLOCP00000000583
PMZ_0027437-RA	ENSLOCP00000000585
PMZ_0033805-RA	ENSLOCP00000000585
PMZ_0048605-RA	ENSLOCP00000000586
PMZ_0006620-RA	ENSLOCP00000000587
PMZ_0040969-RA	ENSLOCP00000000590
PMZ_0042586-RA	ENSLOCP00000000591
PMZ_0036080-RA	ENSLOCP00000000599
PMZ_0035127-RA	ENSLOCP00000000609
PMZ_0043667-RA	ENSLOCP00000000609
PMZ_0045166-RA	ENSLOCP00000000610
PMZ_0048382-RA	ENSLOCP00000000611
PMZ_0038978-RA	ENSLOCP00000000611
PMZ_0026879-RA	ENSLOCP00000000613
PMZ_0039217-RA	ENSLOCP00000000617
PMZ_0037141-RA	ENSLOCP00000000619
PMZ_0030338-RA	ENSLOCP00000000625
PMZ_0040896-RA	ENSLOCP00000000627
PMZ_0030982-RA	ENSLOCP00000000627
PMZ_0045853-RA	ENSLOCP00000000630
PMZ_0030606-RA	ENSLOCP00000000630
PMZ_0046793-RA	ENSLOCP00000000631
PMZ_0048669-RA	ENSLOCP00000000632
PMZ_0032183-RA	ENSLOCP00000000635
PMZ_0043715-RA	ENSLOCP00000000635
PMZ_0032234-RA	ENSLOCP00000000639
PMZ_0045988-RA	ENSLOCP00000000640
PMZ_0036079-RA	ENSLOCP00000000641
PMZ_0034327-RA	ENSLOCP00000000642
PMZ_0036629-RA	ENSLOCP00000000643
PMZ_0023818-RA	ENSLOCP00000000643
PMZ_0045878-RA	ENSLOCP00000000645
PMZ_0032120-RA	ENSLOCP00000000651
PMZ_0008787-RA	ENSLOCP00000000652
PMZ_0029273-RA	ENSLOCP00000000652
PMZ_0037896-RA	ENSLOCP00000000654
PMZ_0040987-RA	ENSLOCP00000000654
PMZ_0030436-RA	ENSLOCP00000000664
PMZ_0046476-RA	ENSLOCP00000000664
PMZ_0048168-RA	ENSLOCP00000000674
PMZ_0008396-RA	ENSLOCP00000000679
PMZ_0033620-RA	ENSLOCP00000000679
PMZ_0012869-RA	ENSLOCP00000000680
PMZ_0022898-RA	ENSLOCP00000000680
PMZ_0043316-RA	ENSLOCP00000000681
PMZ_0018015-RA	ENSLOCP00000000681
PMZ_0042368-RA	ENSLOCP00000000688
PMZ_0042120-RA	ENSLOCP00000000688
PMZ_0048807-RA	ENSLOCP00000000693
PMZ_0009034-RA	ENSLOCP00000000701
PMZ_0045784-RA	ENSLOCP00000000701
PMZ_0041603-RA	ENSLOCP00000000705
PMZ_0040995-RA	ENSLOCP00000000717
PMZ_0042982-RA	ENSLOCP00000000719
PMZ_0014079-RA	ENSLOCP00000000724
PMZ_0044514-RA	ENSLOCP00000000724
PMZ_0036246-RA	ENSLOCP00000000732
PMZ_0030893-RA	ENSLOCP00000000735
PMZ_0038655-RA	ENSLOCP00000000743
PMZ_0013362-RA	ENSLOCP00000000743
PMZ_0022111-RA	ENSLOCP00000000745
PMZ_0003750-RA	ENSLOCP00000000745
PMZ_0013805-RA	ENSLOCP00000000747
PMZ_0004893-RA	ENSLOCP00000000747
PMZ_0048760-RA	ENSLOCP00000000752
PMZ_0047983-RA	ENSLOCP00000000752
PMZ_0010020-RA	ENSLOCP00000000753
PMZ_0038752-RA	ENSLOCP00000000757
PMZ_0040996-RA	ENSLOCP00000000757
PMZ_0028706-RA	ENSLOCP00000000759
PMZ_0042969-RA	ENSLOCP00000000759
PMZ_0017039-RA	ENSLOCP00000000760
PMZ_0028909-RA	ENSLOCP00000000761
PMZ_0047383-RA	ENSLOCP00000000761
PMZ_0034887-RA	ENSLOCP00000000762
PMZ_0007204-RA	ENSLOCP00000000765
PMZ_0043525-RA	ENSLOCP00000000765
PMZ_0045591-RA	ENSLOCP00000000766
PMZ_0046830-RA	ENSLOCP00000000769
PMZ_0040828-RA	ENSLOCP00000000778
PMZ_0040895-RA	ENSLOCP00000000782
PMZ_0004351-RA	ENSLOCP00000000784
PMZ_0021163-RA	ENSLOCP00000000787
PMZ_0040982-RA	ENSLOCP00000000791
PMZ_0040179-RA	ENSLOCP00000000791
PMZ_0038880-RA	ENSLOCP00000000792
PMZ_0030328-RA	ENSLOCP00000000797
PMZ_0047667-RA	ENSLOCP00000000800
PMZ_0026350-RA	ENSLOCP00000000801
PMZ_0048307-RA	ENSLOCP00000000801
PMZ_0047882-RA	ENSLOCP00000000802
PMZ_0034498-RA	ENSLOCP00000000810
PMZ_0046657-RA	ENSLOCP00000000810
PMZ_0019799-RA	ENSLOCP00000000817
PMZ_0011468-RA	ENSLOCP00000000818
PMZ_0032892-RA	ENSLOCP00000000819
PMZ_0028840-RA	ENSLOCP00000000819
PMZ_0020436-RA	ENSLOCP00000000820
PMZ_0044868-RA	ENSLOCP00000000826
PMZ_0045687-RA	ENSLOCP00000000827
PMZ_0027893-RA	ENSLOCP00000000832
PMZ_0026942-RA	ENSLOCP00000000841
PMZ_0031049-RA	ENSLOCP00000000843
PMZ_0040601-RA	ENSLOCP00000000844
PMZ_0047887-RA	ENSLOCP00000000848
PMZ_0047969-RA	ENSLOCP00000000848
PMZ_0014189-RA	ENSLOCP00000000851
PMZ_0007744-RA	ENSLOCP00000000851
PMZ_0008350-RA	ENSLOCP00000000852
PMZ_0014882-RA	ENSLOCP00000000853
PMZ_0046143-RA	ENSLOCP00000000855
PMZ_0045297-RA	ENSLOCP00000000856
PMZ_0011405-RA	ENSLOCP00000000859
PMZ_0043215-RA	ENSLOCP00000000860
PMZ_0026576-RA	ENSLOCP00000000861
PMZ_0035846-RA	ENSLOCP00000000861
PMZ_0016183-RA	ENSLOCP00000000862
PMZ_0032338-RA	ENSLOCP00000000863
PMZ_0043878-RA	ENSLOCP00000000863
PMZ_0026644-RA	ENSLOCP00000000875
PMZ_0042834-RA	ENSLOCP00000000877
PMZ_0041630-RA	ENSLOCP00000000877
PMZ_0003200-RA	ENSLOCP00000000879
PMZ_0009393-RA	ENSLOCP00000000880
PMZ_0037301-RA	ENSLOCP00000000883
PMZ_0027203-RA	ENSLOCP00000000887
PMZ_0027864-RA	ENSLOCP00000000887
PMZ_0005279-RA	ENSLOCP00000000888
PMZ_0041606-RA	ENSLOCP00000000888
PMZ_0007669-RA	ENSLOCP00000000889
PMZ_0042832-RA	ENSLOCP00000000900
PMZ_0040725-RA	ENSLOCP00000000903
PMZ_0034815-RA	ENSLOCP00000000905
PMZ_0038780-RA	ENSLOCP00000000908
PMZ_0040837-RA	ENSLOCP00000000908
PMZ_0011609-RA	ENSLOCP00000000909
PMZ_0033553-RA	ENSLOCP00000000909
PMZ_0047119-RA	ENSLOCP00000000910
PMZ_0044484-RA	ENSLOCP00000000911
PMZ_0043695-RA	ENSLOCP00000000914
PMZ_0027022-RA	ENSLOCP00000000914
PMZ_0045023-RA	ENSLOCP00000000917
PMZ_0040769-RA	ENSLOCP00000000917
PMZ_0017343-RA	ENSLOCP00000000918
PMZ_0040049-RA	ENSLOCP00000000918
PMZ_0018187-RA	ENSLOCP00000000919
PMZ_0019893-RA	ENSLOCP00000000922
PMZ_0031378-RA	ENSLOCP00000000923
PMZ_0043302-RA	ENSLOCP00000000923
PMZ_0026041-RA	ENSLOCP00000000926
PMZ_0031202-RA	ENSLOCP00000000926
PMZ_0047782-RA	ENSLOCP00000000928
PMZ_0033910-RA	ENSLOCP00000000933
PMZ_0033485-RA	ENSLOCP00000000936
PMZ_0035527-RA	ENSLOCP00000000941
PMZ_0041790-RA	ENSLOCP00000000942
PMZ_0043885-RA	ENSLOCP00000000946
PMZ_0038926-RA	ENSLOCP00000000947
PMZ_0042448-RA	ENSLOCP00000000947
PMZ_0016733-RA	ENSLOCP00000000948
PMZ_0040934-RA	ENSLOCP00000000948
PMZ_0041899-RA	ENSLOCP00000000949
PMZ_0005020-RA	ENSLOCP00000000950
PMZ_0037103-RA	ENSLOCP00000000951
PMZ_0046974-RA	ENSLOCP00000000951
PMZ_0020757-RA	ENSLOCP00000000955
PMZ_0047219-RA	ENSLOCP00000000955
PMZ_0046270-RA	ENSLOCP00000000960
PMZ_0032333-RA	ENSLOCP00000000960
PMZ_0045496-RA	ENSLOCP00000000961
PMZ_0047537-RA	ENSLOCP00000000961
PMZ_0037281-RA	ENSLOCP00000000963
PMZ_0038070-RA	ENSLOCP00000000964
PMZ_0040914-RA	ENSLOCP00000000973
PMZ_0044980-RA	ENSLOCP00000000975
PMZ_0041669-RA	ENSLOCP00000000977
PMZ_0045270-RA	ENSLOCP00000000979
PMZ_0045269-RA	ENSLOCP00000000979
PMZ_0043301-RA	ENSLOCP00000000982
PMZ_0014770-RA	ENSLOCP00000000982
PMZ_0027789-RA	ENSLOCP00000000983
PMZ_0047369-RA	ENSLOCP00000000983
PMZ_0035485-RA	ENSLOCP00000000984
PMZ_0043211-RA	ENSLOCP00000000985
PMZ_0043657-RA	ENSLOCP00000000986
PMZ_0037094-RA	ENSLOCP00000000986
PMZ_0005227-RA	ENSLOCP00000000989
PMZ_0032206-RA	ENSLOCP00000000989
PMZ_0034082-RA	ENSLOCP00000000991
PMZ_0007340-RA	ENSLOCP00000000991
PMZ_0014745-RA	ENSLOCP00000000997
PMZ_0034265-RA	ENSLOCP00000000997
PMZ_0005970-RA	ENSLOCP00000000999
PMZ_0026335-RA	ENSLOCP00000001002
PMZ_0041456-RA	ENSLOCP00000001003
PMZ_0026765-RA	ENSLOCP00000001008
PMZ_0041547-RA	ENSLOCP00000001008
PMZ_0030717-RA	ENSLOCP00000001009
PMZ_0037578-RA	ENSLOCP00000001009
PMZ_0031293-RA	ENSLOCP00000001010
PMZ_0028138-RA	ENSLOCP00000001012
PMZ_0004536-RA	ENSLOCP00000001012
PMZ_0027547-RA	ENSLOCP00000001015
PMZ_0029258-RA	ENSLOCP00000001015
PMZ_0030129-RA	ENSLOCP00000001018
PMZ_0030130-RA	ENSLOCP00000001018
PMZ_0042763-RA	ENSLOCP00000001019
PMZ_0041921-RA	ENSLOCP00000001021
PMZ_0038982-RA	ENSLOCP00000001023
PMZ_0035467-RA	ENSLOCP00000001023
PMZ_0009265-RA	ENSLOCP00000001027
PMZ_0034713-RA	ENSLOCP00000001028
PMZ_0040926-RA	ENSLOCP00000001033
PMZ_0045670-RA	ENSLOCP00000001033
PMZ_0037318-RA	ENSLOCP00000001036
PMZ_0048237-RA	ENSLOCP00000001041
PMZ_0048274-RA	ENSLOCP00000001041
PMZ_0029647-RA	ENSLOCP00000001042
PMZ_0045984-RA	ENSLOCP00000001042
PMZ_0019068-RA	ENSLOCP00000001045
PMZ_0029297-RA	ENSLOCP00000001045
PMZ_0011889-RA	ENSLOCP00000001048
PMZ_0041554-RA	ENSLOCP00000001049
PMZ_0048128-RA	ENSLOCP00000001049
PMZ_0021605-RA	ENSLOCP00000001053
PMZ_0042210-RA	ENSLOCP00000001054
PMZ_0040111-RA	ENSLOCP00000001054
PMZ_0014462-RA	ENSLOCP00000001055
PMZ_0037071-RA	ENSLOCP00000001060
PMZ_0040842-RA	ENSLOCP00000001060
PMZ_0042260-RA	ENSLOCP00000001061
PMZ_0043650-RA	ENSLOCP00000001062
PMZ_0040976-RA	ENSLOCP00000001065
PMZ_0040977-RA	ENSLOCP00000001065
PMZ_0041549-RA	ENSLOCP00000001067
PMZ_0033838-RA	ENSLOCP00000001067
PMZ_0011618-RA	ENSLOCP00000001073
PMZ_0041822-RA	ENSLOCP00000001078
PMZ_0047019-RA	ENSLOCP00000001078
PMZ_0026957-RA	ENSLOCP00000001079
PMZ_0044565-RA	ENSLOCP00000001080
PMZ_0032144-RA	ENSLOCP00000001082
PMZ_0036721-RA	ENSLOCP00000001082
PMZ_0037161-RA	ENSLOCP00000001083
PMZ_0037458-RA	ENSLOCP00000001083
PMZ_0014139-RA	ENSLOCP00000001084
PMZ_0035599-RA	ENSLOCP00000001084
PMZ_0016577-RA	ENSLOCP00000001085
PMZ_0029930-RA	ENSLOCP00000001086
PMZ_0035914-RA	ENSLOCP00000001086
PMZ_0033433-RA	ENSLOCP00000001088
PMZ_0044468-RA	ENSLOCP00000001089
PMZ_0008562-RA	ENSLOCP00000001089
PMZ_0035942-RA	ENSLOCP00000001093
PMZ_0045981-RA	ENSLOCP00000001102
PMZ_0038209-RA	ENSLOCP00000001104
PMZ_0035202-RA	ENSLOCP00000001105
PMZ_0047797-RA	ENSLOCP00000001105
PMZ_0003652-RA	ENSLOCP00000001107
PMZ_0012877-RA	ENSLOCP00000001107
PMZ_0045706-RA	ENSLOCP00000001108
PMZ_0045647-RA	ENSLOCP00000001110
PMZ_0009309-RA	ENSLOCP00000001112
PMZ_0040922-RA	ENSLOCP00000001116
PMZ_0040923-RA	ENSLOCP00000001116
PMZ_0038163-RA	ENSLOCP00000001119
PMZ_0035629-RA	ENSLOCP00000001119
PMZ_0040004-RA	ENSLOCP00000001120
PMZ_0044763-RA	ENSLOCP00000001122
PMZ_0033513-RA	ENSLOCP00000001129
PMZ_0029159-RA	ENSLOCP00000001129
PMZ_0041558-RA	ENSLOCP00000001130
PMZ_0047857-RA	ENSLOCP00000001130
PMZ_0048398-RA	ENSLOCP00000001131
PMZ_0048394-RA	ENSLOCP00000001131
PMZ_0046930-RA	ENSLOCP00000001132
PMZ_0048653-RA	ENSLOCP00000001134
PMZ_0029447-RA	ENSLOCP00000001135
PMZ_0043245-RA	ENSLOCP00000001136
PMZ_0048838-RA	ENSLOCP00000001138
PMZ_0038828-RA	ENSLOCP00000001138
PMZ_0034426-RA	ENSLOCP00000001144
PMZ_0036075-RA	ENSLOCP00000001144
PMZ_0036554-RA	ENSLOCP00000001146
PMZ_0042992-RA	ENSLOCP00000001147
PMZ_0032595-RA	ENSLOCP00000001148
PMZ_0027261-RA	ENSLOCP00000001148
PMZ_0015685-RA	ENSLOCP00000001152
PMZ_0035631-RA	ENSLOCP00000001152
PMZ_0034004-RA	ENSLOCP00000001158
PMZ_0041397-RA	ENSLOCP00000001158
PMZ_0019359-RA	ENSLOCP00000001160
PMZ_0040298-RA	ENSLOCP00000001161
PMZ_0036138-RA	ENSLOCP00000001165
PMZ_0038882-RA	ENSLOCP00000001168
PMZ_0048171-RA	ENSLOCP00000001168
PMZ_0038300-RA	ENSLOCP00000001169
PMZ_0039016-RA	ENSLOCP00000001171
PMZ_0044378-RA	ENSLOCP00000001171
PMZ_0041519-RA	ENSLOCP00000001172
PMZ_0007417-RA	ENSLOCP00000001172
PMZ_0036530-RA	ENSLOCP00000001173
PMZ_0014533-RA	ENSLOCP00000001177
PMZ_0011430-RA	ENSLOCP00000001183
PMZ_0044962-RA	ENSLOCP00000001183
PMZ_0047657-RA	ENSLOCP00000001184
PMZ_0036635-RA	ENSLOCP00000001184
PMZ_0046555-RA	ENSLOCP00000001190
PMZ_0044591-RA	ENSLOCP00000001191
PMZ_0044129-RA	ENSLOCP00000001192
PMZ_0026600-RA	ENSLOCP00000001193
PMZ_0041103-RA	ENSLOCP00000001198
PMZ_0048364-RA	ENSLOCP00000001198
PMZ_0046500-RA	ENSLOCP00000001199
PMZ_0041122-RA	ENSLOCP00000001200
PMZ_0046682-RA	ENSLOCP00000001200
PMZ_0045869-RA	ENSLOCP00000001201
PMZ_0046284-RA	ENSLOCP00000001201
PMZ_0042223-RA	ENSLOCP00000001202
PMZ_0040231-RA	ENSLOCP00000001206
PMZ_0017034-RA	ENSLOCP00000001207
PMZ_0038121-RA	ENSLOCP00000001207
PMZ_0042163-RA	ENSLOCP00000001209
PMZ_0042438-RA	ENSLOCP00000001211
PMZ_0043719-RA	ENSLOCP00000001211
PMZ_0032557-RA	ENSLOCP00000001212
PMZ_0035223-RA	ENSLOCP00000001213
PMZ_0047441-RA	ENSLOCP00000001216
PMZ_0045405-RA	ENSLOCP00000001218
PMZ_0016581-RA	ENSLOCP00000001219
PMZ_0037340-RA	ENSLOCP00000001219
PMZ_0009796-RA	ENSLOCP00000001220
PMZ_0009922-RA	ENSLOCP00000001221
PMZ_0042769-RA	ENSLOCP00000001221
PMZ_0044039-RA	ENSLOCP00000001223
PMZ_0018813-RA	ENSLOCP00000001224
PMZ_0029632-RA	ENSLOCP00000001224
PMZ_0005367-RA	ENSLOCP00000001225
PMZ_0040297-RA	ENSLOCP00000001225
PMZ_0037200-RA	ENSLOCP00000001226
PMZ_0036798-RA	ENSLOCP00000001234
PMZ_0034829-RA	ENSLOCP00000001235
PMZ_0036827-RA	ENSLOCP00000001236
PMZ_0041233-RA	ENSLOCP00000001247
PMZ_0030062-RA	ENSLOCP00000001247
PMZ_0029044-RA	ENSLOCP00000001250
PMZ_0035159-RA	ENSLOCP00000001250
PMZ_0046858-RA	ENSLOCP00000001251
PMZ_0030703-RA	ENSLOCP00000001252
PMZ_0011898-RA	ENSLOCP00000001253
PMZ_0045211-RA	ENSLOCP00000001253
PMZ_0020165-RA	ENSLOCP00000001254
PMZ_0030029-RA	ENSLOCP00000001254
PMZ_0009794-RA	ENSLOCP00000001255
PMZ_0031845-RA	ENSLOCP00000001255
PMZ_0040407-RA	ENSLOCP00000001257
PMZ_0047456-RA	ENSLOCP00000001257
PMZ_0014711-RA	ENSLOCP00000001262
PMZ_0040801-RA	ENSLOCP00000001268
PMZ_0009549-RA	ENSLOCP00000001270
PMZ_0036072-RA	ENSLOCP00000001274
PMZ_0047378-RA	ENSLOCP00000001274
PMZ_0047938-RA	ENSLOCP00000001277
PMZ_0033824-RA	ENSLOCP00000001280
PMZ_0032704-RA	ENSLOCP00000001282
PMZ_0014103-RA	ENSLOCP00000001284
PMZ_0041953-RA	ENSLOCP00000001287
PMZ_0034505-RA	ENSLOCP00000001288
PMZ_0030640-RA	ENSLOCP00000001288
PMZ_0044114-RA	ENSLOCP00000001292
PMZ_0044483-RA	ENSLOCP00000001294
PMZ_0020415-RA	ENSLOCP00000001299
PMZ_0030614-RA	ENSLOCP00000001302
PMZ_0043052-RA	ENSLOCP00000001305
PMZ_0022182-RA	ENSLOCP00000001305
PMZ_0047014-RA	ENSLOCP00000001308
PMZ_0034416-RA	ENSLOCP00000001316
PMZ_0034401-RA	ENSLOCP00000001317
PMZ_0041499-RA	ENSLOCP00000001318
PMZ_0031530-RA	ENSLOCP00000001321
PMZ_0023359-RA	ENSLOCP00000001322
PMZ_0005978-RA	ENSLOCP00000001323
PMZ_0040885-RA	ENSLOCP00000001325
PMZ_0047571-RA	ENSLOCP00000001325
PMZ_0043864-RA	ENSLOCP00000001326
PMZ_0045874-RA	ENSLOCP00000001329
PMZ_0044052-RA	ENSLOCP00000001332
PMZ_0041556-RA	ENSLOCP00000001336
