SINCAM000007	SINLEJ008012
SINCAM000272	SINLEJ012001
SINCAM000274	SINLEJ012005
SINCAM000274	SINLEJ004572
SINCAM000276	SINLEJ011288
SINCAM000276	SINLEJ011289
SINCAM000281	SINLEJ004452
SINCAM000282	SINLEJ018411
SINCAM000282	SINLEJ014097
SINCAM000283	SINLEJ006229
SINCAM000283	SINLEJ006230
SINCAM000288	SINLEJ014181
SINCAM000288	SINLEJ014143
SINCAM000289	SINLEJ006302
SINCAM000289	SINLEJ012952
SINCAM000291	SINLEJ005690
SINCAM000292	SINLEJ007109
SINCAM000292	SINLEJ007110
SINCAM000296	SINLEJ013317
SINCAM000302	SINLEJ001093
SINCAM000305	SINLEJ006154
SINCAM000305	SINLEJ011889
SINCAM000306	SINLEJ006994
SINCAM000307	SINLEJ002960
SINCAM000307	SINLEJ007138
SINCAM000308	SINLEJ010903
SINCAM000310	SINLEJ014782
SINCAM000311	SINLEJ007039
SINCAM000311	SINLEJ005619
SINCAM000312	SINLEJ006197
SINCAM000313	SINLEJ007071
SINCAM000313	SINLEJ006199
SINCAM000314	SINLEJ006195
SINCAM000316	SINLEJ012080
SINCAM000317	SINLEJ011955
SINCAM000318	SINLEJ004541
SINCAM000319	SINLEJ004432
SINCAM000319	SINLEJ019206
SINCAM000320	SINLEJ018155
SINCAM000322	SINLEJ007324
SINCAM000322	SINLEJ011909
SINCAM000323	SINLEJ011906
SINCAM000325	SINLEJ003788
SINCAM000327	SINLEJ004273
SINCAM000328	SINLEJ004480
SINCAM000328	SINLEJ004477
SINCAM000332	SINLEJ016500
SINCAM000337	SINLEJ009283
SINCAM000338	SINLEJ011254
SINCAM000340	SINLEJ001458
SINCAM000342	SINLEJ000841
SINCAM000342	SINLEJ000757
SINCAM000343	SINLEJ001064
SINCAM000343	SINLEJ014497
SINCAM000344	SINLEJ005140
SINCAM000347	SINLEJ006954
SINCAM000349	SINLEJ010580
SINCAM000355	SINLEJ010655
SINCAM000355	SINLEJ017276
SINCAM000356	SINLEJ010511
SINCAM000356	SINLEJ008048
SINCAM000357	SINLEJ006626
SINCAM000358	SINLEJ010658
SINCAM000358	SINLEJ015469
SINCAM000360	SINLEJ008036
SINCAM000361	SINLEJ014555
SINCAM000363	SINLEJ015434
SINCAM000366	SINLEJ006579
SINCAM000366	SINLEJ010599
SINCAM000367	SINLEJ000522
SINCAM000367	SINLEJ008009
SINCAM000368	SINLEJ006586
SINCAM000372	SINLEJ006630
SINCAM000373	SINLEJ010517
SINCAM000374	SINLEJ000592
SINCAM000376	SINLEJ006301
SINCAM000376	SINLEJ017618
SINCAM000379	SINLEJ006605
SINCAM000379	SINLEJ006604
SINCAM000380	SINLEJ006606
SINCAM000384	SINLEJ006866
SINCAM000384	SINLEJ015225
SINCAM000387	SINLEJ006589
SINCAM000387	SINLEJ010534
SINCAM000388	SINLEJ006591
SINCAM000388	SINLEJ010533
SINCAM000390	SINLEJ010530
SINCAM000390	SINLEJ006595
SINCAM000392	SINLEJ006600
SINCAM000392	SINLEJ010547
SINCAM000394	SINLEJ006602
SINCAM000395	SINLEJ006352
SINCAM000396	SINLEJ006957
SINCAM000397	SINLEJ006360
SINCAM000398	SINLEJ006139
SINCAM000403	SINLEJ007132
SINCAM000404	SINLEJ007427
SINCAM000404	SINLEJ008800
SINCAM000409	SINLEJ005818
SINCAM000410	SINLEJ013493
SINCAM000410	SINLEJ007680
SINCAM000413	SINLEJ007013
SINCAM000415	SINLEJ010088
SINCAM000416	SINLEJ006445
SINCAM000417	SINLEJ015422
SINCAM000417	SINLEJ010703
SINCAM000423	SINLEJ010672
SINCAM000423	SINLEJ015453
SINCAM000427	SINLEJ015444
SINCAM000427	SINLEJ010684
SINCAM000428	SINLEJ006448
SINCAM000428	SINLEJ000034
SINCAM000430	SINLEJ004304
SINCAM000430	SINLEJ011978
SINCAM000433	SINLEJ011878
SINCAM000435	SINLEJ011879
SINCAM000436	SINLEJ004559
SINCAM000437	SINLEJ018989
SINCAM000437	SINLEJ018314
SINCAM000438	SINLEJ015333
SINCAM000438	SINLEJ014052
SINCAM000440	SINLEJ015924
SINCAM000441	SINLEJ004306
SINCAM000441	SINLEJ004305
SINCAM000442	SINLEJ011977
SINCAM000443	SINLEJ004314
SINCAM000443	SINLEJ011390
SINCAM000444	SINLEJ007929
SINCAM000444	SINLEJ012060
SINCAM000445	SINLEJ011939
SINCAM000445	SINLEJ011940
SINCAM000446	SINLEJ004302
SINCAM000448	SINLEJ004371
SINCAM000449	SINLEJ007327
SINCAM000449	SINLEJ007328
SINCAM000450	SINLEJ011949
SINCAM000453	SINLEJ004497
SINCAM000454	SINLEJ004505
SINCAM000454	SINLEJ004502
SINCAM000455	SINLEJ011982
SINCAM000457	SINLEJ004514
SINCAM000461	SINLEJ010290
SINCAM000466	SINLEJ004379
SINCAM000470	SINLEJ600167
SINCAM000470	SINLEJ018575
SINCAM000471	SINLEJ004358
SINCAM000473	SINLEJ016986
SINCAM000473	SINLEJ018870
SINCAM000474	SINLEJ013635
SINCAM000474	SINLEJ013634
SINCAM000475	SINLEJ014102
SINCAM000475	SINLEJ017622
SINCAM000477	SINLEJ006272
SINCAM000477	SINLEJ007046
SINCAM000479	SINLEJ006382
SINCAM000479	SINLEJ006383
SINCAM000481	SINLEJ007051
SINCAM000482	SINLEJ006323
SINCAM000483	SINLEJ006373
SINCAM000483	SINLEJ007096
SINCAM000485	SINLEJ001196
SINCAM000485	SINLEJ016780
SINCAM000489	SINLEJ006204
SINCAM000489	SINLEJ006312
SINCAM000490	SINLEJ006211
SINCAM000490	SINLEJ006212
SINCAM000492	SINLEJ006207
SINCAM000492	SINLEJ006206
SINCAM000493	SINLEJ006208
SINCAM000494	SINLEJ014126
SINCAM000495	SINLEJ006202
SINCAM000496	SINLEJ006251
SINCAM000497	SINLEJ006250
SINCAM000497	SINLEJ000887
SINCAM000498	SINLEJ006249
SINCAM000498	SINLEJ010943
SINCAM000500	SINLEJ015850
SINCAM000500	SINLEJ006375
SINCAM000501	SINLEJ007122
SINCAM000501	SINLEJ006341
SINCAM000504	SINLEJ007125
SINCAM000504	SINLEJ006338
SINCAM000507	SINLEJ014164
SINCAM000508	SINLEJ006278
SINCAM000508	SINLEJ015847
SINCAM000509	SINLEJ002833
SINCAM000510	SINLEJ006277
SINCAM000510	SINLEJ006276
SINCAM000513	SINLEJ006317
SINCAM000513	SINLEJ004194
SINCAM000514	SINLEJ006319
SINCAM000514	SINLEJ006318
SINCAM000516	SINLEJ014173
SINCAM000516	SINLEJ014150
SINCAM000519	SINLEJ007174
SINCAM000520	SINLEJ006395
SINCAM000520	SINLEJ007175
SINCAM000521	SINLEJ001206
SINCAM000521	SINLEJ016768
SINCAM000522	SINLEJ014155
SINCAM000522	SINLEJ014169
SINCAM000524	SINLEJ007165
SINCAM000524	SINLEJ009158
SINCAM000525	SINLEJ002823
SINCAM000525	SINLEJ007931
SINCAM000527	SINLEJ014078
SINCAM000527	SINLEJ010071
SINCAM000528	SINLEJ007183
SINCAM000531	SINLEJ007074
SINCAM000532	SINLEJ001077
SINCAM000533	SINLEJ018337
SINCAM000533	SINLEJ018338
SINCAM000535	SINLEJ006168
SINCAM000535	SINLEJ006170
SINCAM000540	SINLEJ006985
SINCAM000541	SINLEJ006984
SINCAM000542	SINLEJ006177
SINCAM000544	SINLEJ006180
SINCAM000545	SINLEJ006181
SINCAM000546	SINLEJ006183
SINCAM000554	SINLEJ003011
SINCAM000554	SINLEJ010471
SINCAM000555	SINLEJ006153
SINCAM000558	SINLEJ014132
SINCAM000558	SINLEJ019040
SINCAM000559	SINLEJ006365
SINCAM000559	SINLEJ006364
SINCAM000560	SINLEJ007965
SINCAM000562	SINLEJ007158
SINCAM000563	SINLEJ006367
SINCAM000564	SINLEJ006369
SINCAM000565	SINLEJ006370
SINCAM000565	SINLEJ003052
SINCAM000566	SINLEJ006217
SINCAM000567	SINLEJ006216
SINCAM000567	SINLEJ014103
SINCAM000569	SINLEJ003034
SINCAM000572	SINLEJ002810
SINCAM000572	SINLEJ005033
SINCAM000575	SINLEJ002817
SINCAM000576	SINLEJ006313
SINCAM000577	SINLEJ014115
SINCAM000577	SINLEJ014111
SINCAM000582	SINLEJ007012
SINCAM000586	SINLEJ006137
SINCAM000586	SINLEJ006134
SINCAM000587	SINLEJ018878
SINCAM000587	SINLEJ006950
SINCAM000590	SINLEJ006439
SINCAM000591	SINLEJ010680
SINCAM000591	SINLEJ010681
SINCAM000592	SINLEJ015445
SINCAM000592	SINLEJ010683
SINCAM000593	SINLEJ010539
SINCAM000594	SINLEJ007190
SINCAM000595	SINLEJ006224
SINCAM000596	SINLEJ014174
SINCAM000600	SINLEJ006568
SINCAM000600	SINLEJ011464
SINCAM000602	SINLEJ015861
SINCAM000603	SINLEJ003836
SINCAM000603	SINLEJ019306
SINCAM000604	SINLEJ015548
SINCAM000604	SINLEJ006565
SINCAM000609	SINLEJ003254
SINCAM000612	SINLEJ006553
SINCAM000612	SINLEJ006554
SINCAM000616	SINLEJ006965
SINCAM000616	SINLEJ006964
SINCAM000617	SINLEJ002834
SINCAM000618	SINLEJ013086
SINCAM000618	SINLEJ014135
SINCAM000621	SINLEJ014414
SINCAM000622	SINLEJ006289
SINCAM000627	SINLEJ001719
SINCAM000629	SINLEJ007067
SINCAM000629	SINLEJ007068
SINCAM000630	SINLEJ007066
SINCAM000631	SINLEJ014136
SINCAM000632	SINLEJ017748
SINCAM000632	SINLEJ008996
SINCAM000634	SINLEJ000917
SINCAM000634	SINLEJ014053
SINCAM000636	SINLEJ006288
SINCAM000637	SINLEJ019133
SINCAM000638	SINLEJ007015
SINCAM000640	SINLEJ007059
SINCAM000642	SINLEJ007057
SINCAM000642	SINLEJ006285
SINCAM000643	SINLEJ007054
SINCAM000645	SINLEJ003042
SINCAM000648	SINLEJ003130
SINCAM000648	SINLEJ018784
SINCAM000649	SINLEJ003016
SINCAM000649	SINLEJ003015
SINCAM000652	SINLEJ006514
SINCAM000656	SINLEJ004244
SINCAM000656	SINLEJ012019
SINCAM000657	SINLEJ004241
SINCAM000657	SINLEJ004240
SINCAM000660	SINLEJ004252
SINCAM000660	SINLEJ007625
SINCAM000661	SINLEJ004575
SINCAM000662	SINLEJ004577
SINCAM000662	SINLEJ004578
SINCAM000664	SINLEJ012031
SINCAM000666	SINLEJ004256
SINCAM000666	SINLEJ004257
SINCAM000669	SINLEJ004253
SINCAM000672	SINLEJ004260
SINCAM000678	SINLEJ004259
SINCAM000678	SINLEJ015351
SINCAM000680	SINLEJ012045
SINCAM000683	SINLEJ012044
SINCAM000686	SINLEJ004542
SINCAM000686	SINLEJ014281
SINCAM000687	SINLEJ012042
SINCAM000688	SINLEJ017702
SINCAM000690	SINLEJ004455
SINCAM000691	SINLEJ011900
SINCAM000692	SINLEJ004568
SINCAM000693	SINLEJ004569
SINCAM000694	SINLEJ018632
SINCAM000694	SINLEJ004592
SINCAM000695	SINLEJ018633
SINCAM000696	SINLEJ001020
SINCAM000696	SINLEJ001021
SINCAM000698	SINLEJ006470
SINCAM000698	SINLEJ004354
SINCAM000701	SINLEJ015168
SINCAM000701	SINLEJ004353
SINCAM000702	SINLEJ004352
SINCAM000702	SINLEJ012691
SINCAM000706	SINLEJ004265
SINCAM000707	SINLEJ004303
SINCAM000710	SINLEJ007955
SINCAM000711	SINLEJ000972
SINCAM000711	SINLEJ000973
SINCAM000714	SINLEJ004756
SINCAM000714	SINLEJ015390
SINCAM000719	SINLEJ004469
SINCAM000724	SINLEJ004487
SINCAM000725	SINLEJ004556
SINCAM000726	SINLEJ004372
SINCAM000729	SINLEJ004298
SINCAM000735	SINLEJ015213
SINCAM000735	SINLEJ011961
SINCAM000736	SINLEJ011899
SINCAM000737	SINLEJ004405
SINCAM000739	SINLEJ012027
SINCAM000739	SINLEJ004322
SINCAM000740	SINLEJ004326
SINCAM000740	SINLEJ004327
SINCAM000741	SINLEJ004324
SINCAM000754	SINLEJ015136
SINCAM000756	SINLEJ011905
SINCAM000756	SINLEJ004382
SINCAM000758	SINLEJ011893
SINCAM000759	SINLEJ004395
SINCAM000759	SINLEJ004398
SINCAM000763	SINLEJ012874
SINCAM000764	SINLEJ004318
SINCAM000765	SINLEJ004380
SINCAM000769	SINLEJ004282
SINCAM000771	SINLEJ018419
SINCAM000772	SINLEJ019332
SINCAM000774	SINLEJ015187
SINCAM000774	SINLEJ004406
SINCAM000775	SINLEJ015188
SINCAM000776	SINLEJ004531
SINCAM000781	SINLEJ004415
SINCAM000785	SINLEJ004290
SINCAM000796	SINLEJ015472
SINCAM000796	SINLEJ010652
SINCAM000797	SINLEJ005750
SINCAM000797	SINLEJ010569
SINCAM000798	SINLEJ010528
SINCAM000798	SINLEJ005742
SINCAM000800	SINLEJ004917
SINCAM000800	SINLEJ012297
SINCAM000802	SINLEJ005498
SINCAM000805	SINLEJ004546
SINCAM000806	SINLEJ004547
SINCAM000807	SINLEJ004549
SINCAM000808	SINLEJ006667
SINCAM000810	SINLEJ004544
SINCAM000810	SINLEJ004545
SINCAM000813	SINLEJ004213
SINCAM000814	SINLEJ004205
SINCAM000815	SINLEJ009994
SINCAM000818	SINLEJ000228
SINCAM000820	SINLEJ006525
SINCAM000820	SINLEJ012950
SINCAM000822	SINLEJ010604
SINCAM000824	SINLEJ015540
SINCAM000825	SINLEJ005784
SINCAM000826	SINLEJ006442
SINCAM000826	SINLEJ010613
SINCAM000827	SINLEJ011763
SINCAM000828	SINLEJ004529
SINCAM000828	SINLEJ004528
SINCAM000831	SINLEJ006652
SINCAM000831	SINLEJ006669
SINCAM000833	SINLEJ010570
SINCAM000834	SINLEJ000215
SINCAM000834	SINLEJ000216
SINCAM000835	SINLEJ000011
SINCAM000836	SINLEJ009890
SINCAM000837	SINLEJ012425
SINCAM000837	SINLEJ009891
SINCAM000838	SINLEJ000974
SINCAM000840	SINLEJ013352
SINCAM000840	SINLEJ004536
SINCAM000841	SINLEJ004567
SINCAM000842	SINLEJ004566
SINCAM000843	SINLEJ006651
SINCAM000843	SINLEJ006650
SINCAM000845	SINLEJ010602
SINCAM000846	SINLEJ006530
SINCAM000846	SINLEJ010593
SINCAM000847	SINLEJ006756
SINCAM000849	SINLEJ006622
SINCAM000849	SINLEJ010616
SINCAM000854	SINLEJ010618
SINCAM000861	SINLEJ000392
SINCAM000861	SINLEJ012846
SINCAM000862	SINLEJ012847
SINCAM000862	SINLEJ010823
SINCAM000863	SINLEJ010834
SINCAM000863	SINLEJ010833
SINCAM000866	SINLEJ004151
SINCAM000867	SINLEJ012422
SINCAM000867	SINLEJ012423
SINCAM000873	SINLEJ009080
SINCAM000874	SINLEJ000203
SINCAM000877	SINLEJ012424
SINCAM000879	SINLEJ000553
SINCAM000879	SINLEJ000555
SINCAM000881	SINLEJ000558
SINCAM000882	SINLEJ005471
SINCAM000882	SINLEJ006795
SINCAM000883	SINLEJ000561
SINCAM000883	SINLEJ000562
SINCAM000889	SINLEJ012539
SINCAM000889	SINLEJ009867
SINCAM000890	SINLEJ011060
SINCAM000893	SINLEJ014651
SINCAM000894	SINLEJ012460
SINCAM000894	SINLEJ008668
SINCAM000895	SINLEJ012458
SINCAM000895	SINLEJ009856
SINCAM000896	SINLEJ009854
SINCAM000897	SINLEJ012534
SINCAM000899	SINLEJ013708
SINCAM000899	SINLEJ012556
SINCAM000900	SINLEJ012555
SINCAM000901	SINLEJ012507
SINCAM000901	SINLEJ009954
SINCAM000902	SINLEJ012505
SINCAM000902	SINLEJ000345
SINCAM000905	SINLEJ012503
SINCAM000909	SINLEJ000372
SINCAM000911	SINLEJ009669
SINCAM000911	SINLEJ009670
SINCAM000912	SINLEJ012554
SINCAM000912	SINLEJ018137
SINCAM000913	SINLEJ012043
SINCAM000920	SINLEJ018641
SINCAM000922	SINLEJ018131
SINCAM000922	SINLEJ006673
SINCAM000927	SINLEJ600060
SINCAM000927	SINLEJ600115
SINCAM000929	SINLEJ018893
SINCAM000929	SINLEJ009864
SINCAM000930	SINLEJ009861
SINCAM000930	SINLEJ009860
SINCAM000935	SINLEJ000109
SINCAM000935	SINLEJ003841
SINCAM000937	SINLEJ012553
SINCAM000938	SINLEJ000363
SINCAM000940	SINLEJ013372
SINCAM000941	SINLEJ003983
SINCAM000941	SINLEJ000264
SINCAM000943	SINLEJ000265
SINCAM000944	SINLEJ003987
SINCAM000944	SINLEJ012955
SINCAM000945	SINLEJ015897
SINCAM000948	SINLEJ015895
SINCAM000948	SINLEJ015894
SINCAM000950	SINLEJ015846
SINCAM000951	SINLEJ000471
SINCAM000951	SINLEJ003954
SINCAM000953	SINLEJ012190
SINCAM000953	SINLEJ000533
SINCAM000954	SINLEJ000530
SINCAM000955	SINLEJ007891
SINCAM000955	SINLEJ010901
SINCAM000957	SINLEJ016857
SINCAM000960	SINLEJ004141
SINCAM000961	SINLEJ004125
SINCAM000962	SINLEJ004077
SINCAM000963	SINLEJ000400
SINCAM000964	SINLEJ004124
SINCAM000966	SINLEJ015877
SINCAM000968	SINLEJ014299
SINCAM000970	SINLEJ001727
SINCAM000971	SINLEJ012464
SINCAM000972	SINLEJ012485
SINCAM000976	SINLEJ009950
SINCAM000979	SINLEJ012426
SINCAM000979	SINLEJ012469
SINCAM000982	SINLEJ010016
SINCAM000984	SINLEJ000190
SINCAM000984	SINLEJ000187
SINCAM000986	SINLEJ012473
SINCAM000986	SINLEJ010024
SINCAM000989	SINLEJ004128
SINCAM000989	SINLEJ004130
SINCAM000991	SINLEJ010809
SINCAM000993	SINLEJ000423
SINCAM001001	SINLEJ015864
SINCAM001001	SINLEJ006587
SINCAM001011	SINLEJ014203
SINCAM001011	SINLEJ010728
SINCAM001012	SINLEJ011816
SINCAM001012	SINLEJ011813
SINCAM001014	SINLEJ017033
SINCAM001014	SINLEJ012475
SINCAM001016	SINLEJ000033
SINCAM001017	SINLEJ009858
SINCAM001021	SINLEJ000032
SINCAM001022	SINLEJ009944
SINCAM001026	SINLEJ007005
SINCAM001027	SINLEJ000018
SINCAM001027	SINLEJ000019
SINCAM001030	SINLEJ003967
SINCAM001031	SINLEJ010800
SINCAM001032	SINLEJ003966
SINCAM001032	SINLEJ010802
SINCAM001033	SINLEJ004083
SINCAM001035	SINLEJ004093
SINCAM001035	SINLEJ004092
SINCAM001036	SINLEJ004095
SINCAM001037	SINLEJ004096
SINCAM001037	SINLEJ012853
SINCAM001038	SINLEJ004098
SINCAM001043	SINLEJ014268
SINCAM001043	SINLEJ012078
SINCAM001045	SINLEJ004032
SINCAM001046	SINLEJ004033
SINCAM001047	SINLEJ004037
SINCAM001047	SINLEJ010890
SINCAM001049	SINLEJ000493
SINCAM001051	SINLEJ010720
SINCAM001052	SINLEJ000594
SINCAM001052	SINLEJ010721
SINCAM001054	SINLEJ010867
SINCAM001054	SINLEJ000537
SINCAM001055	SINLEJ000591
SINCAM001058	SINLEJ012925
SINCAM001059	SINLEJ016435
SINCAM001059	SINLEJ016436
SINCAM001060	SINLEJ016434
SINCAM001065	SINLEJ008049
SINCAM001067	SINLEJ018608
SINCAM001067	SINLEJ018607
SINCAM001068	SINLEJ010722
SINCAM001068	SINLEJ000539
SINCAM001070	SINLEJ000528
SINCAM001071	SINLEJ000584
SINCAM001071	SINLEJ012910
SINCAM001073	SINLEJ004023
SINCAM001075	SINLEJ004022
SINCAM001076	SINLEJ004021
SINCAM001076	SINLEJ012913
SINCAM001077	SINLEJ000580
SINCAM001077	SINLEJ004020
SINCAM001078	SINLEJ000582
SINCAM001079	SINLEJ015927
SINCAM001079	SINLEJ019016
SINCAM001080	SINLEJ004017
SINCAM001085	SINLEJ004009
SINCAM001085	SINLEJ004013
SINCAM001086	SINLEJ010723
SINCAM001087	SINLEJ010725
SINCAM001089	SINLEJ010865
SINCAM001089	SINLEJ010866
SINCAM001090	SINLEJ017834
SINCAM001091	SINLEJ001063
SINCAM001092	SINLEJ011167
SINCAM001096	SINLEJ012143
SINCAM001096	SINLEJ010840
SINCAM001097	SINLEJ000868
SINCAM001098	SINLEJ000867
SINCAM001099	SINLEJ012799
SINCAM001099	SINLEJ012800
SINCAM001100	SINLEJ000057
SINCAM001100	SINLEJ014289
SINCAM001102	SINLEJ012794
SINCAM001102	SINLEJ600106
SINCAM001103	SINLEJ012803
SINCAM001103	SINLEJ012802
SINCAM001106	SINLEJ012940
SINCAM001107	SINLEJ012939
SINCAM001107	SINLEJ012938
SINCAM001108	SINLEJ012936
SINCAM001110	SINLEJ008335
SINCAM001111	SINLEJ008980
SINCAM001111	SINLEJ008979
SINCAM001114	SINLEJ000613
SINCAM001114	SINLEJ003910
SINCAM001116	SINLEJ012865
SINCAM001116	SINLEJ014188
SINCAM001117	SINLEJ003939
SINCAM001118	SINLEJ012875
SINCAM001118	SINLEJ003940
SINCAM001119	SINLEJ001919
SINCAM001121	SINLEJ008239
SINCAM001124	SINLEJ010879
SINCAM001124	SINLEJ010878
SINCAM001128	SINLEJ010877
SINCAM001128	SINLEJ010719
SINCAM001129	SINLEJ010875
SINCAM001129	SINLEJ010876
SINCAM001132	SINLEJ012843
SINCAM001132	SINLEJ010886
SINCAM001135	SINLEJ012841
SINCAM001136	SINLEJ003941
SINCAM001142	SINLEJ012944
SINCAM001143	SINLEJ010826
SINCAM001143	SINLEJ003944
SINCAM001144	SINLEJ012452
SINCAM001146	SINLEJ005135
SINCAM001147	SINLEJ001309
SINCAM001150	SINLEJ015875
SINCAM001152	SINLEJ015873
SINCAM001154	SINLEJ012869
SINCAM001156	SINLEJ018140
SINCAM001159	SINLEJ015870
SINCAM001159	SINLEJ010765
SINCAM001161	SINLEJ004119
SINCAM001162	SINLEJ004116
SINCAM001162	SINLEJ004115
SINCAM001163	SINLEJ012872
SINCAM001164	SINLEJ000239
SINCAM001168	SINLEJ012864
SINCAM001169	SINLEJ000508
SINCAM001170	SINLEJ015909
SINCAM001171	SINLEJ012836
SINCAM001172	SINLEJ010729
