PMZ_0000016-RA	SINLEJ014510
PMZ_0000491-RA	SINLEJ006224
PMZ_0000492-RA	SINLEJ006225
PMZ_0000500-RA	SINLEJ004412
PMZ_0000522-RA	SINLEJ004408
PMZ_0000551-RA	SINLEJ004404
PMZ_0000569-RA	SINLEJ004231
PMZ_0000573-RA	SINLEJ004229
PMZ_0000574-RA	SINLEJ004228
PMZ_0000596-RA	SINLEJ019069
PMZ_0000614-RA	SINLEJ017832
PMZ_0000616-RA	SINLEJ017833
PMZ_0000635-RA	SINLEJ007631
PMZ_0000637-RA	SINLEJ007626
PMZ_0000645-RA	SINLEJ007620
PMZ_0000647-RA	SINLEJ010269
PMZ_0000650-RA	SINLEJ018176
PMZ_0000658-RA	SINLEJ010272
PMZ_0000675-RA	SINLEJ014424
PMZ_0000682-RA	SINLEJ014420
PMZ_0000715-RA	SINLEJ016256
PMZ_0000716-RA	SINLEJ016255
PMZ_0000718-RA	SINLEJ016254
PMZ_0000720-RA	SINLEJ016252
PMZ_0000721-RA	SINLEJ016251
PMZ_0000732-RA	SINLEJ016247
PMZ_0000740-RA	SINLEJ001209
PMZ_0000753-RA	SINLEJ001204
PMZ_0000755-RA	SINLEJ018497
PMZ_0000757-RA	SINLEJ005942
PMZ_0000762-RA	SINLEJ005939
PMZ_0000795-RA	SINLEJ005935
PMZ_0000802-RA	SINLEJ005928
PMZ_0000813-RA	SINLEJ005278
PMZ_0000823-RA	SINLEJ018776
PMZ_0000838-RA	SINLEJ006578
PMZ_0000839-RA	SINLEJ006577
PMZ_0000842-RA	SINLEJ017156
PMZ_0000863-RA	SINLEJ008464
PMZ_0000868-RA	SINLEJ018437
PMZ_0000934-RA	SINLEJ005734
PMZ_0000944-RA	SINLEJ005729
PMZ_0000947-RA	SINLEJ005726
PMZ_0000972-RA	SINLEJ005959
PMZ_0000976-RA	SINLEJ010011
PMZ_0000986-RA	SINLEJ015208
PMZ_0000988-RA	SINLEJ015211
PMZ_0000991-RA	SINLEJ017263
PMZ_0000996-RA	SINLEJ011963
PMZ_0000998-RA	SINLEJ011965
PMZ_0000999-RA	SINLEJ011966
PMZ_0001003-RA	SINLEJ011969
PMZ_0001032-RA	SINLEJ003901
PMZ_0001037-RA	SINLEJ000408
PMZ_0001038-RA	SINLEJ000406
PMZ_0001043-RA	SINLEJ000401
PMZ_0001053-RA	SINLEJ000395
PMZ_0001054-RA	SINLEJ000394
PMZ_0001057-RA	SINLEJ000393
PMZ_0001072-RA	SINLEJ009803
PMZ_0001128-RA	SINLEJ006725
PMZ_0001130-RA	SINLEJ006730
PMZ_0001145-RA	SINLEJ000231
PMZ_0001149-RA	SINLEJ003883
PMZ_0001162-RA	SINLEJ018650
PMZ_0001163-RA	SINLEJ018636
PMZ_0001165-RA	SINLEJ001020
PMZ_0001167-RA	SINLEJ001022
PMZ_0001168-RA	SINLEJ001023
PMZ_0001169-RA	SINLEJ001024
PMZ_0001177-RA	SINLEJ600454
PMZ_0001180-RA	SINLEJ007672
PMZ_0001184-RA	SINLEJ001029
PMZ_0001185-RA	SINLEJ001030
PMZ_0001192-RA	SINLEJ007664
PMZ_0001202-RA	SINLEJ001039
PMZ_0001206-RA	SINLEJ001042
PMZ_0001234-RA	SINLEJ001955
PMZ_0001237-RA	SINLEJ001953
PMZ_0001239-RA	SINLEJ001952
PMZ_0001240-RA	SINLEJ001947
PMZ_0001259-RA	SINLEJ007718
PMZ_0001273-RA	SINLEJ006764
PMZ_0001274-RA	SINLEJ006762
PMZ_0001277-RA	SINLEJ006756
PMZ_0001289-RA	SINLEJ006750
PMZ_0001293-RA	SINLEJ006748
PMZ_0001295-RA	SINLEJ006745
PMZ_0001306-RA	SINLEJ001802
PMZ_0001310-RA	SINLEJ001805
PMZ_0001312-RA	SINLEJ005188
PMZ_0001335-RA	SINLEJ001819
PMZ_0001336-RA	SINLEJ001820
PMZ_0001339-RA	SINLEJ001821
PMZ_0001383-RA	SINLEJ010779
PMZ_0001385-RA	SINLEJ010845
PMZ_0001394-RA	SINLEJ006922
PMZ_0001408-RA	SINLEJ013240
PMZ_0001410-RA	SINLEJ008132
PMZ_0001411-RA	SINLEJ013238
PMZ_0001413-RA	SINLEJ013236
PMZ_0001414-RA	SINLEJ008827
PMZ_0001415-RA	SINLEJ008826
PMZ_0001420-RA	SINLEJ008819
PMZ_0001421-RA	SINLEJ008816
PMZ_0001422-RA	SINLEJ008815
PMZ_0001423-RA	SINLEJ008813
PMZ_0001428-RA	SINLEJ008809
PMZ_0001429-RA	SINLEJ008806
PMZ_0001436-RA	SINLEJ007891
PMZ_0001444-RA	SINLEJ010898
PMZ_0001450-RA	SINLEJ003085
PMZ_0001478-RA	SINLEJ001168
PMZ_0001482-RA	SINLEJ001166
PMZ_0001484-RA	SINLEJ001164
PMZ_0001486-RA	SINLEJ001162
PMZ_0001487-RA	SINLEJ001161
PMZ_0001491-RA	SINLEJ001159
PMZ_0001505-RA	SINLEJ006574
PMZ_0001508-RA	SINLEJ006573
PMZ_0001509-RA	SINLEJ006572
PMZ_0001517-RA	SINLEJ006568
PMZ_0001522-RA	SINLEJ006566
PMZ_0001524-RA	SINLEJ000329
PMZ_0001525-RA	SINLEJ006565
PMZ_0001531-RA	SINLEJ013000
PMZ_0001535-RA	SINLEJ012998
PMZ_0001536-RA	SINLEJ012997
PMZ_0001540-RA	SINLEJ004852
PMZ_0001563-RA	SINLEJ016439
PMZ_0001565-RA	SINLEJ016438
PMZ_0001568-RA	SINLEJ004860
PMZ_0001572-RA	SINLEJ016434
PMZ_0001573-RA	SINLEJ004862
PMZ_0001575-RA	SINLEJ016430
PMZ_0001576-RA	SINLEJ016429
PMZ_0001578-RA	SINLEJ016427
PMZ_0001580-RA	SINLEJ016421
PMZ_0001581-RA	SINLEJ004688
PMZ_0001582-RA	SINLEJ004689
PMZ_0001583-RA	SINLEJ004690
PMZ_0001586-RA	SINLEJ004691
PMZ_0001594-RA	SINLEJ004695
PMZ_0001595-RA	SINLEJ004696
PMZ_0001601-RA	SINLEJ004697
PMZ_0001602-RA	SINLEJ004698
PMZ_0001619-RA	SINLEJ011975
PMZ_0001621-RA	SINLEJ011976
PMZ_0001624-RA	SINLEJ011978
PMZ_0001625-RA	SINLEJ011979
PMZ_0001627-RA	SINLEJ011981
PMZ_0001630-RA	SINLEJ011983
PMZ_0001644-RA	SINLEJ009441
PMZ_0001646-RA	SINLEJ009437
PMZ_0001656-RA	SINLEJ013180
PMZ_0001659-RA	SINLEJ011677
PMZ_0001660-RA	SINLEJ013183
PMZ_0001667-RA	SINLEJ013186
PMZ_0001683-RA	SINLEJ018527
PMZ_0001702-RA	SINLEJ009748
PMZ_0001704-RA	SINLEJ009749
PMZ_0001708-RA	SINLEJ009196
PMZ_0001719-RA	SINLEJ010226
PMZ_0001720-RA	SINLEJ015344
PMZ_0001723-RA	SINLEJ010232
PMZ_0001725-RA	SINLEJ010222
PMZ_0001728-RA	SINLEJ002868
PMZ_0001730-RA	SINLEJ002866
PMZ_0001743-RA	SINLEJ016153
PMZ_0001747-RA	SINLEJ006532
PMZ_0001748-RA	SINLEJ006530
PMZ_0001762-RA	SINLEJ017002
PMZ_0001789-RA	SINLEJ018629
PMZ_0001793-RA	SINLEJ009341
PMZ_0001799-RA	SINLEJ009336
PMZ_0001801-RA	SINLEJ009334
PMZ_0001805-RA	SINLEJ008915
PMZ_0001811-RA	SINLEJ008917
PMZ_0001836-RA	SINLEJ004687
PMZ_0001843-RA	SINLEJ003348
PMZ_0001846-RA	SINLEJ003350
PMZ_0001847-RA	SINLEJ003351
PMZ_0001861-RA	SINLEJ003364
PMZ_0001869-RA	SINLEJ001398
PMZ_0001875-RA	SINLEJ001403
PMZ_0001876-RA	SINLEJ001404
PMZ_0001878-RA	SINLEJ001407
PMZ_0001879-RA	SINLEJ001408
PMZ_0001882-RA	SINLEJ001412
PMZ_0001885-RA	SINLEJ001415
PMZ_0001889-RA	SINLEJ004420
PMZ_0001911-RA	SINLEJ006706
PMZ_0001913-RA	SINLEJ008657
PMZ_0001949-RA	SINLEJ004486
PMZ_0001952-RA	SINLEJ004483
PMZ_0001956-RA	SINLEJ004482
PMZ_0001960-RA	SINLEJ004476
PMZ_0001962-RA	SINLEJ004474
PMZ_0001963-RA	SINLEJ004473
PMZ_0001964-RA	SINLEJ004472
PMZ_0001979-RA	SINLEJ600493
PMZ_0001980-RA	SINLEJ003305
PMZ_0001994-RA	SINLEJ003311
PMZ_0001995-RA	SINLEJ003312
PMZ_0001996-RA	SINLEJ003313
PMZ_0002000-RA	SINLEJ003318
PMZ_0002001-RA	SINLEJ003320
PMZ_0002002-RA	SINLEJ003321
PMZ_0002005-RA	SINLEJ001300
PMZ_0002006-RA	SINLEJ001302
PMZ_0002007-RA	SINLEJ001303
PMZ_0002008-RA	SINLEJ001304
PMZ_0002009-RA	SINLEJ001306
PMZ_0002015-RA	SINLEJ001309
PMZ_0002016-RA	SINLEJ001311
PMZ_0002018-RA	SINLEJ001313
PMZ_0002023-RA	SINLEJ006584
PMZ_0002027-RA	SINLEJ006587
PMZ_0002029-RA	SINLEJ006588
PMZ_0002030-RA	SINLEJ006589
PMZ_0002031-RA	SINLEJ006594
PMZ_0002037-RA	SINLEJ006598
PMZ_0002049-RA	SINLEJ019213
PMZ_0002064-RA	SINLEJ007393
PMZ_0002078-RA	SINLEJ009418
PMZ_0002090-RA	SINLEJ009413
PMZ_0002092-RA	SINLEJ001545
PMZ_0002095-RA	SINLEJ001550
PMZ_0002097-RA	SINLEJ010475
PMZ_0002100-RA	SINLEJ001557
PMZ_0002101-RA	SINLEJ001558
PMZ_0002102-RA	SINLEJ001560
PMZ_0002103-RA	SINLEJ001561
PMZ_0002107-RA	SINLEJ016818
PMZ_0002109-RA	SINLEJ008645
PMZ_0002129-RA	SINLEJ007163
PMZ_0002130-RA	SINLEJ006143
PMZ_0002139-RA	SINLEJ006016
PMZ_0002149-RA	SINLEJ006019
PMZ_0002153-RA	SINLEJ007167
PMZ_0002181-RA	SINLEJ003205
PMZ_0002187-RA	SINLEJ003208
PMZ_0002197-RA	SINLEJ000159
PMZ_0002225-RA	SINLEJ600392
PMZ_0002229-RA	SINLEJ016172
PMZ_0002234-RA	SINLEJ005995
PMZ_0002236-RA	SINLEJ008885
PMZ_0002239-RA	SINLEJ002135
PMZ_0002240-RA	SINLEJ005989
PMZ_0002242-RA	SINLEJ005992
PMZ_0002245-RA	SINLEJ005996
PMZ_0002252-RA	SINLEJ008881
PMZ_0002253-RA	SINLEJ006000
PMZ_0002261-RA	SINLEJ015283
PMZ_0002272-RA	SINLEJ004667
PMZ_0002273-RA	SINLEJ004670
PMZ_0002274-RA	SINLEJ004672
PMZ_0002279-RA	SINLEJ004676
PMZ_0002281-RA	SINLEJ004677
PMZ_0002284-RA	SINLEJ006832
PMZ_0002287-RA	SINLEJ006831
PMZ_0002305-RA	SINLEJ001615
PMZ_0002310-RA	SINLEJ015885
PMZ_0002321-RA	SINLEJ004612
PMZ_0002324-RA	SINLEJ005127
PMZ_0002328-RA	SINLEJ012418
PMZ_0002331-RA	SINLEJ007695
PMZ_0002332-RA	SINLEJ007696
PMZ_0002337-RA	SINLEJ007699
PMZ_0002342-RA	SINLEJ007704
PMZ_0002343-RA	SINLEJ007705
PMZ_0002348-RA	SINLEJ001520
PMZ_0002350-RA	SINLEJ001519
PMZ_0002356-RA	SINLEJ001526
PMZ_0002362-RA	SINLEJ001531
PMZ_0002388-RA	SINLEJ003115
PMZ_0002394-RA	SINLEJ000081
PMZ_0002415-RA	SINLEJ005464
PMZ_0002416-RA	SINLEJ005463
PMZ_0002423-RA	SINLEJ005451
PMZ_0002426-RA	SINLEJ009922
PMZ_0002437-RA	SINLEJ009929
PMZ_0002438-RA	SINLEJ009930
PMZ_0002443-RA	SINLEJ009936
PMZ_0002450-RA	SINLEJ006508
PMZ_0002451-RA	SINLEJ002183
PMZ_0002461-RA	SINLEJ006504
PMZ_0002470-RA	SINLEJ006778
PMZ_0002472-RA	SINLEJ012095
PMZ_0002474-RA	SINLEJ017808
PMZ_0002478-RA	SINLEJ001758
PMZ_0002483-RA	SINLEJ001763
PMZ_0002486-RA	SINLEJ001767
PMZ_0002493-RA	SINLEJ001770
PMZ_0002494-RA	SINLEJ001771
PMZ_0002495-RA	SINLEJ001772
PMZ_0002496-RA	SINLEJ017548
PMZ_0002497-RA	SINLEJ008913
PMZ_0002500-RA	SINLEJ017546
PMZ_0002508-RA	SINLEJ017089
PMZ_0002511-RA	SINLEJ017084
PMZ_0002515-RA	SINLEJ009948
PMZ_0002516-RA	SINLEJ009947
PMZ_0002519-RA	SINLEJ009942
PMZ_0002520-RA	SINLEJ009941
PMZ_0002539-RA	SINLEJ009457
PMZ_0002540-RA	SINLEJ009454
PMZ_0002542-RA	SINLEJ009452
PMZ_0002549-RA	SINLEJ003690
PMZ_0002570-RA	SINLEJ001446
PMZ_0002571-RA	SINLEJ001447
PMZ_0002572-RA	SINLEJ001448
PMZ_0002573-RA	SINLEJ001452
PMZ_0002576-RA	SINLEJ001454
PMZ_0002577-RA	SINLEJ001455
PMZ_0002583-RA	SINLEJ012509
PMZ_0002604-RA	SINLEJ012635
PMZ_0002612-RA	SINLEJ012629
PMZ_0002614-RA	SINLEJ012628
PMZ_0002617-RA	SINLEJ007340
PMZ_0002624-RA	SINLEJ007343
PMZ_0002628-RA	SINLEJ007346
PMZ_0002629-RA	SINLEJ007347
PMZ_0002631-RA	SINLEJ007349
PMZ_0002632-RA	SINLEJ007351
PMZ_0002634-RA	SINLEJ007353
PMZ_0002635-RA	SINLEJ007354
PMZ_0002648-RA	SINLEJ018142
PMZ_0002666-RA	SINLEJ011734
PMZ_0002677-RA	SINLEJ013119
PMZ_0002684-RA	SINLEJ000800
PMZ_0002685-RA	SINLEJ000799
PMZ_0002694-RA	SINLEJ000323
PMZ_0002696-RA	SINLEJ000321
PMZ_0002699-RA	SINLEJ000316
PMZ_0002709-RA	SINLEJ000314
PMZ_0002710-RA	SINLEJ000313
PMZ_0002712-RA	SINLEJ004108
PMZ_0002714-RA	SINLEJ004106
PMZ_0002716-RA	SINLEJ004105
PMZ_0002719-RA	SINLEJ004101
PMZ_0002720-RA	SINLEJ004100
PMZ_0002721-RA	SINLEJ004099
PMZ_0002725-RA	SINLEJ600056
PMZ_0002730-RA	SINLEJ600062
PMZ_0002732-RA	SINLEJ600065
PMZ_0002740-RA	SINLEJ010395
PMZ_0002771-RA	SINLEJ004311
PMZ_0002774-RA	SINLEJ004308
PMZ_0002777-RA	SINLEJ004306
PMZ_0002778-RA	SINLEJ004304
PMZ_0002779-RA	SINLEJ004303
PMZ_0002790-RA	SINLEJ004018
PMZ_0002795-RA	SINLEJ001702
PMZ_0002815-RA	SINLEJ018069
PMZ_0002831-RA	SINLEJ013349
PMZ_0002834-RA	SINLEJ017527
PMZ_0002839-RA	SINLEJ013298
PMZ_0002847-RA	SINLEJ016959
PMZ_0002852-RA	SINLEJ007813
PMZ_0002857-RA	SINLEJ004532
PMZ_0002862-RA	SINLEJ004182
PMZ_0002865-RA	SINLEJ004177
PMZ_0002866-RA	SINLEJ004175
PMZ_0002869-RA	SINLEJ004173
PMZ_0002870-RA	SINLEJ004172
PMZ_0002892-RA	SINLEJ010398
PMZ_0002906-RA	SINLEJ012585
PMZ_0002907-RA	SINLEJ012582
PMZ_0002910-RA	SINLEJ012581
PMZ_0002913-RA	SINLEJ009426
PMZ_0002938-RA	SINLEJ018609
PMZ_0002941-RB	SINLEJ003143
PMZ_0002962-RA	SINLEJ010440
PMZ_0002965-RA	SINLEJ010442
PMZ_0002979-RA	SINLEJ013231
PMZ_0003003-RA	SINLEJ002150
PMZ_0003035-RA	SINLEJ002861
PMZ_0003038-RA	SINLEJ002857
PMZ_0003041-RA	SINLEJ002855
PMZ_0003046-RA	SINLEJ013481
PMZ_0003052-RA	SINLEJ017295
PMZ_0003053-RA	SINLEJ017297
PMZ_0003067-RA	SINLEJ008940
PMZ_0003069-RA	SINLEJ014779
PMZ_0003072-RA	SINLEJ008942
PMZ_0003076-RA	SINLEJ008943
PMZ_0003078-RA	SINLEJ015554
PMZ_0003100-RA	SINLEJ600162
PMZ_0003101-RA	SINLEJ600163
PMZ_0003103-RA	SINLEJ600168
PMZ_0003104-RA	SINLEJ600169
PMZ_0003107-RA	SINLEJ600171
PMZ_0003108-RA	SINLEJ600172
PMZ_0003109-RA	SINLEJ005396
PMZ_0003111-RA	SINLEJ005397
PMZ_0003120-RA	SINLEJ011992
PMZ_0003130-RA	SINLEJ013170
PMZ_0003131-RA	SINLEJ013172
PMZ_0003150-RA	SINLEJ007112
PMZ_0003166-RA	SINLEJ016032
PMZ_0003167-RA	SINLEJ005681
PMZ_0003168-RA	SINLEJ005680
PMZ_0003170-RA	SINLEJ005679
PMZ_0003173-RA	SINLEJ005676
PMZ_0003174-RA	SINLEJ005675
PMZ_0003180-RA	SINLEJ005670
PMZ_0003181-RA	SINLEJ005669
PMZ_0003182-RA	SINLEJ016279
PMZ_0003185-RA	SINLEJ005665
PMZ_0003192-RA	SINLEJ005663
PMZ_0003194-RA	SINLEJ005662
PMZ_0003195-RA	SINLEJ005659
PMZ_0003196-RA	SINLEJ005658
PMZ_0003200-RA	SINLEJ005657
PMZ_0003203-RA	SINLEJ015137
PMZ_0003210-RA	SINLEJ009463
PMZ_0003215-RA	SINLEJ001986
PMZ_0003219-RA	SINLEJ005649
PMZ_0003220-RA	SINLEJ005647
PMZ_0003231-RA	SINLEJ010171
PMZ_0003232-RA	SINLEJ010169
PMZ_0003237-RA	SINLEJ010167
PMZ_0003240-RA	SINLEJ010163
PMZ_0003241-RA	SINLEJ010162
PMZ_0003248-RA	SINLEJ001813
PMZ_0003253-RA	SINLEJ003107
PMZ_0003256-RA	SINLEJ003109
PMZ_0003258-RA	SINLEJ003111
PMZ_0003263-RA	SINLEJ011651
PMZ_0003268-RA	SINLEJ011655
PMZ_0003280-RA	SINLEJ014625
PMZ_0003283-RA	SINLEJ016704
PMZ_0003298-RA	SINLEJ000421
PMZ_0003302-RA	SINLEJ000425
PMZ_0003317-RA	SINLEJ009376
PMZ_0003319-RA	SINLEJ009374
PMZ_0003320-RA	SINLEJ009372
PMZ_0003345-RA	SINLEJ600212
PMZ_0003346-RA	SINLEJ600210
PMZ_0003352-RA	SINLEJ014632
PMZ_0003366-RA	SINLEJ001572
PMZ_0003368-RA	SINLEJ001574
PMZ_0003373-RA	SINLEJ001577
PMZ_0003374-RA	SINLEJ001579
PMZ_0003376-RA	SINLEJ001580
PMZ_0003377-RA	SINLEJ001581
PMZ_0003379-RA	SINLEJ001587
PMZ_0003389-RA	SINLEJ001651
PMZ_0003396-RA	SINLEJ004318
PMZ_0003412-RA	SINLEJ007453
PMZ_0003421-RA	SINLEJ008171
PMZ_0003423-RA	SINLEJ007458
PMZ_0003451-RA	SINLEJ001960
PMZ_0003452-RA	SINLEJ001964
PMZ_0003453-RA	SINLEJ001965
PMZ_0003465-RA	SINLEJ004241
PMZ_0003493-RA	SINLEJ010369
PMZ_0003501-RA	SINLEJ008866
PMZ_0003510-RA	SINLEJ010913
PMZ_0003514-RA	SINLEJ010910
PMZ_0003516-RA	SINLEJ010911
PMZ_0003521-RA	SINLEJ004552
PMZ_0003527-RA	SINLEJ013294
PMZ_0003528-RA	SINLEJ008423
PMZ_0003545-RA	SINLEJ008436
PMZ_0003546-RA	SINLEJ008438
PMZ_0003553-RA	SINLEJ012377
PMZ_0003561-RA	SINLEJ018894
PMZ_0003562-RA	SINLEJ003371
PMZ_0003569-RA	SINLEJ012369
PMZ_0003579-RA	SINLEJ600309
PMZ_0003581-RA	SINLEJ600310
PMZ_0003584-RA	SINLEJ600312
PMZ_0003614-RA	SINLEJ001642
PMZ_0003618-RA	SINLEJ001644
PMZ_0003619-RA	SINLEJ001646
PMZ_0003621-RA	SINLEJ001647
PMZ_0003625-RA	SINLEJ014006
PMZ_0003638-RA	SINLEJ008358
PMZ_0003650-RA	SINLEJ012037
PMZ_0003652-RA	SINLEJ005271
PMZ_0003666-RA	SINLEJ008412
PMZ_0003668-RA	SINLEJ008413
PMZ_0003669-RA	SINLEJ008414
PMZ_0003672-RA	SINLEJ001317
PMZ_0003673-RA	SINLEJ001316
PMZ_0003686-RA	SINLEJ001460
PMZ_0003688-RA	SINLEJ001459
PMZ_0003690-RA	SINLEJ001464
PMZ_0003693-RA	SINLEJ001458
PMZ_0003724-RA	SINLEJ005102
PMZ_0003727-RA	SINLEJ004195
PMZ_0003736-RA	SINLEJ004194
PMZ_0003738-RA	SINLEJ004191
PMZ_0003749-RA	SINLEJ000271
PMZ_0003752-RA	SINLEJ007327
PMZ_0003766-RA	SINLEJ000390
PMZ_0003767-RA	SINLEJ000389
PMZ_0003771-RA	SINLEJ000384
PMZ_0003778-RA	SINLEJ003424
PMZ_0003781-RA	SINLEJ004490
PMZ_0003783-RA	SINLEJ004493
PMZ_0003784-RA	SINLEJ004494
PMZ_0003792-RA	SINLEJ000713
PMZ_0003796-RA	SINLEJ000715
PMZ_0003805-RA	SINLEJ003301
PMZ_0003808-RA	SINLEJ004425
PMZ_0003809-RA	SINLEJ004428
PMZ_0003815-RA	SINLEJ004432
PMZ_0003816-RA	SINLEJ004434
PMZ_0003817-RA	SINLEJ004435
PMZ_0003829-RA	SINLEJ003517
PMZ_0003835-RA	SINLEJ016061
PMZ_0003861-RA	SINLEJ009113
PMZ_0003866-RA	SINLEJ009112
PMZ_0003868-RA	SINLEJ009111
PMZ_0003869-RA	SINLEJ009110
PMZ_0003870-RA	SINLEJ009109
PMZ_0003885-RA	SINLEJ014598
PMZ_0003890-RA	SINLEJ003049
PMZ_0003905-RA	SINLEJ008417
PMZ_0003910-RA	SINLEJ001171
PMZ_0003934-RA	SINLEJ009007
PMZ_0003937-RA	SINLEJ009010
PMZ_0003942-RA	SINLEJ009903
PMZ_0003951-RA	SINLEJ009895
PMZ_0003952-RA	SINLEJ009908
PMZ_0003958-RA	SINLEJ013499
PMZ_0003963-RA	SINLEJ013500
PMZ_0003968-RA	SINLEJ600429
PMZ_0003976-RA	SINLEJ600423
PMZ_0003982-RA	SINLEJ009874
PMZ_0004005-RA	SINLEJ012262
PMZ_0004009-RA	SINLEJ000670
PMZ_0004016-RA	SINLEJ000784
PMZ_0004017-RA	SINLEJ000785
PMZ_0004020-RA	SINLEJ000787
PMZ_0004032-RA	SINLEJ009790
PMZ_0004045-RA	SINLEJ011168
PMZ_0004052-RA	SINLEJ009492
PMZ_0004054-RA	SINLEJ009491
PMZ_0004055-RA	SINLEJ009490
PMZ_0004056-RA	SINLEJ009488
PMZ_0004057-RA	SINLEJ009487
PMZ_0004059-RA	SINLEJ009484
PMZ_0004060-RA	SINLEJ009483
PMZ_0004061-RA	SINLEJ009482
PMZ_0004062-RA	SINLEJ009481
PMZ_0004063-RA	SINLEJ009477
PMZ_0004065-RA	SINLEJ004159
PMZ_0004075-RA	SINLEJ000867
PMZ_0004080-RA	SINLEJ007001
PMZ_0004081-RA	SINLEJ006999
PMZ_0004083-RA	SINLEJ006998
PMZ_0004088-RA	SINLEJ006994
PMZ_0004112-RA	SINLEJ006620
PMZ_0004127-RA	SINLEJ002875
PMZ_0004145-RA	SINLEJ012093
PMZ_0004147-RA	SINLEJ008588
PMZ_0004159-RA	SINLEJ016324
PMZ_0004167-RA	SINLEJ015447
PMZ_0004169-RA	SINLEJ015445
PMZ_0004191-RA	SINLEJ007508
PMZ_0004196-RA	SINLEJ012670
PMZ_0004204-RA	SINLEJ008796
PMZ_0004210-RA	SINLEJ013569
PMZ_0004229-RA	SINLEJ013579
PMZ_0004230-RA	SINLEJ015576
PMZ_0004231-RA	SINLEJ010027
PMZ_0004236-RA	SINLEJ015575
PMZ_0004241-RA	SINLEJ015565
PMZ_0004252-RA	SINLEJ004127
PMZ_0004262-RA	SINLEJ004133
PMZ_0004264-RA	SINLEJ003218
PMZ_0004289-RA	SINLEJ006256
PMZ_0004307-RA	SINLEJ014104
PMZ_0004310-RA	SINLEJ004090
PMZ_0004313-RA	SINLEJ004093
PMZ_0004319-RA	SINLEJ004098
PMZ_0004322-RA	SINLEJ012636
PMZ_0004323-RA	SINLEJ012637
PMZ_0004325-RA	SINLEJ012639
PMZ_0004351-RA	SINLEJ014887
PMZ_0004353-RA	SINLEJ014885
PMZ_0004356-RA	SINLEJ011054
PMZ_0004362-RA	SINLEJ005260
PMZ_0004372-RA	SINLEJ005269
PMZ_0004373-RA	SINLEJ005270
PMZ_0004400-RA	SINLEJ003397
PMZ_0004401-RA	SINLEJ003396
PMZ_0004410-RA	SINLEJ001696
PMZ_0004411-RA	SINLEJ001699
PMZ_0004429-RA	SINLEJ007364
PMZ_0004430-RA	SINLEJ007368
PMZ_0004436-RA	SINLEJ002974
PMZ_0004442-RA	SINLEJ002969
PMZ_0004445-RA	SINLEJ002968
PMZ_0004446-RA	SINLEJ002967
PMZ_0004448-RA	SINLEJ002966
PMZ_0004453-RA	SINLEJ002961
PMZ_0004479-RA	SINLEJ016179
PMZ_0004483-RA	SINLEJ006816
PMZ_0004484-RA	SINLEJ011087
PMZ_0004489-RA	SINLEJ011085
PMZ_0004490-RA	SINLEJ011086
PMZ_0004499-RA	SINLEJ004978
PMZ_0004501-RA	SINLEJ004977
PMZ_0004533-RA	SINLEJ011522
PMZ_0004534-RA	SINLEJ011521
PMZ_0004535-RA	SINLEJ000735
PMZ_0004536-RA	SINLEJ011727
PMZ_0004549-RA	SINLEJ007374
PMZ_0004550-RA	SINLEJ007375
