ENSP00000000412	PMZ_0044679-RA
ENSP00000193322	PMZ_0033146-RA
ENSP00000193322	PMZ_0033962-RA
ENSP00000193391	PMZ_0038777-RA
ENSP00000193391	PMZ_0032102-RA
ENSP00000194130	PMZ_0019959-RA
ENSP00000194130	PMZ_0030493-RA
ENSP00000194214	PMZ_0007625-RA
ENSP00000195654	PMZ_0023059-RA
ENSP00000195654	PMZ_0046117-RA
ENSP00000196061	PMZ_0036603-RA
ENSP00000196371	PMZ_0044331-RA
ENSP00000197268	PMZ_0008207-RA
ENSP00000198767	PMZ_0032974-RA
ENSP00000199389	PMZ_0042373-RA
ENSP00000199447	PMZ_0041810-RA
ENSP00000199448	PMZ_0040249-RA
ENSP00000199706	PMZ_0029589-RA
ENSP00000199814	PMZ_0016804-RA
ENSP00000199814	PMZ_0044241-RA
ENSP00000199936	PMZ_0015007-RA
ENSP00000200135	PMZ_0036016-RA
ENSP00000200181	PMZ_0017768-RA
ENSP00000200181	PMZ_0046964-RA
ENSP00000200457	PMZ_0047672-RA
ENSP00000200557	PMZ_0027068-RA
ENSP00000200557	PMZ_0029138-RA
ENSP00000200676	PMZ_0042248-RA
ENSP00000201586	PMZ_0044501-RA
ENSP00000201586	PMZ_0043431-RA
ENSP00000202017	PMZ_0043808-RA
ENSP00000202556	PMZ_0026782-RA
ENSP00000202556	PMZ_0004725-RA
ENSP00000202677	PMZ_0013615-RA
ENSP00000202677	PMZ_0027281-RA
ENSP00000202816	PMZ_0021560-RA
ENSP00000202967	PMZ_0042839-RA
ENSP00000203001	PMZ_0030933-RA
ENSP00000203630	PMZ_0044794-RA
ENSP00000204517	PMZ_0029184-RA
ENSP00000204566	PMZ_0022308-RA
ENSP00000204566	PMZ_0034743-RA
ENSP00000204679	PMZ_0043289-RA
ENSP00000204726	PMZ_0027433-RA
ENSP00000204961	PMZ_0001789-RA
ENSP00000204961	PMZ_0046761-RA
ENSP00000205061	PMZ_0044112-RA
ENSP00000205061	PMZ_0048434-RA
ENSP00000205214	PMZ_0027317-RA
ENSP00000205214	PMZ_0043168-RA
ENSP00000205402	PMZ_0012342-RA
ENSP00000205890	PMZ_0019938-RA
ENSP00000205890	PMZ_0017547-RA
ENSP00000205948	PMZ_0041902-RA
ENSP00000206020	PMZ_0041608-RA
ENSP00000206423	PMZ_0038405-RA
ENSP00000206423	PMZ_0002486-RA
ENSP00000206474	PMZ_0047159-RA
ENSP00000206542	PMZ_0043755-RA
ENSP00000206595	PMZ_0028352-RA
ENSP00000206765	PMZ_0002677-RA
ENSP00000206765	PMZ_0031276-RA
ENSP00000207457	PMZ_0026977-RA
ENSP00000207549	PMZ_0042739-RA
ENSP00000207549	PMZ_0010630-RA
ENSP00000207870	PMZ_0006228-RA
ENSP00000209540	PMZ_0046518-RA
ENSP00000209728	PMZ_0007931-RA
ENSP00000209873	PMZ_0048354-RA
ENSP00000209875	PMZ_0018771-RA
ENSP00000209875	PMZ_0033113-RA
ENSP00000209884	PMZ_0013550-RA
ENSP00000209884	PMZ_0047185-RA
ENSP00000210060	PMZ_0010944-RA
ENSP00000210187	PMZ_0031501-RA
ENSP00000210187	PMZ_0037147-RA
ENSP00000210313	PMZ_0034708-RA
ENSP00000210444	PMZ_0046444-RA
ENSP00000211413	PMZ_0030328-RA
ENSP00000211998	PMZ_0047745-RA
ENSP00000212355	PMZ_0041587-RA
ENSP00000212355	PMZ_0038722-RA
ENSP00000215071	PMZ_0018798-RA
ENSP00000215095	PMZ_0033220-RA
ENSP00000215095	PMZ_0037915-RA
ENSP00000215368	PMZ_0032601-RA
ENSP00000215375	PMZ_0022262-RA
ENSP00000215567	PMZ_0044348-RA
ENSP00000215567	PMZ_0032528-RA
ENSP00000215574	PMZ_0019777-RA
ENSP00000215574	PMZ_0045959-RA
ENSP00000215587	PMZ_0023231-RA
ENSP00000215631	PMZ_0032338-RA
ENSP00000215631	PMZ_0043878-RA
ENSP00000215659	PMZ_0004059-RA
ENSP00000215727	PMZ_0015543-RA
ENSP00000215727	PMZ_0011398-RA
ENSP00000215730	PMZ_0041689-RA
ENSP00000215739	PMZ_0006592-RA
ENSP00000215739	PMZ_0029282-RA
ENSP00000215742	PMZ_0048180-RA
ENSP00000215743	PMZ_0044249-RA
ENSP00000215754	PMZ_0037589-RA
ENSP00000215754	PMZ_0041680-RA
ENSP00000215793	PMZ_0008258-RA
ENSP00000215793	PMZ_0042101-RA
ENSP00000215812	PMZ_0048145-RA
ENSP00000215829	PMZ_0041679-RA
ENSP00000215832	PMZ_0014609-RA
ENSP00000215862	PMZ_0034442-RA
ENSP00000215862	PMZ_0046934-RA
ENSP00000215882	PMZ_0015905-RA
ENSP00000215882	PMZ_0030731-RA
ENSP00000215885	PMZ_0007431-RA
ENSP00000215885	PMZ_0047312-RA
ENSP00000215939	PMZ_0035104-RA
ENSP00000215957	PMZ_0029476-RA
ENSP00000216024	PMZ_0040185-RA
ENSP00000216036	PMZ_0007438-RA
ENSP00000216038	PMZ_0006870-RA
ENSP00000216039	PMZ_0040175-RA
ENSP00000216044	PMZ_0040176-RA
ENSP00000216068	PMZ_0029889-RA
ENSP00000216068	PMZ_0031630-RA
ENSP00000216106	PMZ_0045619-RA
ENSP00000216121	PMZ_0017615-RA
ENSP00000216122	PMZ_0026308-RA
ENSP00000216124	PMZ_0015058-RA
ENSP00000216127	PMZ_0037948-RA
ENSP00000216127	PMZ_0043363-RA
ENSP00000216129	PMZ_0000637-RA
ENSP00000216129	PMZ_0047420-RA
ENSP00000216144	PMZ_0042820-RA
ENSP00000216160	PMZ_0033256-RA
ENSP00000216181	PMZ_0032968-RA
ENSP00000216181	PMZ_0033667-RA
ENSP00000216185	PMZ_0042728-RA
ENSP00000216185	PMZ_0047339-RA
ENSP00000216190	PMZ_0046040-RA
ENSP00000216190	PMZ_0047039-RA
ENSP00000216194	PMZ_0040168-RA
ENSP00000216211	PMZ_0041938-RA
ENSP00000216211	PMZ_0045255-RA
ENSP00000216214	PMZ_0040976-RA
ENSP00000216218	PMZ_0012748-RA
ENSP00000216218	PMZ_0041281-RA
ENSP00000216225	PMZ_0011531-RA
ENSP00000216225	PMZ_0039396-RA
ENSP00000216252	PMZ_0040222-RA
ENSP00000216254	PMZ_0033170-RA
ENSP00000216254	PMZ_0039340-RA
ENSP00000216259	PMZ_0040171-RA
ENSP00000216264	PMZ_0045228-RA
ENSP00000216268	PMZ_0027129-RA
ENSP00000216268	PMZ_0045656-RA
ENSP00000216271	PMZ_0030903-RA
ENSP00000216277	PMZ_0012387-RA
ENSP00000216277	PMZ_0034390-RA
ENSP00000216286	PMZ_0042636-RA
ENSP00000216286	PMZ_0036296-RA
ENSP00000216297	PMZ_0031676-RA
ENSP00000216297	PMZ_0016847-RA
ENSP00000216330	PMZ_0004020-RA
ENSP00000216367	PMZ_0026696-RA
ENSP00000216392	PMZ_0041406-RA
ENSP00000216410	PMZ_0041998-RA
ENSP00000216416	PMZ_0044174-RA
ENSP00000216416	PMZ_0045021-RA
ENSP00000216420	PMZ_0042095-RA
ENSP00000216442	PMZ_0016962-RA
ENSP00000216445	PMZ_0048152-RA
ENSP00000216446	PMZ_0020668-RA
ENSP00000216452	PMZ_0042978-RA
ENSP00000216455	PMZ_0040779-RA
ENSP00000216465	PMZ_0042043-RA
ENSP00000216465	PMZ_0041881-RA
ENSP00000216471	PMZ_0042030-RA
ENSP00000216479	PMZ_0010896-RA
ENSP00000216479	PMZ_0006939-RA
ENSP00000216484	PMZ_0010219-RA
ENSP00000216489	PMZ_0041127-RA
ENSP00000216500	PMZ_0044476-RA
ENSP00000216513	PMZ_0031492-RA
ENSP00000216513	PMZ_0033614-RA
ENSP00000216540	PMZ_0033435-RA
ENSP00000216540	PMZ_0044210-RA
ENSP00000216554	PMZ_0001202-RA
ENSP00000216602	PMZ_0043024-RA
ENSP00000216605	PMZ_0045057-RA
ENSP00000216605	PMZ_0035891-RA
ENSP00000216639	PMZ_0045077-RA
ENSP00000216714	PMZ_0043756-RA
ENSP00000216727	PMZ_0044484-RA
ENSP00000216733	PMZ_0035607-RA
ENSP00000216780	PMZ_0044521-RA
ENSP00000216780	PMZ_0004489-RA
ENSP00000216797	PMZ_0014837-RA
ENSP00000216807	PMZ_0008714-RA
ENSP00000216807	PMZ_0019621-RA
ENSP00000216832	PMZ_0028728-RA
ENSP00000216862	PMZ_0034778-RA
ENSP00000216923	PMZ_0036731-RA
ENSP00000216923	PMZ_0030298-RA
ENSP00000216951	PMZ_0033983-RA
ENSP00000216962	PMZ_0012895-RA
ENSP00000217086	PMZ_0015840-RA
ENSP00000217109	PMZ_0046154-RA
ENSP00000217131	PMZ_0021117-RA
ENSP00000217182	PMZ_0031293-RA
ENSP00000217188	PMZ_0048624-RA
ENSP00000217188	PMZ_0043933-RA
ENSP00000217195	PMZ_0041509-RA
ENSP00000217244	PMZ_0005052-RA
ENSP00000217244	PMZ_0044097-RA
ENSP00000217246	PMZ_0042063-RA
ENSP00000217254	PMZ_0021728-RA
ENSP00000217254	PMZ_0044128-RA
ENSP00000217305	PMZ_0043720-RA
ENSP00000217372	PMZ_0030973-RA
ENSP00000217381	PMZ_0038761-RA
ENSP00000217402	PMZ_0031883-RA
ENSP00000217407	PMZ_0036867-RA
ENSP00000217420	PMZ_0006021-RA
ENSP00000217420	PMZ_0033977-RA
ENSP00000217429	PMZ_0021506-RA
ENSP00000217429	PMZ_0018568-RA
ENSP00000217446	PMZ_0027535-RA
ENSP00000217446	PMZ_0047720-RA
ENSP00000217455	PMZ_0044073-RA
ENSP00000217456	PMZ_0046023-RA
ENSP00000217901	PMZ_0021693-RA
ENSP00000217901	PMZ_0048973-RA
ENSP00000217939	PMZ_0033877-RA
ENSP00000217961	PMZ_0046856-RA
ENSP00000217961	PMZ_0046855-RA
ENSP00000217971	PMZ_0034972-RA
ENSP00000218004	PMZ_0032739-RA
ENSP00000218006	PMZ_0041110-RA
ENSP00000218006	PMZ_0034004-RA
ENSP00000218032	PMZ_0025013-RA
ENSP00000218032	PMZ_0038712-RA
ENSP00000218056	PMZ_0027532-RA
ENSP00000218075	PMZ_0031201-RA
ENSP00000218075	PMZ_0010935-RA
ENSP00000218089	PMZ_0041101-RA
ENSP00000218224	PMZ_0010154-RA
ENSP00000218343	PMZ_0038091-RA
ENSP00000218388	PMZ_0042124-RA
ENSP00000218516	PMZ_0043127-RA
ENSP00000218548	PMZ_0028632-RA
ENSP00000218894	PMZ_0008112-RA
ENSP00000219022	PMZ_0043237-RA
ENSP00000219022	PMZ_0013618-RA
ENSP00000219066	PMZ_0034247-RA
ENSP00000219069	PMZ_0009580-RA
ENSP00000219070	PMZ_0045883-RA
ENSP00000219139	PMZ_0046412-RA
ENSP00000219169	PMZ_0032408-RA
ENSP00000219197	PMZ_0042270-RA
ENSP00000219240	PMZ_0001801-RA
ENSP00000219252	PMZ_0045640-RA
ENSP00000219255	PMZ_0038273-RA
ENSP00000219299	PMZ_0042234-RA
ENSP00000219313	PMZ_0003319-RA
ENSP00000219315	PMZ_0042320-RA
ENSP00000219334	PMZ_0029036-RA
ENSP00000219334	PMZ_0044504-RA
ENSP00000219345	PMZ_0015314-RA
ENSP00000219368	PMZ_0042293-RA
ENSP00000219368	PMZ_0035438-RA
ENSP00000219431	PMZ_0046031-RA
ENSP00000219439	PMZ_0033581-RA
ENSP00000219454	PMZ_0029463-RA
ENSP00000219473	PMZ_0044084-RA
ENSP00000219473	PMZ_0047405-RA
ENSP00000219476	PMZ_0042335-RA
ENSP00000219476	PMZ_0040056-RA
ENSP00000219478	PMZ_0034919-RA
ENSP00000219481	PMZ_0017429-RA
ENSP00000219548	PMZ_0040223-RA
ENSP00000219548	PMZ_0011789-RA
ENSP00000219551	PMZ_0043331-RA
ENSP00000219599	PMZ_0042721-RA
ENSP00000219611	PMZ_0011678-RA
ENSP00000219660	PMZ_0041212-RA
ENSP00000219689	PMZ_0035419-RA
ENSP00000219746	PMZ_0030811-RA
ENSP00000219746	PMZ_0047624-RA
ENSP00000219789	PMZ_0047735-RA
ENSP00000219833	PMZ_0044535-RA
ENSP00000219833	PMZ_0036778-RA
ENSP00000219837	PMZ_0018998-RA
ENSP00000219905	PMZ_0012614-RA
ENSP00000219905	PMZ_0037689-RA
ENSP00000220003	PMZ_0032775-RA
ENSP00000220003	PMZ_0030831-RA
ENSP00000220325	PMZ_0047389-RA
ENSP00000220420	PMZ_0034611-RA
ENSP00000220429	PMZ_0026821-RA
ENSP00000220496	PMZ_0045067-RA
ENSP00000220496	PMZ_0045066-RA
ENSP00000220509	PMZ_0020524-RA
ENSP00000220531	PMZ_0036875-RA
ENSP00000220562	PMZ_0040822-RA
ENSP00000220562	PMZ_0029701-RA
ENSP00000220584	PMZ_0009393-RA
ENSP00000220592	PMZ_0040847-RA
ENSP00000220592	PMZ_0041047-RA
ENSP00000220616	PMZ_0029330-RA
ENSP00000220616	PMZ_0029328-RA
ENSP00000220669	PMZ_0033257-RA
ENSP00000220676	PMZ_0028260-RA
ENSP00000220676	PMZ_0045330-RA
ENSP00000220751	PMZ_0018702-RA
ENSP00000220751	PMZ_0034108-RA
ENSP00000220763	PMZ_0044840-RA
ENSP00000220763	PMZ_0044839-RA
ENSP00000220764	PMZ_0044053-RA
ENSP00000220849	PMZ_0008443-RA
ENSP00000220853	PMZ_0012561-RA
ENSP00000220913	PMZ_0032895-RA
ENSP00000220966	PMZ_0044406-RA
ENSP00000221086	PMZ_0014736-RA
ENSP00000221114	PMZ_0008905-RA
ENSP00000221130	PMZ_0033746-RA
ENSP00000221130	PMZ_0042948-RA
ENSP00000221138	PMZ_0048351-RA
ENSP00000221166	PMZ_0032935-RA
ENSP00000221166	PMZ_0008709-RA
ENSP00000221200	PMZ_0045497-RA
ENSP00000221233	PMZ_0036976-RA
ENSP00000221265	PMZ_0044176-RA
ENSP00000221265	PMZ_0036722-RA
ENSP00000221327	PMZ_0023448-RA
ENSP00000221327	PMZ_0029801-RA
ENSP00000221347	PMZ_0027324-RA
ENSP00000221347	PMZ_0001659-RA
ENSP00000221403	PMZ_0041885-RA
ENSP00000221418	PMZ_0034654-RA
ENSP00000221418	PMZ_0003362-RA
ENSP00000221419	PMZ_0035093-RA
ENSP00000221419	PMZ_0034683-RA
ENSP00000221421	PMZ_0030556-RA
ENSP00000221455	PMZ_0033094-RA
ENSP00000221459	PMZ_0041895-RA
ENSP00000221459	PMZ_0040027-RA
ENSP00000221462	PMZ_0018718-RA
ENSP00000221462	PMZ_0046685-RA
ENSP00000221476	PMZ_0029982-RA
ENSP00000221476	PMZ_0043034-RA
ENSP00000221486	PMZ_0040413-RA
ENSP00000221494	PMZ_0046193-RA
ENSP00000221494	PMZ_0036253-RA
ENSP00000221496	PMZ_0045098-RA
ENSP00000221515	PMZ_0039143-RA
ENSP00000221538	PMZ_0035261-RA
ENSP00000221543	PMZ_0048282-RA
ENSP00000221566	PMZ_0044376-RA
ENSP00000221671	PMZ_0015242-RA
ENSP00000221742	PMZ_0033750-RA
ENSP00000221742	PMZ_0042564-RA
ENSP00000221801	PMZ_0044628-RA
ENSP00000221801	PMZ_0047036-RA
ENSP00000221847	PMZ_0029028-RA
ENSP00000221855	PMZ_0043029-RA
ENSP00000221859	PMZ_0044153-RA
ENSP00000221922	PMZ_0026307-RA
ENSP00000221922	PMZ_0006991-RA
ENSP00000221930	PMZ_0047304-RA
ENSP00000221954	PMZ_0045939-RA
ENSP00000221992	PMZ_0011378-RA
ENSP00000221992	PMZ_0006840-RA
ENSP00000222008	PMZ_0005820-RA
ENSP00000222032	PMZ_0046381-RA
ENSP00000222032	PMZ_0048420-RA
ENSP00000222115	PMZ_0021289-RA
ENSP00000222145	PMZ_0036404-RA
ENSP00000222145	PMZ_0047270-RA
ENSP00000222214	PMZ_0013540-RA
ENSP00000222219	PMZ_0040422-RA
ENSP00000222247	PMZ_0004555-RA
ENSP00000222247	PMZ_0017855-RA
ENSP00000222248	PMZ_0028198-RA
ENSP00000222248	PMZ_0043257-RA
ENSP00000222270	PMZ_0012259-RA
ENSP00000222284	PMZ_0044579-RA
ENSP00000222305	PMZ_0039012-RA
ENSP00000222305	PMZ_0040190-RA
ENSP00000222329	PMZ_0030078-RA
ENSP00000222374	PMZ_0048935-RA
ENSP00000222388	PMZ_0018186-RA
ENSP00000222390	PMZ_0012009-RA
ENSP00000222390	PMZ_0000270-RA
ENSP00000222399	PMZ_0042145-RA
ENSP00000222399	PMZ_0031102-RA
ENSP00000222462	PMZ_0042782-RA
ENSP00000222511	PMZ_0027069-RA
ENSP00000222511	PMZ_0041346-RA
ENSP00000222543	PMZ_0043488-RA
ENSP00000222543	PMZ_0032344-RA
ENSP00000222547	PMZ_0041841-RA
ENSP00000222553	PMZ_0016310-RA
ENSP00000222553	PMZ_0034347-RA
ENSP00000222574	PMZ_0042142-RA
ENSP00000222574	PMZ_0042143-RA
ENSP00000222584	PMZ_0009388-RA
ENSP00000222584	PMZ_0026717-RA
ENSP00000222598	PMZ_0012874-RA
ENSP00000222598	PMZ_0041404-RA
ENSP00000222644	PMZ_0012029-RA
ENSP00000222644	PMZ_0031842-RA
ENSP00000222673	PMZ_0005776-RA
ENSP00000222673	PMZ_0047231-RA
ENSP00000222693	PMZ_0044000-RA
ENSP00000222718	PMZ_0042500-RA
ENSP00000222725	PMZ_0036784-RA
ENSP00000222725	PMZ_0031157-RA
ENSP00000222726	PMZ_0030792-RA
ENSP00000222728	PMZ_0038041-RA
ENSP00000222747	PMZ_0030888-RA
ENSP00000222753	PMZ_0043513-RA
ENSP00000222753	PMZ_0033586-RA
ENSP00000222800	PMZ_0021064-RA
ENSP00000222803	PMZ_0036961-RA
ENSP00000222812	PMZ_0011413-RA
ENSP00000222823	PMZ_0022851-RA
ENSP00000222968	PMZ_0041295-RA
ENSP00000222982	PMZ_0047028-RA
ENSP00000223023	PMZ_0043584-RA
ENSP00000223023	PMZ_0031724-RA
ENSP00000223029	PMZ_0040158-RA
ENSP00000223061	PMZ_0003032-RA
ENSP00000223127	PMZ_0010066-RA
ENSP00000223127	PMZ_0035547-RA
ENSP00000223129	PMZ_0044971-RA
ENSP00000223145	PMZ_0035605-RA
ENSP00000223167	PMZ_0047599-RA
ENSP00000223210	PMZ_0042659-RA
ENSP00000223215	PMZ_0035741-RA
ENSP00000223215	PMZ_0022161-RA
ENSP00000223273	PMZ_0040273-RA
ENSP00000223321	PMZ_0040609-RA
ENSP00000223324	PMZ_0040610-RA
ENSP00000223366	PMZ_0001960-RA
ENSP00000223366	PMZ_0041497-RA
ENSP00000223369	PMZ_0042490-RA
ENSP00000223500	PMZ_0035713-RA
ENSP00000223500	PMZ_0041364-RA
ENSP00000223864	PMZ_0034644-RA
ENSP00000224140	PMZ_0046398-RA
ENSP00000224140	PMZ_0046397-RA
ENSP00000224337	PMZ_0044198-RA
ENSP00000224337	PMZ_0001078-RA
ENSP00000224356	PMZ_0030322-RA
ENSP00000224600	PMZ_0028411-RA
ENSP00000224600	PMZ_0044401-RA
ENSP00000224807	PMZ_0036949-RA
ENSP00000224862	PMZ_0031952-RA
ENSP00000224950	PMZ_0030573-RA
ENSP00000225171	PMZ_0008778-RA
ENSP00000225174	PMZ_0042337-RA
ENSP00000225276	PMZ_0041205-RA
ENSP00000225276	PMZ_0041322-RA
ENSP00000225298	PMZ_0041307-RA
ENSP00000225328	PMZ_0032401-RA
ENSP00000225328	PMZ_0041356-RA
ENSP00000225371	PMZ_0045943-RA
ENSP00000225387	PMZ_0012580-RA
ENSP00000225387	PMZ_0035105-RA
ENSP00000225410	PMZ_0003263-RA
ENSP00000225426	PMZ_0040348-RA
ENSP00000225428	PMZ_0028922-RA
ENSP00000225430	PMZ_0045861-RA
ENSP00000225474	PMZ_0007799-RA
ENSP00000225504	PMZ_0030804-RA
ENSP00000225512	PMZ_0040277-RA
ENSP00000225512	PMZ_0031215-RA
ENSP00000225525	PMZ_0044337-RA
ENSP00000225525	PMZ_0023644-RA
ENSP00000225538	PMZ_0027277-RA
ENSP00000225567	PMZ_0044987-RA
ENSP00000225573	PMZ_0041349-RA
ENSP00000225655	PMZ_0032293-RA
ENSP00000225665	PMZ_0044231-RA
ENSP00000225688	PMZ_0029119-RA
ENSP00000225698	PMZ_0023466-RA
ENSP00000225698	PMZ_0042514-RA
ENSP00000225719	PMZ_0037609-RA
ENSP00000225726	PMZ_0009168-RA
ENSP00000225726	PMZ_0019085-RA
ENSP00000225728	PMZ_0048914-RA
ENSP00000225729	PMZ_0043287-RA
ENSP00000225737	PMZ_0046310-RA
ENSP00000225737	PMZ_0039431-RA
