ENSPMAP00000002486	TriadP1002
ENSPMAP00000004083	TriadP13838
ENSPMAP00000004612	TriadP13838
ENSPMAP00000000980	TriadP13838
ENSPMAP00000008990	TriadP13838
ENSPMAP00000008503	TriadP13868
ENSPMAP00000009531	TriadP13916
ENSPMAP00000004560	TriadP14211
ENSPMAP00000002809	TriadP14211
ENSPMAP00000008090	TriadP14211
ENSPMAP00000002953	TriadP14211
ENSPMAP00000008240	TriadP14248
ENSPMAP00000001037	TriadP14248
ENSPMAP00000009864	TriadP14293
ENSPMAP00000008550	TriadP14382
ENSPMAP00000003965	TriadP14428
ENSPMAP00000005179	TriadP14457
ENSPMAP00000006105	TriadP14507
ENSPMAP00000000620	TriadP14565
ENSPMAP00000002491	TriadP14565
ENSPMAP00000010554	TriadP14565
ENSPMAP00000011034	TriadP14615
ENSPMAP00000010290	TriadP14661
ENSPMAP00000003465	TriadP14780
ENSPMAP00000004463	TriadP14780
ENSPMAP00000002679	TriadP14780
ENSPMAP00000010289	TriadP14780
ENSPMAP00000006211	TriadP14802
ENSPMAP00000000488	TriadP14836
ENSPMAP00000009394	TriadP14836
ENSPMAP00000007696	TriadP14880
ENSPMAP00000009084	TriadP14880
ENSPMAP00000006205	TriadP14897
ENSPMAP00000008984	TriadP14897
ENSPMAP00000010843	TriadP14897
ENSPMAP00000010842	TriadP14897
ENSPMAP00000001378	TriadP14905
ENSPMAP00000010474	TriadP14905
ENSPMAP00000009357	TriadP14905
ENSPMAP00000005364	TriadP14906
ENSPMAP00000006722	TriadP14952
ENSPMAP00000008765	TriadP14979
ENSPMAP00000007913	TriadP15005
ENSPMAP00000003188	TriadP15005
ENSPMAP00000003930	TriadP15077
ENSPMAP00000002262	TriadP15307
ENSPMAP00000004099	TriadP1535
ENSPMAP00000006014	TriadP15389
ENSPMAP00000002955	TriadP15389
ENSPMAP00000010120	TriadP15389
ENSPMAP00000011407	TriadP15389
ENSPMAP00000011098	TriadP15459
ENSPMAP00000002256	TriadP15459
ENSPMAP00000000288	TriadP15459
ENSPMAP00000003782	TriadP15459
ENSPMAP00000011235	TriadP15472
ENSPMAP00000008908	TriadP15472
ENSPMAP00000000353	TriadP15472
ENSPMAP00000001656	TriadP15472
ENSPMAP00000002060	TriadP15482
ENSPMAP00000002398	TriadP15695
ENSPMAP00000009845	TriadP15757
ENSPMAP00000011296	TriadP15826
ENSPMAP00000004736	TriadP15826
ENSPMAP00000011061	TriadP15826
ENSPMAP00000011234	TriadP15826
ENSPMAP00000003878	TriadP15923
ENSPMAP00000005872	TriadP15923
ENSPMAP00000003719	TriadP15952
ENSPMAP00000008329	TriadP1604
ENSPMAP00000004017	TriadP1612
ENSPMAP00000008489	TriadP16140
ENSPMAP00000002043	TriadP16140
ENSPMAP00000002009	TriadP16177
ENSPMAP00000005419	TriadP16213
ENSPMAP00000006199	TriadP16213
ENSPMAP00000006949	TriadP16229
ENSPMAP00000001589	TriadP16260
ENSPMAP00000004200	TriadP16260
ENSPMAP00000000281	TriadP16335
ENSPMAP00000006266	TriadP16340
ENSPMAP00000008576	TriadP16340
ENSPMAP00000003433	TriadP16340
ENSPMAP00000007811	TriadP16340
ENSPMAP00000004018	TriadP16471
ENSPMAP00000005320	TriadP16471
ENSPMAP00000004969	TriadP16489
ENSPMAP00000005130	TriadP16489
ENSPMAP00000009031	TriadP16489
ENSPMAP00000002662	TriadP16489
ENSPMAP00000008156	TriadP1653
ENSPMAP00000002078	TriadP1653
ENSPMAP00000010247	TriadP1653
ENSPMAP00000000981	TriadP1653
ENSPMAP00000003136	TriadP16582
ENSPMAP00000007003	TriadP16626
ENSPMAP00000001834	TriadP16650
ENSPMAP00000011379	TriadP16656
ENSPMAP00000002692	TriadP16711
ENSPMAP00000008960	TriadP16711
ENSPMAP00000000100	TriadP16711
ENSPMAP00000007854	TriadP16711
ENSPMAP00000000484	TriadP16798
ENSPMAP00000000429	TriadP16798
ENSPMAP00000005794	TriadP16798
ENSPMAP00000006791	TriadP16904
ENSPMAP00000010996	TriadP16904
ENSPMAP00000003910	TriadP16904
ENSPMAP00000011284	TriadP16904
ENSPMAP00000006479	TriadP1695
ENSPMAP00000001633	TriadP1695
ENSPMAP00000002401	TriadP16993
ENSPMAP00000009027	TriadP170
ENSPMAP00000005005	TriadP170
ENSPMAP00000010001	TriadP17307
ENSPMAP00000003982	TriadP17307
ENSPMAP00000003141	TriadP17307
ENSPMAP00000000134	TriadP17350
ENSPMAP00000001822	TriadP17350
ENSPMAP00000003715	TriadP17368
ENSPMAP00000008085	TriadP17411
ENSPMAP00000008020	TriadP17427
ENSPMAP00000006048	TriadP17427
ENSPMAP00000006571	TriadP17444
ENSPMAP00000007303	TriadP17444
ENSPMAP00000011378	TriadP17444
ENSPMAP00000000431	TriadP17488
ENSPMAP00000004971	TriadP17488
ENSPMAP00000003249	TriadP1749
ENSPMAP00000010824	TriadP17503
ENSPMAP00000002286	TriadP17503
ENSPMAP00000004884	TriadP17518
ENSPMAP00000007892	TriadP17577
ENSPMAP00000001253	TriadP1761
ENSPMAP00000007878	TriadP17632
ENSPMAP00000001191	TriadP17678
ENSPMAP00000006158	TriadP17694
ENSPMAP00000003613	TriadP1773
ENSPMAP00000008533	TriadP1773
ENSPMAP00000004570	TriadP1773
ENSPMAP00000003338	TriadP17859
ENSPMAP00000009769	TriadP17859
ENSPMAP00000003671	TriadP17867
ENSPMAP00000011157	TriadP17867
ENSPMAP00000001058	TriadP17867
ENSPMAP00000000766	TriadP17867
ENSPMAP00000001587	TriadP17871
ENSPMAP00000006555	TriadP17871
ENSPMAP00000001365	TriadP17877
ENSPMAP00000002097	TriadP17879
ENSPMAP00000002537	TriadP17953
ENSPMAP00000005643	TriadP17953
ENSPMAP00000005136	TriadP17956
ENSPMAP00000006318	TriadP17956
ENSPMAP00000008045	TriadP17956
ENSPMAP00000004048	TriadP17958
ENSPMAP00000008129	TriadP17959
ENSPMAP00000004534	TriadP17959
ENSPMAP00000004895	TriadP17961
ENSPMAP00000002027	TriadP18001
ENSPMAP00000003002	TriadP18001
ENSPMAP00000003381	TriadP18006
ENSPMAP00000000492	TriadP1807
ENSPMAP00000001104	TriadP1807
ENSPMAP00000005354	TriadP18102
ENSPMAP00000010814	TriadP18102
ENSPMAP00000010602	TriadP18128
ENSPMAP00000002646	TriadP18179
ENSPMAP00000003155	TriadP18179
ENSPMAP00000008964	TriadP18188
ENSPMAP00000010524	TriadP18188
ENSPMAP00000002664	TriadP18188
ENSPMAP00000004583	TriadP18188
ENSPMAP00000010741	TriadP18196
ENSPMAP00000000002	TriadP18203
ENSPMAP00000005032	TriadP18203
ENSPMAP00000004434	TriadP18236
ENSPMAP00000008926	TriadP18236
ENSPMAP00000009270	TriadP18245
ENSPMAP00000008262	TriadP18249
ENSPMAP00000001471	TriadP18249
ENSPMAP00000008163	TriadP18250
ENSPMAP00000003262	TriadP18255
ENSPMAP00000001968	TriadP18263
ENSPMAP00000003521	TriadP18263
ENSPMAP00000009538	TriadP18273
ENSPMAP00000010853	TriadP18274
ENSPMAP00000005860	TriadP18274
ENSPMAP00000002212	TriadP18281
ENSPMAP00000007678	TriadP18299
ENSPMAP00000011345	TriadP18299
ENSPMAP00000011306	TriadP18299
ENSPMAP00000000568	TriadP18299
ENSPMAP00000009366	TriadP18324
ENSPMAP00000010728	TriadP18324
ENSPMAP00000010384	TriadP18339
ENSPMAP00000003353	TriadP18343
ENSPMAP00000009629	TriadP18345
ENSPMAP00000010768	TriadP18345
ENSPMAP00000002135	TriadP18345
ENSPMAP00000007238	TriadP18345
ENSPMAP00000005156	TriadP18350
ENSPMAP00000004487	TriadP18352
ENSPMAP00000008577	TriadP18356
ENSPMAP00000010611	TriadP18356
ENSPMAP00000004904	TriadP18356
ENSPMAP00000007778	TriadP1836
ENSPMAP00000005652	TriadP18386
ENSPMAP00000005576	TriadP18386
ENSPMAP00000003866	TriadP18386
ENSPMAP00000005946	TriadP18386
ENSPMAP00000009348	TriadP18390
ENSPMAP00000006253	TriadP18395
ENSPMAP00000004473	TriadP18412
ENSPMAP00000002526	TriadP18415
ENSPMAP00000000756	TriadP18418
ENSPMAP00000006309	TriadP1842
ENSPMAP00000006175	TriadP18427
ENSPMAP00000000478	TriadP18433
ENSPMAP00000001742	TriadP18436
ENSPMAP00000007583	TriadP18453
ENSPMAP00000005186	TriadP18459
ENSPMAP00000006910	TriadP18460
ENSPMAP00000002054	TriadP18460
ENSPMAP00000002694	TriadP18460
ENSPMAP00000011233	TriadP18460
ENSPMAP00000000182	TriadP18467
ENSPMAP00000004185	TriadP18468
ENSPMAP00000010574	TriadP18468
ENSPMAP00000002113	TriadP18468
ENSPMAP00000007310	TriadP18483
ENSPMAP00000005905	TriadP18497
ENSPMAP00000008722	TriadP18506
ENSPMAP00000004501	TriadP18506
ENSPMAP00000005360	TriadP18537
ENSPMAP00000010288	TriadP18549
ENSPMAP00000006869	TriadP18564
ENSPMAP00000006819	TriadP18584
ENSPMAP00000009296	TriadP18599
ENSPMAP00000002332	TriadP18599
ENSPMAP00000009584	TriadP18599
ENSPMAP00000000558	TriadP18613
ENSPMAP00000009880	TriadP18628
ENSPMAP00000010279	TriadP18628
ENSPMAP00000005240	TriadP18628
ENSPMAP00000009897	TriadP18628
ENSPMAP00000005022	TriadP18639
ENSPMAP00000007165	TriadP18641
ENSPMAP00000007663	TriadP18642
ENSPMAP00000008592	TriadP18642
ENSPMAP00000005283	TriadP18642
ENSPMAP00000003238	TriadP18642
ENSPMAP00000000823	TriadP18672
ENSPMAP00000009295	TriadP18676
ENSPMAP00000000670	TriadP18685
ENSPMAP00000003808	TriadP18691
ENSPMAP00000007276	TriadP18691
ENSPMAP00000005243	TriadP18691
ENSPMAP00000007865	TriadP18703
ENSPMAP00000000385	TriadP18721
ENSPMAP00000000371	TriadP18721
ENSPMAP00000007574	TriadP18721
ENSPMAP00000009226	TriadP18721
ENSPMAP00000004693	TriadP18732
ENSPMAP00000004011	TriadP18732
ENSPMAP00000005455	TriadP18732
ENSPMAP00000006975	TriadP18756
ENSPMAP00000008728	TriadP18756
ENSPMAP00000010751	TriadP18774
ENSPMAP00000001117	TriadP18774
ENSPMAP00000009328	TriadP18774
ENSPMAP00000003073	TriadP18785
ENSPMAP00000001721	TriadP18790
ENSPMAP00000006883	TriadP18802
ENSPMAP00000008464	TriadP18846
ENSPMAP00000000858	TriadP18847
ENSPMAP00000000851	TriadP18881
ENSPMAP00000005397	TriadP18881
ENSPMAP00000002354	TriadP18893
ENSPMAP00000004111	TriadP18899
ENSPMAP00000000063	TriadP18906
ENSPMAP00000005607	TriadP18924
ENSPMAP00000001255	TriadP18938
ENSPMAP00000004073	TriadP18952
ENSPMAP00000010368	TriadP18952
ENSPMAP00000009342	TriadP18952
ENSPMAP00000005087	TriadP18952
ENSPMAP00000004963	TriadP18962
ENSPMAP00000000817	TriadP18977
ENSPMAP00000002259	TriadP18979
ENSPMAP00000002469	TriadP18979
ENSPMAP00000007673	TriadP18987
ENSPMAP00000007771	TriadP19019
ENSPMAP00000004988	TriadP19026
ENSPMAP00000009826	TriadP19032
ENSPMAP00000008569	TriadP19032
ENSPMAP00000002958	TriadP19032
ENSPMAP00000010591	TriadP19042
ENSPMAP00000007856	TriadP19045
ENSPMAP00000003367	TriadP19061
ENSPMAP00000005986	TriadP19118
ENSPMAP00000008199	TriadP19119
ENSPMAP00000007184	TriadP19119
ENSPMAP00000002479	TriadP19120
ENSPMAP00000001508	TriadP19129
ENSPMAP00000007885	TriadP1914
ENSPMAP00000006357	TriadP19156
ENSPMAP00000003005	TriadP19158
ENSPMAP00000005035	TriadP19171
ENSPMAP00000009569	TriadP19171
ENSPMAP00000008766	TriadP19172
ENSPMAP00000010657	TriadP19174
ENSPMAP00000003358	TriadP19187
ENSPMAP00000003466	TriadP19198
ENSPMAP00000006251	TriadP19201
ENSPMAP00000002238	TriadP19202
ENSPMAP00000003799	TriadP19205
ENSPMAP00000000737	TriadP19205
ENSPMAP00000000551	TriadP19205
ENSPMAP00000005772	TriadP1922
ENSPMAP00000007555	TriadP1922
ENSPMAP00000008529	TriadP1922
ENSPMAP00000010144	TriadP19226
ENSPMAP00000001303	TriadP19282
ENSPMAP00000010852	TriadP19282
ENSPMAP00000006425	TriadP19283
ENSPMAP00000006761	TriadP19292
ENSPMAP00000006777	TriadP19305
ENSPMAP00000000113	TriadP19305
ENSPMAP00000005734	TriadP19325
ENSPMAP00000009003	TriadP19344
ENSPMAP00000007717	TriadP19354
ENSPMAP00000004916	TriadP19360
ENSPMAP00000002859	TriadP19360
ENSPMAP00000007077	TriadP19365
ENSPMAP00000000632	TriadP19369
ENSPMAP00000010754	TriadP19383
ENSPMAP00000005065	TriadP19383
ENSPMAP00000004907	TriadP19397
ENSPMAP00000008074	TriadP19400
ENSPMAP00000000222	TriadP19404
ENSPMAP00000000444	TriadP19404
ENSPMAP00000008206	TriadP19410
ENSPMAP00000003806	TriadP19410
ENSPMAP00000003123	TriadP19413
ENSPMAP00000002108	TriadP19420
ENSPMAP00000000025	TriadP19420
ENSPMAP00000003395	TriadP19420
ENSPMAP00000007753	TriadP19420
ENSPMAP00000007372	TriadP19422
ENSPMAP00000005782	TriadP19422
ENSPMAP00000006907	TriadP19424
ENSPMAP00000004159	TriadP19424
ENSPMAP00000009333	TriadP19424
ENSPMAP00000001140	TriadP19424
ENSPMAP00000008083	TriadP19436
ENSPMAP00000004212	TriadP19437
ENSPMAP00000004410	TriadP19465
ENSPMAP00000007573	TriadP19465
ENSPMAP00000006033	TriadP19466
ENSPMAP00000002133	TriadP19466
ENSPMAP00000006619	TriadP19473
ENSPMAP00000010018	TriadP19476
ENSPMAP00000004429	TriadP19476
ENSPMAP00000001632	TriadP19479
ENSPMAP00000007738	TriadP19479
ENSPMAP00000003260	TriadP19479
ENSPMAP00000001049	TriadP19511
ENSPMAP00000002126	TriadP19518
ENSPMAP00000007327	TriadP19518
ENSPMAP00000006808	TriadP19546
ENSPMAP00000010510	TriadP19562
ENSPMAP00000009164	TriadP19562
ENSPMAP00000009142	TriadP19562
ENSPMAP00000005459	TriadP1957
ENSPMAP00000002989	TriadP19575
ENSPMAP00000009698	TriadP19575
ENSPMAP00000009343	TriadP19575
ENSPMAP00000010124	TriadP19587
ENSPMAP00000003469	TriadP19587
ENSPMAP00000011336	TriadP19608
ENSPMAP00000006654	TriadP19608
ENSPMAP00000000991	TriadP19619
ENSPMAP00000007394	TriadP19620
ENSPMAP00000007871	TriadP19623
ENSPMAP00000007859	TriadP19623
ENSPMAP00000001813	TriadP19623
ENSPMAP00000009121	TriadP19623
ENSPMAP00000002715	TriadP19638
ENSPMAP00000009316	TriadP19665
ENSPMAP00000000525	TriadP19665
ENSPMAP00000003920	TriadP19665
ENSPMAP00000008461	TriadP19668
ENSPMAP00000008272	TriadP19675
ENSPMAP00000005529	TriadP19675
ENSPMAP00000004989	TriadP19675
ENSPMAP00000006450	TriadP19677
ENSPMAP00000001971	TriadP19677
ENSPMAP00000002145	TriadP19677
ENSPMAP00000001559	TriadP19677
ENSPMAP00000001142	TriadP19682
ENSPMAP00000003879	TriadP19695
ENSPMAP00000000412	TriadP19695
ENSPMAP00000007676	TriadP19695
ENSPMAP00000010463	TriadP19695
ENSPMAP00000001839	TriadP19704
ENSPMAP00000003693	TriadP19714
ENSPMAP00000001746	TriadP19721
ENSPMAP00000004654	TriadP19732
ENSPMAP00000007641	TriadP19734
ENSPMAP00000005011	TriadP19748
ENSPMAP00000006922	TriadP19758
ENSPMAP00000008161	TriadP19759
ENSPMAP00000005340	TriadP19764
ENSPMAP00000001623	TriadP19777
ENSPMAP00000000778	TriadP19777
ENSPMAP00000004411	TriadP19777
ENSPMAP00000006062	TriadP19777
ENSPMAP00000003760	TriadP19795
ENSPMAP00000007718	TriadP19795
ENSPMAP00000010149	TriadP19795
ENSPMAP00000002527	TriadP19795
ENSPMAP00000007460	TriadP19797
ENSPMAP00000003201	TriadP19797
ENSPMAP00000000052	TriadP19797
ENSPMAP00000005669	TriadP19802
ENSPMAP00000005630	TriadP19802
ENSPMAP00000009245	TriadP19817
ENSPMAP00000005509	TriadP19834
ENSPMAP00000003056	TriadP19844
ENSPMAP00000010640	TriadP19844
ENSPMAP00000007008	TriadP19862
ENSPMAP00000009272	TriadP19874
ENSPMAP00000010241	TriadP19874
ENSPMAP00000004472	TriadP19890
ENSPMAP00000001395	TriadP19905
ENSPMAP00000009113	TriadP19907
ENSPMAP00000006043	TriadP19907
ENSPMAP00000000061	TriadP19907
ENSPMAP00000009302	TriadP19907
ENSPMAP00000003539	TriadP19919
ENSPMAP00000006109	TriadP19930
ENSPMAP00000007615	TriadP19936
ENSPMAP00000009345	TriadP19936
ENSPMAP00000002462	TriadP19936
ENSPMAP00000006011	TriadP19938
ENSPMAP00000008811	TriadP19948
ENSPMAP00000000562	TriadP19950
ENSPMAP00000001027	TriadP19963
ENSPMAP00000001995	TriadP19964
ENSPMAP00000001157	TriadP19964
ENSPMAP00000003164	TriadP19964
ENSPMAP00000001842	TriadP19965
ENSPMAP00000001456	TriadP19965
ENSPMAP00000006821	TriadP19969
ENSPMAP00000006461	TriadP19973
ENSPMAP00000008595	TriadP19973
ENSPMAP00000009137	TriadP19973
ENSPMAP00000004245	TriadP19977
ENSPMAP00000011386	TriadP19977
ENSPMAP00000003098	TriadP19981
ENSPMAP00000005376	TriadP19989
ENSPMAP00000006599	TriadP19990
ENSPMAP00000004737	TriadP20003
ENSPMAP00000001702	TriadP20008
ENSPMAP00000005972	TriadP20009
ENSPMAP00000004016	TriadP20052
ENSPMAP00000009677	TriadP20052
ENSPMAP00000008528	TriadP20056
ENSPMAP00000004478	TriadP20056
ENSPMAP00000010769	TriadP20056
ENSPMAP00000001003	TriadP20056
ENSPMAP00000002345	TriadP20060
ENSPMAP00000000252	TriadP20060
ENSPMAP00000001977	TriadP20067
ENSPMAP00000009672	TriadP20071
ENSPMAP00000011206	TriadP20071
ENSPMAP00000001145	TriadP20075
ENSPMAP00000005152	TriadP2009
ENSPMAP00000001736	TriadP20105
ENSPMAP00000003700	TriadP20120
ENSPMAP00000003135	TriadP20120
ENSPMAP00000009409	TriadP20121
ENSPMAP00000003570	TriadP20121
ENSPMAP00000009509	TriadP20121
ENSPMAP00000009442	TriadP20128
ENSPMAP00000002372	TriadP20128
ENSPMAP00000008067	TriadP20128
ENSPMAP00000000382	TriadP20129
ENSPMAP00000010207	TriadP20140
ENSPMAP00000010211	TriadP20140
ENSPMAP00000008942	TriadP20144
ENSPMAP00000000319	TriadP20144
ENSPMAP00000009183	TriadP20152
ENSPMAP00000006296	TriadP20152
ENSPMAP00000008289	TriadP20152
ENSPMAP00000003985	TriadP20160
ENSPMAP00000010087	TriadP20166
ENSPMAP00000002443	TriadP20166
ENSPMAP00000007294	TriadP20192
ENSPMAP00000001317	TriadP20192
ENSPMAP00000001710	TriadP20194
ENSPMAP00000007378	TriadP20201
ENSPMAP00000007977	TriadP20204
ENSPMAP00000007511	TriadP20204
ENSPMAP00000007957	TriadP20207
ENSPMAP00000005233	TriadP20207
ENSPMAP00000009953	TriadP20208
ENSPMAP00000001204	TriadP20213
ENSPMAP00000000456	TriadP20218
ENSPMAP00000009535	TriadP20246
ENSPMAP00000005983	TriadP20253
ENSPMAP00000000883	TriadP20265
ENSPMAP00000006786	TriadP20265
ENSPMAP00000007797	TriadP20272
ENSPMAP00000001254	TriadP20276
ENSPMAP00000008991	TriadP20291
ENSPMAP00000006190	TriadP20295
ENSPMAP00000009648	TriadP20295
ENSPMAP00000002854	TriadP20308
ENSPMAP00000000964	TriadP20314
ENSPMAP00000004443	TriadP20325
ENSPMAP00000002821	TriadP20328
ENSPMAP00000008455	TriadP20328
ENSPMAP00000002703	TriadP20339
ENSPMAP00000003304	TriadP20339
ENSPMAP00000000077	TriadP20340
ENSPMAP00000009900	TriadP20343
ENSPMAP00000005016	TriadP20343
ENSPMAP00000008549	TriadP20343
ENSPMAP00000006243	TriadP20343
ENSPMAP00000002803	TriadP20368
ENSPMAP00000007880	TriadP20368
ENSPMAP00000009803	TriadP20368
ENSPMAP00000007826	TriadP20368
ENSPMAP00000004422	TriadP20369
ENSPMAP00000001828	TriadP20369
ENSPMAP00000002741	TriadP20369
ENSPMAP00000008788	TriadP20369
ENSPMAP00000003327	TriadP20386
ENSPMAP00000007850	TriadP20390
ENSPMAP00000008018	TriadP20408
ENSPMAP00000005663	TriadP20411
ENSPMAP00000005708	TriadP20411
ENSPMAP00000008111	TriadP20411
ENSPMAP00000010812	TriadP20411
ENSPMAP00000009251	TriadP20412
ENSPMAP00000004191	TriadP20412
ENSPMAP00000000986	TriadP20417
ENSPMAP00000001428	TriadP20417
ENSPMAP00000004123	TriadP20417
ENSPMAP00000006752	TriadP20417
ENSPMAP00000000165	TriadP20418
ENSPMAP00000005461	TriadP20418
ENSPMAP00000006751	TriadP20426
ENSPMAP00000008298	TriadP20428
ENSPMAP00000004849	TriadP20428
ENSPMAP00000007035	TriadP20429
ENSPMAP00000006325	TriadP20429
ENSPMAP00000000933	TriadP20429
ENSPMAP00000003582	TriadP20429
ENSPMAP00000004130	TriadP20443
ENSPMAP00000011277	TriadP20490
ENSPMAP00000008301	TriadP20496
ENSPMAP00000002856	TriadP20496
ENSPMAP00000003677	TriadP20496
ENSPMAP00000008062	TriadP20501
ENSPMAP00000002717	TriadP20501
ENSPMAP00000008773	TriadP20501
ENSPMAP00000010349	TriadP20514
ENSPMAP00000008988	TriadP20515
ENSPMAP00000005103	TriadP20516
ENSPMAP00000007776	TriadP20532
ENSPMAP00000004140	TriadP20532
ENSPMAP00000010143	TriadP20543
ENSPMAP00000001640	TriadP20548
ENSPMAP00000009289	TriadP20559
ENSPMAP00000004247	TriadP20559
ENSPMAP00000007140	TriadP20563
ENSPMAP00000009586	TriadP20563
ENSPMAP00000008110	TriadP20563
ENSPMAP00000002058	TriadP20566
ENSPMAP00000000746	TriadP20570
ENSPMAP00000000584	TriadP20586
ENSPMAP00000002005	TriadP20587
ENSPMAP00000010135	TriadP20587
ENSPMAP00000005589	TriadP20587
ENSPMAP00000009840	TriadP20615
ENSPMAP00000009369	TriadP20616
ENSPMAP00000006438	TriadP20616
ENSPMAP00000010834	TriadP20625
ENSPMAP00000005367	TriadP20628
ENSPMAP00000000636	TriadP20628
ENSPMAP00000001691	TriadP20634
ENSPMAP00000003932	TriadP20634
ENSPMAP00000007040	TriadP20645
ENSPMAP00000008523	TriadP20645
ENSPMAP00000009805	TriadP20654
ENSPMAP00000001498	TriadP20666
ENSPMAP00000004986	TriadP20668
ENSPMAP00000003368	TriadP20674
ENSPMAP00000005235	TriadP20674
ENSPMAP00000006799	TriadP20682
ENSPMAP00000002115	TriadP20682
ENSPMAP00000010668	TriadP20691
ENSPMAP00000001514	TriadP20699
ENSPMAP00000002166	TriadP20735
ENSPMAP00000007631	TriadP20735
ENSPMAP00000002776	TriadP20746
ENSPMAP00000001190	TriadP20748
ENSPMAP00000001248	TriadP20754
ENSPMAP00000008667	TriadP20754
ENSPMAP00000004007	TriadP20755
ENSPMAP00000009421	TriadP20762
ENSPMAP00000001432	TriadP20762
ENSPMAP00000003805	TriadP20764
ENSPMAP00000005561	TriadP20764
ENSPMAP00000004061	TriadP20764
ENSPMAP00000002718	TriadP20764
ENSPMAP00000004521	TriadP20780
ENSPMAP00000010856	TriadP20786
ENSPMAP00000001276	TriadP20786
ENSPMAP00000005756	TriadP20796
ENSPMAP00000002814	TriadP20796
ENSPMAP00000010481	TriadP20803
ENSPMAP00000007126	TriadP20807
ENSPMAP00000010954	TriadP20807
ENSPMAP00000009252	TriadP20821
ENSPMAP00000005051	TriadP20821
ENSPMAP00000009896	TriadP20832
ENSPMAP00000000699	TriadP20833
ENSPMAP00000010428	TriadP20833
ENSPMAP00000006866	TriadP20854
ENSPMAP00000008739	TriadP20854
ENSPMAP00000001095	TriadP20860
ENSPMAP00000009546	TriadP20863
