ENSGALP00000000003	SINLEJ012925
ENSGALP00000000419	SINLEJ015146
ENSGALP00000000419	SINLEJ004290
ENSGALP00000000421	SINLEJ016136
ENSGALP00000000422	SINLEJ003853
ENSGALP00000000422	SINLEJ003852
ENSGALP00000000423	SINLEJ001762
ENSGALP00000000429	SINLEJ013506
ENSGALP00000000429	SINLEJ001342
ENSGALP00000000432	SINLEJ010872
ENSGALP00000000432	SINLEJ000432
ENSGALP00000000438	SINLEJ007409
ENSGALP00000000438	SINLEJ010279
ENSGALP00000000465	SINLEJ000213
ENSGALP00000000468	SINLEJ004684
ENSGALP00000000468	SINLEJ004683
ENSGALP00000000471	SINLEJ012922
ENSGALP00000000478	SINLEJ016134
ENSGALP00000000484	SINLEJ006859
ENSGALP00000000484	SINLEJ015218
ENSGALP00000000485	SINLEJ013528
ENSGALP00000000496	SINLEJ011879
ENSGALP00000000497	SINLEJ013618
ENSGALP00000000498	SINLEJ003381
ENSGALP00000000498	SINLEJ600261
ENSGALP00000000499	SINLEJ017418
ENSGALP00000000499	SINLEJ014748
ENSGALP00000000509	SINLEJ013159
ENSGALP00000000517	SINLEJ011877
ENSGALP00000000518	SINLEJ001416
ENSGALP00000000524	SINLEJ015056
ENSGALP00000000530	SINLEJ011876
ENSGALP00000000530	SINLEJ011875
ENSGALP00000000534	SINLEJ018999
ENSGALP00000000540	SINLEJ003348
ENSGALP00000000541	SINLEJ013735
ENSGALP00000000541	SINLEJ013736
ENSGALP00000000544	SINLEJ016165
ENSGALP00000000544	SINLEJ013234
ENSGALP00000000545	SINLEJ009511
ENSGALP00000000547	SINLEJ004349
ENSGALP00000000547	SINLEJ018910
ENSGALP00000000549	SINLEJ015915
ENSGALP00000000549	SINLEJ010771
ENSGALP00000000555	SINLEJ012924
ENSGALP00000000555	SINLEJ016428
ENSGALP00000000556	SINLEJ017897
ENSGALP00000000558	SINLEJ600298
ENSGALP00000000562	SINLEJ013803
ENSGALP00000000569	SINLEJ010121
ENSGALP00000000569	SINLEJ009498
ENSGALP00000000571	SINLEJ010120
ENSGALP00000000573	SINLEJ009847
ENSGALP00000000581	SINLEJ007290
ENSGALP00000000583	SINLEJ003921
ENSGALP00000000583	SINLEJ017574
ENSGALP00000000586	SINLEJ016429
ENSGALP00000000586	SINLEJ017451
ENSGALP00000000592	SINLEJ011257
ENSGALP00000000592	SINLEJ011258
ENSGALP00000000594	SINLEJ009669
ENSGALP00000000594	SINLEJ009670
ENSGALP00000000595	SINLEJ001147
ENSGALP00000000597	SINLEJ018139
ENSGALP00000000597	SINLEJ018965
ENSGALP00000000611	SINLEJ015783
ENSGALP00000000613	SINLEJ008201
ENSGALP00000000615	SINLEJ001699
ENSGALP00000000617	SINLEJ014214
ENSGALP00000000619	SINLEJ600350
ENSGALP00000000619	SINLEJ017624
ENSGALP00000000625	SINLEJ005766
ENSGALP00000000625	SINLEJ014388
ENSGALP00000000626	SINLEJ600374
ENSGALP00000000626	SINLEJ600372
ENSGALP00000000632	SINLEJ007957
ENSGALP00000000634	SINLEJ006686
ENSGALP00000000639	SINLEJ004024
ENSGALP00000000639	SINLEJ000584
ENSGALP00000000643	SINLEJ012782
ENSGALP00000000645	SINLEJ015160
ENSGALP00000000645	SINLEJ004488
ENSGALP00000000654	SINLEJ013908
ENSGALP00000000666	SINLEJ006323
ENSGALP00000000669	SINLEJ015333
ENSGALP00000000669	SINLEJ003485
ENSGALP00000000670	SINLEJ012912
ENSGALP00000000677	SINLEJ004890
ENSGALP00000000686	SINLEJ011327
ENSGALP00000000686	SINLEJ011329
ENSGALP00000000688	SINLEJ016864
ENSGALP00000000694	SINLEJ012754
ENSGALP00000000696	SINLEJ010478
ENSGALP00000000703	SINLEJ018407
ENSGALP00000000703	SINLEJ017274
ENSGALP00000000711	SINLEJ007279
ENSGALP00000000713	SINLEJ017532
ENSGALP00000000713	SINLEJ009309
ENSGALP00000000715	SINLEJ000571
ENSGALP00000000719	SINLEJ011931
ENSGALP00000000726	SINLEJ012733
ENSGALP00000000726	SINLEJ012738
ENSGALP00000000734	SINLEJ012868
ENSGALP00000000734	SINLEJ000623
ENSGALP00000000742	SINLEJ001561
ENSGALP00000000744	SINLEJ011293
ENSGALP00000000748	SINLEJ018050
ENSGALP00000000749	SINLEJ017939
ENSGALP00000000749	SINLEJ013534
ENSGALP00000000758	SINLEJ018502
ENSGALP00000000758	SINLEJ003713
ENSGALP00000000760	SINLEJ002859
ENSGALP00000000765	SINLEJ013877
ENSGALP00000000775	SINLEJ009981
ENSGALP00000000782	SINLEJ011096
ENSGALP00000000782	SINLEJ017637
ENSGALP00000000792	SINLEJ002860
ENSGALP00000000803	SINLEJ014219
ENSGALP00000000803	SINLEJ014217
ENSGALP00000000810	SINLEJ001562
ENSGALP00000000810	SINLEJ005628
ENSGALP00000000815	SINLEJ003184
ENSGALP00000000815	SINLEJ004645
ENSGALP00000000818	SINLEJ002930
ENSGALP00000000823	SINLEJ016637
ENSGALP00000000830	SINLEJ015310
ENSGALP00000000832	SINLEJ008604
ENSGALP00000000832	SINLEJ008603
ENSGALP00000000835	SINLEJ010888
ENSGALP00000000853	SINLEJ014640
ENSGALP00000000855	SINLEJ014639
ENSGALP00000000855	SINLEJ015828
ENSGALP00000000860	SINLEJ007881
ENSGALP00000000860	SINLEJ018091
ENSGALP00000000864	SINLEJ016415
ENSGALP00000000864	SINLEJ012781
ENSGALP00000000871	SINLEJ007538
ENSGALP00000000874	SINLEJ008635
ENSGALP00000000876	SINLEJ008636
ENSGALP00000000876	SINLEJ016965
ENSGALP00000000880	SINLEJ007399
ENSGALP00000000882	SINLEJ008096
ENSGALP00000000882	SINLEJ013425
ENSGALP00000000885	SINLEJ000551
ENSGALP00000000893	SINLEJ009951
ENSGALP00000000893	SINLEJ013308
ENSGALP00000000894	SINLEJ009331
ENSGALP00000000894	SINLEJ014587
ENSGALP00000000899	SINLEJ007788
ENSGALP00000000906	SINLEJ002706
ENSGALP00000000906	SINLEJ019253
ENSGALP00000000908	SINLEJ011237
ENSGALP00000000911	SINLEJ009357
ENSGALP00000000911	SINLEJ009356
ENSGALP00000000913	SINLEJ019241
ENSGALP00000000913	SINLEJ014180
ENSGALP00000000916	SINLEJ012106
ENSGALP00000000916	SINLEJ000043
ENSGALP00000000921	SINLEJ012174
ENSGALP00000000924	SINLEJ012111
ENSGALP00000000924	SINLEJ012112
ENSGALP00000000926	SINLEJ018121
ENSGALP00000000926	SINLEJ015669
ENSGALP00000000927	SINLEJ003173
ENSGALP00000000930	SINLEJ005475
ENSGALP00000000933	SINLEJ013109
ENSGALP00000000933	SINLEJ011095
ENSGALP00000000940	SINLEJ006817
ENSGALP00000000941	SINLEJ015671
ENSGALP00000000941	SINLEJ007240
ENSGALP00000000943	SINLEJ016044
ENSGALP00000000945	SINLEJ008739
ENSGALP00000000947	SINLEJ015007
ENSGALP00000000948	SINLEJ007304
ENSGALP00000000954	SINLEJ600090
ENSGALP00000000954	SINLEJ600089
ENSGALP00000000960	SINLEJ007249
ENSGALP00000000960	SINLEJ009550
ENSGALP00000000965	SINLEJ009548
ENSGALP00000000965	SINLEJ006962
ENSGALP00000000966	SINLEJ001398
ENSGALP00000000966	SINLEJ600092
ENSGALP00000000968	SINLEJ011019
ENSGALP00000000968	SINLEJ011020
ENSGALP00000000973	SINLEJ001226
ENSGALP00000000981	SINLEJ013761
ENSGALP00000000989	SINLEJ011222
ENSGALP00000000992	SINLEJ012364
ENSGALP00000000992	SINLEJ007202
ENSGALP00000000995	SINLEJ013236
ENSGALP00000000995	SINLEJ013237
ENSGALP00000000998	SINLEJ011587
ENSGALP00000000998	SINLEJ011586
ENSGALP00000000999	SINLEJ009374
ENSGALP00000001006	SINLEJ015661
ENSGALP00000001006	SINLEJ009544
ENSGALP00000001007	SINLEJ009376
ENSGALP00000001007	SINLEJ016311
ENSGALP00000001013	SINLEJ007718
ENSGALP00000001014	SINLEJ015072
ENSGALP00000001014	SINLEJ012860
ENSGALP00000001016	SINLEJ009541
ENSGALP00000001024	SINLEJ006718
ENSGALP00000001024	SINLEJ008629
ENSGALP00000001025	SINLEJ016957
ENSGALP00000001025	SINLEJ016956
ENSGALP00000001026	SINLEJ012906
ENSGALP00000001030	SINLEJ006720
ENSGALP00000001033	SINLEJ009605
ENSGALP00000001033	SINLEJ015676
ENSGALP00000001044	SINLEJ011858
ENSGALP00000001044	SINLEJ017992
ENSGALP00000001048	SINLEJ002775
ENSGALP00000001051	SINLEJ006731
ENSGALP00000001054	SINLEJ002975
ENSGALP00000001057	SINLEJ009572
ENSGALP00000001059	SINLEJ011310
ENSGALP00000001059	SINLEJ011309
ENSGALP00000001091	SINLEJ017762
ENSGALP00000001091	SINLEJ018547
ENSGALP00000001096	SINLEJ018753
ENSGALP00000001104	SINLEJ013452
ENSGALP00000001105	SINLEJ012167
ENSGALP00000001105	SINLEJ012168
ENSGALP00000001107	SINLEJ000300
ENSGALP00000001108	SINLEJ000935
ENSGALP00000001108	SINLEJ000936
ENSGALP00000001115	SINLEJ008760
ENSGALP00000001118	SINLEJ016095
ENSGALP00000001118	SINLEJ014130
ENSGALP00000001120	SINLEJ014300
ENSGALP00000001120	SINLEJ014304
ENSGALP00000001129	SINLEJ009278
ENSGALP00000001129	SINLEJ013094
ENSGALP00000001135	SINLEJ017361
ENSGALP00000001136	SINLEJ010129
ENSGALP00000001143	SINLEJ000489
ENSGALP00000001149	SINLEJ004165
ENSGALP00000001151	SINLEJ012916
ENSGALP00000001151	SINLEJ012915
ENSGALP00000001157	SINLEJ009274
ENSGALP00000001157	SINLEJ009275
ENSGALP00000001161	SINLEJ009334
ENSGALP00000001166	SINLEJ004217
ENSGALP00000001168	SINLEJ013419
ENSGALP00000001168	SINLEJ008180
ENSGALP00000001179	SINLEJ009335
ENSGALP00000001182	SINLEJ014020
ENSGALP00000001187	SINLEJ010166
ENSGALP00000001187	SINLEJ009446
ENSGALP00000001192	SINLEJ015009
ENSGALP00000001192	SINLEJ007984
ENSGALP00000001201	SINLEJ009483
ENSGALP00000001201	SINLEJ011323
ENSGALP00000001205	SINLEJ000168
ENSGALP00000001210	SINLEJ013417
ENSGALP00000001219	SINLEJ002835
ENSGALP00000001221	SINLEJ012303
ENSGALP00000001225	SINLEJ011532
ENSGALP00000001227	SINLEJ016813
ENSGALP00000001231	SINLEJ012628
ENSGALP00000001233	SINLEJ005434
ENSGALP00000001233	SINLEJ004462
ENSGALP00000001234	SINLEJ000362
ENSGALP00000001241	SINLEJ016514
ENSGALP00000001243	SINLEJ017907
ENSGALP00000001243	SINLEJ017908
ENSGALP00000001248	SINLEJ010507
ENSGALP00000001249	SINLEJ017334
ENSGALP00000001249	SINLEJ017326
ENSGALP00000001251	SINLEJ015981
ENSGALP00000001251	SINLEJ015976
ENSGALP00000001253	SINLEJ011403
ENSGALP00000001253	SINLEJ011404
ENSGALP00000001254	SINLEJ008334
ENSGALP00000001257	SINLEJ011192
ENSGALP00000001262	SINLEJ017273
ENSGALP00000001263	SINLEJ013750
ENSGALP00000001263	SINLEJ600497
ENSGALP00000001268	SINLEJ018940
ENSGALP00000001268	SINLEJ017808
ENSGALP00000001272	SINLEJ019023
ENSGALP00000001272	SINLEJ015479
ENSGALP00000001281	SINLEJ004616
ENSGALP00000001286	SINLEJ018530
ENSGALP00000001287	SINLEJ016301
ENSGALP00000001287	SINLEJ008922
ENSGALP00000001292	SINLEJ011166
ENSGALP00000001293	SINLEJ013520
ENSGALP00000001295	SINLEJ009512
ENSGALP00000001295	SINLEJ007336
ENSGALP00000001298	SINLEJ009320
ENSGALP00000001299	SINLEJ013504
ENSGALP00000001306	SINLEJ007193
ENSGALP00000001306	SINLEJ017160
ENSGALP00000001307	SINLEJ007742
ENSGALP00000001312	SINLEJ009176
ENSGALP00000001315	SINLEJ012720
ENSGALP00000001317	SINLEJ007194
ENSGALP00000001317	SINLEJ017161
ENSGALP00000001318	SINLEJ011160
ENSGALP00000001318	SINLEJ015834
ENSGALP00000001319	SINLEJ010641
ENSGALP00000001320	SINLEJ007188
ENSGALP00000001321	SINLEJ011667
ENSGALP00000001332	SINLEJ009238
ENSGALP00000001332	SINLEJ009237
ENSGALP00000001334	SINLEJ009253
ENSGALP00000001340	SINLEJ011791
ENSGALP00000001340	SINLEJ014383
ENSGALP00000001342	SINLEJ019321
ENSGALP00000001350	SINLEJ003258
ENSGALP00000001360	SINLEJ014379
ENSGALP00000001360	SINLEJ005692
ENSGALP00000001365	SINLEJ011574
ENSGALP00000001365	SINLEJ003797
ENSGALP00000001370	SINLEJ005694
ENSGALP00000001374	SINLEJ018845
ENSGALP00000001374	SINLEJ018000
ENSGALP00000001377	SINLEJ014656
ENSGALP00000001381	SINLEJ014840
ENSGALP00000001390	SINLEJ012758
ENSGALP00000001390	SINLEJ012759
ENSGALP00000001396	SINLEJ008119
ENSGALP00000001400	SINLEJ005759
ENSGALP00000001400	SINLEJ017330
ENSGALP00000001407	SINLEJ012092
ENSGALP00000001409	SINLEJ017635
ENSGALP00000001411	SINLEJ000602
ENSGALP00000001412	SINLEJ017045
ENSGALP00000001412	SINLEJ009613
ENSGALP00000001418	SINLEJ009093
ENSGALP00000001418	SINLEJ009096
ENSGALP00000001422	SINLEJ014019
ENSGALP00000001422	SINLEJ007187
ENSGALP00000001428	SINLEJ012156
ENSGALP00000001428	SINLEJ012154
ENSGALP00000001432	SINLEJ014563
ENSGALP00000001440	SINLEJ013268
ENSGALP00000001440	SINLEJ013258
ENSGALP00000001441	SINLEJ005763
ENSGALP00000001441	SINLEJ005761
ENSGALP00000001443	SINLEJ009326
ENSGALP00000001448	SINLEJ016950
ENSGALP00000001451	SINLEJ002771
ENSGALP00000001451	SINLEJ006722
ENSGALP00000001456	SINLEJ013796
ENSGALP00000001456	SINLEJ013797
ENSGALP00000001460	SINLEJ006057
ENSGALP00000001461	SINLEJ015969
ENSGALP00000001464	SINLEJ005745
ENSGALP00000001464	SINLEJ005754
ENSGALP00000001468	SINLEJ012760
ENSGALP00000001470	SINLEJ012546
ENSGALP00000001470	SINLEJ012545
ENSGALP00000001471	SINLEJ019219
ENSGALP00000001471	SINLEJ019250
ENSGALP00000001472	SINLEJ006700
ENSGALP00000001472	SINLEJ008797
ENSGALP00000001474	SINLEJ016456
ENSGALP00000001475	SINLEJ009092
ENSGALP00000001475	SINLEJ003874
ENSGALP00000001477	SINLEJ018352
ENSGALP00000001477	SINLEJ017033
ENSGALP00000001479	SINLEJ008428
ENSGALP00000001479	SINLEJ013503
ENSGALP00000001483	SINLEJ016018
ENSGALP00000001485	SINLEJ004343
ENSGALP00000001489	SINLEJ006181
ENSGALP00000001491	SINLEJ013976
ENSGALP00000001491	SINLEJ008806
ENSGALP00000001493	SINLEJ014354
ENSGALP00000001499	SINLEJ005881
ENSGALP00000001501	SINLEJ013090
ENSGALP00000001501	SINLEJ011415
ENSGALP00000001507	SINLEJ013522
ENSGALP00000001507	SINLEJ013521
ENSGALP00000001510	SINLEJ011600
ENSGALP00000001512	SINLEJ016676
ENSGALP00000001521	SINLEJ001525
ENSGALP00000001527	SINLEJ003139
ENSGALP00000001528	SINLEJ003843
ENSGALP00000001528	SINLEJ003842
ENSGALP00000001533	SINLEJ000861
ENSGALP00000001542	SINLEJ007806
ENSGALP00000001554	SINLEJ018015
ENSGALP00000001555	SINLEJ009932
ENSGALP00000001569	SINLEJ600482
ENSGALP00000001577	SINLEJ003085
ENSGALP00000001577	SINLEJ003086
ENSGALP00000001579	SINLEJ004791
ENSGALP00000001579	SINLEJ004792
ENSGALP00000001581	SINLEJ011512
ENSGALP00000001583	SINLEJ012103
ENSGALP00000001587	SINLEJ006754
ENSGALP00000001587	SINLEJ006755
ENSGALP00000001589	SINLEJ014307
ENSGALP00000001589	SINLEJ014297
ENSGALP00000001598	SINLEJ014600
ENSGALP00000001598	SINLEJ014635
ENSGALP00000001605	SINLEJ019288
ENSGALP00000001613	SINLEJ004793
ENSGALP00000001613	SINLEJ001397
ENSGALP00000001614	SINLEJ005616
ENSGALP00000001617	SINLEJ016696
ENSGALP00000001617	SINLEJ016695
ENSGALP00000001632	SINLEJ011509
ENSGALP00000001635	SINLEJ007719
ENSGALP00000001637	SINLEJ005620
ENSGALP00000001637	SINLEJ005618
ENSGALP00000001640	SINLEJ015885
ENSGALP00000001655	SINLEJ015990
ENSGALP00000001655	SINLEJ005615
ENSGALP00000001658	SINLEJ004127
ENSGALP00000001658	SINLEJ010832
ENSGALP00000001661	SINLEJ009846
ENSGALP00000001664	SINLEJ016370
ENSGALP00000001664	SINLEJ016371
ENSGALP00000001674	SINLEJ004726
ENSGALP00000001674	SINLEJ014751
ENSGALP00000001681	SINLEJ007727
ENSGALP00000001681	SINLEJ007726
ENSGALP00000001688	SINLEJ010812
ENSGALP00000001688	SINLEJ010811
ENSGALP00000001689	SINLEJ016369
ENSGALP00000001693	SINLEJ010810
ENSGALP00000001710	SINLEJ015127
ENSGALP00000001710	SINLEJ004329
ENSGALP00000001713	SINLEJ001922
ENSGALP00000001717	SINLEJ003099
ENSGALP00000001721	SINLEJ001037
ENSGALP00000001745	SINLEJ003101
ENSGALP00000001745	SINLEJ003100
ENSGALP00000001750	SINLEJ003346
ENSGALP00000001751	SINLEJ002886
ENSGALP00000001751	SINLEJ010791
ENSGALP00000001764	SINLEJ003696
ENSGALP00000001765	SINLEJ014691
ENSGALP00000001765	SINLEJ014116
ENSGALP00000001766	SINLEJ014041
ENSGALP00000001786	SINLEJ016476
ENSGALP00000001786	SINLEJ016735
ENSGALP00000001788	SINLEJ014670
ENSGALP00000001791	SINLEJ008338
ENSGALP00000001795	SINLEJ009282
ENSGALP00000001795	SINLEJ009281
ENSGALP00000001799	SINLEJ016749
ENSGALP00000001799	SINLEJ016489
ENSGALP00000001800	SINLEJ005575
ENSGALP00000001800	SINLEJ016706
ENSGALP00000001801	SINLEJ600153
ENSGALP00000001803	SINLEJ013807
ENSGALP00000001804	SINLEJ001542
ENSGALP00000001806	SINLEJ002721
ENSGALP00000001808	SINLEJ014045
ENSGALP00000001812	SINLEJ007275
ENSGALP00000001812	SINLEJ019393
ENSGALP00000001823	SINLEJ016546
ENSGALP00000001823	SINLEJ016652
ENSGALP00000001828	SINLEJ007875
ENSGALP00000001828	SINLEJ004921
ENSGALP00000001832	SINLEJ013421
ENSGALP00000001832	SINLEJ008171
ENSGALP00000001836	SINLEJ014769
ENSGALP00000001840	SINLEJ013047
ENSGALP00000001848	SINLEJ013016
ENSGALP00000001848	SINLEJ013013
ENSGALP00000001850	SINLEJ010961
ENSGALP00000001853	SINLEJ007877
ENSGALP00000001856	SINLEJ005541
ENSGALP00000001859	SINLEJ010918
ENSGALP00000001862	SINLEJ007735
ENSGALP00000001866	SINLEJ017281
ENSGALP00000001866	SINLEJ013081
ENSGALP00000001872	SINLEJ004040
ENSGALP00000001875	SINLEJ005590
ENSGALP00000001877	SINLEJ009031
ENSGALP00000001879	SINLEJ004482
ENSGALP00000001879	SINLEJ004481
ENSGALP00000001882	SINLEJ011546
ENSGALP00000001882	SINLEJ003744
ENSGALP00000001888	SINLEJ004041
ENSGALP00000001896	SINLEJ019012
ENSGALP00000001896	SINLEJ000818
ENSGALP00000001898	SINLEJ000506
ENSGALP00000001898	SINLEJ012806
ENSGALP00000001900	SINLEJ014350
ENSGALP00000001900	SINLEJ001085
ENSGALP00000001906	SINLEJ019003
ENSGALP00000001909	SINLEJ007443
ENSGALP00000001909	SINLEJ006398
ENSGALP00000001912	SINLEJ010920
ENSGALP00000001912	SINLEJ010919
ENSGALP00000001914	SINLEJ017621
ENSGALP00000001929	SINLEJ009596
ENSGALP00000001929	SINLEJ015651
ENSGALP00000001932	SINLEJ000456
ENSGALP00000001932	SINLEJ012808
ENSGALP00000001940	SINLEJ000256
ENSGALP00000001944	SINLEJ017683
ENSGALP00000001947	SINLEJ013457
ENSGALP00000001947	SINLEJ013458
ENSGALP00000001953	SINLEJ013948
ENSGALP00000001953	SINLEJ012076
ENSGALP00000001957	SINLEJ013526
ENSGALP00000001957	SINLEJ013530
ENSGALP00000001973	SINLEJ010435
ENSGALP00000001973	SINLEJ003261
ENSGALP00000001978	SINLEJ001723
ENSGALP00000001986	SINLEJ014660
ENSGALP00000001986	SINLEJ014661
ENSGALP00000001991	SINLEJ600334
ENSGALP00000001992	SINLEJ002851
ENSGALP00000001992	SINLEJ009756
ENSGALP00000001994	SINLEJ009064
ENSGALP00000001994	SINLEJ014776
ENSGALP00000001995	SINLEJ003745
ENSGALP00000002001	SINLEJ600333
ENSGALP00000002007	SINLEJ017032
ENSGALP00000002008	SINLEJ016411
ENSGALP00000002008	SINLEJ003917
ENSGALP00000002009	SINLEJ016156
ENSGALP00000002014	SINLEJ010926
ENSGALP00000002016	SINLEJ018607
ENSGALP00000002020	SINLEJ003032
ENSGALP00000002020	SINLEJ012823
ENSGALP00000002021	SINLEJ006678
ENSGALP00000002025	SINLEJ016910
ENSGALP00000002025	SINLEJ013501
ENSGALP00000002036	SINLEJ005534
ENSGALP00000002038	SINLEJ003819
ENSGALP00000002038	SINLEJ000059
ENSGALP00000002039	SINLEJ017468
ENSGALP00000002041	SINLEJ014235
ENSGALP00000002041	SINLEJ014236
ENSGALP00000002046	SINLEJ003920
ENSGALP00000002046	SINLEJ017455
ENSGALP00000002049	SINLEJ010245
ENSGALP00000002055	SINLEJ005535
ENSGALP00000002055	SINLEJ014399
ENSGALP00000002056	SINLEJ009072
ENSGALP00000002056	SINLEJ009071
ENSGALP00000002063	SINLEJ011252
ENSGALP00000002066	SINLEJ014398
ENSGALP00000002078	SINLEJ011598
ENSGALP00000002078	SINLEJ011599
ENSGALP00000002080	SINLEJ004548
ENSGALP00000002083	SINLEJ007843
ENSGALP00000002089	SINLEJ017056
ENSGALP00000002089	SINLEJ019420
ENSGALP00000002091	SINLEJ004392
ENSGALP00000002092	SINLEJ003823
ENSGALP00000002095	SINLEJ014249
ENSGALP00000002096	SINLEJ000568
ENSGALP00000002096	SINLEJ000567
ENSGALP00000002103	SINLEJ004483
ENSGALP00000002103	SINLEJ008055
ENSGALP00000002106	SINLEJ003599
ENSGALP00000002106	SINLEJ014964
ENSGALP00000002114	SINLEJ002849
ENSGALP00000002119	SINLEJ000279
ENSGALP00000002121	SINLEJ002142
ENSGALP00000002121	SINLEJ003600
ENSGALP00000002124	SINLEJ004062
ENSGALP00000002124	SINLEJ010903
ENSGALP00000002138	SINLEJ016038
ENSGALP00000002144	SINLEJ003675
ENSGALP00000002144	SINLEJ011578
ENSGALP00000002147	SINLEJ008233
ENSGALP00000002147	SINLEJ005499
ENSGALP00000002154	SINLEJ011641
ENSGALP00000002155	SINLEJ015158
ENSGALP00000002160	SINLEJ018434
ENSGALP00000002160	SINLEJ018433
ENSGALP00000002168	SINLEJ010185
ENSGALP00000002170	SINLEJ011642
ENSGALP00000002170	SINLEJ001167
ENSGALP00000002172	SINLEJ003855
ENSGALP00000002172	SINLEJ002773
ENSGALP00000002175	SINLEJ000590
ENSGALP00000002180	SINLEJ008952
ENSGALP00000002183	SINLEJ004486
ENSGALP00000002183	SINLEJ012093
ENSGALP00000002185	SINLEJ017805
ENSGALP00000002186	SINLEJ007603
