SINCAM003135	ENSCAFP00000000001
SINCAM001409	ENSCAFP00000000205
SINCAM922748	ENSCAFP00000000208
SINCAM001410	ENSCAFP00000000209
SINCAM001411	ENSCAFP00000000211
SINCAM001412	ENSCAFP00000000213
SINCAM001415	ENSCAFP00000000214
SINCAM001416	ENSCAFP00000000218
SINCAM921610	ENSCAFP00000000221
SINCAM007680	ENSCAFP00000000227
SINCAM014164	ENSCAFP00000000228
SINCAM013196	ENSCAFP00000000229
SINCAM014167	ENSCAFP00000000231
SINCAM014166	ENSCAFP00000000235
SINCAM001085	ENSCAFP00000000236
SINCAM920645	ENSCAFP00000000237
SINCAM001419	ENSCAFP00000000241
SINCAM001086	ENSCAFP00000000242
SINCAM001420	ENSCAFP00000000243
SINCAM001421	ENSCAFP00000000245
SINCAM001087	ENSCAFP00000000248
SINCAM920827	ENSCAFP00000000252
SINCAM002757	ENSCAFP00000000253
SINCAM002760	ENSCAFP00000000256
SINCAM001089	ENSCAFP00000000258
SINCAM003133	ENSCAFP00000000263
SINCAM003132	ENSCAFP00000000264
SINCAM014095	ENSCAFP00000000266
SINCAM921120	ENSCAFP00000000270
SINCAM001090	ENSCAFP00000000278
SINCAM014093	ENSCAFP00000000282
SINCAM003281	ENSCAFP00000000283
SINCAM001093	ENSCAFP00000000290
SINCAM001094	ENSCAFP00000000293
SINCAM920440	ENSCAFP00000000294
SINCAM003282	ENSCAFP00000000296
SINCAM012785	ENSCAFP00000000297
SINCAM001096	ENSCAFP00000000299
SINCAM003283	ENSCAFP00000000300
SINCAM001098	ENSCAFP00000000301
SINCAM003284	ENSCAFP00000000305
SINCAM003285	ENSCAFP00000000309
SINCAM922764	ENSCAFP00000000311
SINCAM001099	ENSCAFP00000000313
SINCAM012965	ENSCAFP00000000318
SINCAM003288	ENSCAFP00000000320
SINCAM001102	ENSCAFP00000000324
SINCAM003289	ENSCAFP00000000327
SINCAM002573	ENSCAFP00000000330
SINCAM014385	ENSCAFP00000000331
SINCAM014098	ENSCAFP00000000332
SINCAM014101	ENSCAFP00000000335
SINCAM003292	ENSCAFP00000000339
SINCAM011114	ENSCAFP00000000342
SINCAM003293	ENSCAFP00000000344
SINCAM921121	ENSCAFP00000000345
SINCAM000428	ENSCAFP00000000346
SINCAM014102	ENSCAFP00000000353
SINCAM010863	ENSCAFP00000000354
SINCAM922334	ENSCAFP00000000360
SINCAM014218	ENSCAFP00000000361
SINCAM003297	ENSCAFP00000000362
SINCAM003298	ENSCAFP00000000364
SINCAM003299	ENSCAFP00000000365
SINCAM014219	ENSCAFP00000000366
SINCAM003300	ENSCAFP00000000368
SINCAM002080	ENSCAFP00000000375
SINCAM014220	ENSCAFP00000000376
SINCAM003302	ENSCAFP00000000378
SINCAM921124	ENSCAFP00000000380
SINCAM003304	ENSCAFP00000000383
SINCAM014527	ENSCAFP00000000386
SINCAM008878	ENSCAFP00000000388
SINCAM922746	ENSCAFP00000000398
SINCAM002860	ENSCAFP00000000400
SINCAM002861	ENSCAFP00000000401
SINCAM014040	ENSCAFP00000000402
SINCAM002862	ENSCAFP00000000403
SINCAM014037	ENSCAFP00000000406
SINCAM014038	ENSCAFP00000000407
SINCAM921680	ENSCAFP00000000408
SINCAM002863	ENSCAFP00000000410
SINCAM002865	ENSCAFP00000000413
SINCAM002866	ENSCAFP00000000416
SINCAM002870	ENSCAFP00000000417
SINCAM002867	ENSCAFP00000000419
SINCAM014063	ENSCAFP00000000421
SINCAM002871	ENSCAFP00000000422
SINCAM002872	ENSCAFP00000000425
SINCAM014064	ENSCAFP00000000428
SINCAM002886	ENSCAFP00000000430
SINCAM921066	ENSCAFP00000000433
SINCAM005722	ENSCAFP00000000435
SINCAM921065	ENSCAFP00000000438
SINCAM005721	ENSCAFP00000000441
SINCAM003583	ENSCAFP00000000446
SINCAM005720	ENSCAFP00000000450
SINCAM921164	ENSCAFP00000000458
SINCAM016661	ENSCAFP00000000460
SINCAM010062	ENSCAFP00000000462
SINCAM921166	ENSCAFP00000000468
SINCAM010056	ENSCAFP00000000471
SINCAM005718	ENSCAFP00000000473
SINCAM005717	ENSCAFP00000000475
SINCAM922045	ENSCAFP00000000477
SINCAM003564	ENSCAFP00000000479
SINCAM005716	ENSCAFP00000000480
SINCAM003566	ENSCAFP00000000486
SINCAM010281	ENSCAFP00000000503
SINCAM920972	ENSCAFP00000000504
SINCAM920971	ENSCAFP00000000505
SINCAM922374	ENSCAFP00000000511
SINCAM922830	ENSCAFP00000000512
SINCAM005777	ENSCAFP00000000514
SINCAM010284	ENSCAFP00000000516
SINCAM010285	ENSCAFP00000000518
SINCAM921161	ENSCAFP00000000523
SINCAM921162	ENSCAFP00000000525
SINCAM005785	ENSCAFP00000000527
SINCAM003136	ENSCAFP00000000528
SINCAM921163	ENSCAFP00000000532
SINCAM005786	ENSCAFP00000000535
SINCAM922730	ENSCAFP00000000539
SINCAM005787	ENSCAFP00000000540
SINCAM003138	ENSCAFP00000000544
SINCAM921150	ENSCAFP00000000548
SINCAM003573	ENSCAFP00000000550
SINCAM005789	ENSCAFP00000000554
SINCAM015712	ENSCAFP00000000564
SINCAM003570	ENSCAFP00000000567
SINCAM003603	ENSCAFP00000000571
SINCAM003604	ENSCAFP00000000573
SINCAM016021	ENSCAFP00000000577
SINCAM003606	ENSCAFP00000000578
SINCAM922332	ENSCAFP00000000579
SINCAM003607	ENSCAFP00000000583
SINCAM005790	ENSCAFP00000000584
SINCAM005792	ENSCAFP00000000587
SINCAM920987	ENSCAFP00000000588
SINCAM016024	ENSCAFP00000000590
SINCAM009194	ENSCAFP00000000592
SINCAM005794	ENSCAFP00000000594
SINCAM012099	ENSCAFP00000000596
SINCAM003608	ENSCAFP00000000601
SINCAM005796	ENSCAFP00000000604
SINCAM005733	ENSCAFP00000000608
SINCAM003609	ENSCAFP00000000609
SINCAM003610	ENSCAFP00000000611
SINCAM003611	ENSCAFP00000000614
SINCAM005735	ENSCAFP00000000616
SINCAM003612	ENSCAFP00000000618
SINCAM003613	ENSCAFP00000000621
SINCAM005737	ENSCAFP00000000622
SINCAM003614	ENSCAFP00000000624
SINCAM005738	ENSCAFP00000000625
SINCAM005739	ENSCAFP00000000628
SINCAM922959	ENSCAFP00000000629
SINCAM920979	ENSCAFP00000000631
SINCAM005741	ENSCAFP00000000632
SINCAM005742	ENSCAFP00000000636
SINCAM015764	ENSCAFP00000000641
SINCAM017988	ENSCAFP00000000644
SINCAM005744	ENSCAFP00000000645
SINCAM009666	ENSCAFP00000000650
SINCAM920980	ENSCAFP00000000661
SINCAM922331	ENSCAFP00000000662
SINCAM920981	ENSCAFP00000000665
SINCAM005748	ENSCAFP00000000667
SINCAM923170	ENSCAFP00000000671
SINCAM005750	ENSCAFP00000000672
SINCAM001649	ENSCAFP00000000673
SINCAM920982	ENSCAFP00000000674
SINCAM920983	ENSCAFP00000000675
SINCAM005752	ENSCAFP00000000678
SINCAM002705	ENSCAFP00000000679
SINCAM005753	ENSCAFP00000000683
SINCAM009937	ENSCAFP00000000688
SINCAM002702	ENSCAFP00000000694
SINCAM005754	ENSCAFP00000000696
SINCAM005755	ENSCAFP00000000699
SINCAM003615	ENSCAFP00000000701
SINCAM920969	ENSCAFP00000000704
SINCAM007774	ENSCAFP00000000709
SINCAM002699	ENSCAFP00000000711
SINCAM010288	ENSCAFP00000000712
SINCAM920824	ENSCAFP00000000715
SINCAM003047	ENSCAFP00000000717
SINCAM922535	ENSCAFP00000000718
SINCAM010706	ENSCAFP00000000722
SINCAM920588	ENSCAFP00000000731
SINCAM007744	ENSCAFP00000000733
SINCAM900256	ENSCAFP00000000734
SINCAM000227	ENSCAFP00000000737
SINCAM900254	ENSCAFP00000000741
SINCAM002696	ENSCAFP00000000746
SINCAM005679	ENSCAFP00000000751
SINCAM900253	ENSCAFP00000000752
SINCAM002874	ENSCAFP00000000760
SINCAM002875	ENSCAFP00000000762
SINCAM920808	ENSCAFP00000000767
SINCAM002876	ENSCAFP00000000768
SINCAM002877	ENSCAFP00000000769
SINCAM001079	ENSCAFP00000000774
SINCAM002878	ENSCAFP00000000775
SINCAM002578	ENSCAFP00000000777
SINCAM001548	ENSCAFP00000000787
SINCAM006241	ENSCAFP00000000792
SINCAM006257	ENSCAFP00000000796
SINCAM921056	ENSCAFP00000000798
SINCAM001078	ENSCAFP00000000799
SINCAM006243	ENSCAFP00000000803
SINCAM003902	ENSCAFP00000000804
SINCAM006245	ENSCAFP00000000806
SINCAM001077	ENSCAFP00000000807
SINCAM002807	ENSCAFP00000000810
SINCAM006256	ENSCAFP00000000811
SINCAM003900	ENSCAFP00000000814
SINCAM003899	ENSCAFP00000000817
SINCAM002989	ENSCAFP00000000820
SINCAM008893	ENSCAFP00000000821
SINCAM001076	ENSCAFP00000000823
SINCAM001075	ENSCAFP00000000826
SINCAM002443	ENSCAFP00000000827
SINCAM001073	ENSCAFP00000000831
SINCAM920586	ENSCAFP00000000833
SINCAM003898	ENSCAFP00000000844
SINCAM922989	ENSCAFP00000000845
SINCAM014686	ENSCAFP00000000846
SINCAM006255	ENSCAFP00000000851
SINCAM017524	ENSCAFP00000000858
SINCAM003895	ENSCAFP00000000859
SINCAM006258	ENSCAFP00000000866
SINCAM001008	ENSCAFP00000000867
SINCAM003894	ENSCAFP00000000870
SINCAM003893	ENSCAFP00000000877
SINCAM900217	ENSCAFP00000000878
SINCAM922890	ENSCAFP00000000879
SINCAM900215	ENSCAFP00000000880
SINCAM005828	ENSCAFP00000000884
SINCAM921182	ENSCAFP00000000887
SINCAM006260	ENSCAFP00000000889
SINCAM015761	ENSCAFP00000000899
SINCAM002446	ENSCAFP00000000902
SINCAM014625	ENSCAFP00000000903
SINCAM900214	ENSCAFP00000000906
SINCAM002448	ENSCAFP00000000907
SINCAM921181	ENSCAFP00000000914
SINCAM003430	ENSCAFP00000000915
SINCAM002997	ENSCAFP00000000918
SINCAM003429	ENSCAFP00000000922
SINCAM002401	ENSCAFP00000000924
SINCAM003428	ENSCAFP00000000925
SINCAM921763	ENSCAFP00000000928
SINCAM003426	ENSCAFP00000000929
SINCAM003425	ENSCAFP00000000937
SINCAM016594	ENSCAFP00000000938
SINCAM003424	ENSCAFP00000000941
SINCAM002399	ENSCAFP00000000945
SINCAM003422	ENSCAFP00000000948
SINCAM002396	ENSCAFP00000000950
SINCAM003421	ENSCAFP00000000951
SINCAM012188	ENSCAFP00000000954
SINCAM002392	ENSCAFP00000000959
SINCAM002391	ENSCAFP00000000960
SINCAM002364	ENSCAFP00000000961
SINCAM006136	ENSCAFP00000000964
SINCAM002367	ENSCAFP00000000973
SINCAM920773	ENSCAFP00000000975
SINCAM006095	ENSCAFP00000000978
SINCAM006092	ENSCAFP00000000979
SINCAM006091	ENSCAFP00000000983
SINCAM921143	ENSCAFP00000000987
SINCAM006089	ENSCAFP00000000988
SINCAM011285	ENSCAFP00000000989
SINCAM002363	ENSCAFP00000000993
SINCAM002362	ENSCAFP00000000995
SINCAM006087	ENSCAFP00000000997
SINCAM922889	ENSCAFP00000000999
SINCAM006083	ENSCAFP00000001004
SINCAM002361	ENSCAFP00000001005
SINCAM006081	ENSCAFP00000001006
SINCAM006080	ENSCAFP00000001010
SINCAM014665	ENSCAFP00000001014
SINCAM921030	ENSCAFP00000001016
SINCAM014864	ENSCAFP00000001020
SINCAM002360	ENSCAFP00000001022
SINCAM002359	ENSCAFP00000001023
SINCAM002358	ENSCAFP00000001024
SINCAM900210	ENSCAFP00000001025
SINCAM900209	ENSCAFP00000001028
SINCAM002357	ENSCAFP00000001029
SINCAM006077	ENSCAFP00000001030
SINCAM922888	ENSCAFP00000001033
SINCAM900206	ENSCAFP00000001035
SINCAM000340	ENSCAFP00000001037
SINCAM922513	ENSCAFP00000001041
SINCAM922887	ENSCAFP00000001044
SINCAM017978	ENSCAFP00000001046
SINCAM920797	ENSCAFP00000001047
SINCAM002509	ENSCAFP00000001050
SINCAM002510	ENSCAFP00000001051
SINCAM006074	ENSCAFP00000001053
SINCAM006073	ENSCAFP00000001057
SINCAM003680	ENSCAFP00000001067
SINCAM006072	ENSCAFP00000001069
SINCAM009997	ENSCAFP00000001071
SINCAM003547	ENSCAFP00000001078
SINCAM922344	ENSCAFP00000001082
SINCAM921484	ENSCAFP00000001091
SINCAM014621	ENSCAFP00000001096
SINCAM003544	ENSCAFP00000001099
SINCAM006070	ENSCAFP00000001103
SINCAM006069	ENSCAFP00000001109
SINCAM003541	ENSCAFP00000001113
SINCAM005908	ENSCAFP00000001115
SINCAM005884	ENSCAFP00000001117
SINCAM005881	ENSCAFP00000001118
SINCAM922879	ENSCAFP00000001119
SINCAM002728	ENSCAFP00000001124
SINCAM002511	ENSCAFP00000001133
SINCAM014592	ENSCAFP00000001134
SINCAM017991	ENSCAFP00000001140
SINCAM014591	ENSCAFP00000001142
SINCAM920998	ENSCAFP00000001150
SINCAM003654	ENSCAFP00000001151
SINCAM003656	ENSCAFP00000001157
SINCAM920999	ENSCAFP00000001159
SINCAM003658	ENSCAFP00000001160
SINCAM015172	ENSCAFP00000001164
SINCAM922345	ENSCAFP00000001165
SINCAM002514	ENSCAFP00000001166
SINCAM002515	ENSCAFP00000001174
SINCAM002516	ENSCAFP00000001177
SINCAM002517	ENSCAFP00000001178
SINCAM002520	ENSCAFP00000001179
SINCAM920776	ENSCAFP00000001180
SINCAM010221	ENSCAFP00000001181
SINCAM922970	ENSCAFP00000001185
SINCAM922829	ENSCAFP00000001186
SINCAM009035	ENSCAFP00000001191
SINCAM002407	ENSCAFP00000001195
SINCAM002309	ENSCAFP00000001197
SINCAM003653	ENSCAFP00000001202
SINCAM005891	ENSCAFP00000001206
SINCAM003575	ENSCAFP00000001209
SINCAM005877	ENSCAFP00000001210
SINCAM000293	ENSCAFP00000001211
SINCAM010001	ENSCAFP00000001214
SINCAM003531	ENSCAFP00000001216
SINCAM005876	ENSCAFP00000001220
SINCAM010000	ENSCAFP00000001223
SINCAM005875	ENSCAFP00000001225
SINCAM003554	ENSCAFP00000001226
SINCAM003553	ENSCAFP00000001228
SINCAM921158	ENSCAFP00000001232
SINCAM015027	ENSCAFP00000001234
SINCAM003507	ENSCAFP00000001236
SINCAM002312	ENSCAFP00000001237
SINCAM911044	ENSCAFP00000001240
SINCAM005873	ENSCAFP00000001241
SINCAM005872	ENSCAFP00000001243
SINCAM005870	ENSCAFP00000001246
SINCAM005850	ENSCAFP00000001248
SINCAM920768	ENSCAFP00000001249
SINCAM013694	ENSCAFP00000001251
SINCAM920769	ENSCAFP00000001256
SINCAM921154	ENSCAFP00000001261
SINCAM012012	ENSCAFP00000001263
SINCAM003211	ENSCAFP00000001264
SINCAM005371	ENSCAFP00000001265
SINCAM003215	ENSCAFP00000001276
SINCAM006027	ENSCAFP00000001281
SINCAM003220	ENSCAFP00000001283
SINCAM010216	ENSCAFP00000001284
SINCAM011629	ENSCAFP00000001290
SINCAM008885	ENSCAFP00000001291
SINCAM003223	ENSCAFP00000001294
SINCAM921506	ENSCAFP00000001295
SINCAM010185	ENSCAFP00000001296
SINCAM922359	ENSCAFP00000001297
SINCAM003224	ENSCAFP00000001300
SINCAM005934	ENSCAFP00000001302
SINCAM010540	ENSCAFP00000001304
SINCAM010187	ENSCAFP00000001306
SINCAM003195	ENSCAFP00000001307
SINCAM010188	ENSCAFP00000001308
SINCAM005933	ENSCAFP00000001310
SINCAM003193	ENSCAFP00000001313
SINCAM003192	ENSCAFP00000001316
SINCAM012279	ENSCAFP00000001319
SINCAM003191	ENSCAFP00000001321
SINCAM003190	ENSCAFP00000001323
SINCAM003189	ENSCAFP00000001324
SINCAM003188	ENSCAFP00000001325
SINCAM003187	ENSCAFP00000001327
SINCAM010189	ENSCAFP00000001330
SINCAM005930	ENSCAFP00000001333
SINCAM900261	ENSCAFP00000001334
SINCAM002315	ENSCAFP00000001338
SINCAM005338	ENSCAFP00000001339
SINCAM002316	ENSCAFP00000001346
SINCAM921006	ENSCAFP00000001348
SINCAM003186	ENSCAFP00000001349
SINCAM003185	ENSCAFP00000001353
SINCAM014687	ENSCAFP00000001355
SINCAM005634	ENSCAFP00000001359
SINCAM014681	ENSCAFP00000001360
SINCAM002317	ENSCAFP00000001361
SINCAM014679	ENSCAFP00000001363
SINCAM003182	ENSCAFP00000001364
SINCAM002319	ENSCAFP00000001366
SINCAM009927	ENSCAFP00000001368
SINCAM015900	ENSCAFP00000001370
SINCAM002321	ENSCAFP00000001373
SINCAM015901	ENSCAFP00000001374
SINCAM014635	ENSCAFP00000001381
SINCAM002322	ENSCAFP00000001384
SINCAM003177	ENSCAFP00000001385
SINCAM017877	ENSCAFP00000001388
SINCAM011161	ENSCAFP00000001391
SINCAM014910	ENSCAFP00000001394
SINCAM014597	ENSCAFP00000001395
SINCAM922798	ENSCAFP00000001396
SINCAM002325	ENSCAFP00000001400
SINCAM014601	ENSCAFP00000001402
SINCAM002330	ENSCAFP00000001411
SINCAM922342	ENSCAFP00000001412
SINCAM002326	ENSCAFP00000001413
SINCAM011072	ENSCAFP00000001415
SINCAM003175	ENSCAFP00000001416
SINCAM002327	ENSCAFP00000001417
SINCAM014837	ENSCAFP00000001421
SINCAM002332	ENSCAFP00000001424
SINCAM003173	ENSCAFP00000001426
SINCAM002335	ENSCAFP00000001430
SINCAM014707	ENSCAFP00000001434
SINCAM002336	ENSCAFP00000001437
SINCAM014708	ENSCAFP00000001439
SINCAM009987	ENSCAFP00000001441
SINCAM003170	ENSCAFP00000001443
SINCAM009986	ENSCAFP00000001444
SINCAM012278	ENSCAFP00000001448
SINCAM003169	ENSCAFP00000001453
SINCAM003168	ENSCAFP00000001455
SINCAM014812	ENSCAFP00000001457
SINCAM002337	ENSCAFP00000001461
SINCAM009984	ENSCAFP00000001464
SINCAM002298	ENSCAFP00000001467
SINCAM922010	ENSCAFP00000001468
SINCAM010749	ENSCAFP00000001469
SINCAM002482	ENSCAFP00000001472
SINCAM014835	ENSCAFP00000001473
SINCAM002293	ENSCAFP00000001474
SINCAM014831	ENSCAFP00000001477
SINCAM003164	ENSCAFP00000001478
SINCAM002294	ENSCAFP00000001484
SINCAM921102	ENSCAFP00000001485
SINCAM922793	ENSCAFP00000001486
SINCAM014829	ENSCAFP00000001490
SINCAM009980	ENSCAFP00000001491
SINCAM009978	ENSCAFP00000001495
SINCAM003163	ENSCAFP00000001496
SINCAM009976	ENSCAFP00000001498
SINCAM009975	ENSCAFP00000001499
SINCAM003160	ENSCAFP00000001500
SINCAM921099	ENSCAFP00000001501
SINCAM003159	ENSCAFP00000001502
SINCAM003156	ENSCAFP00000001504
SINCAM002306	ENSCAFP00000001505
SINCAM003155	ENSCAFP00000001506
SINCAM002304	ENSCAFP00000001510
SINCAM003154	ENSCAFP00000001512
SINCAM922340	ENSCAFP00000001515
SINCAM922338	ENSCAFP00000001517
SINCAM002303	ENSCAFP00000001518
SINCAM922337	ENSCAFP00000001519
SINCAM014826	ENSCAFP00000001524
SINCAM008948	ENSCAFP00000001528
SINCAM015776	ENSCAFP00000001529
SINCAM009971	ENSCAFP00000001531
SINCAM014823	ENSCAFP00000001535
SINCAM000215	ENSCAFP00000001536
SINCAM002300	ENSCAFP00000001537
SINCAM002480	ENSCAFP00000001538
SINCAM002479	ENSCAFP00000001542
SINCAM002478	ENSCAFP00000001544
SINCAM003153	ENSCAFP00000001549
SINCAM009957	ENSCAFP00000001552
SINCAM002477	ENSCAFP00000001557
SINCAM920783	ENSCAFP00000001570
SINCAM922792	ENSCAFP00000001571
SINCAM003147	ENSCAFP00000001572
SINCAM003145	ENSCAFP00000001573
SINCAM003143	ENSCAFP00000001575
SINCAM014819	ENSCAFP00000001579
SINCAM920831	ENSCAFP00000001584
SINCAM014818	ENSCAFP00000001585
SINCAM009954	ENSCAFP00000001586
SINCAM002803	ENSCAFP00000001589
SINCAM002802	ENSCAFP00000001590
SINCAM002800	ENSCAFP00000001594
SINCAM014816	ENSCAFP00000001595
SINCAM003141	ENSCAFP00000001601
SINCAM014815	ENSCAFP00000001603
SINCAM012238	ENSCAFP00000001606
SINCAM002801	ENSCAFP00000001608
SINCAM922336	ENSCAFP00000001610
SINCAM922008	ENSCAFP00000001614
SINCAM003140	ENSCAFP00000001622
SINCAM001032	ENSCAFP00000001630
SINCAM017786	ENSCAFP00000001637
SINCAM009947	ENSCAFP00000001642
SINCAM014832	ENSCAFP00000001647
SINCAM900238	ENSCAFP00000001651
SINCAM009943	ENSCAFP00000001653
SINCAM900237	ENSCAFP00000001665
SINCAM001513	ENSCAFP00000001666
SINCAM001544	ENSCAFP00000001671
SINCAM920655	ENSCAFP00000001672
SINCAM900240	ENSCAFP00000001675
SINCAM001547	ENSCAFP00000001679
SINCAM002483	ENSCAFP00000001682
SINCAM002484	ENSCAFP00000001686
SINCAM012239	ENSCAFP00000001692
SINCAM001484	ENSCAFP00000001694
SINCAM922281	ENSCAFP00000001696
SINCAM001020	ENSCAFP00000001705
SINCAM011115	ENSCAFP00000001709
SINCAM002646	ENSCAFP00000001710
SINCAM010126	ENSCAFP00000001720
SINCAM012240	ENSCAFP00000001721
SINCAM010127	ENSCAFP00000001725
SINCAM922521	ENSCAFP00000001726
SINCAM012280	ENSCAFP00000001730
SINCAM001023	ENSCAFP00000001737
SINCAM002643	ENSCAFP00000001739
SINCAM010129	ENSCAFP00000001744
SINCAM012281	ENSCAFP00000001753
SINCAM010131	ENSCAFP00000001754
SINCAM001024	ENSCAFP00000001757
SINCAM002642	ENSCAFP00000001758
SINCAM005124	ENSCAFP00000001759
SINCAM012283	ENSCAFP00000001761
SINCAM920883	ENSCAFP00000001763
SINCAM921735	ENSCAFP00000001764
SINCAM002641	ENSCAFP00000001767
SINCAM920821	ENSCAFP00000001769
SINCAM012284	ENSCAFP00000001770
SINCAM010118	ENSCAFP00000001774
SINCAM002639	ENSCAFP00000001779
SINCAM012285	ENSCAFP00000001780
SINCAM010120	ENSCAFP00000001786
SINCAM002576	ENSCAFP00000001801
SINCAM002577	ENSCAFP00000001808
SINCAM010179	ENSCAFP00000001811
SINCAM001026	ENSCAFP00000001826
SINCAM012286	ENSCAFP00000001830
SINCAM010169	ENSCAFP00000001835
SINCAM001027	ENSCAFP00000001839
SINCAM001029	ENSCAFP00000001843
SINCAM010138	ENSCAFP00000001849
SINCAM006029	ENSCAFP00000001850
SINCAM001580	ENSCAFP00000001851
SINCAM012289	ENSCAFP00000001853
SINCAM014760	ENSCAFP00000001854
SINCAM001581	ENSCAFP00000001858
SINCAM006155	ENSCAFP00000001866
SINCAM012290	ENSCAFP00000001868
SINCAM001030	ENSCAFP00000001869
SINCAM012291	ENSCAFP00000001876
SINCAM008951	ENSCAFP00000001877
SINCAM006158	ENSCAFP00000001879
SINCAM012292	ENSCAFP00000001880
SINCAM006159	ENSCAFP00000001881
SINCAM012294	ENSCAFP00000001884
SINCAM012322	ENSCAFP00000001886
SINCAM017588	ENSCAFP00000001888
SINCAM001033	ENSCAFP00000001889
SINCAM018009	ENSCAFP00000001896
SINCAM015863	ENSCAFP00000001898
SINCAM014715	ENSCAFP00000001900
SINCAM011741	ENSCAFP00000001909
SINCAM002713	ENSCAFP00000001915
SINCAM922951	ENSCAFP00000001916
SINCAM014890	ENSCAFP00000001917
SINCAM012733	ENSCAFP00000001921
SINCAM014758	ENSCAFP00000001923
SINCAM002734	ENSCAFP00000001927
SINCAM012328	ENSCAFP00000001930
SINCAM001035	ENSCAFP00000001931
SINCAM012195	ENSCAFP00000001934
SINCAM920572	ENSCAFP00000001937
SINCAM010123	ENSCAFP00000001941
SINCAM000910	ENSCAFP00000001943
SINCAM000909	ENSCAFP00000001944
SINCAM014765	ENSCAFP00000001953
SINCAM014767	ENSCAFP00000001956
SINCAM013047	ENSCAFP00000001958
SINCAM014893	ENSCAFP00000001961
SINCAM014763	ENSCAFP00000001967
SINCAM006096	ENSCAFP00000001968
SINCAM006161	ENSCAFP00000001969
SINCAM014764	ENSCAFP00000001970
SINCAM012215	ENSCAFP00000001972
SINCAM000906	ENSCAFP00000001975
SINCAM001037	ENSCAFP00000001979
SINCAM001039	ENSCAFP00000001985
SINCAM014894	ENSCAFP00000001990
SINCAM001562	ENSCAFP00000001992
SINCAM012189	ENSCAFP00000001999
SINCAM014895	ENSCAFP00000002001
SINCAM012266	ENSCAFP00000002002
SINCAM920573	ENSCAFP00000002004
SINCAM920574	ENSCAFP00000002014
SINCAM006163	ENSCAFP00000002017
SINCAM922527	ENSCAFP00000002020
SINCAM922528	ENSCAFP00000002023
SINCAM014727	ENSCAFP00000002025
SINCAM922524	ENSCAFP00000002028
SINCAM000905	ENSCAFP00000002030
SINCAM920575	ENSCAFP00000002032
SINCAM014728	ENSCAFP00000002039
SINCAM012205	ENSCAFP00000002048
SINCAM923116	ENSCAFP00000002050
SINCAM920576	ENSCAFP00000002053
SINCAM012204	ENSCAFP00000002060
SINCAM014806	ENSCAFP00000002063
