ENSMGAP00000000006	SINCAM000417
ENSMGAP00000000169	SINCAM012217
ENSMGAP00000000170	SINCAM002585
ENSMGAP00000000172	SINCAM900252
ENSMGAP00000000173	SINCAM010673
ENSMGAP00000000175	SINCAM013417
ENSMGAP00000000179	SINCAM010674
ENSMGAP00000000181	SINCAM013416
ENSMGAP00000000182	SINCAM001479
ENSMGAP00000000183	SINCAM900250
ENSMGAP00000000186	SINCAM012728
ENSMGAP00000000188	SINCAM900249
ENSMGAP00000000189	SINCAM012729
ENSMGAP00000000191	SINCAM013881
ENSMGAP00000000195	SINCAM002656
ENSMGAP00000000196	SINCAM009049
ENSMGAP00000000197	SINCAM014320
ENSMGAP00000000198	SINCAM013882
ENSMGAP00000000200	SINCAM900247
ENSMGAP00000000204	SINCAM012037
ENSMGAP00000000205	SINCAM012215
ENSMGAP00000000206	SINCAM011327
ENSMGAP00000000208	SINCAM012730
ENSMGAP00000000209	SINCAM007764
ENSMGAP00000000210	SINCAM922115
ENSMGAP00000000211	SINCAM009051
ENSMGAP00000000214	SINCAM011326
ENSMGAP00000000216	SINCAM922709
ENSMGAP00000000217	SINCAM009383
ENSMGAP00000000219	SINCAM010258
ENSMGAP00000000220	SINCAM007708
ENSMGAP00000000221	SINCAM007854
ENSMGAP00000000222	SINCAM922443
ENSMGAP00000000223	SINCAM922365
ENSMGAP00000000224	SINCAM922116
ENSMGAP00000000226	SINCAM923036
ENSMGAP00000000229	SINCAM017233
ENSMGAP00000000231	SINCAM009384
ENSMGAP00000000232	SINCAM003498
ENSMGAP00000000234	SINCAM007853
ENSMGAP00000000237	SINCAM010611
ENSMGAP00000000240	SINCAM009435
ENSMGAP00000000241	SINCAM014258
ENSMGAP00000000243	SINCAM009050
ENSMGAP00000000244	SINCAM003258
ENSMGAP00000000245	SINCAM013155
ENSMGAP00000000247	SINCAM015661
ENSMGAP00000000249	SINCAM009434
ENSMGAP00000000251	SINCAM003181
ENSMGAP00000000252	SINCAM012214
ENSMGAP00000000253	SINCAM009048
ENSMGAP00000000254	SINCAM004629
ENSMGAP00000000256	SINCAM002123
ENSMGAP00000000258	SINCAM009583
ENSMGAP00000000259	SINCAM009012
ENSMGAP00000000261	SINCAM016064
ENSMGAP00000000262	SINCAM011009
ENSMGAP00000000263	SINCAM010690
ENSMGAP00000000265	SINCAM011859
ENSMGAP00000000268	SINCAM012213
ENSMGAP00000000270	SINCAM013744
ENSMGAP00000000271	SINCAM007852
ENSMGAP00000000273	SINCAM922367
ENSMGAP00000000274	SINCAM013669
ENSMGAP00000000275	SINCAM013893
ENSMGAP00000000276	SINCAM922366
ENSMGAP00000000277	SINCAM009011
ENSMGAP00000000279	SINCAM922369
ENSMGAP00000000280	SINCAM012718
ENSMGAP00000000281	SINCAM016063
ENSMGAP00000000282	SINCAM922100
ENSMGAP00000000283	SINCAM013664
ENSMGAP00000000285	SINCAM922101
ENSMGAP00000000287	SINCAM013663
ENSMGAP00000000288	SINCAM007763
ENSMGAP00000000289	SINCAM009584
ENSMGAP00000000290	SINCAM013258
ENSMGAP00000000291	SINCAM012035
ENSMGAP00000000293	SINCAM010614
ENSMGAP00000000294	SINCAM922102
ENSMGAP00000000295	SINCAM011323
ENSMGAP00000000298	SINCAM013683
ENSMGAP00000000300	SINCAM007761
ENSMGAP00000000302	SINCAM013859
ENSMGAP00000000303	SINCAM006922
ENSMGAP00000000304	SINCAM012751
ENSMGAP00000000305	SINCAM016621
ENSMGAP00000000306	SINCAM008960
ENSMGAP00000000308	SINCAM012748
ENSMGAP00000000309	SINCAM007705
ENSMGAP00000000310	SINCAM013259
ENSMGAP00000000311	SINCAM010617
ENSMGAP00000000313	SINCAM001877
ENSMGAP00000000314	SINCAM013895
ENSMGAP00000000315	SINCAM009585
ENSMGAP00000000317	SINCAM002894
ENSMGAP00000000318	SINCAM013260
ENSMGAP00000000319	SINCAM010616
ENSMGAP00000000321	SINCAM011321
ENSMGAP00000000322	SINCAM008965
ENSMGAP00000000323	SINCAM007760
ENSMGAP00000000326	SINCAM010615
ENSMGAP00000000327	SINCAM011320
ENSMGAP00000000329	SINCAM007953
ENSMGAP00000000330	SINCAM007706
ENSMGAP00000000336	SINCAM011861
ENSMGAP00000000338	SINCAM009361
ENSMGAP00000000339	SINCAM922444
ENSMGAP00000000342	SINCAM007704
ENSMGAP00000000343	SINCAM009713
ENSMGAP00000000346	SINCAM922117
ENSMGAP00000000347	SINCAM013860
ENSMGAP00000000348	SINCAM015735
ENSMGAP00000000349	SINCAM012357
ENSMGAP00000000352	SINCAM005224
ENSMGAP00000000353	SINCAM011317
ENSMGAP00000000355	SINCAM010646
ENSMGAP00000000358	SINCAM013861
ENSMGAP00000000359	SINCAM013262
ENSMGAP00000000360	SINCAM007703
ENSMGAP00000000361	SINCAM922620
ENSMGAP00000000362	SINCAM005222
ENSMGAP00000000363	SINCAM922104
ENSMGAP00000000365	SINCAM922371
ENSMGAP00000000366	SINCAM009362
ENSMGAP00000000368	SINCAM007702
ENSMGAP00000000369	SINCAM921492
ENSMGAP00000000371	SINCAM012034
ENSMGAP00000000374	SINCAM921819
ENSMGAP00000000375	SINCAM010042
ENSMGAP00000000376	SINCAM011157
ENSMGAP00000000377	SINCAM921757
ENSMGAP00000000378	SINCAM013217
ENSMGAP00000000379	SINCAM000834
ENSMGAP00000000380	SINCAM005221
ENSMGAP00000000382	SINCAM922105
ENSMGAP00000000384	SINCAM921760
ENSMGAP00000000385	SINCAM007700
ENSMGAP00000000386	SINCAM013862
ENSMGAP00000000387	SINCAM011316
ENSMGAP00000000389	SINCAM016180
ENSMGAP00000000391	SINCAM011856
ENSMGAP00000000393	SINCAM013396
ENSMGAP00000000395	SINCAM009363
ENSMGAP00000000396	SINCAM000113
ENSMGAP00000000397	SINCAM005217
ENSMGAP00000000398	SINCAM009365
ENSMGAP00000000399	SINCAM000967
ENSMGAP00000000400	SINCAM010645
ENSMGAP00000000401	SINCAM013866
ENSMGAP00000000402	SINCAM013824
ENSMGAP00000000407	SINCAM012831
ENSMGAP00000000408	SINCAM921951
ENSMGAP00000000409	SINCAM013397
ENSMGAP00000000410	SINCAM000120
ENSMGAP00000000412	SINCAM013874
ENSMGAP00000000414	SINCAM011814
ENSMGAP00000000418	SINCAM014257
ENSMGAP00000000422	SINCAM009385
ENSMGAP00000000423	SINCAM013398
ENSMGAP00000000425	SINCAM011857
ENSMGAP00000000430	SINCAM007374
ENSMGAP00000000431	SINCAM012113
ENSMGAP00000000432	SINCAM006510
ENSMGAP00000000434	SINCAM921522
ENSMGAP00000000438	SINCAM009437
ENSMGAP00000000441	SINCAM013825
ENSMGAP00000000442	SINCAM010049
ENSMGAP00000000443	SINCAM007375
ENSMGAP00000000444	SINCAM014337
ENSMGAP00000000447	SINCAM011828
ENSMGAP00000000451	SINCAM920603
ENSMGAP00000000452	SINCAM002776
ENSMGAP00000000453	SINCAM921980
ENSMGAP00000000455	SINCAM010053
ENSMGAP00000000456	SINCAM008974
ENSMGAP00000000460	SINCAM017649
ENSMGAP00000000461	SINCAM011066
ENSMGAP00000000462	SINCAM006511
ENSMGAP00000000463	SINCAM922099
ENSMGAP00000000465	SINCAM921701
ENSMGAP00000000466	SINCAM012209
ENSMGAP00000000469	SINCAM007376
ENSMGAP00000000470	SINCAM921858
ENSMGAP00000000471	SINCAM920657
ENSMGAP00000000473	SINCAM001406
ENSMGAP00000000474	SINCAM009083
ENSMGAP00000000475	SINCAM016278
ENSMGAP00000000476	SINCAM007377
ENSMGAP00000000478	SINCAM007011
ENSMGAP00000000479	SINCAM013213
ENSMGAP00000000481	SINCAM009438
ENSMGAP00000000483	SINCAM012243
ENSMGAP00000000488	SINCAM922496
ENSMGAP00000000489	SINCAM920659
ENSMGAP00000000490	SINCAM013529
ENSMGAP00000000491	SINCAM007955
ENSMGAP00000000493	SINCAM922632
ENSMGAP00000000498	SINCAM018095
ENSMGAP00000000501	SINCAM003576
ENSMGAP00000000502	SINCAM013870
ENSMGAP00000000506	SINCAM002576
ENSMGAP00000000507	SINCAM009586
ENSMGAP00000000508	SINCAM007089
ENSMGAP00000000509	SINCAM011924
ENSMGAP00000000510	SINCAM921791
ENSMGAP00000000511	SINCAM011766
ENSMGAP00000000512	SINCAM921769
ENSMGAP00000000517	SINCAM013216
ENSMGAP00000000518	SINCAM009581
ENSMGAP00000000519	SINCAM013871
ENSMGAP00000000520	SINCAM014443
ENSMGAP00000000522	SINCAM008984
ENSMGAP00000000523	SINCAM007847
ENSMGAP00000000524	SINCAM922750
ENSMGAP00000000525	SINCAM015317
ENSMGAP00000000527	SINCAM005216
ENSMGAP00000000530	SINCAM013252
ENSMGAP00000000532	SINCAM001396
ENSMGAP00000000533	SINCAM922495
ENSMGAP00000000535	SINCAM008982
ENSMGAP00000000537	SINCAM004859
ENSMGAP00000000538	SINCAM009440
ENSMGAP00000000541	SINCAM012826
ENSMGAP00000000542	SINCAM922114
ENSMGAP00000000543	SINCAM013872
ENSMGAP00000000544	SINCAM013253
ENSMGAP00000000545	SINCAM922098
ENSMGAP00000000547	SINCAM012898
ENSMGAP00000000548	SINCAM007772
ENSMGAP00000000549	SINCAM006780
ENSMGAP00000000551	SINCAM008981
ENSMGAP00000000553	SINCAM015315
ENSMGAP00000000554	SINCAM005196
ENSMGAP00000000558	SINCAM010554
ENSMGAP00000000560	SINCAM013277
ENSMGAP00000000563	SINCAM921476
ENSMGAP00000000564	SINCAM012900
ENSMGAP00000000565	SINCAM007087
ENSMGAP00000000567	SINCAM921477
ENSMGAP00000000568	SINCAM010059
ENSMGAP00000000569	SINCAM008980
ENSMGAP00000000570	SINCAM010553
ENSMGAP00000000573	SINCAM007384
ENSMGAP00000000575	SINCAM008842
ENSMGAP00000000576	SINCAM921494
ENSMGAP00000000577	SINCAM010054
ENSMGAP00000000578	SINCAM007387
ENSMGAP00000000579	SINCAM005197
ENSMGAP00000000580	SINCAM011026
ENSMGAP00000000581	SINCAM009587
ENSMGAP00000000582	SINCAM000243
ENSMGAP00000000583	SINCAM017969
ENSMGAP00000000584	SINCAM008860
ENSMGAP00000000586	SINCAM015154
ENSMGAP00000000587	SINCAM013679
ENSMGAP00000000588	SINCAM013275
ENSMGAP00000000593	SINCAM922384
ENSMGAP00000000597	SINCAM011025
ENSMGAP00000000598	SINCAM002006
ENSMGAP00000000600	SINCAM013657
ENSMGAP00000000601	SINCAM012902
ENSMGAP00000000602	SINCAM006131
ENSMGAP00000000607	SINCAM011738
ENSMGAP00000000608	SINCAM011080
ENSMGAP00000000611	SINCAM922710
ENSMGAP00000000614	SINCAM009588
ENSMGAP00000000617	SINCAM012246
ENSMGAP00000000618	SINCAM007390
ENSMGAP00000000620	SINCAM013912
ENSMGAP00000000621	SINCAM006505
ENSMGAP00000000624	SINCAM009601
ENSMGAP00000000627	SINCAM002993
ENSMGAP00000000629	SINCAM000894
ENSMGAP00000000630	SINCAM007838
ENSMGAP00000000633	SINCAM008979
ENSMGAP00000000635	SINCAM011027
ENSMGAP00000000636	SINCAM009406
ENSMGAP00000000638	SINCAM013537
ENSMGAP00000000642	SINCAM008970
ENSMGAP00000000650	SINCAM011006
ENSMGAP00000000653	SINCAM001390
ENSMGAP00000000654	SINCAM014689
ENSMGAP00000000655	SINCAM009407
ENSMGAP00000000657	SINCAM000245
ENSMGAP00000000658	SINCAM018024
ENSMGAP00000000659	SINCAM013827
ENSMGAP00000000660	SINCAM009413
ENSMGAP00000000661	SINCAM000244
ENSMGAP00000000662	SINCAM012904
ENSMGAP00000000664	SINCAM002153
ENSMGAP00000000665	SINCAM008971
ENSMGAP00000000666	SINCAM010226
ENSMGAP00000000667	SINCAM922480
ENSMGAP00000000669	SINCAM922087
ENSMGAP00000000670	SINCAM012245
ENSMGAP00000000671	SINCAM010279
ENSMGAP00000000672	SINCAM922655
ENSMGAP00000000673	SINCAM011081
ENSMGAP00000000674	SINCAM013306
ENSMGAP00000000676	SINCAM922747
ENSMGAP00000000677	SINCAM014412
ENSMGAP00000000678	SINCAM921905
ENSMGAP00000000679	SINCAM921497
ENSMGAP00000000684	SINCAM921176
ENSMGAP00000000686	SINCAM008973
ENSMGAP00000000689	SINCAM013831
ENSMGAP00000000691	SINCAM001426
ENSMGAP00000000692	SINCAM005219
ENSMGAP00000000693	SINCAM001055
ENSMGAP00000000694	SINCAM010603
ENSMGAP00000000695	SINCAM016280
ENSMGAP00000000696	SINCAM013913
ENSMGAP00000000697	SINCAM921499
ENSMGAP00000000699	SINCAM920463
ENSMGAP00000000704	SINCAM001081
ENSMGAP00000000705	SINCAM012126
ENSMGAP00000000706	SINCAM008975
ENSMGAP00000000707	SINCAM002155
ENSMGAP00000000708	SINCAM006827
ENSMGAP00000000709	SINCAM007391
ENSMGAP00000000710	SINCAM002781
ENSMGAP00000000711	SINCAM010989
ENSMGAP00000000713	SINCAM009412
ENSMGAP00000000714	SINCAM013832
ENSMGAP00000000715	SINCAM005198
ENSMGAP00000000717	SINCAM013305
ENSMGAP00000000718	SINCAM002156
ENSMGAP00000000719	SINCAM011737
ENSMGAP00000000720	SINCAM000247
ENSMGAP00000000721	SINCAM006991
ENSMGAP00000000724	SINCAM006989
ENSMGAP00000000725	SINCAM010628
ENSMGAP00000000728	SINCAM013192
ENSMGAP00000000730	SINCAM002157
ENSMGAP00000000737	SINCAM014264
ENSMGAP00000000738	SINCAM013795
ENSMGAP00000000739	SINCAM922654
ENSMGAP00000000740	SINCAM001431
ENSMGAP00000000741	SINCAM010605
ENSMGAP00000000744	SINCAM010040
ENSMGAP00000000745	SINCAM011241
ENSMGAP00000000746	SINCAM001411
ENSMGAP00000000748	SINCAM922907
ENSMGAP00000000749	SINCAM007086
ENSMGAP00000000750	SINCAM010627
ENSMGAP00000000753	SINCAM007518
ENSMGAP00000000754	SINCAM010178
ENSMGAP00000000755	SINCAM922257
ENSMGAP00000000756	SINCAM007856
ENSMGAP00000000757	SINCAM920509
ENSMGAP00000000758	SINCAM002158
ENSMGAP00000000759	SINCAM013654
ENSMGAP00000000762	SINCAM005199
ENSMGAP00000000763	SINCAM009409
ENSMGAP00000000765	SINCAM013270
ENSMGAP00000000767	SINCAM921831
ENSMGAP00000000769	SINCAM015381
ENSMGAP00000000770	SINCAM013914
ENSMGAP00000000771	SINCAM001429
ENSMGAP00000000773	SINCAM013655
ENSMGAP00000000775	SINCAM000249
ENSMGAP00000000776	SINCAM001430
ENSMGAP00000000778	SINCAM012746
ENSMGAP00000000781	SINCAM006832
ENSMGAP00000000782	SINCAM007517
ENSMGAP00000000783	SINCAM922696
ENSMGAP00000000784	SINCAM010121
ENSMGAP00000000786	SINCAM922258
ENSMGAP00000000790	SINCAM012883
ENSMGAP00000000792	SINCAM921420
ENSMGAP00000000793	SINCAM013798
ENSMGAP00000000797	SINCAM922726
ENSMGAP00000000799	SINCAM002160
ENSMGAP00000000800	SINCAM009839
ENSMGAP00000000804	SINCAM005178
ENSMGAP00000000808	SINCAM007516
ENSMGAP00000000809	SINCAM013267
ENSMGAP00000000811	SINCAM001436
ENSMGAP00000000812	SINCAM007515
ENSMGAP00000000813	SINCAM922540
ENSMGAP00000000814	SINCAM922322
ENSMGAP00000000815	SINCAM011718
ENSMGAP00000000817	SINCAM013799
ENSMGAP00000000820	SINCAM922481
ENSMGAP00000000821	SINCAM007711
ENSMGAP00000000824	SINCAM013191
ENSMGAP00000000826	SINCAM014339
ENSMGAP00000000828	SINCAM008955
ENSMGAP00000000831	SINCAM005225
ENSMGAP00000000834	SINCAM922482
ENSMGAP00000000835	SINCAM011238
ENSMGAP00000000837	SINCAM011239
ENSMGAP00000000839	SINCAM000251
ENSMGAP00000000843	SINCAM001452
ENSMGAP00000000844	SINCAM011237
ENSMGAP00000000848	SINCAM003409
ENSMGAP00000000851	SINCAM005226
ENSMGAP00000000852	SINCAM013677
ENSMGAP00000000853	SINCAM001446
ENSMGAP00000000854	SINCAM007048
ENSMGAP00000000855	SINCAM011236
ENSMGAP00000000858	SINCAM922256
ENSMGAP00000000859	SINCAM922874
ENSMGAP00000000861	SINCAM009838
ENSMGAP00000000862	SINCAM010676
ENSMGAP00000000863	SINCAM007124
ENSMGAP00000000864	SINCAM014299
ENSMGAP00000000866	SINCAM009052
ENSMGAP00000000867	SINCAM922622
ENSMGAP00000000870	SINCAM007712
ENSMGAP00000000872	SINCAM006455
ENSMGAP00000000873	SINCAM007125
ENSMGAP00000000874	SINCAM002161
ENSMGAP00000000878	SINCAM007713
ENSMGAP00000000880	SINCAM011719
ENSMGAP00000000881	SINCAM015863
ENSMGAP00000000885	SINCAM922623
ENSMGAP00000000886	SINCAM000252
ENSMGAP00000000887	SINCAM011235
ENSMGAP00000000888	SINCAM922393
ENSMGAP00000000890	SINCAM012362
ENSMGAP00000000891	SINCAM005227
ENSMGAP00000000892	SINCAM009834
ENSMGAP00000000893	SINCAM007858
ENSMGAP00000000896	SINCAM001705
ENSMGAP00000000897	SINCAM011720
ENSMGAP00000000899	SINCAM922392
ENSMGAP00000000900	SINCAM010623
ENSMGAP00000000903	SINCAM009353
ENSMGAP00000000906	SINCAM920858
ENSMGAP00000000907	SINCAM012868
ENSMGAP00000000908	SINCAM007126
ENSMGAP00000000909	SINCAM000186
ENSMGAP00000000910	SINCAM002780
ENSMGAP00000000911	SINCAM005228
ENSMGAP00000000912	SINCAM009865
ENSMGAP00000000915	SINCAM922453
ENSMGAP00000000918	SINCAM011036
ENSMGAP00000000919	SINCAM920464
ENSMGAP00000000920	SINCAM013401
ENSMGAP00000000922	SINCAM010138
ENSMGAP00000000926	SINCAM922719
ENSMGAP00000000927	SINCAM009053
ENSMGAP00000000928	SINCAM007714
ENSMGAP00000000929	SINCAM014065
ENSMGAP00000000932	SINCAM922452
ENSMGAP00000000935	SINCAM011234
ENSMGAP00000000936	SINCAM011824
ENSMGAP00000000939	SINCAM011721
ENSMGAP00000000940	SINCAM010622
ENSMGAP00000000941	SINCAM014303
ENSMGAP00000000943	SINCAM012360
ENSMGAP00000000944	SINCAM013682
ENSMGAP00000000946	SINCAM920455
ENSMGAP00000000947	SINCAM008473
ENSMGAP00000000948	SINCAM013534
ENSMGAP00000000949	SINCAM009575
ENSMGAP00000000950	SINCAM013902
ENSMGAP00000000951	SINCAM922327
ENSMGAP00000000955	SINCAM002715
ENSMGAP00000000956	SINCAM011722
ENSMGAP00000000958	SINCAM014033
ENSMGAP00000000960	SINCAM011762
ENSMGAP00000000962	SINCAM009368
ENSMGAP00000000964	SINCAM005229
ENSMGAP00000000965	SINCAM010169
ENSMGAP00000000966	SINCAM921943
ENSMGAP00000000967	SINCAM009887
ENSMGAP00000000969	SINCAM001211
ENSMGAP00000000970	SINCAM920646
ENSMGAP00000000971	SINCAM007716
ENSMGAP00000000972	SINCAM005200
ENSMGAP00000000973	SINCAM007132
ENSMGAP00000000974	SINCAM003808
ENSMGAP00000000975	SINCAM007417
ENSMGAP00000000979	SINCAM013903
ENSMGAP00000000980	SINCAM001056
ENSMGAP00000000982	SINCAM922657
ENSMGAP00000000983	SINCAM010671
ENSMGAP00000000985	SINCAM005231
ENSMGAP00000000986	SINCAM011724
ENSMGAP00000000988	SINCAM007718
ENSMGAP00000000989	SINCAM009008
ENSMGAP00000000990	SINCAM922929
ENSMGAP00000000991	SINCAM002162
ENSMGAP00000000994	SINCAM006504
ENSMGAP00000000995	SINCAM011232
ENSMGAP00000000996	SINCAM000736
ENSMGAP00000000997	SINCAM922515
ENSMGAP00000000998	SINCAM921559
ENSMGAP00000000999	SINCAM921866
ENSMGAP00000001000	SINCAM920747
ENSMGAP00000001001	SINCAM012717
ENSMGAP00000001002	SINCAM921942
ENSMGAP00000001004	SINCAM002790
ENSMGAP00000001005	SINCAM008951
ENSMGAP00000001006	SINCAM007717
ENSMGAP00000001008	SINCAM921867
ENSMGAP00000001009	SINCAM003371
ENSMGAP00000001011	SINCAM015093
ENSMGAP00000001012	SINCAM011802
ENSMGAP00000001014	SINCAM013618
ENSMGAP00000001015	SINCAM002164
ENSMGAP00000001018	SINCAM005202
ENSMGAP00000001019	SINCAM013617
ENSMGAP00000001020	SINCAM002217
ENSMGAP00000001021	SINCAM014249
ENSMGAP00000001022	SINCAM007719
ENSMGAP00000001023	SINCAM013564
ENSMGAP00000001024	SINCAM011230
ENSMGAP00000001025	SINCAM007134
ENSMGAP00000001027	SINCAM921777
ENSMGAP00000001029	SINCAM002166
ENSMGAP00000001031	SINCAM007863
ENSMGAP00000001032	SINCAM014455
ENSMGAP00000001034	SINCAM010171
ENSMGAP00000001035	SINCAM921556
ENSMGAP00000001037	SINCAM922986
ENSMGAP00000001038	SINCAM001447
ENSMGAP00000001039	SINCAM010670
ENSMGAP00000001041	SINCAM014846
ENSMGAP00000001042	SINCAM011800
ENSMGAP00000001043	SINCAM007136
ENSMGAP00000001044	SINCAM007848
ENSMGAP00000001048	SINCAM000191
ENSMGAP00000001049	SINCAM920829
ENSMGAP00000001050	SINCAM010170
ENSMGAP00000001052	SINCAM014034
ENSMGAP00000001055	SINCAM011726
ENSMGAP00000001056	SINCAM921784
ENSMGAP00000001057	SINCAM010669
ENSMGAP00000001058	SINCAM012254
ENSMGAP00000001059	SINCAM013810
ENSMGAP00000001060	SINCAM010705
ENSMGAP00000001061	SINCAM922328
ENSMGAP00000001062	SINCAM013187
ENSMGAP00000001064	SINCAM011727
ENSMGAP00000001067	SINCAM007940
ENSMGAP00000001068	SINCAM007135
ENSMGAP00000001071	SINCAM921941
ENSMGAP00000001074	SINCAM014343
ENSMGAP00000001075	SINCAM011728
ENSMGAP00000001077	SINCAM921778
ENSMGAP00000001079	SINCAM013904
ENSMGAP00000001080	SINCAM015320
ENSMGAP00000001084	SINCAM010668
ENSMGAP00000001086	SINCAM011732
ENSMGAP00000001087	SINCAM013907
ENSMGAP00000001088	SINCAM001076
ENSMGAP00000001091	SINCAM012723
ENSMGAP00000001095	SINCAM922294
ENSMGAP00000001099	SINCAM007060
ENSMGAP00000001100	SINCAM011734
ENSMGAP00000001101	SINCAM922834
ENSMGAP00000001103	SINCAM013620
ENSMGAP00000001104	SINCAM013908
ENSMGAP00000001105	SINCAM001338
ENSMGAP00000001108	SINCAM006509
ENSMGAP00000001109	SINCAM005920
ENSMGAP00000001111	SINCAM011227
ENSMGAP00000001112	SINCAM005203
ENSMGAP00000001113	SINCAM007137
ENSMGAP00000001115	SINCAM014197
ENSMGAP00000001116	SINCAM921462
ENSMGAP00000001118	SINCAM013868
ENSMGAP00000001119	SINCAM011226
ENSMGAP00000001120	SINCAM012387
ENSMGAP00000001121	SINCAM009357
ENSMGAP00000001122	SINCAM922249
ENSMGAP00000001123	SINCAM005689
ENSMGAP00000001124	SINCAM002787
ENSMGAP00000001126	SINCAM922835
ENSMGAP00000001128	SINCAM011673
ENSMGAP00000001129	SINCAM005204
ENSMGAP00000001131	SINCAM001488
ENSMGAP00000001133	SINCAM008838
ENSMGAP00000001136	SINCAM010665
ENSMGAP00000001137	SINCAM011225
ENSMGAP00000001139	SINCAM003810
ENSMGAP00000001140	SINCAM013621
ENSMGAP00000001141	SINCAM006454
ENSMGAP00000001142	SINCAM012844
ENSMGAP00000001146	SINCAM001371
ENSMGAP00000001147	SINCAM013692
ENSMGAP00000001149	SINCAM921463
ENSMGAP00000001151	SINCAM013481
ENSMGAP00000001152	SINCAM010835
ENSMGAP00000001153	SINCAM007874
ENSMGAP00000001154	SINCAM003812
ENSMGAP00000001156	SINCAM009901
ENSMGAP00000001160	SINCAM922559
ENSMGAP00000001161	SINCAM010172
ENSMGAP00000001163	SINCAM009467
ENSMGAP00000001164	SINCAM008839
ENSMGAP00000001166	SINCAM007780
ENSMGAP00000001167	SINCAM013232
ENSMGAP00000001173	SINCAM010831
ENSMGAP00000001176	SINCAM014850
ENSMGAP00000001181	SINCAM013890
ENSMGAP00000001182	SINCAM008852
ENSMGAP00000001186	SINCAM001489
ENSMGAP00000001187	SINCAM011222
ENSMGAP00000001188	SINCAM010829
ENSMGAP00000001189	SINCAM000193
ENSMGAP00000001193	SINCAM012845
ENSMGAP00000001194	SINCAM921554
ENSMGAP00000001196	SINCAM001808
ENSMGAP00000001199	SINCAM003814
ENSMGAP00000001202	SINCAM900188
ENSMGAP00000001204	SINCAM009033
ENSMGAP00000001205	SINCAM014891
ENSMGAP00000001207	SINCAM008840
ENSMGAP00000001208	SINCAM007722
ENSMGAP00000001209	SINCAM013568
ENSMGAP00000001211	SINCAM922831
ENSMGAP00000001213	SINCAM922833
ENSMGAP00000001216	SINCAM013809
ENSMGAP00000001217	SINCAM010828
ENSMGAP00000001218	SINCAM013892
ENSMGAP00000001221	SINCAM001527
ENSMGAP00000001222	SINCAM921758
ENSMGAP00000001224	SINCAM000194
ENSMGAP00000001225	SINCAM015316
ENSMGAP00000001229	SINCAM006890
ENSMGAP00000001236	SINCAM007873
ENSMGAP00000001237	SINCAM922110
