fgenesh2_pg.scaffold_351000043	ENSLOCP00000006075
fgenesh2_pg.scaffold_380000008	ENSLOCP00000009050
fgenesh2_pg.scaffold_380000008	ENSLOCP00000012264
fgenesh2_pg.scaffold_380000024	ENSLOCP00000022335
fgenesh2_pg.scaffold_380000036	ENSLOCP00000021326
fgenesh2_pg.scaffold_380000036	ENSLOCP00000017597
fgenesh2_pg.scaffold_380000036	ENSLOCP00000008815
fgenesh2_pg.scaffold_381000020	ENSLOCP00000008499
fgenesh2_pg.scaffold_381000020	ENSLOCP00000018565
fgenesh2_pg.scaffold_381000021	ENSLOCP00000008456
fgenesh2_pg.scaffold_381000021	ENSLOCP00000015108
fgenesh2_pg.scaffold_381000034	ENSLOCP00000020963
fgenesh2_pg.scaffold_381000039	ENSLOCP00000005136
fgenesh2_pg.scaffold_382000006	ENSLOCP00000013061
fgenesh2_pg.scaffold_382000007	ENSLOCP00000014172
fgenesh2_pg.scaffold_382000007	ENSLOCP00000009209
fgenesh2_pg.scaffold_382000041	ENSLOCP00000004046
fgenesh2_pg.scaffold_383000011	ENSLOCP00000012379
fgenesh2_pg.scaffold_384000004	ENSLOCP00000017404
fgenesh2_pg.scaffold_384000007	ENSLOCP00000021775
fgenesh2_pg.scaffold_384000024	ENSLOCP00000019307
fgenesh2_pg.scaffold_384000024	ENSLOCP00000013788
fgenesh2_pg.scaffold_384000041	ENSLOCP00000020719
fgenesh2_pg.scaffold_384000041	ENSLOCP00000015315
fgenesh2_pg.scaffold_385000013	ENSLOCP00000004075
fgenesh2_pg.scaffold_385000017	ENSLOCP00000011619
fgenesh2_pg.scaffold_385000018	ENSLOCP00000012118
fgenesh2_pg.scaffold_386000031	ENSLOCP00000011745
fgenesh2_pg.scaffold_386000031	ENSLOCP00000002156
fgenesh2_pg.scaffold_386000031	ENSLOCP00000008107
fgenesh2_pg.scaffold_386000032	ENSLOCP00000004725
fgenesh2_pg.scaffold_386000033	ENSLOCP00000005271
fgenesh2_pg.scaffold_386000033	ENSLOCP00000014778
fgenesh2_pg.scaffold_387000005	ENSLOCP00000005048
fgenesh2_pg.scaffold_388000003	ENSLOCP00000009143
fgenesh2_pg.scaffold_388000029	ENSLOCP00000010412
fgenesh2_pg.scaffold_388000032	ENSLOCP00000000954
fgenesh2_pg.scaffold_388000033	ENSLOCP00000014248
fgenesh2_pg.scaffold_389000024	ENSLOCP00000019923
fgenesh2_pg.scaffold_389000029	ENSLOCP00000001535
fgenesh2_pg.scaffold_390000004	ENSLOCP00000019346
fgenesh2_pg.scaffold_391000010	ENSLOCP00000002049
fgenesh2_pg.scaffold_391000010	ENSLOCP00000010067
fgenesh2_pg.scaffold_391000023	ENSLOCP00000004855
fgenesh2_pg.scaffold_391000033	ENSLOCP00000007047
fgenesh2_pg.scaffold_391000033	ENSLOCP00000009539
fgenesh2_pg.scaffold_391000033	ENSLOCP00000011556
fgenesh2_pg.scaffold_391000033	ENSLOCP00000002388
fgenesh2_pg.scaffold_393000013	ENSLOCP00000009155
fgenesh2_pg.scaffold_393000027	ENSLOCP00000017400
fgenesh2_pg.scaffold_394000039	ENSLOCP00000022062
fgenesh2_pg.scaffold_394000039	ENSLOCP00000014493
fgenesh2_pg.scaffold_395000006	ENSLOCP00000014319
fgenesh2_pg.scaffold_395000008	ENSLOCP00000019913
fgenesh2_pg.scaffold_395000011	ENSLOCP00000007958
fgenesh2_pg.scaffold_395000023	ENSLOCP00000017360
fgenesh2_pg.scaffold_395000037	ENSLOCP00000019394
fgenesh2_pg.scaffold_396000027	ENSLOCP00000019221
fgenesh2_pg.scaffold_398000058	ENSLOCP00000008698
fgenesh2_pg.scaffold_398000059	ENSLOCP00000009103
fgenesh2_pg.scaffold_400000031	ENSLOCP00000001367
fgenesh2_pg.scaffold_401000016	ENSLOCP00000008819
fgenesh2_pg.scaffold_401000027	ENSLOCP00000014006
fgenesh2_pg.scaffold_402000006	ENSLOCP00000008544
fgenesh2_pg.scaffold_402000006	ENSLOCP00000008509
fgenesh2_pg.scaffold_402000021	ENSLOCP00000021302
fgenesh2_pg.scaffold_402000028	ENSLOCP00000017982
fgenesh2_pg.scaffold_403000003	ENSLOCP00000006708
fgenesh2_pg.scaffold_403000022	ENSLOCP00000010198
fgenesh2_pg.scaffold_403000023	ENSLOCP00000017282
fgenesh2_pg.scaffold_403000023	ENSLOCP00000007685
fgenesh2_pg.scaffold_403000023	ENSLOCP00000007705
fgenesh2_pg.scaffold_403000025	ENSLOCP00000013123
fgenesh2_pg.scaffold_404000035	ENSLOCP00000009467
fgenesh2_pg.scaffold_404000038	ENSLOCP00000009678
fgenesh2_pg.scaffold_405000003	ENSLOCP00000011654
fgenesh2_pg.scaffold_405000019	ENSLOCP00000011490
fgenesh2_pg.scaffold_406000011	ENSLOCP00000017938
fgenesh2_pg.scaffold_406000011	ENSLOCP00000001000
fgenesh2_pg.scaffold_406000028	ENSLOCP00000008610
fgenesh2_pg.scaffold_407000028	ENSLOCP00000013720
fgenesh2_pg.scaffold_408000033	ENSLOCP00000018945
fgenesh2_pg.scaffold_408000034	ENSLOCP00000008772
fgenesh2_pg.scaffold_409000002	ENSLOCP00000013236
fgenesh2_pg.scaffold_409000005	ENSLOCP00000000630
fgenesh2_pg.scaffold_409000005	ENSLOCP00000016377
fgenesh2_pg.scaffold_409000005	ENSLOCP00000013118
fgenesh2_pg.scaffold_410000005	ENSLOCP00000011198
fgenesh2_pg.scaffold_410000008	ENSLOCP00000000462
fgenesh2_pg.scaffold_410000031	ENSLOCP00000005374
fgenesh2_pg.scaffold_411000014	ENSLOCP00000001631
fgenesh2_pg.scaffold_411000041	ENSLOCP00000019066
fgenesh2_pg.scaffold_412000006	ENSLOCP00000017831
fgenesh2_pg.scaffold_413000015	ENSLOCP00000011173
fgenesh2_pg.scaffold_413000018	ENSLOCP00000022328
fgenesh2_pg.scaffold_413000023	ENSLOCP00000015059
fgenesh2_pg.scaffold_413000024	ENSLOCP00000010295
fgenesh2_pg.scaffold_413000026	ENSLOCP00000011666
fgenesh2_pg.scaffold_414000003	ENSLOCP00000014506
fgenesh2_pg.scaffold_414000018	ENSLOCP00000006209
fgenesh2_pg.scaffold_414000023	ENSLOCP00000010759
fgenesh2_pg.scaffold_414000023	ENSLOCP00000000966
fgenesh2_pg.scaffold_415000003	ENSLOCP00000007223
fgenesh2_pg.scaffold_415000011	ENSLOCP00000014018
fgenesh2_pg.scaffold_415000020	ENSLOCP00000005213
fgenesh2_pg.scaffold_415000035	ENSLOCP00000002517
fgenesh2_pg.scaffold_416000004	ENSLOCP00000003074
fgenesh2_pg.scaffold_416000027	ENSLOCP00000006667
fgenesh2_pg.scaffold_417000011	ENSLOCP00000009460
fgenesh2_pg.scaffold_417000012	ENSLOCP00000004970
fgenesh2_pg.scaffold_417000012	ENSLOCP00000013072
fgenesh2_pg.scaffold_418000002	ENSLOCP00000020035
fgenesh2_pg.scaffold_418000015	ENSLOCP00000020911
fgenesh2_pg.scaffold_418000016	ENSLOCP00000020947
fgenesh2_pg.scaffold_418000024	ENSLOCP00000011215
fgenesh2_pg.scaffold_418000032	ENSLOCP00000020063
fgenesh2_pg.scaffold_419000002	ENSLOCP00000000102
fgenesh2_pg.scaffold_419000014	ENSLOCP00000021503
fgenesh2_pg.scaffold_419000019	ENSLOCP00000017948
fgenesh2_pg.scaffold_420000037	ENSLOCP00000000915
fgenesh2_pg.scaffold_421000002	ENSLOCP00000007103
fgenesh2_pg.scaffold_421000008	ENSLOCP00000008805
fgenesh2_pg.scaffold_421000017	ENSLOCP00000006994
fgenesh2_pg.scaffold_421000019	ENSLOCP00000002581
fgenesh2_pg.scaffold_421000023	ENSLOCP00000001750
fgenesh2_pg.scaffold_421000037	ENSLOCP00000002732
fgenesh2_pg.scaffold_421000042	ENSLOCP00000020689
fgenesh2_pg.scaffold_422000008	ENSLOCP00000018940
fgenesh2_pg.scaffold_423000009	ENSLOCP00000003459
fgenesh2_pg.scaffold_423000012	ENSLOCP00000003599
fgenesh2_pg.scaffold_423000017	ENSLOCP00000012364
fgenesh2_pg.scaffold_423000025	ENSLOCP00000013749
fgenesh2_pg.scaffold_423000030	ENSLOCP00000012006
fgenesh2_pg.scaffold_425000008	ENSLOCP00000001316
fgenesh2_pg.scaffold_425000008	ENSLOCP00000016194
fgenesh2_pg.scaffold_425000010	ENSLOCP00000013371
fgenesh2_pg.scaffold_426000018	ENSLOCP00000003922
fgenesh2_pg.scaffold_426000022	ENSLOCP00000007482
fgenesh2_pg.scaffold_426000048	ENSLOCP00000013450
fgenesh2_pg.scaffold_426000048	ENSLOCP00000010229
fgenesh2_pg.scaffold_427000017	ENSLOCP00000011105
fgenesh2_pg.scaffold_429000005	ENSLOCP00000010261
fgenesh2_pg.scaffold_429000008	ENSLOCP00000011707
fgenesh2_pg.scaffold_429000014	ENSLOCP00000000324
fgenesh2_pg.scaffold_429000014	ENSLOCP00000013168
fgenesh2_pg.scaffold_429000016	ENSLOCP00000020608
fgenesh2_pg.scaffold_430000022	ENSLOCP00000006081
fgenesh2_pg.scaffold_431000004	ENSLOCP00000010278
fgenesh2_pg.scaffold_432000025	ENSLOCP00000014893
fgenesh2_pg.scaffold_432000033	ENSLOCP00000008703
fgenesh2_pg.scaffold_432000036	ENSLOCP00000005994
fgenesh2_pg.scaffold_432000042	ENSLOCP00000002566
fgenesh2_pg.scaffold_433000021	ENSLOCP00000018915
fgenesh2_pg.scaffold_435000006	ENSLOCP00000008165
fgenesh2_pg.scaffold_435000009	ENSLOCP00000009357
fgenesh2_pg.scaffold_436000003	ENSLOCP00000016547
fgenesh2_pg.scaffold_436000014	ENSLOCP00000012580
fgenesh2_pg.scaffold_436000014	ENSLOCP00000002029
fgenesh2_pg.scaffold_436000015	ENSLOCP00000012340
fgenesh2_pg.scaffold_436000040	ENSLOCP00000007959
fgenesh2_pg.scaffold_438000005	ENSLOCP00000009063
fgenesh2_pg.scaffold_438000005	ENSLOCP00000016844
fgenesh2_pg.scaffold_438000005	ENSLOCP00000013230
fgenesh2_pg.scaffold_438000009	ENSLOCP00000009569
fgenesh2_pg.scaffold_438000009	ENSLOCP00000013243
fgenesh2_pg.scaffold_438000019	ENSLOCP00000001431
fgenesh2_pg.scaffold_438000028	ENSLOCP00000020737
fgenesh2_pg.scaffold_438000033	ENSLOCP00000018859
fgenesh2_pg.scaffold_439000005	ENSLOCP00000003939
fgenesh2_pg.scaffold_439000020	ENSLOCP00000002791
fgenesh2_pg.scaffold_439000020	ENSLOCP00000004994
fgenesh2_pg.scaffold_439000027	ENSLOCP00000012458
fgenesh2_pg.scaffold_440000010	ENSLOCP00000001271
fgenesh2_pg.scaffold_442000010	ENSLOCP00000017713
fgenesh2_pg.scaffold_443000004	ENSLOCP00000003184
fgenesh2_pg.scaffold_443000016	ENSLOCP00000003082
fgenesh2_pg.scaffold_445000011	ENSLOCP00000016137
fgenesh2_pg.scaffold_446000002	ENSLOCP00000002704
fgenesh2_pg.scaffold_446000002	ENSLOCP00000018357
fgenesh2_pg.scaffold_446000010	ENSLOCP00000019328
fgenesh2_pg.scaffold_446000018	ENSLOCP00000011017
fgenesh2_pg.scaffold_447000005	ENSLOCP00000011179
fgenesh2_pg.scaffold_447000006	ENSLOCP00000004253
fgenesh2_pg.scaffold_447000013	ENSLOCP00000018385
fgenesh2_pg.scaffold_450000016	ENSLOCP00000017601
fgenesh2_pg.scaffold_450000016	ENSLOCP00000016972
fgenesh2_pg.scaffold_450000017	ENSLOCP00000016833
fgenesh2_pg.scaffold_450000022	ENSLOCP00000013933
fgenesh2_pg.scaffold_450000023	ENSLOCP00000006137
fgenesh2_pg.scaffold_451000018	ENSLOCP00000005515
fgenesh2_pg.scaffold_451000018	ENSLOCP00000019225
fgenesh2_pg.scaffold_452000028	ENSLOCP00000010722
fgenesh2_pg.scaffold_452000028	ENSLOCP00000005954
fgenesh2_pg.scaffold_452000036	ENSLOCP00000004830
fgenesh2_pg.scaffold_452000039	ENSLOCP00000005926
fgenesh2_pg.scaffold_454000007	ENSLOCP00000007560
fgenesh2_pg.scaffold_454000010	ENSLOCP00000015818
fgenesh2_pg.scaffold_454000014	ENSLOCP00000018549
fgenesh2_pg.scaffold_455000014	ENSLOCP00000006109
fgenesh2_pg.scaffold_458000006	ENSLOCP00000010951
fgenesh2_pg.scaffold_458000006	ENSLOCP00000008413
fgenesh2_pg.scaffold_458000013	ENSLOCP00000007459
fgenesh2_pg.scaffold_458000014	ENSLOCP00000010684
fgenesh2_pg.scaffold_458000015	ENSLOCP00000022263
fgenesh2_pg.scaffold_458000016	ENSLOCP00000003377
fgenesh2_pg.scaffold_458000023	ENSLOCP00000003727
fgenesh2_pg.scaffold_458000024	ENSLOCP00000008517
fgenesh2_pg.scaffold_458000024	ENSLOCP00000007002
fgenesh2_pg.scaffold_459000002	ENSLOCP00000007484
fgenesh2_pg.scaffold_459000008	ENSLOCP00000005078
fgenesh2_pg.scaffold_459000012	ENSLOCP00000003008
fgenesh2_pg.scaffold_459000031	ENSLOCP00000010604
fgenesh2_pg.scaffold_459000034	ENSLOCP00000021947
fgenesh2_pg.scaffold_460000014	ENSLOCP00000011419
fgenesh2_pg.scaffold_460000024	ENSLOCP00000021536
fgenesh2_pg.scaffold_461000003	ENSLOCP00000020764
fgenesh2_pg.scaffold_463000018	ENSLOCP00000019705
fgenesh2_pg.scaffold_463000032	ENSLOCP00000015699
fgenesh2_pg.scaffold_463000045	ENSLOCP00000015682
fgenesh2_pg.scaffold_463000051	ENSLOCP00000009636
fgenesh2_pg.scaffold_463000052	ENSLOCP00000005787
fgenesh2_pg.scaffold_464000003	ENSLOCP00000006151
fgenesh2_pg.scaffold_465000025	ENSLOCP00000009939
fgenesh2_pg.scaffold_466000008	ENSLOCP00000012494
fgenesh2_pg.scaffold_466000032	ENSLOCP00000004242
fgenesh2_pg.scaffold_466000032	ENSLOCP00000016565
fgenesh2_pg.scaffold_467000017	ENSLOCP00000006837
fgenesh2_pg.scaffold_468000007	ENSLOCP00000018984
fgenesh2_pg.scaffold_468000008	ENSLOCP00000006822
fgenesh2_pg.scaffold_468000016	ENSLOCP00000010540
fgenesh2_pg.scaffold_468000019	ENSLOCP00000010863
fgenesh2_pg.scaffold_470000027	ENSLOCP00000001476
fgenesh2_pg.scaffold_471000021	ENSLOCP00000010216
fgenesh2_pg.scaffold_472000003	ENSLOCP00000022088
fgenesh2_pg.scaffold_472000004	ENSLOCP00000006448
fgenesh2_pg.scaffold_473000004	ENSLOCP00000020297
fgenesh2_pg.scaffold_473000005	ENSLOCP00000000452
fgenesh2_pg.scaffold_473000017	ENSLOCP00000019397
fgenesh2_pg.scaffold_474000017	ENSLOCP00000015448
fgenesh2_pg.scaffold_475000016	ENSLOCP00000003650
fgenesh2_pg.scaffold_476000015	ENSLOCP00000004995
fgenesh2_pg.scaffold_476000017	ENSLOCP00000003888
fgenesh2_pg.scaffold_476000020	ENSLOCP00000009703
fgenesh2_pg.scaffold_478000027	ENSLOCP00000000900
fgenesh2_pg.scaffold_479000021	ENSLOCP00000007953
fgenesh2_pg.scaffold_479000027	ENSLOCP00000006717
fgenesh2_pg.scaffold_480000011	ENSLOCP00000021530
fgenesh2_pg.scaffold_481000007	ENSLOCP00000012534
fgenesh2_pg.scaffold_481000007	ENSLOCP00000016466
fgenesh2_pg.scaffold_482000017	ENSLOCP00000020209
fgenesh2_pg.scaffold_482000025	ENSLOCP00000021973
fgenesh2_pg.scaffold_484000006	ENSLOCP00000003751
fgenesh2_pg.scaffold_484000012	ENSLOCP00000015598
fgenesh2_pg.scaffold_484000017	ENSLOCP00000011120
fgenesh2_pg.scaffold_484000027	ENSLOCP00000008926
fgenesh2_pg.scaffold_484000031	ENSLOCP00000013385
fgenesh2_pg.scaffold_486000005	ENSLOCP00000019256
fgenesh2_pg.scaffold_486000033	ENSLOCP00000009115
fgenesh2_pg.scaffold_488000010	ENSLOCP00000006344
fgenesh2_pg.scaffold_488000010	ENSLOCP00000016825
fgenesh2_pg.scaffold_489000005	ENSLOCP00000006408
fgenesh2_pg.scaffold_489000007	ENSLOCP00000012395
fgenesh2_pg.scaffold_489000009	ENSLOCP00000008321
fgenesh2_pg.scaffold_489000013	ENSLOCP00000020955
fgenesh2_pg.scaffold_489000019	ENSLOCP00000008726
fgenesh2_pg.scaffold_489000023	ENSLOCP00000009707
fgenesh2_pg.scaffold_490000007	ENSLOCP00000017786
fgenesh2_pg.scaffold_491000016	ENSLOCP00000016529
fgenesh2_pg.scaffold_493000013	ENSLOCP00000014212
fgenesh2_pg.scaffold_493000035	ENSLOCP00000017669
fgenesh2_pg.scaffold_494000012	ENSLOCP00000020177
fgenesh2_pg.scaffold_495000015	ENSLOCP00000014044
fgenesh2_pg.scaffold_495000015	ENSLOCP00000011129
fgenesh2_pg.scaffold_497000007	ENSLOCP00000006654
fgenesh2_pg.scaffold_498000008	ENSLOCP00000016922
fgenesh2_pg.scaffold_499000007	ENSLOCP00000002888
fgenesh2_pg.scaffold_499000014	ENSLOCP00000009039
fgenesh2_pg.scaffold_499000014	ENSLOCP00000016136
fgenesh2_pg.scaffold_501000002	ENSLOCP00000021078
fgenesh2_pg.scaffold_503000004	ENSLOCP00000022017
fgenesh2_pg.scaffold_503000005	ENSLOCP00000018844
fgenesh2_pg.scaffold_503000011	ENSLOCP00000020286
fgenesh2_pg.scaffold_504000008	ENSLOCP00000006545
fgenesh2_pg.scaffold_504000024	ENSLOCP00000007641
fgenesh2_pg.scaffold_505000006	ENSLOCP00000022123
fgenesh2_pg.scaffold_505000009	ENSLOCP00000021245
fgenesh2_pg.scaffold_505000014	ENSLOCP00000018021
fgenesh2_pg.scaffold_505000017	ENSLOCP00000001592
fgenesh2_pg.scaffold_505000023	ENSLOCP00000017441
fgenesh2_pg.scaffold_505000025	ENSLOCP00000019700
fgenesh2_pg.scaffold_508000013	ENSLOCP00000022304
fgenesh2_pg.scaffold_508000014	ENSLOCP00000011467
fgenesh2_pg.scaffold_508000037	ENSLOCP00000019483
fgenesh2_pg.scaffold_508000037	ENSLOCP00000006550
fgenesh2_pg.scaffold_509000004	ENSLOCP00000021934
fgenesh2_pg.scaffold_509000004	ENSLOCP00000021667
fgenesh2_pg.scaffold_509000004	ENSLOCP00000022251
fgenesh2_pg.scaffold_509000015	ENSLOCP00000018338
fgenesh2_pg.scaffold_510000011	ENSLOCP00000005537
fgenesh2_pg.scaffold_511000009	ENSLOCP00000014629
fgenesh2_pg.scaffold_512000023	ENSLOCP00000003396
fgenesh2_pg.scaffold_512000037	ENSLOCP00000015957
fgenesh2_pg.scaffold_513000013	ENSLOCP00000000996
fgenesh2_pg.scaffold_514000033	ENSLOCP00000003755
fgenesh2_pg.scaffold_515000012	ENSLOCP00000016155
fgenesh2_pg.scaffold_515000013	ENSLOCP00000005649
fgenesh2_pg.scaffold_515000017	ENSLOCP00000010494
fgenesh2_pg.scaffold_515000023	ENSLOCP00000002983
fgenesh2_pg.scaffold_517000019	ENSLOCP00000008620
fgenesh2_pg.scaffold_517000028	ENSLOCP00000013193
fgenesh2_pg.scaffold_518000005	ENSLOCP00000016334
fgenesh2_pg.scaffold_518000005	ENSLOCP00000013862
fgenesh2_pg.scaffold_518000008	ENSLOCP00000014905
fgenesh2_pg.scaffold_520000004	ENSLOCP00000012773
fgenesh2_pg.scaffold_523000003	ENSLOCP00000018278
fgenesh2_pg.scaffold_523000021	ENSLOCP00000002237
fgenesh2_pg.scaffold_523000028	ENSLOCP00000020920
fgenesh2_pg.scaffold_525000004	ENSLOCP00000013568
fgenesh2_pg.scaffold_525000005	ENSLOCP00000000603
fgenesh2_pg.scaffold_525000006	ENSLOCP00000001525
fgenesh2_pg.scaffold_525000008	ENSLOCP00000004526
fgenesh2_pg.scaffold_526000017	ENSLOCP00000010656
fgenesh2_pg.scaffold_527000023	ENSLOCP00000020777
fgenesh2_pg.scaffold_528000016	ENSLOCP00000008829
fgenesh2_pg.scaffold_529000002	ENSLOCP00000013241
fgenesh2_pg.scaffold_530000010	ENSLOCP00000019474
fgenesh2_pg.scaffold_530000022	ENSLOCP00000000117
fgenesh2_pg.scaffold_530000026	ENSLOCP00000001702
fgenesh2_pg.scaffold_530000026	ENSLOCP00000004988
fgenesh2_pg.scaffold_531000012	ENSLOCP00000010952
fgenesh2_pg.scaffold_532000007	ENSLOCP00000000502
fgenesh2_pg.scaffold_532000027	ENSLOCP00000003525
fgenesh2_pg.scaffold_534000029	ENSLOCP00000006860
fgenesh2_pg.scaffold_538000002	ENSLOCP00000007438
fgenesh2_pg.scaffold_538000020	ENSLOCP00000001190
fgenesh2_pg.scaffold_539000018	ENSLOCP00000021467
fgenesh2_pg.scaffold_541000005	ENSLOCP00000003088
fgenesh2_pg.scaffold_541000006	ENSLOCP00000006205
fgenesh2_pg.scaffold_542000011	ENSLOCP00000020519
fgenesh2_pg.scaffold_544000022	ENSLOCP00000018034
fgenesh2_pg.scaffold_546000001	ENSLOCP00000021415
fgenesh2_pg.scaffold_546000014	ENSLOCP00000019703
fgenesh2_pg.scaffold_546000024	ENSLOCP00000022208
fgenesh2_pg.scaffold_547000013	ENSLOCP00000010139
fgenesh2_pg.scaffold_550000002	ENSLOCP00000002961
fgenesh2_pg.scaffold_550000014	ENSLOCP00000015453
fgenesh2_pg.scaffold_550000018	ENSLOCP00000016744
fgenesh2_pg.scaffold_550000018	ENSLOCP00000009635
fgenesh2_pg.scaffold_551000018	ENSLOCP00000017869
fgenesh2_pg.scaffold_551000019	ENSLOCP00000006005
fgenesh2_pg.scaffold_553000036	ENSLOCP00000003126
fgenesh2_pg.scaffold_554000005	ENSLOCP00000020808
fgenesh2_pg.scaffold_554000005	ENSLOCP00000003350
fgenesh2_pg.scaffold_555000013	ENSLOCP00000016902
fgenesh2_pg.scaffold_555000018	ENSLOCP00000009509
fgenesh2_pg.scaffold_558000021	ENSLOCP00000001624
fgenesh2_pg.scaffold_558000021	ENSLOCP00000007747
fgenesh2_pg.scaffold_560000005	ENSLOCP00000005942
fgenesh2_pg.scaffold_560000010	ENSLOCP00000000973
fgenesh2_pg.scaffold_560000014	ENSLOCP00000006940
fgenesh2_pg.scaffold_561000002	ENSLOCP00000008472
fgenesh2_pg.scaffold_561000009	ENSLOCP00000005056
fgenesh2_pg.scaffold_561000009	ENSLOCP00000003946
fgenesh2_pg.scaffold_562000005	ENSLOCP00000005406
fgenesh2_pg.scaffold_562000008	ENSLOCP00000019283
fgenesh2_pg.scaffold_562000012	ENSLOCP00000013246
fgenesh2_pg.scaffold_562000014	ENSLOCP00000014369
fgenesh2_pg.scaffold_562000024	ENSLOCP00000011056
fgenesh2_pg.scaffold_563000015	ENSLOCP00000008483
fgenesh2_pg.scaffold_565000001	ENSLOCP00000005008
fgenesh2_pg.scaffold_565000007	ENSLOCP00000016720
fgenesh2_pg.scaffold_565000009	ENSLOCP00000020478
fgenesh2_pg.scaffold_565000027	ENSLOCP00000013358
fgenesh2_pg.scaffold_567000003	ENSLOCP00000004726
