SINCAM000003	ENSGACP00000025229
SINCAM000398	ENSGACP00000016593
SINCAM000399	ENSGACP00000021616
SINCAM000403	ENSGACP00000021524
SINCAM000404	ENSGACP00000022821
SINCAM000404	ENSGACP00000021517
SINCAM000408	ENSGACP00000018583
SINCAM000409	ENSGACP00000024156
SINCAM000409	ENSGACP00000000688
SINCAM000413	ENSGACP00000018158
SINCAM000415	ENSGACP00000020723
SINCAM000416	ENSGACP00000020713
SINCAM000416	ENSGACP00000002651
SINCAM000417	ENSGACP00000023926
SINCAM000417	ENSGACP00000022348
SINCAM000418	ENSGACP00000020706
SINCAM000421	ENSGACP00000026439
SINCAM000423	ENSGACP00000020697
SINCAM000425	ENSGACP00000020678
SINCAM000425	ENSGACP00000023937
SINCAM000426	ENSGACP00000017980
SINCAM000427	ENSGACP00000025912
SINCAM000428	ENSGACP00000025927
SINCAM000428	ENSGACP00000023942
SINCAM000430	ENSGACP00000012039
SINCAM000433	ENSGACP00000021618
SINCAM000434	ENSGACP00000021621
SINCAM000434	ENSGACP00000014263
SINCAM000435	ENSGACP00000024369
SINCAM000435	ENSGACP00000014267
SINCAM000436	ENSGACP00000024367
SINCAM000436	ENSGACP00000014284
SINCAM000437	ENSGACP00000009627
SINCAM000437	ENSGACP00000004471
SINCAM000438	ENSGACP00000017969
SINCAM000438	ENSGACP00000024004
SINCAM000439	ENSGACP00000018443
SINCAM000441	ENSGACP00000018557
SINCAM000441	ENSGACP00000018541
SINCAM000442	ENSGACP00000006534
SINCAM000443	ENSGACP00000021984
SINCAM000443	ENSGACP00000022508
SINCAM000444	ENSGACP00000021977
SINCAM000444	ENSGACP00000022500
SINCAM000445	ENSGACP00000021973
SINCAM000446	ENSGACP00000021970
SINCAM000447	ENSGACP00000022496
SINCAM000447	ENSGACP00000006344
SINCAM000448	ENSGACP00000022492
SINCAM000449	ENSGACP00000021385
SINCAM000451	ENSGACP00000021383
SINCAM000452	ENSGACP00000021376
SINCAM000453	ENSGACP00000021375
SINCAM000454	ENSGACP00000009898
SINCAM000454	ENSGACP00000013253
SINCAM000457	ENSGACP00000003501
SINCAM000458	ENSGACP00000009690
SINCAM000459	ENSGACP00000025838
SINCAM000460	ENSGACP00000023570
SINCAM000460	ENSGACP00000025861
SINCAM000464	ENSGACP00000023573
SINCAM000466	ENSGACP00000024297
SINCAM000466	ENSGACP00000025021
SINCAM000468	ENSGACP00000001255
SINCAM000470	ENSGACP00000018686
SINCAM000471	ENSGACP00000021060
SINCAM000472	ENSGACP00000015068
SINCAM000473	ENSGACP00000020967
SINCAM000473	ENSGACP00000000032
SINCAM000474	ENSGACP00000025503
SINCAM000474	ENSGACP00000004702
SINCAM000475	ENSGACP00000025509
SINCAM000475	ENSGACP00000025507
SINCAM000476	ENSGACP00000025510
SINCAM000476	ENSGACP00000021172
SINCAM000477	ENSGACP00000010275
SINCAM000477	ENSGACP00000027652
SINCAM000478	ENSGACP00000025514
SINCAM000479	ENSGACP00000025516
SINCAM000479	ENSGACP00000010914
SINCAM000481	ENSGACP00000025518
SINCAM000483	ENSGACP00000021282
SINCAM000484	ENSGACP00000021285
SINCAM000485	ENSGACP00000023718
SINCAM000489	ENSGACP00000021303
SINCAM000489	ENSGACP00000004752
SINCAM000490	ENSGACP00000021309
SINCAM000492	ENSGACP00000021321
SINCAM000493	ENSGACP00000021344
SINCAM000494	ENSGACP00000015539
SINCAM000496	ENSGACP00000023713
SINCAM000496	ENSGACP00000021357
SINCAM000497	ENSGACP00000021361
SINCAM000497	ENSGACP00000027173
SINCAM000498	ENSGACP00000015209
SINCAM000498	ENSGACP00000021364
SINCAM000499	ENSGACP00000021365
SINCAM000500	ENSGACP00000023703
SINCAM000500	ENSGACP00000015095
SINCAM000501	ENSGACP00000021405
SINCAM000501	ENSGACP00000000488
SINCAM000502	ENSGACP00000021398
SINCAM000504	ENSGACP00000021393
SINCAM000504	ENSGACP00000023701
SINCAM000506	ENSGACP00000022615
SINCAM000507	ENSGACP00000022032
SINCAM000507	ENSGACP00000022620
SINCAM000508	ENSGACP00000022029
SINCAM000508	ENSGACP00000010326
SINCAM000509	ENSGACP00000022025
SINCAM000510	ENSGACP00000023191
SINCAM000511	ENSGACP00000023160
SINCAM000513	ENSGACP00000023184
SINCAM000513	ENSGACP00000004162
SINCAM000514	ENSGACP00000023188
SINCAM000516	ENSGACP00000026611
SINCAM000516	ENSGACP00000018192
SINCAM000517	ENSGACP00000027422
SINCAM000518	ENSGACP00000024732
SINCAM000521	ENSGACP00000017396
SINCAM000522	ENSGACP00000018165
SINCAM000522	ENSGACP00000017404
SINCAM000525	ENSGACP00000000394
SINCAM000527	ENSGACP00000000401
SINCAM000527	ENSGACP00000018154
SINCAM000531	ENSGACP00000018695
SINCAM000533	ENSGACP00000018705
SINCAM000535	ENSGACP00000018736
SINCAM000535	ENSGACP00000018713
SINCAM000536	ENSGACP00000021054
SINCAM000540	ENSGACP00000018752
SINCAM000541	ENSGACP00000018764
SINCAM000542	ENSGACP00000018775
SINCAM000543	ENSGACP00000018782
SINCAM000544	ENSGACP00000018790
SINCAM000546	ENSGACP00000021043
SINCAM000548	ENSGACP00000018815
SINCAM000549	ENSGACP00000021047
SINCAM000549	ENSGACP00000022601
SINCAM000550	ENSGACP00000018822
SINCAM000553	ENSGACP00000018844
SINCAM000553	ENSGACP00000011456
SINCAM000554	ENSGACP00000024222
SINCAM000554	ENSGACP00000018862
SINCAM000555	ENSGACP00000018864
SINCAM000556	ENSGACP00000018880
SINCAM000558	ENSGACP00000018898
SINCAM000559	ENSGACP00000018901
SINCAM000560	ENSGACP00000018903
SINCAM000561	ENSGACP00000018906
SINCAM000561	ENSGACP00000024769
SINCAM000562	ENSGACP00000018913
SINCAM000564	ENSGACP00000001613
SINCAM000565	ENSGACP00000023839
SINCAM000565	ENSGACP00000024768
SINCAM000566	ENSGACP00000015221
SINCAM000567	ENSGACP00000023829
SINCAM000569	ENSGACP00000024562
SINCAM000569	ENSGACP00000027520
SINCAM000571	ENSGACP00000024604
SINCAM000571	ENSGACP00000024090
SINCAM000572	ENSGACP00000024657
SINCAM000572	ENSGACP00000024601
SINCAM000573	ENSGACP00000003442
SINCAM000573	ENSGACP00000024598
SINCAM000574	ENSGACP00000024594
SINCAM000574	ENSGACP00000027531
SINCAM000575	ENSGACP00000024671
SINCAM000576	ENSGACP00000024591
SINCAM000576	ENSGACP00000021747
SINCAM000577	ENSGACP00000024588
SINCAM000577	ENSGACP00000027245
SINCAM000578	ENSGACP00000024586
SINCAM000579	ENSGACP00000024583
SINCAM000579	ENSGACP00000021734
SINCAM000580	ENSGACP00000011434
SINCAM000582	ENSGACP00000022389
SINCAM000585	ENSGACP00000014805
SINCAM000586	ENSGACP00000022303
SINCAM000586	ENSGACP00000027230
SINCAM000587	ENSGACP00000022296
SINCAM000587	ENSGACP00000022216
SINCAM000590	ENSGACP00000022288
SINCAM000590	ENSGACP00000009464
SINCAM000591	ENSGACP00000022285
SINCAM000591	ENSGACP00000027137
SINCAM000592	ENSGACP00000022280
SINCAM000592	ENSGACP00000004250
SINCAM000594	ENSGACP00000023473
SINCAM000594	ENSGACP00000026327
SINCAM000596	ENSGACP00000025969
SINCAM000597	ENSGACP00000023465
SINCAM000598	ENSGACP00000023430
SINCAM000600	ENSGACP00000023401
SINCAM000602	ENSGACP00000023337
SINCAM000603	ENSGACP00000024812
SINCAM000603	ENSGACP00000024816
SINCAM000604	ENSGACP00000024805
SINCAM000604	ENSGACP00000027604
SINCAM000605	ENSGACP00000025897
SINCAM000610	ENSGACP00000027600
SINCAM000612	ENSGACP00000025398
SINCAM000613	ENSGACP00000001111
SINCAM000613	ENSGACP00000019202
SINCAM000614	ENSGACP00000001097
SINCAM000614	ENSGACP00000012113
SINCAM000615	ENSGACP00000023051
SINCAM000617	ENSGACP00000021657
SINCAM000618	ENSGACP00000021649
SINCAM000618	ENSGACP00000021828
SINCAM000621	ENSGACP00000021845
SINCAM000622	ENSGACP00000021851
SINCAM000624	ENSGACP00000021687
SINCAM000629	ENSGACP00000021777
SINCAM000631	ENSGACP00000021788
SINCAM000631	ENSGACP00000021451
SINCAM000632	ENSGACP00000021438
SINCAM000634	ENSGACP00000021783
SINCAM000634	ENSGACP00000001897
SINCAM000637	ENSGACP00000021671
SINCAM000638	ENSGACP00000021674
SINCAM000638	ENSGACP00000027521
SINCAM000640	ENSGACP00000027522
SINCAM000642	ENSGACP00000021701
SINCAM000645	ENSGACP00000025211
SINCAM000647	ENSGACP00000021187
SINCAM000648	ENSGACP00000025182
SINCAM000648	ENSGACP00000024797
SINCAM000649	ENSGACP00000018610
SINCAM000650	ENSGACP00000018620
SINCAM000653	ENSGACP00000024279
SINCAM000655	ENSGACP00000025669
SINCAM000655	ENSGACP00000024275
SINCAM000656	ENSGACP00000024271
SINCAM000656	ENSGACP00000025675
SINCAM000657	ENSGACP00000024267
SINCAM000660	ENSGACP00000021834
SINCAM000661	ENSGACP00000018167
SINCAM000662	ENSGACP00000021826
SINCAM000664	ENSGACP00000023639
SINCAM000665	ENSGACP00000022234
SINCAM000666	ENSGACP00000022232
SINCAM000666	ENSGACP00000015971
SINCAM000668	ENSGACP00000021395
SINCAM000670	ENSGACP00000010944
SINCAM000671	ENSGACP00000023250
SINCAM000672	ENSGACP00000023241
SINCAM000672	ENSGACP00000024228
SINCAM000674	ENSGACP00000025305
SINCAM000677	ENSGACP00000025293
SINCAM000678	ENSGACP00000024368
SINCAM000678	ENSGACP00000006573
SINCAM000679	ENSGACP00000025290
SINCAM000682	ENSGACP00000025289
SINCAM000683	ENSGACP00000025220
SINCAM000685	ENSGACP00000010932
SINCAM000687	ENSGACP00000005998
SINCAM000689	ENSGACP00000010965
SINCAM000690	ENSGACP00000025851
SINCAM000691	ENSGACP00000025905
SINCAM000692	ENSGACP00000025900
SINCAM000692	ENSGACP00000025899
SINCAM000693	ENSGACP00000012786
SINCAM000694	ENSGACP00000025404
SINCAM000695	ENSGACP00000025403
SINCAM000696	ENSGACP00000021712
SINCAM000698	ENSGACP00000021696
SINCAM000698	ENSGACP00000023956
SINCAM000701	ENSGACP00000010953
SINCAM000701	ENSGACP00000021684
SINCAM000702	ENSGACP00000024837
SINCAM000704	ENSGACP00000024843
SINCAM000705	ENSGACP00000024849
SINCAM000706	ENSGACP00000025910
SINCAM000707	ENSGACP00000010926
SINCAM000710	ENSGACP00000010911
SINCAM000711	ENSGACP00000025852
SINCAM000711	ENSGACP00000005126
SINCAM000714	ENSGACP00000027501
SINCAM000714	ENSGACP00000011904
SINCAM000715	ENSGACP00000020188
SINCAM000716	ENSGACP00000008814
SINCAM000716	ENSGACP00000010628
SINCAM000717	ENSGACP00000008824
SINCAM000719	ENSGACP00000011937
SINCAM000719	ENSGACP00000003485
SINCAM000720	ENSGACP00000006456
SINCAM000722	ENSGACP00000023292
SINCAM000724	ENSGACP00000023745
SINCAM000725	ENSGACP00000005895
SINCAM000726	ENSGACP00000005836
SINCAM000729	ENSGACP00000024452
SINCAM000734	ENSGACP00000008704
SINCAM000735	ENSGACP00000008773
SINCAM000735	ENSGACP00000024459
SINCAM000737	ENSGACP00000006399
SINCAM000739	ENSGACP00000008795
SINCAM000739	ENSGACP00000005821
SINCAM000740	ENSGACP00000005943
SINCAM000741	ENSGACP00000005916
SINCAM000741	ENSGACP00000023141
SINCAM000748	ENSGACP00000010903
SINCAM000752	ENSGACP00000021335
SINCAM000753	ENSGACP00000022272
SINCAM000753	ENSGACP00000012623
SINCAM000754	ENSGACP00000020439
SINCAM000755	ENSGACP00000024708
SINCAM000756	ENSGACP00000005060
SINCAM000758	ENSGACP00000022045
SINCAM000758	ENSGACP00000005011
SINCAM000759	ENSGACP00000022041
SINCAM000763	ENSGACP00000026262
SINCAM000764	ENSGACP00000026257
SINCAM000764	ENSGACP00000010297
SINCAM000765	ENSGACP00000026256
SINCAM000771	ENSGACP00000024462
SINCAM000771	ENSGACP00000008803
SINCAM000773	ENSGACP00000006445
SINCAM000773	ENSGACP00000023154
SINCAM000775	ENSGACP00000006412
SINCAM000776	ENSGACP00000023152
SINCAM000780	ENSGACP00000025247
SINCAM000785	ENSGACP00000006505
SINCAM000785	ENSGACP00000023376
SINCAM000788	ENSGACP00000006531
SINCAM000789	ENSGACP00000021627
SINCAM000790	ENSGACP00000026029
SINCAM000790	ENSGACP00000027321
SINCAM000791	ENSGACP00000026018
SINCAM000795	ENSGACP00000022290
SINCAM000796	ENSGACP00000006649
SINCAM000797	ENSGACP00000024686
SINCAM000797	ENSGACP00000022279
SINCAM000798	ENSGACP00000023688
SINCAM000799	ENSGACP00000023683
SINCAM000799	ENSGACP00000003390
SINCAM000800	ENSGACP00000023672
SINCAM000801	ENSGACP00000024614
SINCAM000804	ENSGACP00000024597
SINCAM000805	ENSGACP00000024590
SINCAM000805	ENSGACP00000021582
SINCAM000806	ENSGACP00000022171
SINCAM000807	ENSGACP00000022168
SINCAM000808	ENSGACP00000017591
SINCAM000810	ENSGACP00000022301
SINCAM000811	ENSGACP00000006771
SINCAM000812	ENSGACP00000023412
SINCAM000813	ENSGACP00000020970
SINCAM000813	ENSGACP00000025733
SINCAM000814	ENSGACP00000020984
SINCAM000815	ENSGACP00000021545
SINCAM000815	ENSGACP00000003153
SINCAM000816	ENSGACP00000022107
SINCAM000818	ENSGACP00000021854
SINCAM000819	ENSGACP00000018145
SINCAM000822	ENSGACP00000022937
SINCAM000826	ENSGACP00000019104
SINCAM000826	ENSGACP00000020936
SINCAM000827	ENSGACP00000023424
SINCAM000828	ENSGACP00000016973
SINCAM000828	ENSGACP00000023435
SINCAM000831	ENSGACP00000023181
SINCAM000831	ENSGACP00000011516
SINCAM000832	ENSGACP00000023189
SINCAM000832	ENSGACP00000010330
SINCAM000834	ENSGACP00000021562
SINCAM000835	ENSGACP00000024715
SINCAM000837	ENSGACP00000023316
SINCAM000837	ENSGACP00000019210
SINCAM000838	ENSGACP00000023296
SINCAM000840	ENSGACP00000021461
SINCAM000843	ENSGACP00000017409
SINCAM000846	ENSGACP00000022891
SINCAM000846	ENSGACP00000024574
SINCAM000847	ENSGACP00000023176
SINCAM000847	ENSGACP00000023179
SINCAM000849	ENSGACP00000019098
SINCAM000849	ENSGACP00000018024
SINCAM000852	ENSGACP00000019054
SINCAM000854	ENSGACP00000019076
SINCAM000855	ENSGACP00000006210
SINCAM000861	ENSGACP00000014249
SINCAM000861	ENSGACP00000021774
SINCAM000863	ENSGACP00000021237
SINCAM000864	ENSGACP00000023436
SINCAM000865	ENSGACP00000022995
SINCAM000865	ENSGACP00000000475
SINCAM000866	ENSGACP00000023005
SINCAM000866	ENSGACP00000020852
SINCAM000867	ENSGACP00000023026
SINCAM000867	ENSGACP00000000472
SINCAM000874	ENSGACP00000020996
SINCAM000874	ENSGACP00000004169
SINCAM000875	ENSGACP00000000741
SINCAM000876	ENSGACP00000022941
SINCAM000877	ENSGACP00000025097
SINCAM000877	ENSGACP00000016438
SINCAM000879	ENSGACP00000024323
SINCAM000881	ENSGACP00000024319
SINCAM000881	ENSGACP00000023418
SINCAM000882	ENSGACP00000024315
SINCAM000882	ENSGACP00000023421
SINCAM000883	ENSGACP00000021862
SINCAM000883	ENSGACP00000016017
SINCAM000889	ENSGACP00000021508
SINCAM000889	ENSGACP00000023826
SINCAM000893	ENSGACP00000027001
SINCAM000894	ENSGACP00000023529
SINCAM000895	ENSGACP00000023525
SINCAM000896	ENSGACP00000023511
SINCAM000896	ENSGACP00000017734
SINCAM000897	ENSGACP00000017715
SINCAM000897	ENSGACP00000025704
SINCAM000898	ENSGACP00000023507
SINCAM000899	ENSGACP00000025329
SINCAM000899	ENSGACP00000007791
SINCAM000902	ENSGACP00000025817
SINCAM000902	ENSGACP00000021013
SINCAM000905	ENSGACP00000018143
SINCAM000910	ENSGACP00000022228
SINCAM000911	ENSGACP00000022215
SINCAM000912	ENSGACP00000024104
SINCAM000913	ENSGACP00000024106
SINCAM000914	ENSGACP00000022939
SINCAM000914	ENSGACP00000000743
SINCAM000916	ENSGACP00000022207
SINCAM000918	ENSGACP00000025795
SINCAM000918	ENSGACP00000021010
SINCAM000919	ENSGACP00000025775
SINCAM000920	ENSGACP00000021018
