ENSMODP00000000002	SINCAM921321
ENSMODP00000000322	SINCAM006353
ENSMODP00000000325	SINCAM008418
ENSMODP00000000328	SINCAM921848
ENSMODP00000000330	SINCAM014705
ENSMODP00000000331	SINCAM007943
ENSMODP00000000334	SINCAM004663
ENSMODP00000000337	SINCAM921571
ENSMODP00000000341	SINCAM005350
ENSMODP00000000344	SINCAM006714
ENSMODP00000000347	SINCAM921847
ENSMODP00000000348	SINCAM005349
ENSMODP00000000351	SINCAM008417
ENSMODP00000000352	SINCAM920873
ENSMODP00000000353	SINCAM005347
ENSMODP00000000356	SINCAM921683
ENSMODP00000000366	SINCAM007454
ENSMODP00000000370	SINCAM005346
ENSMODP00000000371	SINCAM922523
ENSMODP00000000374	SINCAM008401
ENSMODP00000000376	SINCAM001968
ENSMODP00000000378	SINCAM011864
ENSMODP00000000381	SINCAM004629
ENSMODP00000000383	SINCAM003848
ENSMODP00000000384	SINCAM000312
ENSMODP00000000387	SINCAM007071
ENSMODP00000000388	SINCAM004967
ENSMODP00000000389	SINCAM006350
ENSMODP00000000391	SINCAM000471
ENSMODP00000000392	SINCAM012248
ENSMODP00000000393	SINCAM008406
ENSMODP00000000396	SINCAM007729
ENSMODP00000000399	SINCAM000313
ENSMODP00000000402	SINCAM003847
ENSMODP00000000404	SINCAM001969
ENSMODP00000000405	SINCAM003846
ENSMODP00000000406	SINCAM012381
ENSMODP00000000408	SINCAM005315
ENSMODP00000000410	SINCAM921402
ENSMODP00000000415	SINCAM012332
ENSMODP00000000417	SINCAM003845
ENSMODP00000000418	SINCAM007056
ENSMODP00000000421	SINCAM006437
ENSMODP00000000424	SINCAM005345
ENSMODP00000000425	SINCAM007055
ENSMODP00000000427	SINCAM005312
ENSMODP00000000429	SINCAM004664
ENSMODP00000000430	SINCAM001809
ENSMODP00000000431	SINCAM921846
ENSMODP00000000434	SINCAM000470
ENSMODP00000000437	SINCAM012249
ENSMODP00000000440	SINCAM012317
ENSMODP00000000443	SINCAM004137
ENSMODP00000000448	SINCAM011766
ENSMODP00000000449	SINCAM921401
ENSMODP00000000450	SINCAM003844
ENSMODP00000000451	SINCAM006964
ENSMODP00000000452	SINCAM920890
ENSMODP00000000458	SINCAM921553
ENSMODP00000000462	SINCAM921361
ENSMODP00000000465	SINCAM002142
ENSMODP00000000466	SINCAM000468
ENSMODP00000000470	SINCAM000314
ENSMODP00000000471	SINCAM003842
ENSMODP00000000472	SINCAM006435
ENSMODP00000000474	SINCAM012251
ENSMODP00000000478	SINCAM006434
ENSMODP00000000479	SINCAM001810
ENSMODP00000000481	SINCAM920888
ENSMODP00000000483	SINCAM000466
ENSMODP00000000485	SINCAM922383
ENSMODP00000000486	SINCAM003841
ENSMODP00000000488	SINCAM920886
ENSMODP00000000501	SINCAM006432
ENSMODP00000000503	SINCAM920884
ENSMODP00000000506	SINCAM920495
ENSMODP00000000510	SINCAM007053
ENSMODP00000000511	SINCAM011852
ENSMODP00000000516	SINCAM006431
ENSMODP00000000517	SINCAM000207
ENSMODP00000000519	SINCAM002108
ENSMODP00000000521	SINCAM000209
ENSMODP00000000525	SINCAM012041
ENSMODP00000000527	SINCAM012316
ENSMODP00000000528	SINCAM001970
ENSMODP00000000529	SINCAM011562
ENSMODP00000000531	SINCAM004963
ENSMODP00000000533	SINCAM001971
ENSMODP00000000535	SINCAM005343
ENSMODP00000000537	SINCAM014085
ENSMODP00000000538	SINCAM004962
ENSMODP00000000540	SINCAM003840
ENSMODP00000000541	SINCAM012043
ENSMODP00000000542	SINCAM014117
ENSMODP00000000543	SINCAM006429
ENSMODP00000000544	SINCAM920494
ENSMODP00000000546	SINCAM012254
ENSMODP00000000550	SINCAM005046
ENSMODP00000000552	SINCAM001972
ENSMODP00000000554	SINCAM000210
ENSMODP00000000558	SINCAM005045
ENSMODP00000000559	SINCAM920493
ENSMODP00000000561	SINCAM001975
ENSMODP00000000562	SINCAM000464
ENSMODP00000000563	SINCAM015598
ENSMODP00000000564	SINCAM920754
ENSMODP00000000565	SINCAM004961
ENSMODP00000000567	SINCAM005044
ENSMODP00000000572	SINCAM001976
ENSMODP00000000574	SINCAM012360
ENSMODP00000000576	SINCAM004647
ENSMODP00000000578	SINCAM000211
ENSMODP00000000585	SINCAM922544
ENSMODP00000000586	SINCAM005043
ENSMODP00000000589	SINCAM922435
ENSMODP00000000591	SINCAM006428
ENSMODP00000000592	SINCAM005341
ENSMODP00000000593	SINCAM001022
ENSMODP00000000596	SINCAM001979
ENSMODP00000000598	SINCAM002134
ENSMODP00000000603	SINCAM002135
ENSMODP00000000604	SINCAM922517
ENSMODP00000000605	SINCAM001980
ENSMODP00000000606	SINCAM000214
ENSMODP00000000608	SINCAM001530
ENSMODP00000000609	SINCAM004646
ENSMODP00000000611	SINCAM005050
ENSMODP00000000612	SINCAM005342
ENSMODP00000000614	SINCAM922516
ENSMODP00000000617	SINCAM921213
ENSMODP00000000619	SINCAM000460
ENSMODP00000000621	SINCAM011120
ENSMODP00000000623	SINCAM000212
ENSMODP00000000625	SINCAM001981
ENSMODP00000000626	SINCAM000218
ENSMODP00000000629	SINCAM000216
ENSMODP00000000631	SINCAM922515
ENSMODP00000000633	SINCAM004959
ENSMODP00000000635	SINCAM008435
ENSMODP00000000638	SINCAM920840
ENSMODP00000000639	SINCAM005051
ENSMODP00000000640	SINCAM001020
ENSMODP00000000641	SINCAM006425
ENSMODP00000000643	SINCAM012049
ENSMODP00000000644	SINCAM008433
ENSMODP00000000645	SINCAM004644
ENSMODP00000000649	SINCAM016127
ENSMODP00000000650	SINCAM005339
ENSMODP00000000651	SINCAM920914
ENSMODP00000000655	SINCAM003958
ENSMODP00000000660	SINCAM012275
ENSMODP00000000661	SINCAM000217
ENSMODP00000000664	SINCAM000459
ENSMODP00000000668	SINCAM001982
ENSMODP00000000669	SINCAM004957
ENSMODP00000000670	SINCAM006424
ENSMODP00000000671	SINCAM000219
ENSMODP00000000672	SINCAM004320
ENSMODP00000000673	SINCAM014640
ENSMODP00000000674	SINCAM005052
ENSMODP00000000676	SINCAM012243
ENSMODP00000000677	SINCAM003959
ENSMODP00000000678	SINCAM007021
ENSMODP00000000679	SINCAM004955
ENSMODP00000000680	SINCAM001017
ENSMODP00000000681	SINCAM004317
ENSMODP00000000683	SINCAM005449
ENSMODP00000000684	SINCAM008393
ENSMODP00000000685	SINCAM012242
ENSMODP00000000687	SINCAM001983
ENSMODP00000000688	SINCAM012046
ENSMODP00000000690	SINCAM004318
ENSMODP00000000691	SINCAM008392
ENSMODP00000000692	SINCAM005448
ENSMODP00000000695	SINCAM004954
ENSMODP00000000696	SINCAM007188
ENSMODP00000000697	SINCAM012744
ENSMODP00000000698	SINCAM000220
ENSMODP00000000700	SINCAM002577
ENSMODP00000000704	SINCAM005496
ENSMODP00000000705	SINCAM015593
ENSMODP00000000714	SINCAM005337
ENSMODP00000000716	SINCAM001874
ENSMODP00000000717	SINCAM922189
ENSMODP00000000719	SINCAM001692
ENSMODP00000000720	SINCAM922444
ENSMODP00000000721	SINCAM001984
ENSMODP00000000725	SINCAM005053
ENSMODP00000000728	SINCAM004316
ENSMODP00000000732	SINCAM009523
ENSMODP00000000734	SINCAM006421
ENSMODP00000000735	SINCAM010882
ENSMODP00000000740	SINCAM005497
ENSMODP00000000746	SINCAM001693
ENSMODP00000000748	SINCAM921649
ENSMODP00000000751	SINCAM012045
ENSMODP00000000752	SINCAM012315
ENSMODP00000000754	SINCAM001788
ENSMODP00000000759	SINCAM922436
ENSMODP00000000760	SINCAM001785
ENSMODP00000000761	SINCAM007020
ENSMODP00000000763	SINCAM012751
ENSMODP00000000765	SINCAM000455
ENSMODP00000000766	SINCAM001987
ENSMODP00000000769	SINCAM005498
ENSMODP00000000770	SINCAM012304
ENSMODP00000000772	SINCAM012245
ENSMODP00000000774	SINCAM005054
ENSMODP00000000775	SINCAM003962
ENSMODP00000000776	SINCAM011133
ENSMODP00000000777	SINCAM002639
ENSMODP00000000779	SINCAM012244
ENSMODP00000000781	SINCAM016504
ENSMODP00000000784	SINCAM002165
ENSMODP00000000787	SINCAM921552
ENSMODP00000000789	SINCAM000221
ENSMODP00000000790	SINCAM007019
ENSMODP00000000791	SINCAM001786
ENSMODP00000000792	SINCAM012256
ENSMODP00000000793	SINCAM002641
ENSMODP00000000795	SINCAM012303
ENSMODP00000000796	SINCAM922776
ENSMODP00000000802	SINCAM000222
ENSMODP00000000804	SINCAM012300
ENSMODP00000000807	SINCAM012752
ENSMODP00000000808	SINCAM002642
ENSMODP00000000810	SINCAM003963
ENSMODP00000000812	SINCAM001802
ENSMODP00000000814	SINCAM008253
ENSMODP00000000816	SINCAM011863
ENSMODP00000000817	SINCAM012255
ENSMODP00000000823	SINCAM007018
ENSMODP00000000824	SINCAM005055
ENSMODP00000000827	SINCAM000223
ENSMODP00000000829	SINCAM006417
ENSMODP00000000831	SINCAM004314
ENSMODP00000000834	SINCAM014720
ENSMODP00000000835	SINCAM012753
ENSMODP00000000836	SINCAM015498
ENSMODP00000000838	SINCAM012301
ENSMODP00000000839	SINCAM004952
ENSMODP00000000841	SINCAM001798
ENSMODP00000000843	SINCAM006416
ENSMODP00000000845	SINCAM921232
ENSMODP00000000846	SINCAM012341
ENSMODP00000000848	SINCAM002643
ENSMODP00000000850	SINCAM013132
ENSMODP00000000853	SINCAM005056
ENSMODP00000000857	SINCAM005336
ENSMODP00000000860	SINCAM014718
ENSMODP00000000861	SINCAM012793
ENSMODP00000000862	SINCAM012073
ENSMODP00000000863	SINCAM005057
ENSMODP00000000865	SINCAM922384
ENSMODP00000000868	SINCAM001988
ENSMODP00000000872	SINCAM005935
ENSMODP00000000874	SINCAM014109
ENSMODP00000000875	SINCAM001989
ENSMODP00000000881	SINCAM000454
ENSMODP00000000882	SINCAM004312
ENSMODP00000000884	SINCAM003965
ENSMODP00000000887	SINCAM007017
ENSMODP00000000890	SINCAM012074
ENSMODP00000000893	SINCAM922778
ENSMODP00000000894	SINCAM920728
ENSMODP00000000896	SINCAM007016
ENSMODP00000000899	SINCAM002646
ENSMODP00000000902	SINCAM921233
ENSMODP00000000904	SINCAM002647
ENSMODP00000000905	SINCAM920842
ENSMODP00000000906	SINCAM000453
ENSMODP00000000907	SINCAM012362
ENSMODP00000000908	SINCAM005501
ENSMODP00000000909	SINCAM003968
ENSMODP00000000915	SINCAM002483
ENSMODP00000000916	SINCAM012795
ENSMODP00000000918	SINCAM004313
ENSMODP00000000919	SINCAM005502
ENSMODP00000000920	SINCAM014732
ENSMODP00000000921	SINCAM005059
ENSMODP00000000927	SINCAM920729
ENSMODP00000000929	SINCAM012796
ENSMODP00000000936	SINCAM920730
ENSMODP00000000937	SINCAM920844
ENSMODP00000000938	SINCAM006412
ENSMODP00000000941	SINCAM922784
ENSMODP00000000948	SINCAM004311
ENSMODP00000000954	SINCAM001796
ENSMODP00000000957	SINCAM004951
ENSMODP00000000959	SINCAM920732
ENSMODP00000000960	SINCAM000450
ENSMODP00000000961	SINCAM000830
ENSMODP00000000964	SINCAM012797
ENSMODP00000000973	SINCAM001359
ENSMODP00000000974	SINCAM001794
ENSMODP00000000978	SINCAM922785
ENSMODP00000000979	SINCAM003969
ENSMODP00000000980	SINCAM004766
ENSMODP00000000983	SINCAM012800
ENSMODP00000000984	SINCAM001791
ENSMODP00000000987	SINCAM000225
ENSMODP00000000990	SINCAM014907
ENSMODP00000000992	SINCAM004482
ENSMODP00000000993	SINCAM006411
ENSMODP00000000997	SINCAM012775
ENSMODP00000001000	SINCAM004949
ENSMODP00000001007	SINCAM011058
ENSMODP00000001009	SINCAM002259
ENSMODP00000001016	SINCAM006410
ENSMODP00000001020	SINCAM005061
ENSMODP00000001021	SINCAM922540
ENSMODP00000001022	SINCAM007015
ENSMODP00000001024	SINCAM000448
ENSMODP00000001027	SINCAM004485
ENSMODP00000001029	SINCAM921985
ENSMODP00000001031	SINCAM000447
ENSMODP00000001037	SINCAM001547
ENSMODP00000001039	SINCAM007014
ENSMODP00000001041	SINCAM005063
ENSMODP00000001042	SINCAM922539
ENSMODP00000001044	SINCAM012075
ENSMODP00000001050	SINCAM000446
ENSMODP00000001052	SINCAM012771
ENSMODP00000001056	SINCAM001544
ENSMODP00000001057	SINCAM004479
ENSMODP00000001064	SINCAM921984
ENSMODP00000001066	SINCAM012295
ENSMODP00000001067	SINCAM012586
ENSMODP00000001069	SINCAM007013
ENSMODP00000001072	SINCAM013685
ENSMODP00000001077	SINCAM000520
ENSMODP00000001080	SINCAM001811
ENSMODP00000001081	SINCAM012769
ENSMODP00000001083	SINCAM012076
ENSMODP00000001084	SINCAM007026
ENSMODP00000001085	SINCAM000445
ENSMODP00000001087	SINCAM005335
ENSMODP00000001091	SINCAM012273
ENSMODP00000001096	SINCAM000231
ENSMODP00000001097	SINCAM001812
ENSMODP00000001098	SINCAM921363
ENSMODP00000001101	SINCAM006409
ENSMODP00000001105	SINCAM004767
ENSMODP00000001107	SINCAM015963
ENSMODP00000001108	SINCAM012077
ENSMODP00000001109	SINCAM000444
ENSMODP00000001111	SINCAM015987
ENSMODP00000001112	SINCAM921234
ENSMODP00000001116	SINCAM004947
ENSMODP00000001117	SINCAM005505
ENSMODP00000001122	SINCAM011059
ENSMODP00000001127	SINCAM004769
ENSMODP00000001129	SINCAM006408
ENSMODP00000001134	SINCAM012767
ENSMODP00000001136	SINCAM003970
ENSMODP00000001142	SINCAM007028
ENSMODP00000001145	SINCAM004667
ENSMODP00000001146	SINCAM011062
ENSMODP00000001147	SINCAM005185
ENSMODP00000001148	SINCAM920928
ENSMODP00000001150	SINCAM003971
ENSMODP00000001151	SINCAM012766
ENSMODP00000001152	SINCAM004486
ENSMODP00000001155	SINCAM003972
ENSMODP00000001156	SINCAM000235
ENSMODP00000001157	SINCAM004488
ENSMODP00000001159	SINCAM003973
ENSMODP00000001162	SINCAM900237
ENSMODP00000001163	SINCAM011491
ENSMODP00000001168	SINCAM011428
ENSMODP00000001169	SINCAM005151
ENSMODP00000001174	SINCAM009557
ENSMODP00000001175	SINCAM001073
ENSMODP00000001178	SINCAM006405
ENSMODP00000001179	SINCAM000443
ENSMODP00000001181	SINCAM920687
ENSMODP00000001183	SINCAM004489
ENSMODP00000001184	SINCAM011431
ENSMODP00000001186	SINCAM005153
ENSMODP00000001187	SINCAM000236
ENSMODP00000001189	SINCAM011432
ENSMODP00000001190	SINCAM005766
ENSMODP00000001192	SINCAM001074
ENSMODP00000001195	SINCAM004945
ENSMODP00000001196	SINCAM007030
ENSMODP00000001201	SINCAM000442
ENSMODP00000001202	SINCAM922531
ENSMODP00000001205	SINCAM921212
ENSMODP00000001206	SINCAM004668
ENSMODP00000001207	SINCAM005260
ENSMODP00000001208	SINCAM003263
ENSMODP00000001212	SINCAM004943
ENSMODP00000001213	SINCAM009295
ENSMODP00000001214	SINCAM000237
ENSMODP00000001215	SINCAM012412
ENSMODP00000001216	SINCAM004197
ENSMODP00000001219	SINCAM920733
ENSMODP00000001220	SINCAM012758
ENSMODP00000001221	SINCAM001076
ENSMODP00000001222	SINCAM011434
ENSMODP00000001223	SINCAM920734
ENSMODP00000001224	SINCAM000238
ENSMODP00000001225	SINCAM005070
ENSMODP00000001226	SINCAM012756
ENSMODP00000001232	SINCAM007049
ENSMODP00000001235	SINCAM012356
ENSMODP00000001236	SINCAM003957
ENSMODP00000001239	SINCAM012788
ENSMODP00000001241	SINCAM920735
ENSMODP00000001242	SINCAM005261
ENSMODP00000001243	SINCAM003956
ENSMODP00000001244	SINCAM009528
ENSMODP00000001247	SINCAM016076
ENSMODP00000001248	SINCAM011435
ENSMODP00000001250	SINCAM002161
ENSMODP00000001252	SINCAM006404
ENSMODP00000001253	SINCAM008496
ENSMODP00000001259	SINCAM012644
ENSMODP00000001260	SINCAM000239
ENSMODP00000001261	SINCAM012782
ENSMODP00000001270	SINCAM900238
ENSMODP00000001273	SINCAM004942
ENSMODP00000001277	SINCAM005071
ENSMODP00000001280	SINCAM920737
ENSMODP00000001281	SINCAM003953
ENSMODP00000001283	SINCAM011439
ENSMODP00000001284	SINCAM004940
ENSMODP00000001289	SINCAM014906
ENSMODP00000001290	SINCAM005257
ENSMODP00000001294	SINCAM000241
ENSMODP00000001296	SINCAM012138
ENSMODP00000001300	SINCAM921991
ENSMODP00000001303	SINCAM012139
ENSMODP00000001304	SINCAM017362
ENSMODP00000001305	SINCAM002032
ENSMODP00000001307	SINCAM001077
ENSMODP00000001308	SINCAM003952
ENSMODP00000001310	SINCAM006403
ENSMODP00000001313	SINCAM922504
ENSMODP00000001314	SINCAM000441
ENSMODP00000001318	SINCAM004490
ENSMODP00000001319	SINCAM921229
ENSMODP00000001321	SINCAM012780
ENSMODP00000001322	SINCAM002798
ENSMODP00000001325	SINCAM000242
ENSMODP00000001326	SINCAM002800
ENSMODP00000001327	SINCAM009594
ENSMODP00000001331	SINCAM007044
ENSMODP00000001337	SINCAM011371
ENSMODP00000001340	SINCAM000089
ENSMODP00000001342	SINCAM000243
ENSMODP00000001343	SINCAM007045
ENSMODP00000001344	SINCAM921228
ENSMODP00000001348	SINCAM006398
ENSMODP00000001349	SINCAM015899
ENSMODP00000001350	SINCAM007047
ENSMODP00000001351	SINCAM004491
ENSMODP00000001352	SINCAM000244
ENSMODP00000001357	SINCAM010782
ENSMODP00000001358	SINCAM008263
ENSMODP00000001360	SINCAM010785
ENSMODP00000001364	SINCAM006989
ENSMODP00000001367	SINCAM004492
ENSMODP00000001370	SINCAM000439
ENSMODP00000001376	SINCAM922780
ENSMODP00000001377	SINCAM005256
ENSMODP00000001380	SINCAM009972
ENSMODP00000001384	SINCAM008264
ENSMODP00000001385	SINCAM921227
ENSMODP00000001389	SINCAM017294
ENSMODP00000001390	SINCAM002802
ENSMODP00000001394	SINCAM005072
ENSMODP00000001402	SINCAM008490
ENSMODP00000001403	SINCAM005073
ENSMODP00000001405	SINCAM005255
ENSMODP00000001410	SINCAM006991
ENSMODP00000001412	SINCAM012826
ENSMODP00000001414	SINCAM000438
ENSMODP00000001416	SINCAM000247
ENSMODP00000001418	SINCAM005510
ENSMODP00000001419	SINCAM003949
ENSMODP00000001421	SINCAM004939
ENSMODP00000001422	SINCAM012126
ENSMODP00000001423	SINCAM920831
ENSMODP00000001428	SINCAM920866
ENSMODP00000001431	SINCAM900181
ENSMODP00000001432	SINCAM004938
ENSMODP00000001433	SINCAM012082
ENSMODP00000001436	SINCAM000248
ENSMODP00000001437	SINCAM006395
ENSMODP00000001442	SINCAM005075
ENSMODP00000001443	SINCAM011848
ENSMODP00000001444	SINCAM920784
ENSMODP00000001445	SINCAM014510
ENSMODP00000001446	SINCAM004937
ENSMODP00000001449	SINCAM011610
ENSMODP00000001450	SINCAM012105
ENSMODP00000001452	SINCAM007087
ENSMODP00000001454	SINCAM002477
ENSMODP00000001455	SINCAM000249
ENSMODP00000001463	SINCAM000433
ENSMODP00000001469	SINCAM900192
ENSMODP00000001476	SINCAM012058
ENSMODP00000001477	SINCAM002478
ENSMODP00000001478	SINCAM007088
ENSMODP00000001485	SINCAM000250
ENSMODP00000001486	SINCAM003947
ENSMODP00000001487	SINCAM005077
ENSMODP00000001492	SINCAM005002
ENSMODP00000001494	SINCAM014711
ENSMODP00000001496	SINCAM012056
ENSMODP00000001497	SINCAM010890
ENSMODP00000001499	SINCAM005954
ENSMODP00000001501	SINCAM001113
ENSMODP00000001502	SINCAM005003
ENSMODP00000001507	SINCAM000251
ENSMODP00000001508	SINCAM002420
ENSMODP00000001516	SINCAM007089
ENSMODP00000001517	SINCAM012827
ENSMODP00000001518	SINCAM005949
ENSMODP00000001520	SINCAM002035
ENSMODP00000001523	SINCAM012898
ENSMODP00000001525	SINCAM003976
ENSMODP00000001527	SINCAM005148
ENSMODP00000001529	SINCAM012729
ENSMODP00000001531	SINCAM008536
ENSMODP00000001532	SINCAM002037
ENSMODP00000001534	SINCAM009608
ENSMODP00000001536	SINCAM000252
ENSMODP00000001540	SINCAM011814
ENSMODP00000001542	SINCAM011436
ENSMODP00000001544	SINCAM012103
ENSMODP00000001546	SINCAM920464
ENSMODP00000001550	SINCAM005078
ENSMODP00000001556	SINCAM005914
ENSMODP00000001558	SINCAM008267
ENSMODP00000001568	SINCAM015098
ENSMODP00000001570	SINCAM922036
ENSMODP00000001571	SINCAM003975
ENSMODP00000001574	SINCAM003049
ENSMODP00000001575	SINCAM005252
ENSMODP00000001578	SINCAM012730
ENSMODP00000001579	SINCAM002479
ENSMODP00000001582	SINCAM001114
ENSMODP00000001583	SINCAM012101
ENSMODP00000001587	SINCAM014441
ENSMODP00000001590	SINCAM922037
ENSMODP00000001591	SINCAM920491
ENSMODP00000001594	SINCAM004934
ENSMODP00000001601	SINCAM014798
ENSMODP00000001604	SINCAM001115
ENSMODP00000001605	SINCAM011423
ENSMODP00000001608	SINCAM012257
ENSMODP00000001609	SINCAM004709
ENSMODP00000001611	SINCAM008268
ENSMODP00000001612	SINCAM920864
ENSMODP00000001615	SINCAM005916
ENSMODP00000001617	SINCAM002217
ENSMODP00000001618	SINCAM008024
ENSMODP00000001623	SINCAM012838
ENSMODP00000001626	SINCAM005007
ENSMODP00000001627	SINCAM002014
ENSMODP00000001628	SINCAM011425
ENSMODP00000001629	SINCAM005250
ENSMODP00000001630	SINCAM012171
ENSMODP00000001631	SINCAM922076
ENSMODP00000001638	SINCAM922393
ENSMODP00000001642	SINCAM004711
ENSMODP00000001643	SINCAM002046
ENSMODP00000001645	SINCAM005249
ENSMODP00000001649	SINCAM012172
ENSMODP00000001653	SINCAM011426
ENSMODP00000001654	SINCAM002047
ENSMODP00000001657	SINCAM921652
ENSMODP00000001658	SINCAM012123
ENSMODP00000001659	SINCAM005009
ENSMODP00000001660	SINCAM005082
ENSMODP00000001661	SINCAM012718
ENSMODP00000001663	SINCAM011138
ENSMODP00000001664	SINCAM922392
ENSMODP00000001672	SINCAM004494
ENSMODP00000001676	SINCAM004712
ENSMODP00000001677	SINCAM002049
ENSMODP00000001678	SINCAM011860
ENSMODP00000001679	SINCAM001116
ENSMODP00000001680	SINCAM005085
ENSMODP00000001681	SINCAM000430
ENSMODP00000001683	SINCAM002050
ENSMODP00000001684	SINCAM008270
ENSMODP00000001686	SINCAM014947
ENSMODP00000001690	SINCAM012723
ENSMODP00000001692	SINCAM014948
ENSMODP00000001698	SINCAM014950
ENSMODP00000001700	SINCAM011139
ENSMODP00000001701	SINCAM011140
ENSMODP00000001702	SINCAM013738
ENSMODP00000001705	SINCAM012387
ENSMODP00000001706	SINCAM011127
ENSMODP00000001707	SINCAM004713
ENSMODP00000001710	SINCAM001203
ENSMODP00000001712	SINCAM920603
ENSMODP00000001716	SINCAM005917
ENSMODP00000001717	SINCAM008261
ENSMODP00000001721	SINCAM002013
ENSMODP00000001723	SINCAM011126
ENSMODP00000001724	SINCAM000921
ENSMODP00000001726	SINCAM011859
ENSMODP00000001727	SINCAM922447
ENSMODP00000001729	SINCAM011857
ENSMODP00000001732	SINCAM002480
ENSMODP00000001733	SINCAM012844
ENSMODP00000001736	SINCAM011215
ENSMODP00000001737	SINCAM004495
ENSMODP00000001738	SINCAM920604
ENSMODP00000001739	SINCAM920658
ENSMODP00000001740	SINCAM002011
ENSMODP00000001744	SINCAM008260
ENSMODP00000001749	SINCAM014952
ENSMODP00000001757	SINCAM006003
ENSMODP00000001758	SINCAM000261
ENSMODP00000001759	SINCAM002009
