SINLEJ016576	ENSLOCP00000000004
SINLEJ009372	ENSLOCP00000000273
SINLEJ005792	ENSLOCP00000000275
SINLEJ000130	ENSLOCP00000000276
SINLEJ018227	ENSLOCP00000000276
SINLEJ014234	ENSLOCP00000000277
SINLEJ017479	ENSLOCP00000000277
SINLEJ007187	ENSLOCP00000000280
SINLEJ012610	ENSLOCP00000000300
SINLEJ013490	ENSLOCP00000000300
SINLEJ009276	ENSLOCP00000000301
SINLEJ000885	ENSLOCP00000000304
SINLEJ014350	ENSLOCP00000000308
SINLEJ006934	ENSLOCP00000000324
SINLEJ000615	ENSLOCP00000000328
SINLEJ000624	ENSLOCP00000000328
SINLEJ013898	ENSLOCP00000000333
SINLEJ017301	ENSLOCP00000000343
SINLEJ016152	ENSLOCP00000000350
SINLEJ002693	ENSLOCP00000000350
SINLEJ000084	ENSLOCP00000000358
SINLEJ007600	ENSLOCP00000000369
SINLEJ017473	ENSLOCP00000000377
SINLEJ012416	ENSLOCP00000000394
SINLEJ015554	ENSLOCP00000000396
SINLEJ017855	ENSLOCP00000000404
SINLEJ013829	ENSLOCP00000000404
SINLEJ017133	ENSLOCP00000000417
SINLEJ016087	ENSLOCP00000000417
SINLEJ016580	ENSLOCP00000000423
SINLEJ005623	ENSLOCP00000000428
SINLEJ014408	ENSLOCP00000000428
SINLEJ012430	ENSLOCP00000000434
SINLEJ005074	ENSLOCP00000000434
SINLEJ012164	ENSLOCP00000000436
SINLEJ008129	ENSLOCP00000000440
SINLEJ016412	ENSLOCP00000000451
SINLEJ010450	ENSLOCP00000000454
SINLEJ600416	ENSLOCP00000000454
SINLEJ008760	ENSLOCP00000000456
SINLEJ009859	ENSLOCP00000000458
SINLEJ009416	ENSLOCP00000000458
SINLEJ006173	ENSLOCP00000000461
SINLEJ018303	ENSLOCP00000000463
SINLEJ008142	ENSLOCP00000000472
SINLEJ008759	ENSLOCP00000000480
SINLEJ011140	ENSLOCP00000000480
SINLEJ012611	ENSLOCP00000000482
SINLEJ017790	ENSLOCP00000000482
SINLEJ004253	ENSLOCP00000000490
SINLEJ011597	ENSLOCP00000000494
SINLEJ010453	ENSLOCP00000000500
SINLEJ600414	ENSLOCP00000000500
SINLEJ002902	ENSLOCP00000000505
SINLEJ008920	ENSLOCP00000000506
SINLEJ016303	ENSLOCP00000000506
SINLEJ009327	ENSLOCP00000000507
SINLEJ015865	ENSLOCP00000000507
SINLEJ004229	ENSLOCP00000000508
SINLEJ000033	ENSLOCP00000000509
SINLEJ015280	ENSLOCP00000000511
SINLEJ006918	ENSLOCP00000000511
SINLEJ016698	ENSLOCP00000000512
SINLEJ008219	ENSLOCP00000000515
SINLEJ008264	ENSLOCP00000000515
SINLEJ017480	ENSLOCP00000000522
SINLEJ001040	ENSLOCP00000000529
SINLEJ019449	ENSLOCP00000000533
SINLEJ004830	ENSLOCP00000000533
SINLEJ009997	ENSLOCP00000000540
SINLEJ016679	ENSLOCP00000000546
SINLEJ016681	ENSLOCP00000000546
SINLEJ012987	ENSLOCP00000000547
SINLEJ013290	ENSLOCP00000000547
SINLEJ015958	ENSLOCP00000000548
SINLEJ016674	ENSLOCP00000000548
SINLEJ009337	ENSLOCP00000000549
SINLEJ016978	ENSLOCP00000000553
SINLEJ015216	ENSLOCP00000000559
SINLEJ006858	ENSLOCP00000000559
SINLEJ001902	ENSLOCP00000000565
SINLEJ006067	ENSLOCP00000000565
SINLEJ011328	ENSLOCP00000000575
SINLEJ013956	ENSLOCP00000000583
SINLEJ012066	ENSLOCP00000000585
SINLEJ012064	ENSLOCP00000000585
SINLEJ002027	ENSLOCP00000000586
SINLEJ013260	ENSLOCP00000000590
SINLEJ016993	ENSLOCP00000000591
SINLEJ018293	ENSLOCP00000000599
SINLEJ008222	ENSLOCP00000000609
SINLEJ009753	ENSLOCP00000000609
SINLEJ011780	ENSLOCP00000000610
SINLEJ016885	ENSLOCP00000000611
SINLEJ016893	ENSLOCP00000000611
SINLEJ019055	ENSLOCP00000000619
SINLEJ019130	ENSLOCP00000000619
SINLEJ017823	ENSLOCP00000000627
SINLEJ002838	ENSLOCP00000000627
SINLEJ600015	ENSLOCP00000000630
SINLEJ000987	ENSLOCP00000000631
SINLEJ001782	ENSLOCP00000000640
SINLEJ005910	ENSLOCP00000000640
SINLEJ018292	ENSLOCP00000000641
SINLEJ000214	ENSLOCP00000000643
SINLEJ000160	ENSLOCP00000000643
SINLEJ013933	ENSLOCP00000000645
SINLEJ018399	ENSLOCP00000000646
SINLEJ013339	ENSLOCP00000000652
SINLEJ014842	ENSLOCP00000000652
SINLEJ013276	ENSLOCP00000000654
SINLEJ019229	ENSLOCP00000000660
SINLEJ018737	ENSLOCP00000000660
SINLEJ000136	ENSLOCP00000000664
SINLEJ000131	ENSLOCP00000000664
SINLEJ008737	ENSLOCP00000000670
SINLEJ007459	ENSLOCP00000000672
SINLEJ018242	ENSLOCP00000000674
SINLEJ018240	ENSLOCP00000000674
SINLEJ003997	ENSLOCP00000000679
SINLEJ016323	ENSLOCP00000000680
SINLEJ008901	ENSLOCP00000000680
SINLEJ017413	ENSLOCP00000000681
SINLEJ009087	ENSLOCP00000000681
SINLEJ005378	ENSLOCP00000000690
SINLEJ017391	ENSLOCP00000000693
SINLEJ016100	ENSLOCP00000000693
SINLEJ009823	ENSLOCP00000000701
SINLEJ013292	ENSLOCP00000000717
SINLEJ007831	ENSLOCP00000000720
SINLEJ007828	ENSLOCP00000000720
SINLEJ013076	ENSLOCP00000000724
SINLEJ013077	ENSLOCP00000000724
SINLEJ016700	ENSLOCP00000000732
SINLEJ016699	ENSLOCP00000000732
SINLEJ008343	ENSLOCP00000000734
SINLEJ013923	ENSLOCP00000000735
SINLEJ019440	ENSLOCP00000000743
SINLEJ018721	ENSLOCP00000000743
SINLEJ007326	ENSLOCP00000000745
SINLEJ002840	ENSLOCP00000000747
SINLEJ007043	ENSLOCP00000000755
SINLEJ017668	ENSLOCP00000000757
SINLEJ014516	ENSLOCP00000000759
SINLEJ009041	ENSLOCP00000000760
SINLEJ009042	ENSLOCP00000000760
SINLEJ015838	ENSLOCP00000000761
SINLEJ015840	ENSLOCP00000000761
SINLEJ006865	ENSLOCP00000000762
SINLEJ015224	ENSLOCP00000000762
SINLEJ014339	ENSLOCP00000000764
SINLEJ010430	ENSLOCP00000000765
SINLEJ014814	ENSLOCP00000000766
SINLEJ006996	ENSLOCP00000000767
SINLEJ017331	ENSLOCP00000000773
SINLEJ017329	ENSLOCP00000000773
SINLEJ008593	ENSLOCP00000000778
SINLEJ015888	ENSLOCP00000000778
SINLEJ017824	ENSLOCP00000000782
SINLEJ009360	ENSLOCP00000000787
SINLEJ009359	ENSLOCP00000000787
SINLEJ013271	ENSLOCP00000000791
SINLEJ002892	ENSLOCP00000000791
SINLEJ005570	ENSLOCP00000000797
SINLEJ008879	ENSLOCP00000000800
SINLEJ002809	ENSLOCP00000000801
SINLEJ005876	ENSLOCP00000000801
SINLEJ016705	ENSLOCP00000000810
SINLEJ017825	ENSLOCP00000000817
SINLEJ017826	ENSLOCP00000000817
SINLEJ007632	ENSLOCP00000000818
SINLEJ600201	ENSLOCP00000000819
SINLEJ004867	ENSLOCP00000000819
SINLEJ001047	ENSLOCP00000000820
SINLEJ015508	ENSLOCP00000000821
SINLEJ015482	ENSLOCP00000000821
SINLEJ003885	ENSLOCP00000000822
SINLEJ008545	ENSLOCP00000000826
SINLEJ009630	ENSLOCP00000000826
SINLEJ016702	ENSLOCP00000000831
SINLEJ016701	ENSLOCP00000000831
SINLEJ003653	ENSLOCP00000000832
SINLEJ014912	ENSLOCP00000000832
SINLEJ016120	ENSLOCP00000000841
SINLEJ600199	ENSLOCP00000000844
SINLEJ018677	ENSLOCP00000000845
SINLEJ001660	ENSLOCP00000000851
SINLEJ001659	ENSLOCP00000000851
SINLEJ005627	ENSLOCP00000000852
SINLEJ012082	ENSLOCP00000000852
SINLEJ015845	ENSLOCP00000000853
SINLEJ016984	ENSLOCP00000000855
SINLEJ016332	ENSLOCP00000000856
SINLEJ010815	ENSLOCP00000000860
SINLEJ009913	ENSLOCP00000000860
SINLEJ007567	ENSLOCP00000000861
SINLEJ007571	ENSLOCP00000000861
SINLEJ016031	ENSLOCP00000000862
SINLEJ009975	ENSLOCP00000000863
SINLEJ009974	ENSLOCP00000000863
SINLEJ003417	ENSLOCP00000000875
SINLEJ015382	ENSLOCP00000000877
SINLEJ003573	ENSLOCP00000000877
SINLEJ005657	ENSLOCP00000000879
SINLEJ008576	ENSLOCP00000000880
SINLEJ010049	ENSLOCP00000000883
SINLEJ008333	ENSLOCP00000000886
SINLEJ001272	ENSLOCP00000000887
SINLEJ004968	ENSLOCP00000000888
SINLEJ004969	ENSLOCP00000000888
SINLEJ015381	ENSLOCP00000000900
SINLEJ000999	ENSLOCP00000000903
SINLEJ001983	ENSLOCP00000000903
SINLEJ004849	ENSLOCP00000000905
SINLEJ004848	ENSLOCP00000000905
SINLEJ016268	ENSLOCP00000000909
SINLEJ014384	ENSLOCP00000000909
SINLEJ014619	ENSLOCP00000000910
SINLEJ013122	ENSLOCP00000000911
SINLEJ016183	ENSLOCP00000000913
SINLEJ016184	ENSLOCP00000000913
SINLEJ008290	ENSLOCP00000000914
SINLEJ008289	ENSLOCP00000000914
SINLEJ014511	ENSLOCP00000000917
SINLEJ002107	ENSLOCP00000000917
SINLEJ009106	ENSLOCP00000000918
SINLEJ002752	ENSLOCP00000000918
SINLEJ001430	ENSLOCP00000000919
SINLEJ001176	ENSLOCP00000000921
SINLEJ011863	ENSLOCP00000000922
SINLEJ009125	ENSLOCP00000000923
SINLEJ016245	ENSLOCP00000000926
SINLEJ016870	ENSLOCP00000000926
SINLEJ011613	ENSLOCP00000000933
SINLEJ016694	ENSLOCP00000000941
SINLEJ001431	ENSLOCP00000000944
SINLEJ011919	ENSLOCP00000000947
SINLEJ005338	ENSLOCP00000000948
SINLEJ015770	ENSLOCP00000000950
SINLEJ005695	ENSLOCP00000000950
SINLEJ018404	ENSLOCP00000000951
SINLEJ018405	ENSLOCP00000000951
SINLEJ019092	ENSLOCP00000000954
SINLEJ016137	ENSLOCP00000000955
SINLEJ016138	ENSLOCP00000000955
SINLEJ001980	ENSLOCP00000000959
SINLEJ010416	ENSLOCP00000000960
SINLEJ600203	ENSLOCP00000000960
SINLEJ008093	ENSLOCP00000000961
SINLEJ006789	ENSLOCP00000000971
SINLEJ016857	ENSLOCP00000000973
SINLEJ004923	ENSLOCP00000000973
SINLEJ008172	ENSLOCP00000000979
SINLEJ008173	ENSLOCP00000000979
SINLEJ009126	ENSLOCP00000000982
SINLEJ010939	ENSLOCP00000000982
SINLEJ004324	ENSLOCP00000000983
SINLEJ009641	ENSLOCP00000000986
SINLEJ001723	ENSLOCP00000000995
SINLEJ600369	ENSLOCP00000000997
SINLEJ011751	ENSLOCP00000000997
SINLEJ018144	ENSLOCP00000000998
SINLEJ018366	ENSLOCP00000000998
SINLEJ001979	ENSLOCP00000000999
SINLEJ001180	ENSLOCP00000000999
SINLEJ002973	ENSLOCP00000001002
SINLEJ004563	ENSLOCP00000001003
SINLEJ004562	ENSLOCP00000001003
SINLEJ004327	ENSLOCP00000001008
SINLEJ004326	ENSLOCP00000001008
SINLEJ011149	ENSLOCP00000001009
SINLEJ014021	ENSLOCP00000001009
SINLEJ008561	ENSLOCP00000001010
SINLEJ014825	ENSLOCP00000001012
SINLEJ011729	ENSLOCP00000001012
SINLEJ600136	ENSLOCP00000001018
SINLEJ018907	ENSLOCP00000001023
SINLEJ015941	ENSLOCP00000001023
SINLEJ600035	ENSLOCP00000001027
SINLEJ016575	ENSLOCP00000001033
SINLEJ015737	ENSLOCP00000001033
SINLEJ014314	ENSLOCP00000001041
SINLEJ014315	ENSLOCP00000001041
SINLEJ001182	ENSLOCP00000001042
SINLEJ019239	ENSLOCP00000001043
SINLEJ001503	ENSLOCP00000001045
SINLEJ004718	ENSLOCP00000001045
SINLEJ003098	ENSLOCP00000001048
SINLEJ004277	ENSLOCP00000001049
SINLEJ018119	ENSLOCP00000001051
SINLEJ009358	ENSLOCP00000001054
SINLEJ013594	ENSLOCP00000001055
SINLEJ009260	ENSLOCP00000001061
SINLEJ008259	ENSLOCP00000001062
SINLEJ013264	ENSLOCP00000001065
SINLEJ004321	ENSLOCP00000001067
SINLEJ011532	ENSLOCP00000001068
SINLEJ014797	ENSLOCP00000001069
SINLEJ005684	ENSLOCP00000001073
SINLEJ004611	ENSLOCP00000001078
SINLEJ004610	ENSLOCP00000001078
SINLEJ001498	ENSLOCP00000001079
SINLEJ003229	ENSLOCP00000001079
SINLEJ014563	ENSLOCP00000001080
SINLEJ011832	ENSLOCP00000001082
SINLEJ011831	ENSLOCP00000001082
SINLEJ009321	ENSLOCP00000001083
SINLEJ012784	ENSLOCP00000001084
SINLEJ012785	ENSLOCP00000001084
SINLEJ016572	ENSLOCP00000001085
SINLEJ016876	ENSLOCP00000001085
SINLEJ007753	ENSLOCP00000001086
SINLEJ013413	ENSLOCP00000001088
SINLEJ015672	ENSLOCP00000001089
SINLEJ007239	ENSLOCP00000001089
SINLEJ013219	ENSLOCP00000001095
SINLEJ004319	ENSLOCP00000001102
SINLEJ009095	ENSLOCP00000001107
SINLEJ014020	ENSLOCP00000001107
SINLEJ014013	ENSLOCP00000001110
SINLEJ011824	ENSLOCP00000001112
SINLEJ016571	ENSLOCP00000001116
SINLEJ016875	ENSLOCP00000001116
SINLEJ011830	ENSLOCP00000001119
SINLEJ008152	ENSLOCP00000001119
SINLEJ002669	ENSLOCP00000001120
SINLEJ005581	ENSLOCP00000001129
SINLEJ016887	ENSLOCP00000001134
SINLEJ016888	ENSLOCP00000001134
SINLEJ011035	ENSLOCP00000001135
SINLEJ015906	ENSLOCP00000001136
SINLEJ001489	ENSLOCP00000001138
SINLEJ008753	ENSLOCP00000001144
SINLEJ005852	ENSLOCP00000001147
SINLEJ011933	ENSLOCP00000001148
SINLEJ000283	ENSLOCP00000001152
SINLEJ013419	ENSLOCP00000001158
SINLEJ016124	ENSLOCP00000001160
SINLEJ010443	ENSLOCP00000001161
SINLEJ011587	ENSLOCP00000001165
SINLEJ011586	ENSLOCP00000001165
SINLEJ017173	ENSLOCP00000001167
SINLEJ011215	ENSLOCP00000001171
SINLEJ014071	ENSLOCP00000001171
SINLEJ004405	ENSLOCP00000001172
SINLEJ013452	ENSLOCP00000001177
SINLEJ004469	ENSLOCP00000001183
SINLEJ013832	ENSLOCP00000001192
SINLEJ011041	ENSLOCP00000001193
SINLEJ013453	ENSLOCP00000001198
SINLEJ013365	ENSLOCP00000001200
SINLEJ018406	ENSLOCP00000001200
SINLEJ001206	ENSLOCP00000001206
SINLEJ016768	ENSLOCP00000001206
SINLEJ011276	ENSLOCP00000001207
SINLEJ011275	ENSLOCP00000001207
SINLEJ010101	ENSLOCP00000001209
SINLEJ009459	ENSLOCP00000001209
SINLEJ011899	ENSLOCP00000001211
SINLEJ012175	ENSLOCP00000001212
SINLEJ018708	ENSLOCP00000001213
SINLEJ017848	ENSLOCP00000001216
SINLEJ000311	ENSLOCP00000001219
SINLEJ004086	ENSLOCP00000001219
SINLEJ008787	ENSLOCP00000001220
SINLEJ011575	ENSLOCP00000001221
SINLEJ011576	ENSLOCP00000001221
SINLEJ015826	ENSLOCP00000001222
SINLEJ011293	ENSLOCP00000001223
SINLEJ015318	ENSLOCP00000001225
SINLEJ015115	ENSLOCP00000001226
SINLEJ005428	ENSLOCP00000001247
SINLEJ013241	ENSLOCP00000001247
SINLEJ007742	ENSLOCP00000001250
SINLEJ013685	ENSLOCP00000001253
SINLEJ011429	ENSLOCP00000001253
SINLEJ004340	ENSLOCP00000001254
SINLEJ013973	ENSLOCP00000001255
SINLEJ008783	ENSLOCP00000001255
SINLEJ000333	ENSLOCP00000001257
SINLEJ000332	ENSLOCP00000001257
SINLEJ013137	ENSLOCP00000001262
SINLEJ013138	ENSLOCP00000001262
SINLEJ008679	ENSLOCP00000001268
SINLEJ018883	ENSLOCP00000001277
SINLEJ000023	ENSLOCP00000001280
SINLEJ000025	ENSLOCP00000001280
SINLEJ011548	ENSLOCP00000001282
SINLEJ005164	ENSLOCP00000001284
SINLEJ016220	ENSLOCP00000001284
SINLEJ007501	ENSLOCP00000001287
SINLEJ012148	ENSLOCP00000001288
SINLEJ013868	ENSLOCP00000001288
SINLEJ017114	ENSLOCP00000001292
SINLEJ011179	ENSLOCP00000001292
SINLEJ013124	ENSLOCP00000001294
SINLEJ013123	ENSLOCP00000001294
SINLEJ014908	ENSLOCP00000001297
SINLEJ003656	ENSLOCP00000001297
SINLEJ012531	ENSLOCP00000001299
SINLEJ007486	ENSLOCP00000001302
SINLEJ006039	ENSLOCP00000001305
SINLEJ001015	ENSLOCP00000001305
SINLEJ016976	ENSLOCP00000001310
SINLEJ008050	ENSLOCP00000001316
SINLEJ019124	ENSLOCP00000001320
SINLEJ014660	ENSLOCP00000001321
SINLEJ014661	ENSLOCP00000001321
SINLEJ007837	ENSLOCP00000001323
SINLEJ016460	ENSLOCP00000001323
SINLEJ013135	ENSLOCP00000001325
SINLEJ013136	ENSLOCP00000001325
SINLEJ011272	ENSLOCP00000001332
SINLEJ011264	ENSLOCP00000001332
SINLEJ004298	ENSLOCP00000001336
SINLEJ011574	ENSLOCP00000001338
SINLEJ003797	ENSLOCP00000001338
SINLEJ014609	ENSLOCP00000001339
SINLEJ011549	ENSLOCP00000001340
SINLEJ016034	ENSLOCP00000001341
SINLEJ000665	ENSLOCP00000001344
SINLEJ003132	ENSLOCP00000001346
SINLEJ012624	ENSLOCP00000001348
SINLEJ012604	ENSLOCP00000001348
SINLEJ014412	ENSLOCP00000001350
SINLEJ000086	ENSLOCP00000001357
SINLEJ004285	ENSLOCP00000001361
SINLEJ004283	ENSLOCP00000001361
SINLEJ007715	ENSLOCP00000001363
SINLEJ015665	ENSLOCP00000001368
SINLEJ007244	ENSLOCP00000001368
SINLEJ009932	ENSLOCP00000001371
SINLEJ008858	ENSLOCP00000001372
SINLEJ008704	ENSLOCP00000001372
SINLEJ007502	ENSLOCP00000001376
SINLEJ014379	ENSLOCP00000001380
SINLEJ005692	ENSLOCP00000001380
SINLEJ016397	ENSLOCP00000001382
SINLEJ016396	ENSLOCP00000001382
SINLEJ015213	ENSLOCP00000001383
SINLEJ011961	ENSLOCP00000001383
SINLEJ015323	ENSLOCP00000001384
SINLEJ015324	ENSLOCP00000001384
SINLEJ006398	ENSLOCP00000001386
SINLEJ003110	ENSLOCP00000001391
SINLEJ017579	ENSLOCP00000001391
SINLEJ005694	ENSLOCP00000001393
SINLEJ005898	ENSLOCP00000001394
SINLEJ016010	ENSLOCP00000001396
SINLEJ015409	ENSLOCP00000001397
SINLEJ014048	ENSLOCP00000001397
SINLEJ018419	ENSLOCP00000001401
SINLEJ011039	ENSLOCP00000001402
SINLEJ000582	ENSLOCP00000001404
SINLEJ013080	ENSLOCP00000001411
SINLEJ015392	ENSLOCP00000001413
SINLEJ014401	ENSLOCP00000001415
SINLEJ002919	ENSLOCP00000001417
SINLEJ010969	ENSLOCP00000001417
SINLEJ015199	ENSLOCP00000001418
SINLEJ004281	ENSLOCP00000001418
SINLEJ005756	ENSLOCP00000001420
SINLEJ018000	ENSLOCP00000001420
SINLEJ010087	ENSLOCP00000001421
SINLEJ004690	ENSLOCP00000001423
SINLEJ008698	ENSLOCP00000001425
SINLEJ014056	ENSLOCP00000001425
SINLEJ010320	ENSLOCP00000001426
SINLEJ008518	ENSLOCP00000001427
SINLEJ006850	ENSLOCP00000001427
SINLEJ014582	ENSLOCP00000001428
SINLEJ005163	ENSLOCP00000001429
SINLEJ016219	ENSLOCP00000001429
SINLEJ012916	ENSLOCP00000001433
SINLEJ012915	ENSLOCP00000001433
SINLEJ010975	ENSLOCP00000001435
SINLEJ007778	ENSLOCP00000001436
SINLEJ012219	ENSLOCP00000001436
SINLEJ007627	ENSLOCP00000001437
SINLEJ010036	ENSLOCP00000001437
SINLEJ012149	ENSLOCP00000001440
SINLEJ018353	ENSLOCP00000001440
SINLEJ005759	ENSLOCP00000001442
SINLEJ017330	ENSLOCP00000001442
SINLEJ010382	ENSLOCP00000001445
SINLEJ003216	ENSLOCP00000001445
SINLEJ008022	ENSLOCP00000001449
SINLEJ008697	ENSLOCP00000001455
SINLEJ008696	ENSLOCP00000001455
SINLEJ010381	ENSLOCP00000001456
SINLEJ018948	ENSLOCP00000001458
SINLEJ018791	ENSLOCP00000001458
SINLEJ007779	ENSLOCP00000001460
SINLEJ003840	ENSLOCP00000001461
SINLEJ015203	ENSLOCP00000001462
SINLEJ015204	ENSLOCP00000001462
SINLEJ011608	ENSLOCP00000001464
SINLEJ019304	ENSLOCP00000001464
SINLEJ019271	ENSLOCP00000001465
SINLEJ014584	ENSLOCP00000001475
SINLEJ015327	ENSLOCP00000001476
SINLEJ019252	ENSLOCP00000001476
SINLEJ014583	ENSLOCP00000001477
SINLEJ015098	ENSLOCP00000001479
SINLEJ014342	ENSLOCP00000001480
SINLEJ005760	ENSLOCP00000001480
SINLEJ000196	ENSLOCP00000001481
SINLEJ000381	ENSLOCP00000001481
SINLEJ005269	ENSLOCP00000001483
SINLEJ005268	ENSLOCP00000001483
SINLEJ007780	ENSLOCP00000001484
SINLEJ017870	ENSLOCP00000001484
SINLEJ008706	ENSLOCP00000001486
SINLEJ019272	ENSLOCP00000001486
SINLEJ009455	ENSLOCP00000001488
SINLEJ015668	ENSLOCP00000001488
SINLEJ017581	ENSLOCP00000001492
SINLEJ003108	ENSLOCP00000001492
SINLEJ008278	ENSLOCP00000001496
SINLEJ014991	ENSLOCP00000001500
SINLEJ003571	ENSLOCP00000001500
SINLEJ007538	ENSLOCP00000001501
SINLEJ008202	ENSLOCP00000001501
SINLEJ015527	ENSLOCP00000001502
SINLEJ016655	ENSLOCP00000001502
SINLEJ004415	ENSLOCP00000001510
SINLEJ004706	ENSLOCP00000001512
SINLEJ003198	ENSLOCP00000001512
SINLEJ009929	ENSLOCP00000001515
SINLEJ006353	ENSLOCP00000001516
SINLEJ008068	ENSLOCP00000001517
SINLEJ019466	ENSLOCP00000001518
SINLEJ011422	ENSLOCP00000001519
SINLEJ011423	ENSLOCP00000001519
SINLEJ002903	ENSLOCP00000001520
SINLEJ014767	ENSLOCP00000001520
SINLEJ007781	ENSLOCP00000001521
SINLEJ012243	ENSLOCP00000001521
SINLEJ015385	ENSLOCP00000001522
SINLEJ005475	ENSLOCP00000001527
SINLEJ004983	ENSLOCP00000001528
SINLEJ014585	ENSLOCP00000001530
SINLEJ004381	ENSLOCP00000001531
SINLEJ010377	ENSLOCP00000001533
SINLEJ015328	ENSLOCP00000001533
SINLEJ018398	ENSLOCP00000001534
SINLEJ004701	ENSLOCP00000001537
SINLEJ003173	ENSLOCP00000001540
SINLEJ008302	ENSLOCP00000001541
SINLEJ008297	ENSLOCP00000001541
SINLEJ004380	ENSLOCP00000001543
SINLEJ002924	ENSLOCP00000001548
SINLEJ013765	ENSLOCP00000001549
SINLEJ014012	ENSLOCP00000001549
SINLEJ600426	ENSLOCP00000001550
SINLEJ600425	ENSLOCP00000001550
SINLEJ005763	ENSLOCP00000001551
SINLEJ005762	ENSLOCP00000001551
SINLEJ017999	ENSLOCP00000001553
SINLEJ018846	ENSLOCP00000001553
SINLEJ012529	ENSLOCP00000001555
SINLEJ012670	ENSLOCP00000001563
SINLEJ012669	ENSLOCP00000001563
SINLEJ012174	ENSLOCP00000001564
SINLEJ008384	ENSLOCP00000001567
SINLEJ006833	ENSLOCP00000001568
SINLEJ001292	ENSLOCP00000001571
SINLEJ012188	ENSLOCP00000001572
SINLEJ600423	ENSLOCP00000001573
SINLEJ001201	ENSLOCP00000001573
SINLEJ005745	ENSLOCP00000001574
SINLEJ005754	ENSLOCP00000001574
SINLEJ006357	ENSLOCP00000001575
SINLEJ006356	ENSLOCP00000001575
SINLEJ014935	ENSLOCP00000001576
SINLEJ012862	ENSLOCP00000001580
SINLEJ013253	ENSLOCP00000001580
SINLEJ019217	ENSLOCP00000001582
SINLEJ016377	ENSLOCP00000001584
SINLEJ016378	ENSLOCP00000001584
SINLEJ008554	ENSLOCP00000001586
SINLEJ009357	ENSLOCP00000001587
SINLEJ009356	ENSLOCP00000001587
SINLEJ005336	ENSLOCP00000001589
SINLEJ011421	ENSLOCP00000001590
SINLEJ012944	ENSLOCP00000001592
SINLEJ007785	ENSLOCP00000001593
SINLEJ008865	ENSLOCP00000001595
SINLEJ014317	ENSLOCP00000001599
SINLEJ014316	ENSLOCP00000001599
SINLEJ005432	ENSLOCP00000001600
SINLEJ016527	ENSLOCP00000001605
SINLEJ008856	ENSLOCP00000001607
SINLEJ010827	ENSLOCP00000001609
SINLEJ014938	ENSLOCP00000001612
SINLEJ003628	ENSLOCP00000001612
SINLEJ005376	ENSLOCP00000001613
