ENSLOCP00000000004	SINCAM011582
ENSLOCP00000001396	SINCAM004109
ENSLOCP00000001397	SINCAM008601
ENSLOCP00000001401	SINCAM000771
ENSLOCP00000001402	SINCAM011661
ENSLOCP00000001404	SINCAM922480
ENSLOCP00000001406	SINCAM010466
ENSLOCP00000001411	SINCAM002231
ENSLOCP00000001413	SINCAM008602
ENSLOCP00000001415	SINCAM005153
ENSLOCP00000001416	SINCAM014004
ENSLOCP00000001417	SINCAM011145
ENSLOCP00000001418	SINCAM010124
ENSLOCP00000001419	SINCAM000715
ENSLOCP00000001420	SINCAM005148
ENSLOCP00000001422	SINCAM002862
ENSLOCP00000001423	SINCAM006389
ENSLOCP00000001425	SINCAM010662
ENSLOCP00000001426	SINCAM010444
ENSLOCP00000001427	SINCAM008938
ENSLOCP00000001428	SINCAM921251
ENSLOCP00000001430	SINCAM015311
ENSLOCP00000001432	SINCAM004313
ENSLOCP00000001433	SINCAM922481
ENSLOCP00000001435	SINCAM921986
ENSLOCP00000001436	SINCAM009566
ENSLOCP00000001437	SINCAM011648
ENSLOCP00000001439	SINCAM000716
ENSLOCP00000001440	SINCAM013597
ENSLOCP00000001442	SINCAM008002
ENSLOCP00000001444	SINCAM002849
ENSLOCP00000001445	SINCAM006388
ENSLOCP00000001446	SINCAM008603
ENSLOCP00000001450	SINCAM922244
ENSLOCP00000001453	SINCAM014239
ENSLOCP00000001455	SINCAM920755
ENSLOCP00000001456	SINCAM006385
ENSLOCP00000001458	SINCAM010443
ENSLOCP00000001460	SINCAM921978
ENSLOCP00000001461	SINCAM005151
ENSLOCP00000001462	SINCAM920536
ENSLOCP00000001464	SINCAM013595
ENSLOCP00000001466	SINCAM008604
ENSLOCP00000001470	SINCAM011656
ENSLOCP00000001472	SINCAM015860
ENSLOCP00000001475	SINCAM013989
ENSLOCP00000001476	SINCAM006384
ENSLOCP00000001477	SINCAM004107
ENSLOCP00000001479	SINCAM920522
ENSLOCP00000001480	SINCAM922879
ENSLOCP00000001481	SINCAM012866
ENSLOCP00000001482	SINCAM008605
ENSLOCP00000001483	SINCAM921987
ENSLOCP00000001484	SINCAM009567
ENSLOCP00000001486	SINCAM001906
ENSLOCP00000001488	SINCAM005855
ENSLOCP00000001489	SINCAM005185
ENSLOCP00000001490	SINCAM922547
ENSLOCP00000001492	SINCAM004106
ENSLOCP00000001493	SINCAM017531
ENSLOCP00000001496	SINCAM011862
ENSLOCP00000001498	SINCAM001897
ENSLOCP00000001499	SINCAM004784
ENSLOCP00000001500	SINCAM008606
ENSLOCP00000001501	SINCAM922243
ENSLOCP00000001506	SINCAM014981
ENSLOCP00000001509	SINCAM015322
ENSLOCP00000001510	SINCAM000782
ENSLOCP00000001511	SINCAM922944
ENSLOCP00000001512	SINCAM001898
ENSLOCP00000001515	SINCAM922452
ENSLOCP00000001516	SINCAM004714
ENSLOCP00000001519	SINCAM005857
ENSLOCP00000001520	SINCAM011149
ENSLOCP00000001521	SINCAM009568
ENSLOCP00000001522	SINCAM008607
ENSLOCP00000001524	SINCAM011459
ENSLOCP00000001527	SINCAM010419
ENSLOCP00000001530	SINCAM013990
ENSLOCP00000001531	SINCAM920535
ENSLOCP00000001533	SINCAM006382
ENSLOCP00000001534	SINCAM005145
ENSLOCP00000001537	SINCAM922453
ENSLOCP00000001540	SINCAM010418
ENSLOCP00000001541	SINCAM009084
ENSLOCP00000001543	SINCAM000765
ENSLOCP00000001547	SINCAM011460
ENSLOCP00000001548	SINCAM011151
ENSLOCP00000001549	SINCAM005858
ENSLOCP00000001550	SINCAM001901
ENSLOCP00000001551	SINCAM008005
ENSLOCP00000001555	SINCAM012868
ENSLOCP00000001558	SINCAM009570
ENSLOCP00000001559	SINCAM015392
ENSLOCP00000001560	SINCAM922211
ENSLOCP00000001563	SINCAM004785
ENSLOCP00000001564	SINCAM010460
ENSLOCP00000001565	SINCAM011152
ENSLOCP00000001567	SINCAM012056
ENSLOCP00000001568	SINCAM009083
ENSLOCP00000001571	SINCAM006381
ENSLOCP00000001572	SINCAM922737
ENSLOCP00000001573	SINCAM001902
ENSLOCP00000001574	SINCAM008008
ENSLOCP00000001575	SINCAM004713
ENSLOCP00000001580	SINCAM014858
ENSLOCP00000001583	SINCAM014983
ENSLOCP00000001584	SINCAM008730
ENSLOCP00000001587	SINCAM010432
ENSLOCP00000001589	SINCAM011156
ENSLOCP00000001591	SINCAM009082
ENSLOCP00000001592	SINCAM001142
ENSLOCP00000001593	SINCAM009571
ENSLOCP00000001594	SINCAM007366
ENSLOCP00000001595	SINCAM002204
ENSLOCP00000001598	SINCAM012998
ENSLOCP00000001599	SINCAM007838
ENSLOCP00000001601	SINCAM920857
ENSLOCP00000001607	SINCAM002203
ENSLOCP00000001609	SINCAM920594
ENSLOCP00000001610	SINCAM013665
ENSLOCP00000001611	SINCAM010433
ENSLOCP00000001612	SINCAM007363
ENSLOCP00000001613	SINCAM005860
ENSLOCP00000001614	SINCAM011854
ENSLOCP00000001615	SINCAM015802
ENSLOCP00000001616	SINCAM006380
ENSLOCP00000001617	SINCAM008729
ENSLOCP00000001619	SINCAM004712
ENSLOCP00000001621	SINCAM921493
ENSLOCP00000001622	SINCAM012999
ENSLOCP00000001624	SINCAM007852
ENSLOCP00000001626	SINCAM011464
ENSLOCP00000001627	SINCAM000764
ENSLOCP00000001628	SINCAM002202
ENSLOCP00000001629	SINCAM011157
ENSLOCP00000001630	SINCAM015530
ENSLOCP00000001634	SINCAM010628
ENSLOCP00000001636	SINCAM006379
ENSLOCP00000001637	SINCAM001143
ENSLOCP00000001638	SINCAM921248
ENSLOCP00000001639	SINCAM002676
ENSLOCP00000001640	SINCAM004711
ENSLOCP00000001646	SINCAM005862
ENSLOCP00000001647	SINCAM011158
ENSLOCP00000001649	SINCAM000763
ENSLOCP00000001651	SINCAM007765
ENSLOCP00000001652	SINCAM002201
ENSLOCP00000001653	SINCAM013993
ENSLOCP00000001654	SINCAM014985
ENSLOCP00000001656	SINCAM004710
ENSLOCP00000001659	SINCAM001145
ENSLOCP00000001660	SINCAM013000
ENSLOCP00000001661	SINCAM009079
ENSLOCP00000001662	SINCAM005187
ENSLOCP00000001665	SINCAM013572
ENSLOCP00000001667	SINCAM004082
ENSLOCP00000001670	SINCAM007764
ENSLOCP00000001673	SINCAM013992
ENSLOCP00000001676	SINCAM011856
ENSLOCP00000001678	SINCAM011159
ENSLOCP00000001679	SINCAM920595
ENSLOCP00000001680	SINCAM009300
ENSLOCP00000001683	SINCAM010627
ENSLOCP00000001685	SINCAM011467
ENSLOCP00000001687	SINCAM011864
ENSLOCP00000001689	SINCAM005863
ENSLOCP00000001692	SINCAM009104
ENSLOCP00000001693	SINCAM007359
ENSLOCP00000001694	SINCAM013002
ENSLOCP00000001695	SINCAM922738
ENSLOCP00000001696	SINCAM005188
ENSLOCP00000001698	SINCAM010626
ENSLOCP00000001699	SINCAM011160
ENSLOCP00000001701	SINCAM004709
ENSLOCP00000001703	SINCAM001146
ENSLOCP00000001709	SINCAM003576
ENSLOCP00000001710	SINCAM007763
ENSLOCP00000001711	SINCAM007357
ENSLOCP00000001712	SINCAM011500
ENSLOCP00000001714	SINCAM001915
ENSLOCP00000001716	SINCAM009301
ENSLOCP00000001717	SINCAM920534
ENSLOCP00000001718	SINCAM002264
ENSLOCP00000001719	SINCAM005217
ENSLOCP00000001722	SINCAM004933
ENSLOCP00000001723	SINCAM007761
ENSLOCP00000001726	SINCAM008567
ENSLOCP00000001727	SINCAM007355
ENSLOCP00000001728	SINCAM922739
ENSLOCP00000001730	SINCAM011499
ENSLOCP00000001731	SINCAM010890
ENSLOCP00000001733	SINCAM009305
ENSLOCP00000001734	SINCAM002674
ENSLOCP00000001736	SINCAM006378
ENSLOCP00000001737	SINCAM007428
ENSLOCP00000001740	SINCAM011938
ENSLOCP00000001742	SINCAM005216
ENSLOCP00000001743	SINCAM013573
ENSLOCP00000001744	SINCAM013919
ENSLOCP00000001745	SINCAM011498
ENSLOCP00000001746	SINCAM000713
ENSLOCP00000001747	SINCAM001916
