e_gw.1.149.1	PMZ_0010867-RA
e_gw.1.91.1	PMZ_0040848-RA
e_gw.1.91.1	PMZ_0044868-RA
e_gw.1.97.1	PMZ_0046261-RA
e_gw.10.10.1	PMZ_0010971-RA
e_gw.10.10.1	PMZ_0010891-RA
e_gw.10.10.1	PMZ_0033858-RA
e_gw.10.10.1	PMZ_0045030-RA
e_gw.10.14.1	PMZ_0034752-RA
e_gw.10.14.1	PMZ_0005278-RA
e_gw.10.14.1	PMZ_0045735-RA
e_gw.10.14.1	PMZ_0029590-RA
e_gw.10.142.1	PMZ_0027784-RA
e_gw.10.142.1	PMZ_0005802-RA
e_gw.10.142.1	PMZ_0032011-RA
e_gw.10.142.1	PMZ_0038909-RA
e_gw.10.158.1	PMZ_0026464-RA
e_gw.10.173.1	PMZ_0030177-RA
e_gw.10.173.1	PMZ_0030186-RA
e_gw.10.182.1	PMZ_0011482-RA
e_gw.10.182.1	PMZ_0030072-RA
e_gw.10.182.1	PMZ_0034348-RA
e_gw.10.182.1	PMZ_0030534-RA
e_gw.10.187.1	PMZ_0004319-RA
e_gw.10.191.1	PMZ_0016074-RA
e_gw.10.191.1	PMZ_0034827-RA
e_gw.10.191.1	PMZ_0029250-RA
e_gw.10.191.1	PMZ_0043580-RA
e_gw.10.236.1	PMZ_0041996-RA
e_gw.10.258.1	PMZ_0018216-RA
e_gw.10.282.1	PMZ_0043614-RA
e_gw.10.3.1	PMZ_0031118-RA
e_gw.10.3.1	PMZ_0047713-RA
e_gw.10.308.1	PMZ_0027551-RA
e_gw.10.370.1	PMZ_0018323-RA
e_gw.10.370.1	PMZ_0046109-RA
e_gw.10.370.1	PMZ_0046108-RA
e_gw.10.378.1	PMZ_0043570-RA
e_gw.10.451.1	PMZ_0041755-RA
e_gw.10.451.1	PMZ_0043276-RA
e_gw.10.460.1	PMZ_0027411-RA
e_gw.10.466.1	PMZ_0026667-RA
e_gw.10.470.1	PMZ_0021472-RA
e_gw.10.470.1	PMZ_0018484-RA
e_gw.10.493.1	PMZ_0031082-RA
e_gw.10.493.1	PMZ_0047703-RA
e_gw.10.493.1	PMZ_0043597-RA
e_gw.10.50.1	PMZ_0048460-RA
e_gw.10.59.1	PMZ_0044620-RA
e_gw.10.59.1	PMZ_0044621-RA
e_gw.10.60.1	PMZ_0029007-RA
e_gw.10.60.1	PMZ_0011185-RA
e_gw.10.60.1	PMZ_0019230-RA
e_gw.10.60.1	PMZ_0033792-RA
e_gw.10.61.1	PMZ_0020245-RA
e_gw.10.75.1	PMZ_0002628-RA
e_gw.10.78.1	PMZ_0043598-RA
e_gw.10.85.1	PMZ_0014317-RA
e_gw.10.92.1	PMZ_0041987-RA
e_gw.10.96.1	PMZ_0011897-RA
e_gw.10.96.1	PMZ_0047686-RA
e_gw.10.98.1	PMZ_0037831-RA
e_gw.10.99.1	PMZ_0030593-RA
e_gw.100.150.1	PMZ_0028656-RA
e_gw.100.150.1	PMZ_0040627-RA
e_gw.100.150.1	PMZ_0038130-RA
e_gw.100.164.1	PMZ_0046585-RA
e_gw.100.28.1	PMZ_0038558-RA
e_gw.100.30.1	PMZ_0034131-RA
e_gw.100.50.1	PMZ_0018389-RA
e_gw.100.50.1	PMZ_0031605-RA
e_gw.100.50.1	PMZ_0037424-RA
e_gw.100.57.1	PMZ_0005424-RA
e_gw.1003.7.1	PMZ_0044777-RA
e_gw.101.134.1	PMZ_0044335-RA
e_gw.101.15.1	PMZ_0009552-RA
e_gw.101.15.1	PMZ_0047468-RA
e_gw.101.15.1	PMZ_0044982-RA
e_gw.101.176.1	PMZ_0042559-RA
e_gw.101.18.1	PMZ_0044341-RA
e_gw.101.18.1	PMZ_0028694-RA
e_gw.101.18.1	PMZ_0006900-RA
e_gw.101.21.1	PMZ_0041699-RA
e_gw.101.53.1	PMZ_0012710-RA
e_gw.101.53.1	PMZ_0034789-RA
e_gw.101.8.1	PMZ_0036364-RA
e_gw.101.84.1	PMZ_0045567-RA
e_gw.101.91.1	PMZ_0013833-RA
e_gw.101.99.1	PMZ_0033574-RA
e_gw.1011.13.1	PMZ_0036947-RA
e_gw.1012.11.1	PMZ_0041821-RA
e_gw.1017.1.1	PMZ_0047187-RA
e_gw.102.122.1	PMZ_0040089-RA
e_gw.102.141.1	PMZ_0027203-RA
e_gw.102.141.1	PMZ_0041374-RA
e_gw.102.141.1	PMZ_0032951-RA
e_gw.102.141.1	PMZ_0041741-RA
e_gw.102.143.1	PMZ_0008378-RA
e_gw.102.92.1	PMZ_0043162-RA
e_gw.1022.6.1	PMZ_0045197-RA
e_gw.103.22.1	PMZ_0029820-RA
e_gw.103.22.1	PMZ_0047073-RA
e_gw.103.36.1	PMZ_0031153-RA
e_gw.103.45.1	PMZ_0045000-RA
e_gw.1038.5.1	PMZ_0044852-RA
e_gw.104.113.1	PMZ_0029221-RA
e_gw.104.119.1	PMZ_0040847-RA
e_gw.104.119.1	PMZ_0007678-RA
e_gw.104.75.1	PMZ_0016172-RA
e_gw.104.76.1	PMZ_0040000-RA
e_gw.1048.1.1	PMZ_0044497-RA
e_gw.105.127.1	PMZ_0032861-RA
e_gw.105.156.1	PMZ_0045577-RA
e_gw.105.207.1	PMZ_0046127-RA
e_gw.105.209.1	PMZ_0048009-RA
e_gw.105.211.1	PMZ_0045575-RA
e_gw.105.225.1	PMZ_0035645-RA
e_gw.105.28.1	PMZ_0043756-RA
e_gw.105.49.1	PMZ_0045413-RA
e_gw.105.50.1	PMZ_0008518-RA
e_gw.105.50.1	PMZ_0046142-RA
e_gw.105.65.1	PMZ_0008519-RA
e_gw.105.9.1	PMZ_0010155-RA
e_gw.105.91.1	PMZ_0035857-RA
e_gw.1055.12.1	PMZ_0033588-RA
e_gw.1055.6.1	PMZ_0046258-RA
e_gw.1056.1.1	PMZ_0046481-RA
e_gw.1056.4.1	PMZ_0033261-RA
e_gw.1056.4.1	PMZ_0041960-RA
e_gw.1058.4.1	PMZ_0030836-RA
e_gw.1058.4.1	PMZ_0047512-RA
e_gw.106.163.1	PMZ_0028697-RA
e_gw.106.163.1	PMZ_0033707-RA
e_gw.106.170.1	PMZ_0045105-RA
e_gw.106.176.1	PMZ_0026608-RA
e_gw.106.176.1	PMZ_0032855-RA
e_gw.106.176.1	PMZ_0048399-RA
e_gw.106.176.1	PMZ_0034666-RA
e_gw.106.42.1	PMZ_0037449-RA
e_gw.106.61.1	PMZ_0042324-RA
e_gw.106.69.1	PMZ_0033563-RA
e_gw.107.13.1	PMZ_0026426-RA
e_gw.107.13.1	PMZ_0026334-RA
e_gw.107.13.1	PMZ_0045776-RA
e_gw.107.13.1	PMZ_0031786-RA
e_gw.107.151.1	PMZ_0037480-RA
e_gw.107.2.1	PMZ_0046456-RA
e_gw.107.40.1	PMZ_0017089-RA
e_gw.107.43.1	PMZ_0026216-RA
e_gw.107.43.1	PMZ_0045899-RA
e_gw.1077.2.1	PMZ_0043705-RA
e_gw.108.29.1	PMZ_0006451-RA
e_gw.108.29.1	PMZ_0045944-RA
e_gw.108.30.1	PMZ_0041594-RA
e_gw.108.30.1	PMZ_0035065-RA
e_gw.108.30.1	PMZ_0046652-RA
e_gw.108.30.1	PMZ_0046394-RA
e_gw.108.31.1	PMZ_0037138-RA
e_gw.108.31.1	PMZ_0048887-RA
e_gw.108.31.1	PMZ_0047822-RA
e_gw.108.31.1	PMZ_0036529-RA
e_gw.108.33.1	PMZ_0045201-RA
e_gw.108.36.1	PMZ_0010343-RA
e_gw.108.95.1	PMZ_0032363-RA
e_gw.108.95.1	PMZ_0046252-RA
e_gw.108.96.1	PMZ_0034134-RA
e_gw.108.96.1	PMZ_0044748-RA
e_gw.108.96.1	PMZ_0047907-RA
e_gw.1085.1.1	PMZ_0028696-RA
e_gw.1086.1.1	PMZ_0001435-RA
e_gw.1086.1.1	PMZ_0040267-RA
e_gw.109.186.1	PMZ_0048806-RA
e_gw.109.42.1	PMZ_0026227-RA
e_gw.109.54.1	PMZ_0041874-RA
e_gw.109.90.1	PMZ_0026045-RA
e_gw.1090.2.1	PMZ_0035827-RA
e_gw.11.104.1	PMZ_0037554-RA
e_gw.11.173.1	PMZ_0040333-RA
e_gw.11.175.1	PMZ_0046952-RA
e_gw.11.178.1	PMZ_0045719-RA
e_gw.11.216.1	PMZ_0047314-RA
e_gw.11.457.1	PMZ_0044173-RA
e_gw.11.460.1	PMZ_0048053-RA
e_gw.11.841.1	PMZ_0042374-RA
e_gw.11.853.1	PMZ_0033222-RA
e_gw.11.853.1	PMZ_0046167-RA
e_gw.11.861.1	PMZ_0027547-RA
e_gw.11.861.1	PMZ_0045090-RA
e_gw.11.885.1	PMZ_0030826-RA
e_gw.110.105.1	PMZ_0041894-RA
e_gw.110.105.1	PMZ_0012126-RA
e_gw.110.107.1	PMZ_0035328-RA
e_gw.110.123.1	PMZ_0046487-RA
e_gw.110.123.1	PMZ_0046486-RA
e_gw.110.14.1	PMZ_0034140-RA
e_gw.111.147.1	PMZ_0043177-RA
e_gw.111.24.1	PMZ_0035477-RA
e_gw.111.24.1	PMZ_0030459-RA
e_gw.111.242.1	PMZ_0044447-RA
e_gw.111.242.1	PMZ_0030938-RA
e_gw.111.242.1	PMZ_0004052-RA
e_gw.111.242.1	PMZ_0028844-RA
e_gw.111.81.1	PMZ_0045225-RA
e_gw.111.9.1	PMZ_0007267-RA
e_gw.111.9.1	PMZ_0041624-RA
e_gw.111.9.1	PMZ_0042116-RA
e_gw.111.9.1	PMZ_0041625-RA
e_gw.1111.1.1	PMZ_0041030-RA
e_gw.235.11.1	PMZ_0034044-RA
e_gw.235.26.1	PMZ_0027645-RA
e_gw.235.26.1	PMZ_0048446-RA
e_gw.235.26.1	PMZ_0048447-RA
e_gw.235.26.1	PMZ_0037366-RA
e_gw.235.29.1	PMZ_0034746-RA
e_gw.235.32.1	PMZ_0041640-RA
e_gw.235.32.1	PMZ_0041641-RA
e_gw.235.32.1	PMZ_0043542-RA
e_gw.235.36.1	PMZ_0040218-RA
e_gw.235.50.1	PMZ_0047628-RA
e_gw.235.50.1	PMZ_0046473-RA
e_gw.236.1.1	PMZ_0028849-RA
e_gw.236.24.1	PMZ_0012231-RA
e_gw.236.24.1	PMZ_0003614-RA
e_gw.236.83.1	PMZ_0048921-RA
e_gw.237.11.1	PMZ_0001346-RA
e_gw.237.11.1	PMZ_0049008-RA
e_gw.237.119.1	PMZ_0040475-RA
e_gw.237.119.1	PMZ_0019890-RA
e_gw.237.132.1	PMZ_0008326-RA
e_gw.237.138.1	PMZ_0015753-RA
e_gw.237.138.1	PMZ_0043225-RA
e_gw.237.138.1	PMZ_0047234-RA
e_gw.237.138.1	PMZ_0043226-RA
e_gw.237.152.1	PMZ_0045511-RA
e_gw.237.39.1	PMZ_0007255-RA
e_gw.237.39.1	PMZ_0007253-RA
e_gw.237.43.1	PMZ_0011375-RA
e_gw.237.43.1	PMZ_0014122-RA
e_gw.237.43.1	PMZ_0039216-RA
e_gw.237.43.1	PMZ_0001187-RA
e_gw.237.44.1	PMZ_0001182-RA
e_gw.237.44.1	PMZ_0048835-RA
e_gw.237.44.1	PMZ_0036327-RA
e_gw.237.44.1	PMZ_0035953-RA
e_gw.237.70.1	PMZ_0048216-RA
e_gw.237.96.1	PMZ_0031432-RA
e_gw.238.122.1	PMZ_0019339-RA
e_gw.238.151.1	PMZ_0036000-RA
e_gw.238.151.1	PMZ_0042383-RA
e_gw.238.151.1	PMZ_0042382-RA
e_gw.238.16.1	PMZ_0014522-RA
e_gw.238.16.1	PMZ_0044715-RA
e_gw.238.16.1	PMZ_0029677-RA
e_gw.238.16.1	PMZ_0029678-RA
e_gw.238.3.1	PMZ_0038439-RA
e_gw.238.3.1	PMZ_0047845-RA
e_gw.238.39.1	PMZ_0027032-RA
e_gw.238.39.1	PMZ_0041920-RA
e_gw.238.39.1	PMZ_0036238-RA
e_gw.238.39.1	PMZ_0048659-RA
e_gw.239.7.1	PMZ_0040535-RA
e_gw.24.103.1	PMZ_0044892-RA
e_gw.24.103.1	PMZ_0047789-RA
e_gw.24.105.1	PMZ_0006569-RA
e_gw.24.106.1	PMZ_0011606-RA
e_gw.24.123.1	PMZ_0042910-RA
e_gw.24.123.1	PMZ_0042909-RA
e_gw.24.125.1	PMZ_0017644-RA
e_gw.24.135.1	PMZ_0012359-RA
e_gw.24.166.1	PMZ_0034650-RA
e_gw.24.191.1	PMZ_0048413-RA
e_gw.24.282.1	PMZ_0037748-RA
e_gw.24.291.1	PMZ_0038965-RA
e_gw.24.327.1	PMZ_0045643-RA
e_gw.24.37.1	PMZ_0042958-RA
e_gw.24.37.1	PMZ_0032584-RA
e_gw.24.37.1	PMZ_0032583-RA
e_gw.24.37.1	PMZ_0045016-RA
e_gw.24.399.1	PMZ_0013288-RA
e_gw.24.399.1	PMZ_0040150-RA
e_gw.24.63.1	PMZ_0038325-RA
e_gw.24.75.1	PMZ_0000478-RA
e_gw.240.29.1	PMZ_0031497-RA
e_gw.240.62.1	PMZ_0041150-RA
e_gw.240.64.1	PMZ_0042449-RA
e_gw.240.64.1	PMZ_0042800-RA
e_gw.240.69.1	PMZ_0004488-RA
e_gw.241.30.1	PMZ_0032398-RA
e_gw.241.30.1	PMZ_0043588-RA
e_gw.241.30.1	PMZ_0047002-RA
e_gw.241.30.1	PMZ_0036236-RA
e_gw.241.4.1	PMZ_0014268-RA
e_gw.241.4.1	PMZ_0044466-RA
e_gw.241.68.1	PMZ_0048673-RA
e_gw.241.76.1	PMZ_0047646-RA
e_gw.241.86.1	PMZ_0031115-RA
e_gw.242.18.1	PMZ_0005521-RA
e_gw.242.18.1	PMZ_0042262-RA
e_gw.242.18.1	PMZ_0017970-RA
e_gw.242.22.1	PMZ_0028063-RA
e_gw.242.22.1	PMZ_0029295-RA
e_gw.242.22.1	PMZ_0031113-RA
e_gw.242.24.1	PMZ_0027125-RA
e_gw.242.24.1	PMZ_0001003-RA
e_gw.242.24.1	PMZ_0030563-RA
e_gw.242.79.1	PMZ_0040714-RA
e_gw.243.18.1	PMZ_0026651-RA
e_gw.243.18.1	PMZ_0014458-RA
e_gw.243.28.1	PMZ_0020177-RA
e_gw.243.28.1	PMZ_0002508-RA
e_gw.243.6.1	PMZ_0027639-RA
e_gw.243.6.1	PMZ_0028719-RA
e_gw.243.6.1	PMZ_0008316-RA
e_gw.243.6.1	PMZ_0034331-RA
e_gw.244.71.1	PMZ_0030162-RA
e_gw.244.71.1	PMZ_0026435-RA
e_gw.245.130.1	PMZ_0048558-RA
e_gw.245.135.1	PMZ_0030276-RA
e_gw.245.141.1	PMZ_0042859-RA
e_gw.245.235.1	PMZ_0033130-RA
e_gw.245.29.1	PMZ_0035021-RA
e_gw.245.59.1	PMZ_0031582-RA
e_gw.245.93.1	PMZ_0040105-RA
e_gw.245.93.1	PMZ_0039093-RA
e_gw.246.12.1	PMZ_0048685-RA
e_gw.246.12.1	PMZ_0038522-RA
e_gw.246.31.1	PMZ_0010167-RA
e_gw.246.31.1	PMZ_0043689-RA
e_gw.246.31.1	PMZ_0004692-RA
e_gw.246.31.1	PMZ_0000819-RA
e_gw.246.52.1	PMZ_0040822-RA
e_gw.246.52.1	PMZ_0029701-RA
e_gw.247.17.1	PMZ_0036487-RA
e_gw.247.35.1	PMZ_0048217-RA
e_gw.247.45.1	PMZ_0040486-RA
e_gw.247.62.1	PMZ_0030774-RA
e_gw.247.62.1	PMZ_0000185-RA
e_gw.247.62.1	PMZ_0001684-RA
e_gw.248.28.1	PMZ_0042842-RA
e_gw.248.77.1	PMZ_0029870-RA
e_gw.248.77.1	PMZ_0048343-RA
e_gw.249.14.1	PMZ_0040674-RA
e_gw.249.29.1	PMZ_0044654-RA
e_gw.249.29.1	PMZ_0048863-RA
e_gw.249.73.1	PMZ_0040414-RA
e_gw.249.81.1	PMZ_0002798-RA
e_gw.249.89.1	PMZ_0005560-RA
e_gw.25.105.1	PMZ_0034778-RA
e_gw.25.118.1	PMZ_0043747-RA
e_gw.25.121.1	PMZ_0015164-RA
e_gw.25.141.1	PMZ_0033096-RA
e_gw.25.187.1	PMZ_0041165-RA
e_gw.25.187.1	PMZ_0034614-RA
e_gw.25.187.1	PMZ_0034613-RA
e_gw.25.2.1	PMZ_0014888-RA
e_gw.25.2.1	PMZ_0047134-RA
e_gw.25.268.1	PMZ_0048760-RA
e_gw.25.39.1	PMZ_0044517-RA
e_gw.25.5.1	PMZ_0030381-RA
e_gw.25.5.1	PMZ_0036925-RA
e_gw.25.81.1	PMZ_0044068-RA
e_gw.25.81.1	PMZ_0044069-RA
e_gw.25.83.1	PMZ_0038292-RA
e_gw.25.99.1	PMZ_0015053-RA
e_gw.250.114.1	PMZ_0048114-RA
e_gw.250.133.1	PMZ_0002129-RA
e_gw.250.147.1	PMZ_0041792-RA
e_gw.250.42.1	PMZ_0037744-RA
e_gw.250.55.1	PMZ_0029324-RA
e_gw.251.57.1	PMZ_0036288-RA
e_gw.251.63.1	PMZ_0042952-RA
e_gw.251.64.1	PMZ_0003905-RA
e_gw.251.66.1	PMZ_0015505-RA
e_gw.251.66.1	PMZ_0047938-RA
e_gw.252.146.1	PMZ_0048319-RA
e_gw.252.51.1	PMZ_0048186-RA
e_gw.252.67.1	PMZ_0042009-RA
e_gw.252.93.1	PMZ_0044176-RA
e_gw.252.93.1	PMZ_0036722-RA
e_gw.2527.2.1	PMZ_0041203-RA
e_gw.253.33.1	PMZ_0035599-RA
e_gw.253.49.1	PMZ_0044612-RA
e_gw.253.9.1	PMZ_0034576-RA
e_gw.254.180.1	PMZ_0015840-RA
e_gw.254.41.1	PMZ_0012516-RA
e_gw.254.41.1	PMZ_0046343-RA
e_gw.254.43.1	PMZ_0031652-RA
e_gw.254.44.1	PMZ_0024018-RB
e_gw.2546.1.1	PMZ_0011568-RA
e_gw.255.15.1	PMZ_0011353-RA
e_gw.255.15.1	PMZ_0045805-RA
e_gw.256.1.1	PMZ_0028962-RA
e_gw.257.101.1	PMZ_0036304-RA
e_gw.257.101.1	PMZ_0042289-RA
e_gw.258.111.1	PMZ_0047785-RA
e_gw.258.119.1	PMZ_0044074-RA
e_gw.258.141.1	PMZ_0043820-RA
e_gw.258.141.1	PMZ_0026371-RA
e_gw.258.141.1	PMZ_0043821-RA
e_gw.258.21.1	PMZ_0044477-RA
e_gw.258.55.1	PMZ_0047014-RA
e_gw.258.76.1	PMZ_0017226-RA
e_gw.258.89.1	PMZ_0020926-RA
e_gw.259.244.1	PMZ_0029254-RA
e_gw.259.248.1	PMZ_0031306-RA
e_gw.259.28.1	PMZ_0033650-RA
e_gw.259.35.1	PMZ_0042265-RA
e_gw.259.37.1	PMZ_0042860-RA
e_gw.259.41.1	PMZ_0002852-RA
e_gw.26.106.1	PMZ_0044383-RA
e_gw.26.107.1	PMZ_0044382-RA
e_gw.26.107.1	PMZ_0044711-RA
e_gw.26.159.1	PMZ_0002443-RA
e_gw.26.239.1	PMZ_0034272-RA
e_gw.26.239.1	PMZ_0037044-RA
e_gw.26.335.1	PMZ_0027440-RA
e_gw.26.36.1	PMZ_0002520-RA
e_gw.26.82.1	PMZ_0045083-RA
e_gw.26.83.1	PMZ_0026170-RA
e_gw.26.83.1	PMZ_0044367-RA
e_gw.26.83.1	PMZ_0007258-RA
e_gw.26.85.1	PMZ_0034569-RA
e_gw.26.85.1	PMZ_0048029-RA
e_gw.26.87.1	PMZ_0014904-RA
e_gw.26.87.1	PMZ_0036844-RA
e_gw.26.87.1	PMZ_0035060-RA
e_gw.26.87.1	PMZ_0034781-RA
e_gw.26.94.1	PMZ_0046185-RA
e_gw.26.99.1	PMZ_0011764-RA
e_gw.260.11.1	PMZ_0030792-RA
e_gw.260.11.1	PMZ_0041857-RA
e_gw.260.32.1	PMZ_0030791-RA
e_gw.260.32.1	PMZ_0041383-RA
e_gw.260.32.1	PMZ_0037542-RA
e_gw.260.36.1	PMZ_0043513-RA
e_gw.260.40.1	PMZ_0038754-RA
e_gw.260.79.1	PMZ_0001979-RA
e_gw.260.82.1	PMZ_0048275-RA
e_gw.260.82.1	PMZ_0035681-RA
e_gw.260.82.1	PMZ_0048261-RA
e_gw.260.82.1	PMZ_0035682-RA
e_gw.260.85.1	PMZ_0037888-RA
e_gw.261.1.1	PMZ_0032970-RA
e_gw.261.20.1	PMZ_0043403-RA
e_gw.261.7.1	PMZ_0019130-RA
e_gw.262.16.1	PMZ_0004210-RA
e_gw.262.16.1	PMZ_0032843-RA
e_gw.262.16.1	PMZ_0012899-RA
e_gw.262.16.1	PMZ_0038197-RA
e_gw.262.30.1	PMZ_0037747-RA
e_gw.262.7.1	PMZ_0045815-RA
e_gw.263.12.1	PMZ_0048298-RA
e_gw.263.16.1	PMZ_0029064-RA
e_gw.263.16.1	PMZ_0045858-RA
e_gw.264.24.1	PMZ_0038190-RA
e_gw.264.25.1	PMZ_0010552-RA
e_gw.264.25.1	PMZ_0034969-RA
e_gw.264.30.1	PMZ_0031997-RA
e_gw.264.39.1	PMZ_0029461-RA
e_gw.264.39.1	PMZ_0035200-RA
e_gw.264.39.1	PMZ_0040211-RA
e_gw.264.39.1	PMZ_0040210-RA
e_gw.264.61.1	PMZ_0023470-RA
e_gw.264.61.1	PMZ_0033281-RA
e_gw.264.61.1	PMZ_0020099-RA
e_gw.264.61.1	PMZ_0048207-RA
e_gw.265.25.1	PMZ_0006646-RB
e_gw.265.49.1	PMZ_0047369-RA
e_gw.265.59.1	PMZ_0008323-RA
e_gw.266.114.1	PMZ_0030809-RA
e_gw.266.196.1	PMZ_0045199-RA
e_gw.266.270.1	PMZ_0040422-RA
e_gw.266.64.1	PMZ_0046606-RA
e_gw.267.117.1	PMZ_0030674-RA
e_gw.268.1.1	PMZ_0040921-RA
e_gw.268.23.1	PMZ_0026587-RA
e_gw.268.23.1	PMZ_0028880-RA
e_gw.268.4.1	PMZ_0015101-RA
e_gw.268.4.1	PMZ_0035080-RA
e_gw.269.20.1	PMZ_0042240-RA
e_gw.269.20.1	PMZ_0048409-RA
e_gw.269.39.1	PMZ_0035258-RA
e_gw.269.58.1	PMZ_0031633-RA
e_gw.269.58.1	PMZ_0044101-RA
e_gw.269.58.1	PMZ_0042062-RA
e_gw.269.9.1	PMZ_0015314-RA
e_gw.27.105.1	PMZ_0044427-RA
e_gw.27.105.1	PMZ_0035430-RA
e_gw.27.106.1	PMZ_0031307-RA
e_gw.27.106.1	PMZ_0044474-RA
e_gw.27.106.1	PMZ_0045203-RA
e_gw.27.106.1	PMZ_0036876-RA
e_gw.27.118.1	PMZ_0034927-RA
e_gw.27.119.1	PMZ_0028200-RA
e_gw.27.144.1	PMZ_0002721-RA
e_gw.27.146.1	PMZ_0048227-RA
e_gw.27.148.1	PMZ_0036221-RA
e_gw.27.182.1	PMZ_0043624-RA
e_gw.27.300.1	PMZ_0044438-RA
e_gw.27.31.1	PMZ_0018443-RA
e_gw.27.335.1	PMZ_0039055-RA
e_gw.27.366.1	PMZ_0016398-RA
e_gw.27.366.1	PMZ_0036614-RA
e_gw.27.41.1	PMZ_0035818-RA
e_gw.27.41.1	PMZ_0015485-RA
e_gw.27.41.1	PMZ_0034256-RA
e_gw.27.80.1	PMZ_0046393-RA
e_gw.27.84.1	PMZ_0043972-RA
e_gw.270.42.1	PMZ_0040188-RA
e_gw.270.54.1	PMZ_0027168-RA
e_gw.270.54.1	PMZ_0047353-RA
e_gw.270.92.1	PMZ_0005982-RA
e_gw.271.1.1	PMZ_0022342-RA
e_gw.271.16.1	PMZ_0047887-RA
e_gw.271.16.1	PMZ_0047969-RA
e_gw.271.36.1	PMZ_0043449-RA
e_gw.271.43.1	PMZ_0019132-RA
e_gw.271.55.1	PMZ_0043330-RA
e_gw.271.72.1	PMZ_0030794-RA
e_gw.272.1.1	PMZ_0031188-RA
e_gw.272.1.1	PMZ_0006824-RA
e_gw.272.3.1	PMZ_0042759-RA
e_gw.272.3.1	PMZ_0046706-RA
e_gw.272.3.1	PMZ_0041651-RA
e_gw.272.3.1	PMZ_0048642-RA
e_gw.272.4.1	PMZ_0034794-RA
e_gw.272.4.1	PMZ_0041650-RA
e_gw.272.67.1	PMZ_0017277-RA
e_gw.272.91.1	PMZ_0042786-RA
e_gw.272.91.1	PMZ_0030732-RA
e_gw.272.95.1	PMZ_0040795-RA
e_gw.272.98.1	PMZ_0018991-RA
e_gw.273.10.1	PMZ_0040463-RA
e_gw.273.15.1	PMZ_0031949-RA
e_gw.273.16.1	PMZ_0033310-RA
e_gw.273.32.1	PMZ_0046768-RA
e_gw.273.54.1	PMZ_0039067-RA
e_gw.273.94.1	PMZ_0026655-RA
e_gw.274.25.1	PMZ_0017067-RA
e_gw.274.25.1	PMZ_0031054-RA
e_gw.274.36.1	PMZ_0037273-RA
e_gw.275.25.1	PMZ_0047736-RA
e_gw.275.29.1	PMZ_0003625-RA
e_gw.275.81.1	PMZ_0044585-RA
e_gw.275.81.1	PMZ_0044115-RA
e_gw.275.81.1	PMZ_0034243-RA
e_gw.276.23.1	PMZ_0044488-RA
e_gw.276.28.1	PMZ_0041863-RA
e_gw.276.28.1	PMZ_0026358-RA
e_gw.276.35.1	PMZ_0000457-RA
e_gw.276.37.1	PMZ_0041373-RA
e_gw.276.49.1	PMZ_0043932-RA
e_gw.276.93.1	PMZ_0026554-RA
e_gw.276.93.1	PMZ_0046743-RA
e_gw.277.101.1	PMZ_0005297-RA
e_gw.277.122.1	PMZ_0026484-RA
e_gw.277.5.1	PMZ_0043184-RA
e_gw.277.50.1	PMZ_0014533-RA
e_gw.277.78.1	PMZ_0010651-RA
e_gw.277.78.1	PMZ_0029714-RA
e_gw.277.78.1	PMZ_0035280-RA
e_gw.277.83.1	PMZ_0029352-RA
e_gw.277.86.1	PMZ_0041306-RA
