ENSMGAP00000004051	fgenesh2_pg.scaffold_351000043
ENSMGAP00000000739	fgenesh2_pg.scaffold_417000011
ENSMGAP00000011858	fgenesh2_pg.scaffold_417000012
ENSMGAP00000011836	fgenesh2_pg.scaffold_417000012
ENSMGAP00000016443	fgenesh2_pg.scaffold_418000001
ENSMGAP00000019191	fgenesh2_pg.scaffold_418000002
ENSMGAP00000014555	fgenesh2_pg.scaffold_418000015
ENSMGAP00000015365	fgenesh2_pg.scaffold_418000024
ENSMGAP00000019307	fgenesh2_pg.scaffold_419000014
ENSMGAP00000010981	fgenesh2_pg.scaffold_420000014
ENSMGAP00000005759	fgenesh2_pg.scaffold_420000017
ENSMGAP00000005511	fgenesh2_pg.scaffold_420000019
ENSMGAP00000009574	fgenesh2_pg.scaffold_421000002
ENSMGAP00000000247	fgenesh2_pg.scaffold_421000008
ENSMGAP00000019243	fgenesh2_pg.scaffold_421000019
ENSMGAP00000019265	fgenesh2_pg.scaffold_421000023
ENSMGAP00000014409	fgenesh2_pg.scaffold_422000008
ENSMGAP00000007972	fgenesh2_pg.scaffold_422000013
ENSMGAP00000019838	fgenesh2_pg.scaffold_422000020
ENSMGAP00000008138	fgenesh2_pg.scaffold_423000012
ENSMGAP00000000579	fgenesh2_pg.scaffold_423000012
ENSMGAP00000014232	fgenesh2_pg.scaffold_423000016
ENSMGAP00000009758	fgenesh2_pg.scaffold_423000017
ENSMGAP00000010792	fgenesh2_pg.scaffold_423000025
ENSMGAP00000018055	fgenesh2_pg.scaffold_423000030
ENSMGAP00000010449	fgenesh2_pg.scaffold_425000008
ENSMGAP00000015831	fgenesh2_pg.scaffold_426000022
ENSMGAP00000005402	fgenesh2_pg.scaffold_426000024
ENSMGAP00000001752	fgenesh2_pg.scaffold_427000017
ENSMGAP00000016210	fgenesh2_pg.scaffold_429000008
ENSMGAP00000013955	fgenesh2_pg.scaffold_429000016
ENSMGAP00000008478	fgenesh2_pg.scaffold_430000006
ENSMGAP00000007081	fgenesh2_pg.scaffold_430000022
ENSMGAP00000019021	fgenesh2_pg.scaffold_431000045
ENSMGAP00000006743	fgenesh2_pg.scaffold_432000036
ENSMGAP00000017968	fgenesh2_pg.scaffold_432000042
ENSMGAP00000003490	fgenesh2_pg.scaffold_434000026
ENSMGAP00000012380	fgenesh2_pg.scaffold_435000006
ENSMGAP00000000891	fgenesh2_pg.scaffold_436000014
ENSMGAP00000005319	fgenesh2_pg.scaffold_436000015
ENSMGAP00000003945	fgenesh2_pg.scaffold_438000005
ENSMGAP00000005534	fgenesh2_pg.scaffold_438000005
ENSMGAP00000017487	fgenesh2_pg.scaffold_438000005
ENSMGAP00000003963	fgenesh2_pg.scaffold_438000005
ENSMGAP00000007411	fgenesh2_pg.scaffold_438000005
ENSMGAP00000009346	fgenesh2_pg.scaffold_438000008
ENSMGAP00000016314	fgenesh2_pg.scaffold_438000009
ENSMGAP00000016736	fgenesh2_pg.scaffold_439000005
ENSMGAP00000013250	fgenesh2_pg.scaffold_439000020
ENSMGAP00000015603	fgenesh2_pg.scaffold_439000027
ENSMGAP00000013545	fgenesh2_pg.scaffold_439000027
ENSMGAP00000001164	fgenesh2_pg.scaffold_440000010
ENSMGAP00000008762	fgenesh2_pg.scaffold_442000010
ENSMGAP00000018963	fgenesh2_pg.scaffold_442000053
ENSMGAP00000006755	fgenesh2_pg.scaffold_443000004
ENSMGAP00000009555	fgenesh2_pg.scaffold_445000011
ENSMGAP00000008825	fgenesh2_pg.scaffold_446000002
ENSMGAP00000011757	fgenesh2_pg.scaffold_446000010
ENSMGAP00000011238	fgenesh2_pg.scaffold_446000012
ENSMGAP00000013770	fgenesh2_pg.scaffold_446000018
ENSMGAP00000012329	fgenesh2_pg.scaffold_446000029
ENSMGAP00000002488	fgenesh2_pg.scaffold_446000033
ENSMGAP00000003323	fgenesh2_pg.scaffold_447000005
ENSMGAP00000019844	fgenesh2_pg.scaffold_447000013
ENSMGAP00000007462	fgenesh2_pg.scaffold_447000026
ENSMGAP00000009294	fgenesh2_pg.scaffold_447000026
ENSMGAP00000005488	fgenesh2_pg.scaffold_448000011
ENSMGAP00000013049	fgenesh2_pg.scaffold_449000021
ENSMGAP00000003317	fgenesh2_pg.scaffold_450000016
ENSMGAP00000019774	fgenesh2_pg.scaffold_450000016
ENSMGAP00000010105	fgenesh2_pg.scaffold_450000016
ENSMGAP00000007624	fgenesh2_pg.scaffold_450000016
ENSMGAP00000006031	fgenesh2_pg.scaffold_451000018
ENSMGAP00000002544	fgenesh2_pg.scaffold_451000018
ENSMGAP00000001168	fgenesh2_pg.scaffold_451000022
ENSMGAP00000007978	fgenesh2_pg.scaffold_452000028
ENSMGAP00000004536	fgenesh2_pg.scaffold_452000036
ENSMGAP00000008657	fgenesh2_pg.scaffold_452000042
ENSMGAP00000004980	fgenesh2_pg.scaffold_453000018
ENSMGAP00000001008	fgenesh2_pg.scaffold_454000007
ENSMGAP00000009390	fgenesh2_pg.scaffold_454000010
ENSMGAP00000009054	fgenesh2_pg.scaffold_454000014
ENSMGAP00000018243	fgenesh2_pg.scaffold_455000010
ENSMGAP00000007486	fgenesh2_pg.scaffold_455000014
ENSMGAP00000015306	fgenesh2_pg.scaffold_458000006
ENSMGAP00000015171	fgenesh2_pg.scaffold_458000006
ENSMGAP00000016240	fgenesh2_pg.scaffold_458000013
ENSMGAP00000012034	fgenesh2_pg.scaffold_458000014
ENSMGAP00000016357	fgenesh2_pg.scaffold_458000015
ENSMGAP00000001090	fgenesh2_pg.scaffold_458000015
ENSMGAP00000000094	fgenesh2_pg.scaffold_458000016
ENSMGAP00000003857	fgenesh2_pg.scaffold_458000024
ENSMGAP00000011051	fgenesh2_pg.scaffold_459000002
ENSMGAP00000018696	fgenesh2_pg.scaffold_459000004
ENSMGAP00000001303	fgenesh2_pg.scaffold_459000008
ENSMGAP00000000728	fgenesh2_pg.scaffold_459000031
ENSMGAP00000017086	fgenesh2_pg.scaffold_459000042
ENSMGAP00000007053	fgenesh2_pg.scaffold_460000014
ENSMGAP00000014336	fgenesh2_pg.scaffold_461000014
ENSMGAP00000017413	fgenesh2_pg.scaffold_463000016
ENSMGAP00000004199	fgenesh2_pg.scaffold_463000018
ENSMGAP00000009642	fgenesh2_pg.scaffold_463000032
ENSMGAP00000009651	fgenesh2_pg.scaffold_463000045
ENSMGAP00000006286	fgenesh2_pg.scaffold_463000051
ENSMGAP00000005450	fgenesh2_pg.scaffold_464000003
ENSMGAP00000010460	fgenesh2_pg.scaffold_465000016
ENSMGAP00000019267	fgenesh2_pg.scaffold_465000016
ENSMGAP00000012508	fgenesh2_pg.scaffold_466000008
ENSMGAP00000000248	fgenesh2_pg.scaffold_466000008
ENSMGAP00000010905	fgenesh2_pg.scaffold_466000010
ENSMGAP00000007361	fgenesh2_pg.scaffold_466000018
ENSMGAP00000006058	fgenesh2_pg.scaffold_466000021
ENSMGAP00000010914	fgenesh2_pg.scaffold_466000032
ENSMGAP00000004957	fgenesh2_pg.scaffold_468000017
ENSMGAP00000012079	fgenesh2_pg.scaffold_468000019
ENSMGAP00000013319	fgenesh2_pg.scaffold_470000027
ENSMGAP00000009558	fgenesh2_pg.scaffold_471000021
ENSMGAP00000007539	fgenesh2_pg.scaffold_472000004
ENSMGAP00000007950	fgenesh2_pg.scaffold_472000004
ENSMGAP00000008392	fgenesh2_pg.scaffold_473000025
ENSMGAP00000006089	fgenesh2_pg.scaffold_475000016
ENSMGAP00000004821	fgenesh2_pg.scaffold_477000035
ENSMGAP00000009277	fgenesh2_pg.scaffold_478000031
ENSMGAP00000007666	fgenesh2_pg.scaffold_479000027
ENSMGAP00000014456	fgenesh2_pg.scaffold_480000020
ENSMGAP00000008321	fgenesh2_pg.scaffold_481000007
ENSMGAP00000009673	fgenesh2_pg.scaffold_481000007
ENSMGAP00000008530	fgenesh2_pg.scaffold_481000014
ENSMGAP00000008774	fgenesh2_pg.scaffold_482000013
ENSMGAP00000018807	fgenesh2_pg.scaffold_482000016
ENSMGAP00000017093	fgenesh2_pg.scaffold_482000017
ENSMGAP00000018998	fgenesh2_pg.scaffold_484000012
ENSMGAP00000013146	fgenesh2_pg.scaffold_484000017
ENSMGAP00000015982	fgenesh2_pg.scaffold_484000017
ENSMGAP00000003909	fgenesh2_pg.scaffold_484000027
ENSMGAP00000019521	fgenesh2_pg.scaffold_484000033
ENSMGAP00000003677	fgenesh2_pg.scaffold_486000005
ENSMGAP00000006711	fgenesh2_pg.scaffold_488000010
ENSMGAP00000014482	fgenesh2_pg.scaffold_489000005
ENSMGAP00000003521	fgenesh2_pg.scaffold_489000019
ENSMGAP00000005326	fgenesh2_pg.scaffold_489000023
ENSMGAP00000011144	fgenesh2_pg.scaffold_489000036
ENSMGAP00000006167	fgenesh2_pg.scaffold_491000016
ENSMGAP00000017935	fgenesh2_pg.scaffold_494000014
ENSMGAP00000004761	fgenesh2_pg.scaffold_497000007
ENSMGAP00000018222	fgenesh2_pg.scaffold_497000016
ENSMGAP00000000517	fgenesh2_pg.scaffold_498000008
ENSMGAP00000012673	fgenesh2_pg.scaffold_499000014
ENSMGAP00000000450	fgenesh2_pg.scaffold_499000014
ENSMGAP00000013468	fgenesh2_pg.scaffold_499000014
ENSMGAP00000000758	fgenesh2_pg.scaffold_499000014
ENSMGAP00000017059	fgenesh2_pg.scaffold_499000021
ENSMGAP00000009999	fgenesh2_pg.scaffold_503000011
ENSMGAP00000005346	fgenesh2_pg.scaffold_504000008
ENSMGAP00000005596	fgenesh2_pg.scaffold_504000024
ENSMGAP00000011196	fgenesh2_pg.scaffold_505000007
ENSMGAP00000004043	fgenesh2_pg.scaffold_505000017
ENSMGAP00000017892	fgenesh2_pg.scaffold_505000017
ENSMGAP00000004058	fgenesh2_pg.scaffold_505000023
ENSMGAP00000015005	fgenesh2_pg.scaffold_505000024
ENSMGAP00000018500	fgenesh2_pg.scaffold_505000025
ENSMGAP00000012624	fgenesh2_pg.scaffold_506000005
ENSMGAP00000002688	fgenesh2_pg.scaffold_508000037
ENSMGAP00000007441	fgenesh2_pg.scaffold_508000037
ENSMGAP00000016853	fgenesh2_pg.scaffold_509000004
ENSMGAP00000000683	fgenesh2_pg.scaffold_510000019
ENSMGAP00000015827	fgenesh2_pg.scaffold_511000012
ENSMGAP00000008006	fgenesh2_pg.scaffold_512000023
ENSMGAP00000015436	fgenesh2_pg.scaffold_512000037
ENSMGAP00000013134	fgenesh2_pg.scaffold_514000007
ENSMGAP00000013685	fgenesh2_pg.scaffold_515000012
ENSMGAP00000001990	fgenesh2_pg.scaffold_515000013
ENSMGAP00000005623	fgenesh2_pg.scaffold_515000017
ENSMGAP00000001153	fgenesh2_pg.scaffold_515000023
ENSMGAP00000012706	fgenesh2_pg.scaffold_517000019
ENSMGAP00000011793	fgenesh2_pg.scaffold_518000004
ENSMGAP00000006596	fgenesh2_pg.scaffold_518000005
ENSMGAP00000004114	fgenesh2_pg.scaffold_518000005
ENSMGAP00000001629	fgenesh2_pg.scaffold_518000008
ENSMGAP00000012596	fgenesh2_pg.scaffold_520000020
ENSMGAP00000003701	fgenesh2_pg.scaffold_523000003
ENSMGAP00000004576	fgenesh2_pg.scaffold_523000003
ENSMGAP00000013902	fgenesh2_pg.scaffold_525000001
ENSMGAP00000010497	fgenesh2_pg.scaffold_525000003
ENSMGAP00000009448	fgenesh2_pg.scaffold_525000006
ENSMGAP00000015528	fgenesh2_pg.scaffold_525000008
ENSMGAP00000016096	fgenesh2_pg.scaffold_525000010
ENSMGAP00000018889	fgenesh2_pg.scaffold_526000017
ENSMGAP00000014792	fgenesh2_pg.scaffold_527000023
ENSMGAP00000012133	fgenesh2_pg.scaffold_528000016
ENSMGAP00000006996	fgenesh2_pg.scaffold_530000010
ENSMGAP00000006935	fgenesh2_pg.scaffold_530000022
ENSMGAP00000002466	fgenesh2_pg.scaffold_530000026
ENSMGAP00000015502	fgenesh2_pg.scaffold_531000012
ENSMGAP00000013375	fgenesh2_pg.scaffold_532000013
ENSMGAP00000014843	fgenesh2_pg.scaffold_532000022
ENSMGAP00000004827	fgenesh2_pg.scaffold_532000024
ENSMGAP00000019576	fgenesh2_pg.scaffold_532000027
ENSMGAP00000013410	fgenesh2_pg.scaffold_534000013
ENSMGAP00000005357	fgenesh2_pg.scaffold_534000029
ENSMGAP00000000233	fgenesh2_pg.scaffold_538000002
ENSMGAP00000018829	fgenesh2_pg.scaffold_538000021
ENSMGAP00000004964	fgenesh2_pg.scaffold_541000006
ENSMGAP00000005202	fgenesh2_pg.scaffold_544000022
ENSMGAP00000016832	fgenesh2_pg.scaffold_546000001
ENSMGAP00000012327	fgenesh2_pg.scaffold_546000014
ENSMGAP00000016277	fgenesh2_pg.scaffold_546000024
ENSMGAP00000016257	fgenesh2_pg.scaffold_549000002
ENSMGAP00000000988	fgenesh2_pg.scaffold_550000002
ENSMGAP00000005283	fgenesh2_pg.scaffold_550000018
ENSMGAP00000019489	fgenesh2_pg.scaffold_550000018
ENSMGAP00000017868	fgenesh2_pg.scaffold_550000018
ENSMGAP00000011475	fgenesh2_pg.scaffold_550000021
ENSMGAP00000008102	fgenesh2_pg.scaffold_551000019
ENSMGAP00000019193	fgenesh2_pg.scaffold_553000031
ENSMGAP00000014817	fgenesh2_pg.scaffold_554000005
ENSMGAP00000006478	fgenesh2_pg.scaffold_555000013
ENSMGAP00000003098	fgenesh2_pg.scaffold_555000019
ENSMGAP00000000464	fgenesh2_pg.scaffold_557000021
ENSMGAP00000009025	fgenesh2_pg.scaffold_557000031
ENSMGAP00000000271	fgenesh2_pg.scaffold_558000025
ENSMGAP00000003168	fgenesh2_pg.scaffold_558000025
ENSMGAP00000007473	fgenesh2_pg.scaffold_559000012
ENSMGAP00000001461	fgenesh2_pg.scaffold_560000005
ENSMGAP00000003839	fgenesh2_pg.scaffold_560000010
ENSMGAP00000002240	fgenesh2_pg.scaffold_561000002
ENSMGAP00000004247	fgenesh2_pg.scaffold_561000009
ENSMGAP00000006100	fgenesh2_pg.scaffold_562000005
ENSMGAP00000007235	fgenesh2_pg.scaffold_562000008
ENSMGAP00000019412	fgenesh2_pg.scaffold_562000008
ENSMGAP00000007213	fgenesh2_pg.scaffold_562000008
ENSMGAP00000011753	fgenesh2_pg.scaffold_562000014
ENSMGAP00000001808	fgenesh2_pg.scaffold_562000024
ENSMGAP00000012832	fgenesh2_pg.scaffold_563000003
ENSMGAP00000007843	fgenesh2_pg.scaffold_563000015
ENSMGAP00000003331	fgenesh2_pg.scaffold_563000019
ENSMGAP00000004606	fgenesh2_pg.scaffold_565000001
ENSMGAP00000014286	fgenesh2_pg.scaffold_565000009
ENSMGAP00000011678	fgenesh2_pg.scaffold_565000015
ENSMGAP00000015367	fgenesh2_pg.scaffold_565000015
ENSMGAP00000016041	fgenesh2_pg.scaffold_565000027
ENSMGAP00000018655	fgenesh2_pg.scaffold_567000003
ENSMGAP00000008923	fgenesh2_pg.scaffold_568000011
ENSMGAP00000012770	fgenesh2_pg.scaffold_569000009
ENSMGAP00000000654	fgenesh2_pg.scaffold_569000013
ENSMGAP00000014517	fgenesh2_pg.scaffold_569000028
ENSMGAP00000008827	fgenesh2_pg.scaffold_570000018
ENSMGAP00000019209	fgenesh2_pg.scaffold_570000027
ENSMGAP00000001000	fgenesh2_pg.scaffold_571000001
ENSMGAP00000002898	fgenesh2_pg.scaffold_571000003
ENSMGAP00000009488	fgenesh2_pg.scaffold_572000011
ENSMGAP00000003528	fgenesh2_pg.scaffold_573000007
ENSMGAP00000019699	fgenesh2_pg.scaffold_573000008
ENSMGAP00000001480	fgenesh2_pg.scaffold_574000008
ENSMGAP00000017150	fgenesh2_pg.scaffold_574000017
ENSMGAP00000017350	fgenesh2_pg.scaffold_575000005
ENSMGAP00000009477	fgenesh2_pg.scaffold_575000007
ENSMGAP00000014827	fgenesh2_pg.scaffold_576000025
ENSMGAP00000018516	fgenesh2_pg.scaffold_577000002
ENSMGAP00000000495	fgenesh2_pg.scaffold_577000011
ENSMGAP00000017543	fgenesh2_pg.scaffold_577000016
ENSMGAP00000011797	fgenesh2_pg.scaffold_577000023
ENSMGAP00000008551	fgenesh2_pg.scaffold_578000013
ENSMGAP00000002452	fgenesh2_pg.scaffold_579000007
ENSMGAP00000014894	fgenesh2_pg.scaffold_579000023
ENSMGAP00000007590	fgenesh2_pg.scaffold_579000023
ENSMGAP00000007173	fgenesh2_pg.scaffold_579000025
ENSMGAP00000008302	fgenesh2_pg.scaffold_579000026
ENSMGAP00000013318	fgenesh2_pg.scaffold_580000008
ENSMGAP00000018800	fgenesh2_pg.scaffold_580000013
ENSMGAP00000011418	fgenesh2_pg.scaffold_582000010
ENSMGAP00000007307	fgenesh2_pg.scaffold_583000018
ENSMGAP00000013183	fgenesh2_pg.scaffold_584000015
ENSMGAP00000013993	fgenesh2_pg.scaffold_584000024
ENSMGAP00000018734	fgenesh2_pg.scaffold_586000002
ENSMGAP00000012670	fgenesh2_pg.scaffold_586000027
ENSMGAP00000014179	fgenesh2_pg.scaffold_588000017
ENSMGAP00000002547	fgenesh2_pg.scaffold_591000004
ENSMGAP00000001875	fgenesh2_pg.scaffold_593000007
ENSMGAP00000006369	fgenesh2_pg.scaffold_593000012
ENSMGAP00000007765	fgenesh2_pg.scaffold_594000007
ENSMGAP00000001238	fgenesh2_pg.scaffold_594000013
ENSMGAP00000001740	fgenesh2_pg.scaffold_594000018
ENSMGAP00000016217	fgenesh2_pg.scaffold_595000012
ENSMGAP00000004596	fgenesh2_pg.scaffold_595000012
ENSMGAP00000008136	fgenesh2_pg.scaffold_595000017
ENSMGAP00000009214	fgenesh2_pg.scaffold_599000001
ENSMGAP00000014140	fgenesh2_pg.scaffold_599000014
ENSMGAP00000009990	fgenesh2_pg.scaffold_600000005
ENSMGAP00000010039	fgenesh2_pg.scaffold_602000011
ENSMGAP00000016463	fgenesh2_pg.scaffold_602000013
ENSMGAP00000011270	fgenesh2_pg.scaffold_604000005
ENSMGAP00000012212	fgenesh2_pg.scaffold_604000007
ENSMGAP00000016048	fgenesh2_pg.scaffold_606000003
ENSMGAP00000000866	fgenesh2_pg.scaffold_606000005
ENSMGAP00000017184	fgenesh2_pg.scaffold_606000015
ENSMGAP00000006713	fgenesh2_pg.scaffold_608000013
ENSMGAP00000019630	fgenesh2_pg.scaffold_608000031
ENSMGAP00000004036	fgenesh2_pg.scaffold_610000011
ENSMGAP00000003266	fgenesh2_pg.scaffold_610000014
ENSMGAP00000015973	fgenesh2_pg.scaffold_611000002
ENSMGAP00000002005	fgenesh2_pg.scaffold_612000016
ENSMGAP00000011179	fgenesh2_pg.scaffold_614000011
ENSMGAP00000012815	fgenesh2_pg.scaffold_614000012
ENSMGAP00000001713	fgenesh2_pg.scaffold_616000012
ENSMGAP00000009084	fgenesh2_pg.scaffold_617000003
ENSMGAP00000000144	fgenesh2_pg.scaffold_617000003
ENSMGAP00000000175	fgenesh2_pg.scaffold_618000006
ENSMGAP00000010986	fgenesh2_pg.scaffold_618000015
ENSMGAP00000014640	fgenesh2_pg.scaffold_621000005
ENSMGAP00000001824	fgenesh2_pg.scaffold_624000011
ENSMGAP00000014074	fgenesh2_pg.scaffold_626000005
ENSMGAP00000002226	fgenesh2_pg.scaffold_626000017
ENSMGAP00000018801	fgenesh2_pg.scaffold_627000020
ENSMGAP00000015917	fgenesh2_pg.scaffold_628000010
ENSMGAP00000006586	fgenesh2_pg.scaffold_629000003
ENSMGAP00000006606	fgenesh2_pg.scaffold_629000003
ENSMGAP00000013273	fgenesh2_pg.scaffold_629000004
ENSMGAP00000000563	fgenesh2_pg.scaffold_630000005
ENSMGAP00000008934	fgenesh2_pg.scaffold_631000010
ENSMGAP00000005754	fgenesh2_pg.scaffold_632000014
