e_gw.1.149.1	SINLEJ018774
e_gw.105.49.1	SINLEJ015041
e_gw.105.50.1	SINLEJ012606
e_gw.105.50.1	SINLEJ018365
e_gw.105.65.1	SINLEJ012607
e_gw.105.65.1	SINLEJ012621
e_gw.1055.12.1	SINLEJ003624
e_gw.1055.6.1	SINLEJ005810
e_gw.1056.1.1	SINLEJ016094
e_gw.106.108.1	SINLEJ000878
e_gw.106.163.1	SINLEJ009939
e_gw.106.170.1	SINLEJ003456
e_gw.106.177.1	SINLEJ009042
e_gw.106.22.1	SINLEJ000204
e_gw.106.22.1	SINLEJ000199
e_gw.106.61.1	SINLEJ003890
e_gw.107.13.1	SINLEJ600163
e_gw.107.13.1	SINLEJ004082
e_gw.107.13.1	SINLEJ000268
e_gw.107.13.1	SINLEJ000267
e_gw.107.151.1	SINLEJ010845
e_gw.107.43.1	SINLEJ000427
e_gw.107.51.1	SINLEJ006153
e_gw.107.55.1	SINLEJ012006
e_gw.1077.2.1	SINLEJ008282
e_gw.108.115.1	SINLEJ017435
e_gw.108.29.1	SINLEJ600301
e_gw.108.29.1	SINLEJ600302
e_gw.108.30.1	SINLEJ018320
e_gw.108.30.1	SINLEJ003848
e_gw.108.30.1	SINLEJ017615
e_gw.108.31.1	SINLEJ017616
e_gw.108.39.1	SINLEJ014902
e_gw.108.39.1	SINLEJ014855
e_gw.108.39.1	SINLEJ010927
e_gw.108.44.1	SINLEJ016677
e_gw.108.44.1	SINLEJ001411
e_gw.108.80.1	SINLEJ005696
e_gw.108.95.1	SINLEJ005599
e_gw.108.95.1	SINLEJ005597
e_gw.108.95.1	SINLEJ005601
e_gw.108.96.1	SINLEJ016284
e_gw.1084.10.1	SINLEJ015033
e_gw.1084.10.1	SINLEJ015037
e_gw.1084.10.1	SINLEJ015933
e_gw.1099.1.1	SINLEJ001355
e_gw.11.104.1	SINLEJ016105
e_gw.11.178.1	SINLEJ016459
e_gw.11.18.1	SINLEJ007313
e_gw.11.235.1	SINLEJ017322
e_gw.11.5.1	SINLEJ018609
e_gw.11.841.1	SINLEJ005651
e_gw.11.853.1	SINLEJ016786
e_gw.11.861.1	SINLEJ000918
e_gw.11.880.1	SINLEJ006258
e_gw.11.885.1	SINLEJ005534
e_gw.110.105.1	SINLEJ016154
e_gw.110.107.1	SINLEJ010388
e_gw.110.66.1	SINLEJ016193
e_gw.111.147.1	SINLEJ007176
e_gw.111.24.1	SINLEJ013729
e_gw.111.242.1	SINLEJ009492
e_gw.111.242.1	SINLEJ007375
e_gw.111.242.1	SINLEJ012303
e_gw.111.251.1	SINLEJ012528
e_gw.111.6.1	SINLEJ011983
e_gw.111.6.1	SINLEJ006395
e_gw.111.6.1	SINLEJ018211
e_gw.111.81.1	SINLEJ011452
e_gw.111.81.1	SINLEJ011451
e_gw.111.9.1	SINLEJ011438
e_gw.111.9.1	SINLEJ003782
e_gw.111.9.1	SINLEJ016157
e_gw.111.9.1	SINLEJ009574
e_gw.1111.1.1	SINLEJ006895
e_gw.1111.1.1	SINLEJ015257
e_gw.1111.1.1	SINLEJ009761
e_gw.1114.5.1	SINLEJ001157
e_gw.1114.5.1	SINLEJ001899
e_gw.235.11.1	SINLEJ010051
e_gw.235.11.1	SINLEJ017704
e_gw.235.11.1	SINLEJ017707
e_gw.235.29.1	SINLEJ009549
e_gw.235.29.1	SINLEJ006962
e_gw.235.36.1	SINLEJ003135
e_gw.235.50.1	SINLEJ011506
e_gw.235.50.1	SINLEJ011509
e_gw.235.6.1	SINLEJ005577
e_gw.236.16.1	SINLEJ003466
e_gw.236.24.1	SINLEJ003465
e_gw.236.24.1	SINLEJ001642
e_gw.236.47.1	SINLEJ011548
e_gw.237.119.1	SINLEJ001998
e_gw.237.132.1	SINLEJ000519
e_gw.237.132.1	SINLEJ000520
e_gw.237.138.1	SINLEJ010869
e_gw.237.3.1	SINLEJ012792
e_gw.237.39.1	SINLEJ004110
e_gw.237.43.1	SINLEJ007669
e_gw.237.43.1	SINLEJ014985
e_gw.237.43.1	SINLEJ003577
e_gw.237.43.1	SINLEJ003703
e_gw.237.44.1	SINLEJ012886
e_gw.237.44.1	SINLEJ007674
e_gw.237.44.1	SINLEJ013638
e_gw.237.44.1	SINLEJ012754
e_gw.238.151.1	SINLEJ005636
e_gw.238.151.1	SINLEJ003839
e_gw.238.151.1	SINLEJ005635
e_gw.238.16.1	SINLEJ005655
e_gw.238.16.1	SINLEJ014395
e_gw.238.16.1	SINLEJ005653
e_gw.238.16.1	SINLEJ005652
e_gw.238.167.1	SINLEJ005563
e_gw.238.167.1	SINLEJ014424
e_gw.238.39.1	SINLEJ013154
e_gw.238.39.1	SINLEJ015745
e_gw.238.39.1	SINLEJ017486
e_gw.238.47.1	SINLEJ005623
e_gw.239.1.1	SINLEJ001844
e_gw.239.28.1	SINLEJ600328
e_gw.239.7.1	SINLEJ600484
e_gw.239.7.1	SINLEJ600483
e_gw.24.103.1	SINLEJ013613
e_gw.24.103.1	SINLEJ017706
e_gw.24.105.1	SINLEJ005699
e_gw.24.105.1	SINLEJ005700
e_gw.24.106.1	SINLEJ007040
e_gw.24.106.1	SINLEJ007039
e_gw.24.106.1	SINLEJ014129
e_gw.24.135.1	SINLEJ006984
e_gw.24.168.1	SINLEJ006228
e_gw.24.205.1	SINLEJ014780
e_gw.24.205.1	SINLEJ014784
e_gw.24.282.1	SINLEJ017513
e_gw.24.282.1	SINLEJ011032
e_gw.24.282.1	SINLEJ018030
e_gw.24.327.1	SINLEJ014029
e_gw.24.37.1	SINLEJ006388
e_gw.24.37.1	SINLEJ007079
e_gw.24.37.1	SINLEJ017105
e_gw.24.37.1	SINLEJ007078
e_gw.24.399.1	SINLEJ003015
e_gw.24.399.1	SINLEJ006932
e_gw.24.75.1	SINLEJ006218
e_gw.24.91.1	SINLEJ014161
e_gw.240.29.1	SINLEJ004952
e_gw.240.29.1	SINLEJ011770
e_gw.240.29.1	SINLEJ013401
e_gw.240.40.1	SINLEJ009061
e_gw.240.64.1	SINLEJ006545
e_gw.240.66.1	SINLEJ002946
e_gw.240.69.1	SINLEJ011084
e_gw.241.144.1	SINLEJ017145
e_gw.241.144.1	SINLEJ016466
e_gw.241.30.1	SINLEJ011317
e_gw.241.30.1	SINLEJ010138
e_gw.241.33.1	SINLEJ007755
e_gw.241.4.1	SINLEJ009537
e_gw.241.86.1	SINLEJ009500
e_gw.242.18.1	SINLEJ015925
e_gw.242.22.1	SINLEJ015679
e_gw.242.22.1	SINLEJ010194
e_gw.242.22.1	SINLEJ007232
e_gw.242.22.1	SINLEJ011385
e_gw.242.33.1	SINLEJ011376
e_gw.242.79.1	SINLEJ016967
e_gw.242.79.1	SINLEJ013623
e_gw.243.24.1	SINLEJ014570
e_gw.243.28.1	SINLEJ000993
e_gw.243.28.1	SINLEJ017089
e_gw.243.28.1	SINLEJ017088
e_gw.243.6.1	SINLEJ001822
e_gw.243.6.1	SINLEJ006117
e_gw.243.6.1	SINLEJ000771
e_gw.243.6.1	SINLEJ017673
e_gw.244.112.1	SINLEJ013133
e_gw.244.71.1	SINLEJ008651
e_gw.244.71.1	SINLEJ008228
e_gw.244.76.1	SINLEJ009917
e_gw.245.141.1	SINLEJ006125
e_gw.245.173.1	SINLEJ009120
e_gw.245.185.1	SINLEJ005875
e_gw.245.231.1	SINLEJ002976
e_gw.245.59.1	SINLEJ005286
e_gw.245.59.1	SINLEJ005285
e_gw.245.93.1	SINLEJ002885
e_gw.246.104.1	SINLEJ006667
e_gw.246.31.1	SINLEJ002803
e_gw.246.31.1	SINLEJ018808
e_gw.246.31.1	SINLEJ005521
e_gw.246.31.1	SINLEJ008312
e_gw.246.52.1	SINLEJ008608
e_gw.246.52.1	SINLEJ008258
e_gw.247.20.1	SINLEJ019303
e_gw.247.35.1	SINLEJ000550
e_gw.247.62.1	SINLEJ012882
e_gw.248.28.1	SINLEJ015398
e_gw.249.7.1	SINLEJ018611
e_gw.249.7.1	SINLEJ006952
e_gw.249.7.1	SINLEJ016108
e_gw.249.7.1	SINLEJ009282
e_gw.249.73.1	SINLEJ000339
e_gw.249.81.1	SINLEJ001706
e_gw.249.81.1	SINLEJ010390
e_gw.249.89.1	SINLEJ001267
e_gw.249.89.1	SINLEJ600072
e_gw.249.89.1	SINLEJ005576
e_gw.249.89.1	SINLEJ016706
e_gw.25.105.1	SINLEJ003251
e_gw.25.105.1	SINLEJ003250
e_gw.25.105.1	SINLEJ010343
e_gw.25.121.1	SINLEJ009886
e_gw.25.125.1	SINLEJ013020
e_gw.25.125.1	SINLEJ011233
e_gw.25.125.1	SINLEJ009321
e_gw.25.141.1	SINLEJ011244
e_gw.25.141.1	SINLEJ017817
e_gw.25.17.1	SINLEJ011241
e_gw.25.187.1	SINLEJ013539
e_gw.25.2.1	SINLEJ002690
e_gw.25.5.1	SINLEJ008556
e_gw.25.5.1	SINLEJ006794
e_gw.25.5.1	SINLEJ006793
e_gw.25.5.1	SINLEJ001929
e_gw.25.7.1	SINLEJ009253
e_gw.250.118.1	SINLEJ016547
e_gw.250.118.1	SINLEJ015482
e_gw.250.133.1	SINLEJ007163
e_gw.250.147.1	SINLEJ003941
e_gw.250.42.1	SINLEJ019368
e_gw.250.50.1	SINLEJ016337
e_gw.250.50.1	SINLEJ008888
e_gw.250.50.1	SINLEJ018428
e_gw.251.51.1	SINLEJ007788
e_gw.251.51.1	SINLEJ001508
e_gw.251.64.1	SINLEJ008417
e_gw.251.64.1	SINLEJ008415
e_gw.251.64.1	SINLEJ008416
e_gw.252.100.1	SINLEJ005990
e_gw.252.51.1	SINLEJ006122
e_gw.252.51.1	SINLEJ013314
e_gw.252.51.1	SINLEJ000915
e_gw.252.93.1	SINLEJ001086
e_gw.2527.2.1	SINLEJ017410
e_gw.253.21.1	SINLEJ000269
e_gw.253.33.1	SINLEJ012784
e_gw.253.49.1	SINLEJ014642
e_gw.253.9.1	SINLEJ014195
e_gw.254.149.1	SINLEJ009793
e_gw.254.41.1	SINLEJ010552
e_gw.254.41.1	SINLEJ010553
e_gw.254.43.1	SINLEJ016820
e_gw.2546.1.1	SINLEJ006720
e_gw.255.15.1	SINLEJ010236
e_gw.256.15.1	SINLEJ016421
e_gw.257.52.1	SINLEJ014095
e_gw.258.108.1	SINLEJ008756
e_gw.258.141.1	SINLEJ009185
e_gw.258.141.1	SINLEJ008734
e_gw.258.141.1	SINLEJ008735
e_gw.258.141.1	SINLEJ008736
e_gw.258.21.1	SINLEJ013130
e_gw.258.43.1	SINLEJ010118
e_gw.258.65.1	SINLEJ005311
e_gw.259.18.1	SINLEJ007810
e_gw.259.248.1	SINLEJ018867
e_gw.259.37.1	SINLEJ006127
e_gw.259.41.1	SINLEJ007813
e_gw.259.79.1	SINLEJ009535
e_gw.26.106.1	SINLEJ012423
e_gw.26.107.1	SINLEJ012422
e_gw.26.20.1	SINLEJ003036
e_gw.26.286.1	SINLEJ000109
e_gw.26.36.1	SINLEJ009941
e_gw.26.6.1	SINLEJ011404
e_gw.26.62.1	SINLEJ010624
e_gw.26.82.1	SINLEJ000006
e_gw.26.83.1	SINLEJ009940
e_gw.26.83.1	SINLEJ012440
e_gw.26.94.1	SINLEJ011403
e_gw.26.99.1	SINLEJ012464
e_gw.260.11.1	SINLEJ001606
e_gw.260.11.1	SINLEJ004823
e_gw.260.11.1	SINLEJ600490
e_gw.260.32.1	SINLEJ001603
e_gw.260.32.1	SINLEJ010403
e_gw.260.36.1	SINLEJ001600
e_gw.260.40.1	SINLEJ600495
e_gw.260.79.1	SINLEJ010402
e_gw.260.79.1	SINLEJ600494
e_gw.260.79.1	SINLEJ013817
e_gw.260.82.1	SINLEJ600492
e_gw.261.1.1	SINLEJ003825
e_gw.261.7.1	SINLEJ013268
e_gw.261.7.1	SINLEJ013258
e_gw.262.16.1	SINLEJ007122
e_gw.262.16.1	SINLEJ006341
e_gw.262.16.1	SINLEJ019458
e_gw.262.16.1	SINLEJ019226
e_gw.262.30.1	SINLEJ011650
e_gw.263.16.1	SINLEJ015298
e_gw.263.32.1	SINLEJ018683
e_gw.264.30.1	SINLEJ009409
e_gw.264.39.1	SINLEJ008272
e_gw.264.39.1	SINLEJ008637
e_gw.264.39.1	SINLEJ003122
e_gw.264.39.1	SINLEJ003121
e_gw.264.61.1	SINLEJ016521
e_gw.264.61.1	SINLEJ016523
e_gw.265.25.1	SINLEJ007925
e_gw.265.25.1	SINLEJ018795
e_gw.265.25.1	SINLEJ600346
e_gw.265.25.1	SINLEJ007923
e_gw.265.59.1	SINLEJ012498
e_gw.265.75.1	SINLEJ003841
e_gw.266.114.1	SINLEJ005544
e_gw.266.196.1	SINLEJ011368
e_gw.266.2.1	SINLEJ016701
e_gw.266.2.1	SINLEJ016702
e_gw.266.270.1	SINLEJ000350
e_gw.266.94.1	SINLEJ014364
e_gw.268.4.1	SINLEJ017282
e_gw.268.4.1	SINLEJ004277
e_gw.269.17.1	SINLEJ011232
e_gw.269.20.1	SINLEJ006301
e_gw.269.20.1	SINLEJ009305
e_gw.269.20.1	SINLEJ018677
e_gw.269.39.1	SINLEJ013412
e_gw.269.39.1	SINLEJ011723
e_gw.269.58.1	SINLEJ008789
e_gw.27.105.1	SINLEJ009601
e_gw.27.106.1	SINLEJ007227
e_gw.27.106.1	SINLEJ015683
e_gw.27.106.1	SINLEJ012250
e_gw.27.106.1	SINLEJ010140
e_gw.27.119.1	SINLEJ009551
e_gw.27.144.1	SINLEJ004099
e_gw.27.148.1	SINLEJ004899
e_gw.27.182.1	SINLEJ010257
e_gw.27.289.1	SINLEJ009598
e_gw.27.29.1	SINLEJ004695
e_gw.27.300.1	SINLEJ012325
e_gw.27.302.1	SINLEJ014094
e_gw.27.302.1	SINLEJ019001
e_gw.27.31.1	SINLEJ011307
e_gw.27.31.1	SINLEJ011306
e_gw.27.31.1	SINLEJ011308
e_gw.27.321.1	SINLEJ018275
e_gw.27.321.1	SINLEJ015789
e_gw.27.335.1	SINLEJ010883
e_gw.27.345.1	SINLEJ010290
e_gw.27.372.1	SINLEJ008985
e_gw.27.372.1	SINLEJ017279
e_gw.27.4.1	SINLEJ007919
e_gw.27.4.1	SINLEJ018521
e_gw.27.4.1	SINLEJ018666
e_gw.27.4.1	SINLEJ018955
e_gw.27.41.1	SINLEJ015651
e_gw.27.41.1	SINLEJ009596
e_gw.27.80.1	SINLEJ013736
e_gw.27.84.1	SINLEJ007392
e_gw.270.39.1	SINLEJ012862
e_gw.270.42.1	SINLEJ003073
e_gw.270.42.1	SINLEJ003068
e_gw.270.42.1	SINLEJ003069
e_gw.270.42.1	SINLEJ016518
e_gw.270.54.1	SINLEJ007622
e_gw.270.56.1	SINLEJ010030
e_gw.271.1.1	SINLEJ014753
e_gw.271.43.1	SINLEJ009036
e_gw.271.55.1	SINLEJ009037
e_gw.271.72.1	SINLEJ010993
e_gw.272.1.1	SINLEJ014950
e_gw.272.1.1	SINLEJ003614
e_gw.272.1.1	SINLEJ017941
e_gw.272.1.1	SINLEJ011661
e_gw.272.22.1	SINLEJ005218
e_gw.272.22.1	SINLEJ004665
e_gw.272.3.1	SINLEJ011607
e_gw.272.3.1	SINLEJ003620
e_gw.272.3.1	SINLEJ014945
e_gw.272.67.1	SINLEJ003574
e_gw.272.67.1	SINLEJ014988
e_gw.272.71.1	SINLEJ001379
e_gw.272.95.1	SINLEJ006305
e_gw.272.98.1	SINLEJ003559
e_gw.273.10.1	SINLEJ000476
e_gw.273.15.1	SINLEJ014238
e_gw.273.15.1	SINLEJ014237
e_gw.273.16.1	SINLEJ000059
e_gw.273.26.1	SINLEJ014816
e_gw.273.32.1	SINLEJ018851
e_gw.273.32.1	SINLEJ014729
e_gw.273.54.1	SINLEJ011034
e_gw.273.75.1	SINLEJ000388
e_gw.273.94.1	SINLEJ004219
e_gw.274.36.1	SINLEJ005725
e_gw.274.36.1	SINLEJ005729
e_gw.274.61.1	SINLEJ015000
e_gw.275.51.1	SINLEJ001763
e_gw.275.81.1	SINLEJ017115
e_gw.275.81.1	SINLEJ011178
e_gw.275.81.1	SINLEJ011273
e_gw.276.28.1	SINLEJ004838
e_gw.276.45.1	SINLEJ014814
e_gw.276.49.1	SINLEJ010064
e_gw.276.79.1	SINLEJ014157
e_gw.276.9.1	SINLEJ001259
e_gw.276.9.1	SINLEJ001260
e_gw.276.93.1	SINLEJ600426
e_gw.276.93.1	SINLEJ600425
e_gw.277.1.1	SINLEJ013230
e_gw.277.101.1	SINLEJ006265
e_gw.277.122.1	SINLEJ011053
e_gw.277.122.1	SINLEJ015609
e_gw.277.40.1	SINLEJ006273
e_gw.277.5.1	SINLEJ007190
e_gw.277.60.1	SINLEJ011031
e_gw.277.78.1	SINLEJ003130
e_gw.277.78.1	SINLEJ003013
e_gw.277.78.1	SINLEJ018784
e_gw.277.78.1	SINLEJ003014
e_gw.277.83.1	SINLEJ005256
e_gw.277.86.1	SINLEJ018151
e_gw.277.87.1	SINLEJ018593
e_gw.277.87.1	SINLEJ017617
e_gw.277.92.1	SINLEJ008840
e_gw.277.92.1	SINLEJ008841
e_gw.278.1.1	SINLEJ009664
e_gw.278.1.1	SINLEJ009665
e_gw.278.13.1	SINLEJ007964
e_gw.278.38.1	SINLEJ013561
e_gw.278.46.1	SINLEJ005483
e_gw.278.46.1	SINLEJ009663
e_gw.278.51.1	SINLEJ016395
e_gw.278.63.1	SINLEJ010568
e_gw.278.63.1	SINLEJ010653
e_gw.278.63.1	SINLEJ008013
e_gw.278.77.1	SINLEJ013982
e_gw.278.92.1	SINLEJ015350
e_gw.278.92.1	SINLEJ017843
e_gw.278.92.1	SINLEJ001767
e_gw.279.100.1	SINLEJ007624
e_gw.279.100.1	SINLEJ016862
e_gw.279.15.1	SINLEJ008650
e_gw.279.30.1	SINLEJ007557
e_gw.279.77.1	SINLEJ016604
e_gw.279.79.1	SINLEJ000524
e_gw.28.248.1	SINLEJ011399
e_gw.28.263.1	SINLEJ017613
e_gw.28.263.1	SINLEJ012293
e_gw.28.263.1	SINLEJ001594
e_gw.28.265.1	SINLEJ012458
e_gw.28.266.1	SINLEJ011480
e_gw.28.266.1	SINLEJ000969
e_gw.28.3.1	SINLEJ017317
e_gw.28.3.1	SINLEJ014878
e_gw.28.313.1	SINLEJ012414
e_gw.28.81.1	SINLEJ000098
e_gw.280.15.1	SINLEJ012045
e_gw.280.20.1	SINLEJ001979
e_gw.280.20.1	SINLEJ017270
e_gw.280.20.1	SINLEJ001180
e_gw.280.20.1	SINLEJ000694
e_gw.280.7.1	SINLEJ003915
e_gw.281.110.1	SINLEJ001527
e_gw.281.21.1	SINLEJ014428
e_gw.281.36.1	SINLEJ010929
e_gw.281.57.1	SINLEJ006786
e_gw.281.57.1	SINLEJ008424
e_gw.281.88.1	SINLEJ007735
e_gw.282.10.1	SINLEJ014287
e_gw.282.27.1	SINLEJ012445
e_gw.282.4.1	SINLEJ600507
e_gw.282.47.1	SINLEJ006652
e_gw.282.47.1	SINLEJ006669
e_gw.282.51.1	SINLEJ013085
e_gw.282.55.1	SINLEJ003151
e_gw.283.17.1	SINLEJ016397
e_gw.283.17.1	SINLEJ016396
e_gw.283.26.1	SINLEJ011595
e_gw.283.5.1	SINLEJ004836
e_gw.283.5.1	SINLEJ008472
e_gw.283.66.1	SINLEJ010913
e_gw.284.67.1	SINLEJ007891
e_gw.284.67.1	SINLEJ010901
e_gw.285.127.1	SINLEJ014484
e_gw.285.40.1	SINLEJ005818
e_gw.285.67.1	SINLEJ005819
e_gw.286.11.1	SINLEJ008584
e_gw.286.22.1	SINLEJ019080
e_gw.286.22.1	SINLEJ003490
e_gw.286.33.1	SINLEJ600244
e_gw.286.46.1	SINLEJ600243
e_gw.286.5.1	SINLEJ014520
e_gw.286.5.1	SINLEJ003027
e_gw.287.12.1	SINLEJ017445
e_gw.287.27.1	SINLEJ007649
e_gw.287.64.1	SINLEJ008071
e_gw.287.74.1	SINLEJ000951
e_gw.287.80.1	SINLEJ002805
e_gw.287.80.1	SINLEJ009837
e_gw.287.85.1	SINLEJ016869
e_gw.287.85.1	SINLEJ016255
e_gw.287.85.1	SINLEJ010806
e_gw.288.19.1	SINLEJ015467
e_gw.288.19.1	SINLEJ006542
e_gw.288.19.1	SINLEJ003498
e_gw.288.26.1	SINLEJ014943
e_gw.288.26.1	SINLEJ003622
e_gw.288.3.1	SINLEJ019243
e_gw.288.65.1	SINLEJ002717
e_gw.288.65.1	SINLEJ013285
e_gw.288.65.1	SINLEJ013286
e_gw.289.26.1	SINLEJ005323
e_gw.289.26.1	SINLEJ019300
e_gw.289.31.1	SINLEJ016828
e_gw.289.37.1	SINLEJ008963
e_gw.289.58.1	SINLEJ015843
e_gw.29.159.1	SINLEJ600103
e_gw.29.213.1	SINLEJ013320
e_gw.29.213.1	SINLEJ011842
e_gw.29.80.1	SINLEJ006233
e_gw.29.80.1	SINLEJ005401
e_gw.290.17.1	SINLEJ006580
e_gw.290.17.1	SINLEJ006581
e_gw.290.43.1	SINLEJ004720
e_gw.290.8.1	SINLEJ014273
e_gw.291.15.1	SINLEJ007643
e_gw.291.15.1	SINLEJ013192
e_gw.291.69.1	SINLEJ007492
e_gw.291.69.1	SINLEJ013210
