SINCAM006004	ENSP00000001008
SINCAM010961	ENSP00000055682
SINCAM006921	ENSP00000061240
SINCAM011956	ENSP00000064571
SINCAM009134	ENSP00000064724
SINCAM004919	ENSP00000064780
SINCAM920958	ENSP00000070846
SINCAM005093	ENSP00000072644
SINCAM006001	ENSP00000072869
SINCAM004939	ENSP00000074304
SINCAM001359	ENSP00000078445
SINCAM001134	ENSP00000080059
SINCAM005821	ENSP00000081029
SINCAM008722	ENSP00000083182
SINCAM921418	ENSP00000086933
SINCAM005819	ENSP00000155840
SINCAM011494	ENSP00000155858
SINCAM003004	ENSP00000155926
SINCAM015405	ENSP00000156109
SINCAM921652	ENSP00000156471
SINCAM922484	ENSP00000156825
SINCAM009907	ENSP00000157600
SINCAM008574	ENSP00000158166
SINCAM008561	ENSP00000158771
SINCAM003898	ENSP00000159060
SINCAM012959	ENSP00000159087
SINCAM012779	ENSP00000159111
SINCAM005838	ENSP00000160373
SINCAM016562	ENSP00000161559
SINCAM001102	ENSP00000161863
SINCAM014412	ENSP00000162749
SINCAM008078	ENSP00000163416
SINCAM009725	ENSP00000164024
SINCAM008202	ENSP00000164139
SINCAM005434	ENSP00000164305
SINCAM920705	ENSP00000165524
SINCAM013712	ENSP00000166244
SINCAM001794	ENSP00000166345
SINCAM008510	ENSP00000167106
SINCAM006463	ENSP00000168148
SINCAM011702	ENSP00000168712
SINCAM013132	ENSP00000168977
SINCAM009459	ENSP00000169298
SINCAM002423	ENSP00000169551
SINCAM920564	ENSP00000170168
SINCAM009612	ENSP00000170447
SINCAM010322	ENSP00000170564
SINCAM920848	ENSP00000171111
SINCAM015453	ENSP00000171757
SINCAM006262	ENSP00000171887
SINCAM002783	ENSP00000172229
SINCAM012612	ENSP00000173229
SINCAM900209	ENSP00000173527
SINCAM016969	ENSP00000173898
SINCAM008633	ENSP00000174618
SINCAM003038	ENSP00000175091
SINCAM002084	ENSP00000175506
SINCAM011515	ENSP00000176183
SINCAM010005	ENSP00000176763
SINCAM013365	ENSP00000177694
SINCAM900152	ENSP00000178638
SINCAM013074	ENSP00000178640
SINCAM005614	ENSP00000179259
SINCAM000576	ENSP00000180173
SINCAM004405	ENSP00000181383
SINCAM006203	ENSP00000181796
SINCAM001683	ENSP00000181839
SINCAM004617	ENSP00000182096
SINCAM011539	ENSP00000182290
SINCAM004244	ENSP00000184266
SINCAM008656	ENSP00000184956
SINCAM921210	ENSP00000185150
SINCAM921475	ENSP00000185206
SINCAM004942	ENSP00000186436
SINCAM012823	ENSP00000187762
SINCAM006042	ENSP00000188312
SINCAM010882	ENSP00000188790
SINCAM015142	ENSP00000190165
SINCAM015275	ENSP00000192314
SINCAM012284	ENSP00000192788
SINCAM003349	ENSP00000193322
SINCAM004172	ENSP00000193391
SINCAM005948	ENSP00000194130
SINCAM005095	ENSP00000194214
SINCAM006491	ENSP00000194530
SINCAM003432	ENSP00000195654
SINCAM922896	ENSP00000196061
SINCAM011325	ENSP00000198767
SINCAM921242	ENSP00000198801
SINCAM001273	ENSP00000199320
SINCAM011238	ENSP00000199389
SINCAM006460	ENSP00000199447
SINCAM002257	ENSP00000199448
SINCAM017682	ENSP00000199706
SINCAM015399	ENSP00000199764
SINCAM015696	ENSP00000199814
SINCAM922090	ENSP00000199936
SINCAM013953	ENSP00000200135
SINCAM012643	ENSP00000200181
SINCAM920516	ENSP00000200652
SINCAM922097	ENSP00000200676
SINCAM010458	ENSP00000201586
SINCAM014860	ENSP00000201647
SINCAM011915	ENSP00000202017
SINCAM008174	ENSP00000202556
SINCAM003666	ENSP00000202677
SINCAM921198	ENSP00000202816
SINCAM007415	ENSP00000202967
SINCAM003701	ENSP00000203001
SINCAM920426	ENSP00000203629
SINCAM011278	ENSP00000204517
SINCAM922687	ENSP00000204566
SINCAM007722	ENSP00000204726
SINCAM011027	ENSP00000204961
SINCAM010623	ENSP00000205061
SINCAM000562	ENSP00000205214
SINCAM005517	ENSP00000205402
SINCAM011201	ENSP00000205890
SINCAM012459	ENSP00000205948
SINCAM900222	ENSP00000206423
SINCAM921655	ENSP00000206595
SINCAM004235	ENSP00000207157
SINCAM921742	ENSP00000207457
SINCAM922176	ENSP00000207549
SINCAM001641	ENSP00000207870
SINCAM013379	ENSP00000209728
SINCAM014161	ENSP00000209873
SINCAM014076	ENSP00000209875
SINCAM005160	ENSP00000209884
SINCAM922855	ENSP00000210060
SINCAM011055	ENSP00000210187
SINCAM007938	ENSP00000210313
SINCAM000801	ENSP00000210444
SINCAM015544	ENSP00000210633
SINCAM012215	ENSP00000211287
SINCAM921484	ENSP00000211413
SINCAM013758	ENSP00000211936
SINCAM007020	ENSP00000211998
SINCAM007105	ENSP00000212015
SINCAM005370	ENSP00000212355
SINCAM015353	ENSP00000215071
SINCAM013025	ENSP00000215375
SINCAM014474	ENSP00000215565
SINCAM005388	ENSP00000215567
SINCAM922439	ENSP00000215570
SINCAM012832	ENSP00000215582
SINCAM013031	ENSP00000215587
SINCAM012911	ENSP00000215631
SINCAM006095	ENSP00000215659
SINCAM007706	ENSP00000215727
SINCAM007708	ENSP00000215730
SINCAM007417	ENSP00000215739
SINCAM014784	ENSP00000215742
SINCAM007331	ENSP00000215743
SINCAM007517	ENSP00000215793
SINCAM921019	ENSP00000215794
SINCAM007514	ENSP00000215812
SINCAM007731	ENSP00000215829
SINCAM007376	ENSP00000215832
SINCAM007426	ENSP00000215838
SINCAM921448	ENSP00000215855
SINCAM921265	ENSP00000215862
SINCAM921461	ENSP00000215882
SINCAM008705	ENSP00000215885
SINCAM014117	ENSP00000215909
SINCAM007339	ENSP00000215912
SINCAM007620	ENSP00000215917
SINCAM007687	ENSP00000215939
SINCAM014712	ENSP00000215941
SINCAM014837	ENSP00000215980
SINCAM014894	ENSP00000216024
SINCAM001920	ENSP00000216027
SINCAM007369	ENSP00000216036
SINCAM007457	ENSP00000216037
SINCAM005917	ENSP00000216038
SINCAM014764	ENSP00000216039
SINCAM014763	ENSP00000216044
SINCAM014767	ENSP00000216068
SINCAM006257	ENSP00000216075
SINCAM007500	ENSP00000216085
SINCAM014711	ENSP00000216106
SINCAM017294	ENSP00000216117
SINCAM006243	ENSP00000216124
SINCAM015899	ENSP00000216127
SINCAM012083	ENSP00000216139
SINCAM007487	ENSP00000216144
SINCAM014890	ENSP00000216160
SINCAM014906	ENSP00000216181
SINCAM922785	ENSP00000216190
SINCAM011233	ENSP00000216200
SINCAM005877	ENSP00000216211
SINCAM005891	ENSP00000216214
SINCAM014815	ENSP00000216218
SINCAM922776	ENSP00000216223
SINCAM014817	ENSP00000216225
SINCAM014819	ENSP00000216237
SINCAM922792	ENSP00000216241
SINCAM014825	ENSP00000216252
SINCAM014826	ENSP00000216254
SINCAM014830	ENSP00000216259
SINCAM006073	ENSP00000216264
SINCAM006092	ENSP00000216271
SINCAM921693	ENSP00000216277
SINCAM008208	ENSP00000216286
SINCAM008117	ENSP00000216330
SINCAM008278	ENSP00000216366
SINCAM008130	ENSP00000216367
SINCAM008194	ENSP00000216373
SINCAM008219	ENSP00000216410
SINCAM921646	ENSP00000216416
SINCAM008224	ENSP00000216420
SINCAM008245	ENSP00000216442
SINCAM008337	ENSP00000216445
SINCAM008247	ENSP00000216446
SINCAM008409	ENSP00000216452
SINCAM008331	ENSP00000216455
SINCAM008515	ENSP00000216465
SINCAM008475	ENSP00000216479
SINCAM008478	ENSP00000216484
SINCAM008080	ENSP00000216487
SINCAM008479	ENSP00000216489
SINCAM008077	ENSP00000216492
SINCAM008097	ENSP00000216513
SINCAM008350	ENSP00000216540
SINCAM008164	ENSP00000216554
SINCAM008173	ENSP00000216602
SINCAM008523	ENSP00000216605
SINCAM008057	ENSP00000216639
SINCAM008308	ENSP00000216797
SINCAM008305	ENSP00000216807
SINCAM921661	ENSP00000216832
SINCAM011962	ENSP00000216862
SINCAM011964	ENSP00000216923
SINCAM011815	ENSP00000216951
SINCAM003641	ENSP00000216962
SINCAM012058	ENSP00000217026
SINCAM922406	ENSP00000217086
SINCAM011917	ENSP00000217109
SINCAM012030	ENSP00000217121
SINCAM011893	ENSP00000217131
SINCAM011869	ENSP00000217159
SINCAM000717	ENSP00000217173
SINCAM922432	ENSP00000217188
SINCAM920529	ENSP00000217195
SINCAM016111	ENSP00000217244
SINCAM922451	ENSP00000217246
SINCAM920659	ENSP00000217254
SINCAM003698	ENSP00000217289
SINCAM011985	ENSP00000217305
SINCAM011938	ENSP00000217372
SINCAM011786	ENSP00000217402
SINCAM011852	ENSP00000217420
SINCAM011783	ENSP00000217426
SINCAM012043	ENSP00000217429
SINCAM011828	ENSP00000217446
SINCAM011930	ENSP00000217455
SINCAM003645	ENSP00000217456
SINCAM001409	ENSP00000217515
SINCAM002498	ENSP00000217652
SINCAM922311	ENSP00000217909
SINCAM004984	ENSP00000217939
SINCAM004988	ENSP00000217961
SINCAM004910	ENSP00000217964
SINCAM010914	ENSP00000217971
SINCAM010970	ENSP00000218004
SINCAM922320	ENSP00000218006
SINCAM010927	ENSP00000218008
SINCAM004341	ENSP00000218032
SINCAM004347	ENSP00000218075
SINCAM010947	ENSP00000218089
SINCAM010879	ENSP00000218099
SINCAM010698	ENSP00000218197
SINCAM004962	ENSP00000218340
SINCAM004963	ENSP00000218343
SINCAM016268	ENSP00000218548
SINCAM004510	ENSP00000218652
SINCAM004815	ENSP00000218867
SINCAM004887	ENSP00000218894
SINCAM004468	ENSP00000219022
SINCAM011052	ENSP00000219066
SINCAM922074	ENSP00000219070
SINCAM010502	ENSP00000219097
SINCAM010617	ENSP00000219139
SINCAM922085	ENSP00000219169
SINCAM010513	ENSP00000219197
SINCAM922093	ENSP00000219204
SINCAM010590	ENSP00000219207
SINCAM010430	ENSP00000219240
SINCAM009444	ENSP00000219244
SINCAM010631	ENSP00000219271
SINCAM010596	ENSP00000219281
SINCAM010640	ENSP00000219299
SINCAM011110	ENSP00000219302
SINCAM010415	ENSP00000219313
SINCAM010619	ENSP00000219334
SINCAM010597	ENSP00000219345
SINCAM010605	ENSP00000219368
SINCAM922045	ENSP00000219400
SINCAM011355	ENSP00000219406
SINCAM921094	ENSP00000219431
SINCAM003181	ENSP00000219439
SINCAM922051	ENSP00000219454
SINCAM922049	ENSP00000219473
SINCAM011053	ENSP00000219476
SINCAM011300	ENSP00000219479
SINCAM011307	ENSP00000219481
SINCAM011108	ENSP00000219548
SINCAM011109	ENSP00000219551
SINCAM011287	ENSP00000219599
SINCAM922007	ENSP00000219611
SINCAM011183	ENSP00000219689
SINCAM010527	ENSP00000219746
SINCAM008653	ENSP00000219782
SINCAM922076	ENSP00000219833
SINCAM011349	ENSP00000219837
SINCAM008399	ENSP00000219905
SINCAM922675	ENSP00000219919
SINCAM900001	ENSP00000220058
SINCAM922662	ENSP00000220062
SINCAM922598	ENSP00000220166
SINCAM008447	ENSP00000220325
SINCAM013127	ENSP00000220429
SINCAM900027	ENSP00000220478
SINCAM008422	ENSP00000220496
SINCAM008453	ENSP00000220509
SINCAM008455	ENSP00000220514
SINCAM013134	ENSP00000220531
SINCAM015427	ENSP00000220562
SINCAM015618	ENSP00000220584
SINCAM002646	ENSP00000220592
SINCAM002587	ENSP00000220597
SINCAM002803	ENSP00000220616
SINCAM017408	ENSP00000220659
SINCAM920810	ENSP00000220669
SINCAM002535	ENSP00000220676
SINCAM002384	ENSP00000220751
SINCAM002472	ENSP00000220763
SINCAM002381	ENSP00000220764
SINCAM014272	ENSP00000220772
SINCAM007021	ENSP00000220809
SINCAM922808	ENSP00000220812
SINCAM002609	ENSP00000220822
SINCAM002361	ENSP00000220849
SINCAM002360	ENSP00000220853
SINCAM002647	ENSP00000220913
SINCAM003090	ENSP00000221086
SINCAM000813	ENSP00000221114
SINCAM920542	ENSP00000221130
SINCAM000119	ENSP00000221138
SINCAM007011	ENSP00000221166
SINCAM014318	ENSP00000221200
SINCAM015123	ENSP00000221233
SINCAM014471	ENSP00000221283
SINCAM921686	ENSP00000221327
SINCAM016909	ENSP00000221347
SINCAM014787	ENSP00000221403
SINCAM016469	ENSP00000221418
SINCAM016468	ENSP00000221419
SINCAM011670	ENSP00000221459
SINCAM008059	ENSP00000221462
SINCAM921216	ENSP00000221476
SINCAM012919	ENSP00000221480
SINCAM014477	ENSP00000221486
SINCAM922455	ENSP00000221494
SINCAM922456	ENSP00000221496
SINCAM012907	ENSP00000221566
SINCAM012872	ENSP00000221567
SINCAM012818	ENSP00000221671
SINCAM012771	ENSP00000221856
SINCAM008383	ENSP00000221922
SINCAM012763	ENSP00000221957
SINCAM922722	ENSP00000221973
SINCAM015997	ENSP00000221992
SINCAM014518	ENSP00000222005
SINCAM013935	ENSP00000222115
SINCAM922870	ENSP00000222219
SINCAM005712	ENSP00000222247
SINCAM012926	ENSP00000222248
SINCAM012954	ENSP00000222250
SINCAM012956	ENSP00000222256
SINCAM015109	ENSP00000222345
SINCAM004451	ENSP00000222374
SINCAM002776	ENSP00000222388
SINCAM006099	ENSP00000222390
SINCAM009825	ENSP00000222399
SINCAM921865	ENSP00000222402
SINCAM005800	ENSP00000222462
SINCAM006149	ENSP00000222481
SINCAM001708	ENSP00000222511
SINCAM002104	ENSP00000222543
SINCAM002100	ENSP00000222547
SINCAM006033	ENSP00000222553
SINCAM014948	ENSP00000222567
SINCAM002094	ENSP00000222572
SINCAM002049	ENSP00000222573
SINCAM005512	ENSP00000222574
SINCAM002047	ENSP00000222584
SINCAM002091	ENSP00000222598
SINCAM002027	ENSP00000222644
SINCAM014407	ENSP00000222673
SINCAM009871	ENSP00000222693
SINCAM001979	ENSP00000222718
SINCAM011406	ENSP00000222725
SINCAM001976	ENSP00000222726
SINCAM001975	ENSP00000222728
SINCAM005803	ENSP00000222747
SINCAM001971	ENSP00000222753
SINCAM001963	ENSP00000222792
SINCAM900287	ENSP00000222800
SINCAM001959	ENSP00000222803
SINCAM001782	ENSP00000222823
SINCAM014798	ENSP00000222968
SINCAM011159	ENSP00000222990
SINCAM005942	ENSP00000223023
SINCAM005941	ENSP00000223026
SINCAM011237	ENSP00000223029
SINCAM006226	ENSP00000223073
SINCAM015266	ENSP00000223095
SINCAM002080	ENSP00000223129
SINCAM013395	ENSP00000223145
SINCAM006151	ENSP00000223208
SINCAM011469	ENSP00000223210
SINCAM920668	ENSP00000223273
SINCAM001762	ENSP00000223321
SINCAM920680	ENSP00000223324
SINCAM922832	ENSP00000223366
SINCAM008842	ENSP00000223368
SINCAM014390	ENSP00000223369
SINCAM921728	ENSP00000223398
SINCAM920742	ENSP00000223500
SINCAM001004	ENSP00000223528
SINCAM002131	ENSP00000223641
SINCAM007989	ENSP00000223642
SINCAM000876	ENSP00000223864
SINCAM007953	ENSP00000224073
SINCAM007973	ENSP00000224140
SINCAM007854	ENSP00000224181
SINCAM007182	ENSP00000224337
SINCAM007165	ENSP00000224356
SINCAM006939	ENSP00000224600
SINCAM006936	ENSP00000224605
SINCAM007092	ENSP00000224756
SINCAM016158	ENSP00000224807
SINCAM006960	ENSP00000224862
SINCAM007314	ENSP00000224950
SINCAM007045	ENSP00000225174
SINCAM921872	ENSP00000225235
SINCAM922184	ENSP00000225276
SINCAM008573	ENSP00000225296
SINCAM012681	ENSP00000225298
SINCAM921729	ENSP00000225371
SINCAM008685	ENSP00000225387
SINCAM008670	ENSP00000225388
SINCAM008696	ENSP00000225402
SINCAM921720	ENSP00000225410
SINCAM013346	ENSP00000225426
SINCAM922627	ENSP00000225428
SINCAM013287	ENSP00000225430
SINCAM008857	ENSP00000225504
SINCAM013541	ENSP00000225512
SINCAM008771	ENSP00000225519
SINCAM013539	ENSP00000225567
SINCAM008594	ENSP00000225577
SINCAM008820	ENSP00000225609
SINCAM015047	ENSP00000225665
SINCAM011405	ENSP00000225688
SINCAM008572	ENSP00000225698
SINCAM008666	ENSP00000225719
SINCAM008667	ENSP00000225724
SINCAM013569	ENSP00000225726
SINCAM011202	ENSP00000225729
SINCAM921711	ENSP00000225737
SINCAM012517	ENSP00000225777
SINCAM012479	ENSP00000225792
SINCAM013398	ENSP00000225823
SINCAM009449	ENSP00000225844
SINCAM008749	ENSP00000225873
SINCAM008657	ENSP00000225893
SINCAM013487	ENSP00000225916
SINCAM013423	ENSP00000225927
SINCAM013386	ENSP00000225964
SINCAM012439	ENSP00000225972
SINCAM922646	ENSP00000226004
SINCAM012464	ENSP00000226021
SINCAM012391	ENSP00000226193
SINCAM012387	ENSP00000226207
SINCAM008776	ENSP00000226218
SINCAM008628	ENSP00000226225
SINCAM008626	ENSP00000226230
SINCAM921723	ENSP00000226253
SINCAM000442	ENSP00000226279
SINCAM000448	ENSP00000226299
SINCAM000282	ENSP00000226319
SINCAM000508	ENSP00000226382
SINCAM000861	ENSP00000226413
SINCAM000538	ENSP00000226432
SINCAM000795	ENSP00000226574
SINCAM000796	ENSP00000226578
SINCAM000276	ENSP00000226760
SINCAM920507	ENSP00000226798
SINCAM000431	ENSP00000226951
SINCAM920509	ENSP00000227065
SINCAM011454	ENSP00000227155
SINCAM011687	ENSP00000227256
SINCAM004676	ENSP00000227266
SINCAM013998	ENSP00000227322
SINCAM013916	ENSP00000227348
SINCAM013889	ENSP00000227349
SINCAM007505	ENSP00000227451
SINCAM017233	ENSP00000227474
SINCAM011699	ENSP00000227507
SINCAM004663	ENSP00000227638
SINCAM922264	ENSP00000227756
SINCAM004316	ENSP00000227758
SINCAM011460	ENSP00000227868
SINCAM004055	ENSP00000228027
SINCAM011608	ENSP00000228136
SINCAM005687	ENSP00000228280
SINCAM007736	ENSP00000228284
SINCAM920937	ENSP00000228318
SINCAM005632	ENSP00000228347
SINCAM006003	ENSP00000228437
SINCAM007659	ENSP00000228463
SINCAM014173	ENSP00000228468
SINCAM007663	ENSP00000228476
SINCAM007684	ENSP00000228495
SINCAM007446	ENSP00000228506
SINCAM007673	ENSP00000228510
SINCAM014058	ENSP00000228515
SINCAM005637	ENSP00000228567
SINCAM014037	ENSP00000228606
SINCAM920986	ENSP00000228641
SINCAM920985	ENSP00000228644
SINCAM005718	ENSP00000228705
SINCAM015342	ENSP00000228740
SINCAM015343	ENSP00000228741
SINCAM006005	ENSP00000228799
SINCAM005616	ENSP00000228820
SINCAM921434	ENSP00000228825
SINCAM920954	ENSP00000228837
SINCAM921702	ENSP00000228841
SINCAM920953	ENSP00000228843
SINCAM005815	ENSP00000228862
SINCAM005816	ENSP00000228865
SINCAM005818	ENSP00000228872
SINCAM921451	ENSP00000228928
SINCAM014773	ENSP00000228938
SINCAM005586	ENSP00000229002
SINCAM007570	ENSP00000229030
SINCAM920987	ENSP00000229135
SINCAM005796	ENSP00000229179
SINCAM005744	ENSP00000229195
SINCAM920968	ENSP00000229214
SINCAM013709	ENSP00000229266
SINCAM005567	ENSP00000229314
SINCAM007427	ENSP00000229328
SINCAM005574	ENSP00000229329
SINCAM007373	ENSP00000229340
SINCAM011547	ENSP00000229379
SINCAM007438	ENSP00000229390
SINCAM005647	ENSP00000229395
SINCAM002934	ENSP00000229416
SINCAM003606	ENSP00000229447
SINCAM005338	ENSP00000229595
SINCAM921102	ENSP00000229633
SINCAM016594	ENSP00000229729
SINCAM002876	ENSP00000229758
SINCAM012294	ENSP00000229769
SINCAM009740	ENSP00000229795
SINCAM922527	ENSP00000229812
SINCAM922524	ENSP00000229824
SINCAM921032	ENSP00000229903
SINCAM001849	ENSP00000229922
SINCAM921131	ENSP00000229955
SINCAM001831	ENSP00000230048
SINCAM921120	ENSP00000230050
SINCAM002892	ENSP00000230053
SINCAM001829	ENSP00000230056
SINCAM003351	ENSP00000230085
SINCAM003361	ENSP00000230122
SINCAM003364	ENSP00000230124
SINCAM003554	ENSP00000230256
SINCAM003541	ENSP00000230301
SINCAM922491	ENSP00000230321
SINCAM012090	ENSP00000230323
SINCAM012146	ENSP00000230340
SINCAM012176	ENSP00000230361
SINCAM003851	ENSP00000230381
SINCAM921192	ENSP00000230431
SINCAM001824	ENSP00000230449
SINCAM003532	ENSP00000230461
SINCAM003198	ENSP00000230538
SINCAM009501	ENSP00000230582
SINCAM001296	ENSP00000230640
SINCAM001320	ENSP00000230658
SINCAM016675	ENSP00000230671
SINCAM010215	ENSP00000230732
SINCAM001119	ENSP00000230792
SINCAM002000	ENSP00000230859
SINCAM001475	ENSP00000230882
SINCAM001767	ENSP00000230895
SINCAM010054	ENSP00000230990
SINCAM900255	ENSP00000231004
SINCAM001308	ENSP00000231009
SINCAM922361	ENSP00000231061
SINCAM016661	ENSP00000231188
SINCAM010149	ENSP00000231198
SINCAM010155	ENSP00000231228
SINCAM010069	ENSP00000231238
SINCAM920593	ENSP00000231368
SINCAM920421	ENSP00000231449
SINCAM001129	ENSP00000231461
SINCAM010280	ENSP00000231484
SINCAM922342	ENSP00000231487
SINCAM017627	ENSP00000231498
SINCAM009966	ENSP00000231509
SINCAM000585	ENSP00000231512
SINCAM001262	ENSP00000231524
SINCAM010193	ENSP00000231572
SINCAM010081	ENSP00000231668
SINCAM009135	ENSP00000231706
SINCAM009775	ENSP00000231721
SINCAM009865	ENSP00000231749
SINCAM001670	ENSP00000231790
SINCAM009650	ENSP00000231948
SINCAM009838	ENSP00000232375
SINCAM009193	ENSP00000232424
SINCAM009748	ENSP00000232461
SINCAM009867	ENSP00000232496
SINCAM009575	ENSP00000232501
SINCAM009565	ENSP00000232564
SINCAM007650	ENSP00000232603
SINCAM006754	ENSP00000232607
SINCAM009802	ENSP00000232744
SINCAM002782	ENSP00000232766
SINCAM009777	ENSP00000232854
SINCAM009901	ENSP00000232888
SINCAM009240	ENSP00000232892
SINCAM001896	ENSP00000232905
SINCAM001521	ENSP00000232974
SINCAM009588	ENSP00000232975
SINCAM001523	ENSP00000232978
SINCAM922115	ENSP00000233025
SINCAM922114	ENSP00000233027
SINCAM009499	ENSP00000233055
SINCAM003508	ENSP00000233057
SINCAM922461	ENSP00000233078
SINCAM003510	ENSP00000233099
SINCAM003057	ENSP00000233121
SINCAM003952	ENSP00000233146
SINCAM004746	ENSP00000233154
SINCAM006659	ENSP00000233156
SINCAM003029	ENSP00000233242
SINCAM000681	ENSP00000233331
SINCAM003401	ENSP00000233336
SINCAM014371	ENSP00000233379
SINCAM003020	ENSP00000233468
SINCAM002847	ENSP00000233557
SINCAM003309	ENSP00000233575
SINCAM012886	ENSP00000233596
SINCAM000759	ENSP00000233630
SINCAM000764	ENSP00000233668
SINCAM002101	ENSP00000233710
SINCAM002767	ENSP00000233735
SINCAM922771	ENSP00000233813
SINCAM009462	ENSP00000233826
SINCAM014401	ENSP00000233838
SINCAM006552	ENSP00000233893
SINCAM014132	ENSP00000233948
SINCAM004737	ENSP00000233969
SINCAM009403	ENSP00000234038
SINCAM921942	ENSP00000234071
SINCAM002976	ENSP00000234091
SINCAM921076	ENSP00000234111
SINCAM014216	ENSP00000234160
SINCAM003501	ENSP00000234170
SINCAM006731	ENSP00000234198
SINCAM003778	ENSP00000234256
SINCAM015831	ENSP00000234296
SINCAM003762	ENSP00000234310
SINCAM921196	ENSP00000234313
SINCAM920571	ENSP00000234371
SINCAM920539	ENSP00000234392
SINCAM921228	ENSP00000234420
SINCAM015819	ENSP00000234453
SINCAM000771	ENSP00000234454
SINCAM013646	ENSP00000234488
SINCAM013778	ENSP00000234590
SINCAM012200	ENSP00000234677
SINCAM920891	ENSP00000234701
SINCAM004446	ENSP00000234739
SINCAM005155	ENSP00000234816
SINCAM005100	ENSP00000234827
SINCAM005099	ENSP00000234831
SINCAM012172	ENSP00000235090
SINCAM920858	ENSP00000235307
SINCAM015465	ENSP00000235310
SINCAM922555	ENSP00000235329
SINCAM015455	ENSP00000235332
SINCAM005067	ENSP00000235345
SINCAM013585	ENSP00000235372
SINCAM920867	ENSP00000235382
SINCAM004234	ENSP00000235521
SINCAM922946	ENSP00000235532
SINCAM009056	ENSP00000235628
SINCAM015466	ENSP00000235835
SINCAM922548	ENSP00000236040
SINCAM920860	ENSP00000236192
SINCAM008908	ENSP00000236273
SINCAM005011	ENSP00000236495
SINCAM011591	ENSP00000236671
SINCAM009394	ENSP00000236709
SINCAM013976	ENSP00000236850
SINCAM015121	ENSP00000236877
SINCAM006613	ENSP00000236959
SINCAM006506	ENSP00000236980
SINCAM002743	ENSP00000237014
SINCAM003534	ENSP00000237172
SINCAM003270	ENSP00000237201
SINCAM003283	ENSP00000237264
SINCAM921064	ENSP00000237275
SINCAM921164	ENSP00000237281
SINCAM002871	ENSP00000237283
SINCAM003304	ENSP00000237289
SINCAM002600	ENSP00000237353
SINCAM000711	ENSP00000237455
SINCAM011864	ENSP00000237530
SINCAM011847	ENSP00000237536
SINCAM000820	ENSP00000237596
SINCAM000846	ENSP00000237612
SINCAM000407	ENSP00000237642
SINCAM000412	ENSP00000237654
SINCAM009511	ENSP00000237696
SINCAM003031	ENSP00000237822
SINCAM005613	ENSP00000237837
SINCAM001143	ENSP00000237853
SINCAM001070	ENSP00000237937
SINCAM920553	ENSP00000238018
SINCAM004747	ENSP00000238044
SINCAM002986	ENSP00000238112
SINCAM007588	ENSP00000238146
SINCAM007582	ENSP00000238156
SINCAM007873	ENSP00000238256
SINCAM007865	ENSP00000238379
SINCAM001991	ENSP00000238497
SINCAM921695	ENSP00000238558
SINCAM008481	ENSP00000238561
SINCAM900008	ENSP00000238616
SINCAM921450	ENSP00000238618
SINCAM008508	ENSP00000238628
SINCAM921663	ENSP00000238647
SINCAM008233	ENSP00000238651
SINCAM015217	ENSP00000238667
